hanzi,tl
掃,Sòo
晚,Buán
晚,Mńg
晚,Muí
晝,Tiù
梅,Muî
梨,Lê
梨,Lâi
涵,Hâm
涵,Âm
淡,Tām
笛,Ti̍k
笛,Ta̍t
舵,Tāi
舵,Tō
舵,Tuā
莊,Tsng
許,Khóo
軟,Luán
軟,Nńg
軟,Nuí
透,Thò
透,Thàu
透,Thiò
郭,Kueh
郭,Keh
都,Too
陳,Tân
陸,Lio̍k
魚,Hî
魚,Hû
麻,Muâ
麻,Mâu
傅,Pòo
傘,Sàn
傘,Suànn
單,Tan
單,Tuann
單,Siān
富,Pù
寒,Hân
寒,Kuânn
尋,Jîm
尋,Tsîm
幾,Ki
彭,Phênn
彭,Phînn
晴,Tsîng
晴,Tsênn
晴,Tsînn
曾,Tsan
棉,Biân
棉,Mî
湯,Thng
程,Thiânn
答,Tap
粟,Tshik
舒,Su
舒,Si
超,Tshiau
鄉,Hiong
鄉,Hiang
雅,Ngá
雅,Ngé
黃,N̂g
黃,Uînn
塗,Tôo
塗,Thôo
塘,Tông
塘,Tn̂g
搭,Tap
搭,Tah
楊,Iûnn
楊,Iônn
楓,Hong
楓,Png
當,Tann
聖,Siànn
腰,Iau
腰,Io
葛,Kuah
葛,Kat
董,Táng
零,Lân
頓,Tǹg
頓,Tuìnn
飽,Pá
瑪,Má
瑪,Bé
監,Kàm
睡,Suī
睡,Tsuē
睡,Tsē
端,Tuann
酸,Suan
酸,Sng
酸,Suinn
厲,Lē
墨,Ba̍k
寬,Khuann
撒,Sat
暴,Pā
樟,Tsiong
樟,Tsiunn
樟,Tsiang
樟,Tsionn
歐,Au
潘,Phuann
盤,Puân
盤,Phuân
盤,Puânn
範,Huān
鄭,Tēnn
鄭,Tīnn
憑,Pîn
樸,Phok
樹,Tshiū
橋,Kiô
機,Ki
機,Kui
橫,Hîng
橫,Huâinn
橫,Huînn
燕,Ian
獨,Ta̍k
蕭,Siau
蕭,Sio
賴,Luā
錢,Tsînn
錫,Siah
頭,Thiô
頭,Thôo
頭,Thâu
嶺,Líng
嶺,Niá
應,Ing
應,Ìng
戴,Tè
檀,Thiânn
爵,Tsiok
爵,Tsiak
環,Khuân
