"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KipDictHanjiTaibunOthers","KipDictWordProperty","HoaBun","KaisoehHanLoPoj","KaisoehHanLoKip","KipDictDialects","Synonym","Opposite"
"1859","sin","","sin","","sin","","sin","","申","","","申、告狀、表白、陳訴","1.【名】地支的第九位。例：申時　sin sî(下午三點至五點)。2.【動】陳訴、表白、告狀。例：申訴　sin-sò͘、申請　sin-chhéng。","1.【名】地支的第九位。例：申時　sin sî(下午三點至五點)。2.【動】陳訴、表白、告狀。例：申訴　sin-sòo、申請　sin-tshíng。","","",""
"1860","pe̍h(白)","pe̍k(文)","peh8(白)","pek8(文)","pe̍h(白)","pi̍k(文)","peh8(白)","pik8(文)","白","","","白","1.【名】顏色名。像雪或乳汁般素淨的顏色。2.【形】淺顯的、口語的。例：白話　pe̍h-ōe。3.【形】平淡無味、不添加其他東西的。例：白飯　pe̍h-pn̄g、白滾水　pe̍h-kún-chúi(白開水)。4.【名】具有特殊性的話語，如臺詞或隱語。例：口白　kháu-pe̍h(臺詞)、賊仔白　chha̍t-á pe̍h(小偷之間的隱語)。5.【副】徒然、白費。例：白了工　pe̍h-liáu-kang(白費功夫)。6.【名】姓氏。","1.【名】顏色名。像雪或乳汁般素淨的顏色。2.【形】淺顯的、口語的。例：白話　pe̍h-uē。3.【形】平淡無味、不添加其他東西的。例：白飯　pe̍h-pn̄g、白滾水　pe̍h-kún-tsuí(白開水)。4.【名】具有特殊性的話語，如臺詞或隱語。例：口白　kháu-pe̍h(臺詞)、賊仔白　tsha̍t-á pe̍h(小偷之間的隱語)。5.【副】徒然、白費。例：白了工　pe̍h-liáu-kang(白費功夫)。6.【名】姓氏。","","","烏"
"1861","pe̍k(文)","pe̍h(白)","pek8(文)","peh8(白)","pi̍k(文)","pe̍h(白)","pik8(文)","peh8(白)","白","","","白","1.【形】像雪或乳汁般素淨的顏色。例：齒白脣紅　khí pe̍k tûn hông(形容美少年或美女)、白頭偕老　pe̍k-thiô kai nó͘。2.【形】表示清楚、坦率、誠實等概念。例：清白　chheng-pe̍k。3.【形】無所憑藉的。例：白手成家　pe̍k-siú sêng-ka。4.【動】清楚表明。例：自白　chū-pe̍k。","1.【形】像雪或乳汁般素淨的顏色。例：齒白脣紅　khí pi̍k tûn hông(形容美少年或美女)、白頭偕老　pi̍k-thiô kai nóo。2.【形】表示清楚、坦率、誠實等概念。例：清白　tshing-pi̍k。3.【形】無所憑藉的。例：白手成家　pi̍k-siú sîng-ka。4.【動】清楚表明。例：自白　tsū-pi̍k。","","",""
"1862","phî(文)","phôe(白)/phê(白)/pî(白)","phi5(文)","phoe5(白)/phe5(白)/pi5(白)","phî(文)","phuê(白)/phê(白)/pî(白)","phi5(文)","phue5(白)/phe5(白)/pi5(白)","皮","","","皮","1.【形】厚臉皮。例：皮皮食甲流糍。Phî-phî chia̍h kah lâu-chî. (厚臉皮的人吃東西吃到下巴鬆軟。)　2.【形】頑劣。不聽勸告、不服管教。例：這个囡仔誠皮。Chit ê gín-á chiâⁿ phî. (這個小孩子很頑皮。)　","1.【形】厚臉皮。例：皮皮食甲流糍。Phî-phî tsia̍h kah lâu-tsî. (厚臉皮的人吃東西吃到下巴鬆軟。)　2.【形】頑劣。不聽勸告、不服管教。例：這个囡仔誠皮。Tsit ê gín-á tsiânn phî. (這個小孩子很頑皮。)　","","",""
"1863","phôe(白)/phê(白)","phî(文)/pî(白)","phoe5(白)/phe5(白)","phi5(文)/pi5(白)","phuê(白)/phê(白)","phî(文)/pî(白)","phue5(白)/phe5(白)","phi5(文)/pi5(白)","皮","","","皮","1.【名】動物肌膚的表面，覆蓋在肌肉上。例：皮膚　phôe-hu、牛皮　gû phôe。2.【名】覆蓋在物體表面上的皮質，可以保護物體免於受損。例：竹皮　tek phôe、冊皮　chheh-phôe。3.【名】皮製的。例：皮鞋　phôe-ê、皮箱　phôe-siuⁿ、皮帶　phôe-tòa。4.【名】像皮的東西。例：豆皮　tāu-phôe。","1.【名】動物肌膚的表面，覆蓋在肌肉上。例：皮膚　phuê-hu、牛皮　gû phuê。2.【名】覆蓋在物體表面上的皮質，可以保護物體免於受損。例：竹皮　tik phuê、冊皮　tsheh-phuê。3.【名】皮製的。例：皮鞋　phuê-ê、皮箱　phuê-siunn、皮帶　phuê-tuà。4.【名】像皮的東西。例：豆皮　tāu-phuê。","【台北】phê。【三峽】phêr。【新竹】phêr;phê。【台中】phuê。【鹿港】phêr。【台南】phuê。【高雄】phuê。【宜蘭】phuê。【馬公】phê。","",""
"1864","ba̍k(白)","bo̍k(文)","bak8(白)","bok8(文)","ba̍k(白)","bo̍k(文)","bak8(白)","bok8(文)","目","","","目、眼睛、節","1.【名】眼睛。例：大細目　tōa-sè-ba̍k(大小眼。即不公平。)　2.【名】節。例：手目　chhiú-ba̍k(手關節)、竹仔目　tek-á-ba̍k(竹節)。3.【名】細孔。例：米篩目　bí-thai-ba̍k(米篩的網目，也指篩出的米條食品)。4.【名】量詞。計算節的單位，或指圍棋遊戲中的棋子。例：一目甘蔗　chi̍t ba̍k kam-chià(一節甘蔗)。","1.【名】眼睛。例：大細目　tuā-sè-ba̍k(大小眼。即不公平。)　2.【名】節。例：手目　tshiú-ba̍k(手關節)、竹仔目　tik-á-ba̍k(竹節)。3.【名】細孔。例：米篩目　bí-thai-ba̍k(米篩的網目，也指篩出的米條食品)。4.【名】量詞。計算節的單位，或指圍棋遊戲中的棋子。例：一目甘蔗　tsi̍t ba̍k kam-tsià(一節甘蔗)。","","",""
"1865","bo̍k(文)","ba̍k(白)","bok8(文)","bak8(白)","bo̍k(文)","ba̍k(白)","bok8(文)","bak8(白)","目","","","目","1.【名】眼睛。例：目前　bo̍k-chiân、一目了然　it bo̍k liáu-jiân。2.【名】名稱、標題。例：題目　tê-bo̍k。3.【名】大項中再分的細目。例：項目　hāng-bo̍k。","1.【名】眼睛。例：目前　bo̍k-tsiân、一目了然　it bo̍k liáu-jiân。2.【名】名稱、標題。例：題目　tê-bo̍k。3.【名】大項中再分的細目。例：項目　hāng-bo̍k。","","",""
"1866","chio̍h(白)","se̍k(文)/sia̍h(白)","chioh8(白)","sek8(文)/siah8(白)","tsio̍h(白)","si̍k(文)/sia̍h(白)","tsioh8(白)","sik8(文)/siah8(白)","石","","","石","1.【名】由礦物集結而成的堅硬塊狀物質。例：石頭　chio̍h-thâu、璇石　soān-chio̍h(鑽石)。2.【名】以石材製成的物品。例：石桌　chio̍h toh、石獅　chio̍h-sai。3.【量】計算容量的單位。公制一石等於十斗。例：一石米　chi̍t chio̍h bí。4.【名】姓氏。","1.【名】由礦物集結而成的堅硬塊狀物質。例：石頭　tsio̍h-thâu、璇石　suān-tsio̍h(鑽石)。2.【名】以石材製成的物品。例：石桌　tsio̍h toh、石獅　tsio̍h-sai。3.【量】計算容量的單位。公制一石等於十斗。例：一石米　tsi̍t tsio̍h bí。4.【名】姓氏。","","",""
"1867","se̍k(文)","chio̍h(白)/sia̍h(白)","sek8(文)","chioh8(白)/siah8(白)","si̍k(文)","tsio̍h(白)/sia̍h(白)","sik8(文)","tsioh8(白)/siah8(白)","石","","","石","1.【名】由礦物集結而成的堅硬塊狀物。例：岩石　gâm-se̍k。2.【名】砭石。例：藥石　io̍k se̍k(方藥與砭石，都是治病的藥物。)　","1.【名】由礦物集結而成的堅硬塊狀物。例：岩石　gâm-si̍k。2.【名】砭石。例：藥石　io̍k si̍k(方藥與砭石，都是治病的藥物。)　","","",""
"1868","sī","","si7","","sī","","si7","","示","","","示","1.【動】把事物顯現出來讓人知道。例：示範　sī-hoān、表示　piáu-sī。2.【名】命令、布告。例：告示　kò-sī。","1.【動】把事物顯現出來讓人知道。例：示範　sī-huān、表示　piáu-sī。2.【名】命令、布告。例：告示　kò-sī。","","",""
"1869","hia̍t","","hiat8","","hia̍t","","hiat8","","穴","","","穴、洞","1.【名】人體經脈的會聚處。例：穴道　hia̍t-tō。2.【名】洞窟。例：墓穴　bōng-hia̍t。","1.【名】人體經脈的會聚處。例：穴道　hia̍t-tō。2.【名】洞窟。例：墓穴　bōng-hia̍t。","","洞",""
"1870","li̍p","","lip8","","li̍p","","lip8","","立","","","立","1.【動】制定、訂定。例：立法　li̍p-hoat。2.【動】站立。例：立場　li̍p-tiûⁿ(認識或處理問題時，所處的地位和所抱持的態度。)、中立　tiong-li̍p。3.【名】節氣名。例：立冬　li̍p-tang、立春　li̍p-chhun。","1.【動】制定、訂定。例：立法　li̍p-huat。2.【動】站立。例：立場　li̍p-tiûnn(認識或處理問題時，所處的地位和所抱持的態度。)、中立　tiong-li̍p。3.【名】節氣名。例：立冬　li̍p-tang、立春　li̍p-tshun。","","",""
"1871","ba̍k-nih-á","","bak8-nih-a2","","ba̍k-nih-á","","bak8-nih-a2","","目𥍉仔","","","立刻、馬上、瞬間、轉眼","【副】轉眼、瞬間。形容時間很短。例：拄才出大日，目𥍉仔就落大雨。Tú chiah chhut tōa-ji̍t, ba̍k-nih-á tō lo̍h tōa hō͘. (剛剛出大太陽，一下子就下大雨。)　","【副】轉眼、瞬間。形容時間很短。例：拄才出大日，目𥍉仔就落大雨。Tú tsiah tshut tuā-ji̍t, ba̍k-nih-á tō lo̍h tuā hōo. (剛剛出大太陽，一下子就下大雨。)　","","連鞭、目𥍉仔久",""
"1872","hoān-lâng","","hoan7-lang5","","huān-lâng","","huan7-lang5","","犯人","犯儂","","犯人","【名】犯罪的人。","【名】犯罪的人。","","",""
"1873","koe-chí","","koe-chi2","","kue-tsí","","kue-tsi2","","瓜子","","","瓜子","【名】用西瓜、南瓜或葵花子做的零嘴，通常在過年、筵席上、看電視或親朋好友閒聊時食用。","【名】用西瓜、南瓜或葵花子做的零嘴，通常在過年、筵席上、看電視或親朋好友閒聊時食用。","","",""
"1874","kah-chí","","kah-chi2","","kah-tsí","","kah-tsi2","","甲子","","","甲子","1.【名】古代人們以十天干和十二地支相配合來紀年或紀歲時。甲為天干的第一位，子為地支的一位，天干和地支循環相配，可配成甲子、乙丑、丙寅……癸亥共六十種，統稱為「甲子」。2.【量】計算時間的單位。六十年稱一甲子。","1.【名】古代人們以十天干和十二地支相配合來紀年或紀歲時。甲為天干的第一位，子為地支的一位，天干和地支循環相配，可配成甲子、乙丑、丙寅……癸亥共六十種，統稱為「甲子」。2.【量】計算時間的單位。六十年稱一甲子。","","",""
"1875","chio̍h-kang","","chioh8-kang","","tsio̍h-kang","","tsioh8-kang","","石工","","","石匠","【名】石匠。","【名】石匠。","","打石師、石匠",""
"1876","pe̍h-jîn/pe̍h-lîn","","peh8-jin5/peh8-lin5","","pe̍h-jîn/pe̍h-lîn","","peh8-jin5/peh8-lin5","","白仁","","","白眼球、眼白、蛋白","1.【名】眼白、白眼球。2.【名】蛋白。","1.【名】眼白、白眼球。2.【名】蛋白。","","",""
"1877","pe̍h-lāi-chiàng","pe̍h-lāi-chiòng(又唸作)","peh8-lai7-chiang3","peh8-lai7-chiong3(又唸作)","pe̍h-lāi-tsiàng","pe̍h-lāi-tsiòng(又唸作)","peh8-lai7-tsiang3","peh8-lai7-tsiong3(又唸作)","白內障","","","白內障","【名】病名。眼睛的水晶體因為老化、外傷或是其他疾病所引起的模糊、不透明的現象。","【名】病名。眼睛的水晶體因為老化、外傷或是其他疾病所引起的模糊、不透明的現象。","","",""
"1878","kam-sim","","kam-sim","","kam-sim","","kam-sim","","甘心","","","甘心、甘願、情願、寧願、滿足","見【甘願】kam-goān 條。","見【甘願】kam-guān 條。","","甘願、情願","毋甘願、毋情願、毋願"
"1879","seⁿ-ji̍t/siⁿ-li̍t","","senn-jit8/sinn-lit8","","senn-ji̍t/sinn-li̍t","","senn-jit8/sinn-lit8","","生日","","","生日","【名】出生的日子。","【名】出生的日子。","","",""
"1880","iōng-sim","","iong7-sim","","iōng-sim","","iong7-sim","","用心","","","用心、存心、居心","1.【形】盡心。集中注意力專心去做某件事情。例：伊做代誌真用心，莫怪會成功。I chò tāi-chì chin iōng-sim, bo̍k-koài ē sêng-kong. (他做事情真用心，難怪會成功。)　2.【動】存心、居心。心中有某種意念，千方百慮，蓄意已久。例：伊用心計畫，想欲加得一寡仔財產。I iōng-sim-kè-ōe, siūⁿ-beh ke tit chi̍t-kóa-á châi-sán. (他存心計畫想多分一點財產。)　","1.【形】盡心。集中注意力專心去做某件事情。例：伊做代誌真用心，莫怪會成功。I tsò tāi-tsì tsin iōng-sim, bo̍k-kuài ē sîng-kong. (他做事情真用心，難怪會成功。)　2.【動】存心、居心。心中有某種意念，千方百慮，蓄意已久。例：伊用心計畫，想欲加得一寡仔財產。I iōng-sim-kè-uē, siūnn-beh ke tit tsi̍t-kuá-á tsâi-sán. (他存心計畫想多分一點財產。)　","","",""
"1881","pe̍h-bo̍k-ní","pe̍h-bo̍k-jí(又唸作)","peh8-bok8-ni2","peh8-bok8-ji2(又唸作)","pe̍h-bo̍k-ní","pe̍h-bo̍k-jí(又唸作)","peh8-bok8-ni2","peh8-bok8-ji2(又唸作)","白木耳","","","白木耳、銀耳","【名】銀耳。蕈菇類植物。性喜潮溼多雨之處，形體呈雞冠形或耳狀，外表有平滑柔軟的膠質褶襞保護著。","【名】銀耳。蕈菇類植物。性喜潮溼多雨之處，形體呈雞冠形或耳狀，外表有平滑柔軟的膠質褶襞保護著。","","",""
"1882","ge̍k-á","gio̍k-á(又唸作)","gek8-a2","giok8-a2(又唸作)","gi̍k-á","gio̍k-á(又唸作)","gik8-a2","giok8-a2(又唸作)","玉仔","","","玉、玉器","【名】所有玉器的總稱。","【名】所有玉器的總稱。","","玉",""
"1883","koe-á","","koe-a2","","kue-á","","kue-a2","","瓜仔","","","瓜、醃黃瓜","1.【名】泛指瓜類的總稱。2.【名】醃過的小黃瓜。例：瓜仔肉　koe-á-bah(以切碎的醃小黃瓜與絞肉一起蒸煮的菜餚)。","1.【名】泛指瓜類的總稱。2.【名】醃過的小黃瓜。例：瓜仔肉　kue-á-bah(以切碎的醃小黃瓜與絞肉一起蒸煮的菜餚)。","","",""
"1884","seⁿ-á/siⁿ-á","","senn-a2/sinn-a2","","senn-á/sinn-á","","senn-a2/sinn-a2","","生仔","鍟仔","","生鐵、鑄鐵","【名】生鐵、鑄鐵。含碳量百分之一點七以上，質地硬而脆，只能用做鑄型，而不能經過鍛打的鐵。通常用來鑄作鍋子。","【名】生鐵、鑄鐵。含碳量百分之一點七以上，質地硬而脆，只能用做鑄型，而不能經過鍛打的鐵。通常用來鑄作鍋子。","【台北】生　sinn, 鑄生仔　tsù-sinn-á。【三峽】生　sinn。【新竹】生　sinn。【台中】生仔　senn-á。【鹿港】生　sinn。【台南】生仔　senn-á。【高雄】生仔　senn-á。【宜蘭】生仔　senn-á。【馬公】生　sinn。","",""
"1885","chio̍h-á","","chioh8-a2","","tsio̍h-á","","tsioh8-a2","","石仔","","","小石子、小石頭、碎石","【名】碎石。細碎的小石子。","【名】碎石。細碎的小石子。","","石頭仔、細粒石頭",""
"1886","koe-á-nî","","koe-a2-ni5","","kue-á-nî","","kue-a2-ni5","","瓜仔哖","","","小黃瓜","【名】小黃瓜。瓜果類。「胡瓜」的品種之一。比稱為「刺瓜仔」(chhì-koe-á)的大黃瓜體型更小，常用來涼拌或作為料理的配色。","【名】小黃瓜。瓜果類。「胡瓜」的品種之一。比稱為「刺瓜仔」(tshì-kue-á)的大黃瓜體型更小，常用來涼拌或作為料理的配色。","","",""
"1887","iōng-kong","","iong7-kong","","iōng-kong","","iong7-kong","","用功","","","打拚、用功","【副】努力讀書、勤加修習。例：你這馬若無用功讀冊，以後就知艱苦。Lí chit-má nā-bô iōng-kong tha̍k-chheh, í-āu tō chai kan-khó͘. (你現在如果沒有用功念書，以後就會知道辛苦。)　這个囡仔真用功。Chit ê gín-á chin iōng-kong. (這個孩子很用功。)　","【副】努力讀書、勤加修習。例：你這馬若無用功讀冊，以後就知艱苦。Lí tsit-má nā-bô iōng-kong tha̍k-tsheh, í-āu tō tsai kan-khóo. (你現在如果沒有用功念書，以後就會知道辛苦。)　這个囡仔真用功。Tsit ê gín-á tsin iōng-kong. (這個孩子很用功。)　","","拍拚",""
"1888","pe̍h-pau","","peh8-pau","","pe̍h-pau","","peh8-pau","","白包","","","香奠、奠儀","【名】香奠、奠儀。致送死者家屬的金錢，用以代替祭品。","【名】香奠、奠儀。致送死者家屬的金錢，用以代替祭品。","","",""
"1889","phôe-pau-á/phê-pau-á","","phoe5-pau-a2/phe5-pau-a2","","phuê-pau-á/phê-pau-á","","phue5-pau-a2/phe5-pau-a2","","皮包仔","","","手提包、皮夾子、錢包、錢袋","【名】錢包、皮夾子、手提包。","【名】錢包、皮夾子、手提包。","","錢袋仔、皮包",""
"1890","pe̍h-pe̍h","","peh8-peh8","","pe̍h-pe̍h","","peh8-peh8","","白白","","","平白無故、白白、白費、完、明白、枉費、損失、賠錢","1.【形】形容很白。例：伊愛共人誣賴，白白布強欲共人染甲烏。I ài kā lâng bû-lōa, pe̍h-pe̍h-pò͘ kiōng-beh kā lâng ní kah o͘. (他喜歡誣賴別人，白色的布硬要染成黑色的。硬是要抹黑事實。)　2.【副】平白無故。例：投資彼款若鳥鼠仔會的公司，你毋驚錢會白白了去。Tâu-chu hit-khoán ná niáu-chhí-á-hōe ê kong-si, lí m̄-kiaⁿ chîⁿ ē pe̍h-pe̍h liáu--khì. (投資那種像老鼠會的公司，你不怕錢會平白無故地花掉。)　3.【副】無可奈何。例：你欲白白看受死是無？Lí beh pe̍h-pe̍h khòaⁿ in siū sí sī--bô? (你要白白看他們送死嗎？)　","1.【形】形容很白。例：伊愛共人誣賴，白白布強欲共人染甲烏。I ài kā lâng bû-luā, pe̍h-pe̍h-pòo kiōng-beh kā lâng ní kah oo. (他喜歡誣賴別人，白色的布硬要染成黑色的。硬是要抹黑事實。)　2.【副】平白無故。例：投資彼款若鳥鼠仔會的公司，你毋驚錢會白白了去。Tâu-tsu hit-khuán ná niáu-tshí-á-huē ê kong-si, lí m̄-kiann tsînn ē pe̍h-pe̍h liáu--khì. (投資那種像老鼠會的公司，你不怕錢會平白無故地花掉。)　3.【副】無可奈何。例：你欲白白看受死是無？Lí beh pe̍h-pe̍h khuànn in siū sí sī--bô? (你要白白看他們送死嗎？)　","","",""
"1891","phî-phî","","phi5-phi5","","phî-phî","","phi5-phi5","","皮皮","","","不在乎、厚臉皮、厚顏無恥","【形】厚臉皮、不在乎。例：伊逐項代誌攏激皮皮，毋驚人共伊笑。I ta̍k hāng tāi-chì lóng kek phî-phî, m̄ kiaⁿ lâng kā i chhiò. (他每件事都裝得不在乎，不怕人家譏笑他。)　","【形】厚臉皮、不在乎。例：伊逐項代誌攏激皮皮，毋驚人共伊笑。I ta̍k hāng tāi-tsì lóng kik phî-phî, m̄ kiann lâng kā i tshiò. (他每件事都裝得不在乎，不怕人家譏笑他。)　","","大面神、厚面皮",""
"1892","seⁿ-hūn/siⁿ-hūn","chheⁿ-hūn(又唸作)/chhiⁿ-hūn(又唸作)","senn-hun7/sinn-hun7","chhenn-hun7(又唸作)/chhinn-hun7(又唸作)","senn-hūn/sinn-hūn","tshenn-hūn(又唸作)/tshinn-hūn(又唸作)","senn-hun7/sinn-hun7","tshenn-hun7(又唸作)/tshinn-hun7(又唸作)","生份","生分、青份、青分","","不熟、生疏、陌生","【形】陌生。沒見過的、不認識的或不熟悉的。例：這个名真生份，我毋捌聽過。Chit ê miâ chin seⁿ-hūn, góa m̄-bat thiaⁿ kòe. (這個名字真陌生，我沒聽過。)　","【形】陌生。沒見過的、不認識的或不熟悉的。例：這个名真生份，我毋捌聽過。Tsit ê miâ tsin senn-hūn, guá m̄-bat thiann kuè. (這個名字真陌生，我沒聽過。)　","","生疏","熟似"
"1893","seⁿ-hūn-lâng/siⁿ-hūn-lâng","chheⁿ-hūn-lâng(又唸作)/chhiⁿ-hūn-lâng(又唸作)","senn-hun7-lang5/sinn-hun7-lang5","chhenn-hun7-lang5(又唸作)/chhinn-hun7-lang5(又唸作)","senn-hūn-lâng/sinn-hūn-lâng","tshenn-hūn-lâng(又唸作)/tshinn-hūn-lâng(又唸作)","senn-hun7-lang5/sinn-hun7-lang5","tshenn-hun7-lang5(又唸作)/tshinn-hun7-lang5(又唸作)","生份人","生份儂、生分人","","陌生人","【名】陌生人。完全不認識的人。例：兩个冤家了後就親像生份人仝款。In nn̄g ê oan-ke liáu-āu tō chhin-chhiūⁿ seⁿ-hūn-lâng kāng-khoán. (他們兩個吵架以後就像陌生人一樣。)　","【名】陌生人。完全不認識的人。例：兩个冤家了後就親像生份人仝款。In nn̄g ê uan-ke liáu-āu tō tshin-tshiūnn senn-hūn-lâng kāng-khuán. (他們兩個吵架以後就像陌生人一樣。)　","","",""
"1894","seⁿ-kiáⁿ/siⁿ-kiáⁿ","","senn-kiann2/sinn-kiann2","","senn-kiánn/sinn-kiánn","","senn-kiann2/sinn-kiann2","","生囝","生子","","分娩、生小孩、生育、生產、接生","【動】生產、分娩。生孩子，母體產出嬰兒的動作或過程。例：查某人生囝是真危險的代誌。Cha-bó͘-lâng seⁿ-kiáⁿ sī chin gûi-hiám ê tāi-chì. (女人生小孩是很危險的事情。)　","【動】生產、分娩。生孩子，母體產出嬰兒的動作或過程。例：查某人生囝是真危險的代誌。Tsa-bóo-lâng senn-kiánn sī tsin guî-hiám ê tāi-tsì. (女人生小孩是很危險的事情。)　","【台北】生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á。【三峽】生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á。【新竹】生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á(產婆語)。【台中】生囡仔　senn-gín-á, 抾囡仔　khioh-gín-á。【鹿港】抾囡仔　khioh-gín-á。【台南】生囡仔　senn-gín-á, 抾囡仔　khiorh-gín-á。【高雄】生囡仔　senn-gín-á, 抾囡仔　khiorh-gín-á。【宜蘭】生囝　senn-kiánn, 抾囡仔　khioh-gín-á。【馬公】生囡仔　sinn-gín--á, 抾囡仔　khioh-gín--á。","生囡仔、生產、抾囡仔",""
"1895","iû-chāi","","iu5-chai7","","iû-tsāi","","iu5-tsai7","","由在","","","任由、任憑、隨便、聽憑","【副】隨便、任憑。例：由在你！我無意見！Iû-chāi--lí! Góa bô ì-kiàn! (隨便你！我沒意見！)　","【副】隨便、任憑。例：由在你！我無意見！Iû-tsāi--lí! Guá bô ì-kiàn! (隨便你！我沒意見！)　","","據在、隨在",""
"1896","seⁿ gín-á/siⁿ gín-á","","senn gin2-a2/sinn gin2-a2","","senn gín-á/sinn gín-á","","senn gin2-a2/sinn gin2-a2","","生囡仔","","","分娩、生小孩、生育、生產、接生","【動】生產、分娩。生孩子。","【動】生產、分娩。生孩子。","【台北】生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á。【三峽】生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á。【新竹】生囡仔　sinn-gín-á, 抾囡仔　khioh-gín-á(產婆語)。【台中】生囡仔　senn-gín-á, 抾囡仔　khioh-gín-á。【鹿港】抾囡仔　khioh-gín-á。【台南】生囡仔　senn-gín-á, 抾囡仔　khiorh-gín-á。【高雄】生囡仔　senn-gín-á, 抾囡仔　khiorh-gín-á。【宜蘭】生囝　senn-kiánn, 抾囡仔　khioh-gín-á。【馬公】生囡仔　sinn-gín--á, 抾囡仔　khioh-gín--á。","生產、抾囡仔、抾囝",""
"1897","seng-chûn","","seng-chun5","","sing-tsûn","","sing-tsun5","","生存","","","生、生存、生活、生計、活","【動】活著、讓生命持續。","【動】活著、讓生命持續。","","生、生活、活","死、死亡"
"1898","chhân-chng","","chhan5-chng","","tshân-tsng","","tshan5-tsng","","田庄","","","鄉下、鄉村、農村","【名】鄉下、鄉村。例：田庄人　chhân-chng lâng(鄉下人)。","【名】鄉下、鄉村。例：田庄人　tshân-tsng lâng(鄉下人)。","","庄跤、鄉村",""
"1899","ba̍k-tē/ba̍k-tōe","","bak8-te7/bak8-toe7","","ba̍k-tē/ba̍k-tuē","","bak8-te7/bak8-tue7","","目地","","","起眼","【名】起眼。看起來醒目，惹人重視。例：咱做人著愛有志氣，才袂予人看無目地。Lán chò-lâng tio̍h-ài ū chì-khì, chiah bē hō͘ lâng khòaⁿ-bô ba̍k-tē. (我們做人要有志氣，才不會讓人看不起眼。)　","【名】起眼。看起來醒目，惹人重視。例：咱做人著愛有志氣，才袂予人看無目地。Lán tsò-lâng tio̍h-ài ū tsì-khì, tsiah bē hōo lâng khuànn-bô ba̍k-tē. (我們做人要有志氣，才不會讓人看不起眼。)　","","",""
"1900","seⁿ-sêng/siⁿ-sêng","seⁿ-chiâⁿ(又唸作)/siⁿ-chiâⁿ(又唸作)","senn-seng5/sinn-seng5","senn-chiann5(又唸作)/sinn-chiann5(又唸作)","senn-sîng/sinn-sîng","senn-tsiânn(又唸作)/sinn-tsiânn(又唸作)","senn-sing5/sinn-sing5","senn-tsiann5(又唸作)/sinn-tsiann5(又唸作)","生成","","","天生、長成、長得","【副】天生。自然長成地。例：鳥仔生成會飛；人生成會行路。Chiáu-á seⁿ-sêng ē poe, lâng seⁿ-sêng ē kiâⁿ-lō͘. (鳥天生會飛；人天生會走路。)　","【副】天生。自然長成地。例：鳥仔生成會飛；人生成會行路。Tsiáu-á senn-sîng ē pue, lâng senn-sîng ē kiânn-lōo. (鳥天生會飛；人天生會走路。)　","","生做",""
"1901","seⁿ-sí/siⁿ-sí","","senn-si2/sinn-si2","","senn-sí/sinn-sí","","senn-si2/sinn-si2","","生死","","","生死","【名】生存與死亡。例：兩个毋知有啥物冤仇，見擺見面就想欲拚生死。In nn̄g ê m̄ chai ū siáⁿ-mih oan-siû, kiàn-pái kìⁿ-bīn tō siūⁿ-beh piàⁿ-seⁿ-sí. (他們兩個不曉得有什麼深仇大恨，每次見面都想拚個你死我活。)　","【名】生存與死亡。例：兩个毋知有啥物冤仇，見擺見面就想欲拚生死。In nn̄g ê m̄ tsai ū siánn-mih uan-siû, kiàn-pái kìnn-bīn tō siūnn-beh piànn-senn-sí. (他們兩個不曉得有什麼深仇大恨，每次見面都想拚個你死我活。)　","","",""
"1902","pe̍h-bah","","peh8-bah","","pe̍h-bah","","peh8-bah","","白肉","","","肥肉","1.【名】肥肉。2.【形】形容皮膚白。例：伊是白肉底，按怎曝嘛曝袂烏。I sī pe̍h-bah-té, án-chóaⁿ pha̍k mā pha̍k bē o͘. (他天生皮膚白，怎麼曬都曬不黑。)　","1.【名】肥肉。2.【形】形容皮膚白。例：伊是白肉底，按怎曝嘛曝袂烏。I sī pe̍h-bah-té, án-tsuánn pha̍k mā pha̍k bē oo. (他天生皮膚白，怎麼曬都曬不黑。)　","【台北】肥肉　puî-bah。【三峽】肥肉　puî-bah。【新竹】肥肉　puî-bah。【台中】肥肉　puî-bah。【鹿港】肥肉　puî-bah。【台南】肥肉　puî-bah。【高雄】肥肉　puî-bah。【宜蘭】白肉　pe̍h-bah, 肥肉　puî-bah。【馬公】白肉　pe̍h-bah。","肥肉","赤肉、瘦肉"
"1903","pe̍h-sek","","peh8-sek","","pe̍h-sik","","peh8-sik","","白色","","","白色","【名】像雪或乳汁般素淨的顏色。","【名】像雪或乳汁般素淨的顏色。","【台北】白色　pe̍h-sik。【三峽】白色　pē-sik。【新竹】白色　pe̍h-sik。【台中】白色　pe̍h-sik。【鹿港】白　pe̍h。【台南】白　pe̍h。【高雄】白色　pe̍h-sik。【宜蘭】白　pē。【馬公】白　pe̍h。","",""
