"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HoaBun","EngBun","PageNumber"
"1","a","a","a","a","阿","initial particle, prefix to names of familiar people, as: A-beng... A-hoat... A-tho...",""
"2","a","a","a","a","鴉","crow",""
"3","a","a","a","a","亞","second, next to, inferior",""
"4","á","a2","á","a2","或，亦","or (conjunction), introduces an alternative or a word that explains or means the same",""
"5","Lí sī ha̍k-seng á m̄ sī?","Li2 si7 hak8-seng a2 m7 si7?","Lí sī ha̍k-sing á m̄ sī?","Li2 si7 hak8-sing a2 m7 si7?","你是不是學生？","Are you a student?",""
"6","Lí ū chîⁿ á bô?","Li2 u7 chinn5 a2 bo5?","Lí ū tsînn á bô?","Li2 u7 tsinn5 a2 bo5?","你有沒有錢？","Do you have money?",""
"7","Lí boeh khì á m̄?","Li2 boeh khi3 a2 m7?","Lí bueh khì á m̄?","Li2 bueh khi3 a2 m7?","你要不要去？","Do you want to go?",""
"8","á","a2","á","a2","子，兒","particle used after one syllable nouns for euphony, suffix of nouns, often diminutive",""
"9","bō-á","bo7-a2","bō-á","bo7-a2","帽子","hat",""
"10","chhiū-á","chhiu7-a2","tshiū-á","tshiu7-a2","樹","tree",""
"11","í-á","i2-a2","í-á","i2-a2","椅子","chair",""
"12","káu-á","kau2-a2","káu-á","kau2-a2","狗，小狗","dog",""
"13","A-bēng","A-beng7","A-bīng","A-bing7","亞孟","Amen! So be it!",""
"14","a-bó (a-bú)","a-bo2 (a-bu2)","a-bó (a-bú)","a-bo2 (a-bu2)","母親，媽媽","mother, mama",""
"15","a-cha","a-cha","a-tsa","a-tsa","骯髒","dirty",""
"16","a-ché (a-chí)","a-che2 (a-chi2)","a-tsé (a-tsí)","a-tse2 (a-tsi2)","姊姊","sister (elder sister)",""
"17","a-chek","a-chek","a-tsik","a-tsik","叔父，叔叔","uncle (father's younger brothers)",""
"18","a-chím","a-chim2","a-tsím","a-tsim2","嬸母，嬸嬸","aunt, wife of an uncle on the father's side of the family",""
"19","A-chiu","A-chiu","A-tsiu","A-tsiu","亞洲","Asia",""
"20","A-chiu kim-iông-hong-po̍k","A-chiu kim-iong5-hong-pok8","A-tsiu kim-iông-hong-po̍k","A-tsiu kim-iong5-hong-pok8","亞洲金融風暴","Asian financial storm",""
"21","a-chó͘","a-choo2","a-tsóo","a-tsoo2","曾祖父母","great grandparents on both sides of the family",""
"22","a-hiaⁿ","a-hiann","a-hiann","a-hiann","哥哥","brother (elder brother)",""
"23","a-hui","a-hui","a-hui","a-hui","阿飛","young man who combines the characteristics of a hippie and a juvenile delinquent",""
"24","a-î","a-i5","a-î","a-i5","阿姨，姨媽","aunt, (mother's sisters)",""
"25","a-iân","a-ian5","a-iân","a-ian5","亞鉛，鋅","zinc",""
"26","a-iân-phiáⁿ (iân-phiáⁿ)","a-ian5-phiann2 (ian5-phiann2)","a-iân-phiánn (iân-phiánn)","a-ian5-phiann2 (ian5-phiann2)","亞鉛板，白鐵皮","galvanized metal sheeting",""
"27","khàm a-iân-phiáⁿ","kham3 a-ian5-phiann2","khàm a-iân-phiánn","kham3 a-ian5-phiann2","蓋白鐵皮","roof covered with galvanized metal sheeting",""
"28","a-iân-sòaⁿ (iân-sòaⁿ, thih-sòaⁿ)","a-ian5-soann3 (ian5-soann3, thih-soann3)","a-iân-suànn (iân-suànn, thih-suànn)","a-ian5-suann3 (ian5-suann3, thih-suann3)","鐵絲","galvanized (zinc-coated) wire",""
"29","a-jia̍t-tài","a-jiat8-tai3","a-jia̍t-tài","a-jiat8-tai3","亞熱帶","subtropical zone",""
"30","a-kīm","a-kim7","a-kīm","a-kim7","舅母，舅媽","aunt (wife of an uncle on the mother's side of the family)",""
"31","A-kin-têng","A-kin-teng5","A-kin-tîng","A-kin-ting5","阿根廷","Argentina",""
"32","a-ko͘","a-koo","a-koo","a-koo","姑母，姑媽","aunt (father's sisters)",""
"33","a-kong (án-kong)","a-kong (an2-kong)","a-kong (án-kong)","a-kong (an2-kong)","祖父，爺爺","grandfather",""
"34","a-kū","a-ku7","a-kū","a-ku7","舅父，舅舅","uncle (mother's brothers)",""
"35","a-kun","a-kun","a-kun","a-kun","亞軍","in second place, second prize",""
"36","A-la-hoat-te̍k","A-la-hoat-tek8","A-la-huat-ti̍k","A-la-huat-tik8","阿拉法特","Arafat",""
"37","A-la-pek","A-la-pek","A-la-pik","A-la-pik","阿拉伯","Arabia, Arab",""
"38","A-la-pek liân-ha̍p kiōng-hô-kok (A-liân)","A-la-pek lian5-hap8 kiong7-ho5-kok (A-lian5)","A-la-pik liân-ha̍p kiōng-hô-kok (A-liân)","A-la-pik lian5-hap8 kiong7-ho5-kok (A-lian5)","阿拉伯聯合共和國，阿聯","United Arab Republic",""
"39","A-la-pek sò͘-jī","A-la-pek soo3-ji7","A-la-pik sòo-jī","A-la-pik soo3-ji7","阿拉伯數字","Arabic numerals",""
"40","A-le̍k-san-tāi","A-lek8-san-tai7","A-li̍k-san-tāi","A-lik8-san-tai7","亞歷山大","Alexander the Great (356-323 B.C.)",""
"41","a-lí-put-ta̍t","a-li2-put-tat8","a-lí-put-ta̍t","a-li2-put-tat8","不三不四","useless, not to the point",""
"42","a-lí-put-ta̍t ê pêng-iú","a-li2-put-tat8 e5 peng5-iu2","a-lí-put-ta̍t ê pîng-iú","a-li2-put-tat8 e5 ping5-iu2","不三不四的朋友","useless acquaintance",""
"43","kong kah a-lí-put-ta̍t","kong kah a-li2-put-tat8","kong kah a-lí-put-ta̍t","kong kah a-li2-put-tat8","說得不三不四","say nothing to the point or purpose",""
"44","A-liân","A-lian5","A-liân","A-lian5","阿聯","United Arab Republic",""
"45","a-ḿ","a-m2","a-ḿ","a-m2","伯母","aunt (wife of father's older brothers)",""
"46","a-má","a-ma2","a-má","a-ma2","祖母，奶奶","grandmother",""
"47","a-mo͘-nî-a","a-moo-ni5-a","a-moo-nî-a","a-moo-ni5-a","阿摩尼亞","ammonia",""
"48","A-mô͘-sū","A-moo5-su7","A-môo-sū","A-moo5-su7","亞摩士","Amos",""
"49","a-pa","a-pa","a-pa","a-pa","父親，爸爸","father, daddy, papa",""
"50","à-pà","a3-pa3","à-pà","a3-pa3","霸道，專橫","selfish, covetous, tyrannical, usurp",""
"51","I chin à-pà, lóng bô siūⁿ pa̍t-lâng ê li̍p-tiûⁿ","I chin a3-pa3, long2 bo5 siunn7 pat8-lang5 e5 lip8-tiunn5","I tsin à-pà, lóng bô siūnn pa̍t-lâng ê li̍p-tiûnn","I tsin a3-pa3, long2 bo5 siunn7 pat8-lang5 e5 lip8-tiunn5","他很霸道，都不想別人的立場。","He thinks of no one but himself.",""
"52","I bat à-pà lâng ê chhân-hn̂g.","I bat a3-pa3 lang5 e5 chhan5-hng5.","I bat à-pà lâng ê tshân-hn̂g.","I bat a3-pa3 lang5 e5 tshan5-hng5.","他曾霸佔人的田園。","He encroached on other people's land.",""
"53","a-peh","a-peh","a-peh","a-peh","伯父，伯伯","uncle (father's elder brothers)",""
"54","A-pek-tí-a-su","A-pek-ti2-a-su","A-pik-tí-a-su","A-pik-ti2-a-su","亞北底亞斯","Abdias (Catholic), biblical name for one of the prophets",""
"55","a-phiàn","a-phian3","a-phiàn","a-phian3","鴉片","opium",""
"56","a-phiàn-hun","a-phian3-hun","a-phiàn-hun","a-phian3-hun","鴉片煙","opium prepared for smoking",""
"57","a-phiàn-hun-chhoe","a-phian3-hun-chhoe","a-phiàn-hun-tshue","a-phian3-hun-tshue","鴉片煙管","opium pipe",""
"58","a-phiàn-kúi","a-phian3-kui2","a-phiàn-kuí","a-phian3-kui2","鴉片鬼","opium fiend",""
"59","a-phiàn-sian","a-phian3-sian","a-phiàn-sian","a-phian3-sian","鴉片鬼，瘦皮猴","opium addict, skinny person, bag of bones, scarecrow",""
"60","a-phiàn tiòng-to̍k-chiá","a-phian3 tiong3-tok8-chia2","a-phiàn tiòng-to̍k-tsiá","a-phian3 tiong3-tok8-tsia2","鴉片中毒者","opium addict",""
"61","A-pho-lô","A-pho-lo5","A-pho-lô","A-pho-lo5","阿波羅","Apollo",""
"62","a-pô","a-po5","a-pô","a-po5","阿婆","term of respect for an old woman",""
"63","a-put-tó","a-put-to2","a-put-tó","a-put-to2","不倒翁","tumbling toy, a legless, round-bottomed roly-poly doll",""
"64","a-se","a-se","a-se","a-se","傻瓜","fool, foolish",""
"65","A-sèng","A-seng3","A-sìng","A-sing3","亞聖","Mencius (Lit. second to the Sage)",""
"66","a-só","a-so2","a-só","a-so2","嫂嫂","sister-in-law (elder brother's wife)",""
"67","a-táu","a-tau2","a-táu","a-tau2","阿斗，傻瓜","good-for-nothing",""
"68","A-thài keng-chè ha̍p-chok hōe-gī","A-thai3 keng-che3 hap8-chok hoe7-gi7","A-thài king-tsè ha̍p-tsok huē-gī","A-thai3 king-tse3 hap8-tsok hue7-gi7","亞太經濟合作會議","Asia-Pacific Economic Cooperation",""
"69","a-thâu","a-thau5","a-thâu","a-thau5","老娼","madam of a brothel",""
"70","A-thâu chiū-sī cha-bó͘-keng ê láu-pán-niû.","A-thau5 chiu7-si7 cha-boo2-keng e5 lau2-pan2-niu5.","A-thâu tsiū-sī tsa-bóo-king ê láu-pán-niû.","A-thau5 tsiu7-si7 tsa-boo2-king e5 lau2-pan2-niu5.","老娼就是妓女院的老闆娘。","An a-thau is the wife of the brothel owner or she herself is the owner.",""
"71","a-tia","a-tia","a-tia","a-tia","爹，爸爸","father, daddy, papa",""
"72","a-tok-á","a-tok-a2","a-tok-á","a-tok-a2","洋人，大鼻子","foreigner, hooknose",""
"73","A-tong","A-tong","A-tong","A-tong","亞當","Adam",""
"74","A-ūn (A-chiu ūn-tōng-hōe)","A-un7 (A-chiu un7-tong7-hoe7)","A-ūn (A-tsiu ūn-tōng-huē)","A-un7 (A-tsiu un7-tong7-hue7)","亞運","Asian Games",""
"75","àⁿ","ann3","ànn","ann3","保護在腋下","like a hen protecting her chicks, to hover over as to protect or keep warm",""
"76","áⁿ","ann2","ánn","ann2","偎","lie in bed with a child to put him to sleep",""
"77","àⁿ","ann3","ànn","ann3","向，俯","face toward, stoop or bend down",""
"78","âⁿ","ann5","ânn","ann5","攔，袒護","hinder, impede, oppose, obstruct, stand up for, protect, defend",""
"79","âⁿ ke-á-kiáⁿ","ann5 ke-a2-kiann2","ânn ke-á-kiánn","ann5 ke-a2-kiann2","護小雞","brood over chicks like a hen, to protect or defend little chicks",""
"80","âⁿ kui pêng","ann5 kui peng5","ânn kui pîng","ann5 kui ping5","偏袒","be partial, show partiality, favor one party more than another, partiality",""
"81","āⁿ","ann7","ānn","ann7","餡","stuffing or contents of pies, tarts or cakes",""
"82","Chit tè bô pau āⁿ.","Chit te3 bo5 pau ann7.","Tsit tè bô pau ānn.","Tsit te3 bo5 pau ann7.","這塊沒包餡。","This piece has no filling.",""
"83","Chit lia̍p pau-á pau sím-mih āⁿ?","Chit liap8 pau-a2 pau sim2-mih ann7?","Tsit lia̍p pau-á pau sím-mih ānn?","Tsit liap8 pau-a2 pau sim2-mih ann7?","這個包子包什麼餡？","What kind of filling does this dumpling have?",""
"84","kiâm-āⁿ","kiam5-ann7","kiâm-ānn","kiam5-ann7","鹹餡","salty stuffing",""
"85","tiⁿ-āⁿ","tinn-ann7","tinn-ānn","tinn-ann7","甜餡","sweet stuffing",""
"86","âⁿ-cha̍h","ann5-chah8","ânn-tsa̍h","ann5-tsah8","攔阻","obstruct, impede",""
"87","àⁿ-io","ann3-io","ànn-io","ann3-io","彎腰","bow, to bend one's back",""
"88","àⁿ-lâm (-tang, -sai, -pak)","ann3-lam5 (-tang, -sai, -pak)","ànn-lâm (-tang, -sai, -pak)","ann3-lam5 (-tang, -sai, -pak)","朝南（東，西，北）","structure facing south (east, west, north)",""
"89","Àⁿ-lâm ê chhù khah chhiu-chhìn.","Ann3-lam5 e5 chhu3 khah chhiu-chhin3.","Ànn-lâm ê tshù khah tshiu-tshìn.","Ann3-lam5 e5 tshu3 khah tshiu-tshin3.","朝南的房子較涼快。","A building facing south is cooler.",""
"90","àⁿ-lo̍h-khì","ann3-loh8-khi3","ànn-lo̍h-khì","ann3-loh8-khi3","俯下去，彎腰","turn one's face downward, stoop down",""
"91","Kiàn-siàu kah àⁿ-lo̍h-khì.","Kian3-siau3 kah ann3-loh8-khi3.","Kiàn-siàu kah ànn-lo̍h-khì.","Kian3-siau3 kah ann3-loh8-khi3.","羞得彎下去。","hide one's head in embarrassment",""
"92","Àⁿ-lo̍h-khì pa̍k ê-tòa.","Ann3-loh8-khi3 pak8 e5-toa3.","Ànn-lo̍h-khì pa̍k ê-tuà.","Ann3-loh8-khi3 pak8 e5-tua3.","彎下去繫鞋帶。","bend down to tie one's shoe",""
"93","àⁿ-thâu","ann3-thau5","ànn-thâu","ann3-thau5","低頭","lower, bow or hang one's head, yield, submit",""
"94","ah","ah","ah","ah","鴨子","duck, drake",""
"95","Chhit-goe̍h-pòaⁿ-ah-á m̄ chai sí (sí-oa̍h).","Chhit-goeh8-poann3-ah-a2 m7 chai si2 (si2-oah8).","Tshit-gue̍h-puànn-ah-á m̄ tsai sí (sí-ua̍h).","Tshit-gueh8-puann3-ah-a2 m7 tsai si2 (si2-uah8).","危在旦夕，還不知。","unaware of impending calamity (Refers to a duck in the middle of the seventh month, when ducks are usually offered to the spirits of the dead, yet do not know enough to fear death. -- Similar to a turkey just before Thanksgiving), used to scold someone wh",""
"96","ah-á-chhùi bóng lo","ah-a2-chhui3 bong2 lo","ah-á-tshuì bóng lo","ah-a2-tshui3 bong2 lo","姑妄要求","make an attempt or ask a favor with very small hope of success but may just as well make the attempt (like a duck's bill dabbling about in the air while eating)",""
"97","ah-á thiaⁿ lûi","ah-a2 thiann lui5","ah-á thiann luî","ah-a2 thiann lui5","鴨子聽打雷，聽不懂","hear what someone says but cannot understand (like a duck hearing thunder not knowing what all the noise is about)",""
"98","ah-bó-tê","ah-bo2-te5","ah-bó-tê","ah-bo2-te5","平板腳","flat footed clumsily gaited person (Lit. sole of a duck's foot), a man whose foot is very broad and flat at the instep instead of having the usual concave)",""
"99","ah","ah","ah","ah","押","guard, escort, detain, arrest, to press, compel, force, to pawn",""
"100","ah","ah","ah","ah","啊","exclamation of regret or disgust (interjection)",""
"101","Ai-ah, chin khó͘-liân.","Ai-ah, chin khoo2-lian5.","Ai-ah, tsin khóo-liân.","Ai-ah, tsin khoo2-lian5.","唉啊！真可憐！","Oh! How pitiful!",""
"102","ah (pah)","ah (pah)","ah (pah)","ah (pah)","百","one hundred (used as a substitute some times for pah but never used for any sum less than two hundred)",""
"103","nn̄g-ah-káu (saⁿ-ah-peh)","nng7-ah-kau2 (sann-ah-peh)","nn̄g-ah-káu (sann-ah-peh)","nng7-ah-kau2 (sann-ah-peh)","兩百玖（肆百捌）","very rough cloth or hands",""
"104","sì-ah-chhit (gō͘-ah-siap-la̍k)","si3-ah-chhit (goo7-ah-siap-lak8)","sì-ah-tshit (gōo-ah-siap-la̍k)","si3-ah-tshit (goo7-ah-siap-lak8)","四百柒（伍百肆拾陸）","good fortune which one doesn't deserve, illegal gains",""
"105","a̍h (a̍h-á, a̍p-á)","ah8 (ah8-a2, ap8-a2)","a̍h (a̍h-á, a̍p-á)","ah8 (ah8-a2, ap8-a2)","盒子","box, a box with a cover or lid, capsules, a case",""
"106","ah-á-kiáⁿ","ah-a2-kiann2","ah-á-kiánn","ah-a2-kiann2","小鴨","duckling",""
"107","ah-āu","ah-au7","ah-āu","ah-au7","延後","defer, to delay",""
"108","ah-āu","ah-au7","ah-āu","ah-au7","壓後","last one in a group",""
"109","ah-bah","ah-bah","ah-bah","ah-bah","鴨肉","duck meat",""
"110","ah-bī","ah-bi7","ah-bī","ah-bi7","壓味","add flavoring",""
"111","ah-bó (ah-bú)","ah-bo2 (ah-bu2)","ah-bó (ah-bú)","ah-bo2 (ah-bu2)","母鴨","female duck",""
"112","ah-bó-chháu","ah-bo2-chhau2","ah-bó-tsháu","ah-bo2-tshau2","鴨母草","kind of motherwort, Leonurus sibiricus, Lindernia ciliata",""
"113","ah-chhùi-siù","ah-chhui3-siu3","ah-tshuì-siù","ah-tshui3-siu3","鴨嘴獸","duckbill, platypus",""
"114","ah-chi̍h-hông","ah-chih8-hong5","ah-tsi̍h-hông","ah-tsih8-hong5","鴨舌黃","kind of motherwort, Lindernia ciliata, Borreria hispida, Lippia nodiflora",""
"115","ah-chiúⁿ","ah-chiunn2","ah-tsiúnn","ah-tsiunn2","鴨掌","duck's web-foot",""
"116","ah-hoān","ah-hoan7","ah-huān","ah-huan7","押犯","escort a criminal",""
"117","ah-hòe","ah-hoe3","ah-huè","ah-hue3","押貨","escort merchandise",""
"118","ah-ji̍t-chí","ah-jit8-chi2","ah-ji̍t-tsí","ah-jit8-tsi2","訂日子","date, be dated",""
"119","ah-kái","ah-kai2","ah-kái","ah-kai2","押解","send away under guard",""
"120","ah-kak (ah-kang)","ah-kak (ah-kang)","ah-kak (ah-kang)","ah-kak (ah-kang)","公鴨","male duck",""
"121","ah-kim","ah-kim","ah-kim","ah-kim","押金","deposit, security money",""
"122","ah-lam","ah-lam","ah-lam","ah-lam","鴨籠子","basket for ducks",""
"123","ah-nn̄g","ah-nng7","ah-nn̄g","ah-nng7","鴨蛋","duck egg",""
"124","kiâm ah-nn̄g","kiam5 ah-nng7","kiâm ah-nn̄g","kiam5 ah-nng7","鹹鴨蛋","salted duck egg",""
"125","ah-pa","ah-pa","ah-pa","ah-pa","板鴨","dried duck",""
"126","ah-pio","ah-pio","ah-pio","ah-pio","押標","bond for a bid",""
"127","ah-sàng","ah-sang3","ah-sàng","ah-sang3","押送","escort and guard, send goods or criminals to another place under escort or guard",""
"128","ah-suh","ah-suh","ah-suh","ah-suh","短路","short in the wiring system",""
"129","ah-suh-sòaⁿ","ah-suh-soann3","ah-suh-suànn","ah-suh-suann3","接地線","ground wire",""
"130","ah-tīn","ah-tin7","ah-tīn","ah-tin7","壓陣","stabilize battle formation",""
"131","ah-tó-sûn","ah-to2-sun5","ah-tó-sûn","ah-to2-sun5","控制成習慣","oppress someone to obey all the time",""
"132","ah-tó-thâu","ah-to2-thau5","ah-tó-thâu","ah-to2-thau5","壓得死死","crush",""
"133","I hō͘ lâng ah-tó-thâu a, bô hoat-tō͘ thang hoán-khòng a.","I hoo7 lang5 ah-to2-thau5 a, bo5 hoat-too7 thang hoan2-khong3 a.","I hōo lâng ah-tó-thâu a, bô huat-tōo thang huán-khòng a.","I hoo7 lang5 ah-to2-thau5 a, bo5 huat-too7 thang huan2-khong3 a.","他被人壓得死死，沒辦法反抗了。","He was crushed to death, there is no way to revive him.",""
"134","ah-tūi","ah-tui7","ah-tuī","ah-tui7","壓隊","bring up the rear and supervise",""
"135","ah-ūn","ah-un7","ah-ūn","ah-un7","押韻","rhyme",""
"136","ai","ai","ai","ai","哀","grieve, mourn, lament, to pity, sad, sorrowful, lamentable, pitiful",""
"137","ai","ai","ai","ai","挨","suffer hunger or a beating",""
"138","ài","ai3","ài","ai3","愛，要，喜歡","love, to wish, desire, want, need, should, will, like, affection, kindness, benevolence",""
"139","ài","ai3","ài","ai3","曖","dim, indistinct, ambiguous, vague",""
"140","ài bē-kì-tit","ai3 be7-ki3-tit","ài bē-kì-tit","ai3 be7-ki3-tit","健忘，容易忘記","forgetful, have a poor or a short memory, tend to forget",""
"141","ài bîn jû chú","ai3 bin5 ju5 chu2","ài bîn jû tsú","ai3 bin5 ju5 tsu2","愛民如子","love the subjects as if they were his own children (said of a ruler or official)",""
"142","ài-bō͘","ai3-boo7","ài-bōo","ai3-boo7","愛慕","love ardently, adore",""
"143","ài châi jio̍k (jû) bēng","ai3 chai5 jiok8 (ju5) beng7","ài tsâi jio̍k (jû) bīng","ai3 tsai5 jiok8 (ju5) bing7","愛財若（如）命","love wealth as much as life, very stingy",""
"144","ài-chêng","ai3-cheng5","ài-tsîng","ai3-tsing5","愛情","love, affection",""
"145","Pē-bó ê ài-chêng pí soaⁿ khah koân, pí hái khah chhim.","Pe7-bo2 e5 ai3-cheng5 pi2 soann khah koan5, pi2 hai2 khah chhim.","Pē-bó ê ài-tsîng pí suann khah kuân, pí hái khah tshim.","Pe7-bo2 e5 ai3-tsing5 pi2 suann khah kuan5, pi2 hai2 khah tshim.","父母的愛情比山還高，比海還深。","A parent's love is higher than a mountain and deeper than the sea.",""
"146","ài-chêng choan-it","ai3-cheng5 choan-it","ài-tsîng tsuan-it","ai3-tsing5 tsuan-it","愛情專一","steadfast in love, constant in love",""
"147","ài-chêng put-choan","ai3-cheng5 put-choan","ài-tsîng put-tsuan","ai3-tsing5 put-tsuan","愛情不專","changeable or unstable in love, fickle",""
"148","ài-chhiap","ai3-chhiap","ài-tshiap","ai3-tshiap","愛妾","beloved concubine",""
"149","ài chia̍h","ai3 chiah8","ài tsia̍h","ai3 tsiah8","好吃","hungry, greedy",""
"150","ai-chú","ai-chu2","ai-tsú","ai-tsu2","哀子","male bereaved of his father",""
"151","ài-chú","ai3-chu2","ài-tsú","ai3-tsu2","愛子","beloved son, favorite son",""
"152","ài-chu-pēⁿ","ai3-chu-penn7","ài-tsu-pēnn","ai3-tsu-penn7","愛滋病","acquired immune deficiently syndrome, AIDS",""
"153","ài ê kiat-cheng","ai3 e5 kiat-cheng","ài ê kiat-tsing","ai3 e5 kiat-tsing","愛的結晶","crystallization of love",""
"154","ai-ga̍k","ai-gak8","ai-ga̍k","ai-gak8","哀樂","music of lament, funeral music",""
"155","ài-gio̍k-á (chháu-chí-á)","ai3-giok8-a2 (chhau2-chi2-a2)","ài-gio̍k-á (tsháu-tsí-á)","ai3-giok8-a2 (tshau2-tsi2-a2)","愛玉","kind of vine whose seeds can make a jelly",""
"156","ài hi-êng","ai3 hi-eng5","ài hi-îng","ai3 hi-ing5","愛虛榮","vainglorious",""
"157","ai-hō","ai-ho7","ai-hō","ai-ho7","哀號","wail",""
"158","ài-hô","ai3-ho5","ài-hô","ai3-ho5","愛河","river of love",""
"159","ài-hô éng-io̍k","ai3-ho5 eng2-iok8","ài-hô íng-io̍k","ai3-ho5 ing2-iok8","愛河永浴","bathe forever in the river of love (a conventional phrase in wedding congratulations)",""
"160","ài-hō͘","ai3-hoo7","ài-hōo","ai3-hoo7","愛護","give kind protection to, take kind care of",""
"161","ài-hòⁿ","ai3-honn3","ài-hònn","ai3-honn3","愛好","be interested in, love, sports or art",""
"162","ài-hóe","ai3-hoe2","ài-hué","ai3-hue2","愛火","passion",""
"163","Ài-in-su-thán","Ai3-in-su-than2","Ài-in-su-thán","Ai3-in-su-than2","愛因斯坦","Albert Einstein (1879-1955), physicist and mathematician, noted for his Theory of Relativity",""
"164","ai-ioh","ai-ioh","ai-ioh","ai-ioh","哎喲","exclamation of astonishment or pain",""
"165","Ai-ioh, Ná chiah thiàⁿ?","Ai-ioh, Na2 chiah thiann3?","Ai-ioh, Ná tsiah thiànn?","Ai-ioh, Na2 tsiah thiann3?","哎喲，怎麼這麼痛？","Oh! Why does it hurt so much?",""
"166","Ai-ioh, Lí ná hiah gâu kóng?","Ai-ioh, Li2 na2 hiah gau5 kong2?","Ai-ioh, Lí ná hiah gâu kóng?","Ai-ioh, Li2 na2 hiah gau5 kong2?","哎喲，你怎麼這麼會講？","Gosh! How come you talk so much? (How come you are so clever with your mouth?)",""
"167","ài-iōng","ai3-iong7","ài-iōng","ai3-iong7","愛用","love to use, prefer to use",""
"168","ài-jîn","ai3-jin5","ài-jîn","ai3-jin5","愛人","sweetheart",""
"169","ài jîn jû kí","ai3 jin5 ju5 ki2","ài jîn jû kí","ai3 jin5 ju5 ki2","愛人如己","love one's neighbor as oneself",""
"170","ài ka-tī hó","ai3 ka-ti7 ho2","ài ka-tī hó","ai3 ka-ti7 ho2","自私的","egotistical, selfish, self love",""
"171","ai-keng","ai-keng","ai-king","ai-king","哀矜","alms (Catholic)",""
"172","ài-khàu","ai3-khau3","ài-khàu","ai3-khau3","好哭","cranky child, given to crying",""
"173","ài-kháu","ai3-khau2","ài-kháu","ai3-khau2","隘口","entrance to gully",""
"174","ài-khàu-bīn","ai3-khau3-bin7","ài-khàu-bīn","ai3-khau3-bin7","好哭臉","cry baby face",""
"175","ài-khàu bô ba̍k-sái","ai3-khau3 bo5 bak8-sai2","ài-khàu bô ba̍k-sái","ai3-khau3 bo5 bak8-sai2","欲哭無淚，有口難言","find it hard to bring up a matter",""
"176","ài-khián","ai3-khian2","ài-khián","ai3-khian2","愛犬","beloved dog",""
"177","ai-khip","ai-khip","ai-khip","ai-khip","哀泣","weep with sorrow",""
"178","ài-khùn","ai3-khun3","ài-khùn","ai3-khun3","愛睏，想睡","be sleepy, want to sleep",""
"179","Lí ē ài khùn bē?","Li2 e7 ai3 khun3 be7?","Lí ē ài khùn bē?","Li2 e7 ai3 khun3 be7?","你愛睏嗎？","Are you sleepy?",""
"180","ài-kiau","ai3-kiau","ài-kiau","ai3-kiau","愛嬌","charm, attractive, amiable",""
"181","ai-kiò","ai-kio3","ai-kiò","ai-kio3","哀叫","groan",""
"182","Ai-ki̍p","Ai-kip8","Ai-ki̍p","Ai-kip8","埃及","Egypt",""
"183","ai-kiû","ai-kiu5","ai-kiû","ai-kiu5","哀求","entreat, implore, beg, appeal pathetically",""
"184","ài kiû-siû","ai3 kiu5-siu5","ài kiû-siû","ai3 kiu5-siu5","愛仇敵","love one's enemies (Catholic)",""
"185","ai-ko (ai-koa)","ai-ko (ai-koa)","ai-ko (ai-kua)","ai-ko (ai-kua)","哀歌","song of lament, elegy, a funeral song",""
"186","ai-kò","ai-ko3","ai-kò","ai-ko3","哀告","announce, obituary notice",""
"187","ài-kò͘","ai3-koo3","ài-kòo","ai3-koo3","愛顧","take loving care of, customers' kind patronization of a store",""
"188","ai-koa","ai-koa","ai-kua","ai-kua","哀歌","mournful song, dirge, elegy",""
"189","ài-kok","ai3-kok","ài-kok","ai3-kok","愛國","patriotic",""
"190","ài-kok-chú-gī","ai3-kok-chu2-gi7","ài-kok-tsú-gī","ai3-kok-tsu2-gi7","愛國主義","patriotism",""
"191","ài-kok-kong-chè","ai3-kok-kong-che3","ài-kok-kong-tsè","ai3-kok-kong-tse3","愛國公債","government bonds",""
"192","ài-kok-sim","ai3-kok-sim","ài-kok-sim","ai3-kok-sim","愛國心","love of country, patriotism",""
"193","ài-kok ūn-tōng","ai3-kok un7-tong7","ài-kok ūn-tōng","ai3-kok un7-tong7","愛國運動","patriotic movement",""
"194","ài-lí","ai3-li2","ài-lí","ai3-li2","愛女","beloved daughter, favorite daughter",""
"195","ai-lo̍k","ai-lok8","ai-lo̍k","ai-lok8","哀樂","grief and joy",""
"196","ài-māi, (ài-mūi)","ai3-mai7, (ai3-mui7)","ài-māi, (ài-muī)","ai3-mai7, (ai3-mui7)","曖昧","underhanded, deceitful, obscure",""
"197","Tùi kim-chîⁿ m̄-thang ū ài-māi.","Tui3 kim-chinn5 m7-thang u7 ai3-mai7.","Tuì kim-tsînn m̄-thang ū ài-māi.","Tui3 kim-tsinn5 m7-thang u7 ai3-mai7.","對金錢不要有曖昧。","Don't be dishonest with money.",""
"198","Kóng khah chheng-chhó lè, mài hiah ài-māi.","Kong2 khah chheng-chho2 le3, mai3 hiah ai3-mai7.","Kóng khah tshing-tshó lè, mài hiah ài-māi.","Kong2 khah tshing-tsho2 le3, mai3 hiah ai3-mai7.","說清楚點，不要那麼曖昧。","Speak more clearly, don't be so obscure.",""
"199","ài-māi hêng-ûi","ai3-mai7 heng5-ui5","ài-māi hîng-uî","ai3-mai7 hing5-ui5","曖昧行為","scandal (especially an illicit affair)",""
"200","ài-mūi, (ài-māi)","ai3-mui7, (ai3-mai7)","ài-muī, (ài-māi)","ai3-mui7, (ai3-mai7)","曖昧","underhanded, deceitful, obscure",""
