"DictWordID","PojUnicode","PojInput","KipUnicode","KipInput","HoaBun","EngBun","PageNumber"
"43828","sí-siong","si2-siong","sí-siong","si2-siong","死傷","dead and wounded, casualties",""
"43829","sî-siông","si5-siong5","sî-siông","si5-siong5","時常","often, usually, frequently",""
"43830","si-siú","si-siu2","si-siú","si-siu2","屍首","corpse",""
"43831","sí-siú","si2-siu2","sí-siú","si2-siu2","死守","defend (a position, city) to the last man",""
"43832","sì-siù (-á)","si3-siu3 (-a2)","sì-siù (-á)","si3-siu3 (-a2)","零食","pastries and sweetmeats, snacks",""
"43833","sí-sng","si2-sng","sí-sng","si2-sng","內向，懦弱","dispirited",""
"43834","sì-sòaⁿ","si3-soann3","sì-suànn","si3-suann3","四散","scattered in all directions",""
"43835","sī-sòaⁿ","si7-soann3","sī-suànn","si7-suann3","視線","the line of vision or sight ─ the straight line between an object and one's eyes",""
"43836","sî-sok","si5-sok","sî-sok","si5-sok","時速","speed per hour",""
"43837","sî-sok 4 eng-lí","si5-sok 40 eng-li2","sî-sok 4 ing-lí","si5-sok 40 ing-li2","時速四十英里","forty miles an hour (per hour), 40 mph",""
"43838","sî-sū","si5-su7","sî-sū","si5-su7","時事","current state of affairs, current events",""
"43839","sī sú jû kui","si7 su2 ju5 kui","sī sú jû kui","si7 su2 ju5 kui","視死如歸","look upon death as going home, fearless and dauntless",""
"43840","sî-sū phêng-lūn","si5-su7 pheng5-lun7","sî-sū phîng-lūn","si5-su7 phing5-lun7","時事評論","editorial commentary, news analysis",""
"43841","sí-sûn","si2-sun5","sí-sûn","si2-sun5","不輕易消失的線條","wrinkles, lines hard to disappear",""
"43842","sî-tāi","si5-tai7","sî-tāi","si5-tai7","時代","time, period, epoch, stage, age, era",""
"43843","goán lāu-pē ê sî-tāi","goan2 lau7-pe7 e5 si5-tai7","guán lāu-pē ê sî-tāi","guan2 lau7-pe7 e5 si5-tai7","我父親的時代","in my father's day",""
"43844","goân-chú sî-tāi","goan5-chu2 si5-tai7","guân-tsú sî-tāi","guan5-tsu2 si5-tai7","原子時代","atomic age",""
"43845","Sî-tāi cha̍p-chì","Si5-tai7 chap8-chi3","Sî-tāi tsa̍p-tsì","Si5-tai7 tsap8-tsi3","時代雜誌","TIME"" magazine",""
"43846","sí-teng-teng","si2-teng-teng","sí-ting-ting","si2-ting-ting","死板的，不會變通","rigid, inflexible, unprogressive (trade), not active, not brisk, unlively, unsprightly, depressed, low spirited",""
"43847","sí-thai","si2-thai","sí-thai","si2-thai","死胎","dead fetus, stillborn",""
"43848","sî thâu-lō͘ (sî-chit)","si5 thau5-loo7 (si5-chit)","sî thâu-lōo (sî-tsit)","si5 thau5-loo7 (si5-tsit)","辭職","quit office (one's job)",""
"43849","si-thé","si-the2","si-thé","si-the2","屍體","corpse, carcass",""
"43850","si-thé kái-phó͘","si-the2 kai2-phoo2","si-thé kái-phóo","si-the2 kai2-phoo2","屍體解剖","postmortem (examination)",""
"43851","sī-thiaⁿ","si7-thiann","sī-thiann","si7-thiann","視聽","what one saw and heard, knowledge and experience, audio-visual",""
"43852","sī-thiaⁿ kàu-io̍k","si7-thiann kau3-iok8","sī-thiann kàu-io̍k","si7-thiann kau3-iok8","視聽教育","audio-visual education",""
"43853","si-tián","si-tian2","si-tián","si-tian2","施展","display (one's talent, skill), expand",""
"43854","sí-ti̍t","si2-tit8","sí-ti̍t","si2-tit8","愚直","simple and honest dull and mechanical",""
"43855","sí-tò͘","si2-too3","sí-tòo","si2-too3","死鬥","fight to the death",""
"43856","sī-tōa (sī-tōa-lâng)","si7-toa7 (si7-toa7-lang5)","sī-tuā (sī-tuā-lâng)","si7-tua7 (si7-tua7-lang5)","長上，父母","a superior, parents",""
"43857","si-tôaⁿ","si-toann5","si-tuânn","si-tuann5","詩壇","circle of poets",""
"43858","si-toān","si-toan7","si-tuān","si-tuan7","絲緞","silk and satin",""
"43859","si-to̍k","si-tok8","si-to̍k","si-tok8","屍毒","poison of corpse",""
"43860","sī-ui","si7-ui","sī-ui","si7-ui","示威","make a demonstration",""
"43861","sī-ui iû-hêng","si7-ui iu5-heng5","sī-ui iû-hîng","si7-ui iu5-hing5","示威遊行","protest march, demonstration parade",""
"43862","sī-ui ūn-tōng","si7-ui un7-tong7","sī-ui ūn-tōng","si7-ui un7-tong7","示威運動","demonstration",""
"43863","si-ūn","si-un7","si-ūn","si-un7","詩韻","rhyme of verses",""
"43864","sìⁿ (siàn)","sinn3 (sian3)","sìnn (siàn)","sinn3 (sian3)","扇","fan, leaf of a door or window",""
"43865","chi̍t sìⁿ mn̂g","chit8 sinn3 mng5","tsi̍t sìnn mn̂g","tsit8 sinn3 mng5","一扇門","one door",""
"43866","khoe-sìⁿ","khoe-sinn3","khue-sìnn","khue-sinn3","扇子","fan",""
"43867","mn̂g-sìⁿ","mng5-sinn3","mn̂g-sìnn","mng5-sinn3","門扇","door leaf",""
"43868","tiān-sìⁿ","tian7-sinn3","tiān-sìnn","tian7-sinn3","電扇","electric fan",""
"43869","sīⁿ","sinn7","sīnn","sinn7","豉醃，刺痛，劇痛","salt or pickle, to smart (e.g., from soap in the eye or alcohol in a wound)",""
"43870","Chit khoán ba̍k-io̍h ē sīⁿ.","Chit khoan2 bak8-ioh8 e7 sinn7.","Tsit khuán ba̍k-io̍h ē sīnn.","Tsit khuan2 bak8-ioh8 e7 sinn7.","這種眼藥會刺痛眼睛。","This eye lotion smarts.",""
"43871","ìm-sīⁿ","im3-sinn7","ìm-sīnn","im3-sinn7","蔭豉","very small black beans cured with salt",""
"43872","tāu-sīⁿ","tau7-sinn7","tāu-sīnn","tau7-sinn7","豆豉","preparation of beans",""
"43873","sīⁿ-chhài","sinn7-chhai3","sīnn-tshài","sinn7-tshai3","醃菜","pickle vegetables",""
"43874","siⁿ-chò (seⁿ-chò)","sinn-cho3 (senn-cho3)","sinn-tsò (senn-tsò)","sinn-tso3 (senn-tso3)","天生，長 相","naturally, by nature",""
"43875","siⁿ-chò chin súi (ian-tâu)","sinn-cho3 chin sui2 (ian-tau5)","sinn-tsò tsin suí (ian-tâu)","sinn-tso3 tsin sui2 (ian-tau5)","長得很美（英俊）","very beautiful (handsome) by nature",""
"43876","siⁿ-ji̍t (seⁿ-ji̍t)","sinn-jit8 (senn-jit8)","sinn-ji̍t (senn-ji̍t)","sinn-jit8 (senn-jit8)","生日","birthday",""
"43877","sīⁿ-kê (sīⁿ-kôe)","sinn7-ke5 (sinn7-koe5)","sīnn-kê (sīnn-kuê)","sinn7-ke5 (sinn7-kue5)","醬醃","pickle fish or shellfish",""
