tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tuā-thâu-tshài,大頭菜,16,tōa-thâu-chhài,tua7thau5tshai3,toa7thau5chhai3,tuathautshai,toathauchhai,ttt,ttc
tuā-thâu-tshang,大頭蔥,16,tōa-thâu-chhang,tua7thau5tshang,toa7thau5chhang,tuathautshang,toathauchhang,ttt,ttc
tuā-ām-kui,大頷胿,16,tōa-ām-kui,tua7am7kui,toa7am7kui,tuaamkui,toaamkui,tak,tak
tuā-pn̄g-tiàm,大飯店,16,tōa-pn̄g-tiàm,tua7png7tiam3,toa7png7tiam3,tuapngtiam,toapngtiam,tpt,tpt
tuā-mī-kuann,大麵乾,16,tōa-mī-koaⁿ,tua7mi7kuann,toa7mi7koann,tuamikuann,toamikoann,tmk,tmk
tuā-lông-pōng,大龍泵,16,tōa-lông-pōng,tua7long5pong7,toa7long5pong7,tualongpong,toalongpong,tlp,tlp
tuā-lān-pha,大𡳞脬,16,tōa-lān-pha,tua7lan7pha,toa7lan7pha,tualanpha,toalanpha,tlp,tlp
thian-kiú-pâi,天九牌,16,thian-kiú-pâi,thiankiu2pai5,thiankiu2pai5,thiankiupai,thiankiupai,tkp,tkp
thinn-kong-senn,天公生,16,thiⁿ-kong-seⁿ,thinnkongsenn,thinnkongsenn,thinnkongsenn,thinnkongsenn,tks,tks
thinn-kong-sinn,天公生,16,thiⁿ-kong-siⁿ,thinnkongsinn,thinnkongsinn,thinnkongsinn,thinnkongsinn,tks,tks
thinn-kong-tsóo,天公祖,16,thiⁿ-kong-chó͘,thinnkongtsoo2,thinnkongchoo2,thinnkongtsoo,thinnkongchoo,tkt,tkc
thinn-kong-kim,天公金,16,thiⁿ-kong-kim,thinnkongkim,thinnkongkim,thinnkongkim,thinnkongkim,tkk,tkk
thian-hiō-kiong,天后宮,16,thian-hiō-kiong,thianhio7kiong,thianhio7kiong,thianhiokiong,thianhiokiong,thk,thk
thian-hōo-kiong,天后宮,16,thian-hō͘-kiong,thianhoo7kiong,thianhoo7kiong,thianhookiong,thianhookiong,thk,thk
thian-bûn-tâi,天文臺,16,thian-bûn-tâi,thianbun5tai5,thianbun5tai5,thianbuntai,thianbuntai,tbt,tbt
thian-bûn-kuán,天文館,16,thian-bûn-koán,thianbun5kuan2,thianbun5koan2,thianbunkuan,thianbunkoan,tbk,tbk
thinn-beh-kng,天欲光,16,thiⁿ-beh-kng,thinnbehkng,thinnbehkng,thinnbehkng,thinnbehkng,tbk,tbk
thinn-bueh-kng,天欲光,16,thiⁿ-boeh-kng,thinnbuehkng,thinnboehkng,thinnbuehkng,thinnboehkng,tbk,tbk
thian-jiân-tāu,天然痘,16,thian-jiân-tāu,thianjian5tau7,thianjian5tau7,thianjiantau,thianjiantau,tjt,tjt
thian-káu-jia̍t,天狗熱,16,thian-káu-jia̍t,thiankau2jiat8,thiankau2jiat8,thiankaujiat,thiankaujiat,tkj,tkj
thian-káu-lia̍t,天狗熱,16,thian-káu-lia̍t,thiankau2liat8,thiankau2liat8,thiankauliat,thiankauliat,tkl,tkl
thinn-khong-sik,天空色,16,thiⁿ-khong-sek,thinnkhongsik,thinnkhongsek,thinnkhongsik,thinnkhongsek,tks,tks
thian-hua-pán,天花板,16,thian-hoa-pán,thianhuapan2,thianhoapan2,thianhuapan,thianhoapan,thp,thp
thinn-kha-ē,天跤下,16,thiⁿ-kha-ē,thinnkhae7,thinnkhae7,thinnkhae,thinnkhae,tke,tke
thài-pó-tshī,太保市,16,thài-pó-chhī,thai3po2tshi7,thai3po2chhi7,thaipotshi,thaipochhi,tpt,tpc
thài-pîng-khu,太平區,16,thài-pêng-khu,thai3ping5khu,thai3peng5khu,thaipingkhu,thaipengkhu,tpk,tpk
thài-pîng-iûnn,太平洋,16,thài-pêng-iûⁿ,thai3ping5iunn5,thai3peng5iunn5,thaipingiunn,thaipengiunn,tpi,tpi
thài-ki̍k-kûn,太極拳,16,thài-ke̍k-kûn,thai3kik8kun5,thai3kek8kun5,thaikikkun,thaikekkun,tkk,tkk
thài-pi̍k-tshenn,太白星,16,thài-pe̍k-chheⁿ,thai3pik8tshenn,thai3pek8chhenn,thaipiktshenn,thaipekchhenn,tpt,tpc
thài-pi̍k-tshinn,太白星,16,thài-pe̍k-chhiⁿ,thai3pik8tshinn,thai3pek8chhinn,thaipiktshinn,thaipekchhinn,tpt,tpc
thài-pe̍h-hún,太白粉,16,thài-pe̍h-hún,thai3peh8hun2,thai3peh8hun2,thaipehhun,thaipehhun,tph,tph
thài-pe̍h-tsiú,太白酒,16,thài-pe̍h-chiú,thai3peh8tsiu2,thai3peh8chiu2,thaipehtsiu,thaipehchiu,tpt,tpc
thài--ê,太的,16,thài--ê,thai3e5,thai3e5,thaie,thaie,te,te
thài-mâ-lí,太麻里,16,thài-mâ-lí,thai3ma5li2,thai3ma5li2,thaimali,thaimali,tml,tml
iáu-siū-á,夭壽仔,16,iáu-siū-á,iau2siu7a2,iau2siu7a2,iausiua,iausiua,isa,isa
iáu-siū-kut,夭壽骨,16,iáu-siū-kut,iau2siu7kut,iau2siu7kut,iausiukut,iausiukut,isk,isk
giâ-tsio̍h-lián,夯石碾,16,giâ-chio̍h-lián,gia5tsioh8lian2,gia5chioh8lian2,giatsiohlian,giachiohlian,gtl,gcl
giâ-ngē-ko,夯硬篙,16,giâ-ngē-ko,gia5nge7ko,gia5nge7ko,giangeko,giangeko,gnk,gnk
giâ-ngī-ko,夯硬篙,16,giâ-ngī-ko,gia5ngi7ko,gia5ngi7ko,giangiko,giangiko,gnk,gnk
sit-lâng-lé,失人禮,16,sit-lâng-lé,sitlang5le2,sitlang5le2,sitlangle,sitlangle,sll,sll
sit-kak-tshat,失覺察,16,sit-kak-chhat,sitkaktshat,sitkakchhat,sitkaktshat,sitkakchhat,skt,skc
sit-bīn-tsú,失面子,16,sit-bīn-chú,sitbin7tsu2,sitbin7chu2,sitbintsu,sitbinchu,sbt,sbc
sit-thé-biān,失體面,16,sit-thé-biān,sitthe2bian7,sitthe2bian7,sitthebian,sitthebian,stb,stb
sit-thé-bīn,失體面,16,sit-thé-bīn,sitthe2bin7,sitthe2bin7,sitthebin,sitthebin,stb,stb
kî-bú-tsut,奇武卒,16,kî-bú-chut,ki5bu2tsut,ki5bu2chut,kibutsut,kibuchut,kbt,kbc
hōng-thian-kiong,奉天宮,16,hōng-thian-kiong,hong7thiankiong,hong7thiankiong,hongthiankiong,hongthiankiong,htk,htk
thò-thâu-uē,套頭話,16,thò-thâu-ōe,tho3thau5ue7,tho3thau5oe7,thothauue,thothauoe,ttu,tto
pùn-ki-ôo,奮起湖,16,pùn-ki-ô͘,pun3kioo5,pun3kioo5,punkioo,punkioo,pko,pko
ni-á-phè,奶仔帕,16,ni-á-phè,nia2phe3,nia2phe3,niaphe,niaphe,nap,nap
ling-á-bah,奶仔肉,16,leng-á-bah,linga2bah,lenga2bah,lingabah,lengabah,lab,lab
lin-tshuì-á,奶喙仔,16,lin-chhùi-á,lintshui3a2,linchhui3a2,lintshuia,linchhuia,lta,lca
ling-tshuì-á,奶喙仔,16,leng-chhùi-á,lingtshui3a2,lengchhui3a2,lingtshuia,lengchhuia,lta,lca
ni-tshuì-á,奶喙仔,16,ni-chhùi-á,nitshui3a2,nichhui3a2,nitshuia,nichhuia,nta,nca
lin-phè-á,奶帕仔,16,lin-phè-á,linphe3a2,linphe3a2,linphea,linphea,lpa,lpa
ling-phè-á,奶帕仔,16,leng-phè-á,lingphe3a2,lengphe3a2,lingphea,lengphea,lpa,lpa
ni-phè-á,奶帕仔,16,ni-phè-á,niphe3a2,niphe3a2,niphea,niphea,npa,npa
lin-bú-tshia,奶母車,16,lin-bú-chhia,linbu2tshia,linbu2chhia,linbutshia,linbuchhia,lbt,lbc
ling-bó-tshia,奶母車,16,leng-bó-chhia,lingbo2tshia,lengbo2chhia,lingbotshia,lengbochhia,lbt,lbc
ling-bú-tshia,奶母車,16,leng-bú-chhia,lingbu2tshia,lengbu2chhia,lingbutshia,lengbuchhia,lbt,lbc
ni-bó-tshia,奶母車,16,ni-bó-chhia,nibo2tshia,nibo2chhia,nibotshia,nibochhia,nbt,nbc
ni-bú-tshia,奶母車,16,ni-bú-chhia,nibu2tshia,nibu2chhia,nibutshia,nibuchhia,nbt,nbc
hó-tāi-tsì,好代誌,16,hó-tāi-chì,ho2tai7tsi3,ho2tai7chi3,hotaitsi,hotaichi,htt,htc
hó-ka-tsài,好佳哉,16,hó-ka-chài,ho2katsai3,ho2kachai3,hokatsai,hokachai,hkt,hkc
hó-hiann-tī,好兄弟,16,hó-hiaⁿ-tī,ho2hiannti7,ho2hiannti7,hohiannti,hohiannti,hht,hht
hó-kiat-tiāu,好吉兆,16,hó-kiat-tiāu,ho2kiattiau7,ho2kiattiau7,hokiattiau,hokiattiau,hkt,hkt
hó-bî-sī,好唯是,16,hó-bî-sī,ho2bi5si7,ho2bi5si7,hobisi,hobisi,hbs,hbs
hó-bī-sī,好唯是,16,hó-bī-sī,ho2bi7si7,ho2bi7si7,hobisi,hobisi,hbs,hbs
hó-tshuì-táu,好喙斗,16,hó-chhùi-táu,ho2tshui3tau2,ho2chhui3tau2,hotshuitau,hochhuitau,htt,hct
hó-tshuì-suí,好喙水,16,hó-chhùi-súi,ho2tshui3sui2,ho2chhui3sui2,hotshuisui,hochhuisui,hts,hcs
hó-pò-ìng,好報應,16,hó-pò-èng,ho2po3ing3,ho2po3eng3,hopoing,hopoeng,hpi,hpe
hó-hó-lâng,好好人,16,hó-hó-lâng,ho2ho2lang5,ho2ho2lang5,hoholang,hoholang,hhl,hhl
hó-hó-á,好好仔,16,hó-hó-á,ho2ho2a2,ho2ho2a2,hohoa,hohoa,hha,hha
hó-jī-ūn,好字運,16,hó-jī-ūn,ho2ji7un7,ho2ji7un7,hojiun,hojiun,hju,hju
hó-lī-ūn,好字運,16,hó-lī-ūn,ho2li7un7,ho2li7un7,holiun,holiun,hlu,hlu
hó-nî-tang,好年冬,16,hó-nî-tang,ho2ni5tang,ho2ni5tang,honitang,honitang,hnt,hnt
hó-tshái-thâu,好彩頭,16,hó-chhái-thâu,ho2tshai2thau5,ho2chhai2thau5,hotshaithau,hochhaithau,htt,hct
hó-sìng-tuē,好性地,16,hó-sèng-tōe,ho2sing3tue7,ho2seng3toe7,hosingtue,hosengtoe,hst,hst
hó-sìng-tē,好性地,16,hó-sèng-tē,ho2sing3te7,ho2seng3te7,hosingte,hosengte,hst,hst
hó-liú-la̍k,好扭搦,16,hó-liú-la̍k,ho2liu2lak8,ho2liu2lak8,holiulak,holiulak,hll,hll
hó-ki-kut,好枝骨,16,hó-ki-kut,ho2kikut,ho2kikut,hokikut,hokikut,hkk,hkk
hó-siau-sit,好消息,16,hó-siau-sit,ho2siausit,ho2siausit,hosiausit,hosiausit,hss,hss
hó-káu-ūn,好狗運,16,hó-káu-ūn,ho2kau2un7,ho2kau2un7,hokauun,hokauun,hku,hku
hó-khuànn-thâu,好看頭,16,hó-khòaⁿ-thâu,ho2khuann3thau5,ho2khoann3thau5,hokhuannthau,hokhoannthau,hkt,hkt
hó-lé-á,好禮仔,16,hó-lé-á,ho2le2a2,ho2le2a2,holea,holea,hla,hla
