hanzi,tl,frequency
啙,tsú,50
啜,tsheh,50
啜,tshereh,50
啜,tsherh,50
啜,tshn̍gh,50
啜,tshueh,50
啿,tām,50
啿,tǎm,50
善,siǎn,50
喏,hiā,50
喏,hiǎ,50
喏,liá,50
單,siǎn,50
嗔,tshin,50
嗞,tsir,50
嗞,tsu,50
嗣,sīr,50
嗲,terh,50
嗲,te̍rh,50
嘙,pô,50
嘛,mǎ,50
嘟,tu̍h,50
嘾,tām,50
嘾,tǎm,50
噉,tām,50
噉,tǎm,50
噓,hir,50
噓,sir,50
噓,sīr,50
嚩,po̍k,50
嚽,tsheh,50
嚽,tshereh,50
嚽,tsherh,50
嚽,tshueh,50
囮,bêr,50
圁,gîrn,50
圁,gûn,50
圄,gír,50
圉,gír,50
圉,gīr,50
圉,gū,50
土,thió,50
圩,hir,50
圩,hu,50
圩,îr,50
圩,û,50
圵,tōng,50
圵,tǒng,50
圻,gîrn,50
圻,gûn,50
坋,hūn,50
坋,hǔn,50
坐,tsǒo,50
坥,tshir,50
坥,tshu,50
坯,pher,50
坾,tīr,50
坾,tū,50
坾,tǐr,50
垁,tī,50
垁,tǐ,50
垂,sêr,50
垎,keh,50
垐,tsîr,50
垐,tsû,50
垕,hiō,50
垕,hiǒ,50
垗,tiǎu,50
垠,gîrn,50
垷,hiǎn,50
垻,pè,50
垻,pèr,50
垿,sīr,50
垿,sū,50
垿,sǐr,50
埍,hiān,50
埍,hiǎn,50
埤,pī,50
埤,pǐ,50
埭,tēr,50
埵,tóo,50
培,piō,50
培,piǒ,50
培,pē,50
培,pēr,50
培,pěr,50
基,kere,50
基,kue,50
堇,khîrn,50
堇,khûn,50
堛,phe̍h,50
堛,phe̍rh,50
堝,e,50
堝,er,50
堲,tsîr,50
堲,tsû,50
塣,tīng,50
塣,tǐng,50
墐,khîrn,50
墐,khûn,50
墓,biō,50
墜,sē,50
墜,sēr,50
墟,hir,50
墠,siǎn,50
墡,siān,50
墡,siǎn,50
墮,tōo,50
墮,tǒo,50
墯,tōo,50
墯,tǒo,50
墾,khírn,50
壉,kīr,50
壉,kū,50
壏,hām,50
壏,hǎm,50
壙,khǹg,50
壝,uǐ,50
壩,pèr,50
士,sīr,50
士,sǐr,50
壯,tshuàng,50
夂,tí,50
夊,sui,50
夥,hér,50
央,irinn,50
央,uinn,50
夯,hang,50
夯,pūn,50
夯,pǔn,50
夰,hō,50
夰,hǒ,50
夾,ngereh,50
奆,kuān,50
奆,kuǎn,50
奉,hǒng,50
奘,tsǒng,50
奪,te̍h,50
奪,te̍rh,50
如,jîr,50
如,lîr,50
妌,tsīng,50
妌,tsǐng,50
妓,kǐ,50
妡,herm,50
妤,îr,50
妳,ní,50
妻,tshere,50
妻,tshie,50
姒,sīr,50
姒,sǐr,50
姕,tsir,50
姕,tsu,50
姖,kīr,50
姖,kū,50
姖,kǐr,50
姛,tǒng,50
姿,tsir,50
娊,hiān,50
娊,hiǎn,50
婄,piō,50
婄,piǒ,50
婞,hǐng,50
婢,pǐ,50
婫,hūn,50
婫,hǔn,50
婮,kir,50
婮,ku,50
婸,tǒng,50
媍,hǔ,50
媍,pū,50
媍,pǔ,50
媑,tiōng,50
媑,tiǒng,50
媠,tōo,50
媠,tǒo,50
媤,sir,50
媤,su,50
嫖,phe̍h,50
嫖,phe̍rh,50
嫷,tōo,50
嫷,tǒo,50
嬜,herm,50
嬜,him,50
嬤,móo,50
嬧,tsīn,50
嬧,tsǐn,50
嬨,tsîr,50
嬩,îr,50
嬩,û,50
孃,niâ,50
孃,niû,50
孖,tsir,50
字,tsīr,50
孜,tsir,50
孳,tsir,50
孶,tsir,50
孶,tsu,50
宁,tīr,50
宁,tū,50
宁,tǐr,50
宙,tiǔ,50
尹,írn,50
尺,tshē,50
尺,tshě,50
屢,lír,50
屮,thiat,50
岠,kīr,50
岠,kǐr,50
岨,tshir,50
岨,tshu,50
岨,tsīr,50
岨,tsū,50
岨,tsǐr,50
岵,hǒo,50
峊,hū,50
峊,hǔ,50
峎,gírn,50
峎,gún,50
峙,tī,50
峙,tǐ,50
峴,hiān,50
峴,hiǎn,50
峾,gîrn,50
峾,gûn,50
峿,gír,50
峿,gú,50
崌,kir,50
崵,tǒng,50
崻,tī,50
崻,tǐ,50
嵀,tsū,50
嵀,tsǔ,50
嵈,uān,50
嵈,uǎn,50
嵗,hè,50
嵗,hèr,50
嵗,suè,50
嵣,tōng,50
嵣,tǒng,50
嵫,tsir,50
嵯,tshir,50
嵳,tshir,50
嵾,tsherm,50
嵾,tshim,50
嶜,tserm,50
嶜,tsim,50
嶞,tōo,50
嶞,tǒo,50
嶰,hǎi,50
嶵,tsuē,50
嶵,tsuě,50
巨,kīr,50
巨,kǐr,50
差,tshir,50
差,tshu,50
巳,sīr,50
巳,sǐr,50
市,tshǐ,50
布,piò,50
帍,hōo,50
帍,hǒo,50
帤,jîr,50
帤,lîr,50
帤,lû,50
幌,hōng,50
幌,hǒng,50
幓,serm,50
幓,sim,50
幸,hǐng,50
庉,tūn,50
庉,tǔn,50
序,sīr,50
序,sǐ,50
序,sǐr,50
底,tīr,50
底,tǐ,50
底,tǐr,50
店,tirìnn,50
店,tuìnn,50
店,tàinn,50
庤,tǐ,50
座,tsǒ,50
座,tsǒo,50
庶,sìr,50
廈,hǎ,50
廈,ē,50
廈,ě,50
廝,sir,50
廞,herm,50
廬,lîr,50
弅,hūn,50
弅,hǔn,50
弆,kír,50
弆,kú,50
弓,kirn,50
弜,kiōng,50
弜,kiǒng,50
弩,lǒo,50
強,kiǒng,50
彆,piat,50
彊,kiǒng,50
彐,kè,50
彑,kè,50
彝,î,50
彡,sam,50
待,thǎi,50
很,hírn,50
徐,tshîr,50
徐,tshû,50
得,lè,50
得,lèr,50
徛,khā,50
徛,khǎ,50
徛,kī,50
徛,kǐ,50
御,gīr,50
徥,sî,50
徥,sī,50
徥,sǐ,50
微,bê,50
微,bêr,50
忄,sim,50
快,kherè,50
快,kherē,50
快,khirìnn,50
快,khuè,50
快,khuē,50
快,khē,50
忬,īr,50
忬,ū,50
忻,herm,50
怇,kīr,50
怇,kǐr,50
怉,phō,50
怉,phǒ,50
怎,tsirínn,50
怎,tsuínn,50
怎,tsérm,50
怙,hǒo,50
怙,kǒo,50
怚,tsìr,50
怚,tsù,50
怚,tsīr,50
怚,tsū,50
怚,tsǐr,50
思,sir,50
思,sìr,50
怠,tǎi,50
怹,in,50
恀,sī,50
恀,sǐ,50
恀,tsí,50
恃,sǐ,50
恕,sìr,50
恖,sir,50
恖,su,50
恖,sìr,50
恖,sù,50
恣,tsìr,50
恬,tiǎm,50
悆,īr,50
悆,ū,50
悌,tě,50
悎,hǒ,50
悻,hīng,50
悻,hǐng,50
惝,tshirínn,50
惝,tshuínn,50
惝,tsháinn,50
惞,herm,50
惞,him,50
惰,tǒo,50
惿,sī,50
惿,sǐ,50
愓,tǒng,50
愢,sai,50
愢,sir,50
愢,su,50
愰,hōng,50
愰,hǒng,50
慇,irn,50
慈,tshîr,50
慈,tsîr,50
慣,kirìnn,50
慣,kuìnn,50
慬,khîrn,50
慬,khûn,50
憚,tǎn,50
憤,hūn,50
憤,hǔn,50
憪,hân,50
憪,hǎn,50
憺,tǎm,50
懃,khîrn,50
懄,khîrn,50
懄,khûn,50
懅,kīr,50
懅,kū,50
懇,khírn,50
懈,hǎi,50
懢,hām,50
懢,hǎm,50
懸,kirînn,50
懸,kuînn,50
戎,liông,50
戛,khiak,50
截,tsere̍h,50
戺,sīr,50
戺,sǐr,50
扂,tiǎm,50
扈,hǒo,50
扌,siú,50
扌,tshiú,50
扗,tsāi,50
扗,tsǎi,50
扙,tiōng,50
扙,tiǒng,50
扮,hūn,50
扮,hǔn,50
扯,tshér,50
技,kǐ,50
抐,lǎ,50
抒,sir,50
抒,su,50
抱,pǒ,50
抾,khir,50
拒,kīr,50
拒,kǐr,50
拫,hîrn,50
拫,hûn,50
拭,tseh,50
拭,tserh,50
指,tsirínn,50
挏,tǒng,50
挐,jîr,50
挐,lîr,50
挾,kere̍h,50
挾,kue̍h,50
挾,ngere̍h,50
捋,leh,50
捋,lerh,50
据,kir,50
据,ku,50
掃,serè,50
掃,suè,50
掍,hǔn,50
揀,kirínn,50
揀,kuínn,50
揆,kuī,50
揆,kuǐ,50
提,there̍h,50
揟,sir,50
搆,kio,50
搆,kiò,50
摢,thir,50
摢,thu,50
摴,thir,50
摽,piāu,50
摽,piǎu,50
撊,hǎn,50
撔,hīng,50
撔,hǐng,50
撕,si,50
撕,sir,50
撖,hām,50
撖,hǎm,50
撣,tǎn,50
撪,pūn,50
撪,pǔn,50
撮,tseh,50
撮,tserh,50
撮,tsheh,50
撮,tsherh,50
撰,tsuǎn,50
擼,lōo,50
擼,lǒo,50
攄,thir,50
攴,phok,50
攵,phok,50
改,keré,50
敍,sīr,50
敍,sū,50
敍,sǐr,50
敔,gír,50
敘,sīr,50
敘,sǐr,50
斦,gîrn,50
斦,gûn,50
斯,sir,50
斳,khîrn,50
斳,khûn,50
斷,tuǎn,50
於,ir,50
於,îr,50
旅,lír,50
旋,se,50
旋,ser,50
旐,tiǎu,50
旟,îr,50
旟,û,50
旤,hōo,50
旤,hǒo,50
旱,hǎn,50
旱,uǎnn,50
昈,hōo,50
昈,hǒo,50
昊,hǒ,50
昏,hǔn,50
昕,herm,50
昛,kīr,50
昛,kū,50
昛,kǐr,50
昦,hō,50
昦,hǒ,50
昰,sī,50
昰,sǐ,50
晃,huáng,50
晃,hōng,50
晃,hǒng,50
晘,hān,50
晘,hǎn,50
晛,hiǎn,50
晡,pio,50
晧,hǒ,50
普,phió,50
暇,hě,50
暑,sír,50
暠,hǒ,50
暤,hō,50
暤,hǒ,50
暭,hō,50
暭,hǒ,50
曑,serm,50
曑,sim,50
書,sir,50
書,tsir,50
替,thuì,50
替,thèr,50
會,erě,50
會,hēr,50
會,uě,50
朕,tǐm,50
杆,kirinn,50
杍,tsír,50
杍,tsú,50
杏,hǐng,50
杖,thiōng,50
杖,thiǒng,50
杖,thňg,50
杖,tiǒng,50
杜,tiō,50
杝,tī,50
杝,tǐ,50
杫,sìr,50
杫,sù,50
杮,phèr,50
杵,thír,50
杵,tshír,50
杼,thír,50
杼,tīr,50
杼,tū,50
杼,tǐr,50
柌,sîr,50
柦,tān,50
柦,tǎn,50
柩,kiǔ,50
柩,kū,50
柩,kǔ,50
柱,thiǎu,50
柱,tsǔ,50
柶,sìr,50
柶,sù,50
栚,tǐm,50
栥,tsir,50
栥,tsu,50
栨,tshìr,50
栩,hír,50
根,kirn,50
桇,jîr,50
桇,lîr,50
桕,kiū,50
桕,kiǔ,50
桳,pūn,50
桳,pǔn,50
桻,hong,50
桻,hōng,50
桻,hǒng,50
桿,kirínn,50
梎,tsō,50
梎,tsǒ,50
梐,pě,50
梓,tsír,50
梠,līr,50
梠,lǐr,50
梳,sere,50
棒,pǎng,50
棓,pāng,50
棓,pǎng,50
棜,ìr,50
棜,ù,50
森,serm,50
棲,sere,50
棲,sue,50
棽,serm,50
棽,sim,50
椐,kir,50
椔,tsir,50
楈,sir,50
楒,sir,50
楗,kirīnn,50
楗,kuīnn,50
楛,hǒo,50
楝,nuī,50
楮,thír,50
楮,thú,50
榘,kír,50
榘,kú,50
榟,tsír,50
榟,tsú,50
榥,hōng,50
榥,hǒng,50
榹,sir,50
榹,su,50
槪,khài,50
槮,serm,50
槴,hǒo,50
樗,thir,50
樦,tsū,50
樦,tsǔ,50
橂,tirīnn,50
橂,tirǐnn,50
橂,tuīnn,50
橂,tuǐnn,50
橌,hān,50
橌,hǎn,50
橡,siǒng,50
橫,hirînn,50
橱,tû,50
檌,tsuē,50
檌,tsuě,50
檭,gîrn,50
檭,gûn,50
櫎,hōng,50
櫎,hǒng,50
櫎,kòng,50
櫚,lîr,50
櫡,tīr,50
櫧,tsir,50
櫫,tir,50
櫫,tu,50
櫲,īr,50
櫲,ū,50
櫸,kír,50
欅,kír,50
欅,kú,50
欣,herm,50
歆,herm,50
歔,hir,50
歟,îr,50
歟,û,50
歠,tsheh,50
歠,tsherh,50
此,tshír,50
歫,kīr,50
歫,kū,50
歫,kǐr,50
歬,tsirînn,50
歬,tsiân,50
歬,tsuînn,50
歬,tsâinn,50
歬,tsân,50
歬,tsîng,50
歭,tî,50
歭,tī,50
