hanzi,tl
核融合,hi̍k-iông-ha̍p
燃料棒,jiân-liāu-pāng
燃料棒,liân-liāu-pāng
半衰期,puàn-sue-kî
半衰期,puànn-sue-kî
狐獴,hôo-bông
侵蝕,tshim-si̍t
麥當勞,be̍h-tong-lô
麥當勞,bi̍k-tong-lô
加勒比海,ka-li̍k-pí-hái
銃子篋仔,tshìng-tsí-kheh-á
歇暝,hioh-mê
歇暝,hioh-mî
起跑點,khí-pháu-tiám
塔利班,thah-lī-pan
壓炒房,ah-tshá-pâng
四角尖碑,sì-kak-tsiam-pi
預售厝,ī-siū-tshù
預售厝,ū-siū-tshù
肥身症,puî-sin-tsìng
電競,tiān-kīng
虛擬實況主,hi-gí-si̍t-hóng-tsú
奢華品,tshia-hua-phín
戮銃術,lak-tshìng-su̍t
監交,kàm-kau
thiàn-tòo,thiàn-tòo
布篷厝,pòo-phâng-tshù
配送,phuè-sàng
配送,phè-sàng
勗勉典禮,hiok-bián-tián-lé
憂鬱症,iu-ut-tsìng
一夜干,it-iā-kuann
加碼,ka-bé
驅逐艦,khu-tio̍k-lām
驅逐令,khu-tio̍k-līng
歹牢胎,pháinn-tiâu-the
花袂牢枝,hue-bē-tiâu-ki
花袂牢枝,hue-buē-tiâu-ki
子宮肌瘤,tsú-kiong-ki-liû
頓卡,tǹg-khah
魚子醬,hî-tsí-tsiùnn
引路人,ín-lōo-lâng
還稅於民,hîng-suè-î-bîn
還稅於民,hîng-sè-î-bîn
考銃,khó-tshìng
強欲絕種,kiông-beh-tse̍h-tsíng
強欲絕種,kiông-beh-tsua̍t-tsíng
大粒攄,tuā-lia̍p-lu
腹地,pak-tē
腹地,pak-tuē
熟似人客,si̍k-sāi-lâng-kheh
人陣,lâng-tīn
過路人,kuè-lōo-lâng
奶管原位癌,ling-kńg-guân-uī-gâm
焦慮症,tsiau-lī-tsìng
焦慮症,tsiau-lū-tsìng
掩身戰機,iám-sin-tsiàn-ki
匿蹤戰機,li̍k-tsong-tsiàn-ki
閣揆,koh-kuî
遊戲,iû-hì
追劇,tui-kio̍k
追星,tui-tshenn
追星,tui-tshinn
坦邊,thán-pinn
邊仔面,pinn--á-bīn
沉浸式,tîm-tsìm-sik
燒膨冷縮,sio-phòng-líng-sok
熱脹冷縮,jia̍t-tiòng-líng-sok
熱脹冷縮,lia̍t-tiòng-líng-sok
快送,khuài-sàng
樹掛,tshiū-kuà
泅水衫,siû-tsuí-sann
游泳衫,iû-íng-sann
泅水池,siû-tsuí-tî
游泳池,iû-íng-tî
泅水鏡,siû-tsuí-kiànn
游泳鏡,iû-íng-kiànn
心肌梗塞,sim-ki-kīng-sik
