tl,hanzi,frequency,poj,tl_num,poj_num
oo-tâ,烏焦,25,o͘-tâ,oota5,oota5
oo-hun,烏煙,25,o͘-hun,oohun,oohun
oo-ian,烏煙,25,o͘-ian,ooian,ooian
oo-hîm,烏熊,25,o͘-hîm,oohim5,oohim5
oo-hun,烏熏,25,o͘-hun,oohun,oohun
oo-pâi,烏牌,25,o͘-pâi,oopai5,oopai5
oo-káu,烏狗,25,o͘-káu,ookau2,ookau2
oo-kâu,烏猴,25,o͘-kâu,ookau5,ookau5
oo-huî,烏瓷,25,o͘-hûi,oohui5,oohui5
oo-kam,烏甘,25,o͘-kam,ookam,ookam
oo-tinn,烏甜,25,o͘-tiⁿ,ootinn,ootinn
oo-tāu,烏痘,25,o͘-tāu,ootau7,ootau7
oo-kì,烏痣,25,o͘-kì,ooki3,ooki3
oo-sua,烏痧,25,o͘-soa,oosua,oosoa
oo-pe̍h,烏白,25,o͘-pe̍h,oopeh8,oopeh8
oo-ki,烏磯,25,o͘-ki,ooki,ooki
oo-tsíng,烏種,25,o͘-chéng,ootsing2,oocheng2
oo-suī,烏穗,25,o͘-sūi,oosui7,oosui7
oo-tik,烏竹,25,o͘-tek,ootik,ootek
oo-kńg,烏管,25,o͘-kńg,ookng2,ookng2
oo-siunn,烏箱,25,o͘-siuⁿ,oosiunn,oosiunn
oo-thn̂g,烏糖,25,o͘-thn̂g,oothng5,oothng5
oo-âng,烏紅,25,o͘-âng,ooang5,ooang5
oo-se,烏紗,25,o͘-se,oose,oose
oo-li̍k,烏綠,25,o͘-le̍k,oolik8,oolek8
oo-hīnn,烏耳,25,o͘-hīⁿ,oohinn7,oohinn7
oo-bah,烏肉,25,o͘-bah,oobah,oobah
oo-kha,烏腳,25,o͘-kha,ookha,ookha
oo-sik,烏色,25,o͘-sek,oosik,oosek
oo-hng,烏荒,25,o͘-hng,oohng,oohng
oo-hun,烏薰,25,o͘-hun,oohun,oohun
oo-io̍h,烏藥,25,o͘-io̍h,ooioh8,ooioh8
oo-khīng,烏虹,25,o͘-khēng,ookhing7,ookheng7
oo-ham,烏蚶,25,o͘-ham,ooham,ooham
oo-tsuâ,烏蛇,25,o͘-chôa,ootsua5,oochoa5
oo-giô,烏蟯,25,o͘-giô,oogio5,oogio5
