tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian,is_variant
lí,理,11858,lí,li2,li2,li,li,,,True,False
nā,若,11582,nā,na7,na7,na,na,,,True,False
khu,區,11573,khu,khu1,khu1,khu,khu,,,True,False
guán,阮,11550,goán,guan2,goan2,guan,goan,,,True,False
mā,嘛,11524,mā,ma7,ma7,ma,ma,,,True,False
ka,家,11523,ka,ka1,ka1,ka,ka,,,True,False
bîn,民,11383,bîn,bin5,bin5,bin,bin,,,True,False
khuán,款,11269,khoán,khuan2,khoan2,khuan,khoan,,,True,False
siōng,上,11260,siōng,siong7,siong7,siong,siong,,,True,False
sí,死,11257,sí,si2,si2,si,si,,,True,False
láng,攏,11219,láng,lang2,lang2,lang,lang,,,True,False
lóng,攏,11219,lóng,long2,long2,long,long,,,True,False
sin,身,10865,sin,sin1,sin1,sin,sin,,,True,False
suann,山,10820,soaⁿ,suann1,soann1,suann,soann,,,True,False
tshia,車,10763,chhia,tshia1,chhia1,tshia,chhia,,,True,False
thiann,聽,10741,thiaⁿ,thiann1,thiann1,thiann,thiann,,,True,False
án,俺,10635,án,an2,an2,an,an,,,True,False
bu̍t,物,10612,bu̍t,but8,but8,but,but,,,True,False
kha,跤,10537,kha,kha1,kha1,kha,kha,,,True,False
hiong,鄉,10443,hiong,hiong1,hiong1,hiong,hiong,,,True,False
kuè,過,10205,kòe,kue3,koe3,kue,koe,,,True,False
kè,過,10205,kè,ke3,ke3,ke,ke,,,True,False
siann,聲,10175,siaⁿ,siann1,siann1,siann,siann,,,True,False
in,因,10098,in,in1,in1,in,in,,,True,False
sin,新,10069,sin,sin1,sin1,sin,sin,,,True,False
uan,灣,9981,oan,uan1,oan1,uan,oan,,,True,False
ba̍k,目,9818,ba̍k,bak8,bak8,bak,bak,,,True,False
khui,開,9713,khui,khui1,khui1,khui,khui,,,True,False
sing,生,9626,seng,sing1,seng1,sing,seng,,,True,False
