tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian,is_variant
tî,持,976,tî,ti5,ti5,ti,ti,,,True,False
liâm,黏,969,liâm,liam5,liam5,liam,liam,,,True,False
thiam,添,967,thiam,thiam1,thiam1,thiam,thiam,,,True,False
uì,慰,962,ùi,ui3,ui3,ui,ui,,,True,False
suat,說,961,soat,suat4,soat4,suat,soat,,,True,False
ló,惱,960,ló,lo2,lo2,lo,lo,,,True,False
lā,抐,960,lā,la7,la7,la,la,,,True,False
gua̍t,月,957,goa̍t,guat8,goat8,guat,goat,,,True,False
phò,破,952,phò,pho3,pho3,pho,pho,,,True,False
tsè,債,950,chè,tse3,che3,tse,che,,,True,False
kha,尻,950,kha,kha1,kha1,kha,kha,,,True,False
thiu,抽,950,thiu,thiu1,thiu1,thiu,thiu,,,True,False
si,絲,950,si,si1,si1,si,si,,,True,False
lê,螺,950,lê,le5,le5,le,le,,,True,True
tsiam,針,950,chiam,tsiam1,chiam1,tsiam,chiam,,,True,False
iâm,鹽,950,iâm,iam5,iam5,iam,iam,,,True,False
khóng,孔,943,khóng,khong2,khong2,khong,khong,,,True,False
tshē,坐,939,chhē,tshe7,chhe7,tshe,chhe,,,True,False
phing,拼,934,pheng,phing1,pheng1,phing,pheng,,,True,False
hiáng,享,932,hiáng,hiang2,hiang2,hiang,hiang,,,True,False
tsik,即,930,chek,tsik4,chek4,tsik,chek,,,True,True
kuânn,寒,929,kôaⁿ,kuann5,koann5,kuann,koann,,,True,False
sù,賜,929,sù,su3,su3,su,su,,,True,False
tsú,煮,928,chú,tsu2,chu2,tsu,chu,,,True,False
lē,麗,928,lē,le7,le7,le,le,,,True,False
tau,掜,919,tau,tau1,tau1,tau,tau,,,True,False
mē,罵,919,mē,me7,me7,me,me,,,True,False
tshénn,醒,919,chhéⁿ,tshenn2,chhenn2,tshenn,chhenn,,,True,False
tshínn,醒,919,chhíⁿ,tshinn2,chhinn2,tshinn,chhinn,,,True,False
nah,爁,917,nah,nah4,nah4,nah,nah,,,True,False
tsiông,從,914,chiông,tsiong5,chiong5,tsiong,chiong,,,True,False
kóng,管,914,kóng,kong2,kong2,kong,kong,,,True,False
tànn,擔,909,tàⁿ,tann3,tann3,tann,tann,,,True,False
kuè,界,904,kòe,kue3,koe3,kue,koe,,,True,False
kè,界,904,kè,ke3,ke3,ke,ke,,,True,False
piàn,遍,903,piàn,pian3,pian3,pian,pian,,,True,False
ang,尪,900,ang,ang1,ang1,ang,ang,,,True,False
khioh,抾,900,khioh,khioh4,khioh4,khioh,khioh,,,True,False
pán,板,900,pán,pan2,pan2,pan,pan,,,True,False
í,椅,900,í,i2,i2,i,i,,,True,False
tinn,甜,900,tiⁿ,tinn1,tinn1,tinn,tinn,,,True,False
tsong,裝,900,chong,tsong1,chong1,tsong,chong,,,True,False
ī,預,900,ī,i7,i7,i,i,,,True,False
ū,預,900,ū,u7,u7,u,u,,,True,False
tshí,鼠,900,chhí,tshi2,chhi2,tshi,chhi,,,True,False
tshú,鼠,900,chhú,tshu2,chhu2,tshu,chhu,,,True,False
su,軀,898,su,su1,su1,su,su,,,True,False
khe̍h,挈,897,khe̍h,kheh8,kheh8,kheh,kheh,,,True,False
tsu,書,894,chu,tsu1,chu1,tsu,chu,,,True,False
phinn,篇,891,phiⁿ,phinn1,phinn1,phinn,phinn,,,True,False
tân,陳,886,tân,tan5,tan5,tan,tan,,,True,True
mih,物,884,mih,mih4,mih4,mih,mih,,,True,False
hióng,響,883,hióng,hiong2,hiong2,hiong,hiong,,,True,False
sannh,煞,880,saⁿh,sannh4,sannh4,sannh,sannh,,,True,False
na,焦,879,na,na1,na1,na,na,,,True,False
khik,曲,878,khek,khik4,khek4,khik,khek,,,True,False
ing,坱,876,eng,ing1,eng1,ing,eng,,,True,False
bī,未,876,bī,bi7,bi7,bi,bi,,,True,False
tsiò,照,876,chiò,tsio3,chio3,tsio,chio,,,True,False
niáu,鳥,874,niáu,niau2,niau2,niau,niau,,,True,False
tsiann,正,872,chiaⁿ,tsiann1,chiann1,tsiann,chiann,,,True,False
só,嫂,870,só,so2,so2,so,so,,,True,False
khàn,看,866,khàn,khan3,khan3,khan,khan,,,True,False
kang,公,852,kang,kang1,kang1,kang,kang,,,True,False
tshe,吹,851,chhe,tshe1,chhe1,tshe,chhe,,,True,False
tshue,吹,851,chhoe,tshue1,chhoe1,tshue,chhoe,,,True,False
nn̄g,卵,850,nn̄g,nng7,nng7,nng,nng,,,True,False
khàm,崁,850,khàm,kham3,kham3,kham,kham,,,True,False
thng,湯,850,thng,thng1,thng1,thng,thng,,,True,False
siáu,痟,850,siáu,siau2,siau2,siau,siau,,,True,False
su,私,850,su,su1,su1,su,su,,,True,False
sún,筍,850,sún,sun2,sun2,sun,sun,,,True,False
phòng,膨,850,phòng,phong3,phong3,phong,phong,,,True,False
tsi̍h,舌,850,chi̍h,tsih8,chih8,tsih,chih,,,True,False
sî,辭,850,sî,si5,si5,si,si,,,True,False
im,陰,850,im,im1,im1,im,im,,,True,False
hōng,鳳,850,hōng,hong7,hong7,hong,hong,,,True,False
pi̍k,白,849,pe̍k,pik8,pek8,pik,pek,,,True,False
lá,拉,842,lá,la2,la2,la,la,,,True,False
hué,伙,834,hóe,hue2,hoe2,hue,hoe,,,True,False
hé,伙,834,hé,he2,he2,he,he,,,True,False
tó,佗,834,tó,to2,to2,to,to,,,True,False
pió,表,834,pió,pio2,pio2,pio,pio,,,True,False
suí,水,830,súi,sui2,sui2,sui,sui,,,True,False
tàu,到,825,tàu,tau3,tau3,tau,tau,,,True,False
khǹg,勸,821,khǹg,khng3,khng3,khng,khng,,,True,False
liâu,條,821,liâu,liau5,liau5,liau,liau,,,True,False
kàm,監,820,kàm,kam3,kam3,kam,kam,,,True,False
io̍k,欲,814,io̍k,iok8,iok8,iok,iok,,,True,False
kài,概,812,kài,kai3,kai3,kai,kai,,,True,False
sài,使,809,sài,sai3,sai3,sai,sai,,,True,False
hú,甫,808,hú,hu2,hu2,hu,hu,,,True,False
suàn,算,808,soàn,suan3,soan3,suan,soan,,,True,False
tsū,聚,804,chū,tsu7,chu7,tsu,chu,,,True,False
ú,與,802,ú,u2,u2,u,u,,,True,False
tan,丹,800,tan,tan1,tan1,tan,tan,,,True,False
siān,善,800,siān,sian7,sian7,sian,sian,,,True,False
siā,射,800,siā,sia7,sia7,sia,sia,,,True,False
tshiúnn,廠,800,chhiúⁿ,tshiunn2,chhiunn2,tshiunn,chhiunn,,,True,False
sàu,掃,800,sàu,sau3,sau3,sau,sau,,,True,False
pòo,播,800,pò͘,poo3,poo3,poo,poo,,,True,False
bôo,模,800,bô͘,boo5,boo5,boo,boo,,,True,False
gê,牙,800,gê,ge5,ge5,ge,ge,,,True,False
uánn,碗,800,óaⁿ,uann2,oann2,uann,oann,,,True,False
puî,肥,800,pûi,pui5,pui5,pui,pui,,,True,False
thâng,蟲,800,thâng,thang5,thang5,thang,thang,,,True,False
lo̍k,鹿,800,lo̍k,lok8,lok8,lok,lok,,,True,False
nī,莉,791,nī,ni7,ni7,ni,ni,,,True,False
toh,佗,790,toh,toh4,toh4,toh,toh,,,True,False
khiau,曲,790,khiau,khiau1,khiau1,khiau,khiau,,,True,False
tshù,處,790,chhù,tshu3,chhu3,tshu,chhu,,,True,False
khíng,肯,788,khéng,khing2,kheng2,khing,kheng,,,True,False
hué,悔,782,hóe,hue2,hoe2,hue,hoe,,,True,False
si,思,780,si,si1,si1,si,si,,,True,False
sù,思,780,sù,su3,su3,su,su,,,True,False
him,欣,779,him,him1,him1,him,him,,,True,False
sńg,耍,779,sńg,sng2,sng2,sng,sng,,,True,False
tīng,碇,777,tēng,ting7,teng7,ting,teng,,,True,False
lak,落,767,lak,lak4,lak4,lak,lak,,,True,False
sit,息,765,sit,sit4,sit4,sit,sit,,,True,False
ko,歌,765,ko,ko1,ko1,ko,ko,,,True,False
pian,邊,764,pian,pian1,pian1,pian,pian,,,True,False
bîn,明,763,bîn,bin5,bin5,bin,bin,,,True,False
jî,而,757,jî,ji5,ji5,ji,ji,,,True,False
lî,而,757,lî,li5,li5,li,li,,,True,False
tsuê,齊,754,chôe,tsue5,choe5,tsue,choe,,,True,False
tsê,齊,754,chê,tse5,che5,tse,che,,,True,False
nī,爾,751,nī,ni7,ni7,ni,ni,,,True,False
iu,優,750,iu,iu1,iu1,iu,iu,,,True,False
uan,冤,750,oan,uan1,oan1,uan,oan,,,True,False
ping,冰,750,peng,ping1,peng1,ping,peng,,,True,False
tshng,川,750,chhng,tshng1,chhng1,tshng,chhng,,,True,False
khòo,庫,750,khò͘,khoo3,khoo3,khoo,khoo,,,True,False
thiah,拆,750,thiah,thiah4,thiah4,thiah,thiah,,,True,False
tsáinn,指,750,cháiⁿ,tsainn2,chainn2,tsainn,chainn,,,True,False
tsâi,材,750,châi,tsai5,chai5,tsai,chai,,,True,False
thô,桃,750,thô,tho5,tho5,tho,tho,,,True,False
tsai,災,750,chai,tsai1,chai1,tsai,chai,,,True,False
lu̍t,率,750,lu̍t,lut8,lut8,lut,lut,,,True,False
ngē,硬,750,ngē,nge7,nge7,nge,nge,,,True,False
ngī,硬,750,ngī,ngi7,ngi7,ngi,ngi,,,True,False
tsik,積,750,chek,tsik4,chek4,tsik,chek,,,True,False
io,腰,750,io,io1,io1,io,io,,,True,False
uē,衛,750,ōe,ue7,oe7,ue,oe,,,True,False
sue,衰,750,soe,sue1,soe1,sue,soe,,,True,False
tâm,談,750,tâm,tam5,tam5,tam,tam,,,True,False
niau,貓,750,niau,niau1,niau1,niau,niau,,,True,False
tui,追,750,tui,tui1,tui1,tui,tui,,,True,False
iû,遊,750,iû,iu5,iu5,iu,iu,,,True,False
kiànn,鏡,750,kiàⁿ,kiann3,kiann3,kiann,kiann,,,True,False
bū,霧,750,bū,bu7,bu7,bu,bu,,,True,False
phuē,被,748,phōe,phue7,phoe7,phue,phoe,,,True,False
phē,被,748,phē,phe7,phe7,phe,phe,,,True,False
lê,麗,743,lê,le5,le5,le,le,,,True,False
su,司,739,su,su1,su1,su,su,,,True,False
ba̍k,木,737,ba̍k,bak8,bak8,bak,bak,,,True,False
biān,面,736,biān,bian7,bian7,bian,bian,,,True,False
tsìng,眾,735,chèng,tsing3,cheng3,tsing,cheng,,,True,False
ngôo,吳,730,ngô͘,ngoo5,ngoo5,ngoo,ngoo,,,True,False
puàn,半,729,poàn,puan3,poan3,puan,poan,,,True,False
gíng,研,729,géng,ging2,geng2,ging,geng,,,True,False
tsiann,精,725,chiaⁿ,tsiann1,chiann1,tsiann,chiann,,,True,False
tng,張,716,tng,tng1,tng1,tng,tng,,,True,False
tâng,同,712,tâng,tang5,tang5,tang,tang,,,True,False
tsiau,招,710,chiau,tsiau1,chiau1,tsiau,chiau,,,True,False
pòo,佈,700,pò͘,poo3,poo3,poo,poo,,,True,False
tshì,刺,700,chhì,tshi3,chhi3,tshi,chhi,,,True,False
kuah,割,700,koah,kuah4,koah4,kuah,koah,,,True,False
khenn,坑,700,kheⁿ,khenn1,khenn1,khenn,khenn,,,True,False
khinn,坑,700,khiⁿ,khinn1,khinn1,khinn,khinn,,,True,False
ki,技,700,ki,ki1,ki1,ki,ki,,,True,False
pha,拋,700,pha,pha1,pha1,pha,pha,,,True,False
tshah,插,700,chhah,tshah4,chhah4,tshah,chhah,,,True,False
sat,殺,700,sat,sat4,sat4,sat,sat,,,True,False
ian,煙,700,ian,ian1,ian1,ian,ian,,,True,False
kin,筋,700,kin,kin1,kin1,kin,kin,,,True,False
kun,筋,700,kun,kun1,kun1,kun,kun,,,True,False
nâ,籃,700,nâ,na5,na5,na,na,,,True,False
ko,膏,700,ko,ko1,ko1,ko,ko,,,True,False
hâng,航,700,hâng,hang5,hang5,hang,hang,,,True,False
tsng,莊,700,chng,tsng1,chng1,tsng,chng,,,True,True
hun,薰,700,hun,hun1,hun1,hun,hun,,,True,False
lō,號,700,lō,lo7,lo7,lo,lo,,,True,False
hê,蝦,700,hê,he5,he5,he,he,,,True,False
hong,豐,700,hong,hong1,hong1,hong,hong,,,True,False
tôo,途,700,tô͘,too5,too5,too,too,,,True,False
tâng,銅,700,tâng,tang5,tang5,tang,tang,,,True,False
lōo,露,700,lō͘,loo7,loo7,loo,loo,,,True,False
tiánn,鼎,700,tiáⁿ,tiann2,tiann2,tiann,tiann,,,True,False
hông,黃,697,hông,hong5,hong5,hong,hong,,,True,False
tshing,青,696,chheng,tshing1,chheng1,tshing,chheng,,,True,False
hua,花,691,hoa,hua1,hoa1,hua,hoa,,,True,False
má,瑪,690,má,ma2,ma2,ma,ma,,,True,False
mài,莫,688,mài,mai3,mai3,mai,mai,,,True,False
phīng,並,685,phēng,phing7,pheng7,phing,pheng,,,True,False
pīng,並,685,pēng,ping7,peng7,ping,peng,,,True,False
sènn,姓,682,sèⁿ,senn3,senn3,senn,senn,,,True,False
sìng,姓,682,sèng,sing3,seng3,sing,seng,,,True,False
sìnn,姓,682,sìⁿ,sinn3,sinn3,sinn,sinn,,,True,False
kò,過,680,kò,ko3,ko3,ko,ko,,,True,False
hân,寒,676,hân,han5,han5,han,han,,,True,False
sī,序,669,sī,si7,si7,si,si,,,True,False
sū,序,669,sū,su7,su7,su,su,,,True,False
tsíng,指,667,chéng,tsing2,cheng2,tsing,cheng,,,True,False
ú,雨,659,ú,u2,u2,u,u,,,True,False
kàn,間,653,kàn,kan3,kan3,kan,kan,,,True,False
hia̍p,協,650,hia̍p,hiap8,hiap8,hiap,hiap,,,True,False
bōng,墓,650,bōng,bong7,bong7,bong,bong,,,True,False
bōo,墓,650,bō͘,boo7,boo7,boo,boo,,,True,False
iā,夜,650,iā,ia7,ia7,ia,ia,,,True,False
î,姨,650,î,i5,i5,i,i,,,True,False
sī,寺,650,sī,si7,si7,si,si,,,True,False
tsiam,尖,650,chiam,tsiam1,chiam1,tsiam,chiam,,,True,False
kip,急,650,kip,kip4,kip4,kip,kip,,,True,False
tshap,插,650,chhap,tshap4,chhap4,tshap,chhap,,,True,False
pāi,敗,650,pāi,pai7,pai7,pai,pai,,,True,False
kuī,櫃,650,kūi,kui7,kui7,kui,kui,,,True,False
nuā,瀾,650,nōa,nua7,noa7,nua,noa,,,True,False
sai,獅,650,sai,sai1,sai1,sai,sai,,,True,False
gán,眼,650,gán,gan2,gan2,gan,gan,,,True,False
pōng,磅,650,pōng,pong7,pong7,pong,pong,,,True,False
tshiam,簽,650,chhiam,tshiam1,chhiam1,tshiam,chhiam,,,True,False
bê,糜,650,bê,be5,be5,be,be,,,True,False
muê,糜,650,môe,mue5,moe5,mue,moe,,,True,False
tshang,蔥,650,chhang,tshang1,chhang1,tshang,chhang,,,True,False
tshâi,裁,650,chhâi,tshai5,chhai5,tshai,chhai,,,True,False
tīng,訂,650,tēng,ting7,teng7,ting,teng,,,True,False
tshiah,赤,650,chhiah,tshiah4,chhiah4,tshiah,chhiah,,,True,False
iân,鉛,650,iân,ian5,ian5,ian,ian,,,True,False
uê,鞋,650,ôe,ue5,oe5,ue,oe,,,True,False
ê,鞋,650,ê,e5,e5,e,e,,,True,False
ing,應,648,eng,ing1,eng1,ing,eng,,,True,False
thn̂g,傳,647,thn̂g,thng5,thng5,thng,thng,,,True,False
oo,阿,640,o͘,oo1,oo1,oo,oo,,,True,False
ba̍t,密,635,ba̍t,bat8,bat8,bat,bat,,,True,False
hiat,血,635,hiat,hiat4,hiat4,hiat,hiat,,,True,False
kué,果,633,kóe,kue2,koe2,kue,koe,,,True,False
ké,果,633,ké,ke2,ke2,ke,ke,,,True,False
sènn,性,632,sèⁿ,senn3,senn3,senn,senn,,,True,False
sìnn,性,632,sìⁿ,sinn3,sinn3,sinn,sinn,,,True,False
jím,忍,629,jím,jim2,jim2,jim,jim,,,True,False
lím,忍,629,lím,lim2,lim2,lim,lim,,,True,False
hui,飛,629,hui,hui1,hui1,hui,hui,,,True,False
tshó,草,622,chhó,tsho2,chho2,tsho,chho,,,True,False
ti̍t,值,621,ti̍t,tit8,tit8,tit,tit,,,True,False
hiàn,現,617,hiàn,hian3,hian3,hian,hian,,,True,False
sai,司,616,sai,sai1,sai1,sai,sai,,,True,False
loh,落,614,loh,loh4,loh4,loh,loh,,,True,False
nāu,鬧,610,nāu,nau7,nau7,nau,nau,,,True,False
khia̍k,確,607,khia̍k,khiak8,khiak8,khiak,khiak,,,True,False
ín,允,606,ín,in2,in2,in,in,,,True,False
ún,允,606,ún,un2,un2,un,un,,,True,False
tsiú,守,606,chiú,tsiu2,chiu2,tsiu,chiu,,,True,False
kuà,蓋,604,kòa,kua3,koa3,kua,koa,,,True,False
tsān,贊,603,chān,tsan7,chan7,tsan,chan,,,True,False
thîng,程,601,thêng,thing5,theng5,thing,theng,,,True,False
phian,偏,600,phian,phian1,phian1,phian,phian,,,True,False
sàu,嗽,600,sàu,sau3,sau3,sau,sau,,,True,False
thán,坦,600,thán,than2,than2,than,than,,,True,False
tiânn,埕,600,tiâⁿ,tiann5,tiann5,tiann,tiann,,,True,True
tuânn,壇,600,tôaⁿ,tuann5,toann5,tuann,toann,,,True,False
iân,延,600,iân,ian5,ian5,ian,ian,,,True,False
bán,挽,600,bán,ban2,ban2,ban,ban,,,True,False
tsih,接,600,chih,tsih4,chih4,tsih,chih,,,True,False
tshau,操,600,chhau,tshau1,chhau1,tshau,chhau,,,True,False
kè,架,600,kè,ke3,ke3,ke,ke,,,True,False
liu,溜,600,liu,liu1,liu1,liu,liu,,,True,False
lôo,爐,600,lô͘,loo5,loo5,loo,loo,,,True,False
àng,甕,600,àng,ang3,ang3,ang,ang,,,True,False
ī,異,600,ī,i7,i7,i,i,,,True,False
tsìng,症,600,chèng,tsing3,cheng3,tsing,cheng,,,True,False
hông,皇,600,hông,hong5,hong5,hong,hong,,,True,False
tâng,筒,600,tâng,tang5,tang5,tang,tang,,,True,False
kôo,糊,600,kô͘,koo5,koo5,koo,koo,,,True,False
ko,糕,600,ko,ko1,ko1,ko,ko,,,True,False
se,紗,600,se,se1,se1,se,se,,,True,False
phāng,縫,600,phāng,phang7,phang7,phang,phang,,,True,False
tshiau,超,600,chhiau,tshiau1,chhiau1,tshiau,chhiau,,,True,False
lûn,輪,600,lûn,lun5,lun5,lun,lun,,,True,False
sok,速,600,sok,sok4,sok4,sok,sok,,,True,False
tshìng,銃,600,chhèng,tshing3,chheng3,tshing,chheng,,,True,False
phoo,鋪,600,pho͘,phoo1,phoo1,phoo,phoo,,,True,False
siám,閃,600,siám,siam2,siam2,siam,siam,,,True,False
lān,𡳞,600,lān,lan7,lan7,lan,lan,,,True,False
tse̍h,絕,593,che̍h,tseh8,cheh8,tseh,cheh,,,True,False
niú,兩,589,niú,niu2,niu2,niu,niu,,,True,False
hia̍h,額,587,hia̍h,hiah8,hiah8,hiah,hiah,,,True,False
pu̍t,佛,586,pu̍t,put8,put8,put,put,,,True,False
lî,離,584,lî,li5,li5,li,li,,,True,False
sîng,城,581,sêng,sing5,seng5,sing,seng,,,True,False
sú,駛,579,sú,su2,su2,su,su,,,True,False
tsiânn,情,577,chiâⁿ,tsiann5,chiann5,tsiann,chiann,,,True,False
bong,摸,570,bong,bong1,bong1,bong,bong,,,True,False
boo,摸,570,bo͘,boo1,boo1,boo,boo,,,True,False
siāng,上,563,siāng,siang7,siang7,siang,siang,,,True,False
suat,雪,562,soat,suat4,soat4,suat,soat,,,True,False
e,下,558,e,e1,e1,e,e,,,True,False
hìng,興,552,hèng,hing3,heng3,hing,heng,,,True,False
the̍h,提,551,the̍h,theh8,theh8,theh,theh,,,True,False
khit,乞,550,khit,khit4,khit4,khit,khit,,,True,False
hù,付,550,hù,hu3,hu3,hu,hu,,,True,False
tshun,伸,550,chhun,tshun1,chhun1,tshun,chhun,,,True,True
kē,低,550,kē,ke7,ke7,ke,ke,,,True,False
tshiah,刺,550,chhiah,tshiah4,chhiah4,tshiah,chhiah,,,True,False
ûn,勻,550,ûn,un5,un5,un,un,,,True,False
uí,委,550,úi,ui2,ui2,ui,ui,,,True,False
bōo,幕,550,bō͘,boo7,boo7,boo,boo,,,True,False
huì,廢,550,hùi,hui3,hui3,hui,hui,,,True,False
jio̍k,弱,550,jio̍k,jiok8,jiok8,jiok,jiok,,,True,False
lio̍k,弱,550,lio̍k,liok8,liok8,liok,liok,,,True,False
pit,必,550,pit,pit4,pit4,pit,pit,,,True,False
kíng,揀,550,kéng,king2,keng2,king,keng,,,True,False
khok,擴,550,khok,khok4,khok4,khok,khok,,,True,False
kî,旗,550,kî,ki5,ki5,ki,ki,,,True,False
iau,枵,550,iau,iau1,iau1,iau,iau,,,True,False
tsai,栽,550,chai,tsai1,chai1,tsai,chai,,,True,False
pho,波,550,pho,pho1,pho1,pho,pho,,,True,False
tōo,渡,550,tō͘,too7,too7,too,too,,,True,False
kún,滾,550,kún,kun2,kun2,kun,kun,,,True,False
thâm,潭,550,thâm,tham5,tham5,tham,tham,,,True,False
iām,炎,550,iām,iam7,iam7,iam,iam,,,True,False
kiáu,筊,550,kiáu,kiau2,kiau2,kiau,kiau,,,True,False
tsàng,粽,550,chàng,tsang3,chang3,tsang,chang,,,True,False
soh,索,550,soh,soh4,soh4,soh,soh,,,True,False
kū,舅,550,kū,ku7,ku7,ku,ku,,,True,False
ōo,芋,550,ō͘,oo7,oo7,oo,oo,,,True,False
lôo,蘆,550,lô͘,loo5,loo5,loo,loo,,,True,False
tsè,製,550,chè,tse3,che3,tse,che,,,True,False
tak,觸,550,tak,tak4,tak4,tak,tak,,,True,False
iû,郵,550,iû,iu5,iu5,iu,iu,,,True,False
sng,酸,550,sng,sng1,sng1,sng,sng,,,True,False
ām,頷,550,ām,am7,am7,am,am,,,True,False
bió,母,549,bió,bio2,bio2,bio,bio,,,True,False
suè,說,549,sòe,sue3,soe3,sue,soe,,,True,False
kńg,管,548,kńg,kng2,kng2,kng,kng,,,True,False
lāi,利,544,lāi,lai7,lai7,lai,lai,,,True,False
hué,夥,539,hóe,hue2,hoe2,hue,hoe,,,True,False
hé,夥,539,hé,he2,he2,he,he,,,True,False
kah,較,539,kah,kah4,kah4,kah,kah,,,True,False
kà,較,539,kà,ka3,ka3,ka,ka,,,True,False
tuān,斷,538,toān,tuan7,toan7,tuan,toan,,,True,False
ha̍h,合,532,ha̍h,hah8,hah8,hah,hah,,,True,False
tshiūnn,象,531,chhiūⁿ,tshiunn7,chhiunn7,tshiunn,chhiunn,,,True,False
hiáng,響,530,hiáng,hiang2,hiang2,hiang,hiang,,,True,False
kiú,九,527,kiú,kiu2,kiu2,kiu,kiu,,,True,False
ki,支,526,ki,ki1,ki1,ki,ki,,,True,False
lún,忍,524,lún,lun2,lun2,lun,lun,,,True,False
hn̄g,遠,519,hn̄g,hng7,hng7,hng,hng,,,True,False
lio̍k,六,516,lio̍k,liok8,liok8,liok,liok,,,True,False
khia,奇,516,khia,khia1,khia1,khia,khia,,,True,False
ta̍p,沓,513,ta̍p,tap8,tap8,tap,tap,,,True,False
ta̍uh,沓,513,tau̍h,tauh8,tauh8,tauh,tauh,,,True,False
kann,監,512,kaⁿ,kann1,kann1,kann,kann,,,True,False
sik,息,510,sek,sik4,sek4,sik,sek,,,True,False
guē,外,509,gōe,gue7,goe7,gue,goe,,,True,False
kuan,官,508,koan,kuan1,koan1,kuan,koan,,,True,False
suánn,散,507,sóaⁿ,suann2,soann2,suann,soann,,,True,False
íng,往,505,éng,ing2,eng2,ing,eng,,,True,False
neh,躡,503,neh,neh4,neh4,neh,neh,,,True,False
nih,躡,503,nih,nih4,nih4,nih,nih,,,True,False
kuann,乾,500,koaⁿ,kuann1,koann1,kuann,koann,,,True,False
tsénn,井,500,chéⁿ,tsenn2,chenn2,tsenn,chenn,,,True,False
tsínn,井,500,chíⁿ,tsinn2,chinn2,tsinn,chinn,,,True,False
ka,佳,500,ka,ka1,ka1,ka,ka,,,True,False
kiān,健,500,kiān,kian7,kian7,kian,kian,,,True,False
hîng,刑,500,hêng,hing5,heng5,hing,heng,,,True,False
khau,剾,500,khau,khau1,khau1,khau,khau,,,True,False
huē,匯,500,hōe,hue7,hoe7,hue,hoe,,,True,False
sing,升,500,seng,sing1,seng1,sing,seng,,,True,False
pi,卑,500,pi,pi1,pi1,pi,pi,,,True,False
sià,卸,500,sià,sia3,sia3,sia,sia,,,True,False
âu,喉,500,âu,au5,au5,au,au,,,True,False
khám,坎,500,khám,kham2,kham2,kham,kham,,,True,False
tsip,執,500,chip,tsip4,chip4,tsip,chip,,,True,False
ba̍k,墨,500,ba̍k,bak8,bak8,bak,bak,,,True,False
thò,套,500,thò,tho3,tho3,tho,tho,,,True,False
sím,審,500,sím,sim2,sim2,sim,sim,,,True,False
hong,封,500,hong,hong1,hong1,hong,hong,,,True,True
sûn,巡,500,sûn,sun5,sun5,sun,sun,,,True,False
kin,巾,500,kin,kin1,kin1,kin,kin,,,True,False
kun,巾,500,kun,kun1,kun1,kun,kun,,,True,False
tsō,座,500,chō,tso7,cho7,tso,cho,,,True,False
tshia,捙,500,chhia,tshia1,chhia1,tshia,chhia,,,True,False
tshiúnn,搶,500,chhiúⁿ,tshiunn2,chhiunn2,tshiunn,chhiunn,,,True,False
si,施,500,si,si1,si1,si,si,,,True,False
pue,桮,500,poe,pue1,poe1,pue,poe,,,True,False
mî,棉,500,mî,mi5,mi5,mi,mi,,,True,False
kòo,構,500,kò͘,koo3,koo3,koo,koo,,,True,False
huâinn,橫,500,hoâiⁿ,huainn5,hoainn5,huainn,hoainn,,,True,False
huînn,橫,500,hûiⁿ,huinn5,huinn5,huinn,huinn,,,True,False
tû,櫥,500,tû,tu5,tu5,tu,tu,,,True,False
tshù,次,500,chhù,tshu3,chhu3,tshu,chhu,,,True,False
hóng,況,500,hóng,hong2,hong2,hong,hong,,,True,False
liâng,涼,500,liâng,liang5,liang5,liang,liang,,,True,False
siâu,潲,500,siâu,siau5,siau5,siau,siau,,,True,False
nuā,爛,500,nōa,nua7,noa7,nua,noa,,,True,False
sán,瘦,500,sán,san2,san2,san,san,,,True,False
tsoo,租,500,cho͘,tsoo1,choo1,tsoo,choo,,,True,False
tiū,稻,500,tiū,tiu7,tiu7,tiu,tiu,,,True,False
li̍k,綠,500,le̍k,lik8,lek8,lik,lek,,,True,False
kuàn,罐,500,koàn,kuan3,koan3,kuan,koan,,,True,False
hip,翕,500,hip,hip4,hip4,hip,hip,,,True,False
tánn,膽,500,táⁿ,tann2,tann2,tann,tann,,,True,False
lîm,臨,500,lîm,lim5,lim5,lim,lim,,,True,False
tsî,薯,500,chî,tsi5,chi5,tsi,chi,,,True,False
tsû,薯,500,chû,tsu5,chu5,tsu,chu,,,True,False
tham,貪,500,tham,tham1,tham1,tham,tham,,,True,False
thiap,貼,500,thiap,thiap4,thiap4,thiap,thiap,,,True,False
sô,趖,500,sô,so5,so5,so,so,,,True,False
pua̍h,跋,500,poa̍h,puah8,poah8,puah,poah,,,True,False
tô,逃,500,tô,to5,to5,to,to,,,True,False
pà,霸,500,pà,pa3,pa3,pa,pa,,,True,False
kuainn,關,498,koaiⁿ,kuainn1,koainn1,kuainn,koainn,,,True,False
kuinn,關,498,kuiⁿ,kuinn1,kuinn1,kuinn,kuinn,,,True,False
koh,各,497,koh,koh4,koh4,koh,koh,,,True,False
thàng,痛,495,thàng,thang3,thang3,thang,thang,,,True,False
lāu,鬧,488,lāu,lau7,lau7,lau,lau,,,True,False
tshe,差,483,chhe,tshe1,chhe1,tshe,chhe,,,True,False
thôo,土,479,thô͘,thoo5,thoo5,thoo,thoo,,,True,True
tiàu,調,470,tiàu,tiau3,tiau3,tiau,tiau,,,True,False
tiân,田,468,tiân,tian5,tian5,tian,tian,,,True,False
nóo,老,468,nó͘,noo2,noo2,noo,noo,,,True,False
