tl,hanzi,frequency,poj,tl_num,poj_num
tsiú-tsînn-lôo,守錢奴,16,chiú-chîⁿ-lô͘,tsiu2tsinn5loo5,chiu2chinn5loo5
an-lâm-tsá,安南早,16,an-lâm-chá,an1lam5tsa2,an1lam5cha2
an-jī-kuí,安字鬼,16,an-jī-kúi,an1ji7kui2,an1ji7kui2
an-hioh-ji̍t,安息日,16,an-hioh-ji̍t,an1hioh1jit8,an1hioh1jit8
an-sik-ji̍t,安息日,16,an-sek-ji̍t,an1sik1jit8,an1sek1jit8
an-sik-hiunn,安息香,16,an-sek-hiuⁿ,an1sik1hiunn1,an1sek1hiunn1
an-kánn-siū,安敢受,16,an-káⁿ-siū,an1kann2siu7,an1kann2siu7
an-kinn-tshìng,安更槍,16,an-kiⁿ-chhèng,an1kinn1tshing3,an1kinn1chheng3
an-lo̍k-kong,安樂公,16,an-lo̍k-kong,an1lok8kong1,an1lok8kong1
an-lo̍k-í,安樂椅,16,an-lo̍k-í,an1lok8i2,an1lok8i2
an-lo̍k-o,安樂窩,16,an-lo̍k-o,an1lok8o1,an1lok8o1
an-jiân-tsiam,安然針,16,an-jiân-chiam,an1jian5tsiam1,an1jian5chiam1
an-hok-phài,安福派,16,an-hok-phài,an1hok1phai3,an1hok1phai3
an-kiat-mî,安結綿,16,an-kiat-mî,an1kiat1mi5,an1kiat1mi5
an-thai-hû,安胎符,16,an-thai-hû,an1thai1hu5,an1thai1hu5
sòng-tè-ông,宋帝王,16,sòng-tè-ông,song3te3ong5,song3te3ong5
uân-sian-bāng,完仙夢,16,oân-sian-bāng,uan5sian1bang7,oan5sian1bang7
ûn-sian-bāng,完仙夢,16,ûn-sian-bāng,un5sian1bang7,un5sian1bang7
tsong-kàu-ka,宗教家,16,chong-kàu-ka,tsong1kau3ka1,chong1kau3ka1
kuann--lâng,官人,16,koaⁿ--lâng,kuann1lang5,koann1lang5
kuann-liâu-phài,官僚派,16,koaⁿ-liâu-phài,kuann1liau5phai3,koann1liau5phai3
kuann-ún-tsún,官允准,16,koaⁿ-ún-chún,kuann1un2tsun2,koann1un2chun2
kuann-hú-lāi,官府利,16,koaⁿ-hú-lāi,kuann1hu2lai7,koann1hu2lai7
kuann-tshinn-hián,官星顯,16,koaⁿ-chhiⁿ-hián,kuann1tshinn1hian2,koann1chhinn1hian2
kuan-iú-tuē,官有地,16,koan-iú-tōe,kuan1iu2tue7,koan1iu2toe7
kuann-iú-tuē,官有地,16,koaⁿ-iú-tōe,kuann1iu2tue7,koann1iu2toe7
