hanzi,tl,frequency,poj,tl_num,poj_num
豬皮,ti-phuê,25,ti-phôe,tiphue5,tiphoe5
走獸,tsáu-siù,25,cháu-siù,tsau2siu3,chau2siu3
起針,khí-tsiam,25,khí-chiam,khi2tsiam,khi2chiam
跋桮,pua̍h-pue,25,poa̍h-poe,puah8pue,poah8poe
跤徛,kha-khiā,25,kha-khiā,khakhia7,khakhia7
跤裒,kha-pôo,25,kha-pô͘,khapoo5,khapoo5
跨台,khuà-tâi,25,khòa-tâi,khua3tai5,khoa3tai5
跳刀,thiàu-to,25,thiàu-to,thiau3to,thiau3to
跳空,thiàu-khang,25,thiàu-khang,thiau3khang,thiau3khang
跳紗,thiàu-se,25,thiàu-se,thiau3se,thiau3se
踅檯,se̍h-tâi,25,se̍h-tâi,seh8tai5,seh8tai5
車台,tshia-tâi,25,chhia-tâi,tshiatai5,chhiatai5
軟斜,nńg-tshiâ,25,nńg-chhiâ,nng2tshia5,nng2chhia5
軟身,nńg-sin,25,nńg-sin,nng2sin,nng2sin
軟鉛,nńg-iân,25,nńg-iân,nng2ian5,nng2ian5
轆斗,lo̍k-táu,25,lo̍k-táu,lok8tau2,lok8tau2
轆空,lak-khang,25,lak-khang,lakkhang,lakkhang
轆管,lak-kóng,25,lak-kóng,lakkong2,lakkong2
轎堵,kiō-tóo,25,kiō-tó͘,kio7too2,kio7too2
轎底,kiō-té,25,kiō-té,kio7te2,kio7te2
透弄,thàu-lāng,25,thàu-lāng,thau3lang7,thau3lang7
逝板,tsuā-pán,25,chōa-pán,tsua7pan2,choa7pan2
過轎,kuè-kiō,25,kòe-kiō,kue3kio7,koe3kio7
醃缸,am-kng,25,am-kng,amkng,amkng
野桐,iá-tông,25,iá-tông,ia2tong5,ia2tong5
量尺,niû-tshioh,25,niû-chhioh,niu5tshioh,niu5chhioh
針空,tsiam-khang,25,chiam-khang,tsiamkhang,chiamkhang
針跤,tsiam-kha,25,chiam-kha,tsiamkha,chiamkha
鉛模,iân-bôo,25,iân-bô͘,ian5boo5,ian5boo5
鉛筆,iân-pit,25,iân-pit,ian5pit,ian5pit
鉸刀,ka-to,25,ka-to,kato,kato
鉸紙,ka-tsuá,25,ka-chóa,katsua2,kachoa2
銅管,tâng-kóng,25,tâng-kóng,tang5kong2,tang5kong2
銅針,tâng-tsiam,25,tâng-chiam,tang5tsiam,tang5chiam
鋪面,phoo-bīn,25,pho͘-bīn,phoobin7,phoobin7
鋸仔,kì-á,25,kì-á,ki3a2,ki3a2
鋸弓,kì-king,25,kì-keng,ki3king,ki3keng
鋸片,kì-phìnn,25,kì-phìⁿ,ki3phinn3,ki3phinn3
鋼刀,kǹg-to,25,kǹg-to,kng3to,kng3to
鋼板,kǹg-pán,25,kǹg-pán,kng3pan2,kng3pan2
錢櫃,tsînn-kuī,25,chîⁿ-kūi,tsinn5kui7,chinn5kui7
錦甲,gím-kah,25,gím-kah,gim2kah,gim2kah
錦花,gím-hue,25,gím-hoe,gim2hue,gim2hoe
鎖頭,só-thâu,25,só-thâu,so2thau5,so2thau5
鎮針,tìn-tsiam,25,tìn-chiam,tin3tsiam,tin3chiam
鏡仔,kiànn-á,25,kiàⁿ-á,kiann3a2,kiann3a2
鏡套,kiànn-thò,25,kiàⁿ-thò,kiann3tho3,kiann3tho3
鏨仔,tsām-á,25,chām-á,tsam7a2,cham7a2
鐵槽,thih-tsô,25,thih-chô,thihtso5,thihcho5
鐵砧,thih-tiam,25,thih-tiam,thihtiam,thihtiam
鐵筆,thih-pit,25,thih-pit,thihpit,thihpit
鐵線,thih-suànn,25,thih-sòaⁿ,thihsuann3,thihsoann3
鑢仔,lē-á,25,lē-á,le7a2,le7a2
鑽仔,tsǹg-á,25,chǹg-á,tsng3a2,chng3a2
鑽尾,tsńg-bué,25,chńg-bóe,tsng2bue2,chng2boe2
鑿仔,tsha̍k-á,25,chha̍k-á,tshak8a2,chhak8a2
鑿空,tsha̍k-khang,25,chha̍k-khang,tshak8khang,chhak8khang
門眉,mn̂g-bâi,25,mn̂g-bâi,mng5bai5,mng5bai5
門簾,mn̂g-liâm,25,mn̂g-liâm,mng5liam5,mng5liam5
開板,khui-pán,25,khui-pán,khuipan2,khuipan2
開繩,khui-tsìn,25,khui-chìn,khuitsin3,khuichin3
開面,khui-bīn,25,khui-bīn,khuibin7,khuibin7
隔金,keh-kim,25,keh-kim,kehkim,kehkim
隔間,keh-king,25,keh-keng,kehking,kehkeng
雞籠,ke-lang,25,ke-lang,kelang,kelang
雲彩,hûn-tshái,25,hûn-chhái,hun5tshai2,hun5chhai2
雲染,hûn-ní,25,hûn-ní,hun5ni2,hun5ni2
電窯,tiān-iô,25,tiān-iô,tian7io5,tian7io5
電鑽,tiān-tsńg,25,tiān-chńg,tian7tsng2,tian7chng2
電鑽,tiān-tsǹg,25,tiān-chǹg,tian7tsng3,tian7chng3
面金,bīn-kim,25,bīn-kim,bin7kim,bin7kim
靴管,hia-kóng,25,hia-kóng,hiakong2,hiakong2
頭手,thâu-tshiú,25,thâu-chhiú,thau5tshiu2,thau5chhiu2
風琴,hong-khîm,25,hong-khîm,hongkhim5,hongkhim5
風車,hong-tshia,25,hong-chhia,hongtshia,hongchhia
風鼓,hong-kóo,25,hong-kó͘,hongkoo2,hongkoo2
食漿,tsia̍h-tsiunn,25,chia̍h-chiuⁿ,tsiah8tsiunn,chiah8chiunn
食色,tsia̍h-sik,25,chia̍h-sek,tsiah8sik,chiah8sek
飯匙,pn̄g-sî,25,pn̄g-sî,png7si5,png7si5
飯坩,pn̄g-khann,25,pn̄g-khaⁿ,png7khann,png7khann
飯擔,pn̄g-tann,25,pn̄g-taⁿ,png7tann,png7tann
飯篱,pn̄g-lē,25,pn̄g-lē,png7le7,png7le7
餅模,piánn-bôo,25,piáⁿ-bô͘,piann2boo5,piann2boo5
香爐,hiunn-lôo,25,hiuⁿ-lô͘,hiunnloo5,hiunnloo5
香筒,hiunn-tâng,25,hiuⁿ-tâng,hiunntang5,hiunntang5
馬椅,bé-í,25,bé-í,be2i2,be2i2
鬚仔,tshiu-á,25,chhiu-á,tshiua2,chhiua2
鳳眼,hōng-gán,25,hōng-gán,hong7gan2,hong7gan2
鹿仔,lo̍k-á,25,lo̍k-á,lok8a2,lok8a2
麒麟,kî-lîn,25,kî-lîn,ki5lin5,ki5lin5
麻布,muâ-pòo,25,môa-pò͘,mua5poo3,moa5poo3
黜底,thuh-té,25,thuh-té,thuhte2,thuhte2
鼓椅,kóo-í,25,kó͘-í,koo2i2,koo2i2
鼓槌,kóo-thuî,25,kó͘-thûi,koo2thui5,koo2thui5
鼓燈,kóo-ting,25,kó͘-teng,koo2ting,koo2teng
齒戳,khí-thok,25,khí-thok,khi2thok,khi2thok
龍旗,lîng-kî,25,lêng-kî,ling5ki5,leng5ki5
龍柱,lîng-thiāu,25,lêng-thiāu,ling5thiau7,leng5thiau7
龍珠,liông-tsu,25,liông-chu,liong5tsu,liong5chu
龍罐,liông-kuàn,25,liông-koàn,liong5kuan3,liong5koan3
龍罐,lîng-kuàn,25,lêng-koàn,ling5kuan3,leng5koan3
龍袍,liông-phâu,25,liông-phâu,liong5phau5,liong5phau5
龍鱗,lîng-lân,25,lêng-lân,ling5lan5,leng5lan5
龜骿,ku-phiann,25,ku-phiaⁿ,kuphiann,kuphiann
𣛮籃,siā-nâ,25,siā-nâ,sia7na5,sia7na5
𥰔仔,phín-á,25,phín-á,phin2a2,phin2a2
buân白胚,buân-pe̍h-phue,16,boân-pe̍h-phoe,buan5peh8phue,boan5peh8phoe
gá-suh窯,gá-suh-iô,16,gá-suh-iô,ga2suhio5,ga2suhio5
hì-tah線,hì-tah-suànn,16,hì-tah-sòaⁿ,hi3tahsuann3,hi3tahsoann3
mi-ni-khih,mi-ni-khih,16,mi-ni-khih,minikhih,minikhih
the̍h-hó-sì,the̍h-hó-sì,16,the̍h-hó-sì,theh8ho2si3,theh8ho2si3
七里香,tshit-lí-hiong,16,chhit-lí-hiong,tshitli2hiong,chhitli2hiong
三分目,sann-hun-ba̍k,16,saⁿ-hun-ba̍k,sannhunbak8,sannhunbak8
三分眼,sann-hun-gán,16,saⁿ-hun-gán,sannhungan2,sannhungan2
三角鱗,sann-kak-lân,16,saⁿ-kak-lân,sannkaklan5,sannkaklan5
三輪車,sann-lián-tshia,16,saⁿ-lián-chhia,sannlian2tshia,sannlian2chhia
三轉型,sam-tsuān-hîng,16,sam-choān-hêng,samtsuan7hing5,samchoan7heng5
丹迪紙,tan-tik-tsuá,16,tan-tek-chóa,tantiktsua2,tantekchoa2
九芎仔,kiú-kiong-á,16,kiú-kiong-á,kiu2kionga2,kiu2kionga2
乾漆粉,kan-tshat-hún,16,kan-chhat-hún,kantshathun2,kanchhathun2
二層座,jī-tsàn-tsō,16,jī-chàn-chō,ji7tsan3tso7,ji7chan3cho7
二次胚,jī-tshù-phue,16,jī-chhù-phoe,ji7tshu3phue,ji7chhu3phoe
五倍子,ngóo-puē-tsí,16,ngó͘-pōe-chí,ngoo2pue7tsi2,ngoo2poe7chi2
五福花,ngóo-hok-hue,16,ngó͘-hok-hoe,ngoo2hokhue,ngoo2hokhoe
交趾釉,kau-tsí-iu,16,kau-chí-iu,kautsi2iu,kauchi2iu
亭仔景,tîng-á-kíng,16,têng-á-kéng,ting5a2king2,teng5a2keng2
人物堵,jîn-bu̍t-tóo,16,jîn-bu̍t-tó͘,jin5but8too2,jin5but8too2
人物旗,jîn-bu̍t-kî,16,jîn-bu̍t-kî,jin5but8ki5,jin5but8ki5
人面竹,lâng-bīn-tik,16,lâng-bīn-tek,lang5bin7tik,lang5bin7tek
保溫棉,pó-un-mî,16,pó-un-mî,po2unmi5,po2unmi5
保溫磚,pó-un-tsng,16,pó-un-chng,po2untsng,po2unchng
倒吊獅,tò-tiàu-sai,16,tò-tiàu-sai,to3tiau3sai,to3tiau3sai
倒角仔,tò-kak-á,16,tò-kak-á,to3kaka2,to3kaka2
備零件,pī-lîng-kiānn,16,pī-lêng-kiāⁿ,pi7ling5kiann7,pi7leng5kiann7
八仙綵,pat-sian-tshái,16,pat-sian-chhái,patsiantshai2,patsianchhai2
八卦窗,pat-kuà-thang,16,pat-kòa-thang,patkua3thang,patkoa3thang
八字彈,peh-jī-tân,16,peh-jī-tân,pehji7tan5,pehji7tan5
八獅座,pat-sai-tsō,16,pat-sai-chō,patsaitso7,patsaicho7
公婆椅,kong-pô-í,16,kong-pô-í,kongpo5i2,kongpo5i2
公母榫,kang-bú-sún,16,kang-bú-sún,kangbu2sun2,kangbu2sun2
切割墊,tshiat-kuah-tiām,16,chhiat-koah-tiām,tshiatkuahtiam7,chhiatkoahtiam7
切管頭,tshiat-kóng-thâu,16,chhiat-kóng-thâu,tshiatkong2thau5,chhiatkong2thau5
切紙枋,tshiat-tsuá-pang,16,chhiat-chóa-pang,tshiattsua2pang,chhiatchoa2pang
利利安,li-li-an,16,li-li-an,lilian,lilian
割紙刀,kuah-tsuá-to,16,koah-chóa-to,kuahtsua2to,koahchoa2to
包喙口,pau-tshuì-kháu,16,pau-chhùi-kháu,pautshui3khau2,pauchhui3khau2
包蒼布,pau-tshong-pòo,16,pau-chhong-pò͘,pautshongpoo3,pauchhongpoo3
包頭巾,pau-thâu-kin,16,pau-thâu-kin,pauthau5kin,pauthau5kin
半堆剪,puànn-tui-tsián,16,pòaⁿ-tui-chián,puann3tuitsian2,poann3tuichian2
半浮堵,puànn-phû-tóo,16,pòaⁿ-phû-tó͘,puann3phu5too2,poann3phu5too2
半金彩,puànn-kim-tshái,16,pòaⁿ-kim-chhái,puann3kimtshai2,poann3kimchhai2
厚殼仔,kāu-khak-á,16,kāu-khak-á,kau7khaka2,kau7khaka2
反手體,huán-tshiú-thé,16,hoán-chhiú-thé,huan2tshiu2the2,hoan2chhiu2the2
古錢甲,kóo-tsînn-kah,16,kó͘-chîⁿ-kah,koo2tsinn5kah,koo2chinn5kah
古體鱗,kóo-thé-lân,16,kó͘-thé-lân,koo2the2lan5,koo2the2lan5
和尚頭,huê-siūnn-thâu,16,hôe-siūⁿ-thâu,hue5siunn7thau5,hoe5siunn7thau5
咸豐草,hâm-hong-tsháu,16,hâm-hong-chháu,ham5hongtshau2,ham5hongchhau2
四方竹,sù-hong-tik,16,sù-hong-tek,su3hongtik,su3hongtek
四點金,sì-tiám-kim,16,sì-tiám-kim,si3tiam2kim,si3tiam2kim
圓仔花,înn-á-hue,16,îⁿ-á-hoe,inn5a2hue,inn5a2hoe
圓鑿仔,înn-tsha̍k-á,16,îⁿ-chha̍k-á,inn5tshak8a2,inn5chhak8a2
圓黜仔,înn-thuh-á,16,îⁿ-thuh-á,inn5thuha2,inn5thuha2
坐禪椅,tsē-siâm-í,16,chē-siâm-í,tse7siam5i2,che7siam5i2
塑膠枋,sok-ka-pang,16,sok-ka-pang,sokkapang,sokkapang
塑膠𧉟,sok-ka-tâi,16,sok-ka-tâi,sokkatai5,sokkatai5
塔簽仔,thah-tshiam-á,16,thah-chhiam-á,thahtshiama2,thahchhiama2
塗剾仔,thôo-khau-á,16,thô͘-khau-á,thoo5khaua2,thoo5khaua2
塗抓仔,thôo-jiàu-á,16,thô͘-jiàu-á,thoo5jiau3a2,thoo5jiau3a2
塭仔砧,un-á-tiam,16,un-á-tiam,una2tiam,una2tiam
墜仔模,tuī-á-bôo,16,tūi-á-bô͘,tui7a2boo5,tui7a2boo5
壓枋染,ah-pang-ní,16,ah-pang-ní,ahpangni2,ahpangni2
壓頭仔,ah-thâu-á,16,ah-thâu-á,ahthau5a2,ahthau5a2
大木作,tuā-ba̍k-tsok,16,tōa-ba̍k-chok,tua7bak8tsok,toa7bak8chok
大白釉,tuā-pe̍h-iu,16,tōa-pe̍h-iu,tua7peh8iu,toa7peh8iu
大菁粉,tuā-tshinn-hún,16,tōa-chhiⁿ-hún,tua7tshinnhun2,toa7chhinnhun2
太師椅,thài-su-í,16,thài-su-í,thai3sui2,thai3sui2
太魯刀,thài-lù-to,16,thài-lù-to,thai3lu3to,thai3lu3to
如意手,jû-ì-tshiú,16,jû-ì-chhiú,ju5i3tshiu2,ju5i3chhiu2
如意花,jû-ì-hue,16,jû-ì-hoe,ju5i3hue,ju5i3hoe
娘絲布,niû-si-pòo,16,niû-si-pò͘,niu5sipoo3,niu5sipoo3
安金漆,an-kim-tshat,16,an-kim-chhat,ankimtshat,ankimchhat
實腹管,tsa̍t-pak-kóng,16,cha̍t-pak-kóng,tsat8pakkong2,chat8pakkong2
寶石碭,pó-tsio̍h-thn̄g,16,pó-chio̍h-thn̄g,po2tsioh8thng7,po2chioh8thng7
小冊櫃,sió-tsheh-kuì,16,sió-chheh-kùi,sio2tshehkui3,sio2chhehkui3
小葉桑,sió-hio̍h-song,16,sió-hio̍h-song,sio2hioh8song,sio2hioh8song
尤加利,iu-kha-lih,16,iu-kha-lih,iukhalih,iukhalih
尪仔頭,ang-á-thâu,16,ang-á-thâu,anga2thau5,anga2thau5
山棧花,suann-tsàn-hue,16,soaⁿ-chàn-hoe,suanntsan3hue,soannchan3hoe
山石仔,suann-tsio̍h-á,16,soaⁿ-chio̍h-á,suanntsioh8a2,soannchioh8a2
工作台,kang-tsok-tâi,16,kang-chok-tâi,kangtsoktai5,kangchoktai5
工作椅,kang-tsok-í,16,kang-chok-í,kangtsoki2,kangchoki2
布輪機,pòo-lûn-ki,16,pò͘-lûn-ki,poo3lun5ki,poo3lun5ki
平剾仔,phînn-khau-á,16,phîⁿ-khau-á,phinn5khaua2,phinn5khaua2
平剾仔,pêng-khau-á,16,pêng-khau-á,peng5khaua2,peng5khaua2
平鑿仔,phînn-tsha̍k-á,16,phîⁿ-chha̍k-á,phinn5tshak8a2,phinn5chhak8a2
幼工棒,iù-kang-pāng,16,iù-kang-pāng,iu3kangpang7,iu3kangpang7
廟尪仔,biō-ang-á,16,biō-ang-á,bio7anga2,bio7anga2
弓中錘,king-tiong-tshuê,16,keng-tiong-chhôe,kingtiongtshue5,kengtiongchhoe5
彎仔鋸,uan-á-kì,16,oan-á-kì,uana2ki3,oana2ki3
戮空的,lak-khang-ê,16,lak-khang-ê,lakkhange5,lakkhange5
扁鋏仔,pínn-giap-á,16,píⁿ-giap-á,pinn2giapa2,pinn2giapa2
手巾仔,tshiú-kin-á,16,chhiú-kin-á,tshiu2kina2,chhiu2kina2
手指圍,tshiú-tsí-uî,16,chhiú-chí-ûi,tshiu2tsi2ui5,chhiu2chi2ui5
手指條,tshiú-tsí-tiâu,16,chhiú-chí-tiâu,tshiu2tsi2tiau5,chhiu2chi2tiau5
手指通,tshiú-tsí-thong,16,chhiú-chí-thong,tshiu2tsi2thong,chhiu2chi2thong
手搖鈴,tshiú-iô-lîng,16,chhiú-iô-lêng,tshiu2io5ling5,chhiu2io5leng5
手環箸,tshiú-khuân-tī,16,chhiú-khoân-tī,tshiu2khuan5ti7,chhiu2khoan5ti7
抓耙仔,jiàu-pê-á,16,jiàu-pê-á,jiau3pe5a2,jiau3pe5a2
折刀器,tsiat-to-khì,16,chiat-to-khì,tsiattokhi3,chiattokhi3
拍初胚,phah-tshoo-phue,16,phah-chho͘-phoe,phahtshoophue,phahchhoophoe
拍剁仔,phah-tok-a,16,phah-tok-a,phahtoka,phahtoka
拍粗胚,phah-tshoo-phue,16,phah-chho͘-phoe,phahtshoophue,phahchhoophoe
拍糊仔,phah-kôo-á,16,phah-kô͘-á,phahkoo5a2,phahkoo5a2
拍花面,phah-hue-bīn,16,phah-hoe-bīn,phahhuebin7,phahhoebin7
拖空墘,thua-khang-kînn,16,thoa-khang-kîⁿ,thuakhangkinn5,thoakhangkinn5
挲密刀,so-ba̍t-to,16,so-ba̍t-to,sobat8to,sobat8to
挲玻璃,so-po-lê,16,so-po-lê,sopole5,sopole5
捏版仔,lia̍p-pán-á,16,lia̍p-pán-á,liap8pan2a2,liap8pan2a2
捶篾仔,tuî-bi̍h-á,16,tûi-bi̍h-á,tui5bih8a2,tui5bih8a2
捻塔啾,liàn-thah-tshiu,16,liàn-thah-chhiu,lian3thahtshiu,lian3thahchhiu
控制錶,khòng-tsè-pió,16,khòng-chè-pió,khong3tse3pio2,khong3che3pio2
掰糊仔,pué-kôo-á,16,póe-kô͘-á,pue2koo5a2,poe2koo5a2
描圖紙,biô-tôo-tsuá,16,biô-tô͘-chóa,bio5too5tsua2,bio5too5choa2
搝厚薄,giú-kāu-po̍h,16,giú-kāu-po̍h,giu2kau7poh8,giu2kau7poh8
摃槌仔,kòng-thuî-á,16,kòng-thûi-á,kong3thui5a2,kong3thui5a2
撞璇仔,tōng-suān-á,16,tōng-soān-á,tong7suan7a2,tong7soan7a2
擠浮線,tsik-phû-suànn,16,chek-phû-sòaⁿ,tsikphu5suann3,chekphu5soann3
敆內裡,kap-lāi-lí,16,kap-lāi-lí,kaplai7li2,kaplai7li2
敲薰屎,khà-hun-sái,16,khà-hun-sái,kha3hunsai2,kha3hunsai2
文公尺,bûn-kong-tshioh,16,bûn-kong-chhioh,bun5kongtshioh,bun5kongchhioh
文武甲,bûn-bú-kah,16,bûn-bú-kah,bun5bu2kah,bun5bu2kah
文武跤,bûn-bú-kha,16,bûn-bú-kha,bun5bu2kha,bun5bu2kha
文轎蓋,bûn-kiō-kuà,16,bûn-kiō-kòa,bun5kio7kua3,bun5kio7koa3
曝日頭,pha̍k-ji̍t-thâu,16,pha̍k-ji̍t-thâu,phak8jit8thau5,phak8jit8thau5
月眉鱗,gua̍t-bâi-lân,16,goa̍t-bâi-lân,guat8bai5lan5,goat8bai5lan5
木桮刀,bo̍k-pue-to,16,bo̍k-poe-to,bok8pueto,bok8poeto
木版畫,bo̍k-pán-uē,16,bo̍k-pán-ōe,bok8pan2ue7,bok8pan2oe7
木麻黃,bo̍k-muâ-hông,16,bo̍k-môa-hông,bok8mua5hong5,bok8moa5hong5
松節油,siông-tsiat-iû,16,siông-chiat-iû,siong5tsiatiu5,siong5chiatiu5
松膠碗,siông-ka-uánn,16,siông-ka-óaⁿ,siong5kauann2,siong5kaoann2
架索仔,khuè-soh-á,16,khòe-soh-á,khue3soha2,khoe3soha2
柏青哥,pha-tsìn-kòo,16,pha-chìn-kò͘,phatsin3koo3,phachin3koo3
染料劑,ní-liāu-tse,16,ní-liāu-che,ni2liau7tse,ni2liau7che
柳葉眉,liú-hio̍h-bâi,16,liú-hio̍h-bâi,liu2hioh8bai5,liu2hioh8bai5
柴抹刀,tshâ-buah-to,16,chhâ-boah-to,tsha5buahto,chha5boahto
柴桮仔,tshâ-pue-á,16,chhâ-poe-á,tsha5puea2,chha5poea2
柴槌仔,tshâ-thuî-á,16,chhâ-thûi-á,tsha5thui5a2,chha5thui5a2
柿仔汁,khī-á-tsiap,16,khī-á-chiap,khi7a2tsiap,khi7a2chiap
栗子殼,la̍t-tsí-khak,16,la̍t-chí-khak,lat8tsi2khak,lat8chi2khak
格仔尺,keh-á-tshioh,16,keh-á-chhioh,keha2tshioh,keha2chhioh
栽喙鬚,tsai-tshuì-tshiu,16,chai-chhùi-chhiu,tsaitshui3tshiu,chaichhui3chhiu
栽喙齒,tsai-tshuì-khí,16,chai-chhùi-khí,tsaitshui3khi2,chaichhui3khi2
栽目睭,tsai-ba̍k-tsiu,16,chai-ba̍k-chiu,tsaibak8tsiu,chaibak8chiu
栽馬啾,tsai-bé-tshiu,16,chai-bé-chhiu,tsaibe2tshiu,chaibe2chhiu
桂花甲,kuì-hue-kah,16,kùi-hoe-kah,kui3huekah,kui3hoekah
梳妝台,se-tsong-tâi,16,se-chong-tâi,setsongtai5,sechongtai5
椅頭仔,í-thâu-á,16,í-thâu-á,i2thau5a2,i2thau5a2
椅馬仔,í-bé-á,16,í-bé-á,i2be2a2,i2be2a2
楓仔樹,png-á-tshiū,16,png-á-chhiū,pnga2tshiu7,pnga2chhiu7
樟腦沙,tsiunn-ló-sua,16,chiuⁿ-ló-soa,tsiunnlo2sua,chiunnlo2soa
樟腦油,tsiunn-ló-iû,16,chiuⁿ-ló-iû,tsiunnlo2iu5,chiunnlo2iu5
樹奶模,tshiū-ni-bôo,16,chhiū-ni-bô͘,tshiu7niboo5,chhiu7niboo5
橫杆仔,huâinn-kuainn-á,16,hoâiⁿ-koaiⁿ-á,huainn5kuainna2,hoainn5koainna2
檳榔子,pin-nn̂g-tsí,16,pin-nn̂g-chí,pinnng5tsi2,pinnng5chi2
櫃仔面,kuī-á-bīn,16,kūi-á-bīn,kui7a2bin7,kui7a2bin7
毛鋏仔,moo-giap-á,16,mo͘-giap-á,moogiapa2,moogiapa2
氣死貓,khì-sí-niau,16,khì-sí-niau,khi3si2niau,khi3si2niau
水粗紙,tsuí-tshoo-tsuá,16,chúi-chho͘-chóa,tsui2tshootsua2,chui2chhoochoa2
水茄苳,tsuí-ka-tang,16,chúi-ka-tang,tsui2katang,chui2katang
水觳仔,tsuí-khok-á,16,chúi-khok-á,tsui2khoka2,chui2khoka2
水車堵,tsuí-tshia-tóo,16,chúi-chhia-tó͘,tsui2tshiatoo2,chui2chhiatoo2
水𣁳仔,tsuí-khat-á,16,chúi-khat-á,tsui2khata2,chui2khata2
沙拉油,sa-lá-iû,16,sa-lá-iû,sala2iu5,sala2iu5
油壓模,iû-ap-bôo,16,iû-ap-bô͘,iu5apboo5,iu5apboo5
油漏仔,iû-lāu-á,16,iû-lāu-á,iu5lau7a2,iu5lau7a2
油燈罩,iû-ting-tà,16,iû-teng-tà,iu5tingta3,iu5tengta3
油筒仔,iû-tâng-á,16,iû-tâng-á,iu5tang5a2,iu5tang5a2
泉州派,tsuân-tsiu-phài,16,choân-chiu-phài,tsuan5tsiuphai3,choan5chiuphai3
注蠟機,tsù-la̍h-ki,16,chù-la̍h-ki,tsu3lah8ki,chu3lah8ki
洋蔥皮,iûnn-tshang-phuê,16,iûⁿ-chhang-phôe,iunn5tshangphue5,iunn5chhangphoe5
浮綿仔,phoo-mî-a,16,pho͘-mî-a,phoomi5a,phoomi5a
浮雕堵,phû-tiau-tóo,16,phû-tiau-tó͘,phu5tiautoo2,phu5tiautoo2
淋碭釉,lâm-thn̄g-iu,16,lâm-thn̄g-iu,lam5thng7iu,lam5thng7iu
深篩仔,tshim-thai-á,16,chhim-thai-á,tshimthaia2,chhimthaia2
溫度針,un-tōo-tsiam,16,un-tō͘-chiam,untoo7tsiam,untoo7chiam
漆線塗,tshat-suànn-thôo,16,chhat-sòaⁿ-thô͘,tshatsuann3thoo5,chhatsoann3thoo5
漆線油,tshat-suànn-iû,16,chhat-sòaⁿ-iû,tshatsuann3iu5,chhatsoann3iu5
漆線龍,tshat-suànn-liông,16,chhat-sòaⁿ-liông,tshatsuann3liong5,chhatsoann3liong5
火勾仔,hué-kau-á,16,hóe-kau-á,hue2kaua2,hoe2kaua2
火耙仔,hué-pê-á,16,hóe-pê-á,hue2pe5a2,hoe2pe5a2
火鉗仔,hué-khînn-á,16,hóe-khîⁿ-á,hue2khinn5a2,hoe2khinn5a2
火鍋爐,hué-ko-lôo,16,hóe-ko-lô͘,hue2koloo5,hoe2koloo5
灰匙仔,hue-sî-á,16,hoe-sî-á,huesi5a2,hoesi5a2
烏心石,oo-sim-tsio̍h,16,o͘-sim-chio̍h,oosimtsioh8,oosimchioh8
熟桐油,si̍k-tâng-iû,16,se̍k-tâng-iû,sik8tang5iu5,sek8tang5iu5
燈火罩,ting-hué-tà,16,teng-hóe-tà,tinghue2ta3,tenghoe2ta3
燖筒仔,tīm-tâng-á,16,tīm-tâng-á,tim7tang5a2,tim7tang5a2
牛喙罨,gû-tshuì-am,16,gû-chhùi-am,gu5tshui3am,gu5chhui3am
牛鈴仔,gû-lîng-á,16,gû-lêng-á,gu5ling5a2,gu5leng5a2
牽漆線,khan-tshat-suànn,16,khan-chhat-sòaⁿ,khantshatsuann3,khanchhatsoann3
獅仔跤,sai-á-kha,16,sai-á-kha,saia2kha,saia2kha
珊瑚樹,suan-ôo-tshiū,16,soan-ô͘-chhiū,suanoo5tshiu7,soanoo5chhiu7
珠仔台,tsu-á-tâi,16,chu-á-tâi,tsua2tai5,chua2tai5
瑪瑙刀,bé-ló-to,16,bé-ló-to,be2lo2to,be2lo2to
璇石膏,suān-tsio̍h-ko,16,soān-chio̍h-ko,suan7tsioh8ko,soan7chioh8ko
璇石花,suān-tsio̍h-hue,16,soān-chio̍h-hoe,suan7tsioh8hue,soan7chioh8hoe
瓜笠仔,kue-le̍h-á,16,koe-le̍h-á,kueleh8a2,koeleh8a2
瓷仔枋,huî-á-pang,16,hûi-á-pang,hui5a2pang,hui5a2pang
瓷仔車,huî-á-tshia,16,hûi-á-chhia,hui5a2tshia,hui5a2chhia
番仔火,huan-á-hué,16,hoan-á-hóe,huana2hue2,hoana2hoe2
畫板仔,uē-pán-á,16,ōe-pán-á,ue7pan2a2,oe7pan2a2
畫活眼,uē-ua̍h-gán,16,ōe-oa̍h-gán,ue7uah8gan2,oe7oah8gan2
畫石頭,uē-tsio̍h-thâu,16,ōe-chio̍h-thâu,ue7tsioh8thau5,oe7chioh8thau5
白匏仔,pe̍h-pû-á,16,pe̍h-pû-á,peh8pu5a2,peh8pu5a2
白玉仔,pe̍h-gi̍k-á,16,pe̍h-ge̍k-á,peh8gik8a2,peh8gek8a2
白糊仔,pe̍h-kôo-á,16,pe̍h-kô͘-á,peh8koo5a2,peh8koo5a2
白胚紙,pe̍h-phue-tsuá,16,pe̍h-phoe-chóa,peh8phuetsua2,peh8phoechoa2
皮槌仔,phuê-thuî-á,16,phôe-thûi-á,phue5thui5a2,phoe5thui5a2
看紙紋,khuànn-tsuá-bûn,16,khòaⁿ-chóa-bûn,khuann3tsua2bun5,khoann3choa2bun5
石榴皮,tsio̍h-liû-phuê,16,chio̍h-liû-phôe,tsioh8liu5phue5,chioh8liu5phoe5
