hanzi,tl,frequency,poj,tl_num,poj_num
閒,ân,50,ân,an5,an5
間,kirinn,50,kiriⁿ,kirinn1,kirinn1
間,kuinn,50,kuiⁿ,kuinn1,kuinn1
閡,hǎi,50,hǎi,hai6,hai6
閭,lîr,50,lîr,lir5,lir5
關,kirinn,50,kiriⁿ,kirinn1,kirinn1
阜,hǔ,50,hǔ,hu6,hu6
阝,hǔ,50,hǔ,hu6,hu6
阤,tī,50,tī,ti7,ti7
阤,tǐ,50,tǐ,ti6,ti6
阹,khir,50,khir,khir1,khir1
阹,khu,50,khu,khu1,khu1
陁,tī,50,tī,ti7,ti7
陁,tǐ,50,tǐ,ti6,ti6
限,hǎn,50,hǎn,han6,han6
限,ǎn,50,ǎn,an6,an6
陛,pě,50,pě,pe6,pe6
陼,tsír,50,chír,tsir2,chir2
階,kere,50,kere,kere1,kere1
階,kue,50,koe,kue1,koe1
隱,írn,50,írn,irn2,irn2
隶,tāi,50,tāi,tai7,tai7
隽,tsuān,50,choān,tsuan7,choan7
隽,tsuǎn,50,choǎn,tsuan6,choan6
隽,tsùn,50,chùn,tsun3,chun3
雉,tǐ,50,tǐ,ti6,ti6
雋,tsuǎn,50,choǎn,tsuan6,choan6
雌,tshir,50,chhir,tshir1,chhir1
雎,tshir,50,chhir,tshir1,chhir1
雎,tshu,50,chhu,tshu1,chhu1
雓,îr,50,îr,ir5,ir5
雓,û,50,û,u5,u5
雥,tsa̍p,50,cha̍p,tsap8,chap8
雨,hiō,50,hiō,hio7,hio7
霮,tām,50,tām,tam7,tam7
霮,tǎm,50,tǎm,tam6,tam6
靖,tsǐng,50,chěng,tsing6,cheng6
靚,tsǐng,50,chěng,tsing6,cheng6
靜,tsǐng,50,chěng,tsing6,cheng6
靜,tsǐnn,50,chǐⁿ,tsinn6,chinn6
鞙,hiān,50,hiān,hian7,hian7
鞙,hiǎn,50,hiǎn,hian6,hian6
鞞,pí,50,pí,pi2,pi2
項,hǎng,50,hǎng,hang6,hang6
頉,î,50,î,i5,i5
頥,î,50,î,i5,i5
頾,tsir,50,chir,tsir1,chir1
頾,tsu,50,chu,tsu1,chu1
頿,tsir,50,chir,tsir1,chir1
頿,tsu,50,chu,tsu1,chu1
顄,ām,50,ām,am7,am7
顄,ǎm,50,ǎm,am6,am6
顥,hǒ,50,hǒ,ho6,ho6
颸,sir,50,sir,sir1,sir1
颸,tshir,50,chhir,tshir1,chhir1
颸,tshu,50,chhu,tshu1,chhu1
飍,hiu,50,hiu,hiu1,hiu1
飝,hui,50,hui,hui1,hui1
食,sīr,50,sīr,sir7,sir7
食,sū,50,sū,su7,su7
飠,si̍t,50,si̍t,sit8,sit8
飺,tsîr,50,chîr,tsir5,chir5
飺,tsû,50,chû,tsu5,chu5
飼,sīr,50,sīr,sir7,sir7
餈,tsîr,50,chîr,tsir5,chir5
養,tsiūnn,50,chiūⁿ,tsiunn7,chiunn7
養,tsiǔnn,50,chiǔⁿ,tsiunn6,chiunn6
餘,îr,50,îr,ir5,ir5
餜,ké,50,ké,ke2,ke2
餜,kér,50,kér,ker2,ker2
餜,kóo,50,kó͘,koo2,koo2
饇,ìr,50,ìr,ir3,ir3
饇,ù,50,ù,u3,u3
饌,tsuǎn,50,choǎn,tsuan6,choan6
馫,hing,50,heng,hing1,heng1
馭,gīr,50,gīr,gir7,gir7
駎,tiū,50,tiū,tiu7,tiu7
駎,tiǔ,50,tiǔ,tiu6,tiu6
駏,kīr,50,kīr,kir7,kir7
駏,kǐr,50,kǐr,kir6,kir6
駘,tāi,50,tāi,tai7,tai7
駘,tǎi,50,tǎi,tai6,tai6
駛,sír,50,sír,sir2,sir2
駟,sìr,50,sìr,sir3,sir3
駭,hāi,50,hāi,hai7,hai7
駭,hǎi,50,hǎi,hai6,hai6
駴,hāi,50,hāi,hai7,hai7
駴,hǎi,50,hǎi,hai6,hai6
騦,sir,50,sir,sir1,sir1
騦,su,50,su,su1,su1
驉,hir,50,hir,hir1,hir1
驉,hu,50,hu,hu1,hu1
驔,tiām,50,tiām,tiam7,tiam7
驔,tiǎm,50,tiǎm,tiam6,tiam6
驘,lê,50,lê,le5,le5
驘,lêr,50,lêr,ler5,ler5
驫,piu,50,piu,piu1,piu1
骯,hōng,50,hōng,hong7,hong7
骯,hǒng,50,hǒng,hong6,hong6
骯,ong,50,ong,ong1,ong1
骴,tsìr,50,chìr,tsir3,chir3
體,theré,50,thére,there2,there2
髧,tām,50,tām,tam7,tam7
髧,tǎm,50,tǎm,tam6,tam6
髭,tsir,50,chir,tsir1,chir1
鬌,tóo,50,tó͘,too2,too2
鬌,tōo,50,tō͘,too7,too7
鬌,tǒo,50,tǒ͘,too6,too6
鬴,hū,50,hū,hu7,hu7
鬴,hǔ,50,hǔ,hu6,hu6
魖,hir,50,hir,hir1,hir1
魖,hu,50,hu,hu1,hu1
魚,gîr,50,gîr,gir5,gir5
魼,khir,50,khir,khir1,khir1
鮡,tiāu,50,tiāu,tiau7,tiau7
鮡,tiǎu,50,tiǎu,tiau6,tiau6
鮽,îr,50,îr,ir5,ir5
鮽,û,50,û,u5,u5
鯔,tsir,50,chir,tsir1,chir1
鯗,siūnn,50,siūⁿ,siunn7,siunn7
鯗,siǔnn,50,siǔⁿ,siunn6,siunn6
