tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,itaigi
tàu,到,825,tàu,tau3,tau3,tau,tau,,,True
io̍k,欲,814,io̍k,iok8,iok8,iok,iok,,,True
tsū,聚,804,chū,tsu7,chu7,tsu,chu,,,True
sńg,耍,779,sńg,sng2,sng2,sng,sng,,,True
lak,落,767,lak,lak4,lak4,lak,lak,,,True
jî,而,757,jî,ji5,ji5,ji,ji,,,True
lî,而,757,lî,li5,li5,li,li,,,True
ping,冰,750,peng,ping1,peng1,ping,peng,,,True
bū,霧,750,bū,bu7,bu7,bu,bu,,,True
sim-kuann,心肝,732,sim-koaⁿ,sim1kuann1,sim1koann1,simkuann,simkoann,sk,sk,True
gíng,研,729,géng,ging2,geng2,ging,geng,,,True
lâu,劉,722,lâu,lau5,lau5,lau,lau,,,True
sim-lāi,心內,702,sim-lāi,sim1lai7,sim1lai7,simlai,simlai,sl,sl,True
mài,莫,688,mài,mai3,mai3,mai,mai,,,True
bōng,墓,650,bōng,bong7,bong7,bong,bong,,,True
tshap,插,650,chhap,tshap4,chhap4,tshap,chhap,,,True
gán,眼,650,gán,gan2,gan2,gan,gan,,,True
pōng,磅,650,pōng,pong7,pong7,pong,pong,,,True
muê,糜,650,môe,mue5,moe5,mue,moe,,,True
tshó,草,622,chhó,tsho2,chho2,tsho,chho,,,True
tsiong,鍾,611,chiong,tsiong1,chiong1,tsiong,chiong,,,True
bán,挽,600,bán,ban2,ban2,ban,ban,,,True
tshau,操,600,chhau,tshau1,chhau1,tshau,chhau,,,True
phoo,鋪,600,pho͘,phoo1,phoo1,phoo,phoo,,,True
hia̍h,額,587,hia̍h,hiah8,hiah8,hiah,hiah,,,True
ûn,勻,550,ûn,un5,un5,un,un,,,True
pho,波,550,pho,pho1,pho1,pho,pho,,,True
tak,觸,550,tak,tak4,tak4,tak,tak,,,True
lāi,利,544,lāi,lai7,lai7,lai,lai,,,True
kà,較,539,kà,ka3,ka3,ka,ka,,,True
tsin-tsiànn,真正,529,chin-chiàⁿ,tsin1tsiann3,chin1chiann3,tsintsiann,chinchiann,tt,cc,True
kuè-khì,過去,501,kòe-khì,kue3khi3,koe3khi3,kuekhi,koekhi,kk,kk,True
âu,喉,500,âu,au5,au5,au,au,,,True
sûn,巡,500,sûn,sun5,sun5,sun,sun,,,True
tshia,捙,500,chhia,tshia1,chhia1,tshia,chhia,,,True
pháinn-sè,歹勢,500,pháiⁿ-sè,phainn2se3,phainn2se3,phainnse,phainnse,ps,ps,True
kán-tan,簡單,500,kán-tan,kan2tan1,kan2tan1,kantan,kantan,kt,kt,True
sô,趖,500,sô,so5,so5,so,so,,,True
tsiàu,醮,499,chiàu,tsiau3,chiau3,tsiau,chiau,,,True
kám-kak,感覺,463,kám-kak,kam2kak4,kam2kak4,kamkak,kamkak,kk,kk,True
uân,園,460,oân,uan5,oan5,uan,oan,,,True
khiām,儉,450,khiām,khiam7,khiam7,khiam,khiam,,,True
lāng,弄,450,lāng,lang7,lang7,lang,lang,,,True
khàu,扣,450,khàu,khau3,khau3,khau,khau,,,True
thuî,槌,450,thûi,thui5,thui5,thui,thui,,,True
tî,池,450,tî,ti5,ti5,ti,ti,,,True
hôo,胡,450,hô͘,hoo5,hoo5,hoo,hoo,,,True
thǹg,褪,450,thǹg,thng3,thng3,thng,thng,,,True
āu-lâi,後來,447,āu-lâi,au7lai5,au7lai5,aulai,aulai,al,al,True
a-bú,阿母,423,a-bú,a1bu2,a1bu2,abu,abu,ab,ab,True
king,弓,400,keng,king1,keng1,king,keng,,,True
puann,搬,400,poaⁿ,puann1,poann1,puann,poann,,,True
ò,澳,400,ò,o3,o3,o,o,,,True
kông,狂,400,kông,kong5,kong5,kong,kong,,,True
phoh,粕,400,phoh,phoh4,phoh4,phoh,phoh,,,True
tiānn-tiānn,定定,399,tiāⁿ-tiāⁿ,tiann7tiann7,tiann7tiann7,tianntiann,tianntiann,tt,tt,True
sian-senn,先生,396,sian-seⁿ,sian1senn1,sian1senn1,siansenn,siansenn,ss,ss,True
tâi-gí,台語,394,tâi-gí,tai5gi2,tai5gi2,taigi,taigi,tg,tg,True
lāu-su,老師,394,lāu-su,lau7su1,lau7su1,lausu,lausu,ls,ls,True
sian-sinn,先生,386,sian-siⁿ,sian1sinn1,sian1sinn1,siansinn,siansinn,ss,ss,True
nā-sī,若是,382,nā-sī,na7si7,na7si7,nasi,nasi,ns,ns,True
thinn,添,362,thiⁿ,thinn1,thinn1,thinn,thinn,,,True
siunn,相,357,siuⁿ,siunn1,siunn1,siunn,siunn,,,True
liông,量,356,liông,liong5,liong5,liong,liong,,,True
gî,宜,350,gî,gi5,gi5,gi,gi,,,True
áu,拗,350,áu,au2,au2,au,au,,,True
sńg,損,350,sńg,sng2,sng2,sng,sng,,,True
suāinn,檨,350,soāiⁿ,suainn7,soainn7,suainn,soainn,,,True
sip,溼,350,sip,sip4,sip4,sip,sip,,,True
suī,瑞,350,sūi,sui7,sui7,sui,sui,,,True
liâu,療,350,liâu,liau5,liau5,liau,liau,,,True
la̍p,納,350,la̍p,lap8,lap8,lap,lap,,,True
koo,菇,350,ko͘,koo1,koo1,koo,koo,,,True
tsāi,豸,350,chāi,tsai7,chai7,tsai,chai,,,True
hiau,僥,300,hiau,hiau1,hiau1,hiau,hiau,,,True
tsiàm,占,300,chiàm,tsiam3,chiam3,tsiam,chiam,,,True
luí,壘,300,lúi,lui2,lui2,lui,lui,,,True
khong,康,300,khong,khong1,khong1,khong,khong,,,True
tsû,慈,300,chû,tsu5,chu5,tsu,chu,,,True
íng,湧,300,éng,ing2,eng2,ing,eng,,,True
khut,窟,300,khut,khut4,khut4,khut,khut,,,True
si̍t,翼,300,si̍t,sit8,sit8,sit,sit,,,True
bông,雺,300,bông,bong5,bong5,bong,bong,,,True
lāu-bú,老母,296,lāu-bú,lau7bu2,lau7bu2,laubu,laubu,lb,lb,True
kí,紀,295,kí,ki2,ki2,ki,ki,,,True
a-má,阿媽,286,a-má,a1ma2,a1ma2,ama,ama,am,am,True
ji̍t-tsí,日子,271,ji̍t-chí,jit8tsi2,jit8chi2,jittsi,jitchi,jt,jc,True
phah-sǹg,拍算,266,phah-sǹg,phah4sng3,phah4sng3,phahsng,phahsng,ps,ps,True
hiann-tī,兄弟,265,hiaⁿ-tī,hiann1ti7,hiann1ti7,hiannti,hiannti,ht,ht,True
a-pa,阿爸,265,a-pa,a1pa1,a1pa1,apa,apa,ap,ap,True
pe̍h-uē-jī,白話字,262,pe̍h-ōe-jī,peh8ue7ji7,peh8oe7ji7,pehueji,pehoeji,puj,poj,True
līng-guā,另外,252,lēng-gōa,ling7gua7,leng7goa7,linggua,lenggoa,lg,lg,True
sut,捽,250,sut,sut4,sut4,sut,sut,,,True
liap,攝,250,liap,liap4,liap4,liap,liap,,,True
tsiánn,汫,250,chiáⁿ,tsiann2,chiann2,tsiann,chiann,,,True
khó,洘,250,khó,kho2,kho2,kho,kho,,,True
phun,潘,250,phun,phun1,phun1,phun,phun,,,True
tâm,澹,250,tâm,tam5,tam5,tam,tam,,,True
hu,烌,250,hu,hu1,hu1,hu,hu,,,True
pān,範,250,pān,pan7,pan7,pan,pan,,,True
khiû,虯,250,khiû,khiu5,khiu5,khiu,khiu,,,True
ham,蚶,250,ham,ham1,ham1,ham,ham,,,True
thuh,黜,250,thuh,thuh4,thuh4,thuh,thuh,,,True
sîng,乘,228,sêng,sing5,seng5,sing,seng,,,True
tō-lí,道理,212,tō-lí,to7li2,to7li2,toli,toli,tl,tl,True
kòo-sū,故事,205,kò͘-sū,koo3su7,koo3su7,koosu,koosu,ks,ks,True
the,䖙,200,the,the1,the1,the,the,,,True
giâ,夯,200,giâ,gia5,gia5,gia,gia,,,True
tūn,屯,200,tūn,tun7,tun7,tun,tun,,,True
iā,掖,200,iā,ia7,ia7,ia,ia,,,True
tshuah,掣,200,chhoah,tshuah4,chhoah4,tshuah,chhoah,,,True
khiú,搝,200,khiú,khiu2,khiu2,khiu,khiu,,,True
siàn,搧,200,siàn,sian3,sian3,sian,sian,,,True
lám,攬,200,lám,lam2,lam2,lam,lam,,,True
tháu,敨,200,tháu,thau2,thau2,thau,thau,,,True
î,於,200,î,i5,i5,i,i,,,True
tsú,梓,200,chú,tsu2,chu2,tsu,chu,,,True
hâm,涵,200,hâm,ham5,ham5,ham,ham,,,True
hang,烘,200,hang,hang1,hang1,hang,hang,,,True
kha̍p,磕,200,kha̍p,khap8,khap8,khap,khap,,,True
lâng,膿,200,lâng,lang5,lang5,lang,lang,,,True
ìm,蔭,200,ìm,im3,im3,im,im,,,True
giô,蟯,200,giô,gio5,gio5,gio,gio,,,True
bih,覕,200,bih,bih4,bih4,bih,bih,,,True
tsiān,賤,200,chiān,tsian7,chian7,tsian,chian,,,True
tiô,趒,200,tiô,tio5,tio5,tio,tio,,,True
khiâ,騎,200,khiâ,khia5,khia5,khia,khia,,,True
khau,鬮,200,khau,khau1,khau1,khau,khau,,,True
jî-tshiánn,而且,199,jî-chhiáⁿ,ji5tshiann2,ji5chhiann2,jitshiann,jichhiann,jt,jc,True
tiong-kan,中間,198,tiong-kan,tiong1kan1,tiong1kan1,tiongkan,tiongkan,tk,tk,True
sin-senn,先生,198,sin-seⁿ,sin1senn1,sin1senn1,sinsenn,sinsenn,ss,ss,True
tâi-gú,台語,197,tâi-gú,tai5gu2,tai5gu2,taigu,taigu,tg,tg,True
lé-pài,禮拜,193,lé-pài,le2pai3,le2pai3,lepai,lepai,lp,lp,True
thâu-tsîng,頭前,186,thâu-chêng,thau5tsing5,thau5cheng5,thautsing,thaucheng,tt,tc,True
