漢字,異用字,TL
拍抐涼,打納涼,phah-lā-liâng
拍抐涼,扑納涼,phah-lā-liâng
拍金仔,打金仔,phah kim-á
拍金仔,扑金仔,phah kim-á
拚俗,拼俗,piànn-sio̍k
拍咳啾,拍交嗆,phah-kha-tshiùnn
拍咳啾,打咳啾,phah-kha-tshiùnn
拍咳啾,扑咳啾,phah-kha-tshiùnn
拍咯雞,打咯雞,phah-ko̍k-ke
拍咯雞,扑咯雞,phah-ko̍k-ke
抾客,扱客,khioh-kheh
抾恨,扱恨,khioh-hīn/khioh-hūn
抾拾,扱拾,khioh-si̍p
拍某菜,打某菜,phah-bóo-tshài
拍某菜,扑姥菜,phah-bóo-tshài
拍某菜,拍姆菜,phah-bóo-tshài
拍派,打派,phah-phài
拍派,扑派,phah-phài
拆食落腹,拆噍落腹,thiah-tsia̍h-lo̍h-pak
拆食落腹,拆吃落腹,thiah-tsia̍h-lo̍h-pak
拍拳,扑拳,phah-kûn
拍拳,打拳,phah-kûn
拍拳頭,扑拳頭,phah kûn-thâu
抾捔,扱桷,khioh-ka̍k
抾捔,拾擱,khioh-ka̍k
抾捔,抾掬,khioh-ka̍k
抾捔,抾确,khioh-ka̍k
抾柴,扱柴,khioh-tshâ
抽疼,抽痛,thiu-thiànn
拍破,打破,phah-phuà
拍破,扑破,phah-phuà
抾骨,扱骨,khioh-kut
抾骨,拾骨,khioh-kut
拔桶,跋桶,pua̍h-tháng
拄欲,抵欲,tú beh/tú bueh
拄欲,拄要,tú beh/tú bueh
拄欲,抵要,tú beh/tú bueh
拍球,打球,phah-kiû
拍球,扑球,phah-kiû
拍通關,打通關,phah-thong-kuan
拍通關,扑通關,phah-thong-kuan
拍麻雀,打麻雀,phah-muâ-tshiok
拍麻雀,扑麻雀,phah-muâ-tshiok
拍喙鼓,打嘴鼓,phah-tshuì-kóo
拍喙鼓,扑喙鼓,phah-tshuì-kóo
拍喙鼓,拍嘴鼓,phah-tshuì-kóo
拍殕仔光,拍䀟仔光,phah-phú-á-kng
拍殕仔光,打殕仔光,phah-phú-á-kng
拍殕仔光,拍普仔光,phah-phú-á-kng
拍無去,打無去,phah-bô--khì
拍無去,扑無去,phah-bô--khì
抾稅,扱稅,khioh-suè/khioh-sè
拍結,打結,phah-kat
拍結,扑結,phah-kat
拍結毬,拍結球,phah-kat-kiû
拍結毬,打結球,phah-kat-kiû
抾著,扱著,khioh-tio̍h
拄著,抵著,tú-tio̍h
拚勢,拼勢,piànn-sè
拄搪,抵搪,tú-tn̄g
拍損,扑損,phah-sńg
拍損,打損,phah-sńg
拍損,打爽,phah-sńg
拗裒,拗紨,áu-pôo
拚暝工,拼暝工,piànn-mê-kang/piànn-mî-kang
拍種,扑種,phah-tsíng
拍種,打種,phah-tsíng
拍算,扑算,phah-sǹg
拍算,打算,phah-sǹg
拍算盤,打算盤,phah-sǹg-puânn
拍算盤,扑算盤,phah-sǹg-puânn
拍噗仔,打噗仔,phah-pho̍k-á
拍噗仔,扑噗仔,phah-pho̍k-á
拄數,抵賬,tú-siàu
拄數,抵數,tú-siàu
拄數,拄賬,tú-siàu
放數,放賬,pàng-siàu
拍賣,打賣,phah-bē/phah-buē
拍賣,扑賣,phah-bē/phah-buē
拍醒,打醒,phah-tshénn/phah-tshínn
拍醒,扑醒,phah-tshénn/phah-tshínn
拚輸贏,拼輸贏,piànn-su-iânn
抾錢,扱錢,khioh-tsînn
斧頭,釜頭,póo-thâu
拍斷,扑斷,phah-tn̄g
拍斷,打斷,phah-tn̄g
拍獵,打獵,phah-la̍h
拍獵,扑獵,phah-la̍h
拍翸,打翸,phah-phún
拍翸,扑翸,phah-phún
拌蠓仔,拌蚊仔,puānn báng-á
拍觸衰,扑觸衰,phah-tshik-sue
拍觸衰,打觸衰,phah-tshik-sue
拍鐵,打鐵,phah-thih
拍鐵,扑鐵,phah-thih
拍鐵仔師,打鐵仔師,phah-thih-á-sai
拍鐵仔師,扑鐵仔師,phah-thih-á-sai
拍鐵仔褲,打鐵仔褲,phah-thih-á-khòo
拍鐵仔褲,扑鐵仔褲,phah-thih-á-khòo
拍鱗,打麟,phah-lân
拍鱗,扑麟,phah-lân
拗鬱,拗熨,áu-ut
抾襇,扱襇,khioh-kíng
昏,暈,
枋,板,pang
東爿,東邊,tang-pîng
東爿,東旁,tang-pîng
枋仔,板仔,pang-á
明仔載,明仔再,bîn-á-tsài
明仔載,明仔哉,bîn-á-tsài
明仔載,明旦載,bîn-á-tsài
昏去,暈去,hūn--khì
林投姊仔,林投姐仔,Nâ-tâu-tsí--á
服侍,服祀,ho̍k-sāi
昏倒,暈倒,hūn--tó
昏迷,暈迷,hūn-bê
枋堵,板堵,pang-tóo
松梧,松羅,siông-ngôo
林菝仔,林拔仔,ná-pua̍t-á
枋模,板模,pang-bôo
沾,呫,tsam
沾,噆,tsam
沿,椽,iân
泏,注,
泏,𤁢,
泏,𤁢,
治枵,治飫,tī-iau
油炸粿,油車粿,iû-tsia̍h-kué/iû-tsia̍h-ké
油炸粿,油車餜,iû-tsia̍h-kué/iû-tsia̍h-ké
油炸粿,油炸餜,iû-tsia̍h-kué/iû-tsia̍h-ké
欣羨,歆羨,him-siān
油蔥粿,油蔥餜,iû-tshang-kué/iû-tshang-ké
炕,焢,khòng
爸,父,
注文,註文,tsù-bûn
爸母,父母,pē-bú
炕肉,焢肉,khòng-bah
爸老囝幼,父老子幼,pē-lāu-kiánn-iù
爸老囝幼,爸老子幼,pē-lāu-kiánn-iù
爸老囝幼,父老囝幼,pē-lāu-kiánn-iù
炕肉飯,焢肉飯,khòng-bah-pn̄g
狗岫,狗巢,káu-siū
狗空,狗孔,káu-khang
物食,物噍,mi̍h-tsia̍h/mn̍gh-tsia̍h
炕菜頭,焢菜頭,khòng-tshài-thâu
炊粿,炊餜,tshue kué/tshe ké
炕窯,焢窰,khòng-iô
狗蝨,狗虱,káu-sat
狗蟻,蚼蟻,káu-hiā
的,个,
祀,𫞼,
祀,在,
空,孔,
空厝間,空茨間,khang-tshù-king
空喙,空嘴,khang-tshuì
空喙,孔喙,khang-tshuì
空喙,孔嘴,khang-tshuì
空喙哺舌,空嘴哺舌,khang-tshuì-pōo-tsi̍h
空喙哺舌,空嘴薄舌,khang-tshuì-pōo-tsi̍h
空縫,孔縫,khang-phāng
糾,勼,kiù
芟,刪,
芡,焮,
芳,香,
芳水,香水,phang-tsuí
芳瓜,香瓜,phang-kue
芳味,香味,phang-bī
芡芳,芡香,khiàn-phang
芡芳,焮芳,khiàn-phang
花莓,花苺,hue-m̂
芳料,香料,phang-liāu
芳粉,香粉,phang-hún
花袂牢枝,花袂稠枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki
花袂牢枝,花𣍐牢枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki
花袂牢枝,花𣍐稠枝,hue-bē-tiâu-ki/hue-buē-tiâu-ki
糾帶,勼帶,kiù-tuà
糾筋,縮筋,kiù-kin/kiù-kun
糾筋,勼筋,kiù-kin/kiù-kun
虯,虬,khiû
虯,𧺤,khiû
虯毛,虬毛,khiû-mn̂g
虯毛,𧺤毛,khiû-mn̂g
長尻川,長尻瘡,tn̂g-kha-tshng
阿里不達,阿理不達,a-lí-put-ta̍t
表姊,表姐,piáu-tsí
阿姊,阿姐,a-tsí
青盲,青瞑,tshenn-mê/tshinn-mî
青盲牛,青瞑牛,tshenn-mê-gû/tshinn-mî-gû
阿舍囝,阿舍子,a-sià-kiánn
虯虯,虬虬,khiû-khiû
虯虯,𧺤𧺤,khiû-khiû
青恂恂,青損損,tshenn-sún-sún/tshinn-sún-sún
近倚,近偎,kīn-uá/kūn-uá
門圈,門鏲,mn̂g-khian
長短跤話,長短骹話,tn̂g-té-kha-uē
長短跤話,長短腳話,tn̂g-té-kha-uē
阿媽,俺媽,a-má
阿媽,阿嬤,a-má
阿媽,俺嬤,a-má
門跤口,門骹口,mn̂g-kha-kháu
門跤口,門腳口,mn̂g-kha-kháu
雨幔,雨𧜞,hōo-mua
青磅白磅,青碰白碰,tshenn-pōng-pe̍h-pōng/tshinn-pōng-pe̍h-pōng
亭仔跤,亭仔骹,tîng-á-kha
亭仔跤,亭仔腳,tîng-á-kha
便媒人,便媒儂,piān-muê-lâng
剉,剒,tshò
前人囝,前人子,tsîng-lâng-kiánn
前人囝,前儂子,tsîng-lâng-kiánn
前人囝,前儂囝,tsîng-lâng-kiánn
南爿,南旁,lâm-pîng
削削叫,嗄嗄叫,siah-siah-kiò
剉柴,剒柴,tshò-tshâ
咧,在,
咧,塊,
厚沙屑,厚砂屑,kāu-sua-sap
哈唏,哈肺,hah-hì
厚紙坯,厚紙胚,kāu-tsuá-phue/kāu-tsuá-phe
咧欲,在要,teh-beh/teh-bueh
咬喙,咬嘴,kā-tshuì
咬喙,齩喙,kā-tshuì
厚薰,厚熏,kāu-hun
厚薰,厚煙,kāu-hun
奕,弈,ī
姦,幹,
契兄,客兄,khè-hiann/khuè-hiann
姼仔,七仔,tshit-á
姼仔詼,七仔詼,tshit-á-khue
契囝,契子,khè-kiánn/khuè-kiánn
契爸,契父,khè-pē/khuè-pē
姦撟,幹譑,kàn-kiāu
峇,密,
客人,客儂,Kheh-lâng
幽幽仔疼,幽幽仔痛,iu-iu-á-thiànn
屎桮齒,屎篦齒,sái-pue-khí
封喙,封嘴,hong-tshuì
度晬,度歲,tōo-tsè
峇微,麻微,bâ-bui
拜公媽,拜公嬤,pài kong-má
後世人,後世儂,āu-sì-lâng
後坐,後座,āu-tsē
後岫,後受,āu-siū
後岫,後巢,āu-siū
後鈕,後紐,āu-liú
後跤,後骹,āu-kha
後跤,後腳,āu-kha
怨慼,怨切,uàn-tsheh/uàn-tshueh
後頭厝,後頭茨,āu-thâu-tshù
後擴,後売,āu-khok
挂,罣,kuì
挂,掛,kuì
曷,抑,a̍h
挑手爿,挑手旁,thio-tshiú-pîng
昨昏,昨方,tsa-hng
挖空,挖孔,óo-khang/ué-khang
按怎,安怎,án-tsuánn
按怎樣,安怎樣,án-tsuánn-iūnn
指指揬揬,指指突突,kí-kí-tu̍h-tu̍h
挖塗,挖土,óo-thôo/ué-thôo
指頭仔,掌頭仔,tsíng-thâu-á
枵,飢,iau
枵,餓,iau
枷,椵,
某,姥,bóo
柯,過,
柯,枯,
柳丁,柳橙,liú-ting
某乜人,某物人,bóo-mí-lâng
某乜人,某乜儂,bóo-mí-lâng
某乜人,某物儂,bóo-mí-lâng
柳丁汁,柳橙汁,liú-ting-tsiap
某大姊,某大姐,bóo-tuā-tsí
柱仔跤,柱仔骹,thiāu-á-kha
柱仔跤,柱仔腳,thiāu-á-kha
某囝,某子,bóo-kiánn
查某𡢃,查某嫺,tsa-bóo-kán
查某𡢃,查某嫻,tsa-bóo-kán
查某人,查某儂,tsa-bóo-lâng
查某囝,查某子,tsa-bóo-kiánn
查埔,查甫,tsa-poo
查埔,查夫,tsa-poo
查埔,諸夫,tsa-poo
查埔人,查甫人,tsa-poo-lâng
查埔人,查甫儂,tsa-poo-lâng
查埔人,查埔儂,tsa-poo-lâng
查埔囝,查甫囝,tsa-poo-kiánn
查埔囝,查甫子,tsa-poo-kiánn
查埔囝,查埔子,tsa-poo-kiánn
枵鬼,飢鬼,iau-kuí
枵鬼,餓鬼,iau-kuí
架跤,架骹,khuè kha/khè kha
架跤,架腳,khuè kha/khè kha
枵飽吵,飢飽吵,iau-pá-tshá
枵饞,飢饞,iau-sâi
枵饞,餓饞,iau-sâi
枵饞,枵豺,iau-sâi
洘旱,涸旱,khó-huānn
洗汰,洗汏,sé-thuā/sué-thuā
洗衫枋,洗衫板,sé-sann-pang/sué-sann-pang
歪喙,歪嘴,uai-tshuì
洗喙,洗嘴,sé-tshuì/sué-tshuì
炭,碳,thuànn
狡怪,狡獪,káu-kuài
炭空,碳空,thuànn-khang
炭空,炭孔,thuànn-khang
炭空,碳孔,thuànn-khang
炭屎,碳屎,thuànn-sái
活欲,活要,ua̍h-beh/ua̍h-bueh
流糍,流餈,lâu-tsî
流糍,流粢,lâu-tsî
流豬哥瀾,流豬哥涎,lâu-ti-ko-nuā/lâu-tu-ko-nuā
流瀾,流涎,lâu-nuā
炭礦,碳礦,thuànn-khòng
牲醴,牲禮,sing-lé
相𫝛,相像,sio-siāng
相仝,相共,sio-kāng
相佮,相合,sann-kap
相佮,相及,sann-kap
相卸代,相卸事,sio-sià-tāi
相拍,相打,sio-phah
相拍,相扑,sio-phah
相拍電,相打電,sio-phah-tiān
相拍電,相扑電,sio-phah-tiān
相拍雞仔,相打雞仔,sio-phah-ke-á/sio-phah-kue-á
相拍雞仔,相扑雞仔,sio-phah-ke-á/sio-phah-kue-á
相倚,相偎,sio-uá
相唚,相親,sio-tsim
相舂,相爭,sio-tsing
相舂,相衝,sio-tsing
相舂,相掙,sio-tsing
相連紲,相連續,sio-liân-suà
相楗,相拱,sio-kīng
相楗,相挭,sio-kīng
盹瞌睡,拄磕睡,tuh-ka-tsuē
相諍,相爭,sio-tsènn/sio-tsìnn
盹龜,拄龜,tuh-ku
盹龜,拄痀,tuh-ku
盹龜,盹眗,tuh-ku
看人無,看儂無,khuànn-lâng-bô
看袂起,看𣍐起,khuànn-bē-khí/khuànn-buē-khí
耍,爽,sńg
紅毛塗,紅毛土,âng-mn̂g-thôo
紅塗,紅土,âng-thôo
紅膏赤蠘,紅膏赤脂,âng-ko-tshiah-tshi̍h
紅龜粿,紅龜餜,âng-ku-kué/âng-ku-ké
胡蠅,葫蠅,hôo-sîn
胡蠅拍仔,胡蠅打仔,hôo-sîn-phah-á
胡蠅拍仔,胡蠅扑仔,hôo-sîn-phah-á
苛,科,
苳蒿,冬蒿,tang-o
苳蒿,苳萵,tang-o
苳蒿,茼萵,tang-o
苛頭,科頭,khô-thâu
虼蚻,虼蠽,ka-tsua̍h
虼蚻,虼蠘,ka-tsua̍h
虼蚻,加絕,ka-tsua̍h
重巡,重紃,tîng-sûn
重重疊疊,重重沓沓,tîng-tîng-tha̍h-tha̍h
重食,重噍,tiōng-tsia̍h
重食,重吃,tiōng-tsia̍h
迫倚,迫偎,pik-uá
訂婚,定婚,tīng-hun
重敧爿,重敧旁,tāng-khi-pîng
限數,限賬,ān-siàu
重擔,重担,tāng-tànn
食,噍,
食,吃,
食人,食儂,tsia̍h--lâng
食人,噍儂,tsia̍h--lâng
食人,吃人,tsia̍h--lâng
食力,噍力,tsia̍h-la̍t
食力,吃力,tsia̍h-la̍t
食外口,噍外口,tsia̍h-guā-kháu
食外口,吃外口,tsia̍h-guā-kháu
食名,噍名,tsia̍h-miâ
食名,吃名,tsia̍h-miâ
食老,噍老,tsia̍h-lāu
食老,吃老,tsia̍h-lāu
食色,噍色,tsia̍h-sik
食色,吃色,tsia̍h-sik
風吹輪,風吹輾,hong-tshue-lián/hong-tshe-lián
食命,噍命,tsia̍h-miā
食命,吃命,tsia̍h-miā
食物,噍物,si̍t-bu̍t
食物,吃物,si̍t-bu̍t
食穿,噍穿,tsia̍h-tshīng
食穿,吃穿,tsia̍h-tshīng
食苦,噍苦,tsia̍h-khóo
食苦,吃苦,tsia̍h-khóo
食食,噍食,tsia̍h-si̍t
食食,吃食,tsia̍h-si̍t
風飛沙,風飛砂,hong-pue-sua
食倯,噍倯,tsia̍h-sông
食倯,吃倯,tsia̍h-sông
食倯,噍傖,tsia̍h-sông
食桌,噍桌,tsia̍h-toh
食桌,吃桌,tsia̍h-toh
香烌,香灰,hiunn-hu
食祖,噍祖,tsia̍h-tsóo
食祖,吃祖,tsia̍h-tsóo
食秤頭,噍秤頭,tsia̍h-tshìn-thâu
食秤頭,吃秤頭,tsia̍h-tshìn-thâu
食晝,噍晝,tsia̍h-tàu
食晝,吃晝,tsia̍h-tàu
食晝,食罩,tsia̍h-tàu
食清領便,噍清領便,tsia̍h-tshing-niá-piān
食清領便,吃清領便,tsia̍h-tshing-niá-piān
食軟驚硬,噍軟驚硬,tsia̍h-nńg-kiann-ngē/tsia̍h-nńg-kiann-ngī
食軟驚硬,吃軟驚硬,tsia̍h-nńg-kiann-ngē/tsia̍h-nńg-kiann-ngī
風喙口,風嘴口,hong-tshuì-kháu
風湧,風泳,hong-íng
香港跤,香港骹,hiong-káng-kha
香港跤,香港腳,hiong-káng-kha
韭菜,韮菜,kú-tshài
食菜,噍菜,tsia̍h-tshài
食菜,吃菜,tsia̍h-tshài
韭菜花,韮菜花,kú-tshài-hue
食飯桌,噍飯桌,tsia̍h-pn̄g-toh
食飯桌,吃飯桌,tsia̍h-pn̄g-toh
食飯廳,噍飯廳,tsia̍h-pn̄g-thiann
食飯廳,吃飯廳,tsia̍h-pn̄g-thiann
食暗,噍暗,tsia̍h-àm
食暗,吃暗,tsia̍h-àm
食補,噍補,
食補,吃補,
食福,噍福,tsia̍h-hok
食福,吃福,tsia̍h-hok
食漿,噍漿,tsia̍h-tsiunn
食漿,吃漿,tsia̍h-tsiunn
食褒,噍褒,tsia̍h-po
食褒,吃褒,tsia̍h-po
食醋,噍醋,tsia̍h-tshòo
食醋,吃醋,tsia̍h-tshòo
食膨餅,噍膨餅,tsia̍h-phòng-piánn
食膨餅,吃凸餅,tsia̍h-phòng-piánn
食錢,噍錢,tsia̍h-tsînn
食錢,吃錢,tsia̍h-tsînn
食錢官,噍錢官,tsia̍h-tsînn-kuann
食錢官,吃錢官,tsia̍h-tsînn-kuann
食頭路,噍頭路,tsia̍h-thâu-lōo
食頭路,吃頭路,tsia̍h-thâu-lōo
風溼,風濕,hong-sip
食臊,噍臊,tsia̍h-tsho
食臊,吃臊,tsia̍h-tsho
食虧,噍虧,tsia̍h-khui
食虧,吃虧,tsia̍h-khui
食薰,噍薰,tsia̍h-hun
食薰,吃煙,tsia̍h-hun
倚,偎,
倯,傖,sông
借人,借儂,tsioh--lâng
冤仇人,冤仇儂,uan-siû-lâng
倒手爿,倒手旁,tò-tshiú-pîng
倒爿,倒旁,tò-pîng
倚年,偎年,uá-nî
倚近,偎近,uá-kīn/uá-kūn
倚晝,偎晝,uá-tàu
凍喙齒,凍嘴齒,tàng-tshuì-khí
倒數,倒賬,tó-siàu
倚靠,偎靠,uá-khò
倚壁,偎壁,uá-piah
倒擔,倒担,tó-tànn
倒轉,倒返,tò-tńg
厝,茨,tshù
厝,戍,tshù
哽,骾,kénn
哽,鯁,kénn
唉,哎,haih
唐山,長山,Tn̂g-suann
厝內,茨內,tshù-lāi
哪毋,哪不,ná m̄
厝主,茨主,tshù-tsú
厝瓦,茨瓦,tshù-hiā
厝地,茨地,tshù-tē/tshù-tuē
厝宅,茨宅,tshù-the̍h
厝角鳥仔,茨角鳥仔,tshù-kak-tsiáu-á
厝角頭,茨角頭,tshù-kak-thâu
厝契,茨契,tshù-khè/tshù-khuè
厝頂,茨頂,tshù-tíng
厝稅,茨稅,tshù-suè/tshù-sè
哪著,那著,ná-tio̍h
厝跤,茨骹,tshù-kha
厝跤,厝腳,tshù-kha
厝頭家,茨頭家,tshù-thâu-ke
厝邊,茨邊,tshù-pinn
厝邊頭尾,茨邊頭尾,tshù-pinn-thâu-bué/tshù-pinn-thâu-bé
埋,坮,
埕,庭,tiânn
娘𡢃,娘嫺,niû-kán
娘𡢃,娘嫻,niû-kán
娘嬭,娘奶,niû-lé
家己,家治,ka-kī
家己人,家治人,ka-kī-lâng
師仔,司仔,sai-á
家伙,家賄,ke-hué/ke-hé
屘囝,屘子,ban-kiánn
差教,差校,tshe-kà
師傅,師父,sai-hū
崁跤,崁骹,khàm-kha
崁跤,崁腳,khàm-kha
展翼,展翅,thián-si̍t
害蟲,害虫,hāi-thâng
挐,茹,jû/lû
挩,脫,thuah
挩枋,挩板,thuah-pang
挩門,拖門,thuah-mn̂g
挩門,屜門,thuah-mn̂g
挩門,抴門,thuah-mn̂g
挨絃仔,挨弦仔,e hiân-á
挩窗,脫窗,thuah-thang
挨粿,挨餜,e-kué/e-ké
挐氅氅,茹氅氅,jû-tsháng-tsháng/lû-tsháng-tsháng
拳頭拇,拳頭母,kûn-thâu-bú
挵,撞,lòng
挼,揉,juê/lê
捅,統,thóng
捒,搡,sak
揤,捏,tshi̍h
捌字,識字,bat-jī/bat-lī
敆作,合作,kap-tsoh
捒走,搡走,sak-tsáu
捙拚,捙拼,tshia-piànn
捙拚,車拚,tshia-piànn
挵門,撞門,lòng mn̂g
捙畚斗,捙糞斗,tshia-pùn-táu
挵破,撞破,lòng-phuà
振動,震動,tín-tāng
挽喙齒,挽嘴齒,bán tshuì-khí
料想袂到,料想𣍐到,liāu-sióng-bē-kàu/liāu-sióng-buē-kàu
挵鼓,撞鼓,lòng kóo
捅頭,統頭,thóng-thâu
挵鐘,撞鐘,lòng tsing
根底,根柢,kin-té/kun-tué
桌崁,桌蓋,toh-khàm
桌跤,桌骹,toh-kha
桌跤,桌腳,toh-kha
柴頭尪仔,柴頭翁仔,tshâ-thâu-ang-á
欱,哈,hap
氣力,喟力,khuì-la̍t
氣口,喟口,khuì-kháu
海沙埔,海砂埔,hái-sua-poo
海虼蚻,海虼蠽,hái-ka-tsua̍h
海虼蚻,海虼蠘,hái-ka-tsua̍h
海虼蚻,海加絕,hái-ka-tsua̍h
泰國菝仔,泰國芭樂,Thài-kok-pua̍t-á
海湧,海泳,hái-íng
烌,灰,hu
烏人,烏儂,oo-lâng
烏枋,烏板,oo-pang
烏枋拭仔,烏板拭仔,oo-pang-tshit-á
烏真珠,烏珍珠,oo-tsin-tsu
烏喙筆仔,烏嘴筆仔,oo-tshuì-pit-á
狸猫,貍貓,lî-bâ
烏焦瘦,烏乾瘦,oo-ta-sán
烏焦瘦,烏乾㾪,oo-ta-sán
烏焦瘦,烏焦㾪,oo-ta-sán
消瘦落肉,消㾪落肉,siau-sán-lo̍h-bah
烏蝛,烏微,oo-bui
烏魯木齊,烏魯沐債,oo-lóo-bo̍k-tsè
烏魯木齊,烏漉沐漬,oo-lóo-bo̍k-tsè
烏鴉喙,烏鴉嘴,oo-a-tshuì
烏糖粿,烏糖餜,oo-thn̂g-kué/oo-thn̂g-ké
烏貓姊仔,烏貓姐仔,oo-niau-tsí--á
泄,疶,
疶,泄,tshuah
疼,痛,thiànn
病人,病儂,pēnn-lâng/pīnn-lâng
畚斗,糞斗,pùn-táu
泄尿,疶尿,tshuā-jiō/tshuā-liō
疶屎,泄屎,tshuah-sái
疼某菜,痛某菜,thiànn-bóo-tshài
病疼,病痛,pēnn-thiànn/pīnn-thiànn
疼惜,痛惜,thiànn-sioh
疼痛,痛疼,thiànn-thàng
畚箕,糞箕,pùn-ki
破空,破孔,phuà-khang
祖厝,祖茨,tsóo-tshù
破柴,剖柴,phuà tshâ
破格喙,破格嘴,phuà-keh-tshuì
真珠,珍珠,tsin-tsu
祖媽,祖嬤,tsóo-má
秤仔,稱仔,tshìn-á
笑咍咍,笑咳咳,tshiò-hai-hai
租厝,租茨,tsoo-tshù
笑桮,笑杯,tshiò-pue
罟,罛,koo
罟仔,罛仔,koo-á
胳下空,胳下孔,koh-ē-khang
紙坯,紙胚,tsuá-phue/tsuá-phe
紙枋,紙板,tsuá-pang
缺喙,缺嘴,khih-tshuì
翁婿,尪婿,ang-sài
紙橐仔,紙簏仔,tsuá-lok-á
茈,芓,tsínn
茈,嫩,tsínn
茫,濛,
臭人,臭儂,tshàu-lâng
草人,草儂,tsháu-lâng
臭火焦,臭火凋,tshàu-hué-ta/tshàu-hé-ta
臭火焦,臭火礁,tshàu-hué-ta/tshàu-hé-ta
臭火薰,臭火熏,tshàu-hué-hun/tshàu-hé-hun
臭火薰,臭火煙,tshàu-hué-hun/tshàu-hé-hun
臭奶呆,臭奶獃,tshàu-ling-tai/tshàu-ni-tai
臭奶呆,臭乳呆,tshàu-ling-tai/tshàu-ni-tai
臭奶呆,臭乳獃,tshàu-ling-tai/tshàu-ni-tai
茭白筍,加白筍,kha-pe̍h-sún
草地人,草地儂,tsháu-tē-lâng/tsháu-tuē-lâng
臭尿薟,臭尿辛,tshàu-jiō-hiam/tshàu-liō-hiam
草厝仔,草茨仔,tsháu-tshù-á
臭喙角,臭嘴角,tshàu-tshuì-kak
臭殕,臭醭,tshàu-phú
臭焦,臭乾,tshàu-ta
臭塗味,臭土味,tshàu-thôo-bī
臭腥,臭青,tshàu-tshènn/tshàu-tshìnn
臭腥公,臭青公,tshàu-tshenn-kong/tshàu-tshinn-kong
臭跤液,臭跤餿,tshàu-kha-sio̍h
臭跤液,臭骹液,tshàu-kha-sio̍h
臭跤液,臭腳液,tshàu-kha-sio̍h
茶鈷,茶𥑮,tê-kóo
草蓆,草𥱊,tsháu-tshio̍h
茶甌,茶𥕥,tê-au
袂,𣍐,bē/buē
袂用得,𣍐用得,bē-īng-tit/buē-īng-tit
袂合,𣍐合,bē ha̍h/buē ha̍h
袂收山,𣍐收山,bē-siu-suann/buē-siu-suann
荏身,弱身,lám-sin
袂見笑,𣍐見笑,bē-kiàn-siàu/buē-kiàn-siàu
袂使,𣍐使,bē-sái/buē-sái
袂使得,𣍐使得,bē-sái-tit/buē-sái-tit
袂和,𣍐和,bē-hô/buē-hô
袂直,𣍐直,bē-ti̍t/buē-ti̍t
袂按算,𣍐按算,bē àn-sǹg/buē àn-sǹg
袂赴,𣍐赴,bē-hù/buē-hù
袂食袂睏,𣍐食𣍐睏,bē-tsia̍h-bē-khùn/buē-tsia̍h-buē-khùn
袂食袂睏,袂噍𣍐睏,bē-tsia̍h-bē-khùn/buē-tsia̍h-buē-khùn
袂食袂睏,袂吃袂睏,bē-tsia̍h-bē-khùn/buē-tsia̍h-buē-khùn
袂記得,𣍐記得,bē-kì-tit/buē-kì-tit
袂得過,𣍐得過,bē-tit kuè/buē-tit kè
袂堪得,𣍐堪得,bē-kham-tit/buē-kham-tit
袂當,袂凍,bē-tàng/buē-tàng
袂輸,𣍐輸,bē-su/buē-su
袂輸講,𣍐輸講,bē-su-kóng/buē-su-kóng
袂講得,𣍐講得,bē-kóng-tit/buē-kóng-tit
荏懶,荏爛,lám-nuā
貢丸,摃丸,kòng-uân
討皮疼,討皮痛,thó-phuê-thiànn/thó-phê-thiànn
退色,褪色,thè-sik
討契兄,討客兄,thó-khè-hiann/thó-khuè-hiann
討海人,討海儂,thó-hái-lâng
起無空,起無孔,khí-bô-khang
起痟,起𤞚,khí-siáu
討趁,討賺,thó-thàn
起雄,起兇,khí-hiông
討債囝,討債子,thó-tsè-kiánn
起跤動手,起骹動手,khí-kha-tāng-tshiú
起跤動手,起腳動手,khí-kha-tāng-tshiú
迵過,通過,thàng--kuè/thàng--kè
討數,討賬,thó-siàu
鬥,湊,
骨力,搰力,kut-la̍t
鬥句,湊句,tàu-kù
針灸,鍼灸,tsiam-kù
酒杯,酒桮,tsiú-pue
鬥空,湊空,tàu-khang
鬥空,湊孔,tàu-khang
鬥空,鬥孔,tàu-khang
鬥股,湊股,tàu-kóo
鬥相共,湊相共,tàu-sann-kāng
骨烌,骨灰,kut-hu
陣疼,陣痛,tsūn-thiànn
飢荒,饑荒,ki-hng
鬥陣,湊陣,tàu-tīn
鬥做伙,湊做伙,tàu-tsò-hué/tàu-tsuè-hé
鬥無閒,湊無閒,tàu-bô-îng
鬥無閒,鬥無閑,tàu-bô-îng
鬥無閒,逗無閒,tàu-bô-îng
針黹,針指,tsiam-tsí
鬥跤手,鬥骹手,tàu-kha-tshiú
鬥跤手,鬥腳手,tàu-kha-tshiú
鬥跤手,湊腳手,tàu-kha-tshiú
鬥夥計,搭夥計,tàu-hué-kì/tàu-hé-kì
鬥夥計,湊夥計,tàu-hué-kì/tàu-hé-kì
鬥榫頭,湊榫頭,tàu-sún-thâu
鬥鬧熱,湊鬧熱,tàu-lāu-jia̍t/tàu-lāu-lia̍t
鬥鬧熱,逗鬧熱,tàu-lāu-jia̍t/tàu-lāu-lia̍t
