hanzi,variant,tl
假𠢕,假賢,ké-gâu
偌,外,guā
偌,若,guā
做人,做儂,tsò--lâng/tsuè--lâng/tserè--lâng
做人,做儂,tsò-lâng/tsuè-lâng/tserè-lâng
做司公,做師公,tsò-sai-kong/tsuè-sai-kong
做瘦氣,做㾪氣,tsò-sán-khuì/tsuè-sán-khuì
做瘦氣,做散喟,tsò-sán-khuì/tsuè-sán-khuì
做臭人,做臭儂,tsò-tshàu-lâng/tsuè-tshàu-lâng
做議量,做藝量,tsò-gī-niū/tsuè-gī-niū
停跤,停腳,thîng-kha
停跤,停骹,thîng-kha
偷拈,偷捻,thau-ni
偷提,偷摕,thau-the̍h
偷走厝,偷走茨,thau-tsáu-tshù
偷食,偷吃,thau-tsia̍h
偷食,偷噍,thau-tsia̍h
偷食步,偷吃步,thau-tsia̍h-pōo
偷食步,偷噍步,thau-tsia̍h-pōo
傱,蹌,tsông
傱錢,蹌錢,tsông-tsînn
傷跡,傷迹,siong-jiah/siong-liah
僥倖錢,嬈倖錢,hiau-hīng-tsînn
僭權,佔權,tsiàm-khuân
僭話,搢話,tsiàm-uē
價數,價賬,kè-siàu
允頭路,引頭路,ín-thâu-lōo/ún-thâu-lōo
兄弟姊妹,兄弟姐妹,hiann-tī-tsí-muē/hiann-tī-tsí-bē
兇,凶,hiong
兇狂,凶狂,hiong-kông
先生媽,先生嬤,sian-sinn-má
光爍爍,光熠熠,kng-sih-sih
光爍爍,光熾熾,kng-sih-sih
克虧,喫虧,khik-khui
免數想,免賬想,bián-siàu-siūnn
入厝,入茨,ji̍p-tshù/li̍p-tshù
內,裡,lāi/lǎi
內媽,內嬤,lāi-má
內籬仔,裡籬仔,lāi-lî-á
八字跤,八字腳,pat-jī-kha/pat-lī-kha
八字跤,八字骹,pat-jī-kha/pat-lī-kha
公媽,公嬤,kong-má
共,給,kā/kāng
冇炭,冇碳,phànn-thuànn
冤仇人,冤仇儂,uan-siû-lâng
凍喙齒,凍嘴齒,tàng-tshuì-khí
凡勢,犯勢,huān-sè
凹,坳,nah
出代誌,出事志,tshut-tāi-tsì
出喙,出嘴,tshut-tshuì
出業,卒業,tshut-gia̍p
出氣,出喟,tshut-khuì
刁工,挑工,thiau-kang
刁故意,挑故意,tiau-kòo-ì
分伻,分偏,pun-phenn
分伻,分平,pun-phenn
別人,別儂,pa̍t-lâng
到,甲,kàu
到手芳,倒手芳,tò-tshiú-phang
到站,甲站,kàu-tsām
刺毛蟲,蛓毛蟲,tshì-môo-thâng
刺波,刺藨,tshì-pho
刺繡,刺綉,tshiah-siù
剁,斵,tok
剉,剒,tshò
剉柴,剒柴,tshò-tshâ
削削叫,嗄嗄叫,siah-siah-kiò
前人囝,前人子,tsîng-lâng-kiánn
前人囝,前儂囝,tsîng-lâng-kiánn
前人囝,前儂子,tsîng-lâng-kiánn
剪筊,剪儌,tsián-kiáu
剪筊,剪徼,tsián-kiáu
剪綹仔,剪紐仔,tsián-liú-á
剪綹仔,剪鈕仔,tsián-liú-á
割包,刈包,kuah-pau
割肉,刈肉,kuah-bah
割金,刈金,kuah-kim
割香,葛香,kuah-hiunn
創空,創孔,tshòng-khang
剾仔,刨仔,khau-á
剾仔,摳仔,khau-á
剾刀,刨刀,khau-to
剾刀,摳刀,khau-to
剾刀花,刨刀花,khau-to-hue
剾刀花,摳刀花,khau-to-hue
剾削,刨削,khau-siah
剾削,摳削,khau-siah
剾洗,刨洗,khau-sé/khau-sué
剾洗,刮洗,khau-sé/khau-sué
剾皮,刨皮,khau-phuê/khau-phê
剾皮,摳皮,khau-phuê/khau-phê
剾風,刨風,khau-hong
劌,刲,kuì
劍竹,箭竹,kiàm-tik
劍筍,箭筍,kiàm-sún
加擔,枷擔,ka-tann
加擔,椵擔,ka-tann
加薦仔,茭薦仔,ka-tsì-á/ka-tsù-á
加車,枷車,ka-tshia
勞力,努力,lóo-la̍t
勞力,擼力,lóo-la̍t
勥跤,勥腳,khiàng-kha
勥跤,勥骹,khiàng-kha
勻仔是,緩仔是,ûn-á-sī
勻勻仔,緩緩仔,ûn-ûn-á
勻勻仔火,緩緩仔火,ûn-ûn-á-hué/ûn-ûn-á-hé
勼,丩,kiu
勼跤,勼腳,kiu-kha
勼跤,勼骹,kiu-kha
勼跤勼手,丩跤丩手,kiu-kha-kiu-tshiú
匏桸,匏杓,pû-hia
匏桸,匏瓠,pû-hia
北爿,北旁,pak-pîng
十二生相,十二生肖,tsa̍p-jī-senn-siùnn/tsa̍p-lī-sinn-siùnn
千,仟,tshing/tshuinn/tshainn/tshirinn
半世人,半世儂,puànn-sì-lâng
半桶師仔,半桶司仔,puànn-tháng-sai-á
半節,半截,puànn-tsat
半路師,半路司,puànn-lōo-sai
南爿,南旁,lâm-pîng
卜面,博面,poh-bīn
卯喙,卯嘴,mauh-tshuì
卵蛋,卵端,nn̄g-tuann
厚沙屑,厚砂屑,kāu-sua-sap
厚紙坯,厚紙胚,kāu-tsuá-phue/kāu-tsuá-phe
厚薰,厚煙,kāu-hun
厚薰,厚熏,kāu-hun
厝,戍,tshù
厝,茨,tshù
厝主,茨主,tshù-tsú
厝內,茨內,tshù-lāi
厝地,茨地,tshù-tē/tshù-tuē
厝契,茨契,tshù-khè/tshù-khuè
厝宅,茨宅,tshù-the̍h
厝瓦,茨瓦,tshù-hiā
厝稅,茨稅,tshù-suè/tshù-sè
厝角頭,茨角頭,tshù-kak-thâu
厝角鳥仔,茨角鳥仔,tshù-kak-tsiáu-á
厝跤,厝腳,tshù-kha
厝跤,茨骹,tshù-kha
厝邊,茨邊,tshù-pinn
厝邊兜,戍邊兜,tshù-pinn-tau
厝邊兜,茨邊兜,tshù-pinn-tau
厝邊隔壁,茨邊隔壁,tshù-pinn-keh-piah
厝邊頭尾,茨邊頭尾,tshù-pinn-thâu-bué/tshù-pinn-thâu-bé
厝頂,茨頂,tshù-tíng
厝頭家,茨頭家,tshù-thâu-ke
厭,饜,ià
厭氣,嚥氣,iàn-khì
厭氣,燕氣,iàn-khì
厭𤺪,饜𤺪,ià-siān
參,蔘,sim/som/serm/song
參仔,蔘仔,sim-á
又閣,又復,iū-koh
又閣,又擱,iū-koh
又閣,又更,iū-koh
反爿,反旁,píng-pîng
反輾轉,反輪轉,píng-liàn-tńg
反輾轉,扳輦轉,píng-liàn-tńg
受債,受制,siū-tsè
受當袂起,受當𣍐起,siū-tong-bē-khí/siū-tong-buē-khí
口灶,口竈,kháu-tsàu
古意人,古意儂,kóo-ì-lâng
叨,嘮,lo
叫毋敢,叫不敢,kiò-m̄-kánn
召鏡,吊鏡,tiàu-kiànn
可憐代,可憐事,khó-liân-tāi
司,師,sai
司公,師公,sai-kong
各人,各儂,kok-lâng
各馝,各鱉,kok-pih
合喙,合嘴,ha̍p-tshuì
吐大氣,吐大喟,thóo-tuā-khuì
吐氣,吐喟,thóo-khuì
吐肉箭,吐肉搢,thóo-bah-tsìnn
吐腸頭,凸腸頭,thóo-tn̂g-thâu
向望,映望,ǹg-bāng
含,唅,kânn
吭跤翹,吭腳翹,khōng-kha-khiàu
吭跤翹,吭骹翹,khōng-kha-khiàu
吵,訬,tshá
吵家抐宅,訬家抐宅,tshá-ke-lā-the̍h
吵家抐計,訬家抐計,tshá-ke-lā-kè
吵抐,訬抐,tshá-lā
吵抐,訬撓,tshá-lā
吵鬧,訬鬧,tshá-nāu
吼,哮,háu
呃,噎,eh
呆,獃,tai
呔討,汰討,thài-thó
呵咾,謳咾,o-ló
呵咾,阿咾,o-ló
呸瀾,呸涎,phuì-nuā
呼噓仔,呼㗭也,khoo-si-á
呼噓仔,呼㗭仔,khoo-si-á
呼噓仔,呼噓也,khoo-si-á
咧,在,teh/leh/terh/lerh/lirh/eh/tih/lih
咧,塊,teh/leh/terh/lerh/lirh/eh/tih/lih
咧欲,在要,teh-beh/teh-bueh
咬喙,咬嘴,kā-tshuì
咬喙,齩喙,kā-tshuì
哈唏,哈肺,hah-hì
哪毋,哪不,ná-m̄
哪著,那著,ná-tio̍h
哽,骾,kénn
哽,鯁,kénn
唉,哎,haih
唌人,唌儂,siânn--lâng
唐山,長山,tn̂g-suann
唬,虎,hóo
唬人,虎人,hóo--lâng
唱聲,倡聲,tshiàng-siann
唱聲,嗆聲,tshiàng-siann
唸,念,liām
啉,飲,lim
啉水,飲水,lim-tsuí
啉茶,飲茶,lim-tê
啉酒,飲酒,lim-tsiú
啉酒醉,飲酒醉,lim-tsiú-tsuì
啖,嘗,tam
啖糝,啖嘇,tām-sám
啖糝,啖點,tām-sám
啖糝,啗嘇,tām-sám
啥人,啥儂,siánn-lâng
啥人,甚人,siánn-lâng
啥人,甚儂,siánn-lâng
啥潲,啥韶,siánn-siâu
啥物,啥乜,siánn-mih
啥物,啥麼,siánn-mih
啥貨,甚貨,siánn-huè/siánn-hè
喉滇,喉淀,âu-tīnn
喘大氣,喘大喟,tshuán-tuā-khuì
喘氣,喘喟,tshuán-khuì
喙,嘴,tshuì
喙䫌,嘴䫌,tshuì-phué
喙下斗,嘴下斗,tshuì-ē-táu
喙凊,嘴凊,tshuì-tshìn
喙口,嘴口,tshuì-kháu
喙尾,嘴尾,tshuì-bué/tshuì-bé
喙扁,嘴扁,tshuì-pínn
喙斗,嘴斗,tshuì-táu
喙桮,嘴桮,tshuì-pue
喙殘,嘴殘,tshuì-tsuânn
喙水,嘴水,tshuì-suí
喙瀾,嘴涎,tshuì-nuā
喙空,喙孔,tshuì-khang
喙空,嘴孔,tshuì-khang
喙空,嘴空,tshuì-khang
喙笑目笑,嘴笑目笑,tshuì-tshiò-ba̍k-tshiò
喙箍,嘴箍,tshuì-khoo
喙罨,嘴罨,tshuì-am
喙脣,嘴脣,tshuì-tûn
喙脣皮,嘴唇皮,tshuì-tûn-phuê/tshuì-tûn-phê
喙臭,嘴臭,tshuì-tshàu
喙舌,嘴舌,tshuì-tsi̍h
喙角,嘴角,tshuì-kak
喙齒,嘴齒,tshuì-khí
喙齒根,嘴齒根,tshuì-khí-kin/tshuì-khí-kun
喙齒縫,嘴齒縫,tshuì-khí-phāng
喝玲瑯,喝玲瓏,huah-lin-long
單跤手,單腳手,tuann-kha-tshiú
單跤手,單骹手,tuann-kha-tshiú
嗚,嗡,onn
嘛嘛吼,嗎嗎哭,mà-mà-háu
嘛欲,嘛要,mā-beh/mā-bueh
噗,泡,phok
噗,烞,pok
噗薰,烞薰,pok-hun
噤喙,噤嘴,khiūnn-tshuì
噷噷,默默,hm̍h-hm̍h
嚓嚓趒,雀雀趒,tshia̍k-tshia̍k-tiô
嚙,囓,gè
嚨喉空,嚨喉孔,nâ-âu-khang
囂俳,嬈俳,hiau-pai
四伨,四媵,sì-thīn
四淋垂,四湳垂,sì-lâm-suî
四爿,四旁,sì-pîng
四跤仔,四腳仔,sì-kha-á
四跤仔,四骹仔,sì-kha-á
四跤仔泅,四腳仔泅,sì-kha-á-siû
四跤仔泅,四骹仔泅,sì-kha-á-siû
四跤杜定,四腳杜定,sì-kha-tōo-tīng
四跤杜定,四骹杜定,sì-kha-tōo-tīng
囝,子,kiánn
囝兒,子兒,kiánn-jî/kiánn-lî
囝婿,子婿,kiánn-sài
囝孫,子孫,kiánn-sun
回覆,回復,huê-hok/hê-hok
囡仔,囝仔,gín-á
囡仔人,囡仔儂,gín-á-lâng
囡仔款,囝仔款,gín-á-khuán
囤,躉,tún
圍棋,圍碁,uî-kî
圓仔粞,圓仔𥽕,înn-á-tshè/înn-á-tshuè
圓栱門,圓光門,uân-kong-mn̂g
土人,土儂,thóo-lâng
在人,在儂,tsāi-lâng
在地人,在地儂,tsāi-tē-lâng/tsāi-tuē-lâng
在欉的,在叢的,tsāi-tsâng--ê
坉塗,坉土,thūn-thôo
坉塗,填土,thūn-thôo
坉塗,填塗,thūn-thôo
坐數,坐賬,tshē-siàu
坐毋著,坐不著,tshē-m̄-tio̍h
坑崁,坑坎,khenn-khàm/khinn-khàm
坦徛,坦企,thán-khiā
坦徛,坦豎,thán-khiā
坦徛,挺徛,thán-khiā
坦直,侹直,thán-ti̍t
坯,胚,phue/phe
埋,坮,tâi
埕,庭,tiânn
埤,陂,pi
堅乾,堅干,kian-kuann
堅巴,堅粑,kian-pa
報數,報賬,pò-siàu
報鳥鼠仔冤,報老鼠仔冤,pò-niáu-tshí-á-uan/pò-niáu-tshú-á-uan
塌本,凹本,thap-pún
塌空,塌孔,thap-khang
塌跤,搨腳,thap-kha
塌跤,搨骹,thap-kha
塌錢,凹錢,thap-tsînn
塗,土,thôo
塗墼,土埆,thôo-kat
塗墼,塗埆,thôo-kat
塗墼厝,土埆厝,thôo-kat-tshù
塗墼厝,土埆茨,thôo-kat-tshù
塗墼厝,塗埆茨,thôo-kat-tshù
塗尪仔,土尪仔,thôo-ang-á
塗捀,土捧,thôo-phâng
塗水,土水,thôo-tsuí
塗水師,土水師,thôo-tsuí-sai
塗沙,土沙,thôo-sua
塗沙,土砂,thôo-sua
塗炭,土炭,thôo-thuànn
塗炭,土碳,thôo-thuànn
塗炭,塗碳,thôo-thuànn
塗石流,土石流,thôo-tsio̍h-lâu
塗礱,土礱,thôo-lâng
塗窯,土窯,thôo-iô
塗窯,土窰,thôo-iô
塗粉,土粉,thôo-hún
塗色,土色,thôo-sik
塗虱,土虱,thôo-sat
塗豆,土豆,thôo-tāu
塗豆仁,土豆仁,thôo-tāu-jîn/thôo-tāu-lîn
塗豆油,土豆油,thôo-tāu-iû
塗豆糖,土豆糖,thôo-tāu-thn̂g
塗跤,土腳,thôo-kha
塗跤,土骹,thôo-kha
塗魠,土魠,thôo-thoh
塗魠,土鮀,thôo-thoh
塗魠,塗鮀,thôo-thoh
塗龍,土龍,thôo-liông
墜跤氣,墜腳氣,tuī-kha-khì
壁空,壁孔,piah-khang
壅田,壅塍,ìng-tshân
壓味,押味,ah-bī
壓霸,惡霸,ah-pà
外人,外儂,guā-lâng
外媽,外嬤,guā-má
夠氣,夠喟,kàu-khuì
大人,大儂,tuā-lâng
大厝,大茨,tuā-tshù
大厝起,大茨起,tuā-tshù-khí
大嚨喉空,大嚨喉孔,tuā-nâ-âu-khang
大囝,大子,tuā-kiánn
大姊,大姐,tuā-tsí
大官,大倌,ta-kuann
大家,乾家,ta-ke
大家官,大家倌,ta-ke-kuann
大廣絃,大廣弦,tuā-kóng-hiân
大心氣,大心喟,tuā-sim-khuì
大氣,大喟,tuā-khuì
大氣喘,大喟喘,tuā-khuì-tshuán
大湧,大泳,tuā-íng
大漢囝,大漢子,tuā-hàn-kiánn
大灶,大竈,tuā-tsàu
大爿,大旁,tuā-pîng
大甲蓆,大甲𥱊,tāi-kah-tshio̍h
大箍呆,大箍獃,tuā-khoo-tai
大範,大辨,tuā-pān
大跤胴,大腳筒,tuā-kha-tâng
大跤胴,大骹筒,tuā-kha-tâng
大頭拇,大頭母,tuā-thâu-bú
天秤,天平,thian-pîng
天篷,天房,thian-pông
天篷,天棚,thian-pông
夭,殀,iáu
夭壽,殀壽,iáu-siū
夭壽仔,殀壽仔,iáu-siū-á
夭壽短命,殀壽短命,iáu-siū-té-miā
夭壽骨,殀壽骨,iáu-siū-kut
失人禮,失儂禮,sit-lâng-lé
失電,熄電,sit-tiān
契兄,客兄,khè-hiann/khuè-hiann
契囝,契子,khè-kiánn/khuè-kiánn
契爸,契父,khè-pē/khuè-pē
奕,弈,ī
奶,乳,ling/ni/lin
奶喙仔,乳喙仔,ling-tshuì-á/ni-tshuì-á
奶喙仔,乳嘴仔,ling-tshuì-á/ni-tshuì-á
奶喙仔,奶嘴仔,ling-tshuì-á/ni-tshuì-á
奶帕仔,乳帕仔,ling-phè-á/ni-phè-á
奶母,乳母,ling-bú/ni-bú
奶母車,乳母車,ling-bú-tshia/ni-bú-tshia
奶癌,乳癌,ling-gâm/ni-gâm
奶頭,乳頭,ling-thâu/ni-thâu
奸詭,奸鬼,kan-kuí
好佳哉,好佳在,hó-ka-tsài
好佳哉,好嘉哉,hó-ka-tsài
好唯是,好味是,hó-bî-sī
好唯是,好惟是,hó-bî-sī
好唯是,好未是,hó-bî-sī
好喙,好嘴,hó-tshuì
好喙斗,好嘴斗,hó-tshuì-táu
好囝,好子,hó-kiánn
好好人,好好儂,hó-hó-lâng
好死毋死,好死不死,hó-sí-m̄-sí
好空,好孔,hó-khang
好額人,好額儂,hó-gia̍h-lâng
妝,粧,tsng
姊,姐,tsé
姊,姐,tsí
姊夫,姐夫,tsí-hu
姊妹,姐妹,tsí-muē/tsí-bē
姑不而將,姑不二將,koo-put-jî-tsiong/koo-put-lî-tsiong
姑不而將,姑不二終,koo-put-jî-tsiong/koo-put-lî-tsiong
姑情,姑成,koo-tsiânn
姦,幹,kàn
姦撟,幹譑,kàn-kiāu
姼仔,七仔,tshit-á
姼仔詼,七仔詼,tshit-á-khue
娘嬭,娘奶,niû-lé
娘𡢃,娘嫺,niû-kán
娘𡢃,娘嫻,niû-kán
娶新娘,𤆬新娘,tshuā-sin-niû
婊囝,婊子,piáu-kiánn
婦人人,婦人儂,hū-jîn-lâng/hū-lîn-lâng
媌仔,貓仔,bâ-á
媒人,媒儂,muê-lâng/hm̂-lâng
媒人公,媒儂公,muê-lâng-kong/hm̂-lâng-kong
媒人喙,媒儂喙,muê-lâng-tshuì/hm̂-lâng-tshuì
媒人喙,媒儂嘴,muê-lâng-tshuì/hm̂-lâng-tshuì
媒人婆,媒儂婆,muê-lâng-pô/hm̂-lâng-pô
媒人禮,媒儂禮,muê-lâng-lé/hm̂-lâng-lé
媠,美,suí
媠噹噹,媠璫璫,suí-tang-tang
媠噹噹,美噹噹,suí-tang-tang
媠噹噹,美璫璫,suí-tang-tang
媠氣,媠喟,suí-khuì
媠氣,美喟,suí-khuì
媠氣,美氣,suí-khuì
媠色,美色,suí-sik
媠面,美面,suí-bīn
媽,嬤,má
媽祖,嬤祖,má-tsóo
嫁查某囝,嫁查某子,kè-tsa-bóo-kiánn
嫁翁,嫁尪,kè-ang
嬈花,嬲花,hiâu-hue
字勻,字巡,jī-ûn/lī-ûn
字爿,字旁,jī-pîng/lī-pîng
孝呆,孝獃,hàu-tai
孝尾囝,孝尾子,hà-bué-kiánn/hà-bé-kiánn
孤囝,孤子,koo-kiánn
孤跤手,孤腳手,koo-kha-tshiú
孤跤手,孤骹手,koo-kha-tshiú
孵,伏,pū
孵,菢,pū
孵岫,孵巢,pū-siū
學人,學儂,o̍h--lâng
安份,安分,an-hūn
宋盼的,宋盻个,sòng-phàn--ê
定銀,訂銀,tiānn-gîn/tiānn-gûn
客人,客儂,kheh-lâng
害蟲,害虫,hāi-thâng
家伙,家賄,ke-hué/ke-hé
家己,家治,ka-kī
家己人,家治人,ka-kī-lâng
寄生蟲,寄生虫,kià-senn-thâng/kià-sinn-thâng
寄跤,寄腳,kià-kha
寄跤,寄骹,kià-kha
寒,凝,gân
寒人,寒儂,kuânn--lâng
實櫼,塞櫼,tsa̍t-tsinn
實腹,塞腹,tsa̍t-pak
實鼻,寔鼻,tsa̍t-phīnn
寬,緩,khuann
寵倖,寵盛,thíng-sīng
封喙,封嘴,hong-tshuì
封頭壁,風頭壁,hong-thâu-piah
對喙,對嘴,tuì-tshuì
對數,對賬,tuì-siàu
小囝,小子,sió-kiánn
小管仔,小卷仔,sió-kńg-á
小食,小吃,sió-tsia̍h
小食,小噍,sió-tsia̍h
尖喙夾仔,尖嘴夾仔,tsiam-tshuì-ngeh-á
尖喙掘仔,尖嘴掘仔,tsiam-tshuì-ku̍t-á
尖跤幼手,尖腳幼手,tsiam-kha-iù-tshiú
尖跤幼手,尖骹幼手,tsiam-kha-iù-tshiú
尪仔,翁仔,ang-á
尪架桌,紅架桌,ang-kè-toh
尻川,腳倉,kha-tshng
尻川䫌,腳倉䫌,kha-tshng-phué
尻川口,腳倉口,kha-tshng-kháu
尻川後話,尻倉後話,kha-tshng-āu-uē
尻川後話,腳倉后話,kha-tshng-āu-uē
尻脊,加脊,kha-tsiah
尾仔囝,尾仔子,bué-á-kiánn/bé-á-kiánn
尾脽,尾錐,bué-tsui/bé-tsui
尾蝶,尾蛾,bué-ia̍h/bé-ia̍h
尾蝶,美蝶,bué-ia̍h/bé-ia̍h
尿桸,尿杓,jiō-hia/liō-hia
尿桸,尿瓠,jiō-hia/liō-hia
尿苴仔,尿敷仔,jiō-tsū-á/liō-tsū-á
屎桮齒,屎篦齒,sái-pue-khí
展翼,展翅,thián-si̍t
屘囝,屘子,ban-kiánn
屧,塞,siap
屧手縫,塞手縫,siap-tshiú-phāng
屧貼,塞貼,siap-thiap
屯,囤,tūn
山苳蒿,山茼萵,suann-tang-o
山跤,山腳,suann-kha
山跤,山骹,suann-kha
山雺,山濛,suann-bông
山雺,山茫,suann-bông
岩,巖,gâm
峇,密,bā
峇微,麻微,bâ-bui
崁跤,崁腳,khàm-kha
崁跤,崁骹,khàm-kha
工人,工儂,kang-lâng
差教,差校,tshe-kà
巴郎,巴攏,pa-lang
布機,布規,pòo-kui
師仔,司仔,sai-á
師傅,師父,sai-hū
幔,𧜞,mua
幔被仔,幪被仔,mua-phuē-á/mua-phē-á
幔被仔,𧜞被仔,mua-phuē-á/mua-phē-á
干樂,矸轆,kan-lo̍k
干焦,乾焦,kan-na
干焦,干乾,kan-na
干焦,干但,kan-na
干焦,干單,kan-na
平洋,平陽,pênn-iûnn/pînn-iûnn
幼囝,幼子,iù-kiánn
幼麵麵,幼咪咪,iù-mī-mī
