漢字,異用字,羅馬字
鰇魚,柔魚,jiû-hî/liû-hû
鰇魚,魷魚,jiû-hî/liû-hû
挐氅氅,茹氅氅,jû-tsháng-tsháng/lû-tsháng-tsháng
挐,茹,jû/lû
熱人,熱儂,jua̍h--lâng/lua̍h--lâng
挼,揉,juê/lê
家己,家治,ka-kī
家己人,家治人,ka-kī-lâng
交落身,交落娠,ka-la̍uh-sin
交懍恂,加懍恂,ka-lún-sún
交懍恂,交懍損,ka-lún-sún
交懍恂,加懍損,ka-lún-sún
加擔,椵擔,ka-tann
加擔,枷擔,ka-tann
鉸刀爿,鉸刀旁,ka-to-pîng
佳哉,嘉哉,ka-tsài
加車,枷車,ka-tshia
咬喙,咬嘴,kā-tshuì
咬喙,齩喙,kā-tshuì
加薦仔,茭薦仔,ka-tsì-á/ka-tsù-á
虼蚻,虼蠽,ka-tsua̍h
虼蚻,虼蠘,ka-tsua̍h
虼蚻,加絕,ka-tsua̍h
甲箬笠,甲笚笠,kah-ha̍h-le̍h
甲箬笠,甲籜笠,kah-ha̍h-le̍h
佮意,愜意,kah-ì
佮意,合意,kah-ì
甲是,𢓜是,kah-sī
甲是,徦是,kah-sī
甲是,到是,kah-sī
佮喙,合嘴,kah-tshuì
佮喙,合喙,kah-tshuì
改薰,戒薰,kái-hun
改薰,解薰,kái-hun
𡢃,嫺,kán
𡢃,嫻,kán
艱苦人,艱苦儂,kan-khóo-lâng
姦撟,幹譑,kàn-kiāu
奸詭,奸鬼,kan-kuí
干樂,矸轆,kan-lo̍k
干焦,干但,kan-na
干焦,乾焦,kan-na
干焦,干單,kan-na
干焦,干乾,kan-na
仝,同,kāng
仝,共,kāng
仝沿,同沿,kāng-iân
仝沿,共沿,kāng-iân
仝款,同款,kāng-khuán
仝款,共款,kāng-khuán
工人,工儂,kang-lâng
仝爸各母,同爸各母,kāng-pē-koh-bú
仝心,同心,kāng-sim
仝心,共心,kāng-sim
敢若,假若,kánn-ná
敢若,假那,kánn-ná
敆爐,合爐,kap-lôo
敆作,合作,kap-tsoh
狗蟻,蚼蟻,káu-hiā
厚薰,厚熏,kāu-hun
厚薰,厚煙,kāu-hun
狗空,狗孔,káu-khang
夠氣,夠喟,kàu-khuì
狡怪,狡獪,káu-kuài
猴山仔,猴猻仔,kâu-san--á
狗蝨,狗虱,káu-sat
狗岫,狗巢,káu-siū
厚沙屑,厚砂屑,kāu-sua-sap
到站,甲站,kàu-tsām
厚紙坯,厚紙胚,kāu-tsuá-phue/kāu-tsuá-phe
嫁查某囝,嫁查某子,kè tsa-bóo-kiánn
雞仔囝,雞仔子,ke-á-kiánn/kue-á-kiánn
嫁翁,嫁尪,kè-ang
雞母蟲,雞母虫,ke-bó-thâng/kue-bó-thâng
假𠢕,假賢,ké-gâu
家伙,家賄,ke-hué/ke-hé
雞鵤,雞角,ke-kak/kue-kak
雞跤爪,雞腳爪,ke-kha-jiáu/kue-kha-niáu
雞卷,雞𩜇,ke-kńg/kue-kńg
假仙假觸,假仙假𧰵,ké-sian-ké-tak
假痟,假𤞚,ké-siáu
價數,價賬,kè-siàu
雞牢,雞椆,ke-tiâu/kue-tiâu
雞牢,雞稠,ke-tiâu/kue-tiâu
低厝仔,低茨仔,kē-tshù-á
低厝仔,下茨仔,kē-tshù-á
低厝仔,下厝仔,kē-tshù-á
雞喙變鴨喙,雞嘴變鴨嘴,ke-tshuì piàn ah-tshuì/kue-tshuì piàn ah-tshuì
假喙齒,假嘴齒,ké-tshuì-khí
膎,鮭,kê/kuê
扴味,逆味,ke̍h-bī
哽,骾,kénn
哽,鯁,kénn
經跤經手,經骹經手,kenn-kha-kenn-tshiú/kinn-kha-kinn-tshiú
經跤經手,經腳經手,kenn-kha-kenn-tshiú/kinn-kha-kinn-tshiú
跤,腳,kha
跤,骹,kha
跤,奇,kha
跤仔,骹仔,kha-á
跤仔,腳仔,kha-á
跤後曲,腳後曲,kha-āu-khiau
跤後曲,骹後曲,kha-āu-khiau
跤後蹬,骹後𩨑,kha-āu-tenn
跤後蹬,腳後𩨑,kha-āu-tenn
跤後肚,骹後肚,kha-āu-tóo
跤後肚,腳後肚,kha-āu-tóo
跤麻手痺,腳麻手痺,kha-bâ-tshiú-pì
跤麻手痺,骹麻手痺,kha-bâ-tshiú-pì
跤目,骹目,kha-ba̍k
跤目,腳目,kha-ba̍k
跤模,腳模,kha-bôo
跤模手印,骹模手印,kha-bôo-tshiú-ìn
跤模手印,腳模手印,kha-bôo-tshiú-ìn
跤尾飯,骹尾飯,kha-bué-pn̄g/kha-bé-pn̄g
跤尾飯,腳尾飯,kha-bué-pn̄g/kha-bé-pn̄g
跤尾錢,腳尾錢,kha-bué-tsînn/kha-bé-tsînn
跤尾,骹尾,kha-bué/kha-bé
跤尾,腳尾,kha-bué/kha-bé
敲虎𡳞,敲虎膦,khà-hóo-lān
敲油,扣油,khà-iû
跤跡,跤迹,kha-jiah/kha-liah
跤跡,骹跡,kha-jiah/kha-liah
跤跡,腳跡,kha-jiah/kha-liah
跤枷,骹椵,kha-kê
跤枷,腳椵,kha-kê
跤筋,骹筋,kha-kin/kha-kun
跤筋,腳筋,kha-kin/kha-kun
跤球,骹球,kha-kiû
跤球,腳球,kha-kiû
跤骨,骹骨,kha-kut
跤骨,腳骨,kha-kut
跤來手來,骹來手來,kha-lâi-tshiú-lâi
跤來手來,腳來手來,kha-lâi-tshiú-lâi
跤帛,跤白,kha-pe̍h
跤帛,骹帛,kha-pe̍h
跤帛,腳帛,kha-pe̍h
茭白筍,加白筍,kha-pe̍h-sún
跤縫,骹縫,kha-phāng
跤縫,腳縫,kha-phāng
跤鼻臁,骹鼻臁,kha-phīnn-liâm
跤鼻臁,腳鼻臁,kha-phīnn-liâm
跤步,骹步,kha-pōo
跤步,腳步,kha-pōo
跤捗,腳捗,kha-pôo
跤捗,骹捗,kha-pôo
跤盤,骹盤,kha-puânn
跤盤,腳盤,kha-puânn
跤梢,骹騷,kha-sau
跤梢,腳騷,kha-sau
跤梢間仔,骹踃間仔,kha-sau-king-á
跤梢間仔,腳踃間仔,kha-sau-king-á
跤數,骹數,kha-siàu
跤數,腳色,kha-siàu
跤數,腳賬,kha-siàu
跤液,跤𫟊,kha-sio̍h
跤液,骹液,kha-sio̍h
跤液,腳𫟊,kha-sio̍h
跤踏仔,骹踏仔,kha-ta̍h-á
跤踏仔,腳踏仔,kha-ta̍h-á
跤斗,骹斗,kha-táu
跤斗,腳斗,kha-táu
跤兜,骹兜,kha-tau
跤兜,腳兜,kha-tau
跤兜,腳都,kha-tau
跤底,骹底,kha-té/kha-tué
跤底,腳底,kha-té/kha-tué
跤桶,骹桶,kha-tháng
跤桶,腳桶,kha-tháng
跤頭趺,骹頭窩,kha-thâu-u
跤頭趺,腳頭窩,kha-thâu-u
跤腿,骹腿,kha-thuí
跤腿,腳腿,kha-thuí
跤刀,骹刀,kha-to
跤刀,腳刀,kha-to
跤擋,骹擋,kha-tòng
跤擋,腳擋,kha-tòng
跤肚,骹肚,kha-tóo
跤肚,腳肚,kha-tóo
跤手,骹手,kha-tshiú
跤手,腳手,kha-tshiú
尻川,腳倉,kha-tshng
尻川後話,尻倉後話,kha-tshng-āu-uē
尻川後話,腳倉后話,kha-tshng-āu-uē
尻川口,腳倉口,kha-tshng-kháu
尻川䫌,腳倉䫌,kha-tshng-phué
尻脊,加脊,kha-tsiah
跤尖手幼,骹尖手幼,kha-tsiam-tshiú-iù
跤尖手幼,腳尖手幼,kha-tsiam-tshiú-iù
跤指頭仔,腳指頭仔,kha-tsíng-thâu-á
跤指頭仔,骹指頭仔,kha-tsíng-thâu-á
籗仔,筁仔,khah-á
較停仔,卡停仔,khah-thîng-á
開銷,開消,khai-siau
掮,肩,khainn
麴,麯,khak
殼仔絃,殼仔弦,khak-á-hiân
崁跤,崁骹,khàm-kha
崁跤,崁腳,khàm-kha
歁歁,憨憨,khám-khám
牽闔,牽卡,khan-kha̍h
牽磕,牽卡,khan-kha̍p
牽磕,牽闔,khan-kha̍p
牽抾,牽扱,khan-khioh
牽罟,牽罛,khan-koo
牽龜落湳,牽龜落坔,khan-ku-lo̍h-làm
空縫,孔縫,khang-phāng
空厝間,空茨間,khang-tshù-king
空喙,空嘴,khang-tshuì
空喙,孔喙,khang-tshuì
空喙,孔嘴,khang-tshuì
空喙哺舌,空嘴哺舌,khang-tshuì-pōo-tsi̍h
空喙哺舌,空嘴薄舌,khang-tshuì-pōo-tsi̍h
𣁳,戛,khat
薅,摳,khau
剾皮,刨皮,khau phuê/khau phê
剾皮,摳皮,khau phuê/khau phê
薅草,摳草,khau tsháu
剾仔,刨仔,khau-á
剾仔,摳仔,khau-á
剾風,刨風,khau-hong
剾洗,刨洗,khau-sé/khau-sué
剾洗,刮洗,khau-sé/khau-sué
剾削,刨削,khau-siah
剾削,摳削,khau-siah
剾刀,刨刀,khau-to
剾刀,摳刀,khau-to
剾刀花,刨刀花,khau-to-hue
剾刀花,摳刀花,khau-to-hue
口灶,口竈,kháu-tsàu
契兄,客兄,khè-hiann/khuè-hiann
契囝,契子,khè-kiánn/khuè-kiánn
契爸,契父,khè-pē/khuè-pē
齧,囓,khè/khuè
客人,客儂,Kheh-lâng
𤲍,擠,kheh/khueh
坑崁,坑坎,khenn-khàm/khinn-khàm
齒抿仔,齒刡仔,khí-bín-á
起無空,起無孔,khí-bô-khang
起雄,起兇,khí-hiông
起挐,起茹,khí-jû/khí-lû
起跤,起骹,khí-kha
起跤,起腳,khí-kha
起跤動手,起骹動手,khí-kha-tāng-tshiú
起跤動手,起腳動手,khí-kha-tāng-tshiú
齒觳仔,齒殼仔,khí-khok-á
起痟,起𤞚,khí-siáu
齒戳仔,齒拓仔,khí-thok-á
忌喙,忌嘴,khī-tshuì
徛,企,khiā
欹,迦,khia
徛眉,企眉,khiā-bâi
徛眉,豎眉,khiā-bâi
徛家,豎家,khiā-ke
徛家,企家,khiā-ke
徛起,企起,khiā-khí
徛起,豎起,khiā-khí
徛靈,企靈,khiā-lîng
徛靈,豎靈,khiā-lîng
徛名,企名,khiā-miâ
徛名,豎名,khiā-miâ
徛黃,企黃,khiā-n̂g
徛黃,豎黃,khiā-n̂g
徛票,企票,khiā-phiò
徛票,豎票,khiā-phiò
徛屏,企屏,khiā-pîn
徛屏,豎屏,khiā-pîn
徛泅,企泅,khiā-siû
徛泅,豎泅,khiā-siû
徛台,企台,khiā-tâi
徛頭,企頭,khiā-thâu
徛頭,豎頭,khiā-thâu
徛燈篙,豎燈篙,khiā-ting-ko
徛秋,企秋,khiā-tshiu
欠數,欠賬,khiàm-siàu
掔,摼,khian
芡芳,芡香,khiàn-phang
芡芳,焮芳,khiàn-phang
見天,頏天,khiàn-thian
勥跤,勥骹,khiàng-kha
勥跤,勥腳,khiàng-kha
㾀屎,怯屎,khiap-sái
曲跤,蹺骹,khiau-kha
曲跤,蹺腳,khiau-kha
缺喙,缺嘴,khih-tshuì
克虧,喫虧,khik-khui
襟胸,禽胸,khim-hing
窮分,傾分,khîng-hun
拑,捦,khînn
拑牢牢,捦稠稠,khînn-tiâu-tiâu
抾,卻,khioh
抾,拾,khioh
抾,摭,khioh
抾囡仔,扱囡仔,khioh-gín-á
抾囡仔,拾囝仔,khioh-gín-á
抾恨,扱恨,khioh-hīn/khioh-hūn
抾捔,扱桷,khioh-ka̍k
抾捔,拾擱,khioh-ka̍k
抾捔,抾掬,khioh-ka̍k
抾捔,抾确,khioh-ka̍k
抾客,扱客,khioh-kheh
抾襇,扱襇,khioh-kíng
抾骨,扱骨,khioh-kut
抾骨,拾骨,khioh-kut
抾骨頭,拾骨頭,khioh-kut-thâu
抾骨頭,扱骨頭,khioh-kut-thâu
抾骨頭,卻骨頭,khioh-kut-thâu
抾骨頭,摭骨頭,khioh-kut-thâu
抾拾,扱拾,khioh-si̍p
抾稅,扱稅,khioh-suè/khioh-sè
抾丁錢,卻丁錢,khioh-ting-tsînn
抾丁錢,拾丁錢,khioh-ting-tsînn
抾丁錢,摭丁錢,khioh-ting-tsînn
抾著,扱著,khioh-tio̍h
抾柴,扱柴,khioh-tshâ
抾錢,扱錢,khioh-tsînn
恐喝,恐嚇,khióng-hat
杙,楬,khi̍t
乞食,乞噍,khit-tsia̍h
乞食,乞吃,khit-tsia̍h
乞食琴,乞噍琴,khit-tsia̍h-khîm
乞食琴,乞吃琴,khit-tsia̍h-khîm
搝,扭,khiú
虯,虬,khiû
虯,𧺤,khiû
虯虯,虬虬,khiû-khiû
虯虯,𧺤𧺤,khiû-khiû
搝搝搦搦,扭扭搙搙,khiú-khiú-la̍k-la̍k
虯毛,虬毛,khiû-mn̂g
虯毛,𧺤毛,khiû-mn̂g
噤喙,噤嘴,khiūnn-tshuì
洘旱,涸旱,khó-huānn
可憐代,可憐事,khó-liân-tāi
苛頭,科頭,khô-thâu
擴頭,凸頭,khok-thâu
擴頭,廓頭,khok-thâu
炕,焢,khòng
炕肉,焢肉,khòng-bah
炕肉飯,焢肉飯,khòng-bah-pn̄g
炕窯,焢窰,khòng-iô
吭跤翹,吭骹翹,khōng-kha-khiàu
吭跤翹,吭腳翹,khōng-kha-khiàu
悾歁,悾憨,khong-khám
炕菜頭,焢菜頭,khòng-tshài-thâu
褲跤,褲骹,khòo-kha
褲跤,褲腳,khòo-kha
呼噓仔,呼㗭仔,khoo-si-á
呼噓仔,呼㗭也,khoo-si-á
呼噓仔,呼噓也,khoo-si-á
跍,竘,khû
看袂起,看𣍐起,khuànn-bē-khí/khuànn-buē-khí
看袂上目,看𣍐上目,khuànn-bē-tsiūnn-ba̍k/khuànn-buē-tsiūnn-ba̍k
看人無,看儂無,khuànn-lâng-bô
看破跤手,看破骹手,khuànn-phuà-kha-tshiú
看破跤手,看破腳手,khuànn-phuà-kha-tshiú
架跤,架骹,khuè kha/khè kha
架跤,架腳,khuè kha/khè kha
瘸跤,瘸骹,khuê-kha/khê-kha
瘸跤,瘸腳,khuê-kha/khê-kha
開跤褲,開腳褲,khui-kha-khòo
開跤褲,開骹褲,khui-kha-khòo
氣口,喟口,khuì-kháu
氣力,喟力,khuì-la̍t
開喙,開嘴,khui-tshuì
睏晝,睏罩,khùn-tàu
棋,碁,kî
飢荒,饑荒,ki-hng
棋子,碁子,kî-jí/kî-lí
指指揬揬,指指突突,kí-kí-tu̍h-tu̍h
棋盤,碁盤,kî-puânn
寄跤,寄腳,kià-kha
寄跤,寄骹,kià-kha
寄生蟲,寄生虫,kià-senn-thâng/kià-sinn-thâng
鹹酸苦汫,鹹酸苦𩟗,kiâm-sng-khóo-tsiánn
劍筍,箭筍,kiàm-sún
劍竹,箭竹,kiàm-tik
檢采,檢採,kiám-tshái
檢采,檢彩,kiám-tshái
鹹汫,鹹𩟗,kiâm-tsiánn
堅乾,堅干,kian-kuann
堅巴,堅粑,kian-pa
見笑代,見笑事,kiàn-siàu-tāi
囝,子,kiánn
行袂開跤,行𣍐開腳,kiânn-bē-khui-kha/kiânn-buē-khui-kha
行袂開跤,行𣍐開骹,kiânn-bē-khui-kha/kiânn-buē-khui-kha
囝兒,子兒,kiánn-jî/kiánn-lî
行跤花,行腳花,kiânn-kha-hue
行跤花,行骹花,kiânn-kha-hue
行棋,行碁,kiânn-kî
囝婿,子婿,kiánn-sài
驚生份,驚青份,kiann-senn-hūn/kiann-sinn-hūn
驚生份,驚生分,kiann-senn-hūn/kiann-sinn-hūn
驚生份,驚青分,kiann-senn-hūn/kiann-sinn-hūn
驚死人,驚死儂,kiann-sí-lâng
囝孫,子孫,kiánn-sun
結果擲捒,結果擲搡,kiat-kó-tàn-sak
結果擲捒,結果掞捒,kiat-kó-tàn-sak
結果擲捒,結果掞搡,kiat-kó-tàn-sak
結數,結賬,kiat-siàu
筊,儌,kiáu
筊,徼,kiáu
筊跤,儌跤,kiáu-kha
筊跤,賭腳,kiáu-kha
筊仙,筊先,kiáu-sian
筊岫,筊巢,kiáu-siū
禁氣,禁喟,kìm-khuì
禁喙,禁嘴,kìm-tshuì
今仔日,今旦日,kin-á-ji̍t/kin-á-li̍t
緊跤,緊腳,kín-kha
緊跤,緊骹,kín-kha
根底,根柢,kin-té/kun-tué
近倚,近偎,kīn-uá/kūn-uá
楗,拱,kīng
楗,挭,kīng
襇,襉,kíng
揀食,揀噍,kíng-tsia̍h
揀食,揀吃,kíng-tsia̍h
弓蕉,芎蕉,king-tsio
弓蕉,金蕉,king-tsio
弓蕉油,金蕉油,king-tsio-iû
弓蕉油,芎蕉油,king-tsio-iû
叫毋敢,叫不敢,kiò-m̄-kánn
強欲,強要,kiōng-beh/kiōng-bueh
糾,勼,kiù
勼,丩,kiu
勼跤,勼骹,kiu-kha
勼跤,勼腳,kiu-kha
勼跤勼手,丩跤丩手,kiu-kha-kiu-tshiú
糾筋,縮筋,kiù-kin/kiù-kun
糾筋,勼筋,kiù-kin/kiù-kun
救人,救儂,kiù-lâng
球桮,球篦,kiû-pue
球箠,球棰,kiû-tshuê/kiû-tshê
糾帶,勼帶,kiù-tuà
捲薰,捲熏,kńg-hun
捲薰,捲煙,kńg-hun
貫捾,貫綰,kǹg-kuānn
貫捾,絭捾,kǹg-kuānn
光爍爍,光熠熠,kng-sih-sih
光爍爍,光熾熾,kng-sih-sih
高麗參,高麗蔘,ko-lê-sim
閣,擱,koh
閣,故,koh
胳下空,胳下孔,koh-ē-khang
閣較,更較,koh-khah
閣較,甲較,koh-khah
閣較,閣卡,koh-khah
閣較,擱較,koh-khah
閣再,擱再,koh-tsài
各人,各儂,kok-lâng
各馝,各鱉,kok-pih
講嘐潲話,講嘐韶話,kóng hau-siâu-uē
公媽,公嬤,kong-má
講仙古,講僊古,kóng-sian-kóo
貢糖,摃糖,kòng-thn̂g
講親情,講親成,kóng-tshin-tsiânn
貢丸,摃丸,kòng-uân
罟,罛,koo
罟仔,罛仔,koo-á
古意人,古意儂,kóo-ì-lâng
孤跤手,孤腳手,koo-kha-tshiú
孤跤手,孤骹手,koo-kha-tshiú
過謙,顧謙,kòo-khiam
過謙,故謙,kòo-khiam
孤囝,孤子,koo-kiánn
姑不而將,姑不二將,koo-put-jî-tsiong/koo-put-lî-tsiong
姑不而將,姑不二終,koo-put-jî-tsiong/koo-put-lî-tsiong
枯焦,枯憔,koo-ta
鼓井,古井,kóo-tsénn/kóo-tsínn
姑情,姑成,koo-tsiânn
跔,痀,ku
龜跤,龜骹,ku-kha
龜跤,龜腳,ku-kha
龜龜鱉鱉,龜龜鼈鼈,ku-ku-pih-pih
龜祟,龜綏,ku-sui
韭菜,韮菜,kú-tshài
韭菜花,韮菜花,kú-tshài-hue
割肉,刈肉,kuah-bah
割香,葛香,kuah-hiunn
割金,刈金,kuah-kim
割包,刈包,kuah-pau
懸價,高價,kuân kè
懸山,高山,kuân suann
懸低,高低,kuân-kē
懸低,懸下,kuân-kē
懸低,高下,kuân-kē
管數,管賬,kuán-siàu
懸頂,峘頂,kuân-tíng
懸頂,高頂,kuân-tíng
懸度,高度,kuân-tōo
寒人,寒儂,kuânn--lâng
肝𦟪,肝連,kuann-liân
菅蓁,菅榛,kuann-tsin
跂跤,跂骹,kué kha/ké kha
跂跤,跂腳,kué kha/ké kha
粿仔,餜仔,kué-á/ké-á
粿印,餜印,kué-ìn/ké-ìn
過氣,過喟,kuè-khuì/kè-khuì
過數,過賬,kuè-siàu/kè-siàu
粿粞,餜粞,kué-tshè/ké-tshuè
粿粞,粿𥽕,kué-tshè/ké-tshuè
粿粞,餜𥽕,kué-tshè/ké-tshuè
過喙,過嘴,kuè-tshuì/kè-tshuì
蕨貓,過貓,kueh-niau
挂,罣,kuì
挂,掛,kuì
劌,刲,kuì
規,歸,kui
規个,歸个,kui-ê
規工,歸工,kui-kang
規氣,歸氣,kui-khì
規爿,規旁,kui-pîng
規半晡,歸半晡,kui-puànn-poo
規半晡,歸半埔,kui-puànn-poo
規世人,歸世儂,kui-sì-lâng
貴參參,貴蔘蔘,kuì-som-som
規山坪,歸山坪,kui-suann-phiânn
規陣,歸陣,kui-tīn
𤉙,焄,kûn
滾耍笑,滾爽笑,kún-sńg-tshiò
拳頭拇,拳頭母,kûn-thâu-bú
骨烌,骨灰,kut-hu
骨力,搰力,kut-la̍t
內籬仔,裡籬仔,lāi-lî-á
內媽,內嬤,lāi-má
搦,搙,la̍k
戮空,戮孔,lak-khang
搦權,搙權,la̍k-khuân
慄慄掣,搦搦掣,la̍k-la̍k-tshuah
橐袋仔,簏袋仔,lak-tē-á
湳,坔,làm
湳仔地,坔仔地,làm-á-tē
荏懶,荏爛,lám-nuā
南爿,南旁,lâm-pîng
濫糝,濫摻,lām-sám
荏身,弱身,lám-sin
濫使,亂使,lām-sú
湳塗,湳土,làm-thôo
湳塗,坔塗,làm-thôo
湳塗,坔土,làm-thôo
湳田,坔田,làm-tshân
淋水,湳水,lâm-tsuí
𡳞,膦,lān
𡳞核,膦核,lān-hu̍t
𡳞核,卵核,lān-hu̍t
𡳞脬,膦脬,lān-pha
𡳞脬,卵葩,lān-pha
𡳞神,膦神,lān-sîn
𡳞𦉎,膦綏,lān-sui
𡳞𦉎,膦嘴,lān-sui
𡳞鳥,膦屌,lān-tsiáu
𡳞鳥,膦鳥,lān-tsiáu
人面,儂面,lâng-bīn
閬月,曠月,làng-gue̍h/làng-ge̍h
人緣,儂緣,lâng-iân
人影,儂影,lâng-iánn
閬工,曠工,làng-kang
人工,儂工,lâng-kang
人客,儂客,lâng-kheh
人人,儂儂,lâng-lâng
閬縫,曠縫,làng-phāng
人頭,儂頭,lâng-thâu
人才,儂才,lâng-tsâi
閬站,曠站,làng-tsām
弄喙花,弄嘴花,lāng-tshuì-hue
佬仔,老仔,láu-á
樓仔厝,樓仔茨,lâu-á-tshù
老番顛,老番癲,lāu-huan-tian
老歲仔,老伙仔,lāu-huè-á/lāu-hè-á
落勾,落交,làu-kau
樓跤,樓骹,lâu-kha
樓跤,樓腳,lâu-kha
老硞硞,老痀痀,lāu-khok-khok
落氣,漏喟,làu-khuì
老人,老儂,lāu-lâng
老人目,老儂目,lāu-lâng-ba̍k
老人斑,老儂斑,lāu-lâng-pan
流瀾,流涎,lâu-nuā
老板,老闆,láu-pán
老爸,老父,lāu-pē
落屎,漏屎,làu-sái
落屎馬,漏屎馬,làu-sái-bé
落屎星,漏屎星,làu-sái-tshenn/làu-sái-tshinn
落杓,漏桸,làu-sia̍h
落翼仔,落翅仔,làu-si̍t-á
老頹,老傫,lāu-thē/lāu-thuē
老頹,老俀,lāu-thē/lāu-thuē
流豬哥瀾,流豬哥涎,lâu-ti-ko-nuā/lâu-tu-ko-nuā
流糍,流餈,lâu-tsî
流糍,流粢,lâu-tsî
老大人,老大儂,lāu-tuā-lâng
腡,螺,lê
你,汝,lí
狸猫,貍貓,lî-bâ
離跤手,離骹手,lī-kha-tshiú
離跤手,離腳手,lī-kha-tshiú
離離落落,哩哩落落,li-li-lak-lak
掠枵,掠飢,lia̍h-iau
掠枵,掠餓,lia̍h-iau
掠龜走鱉,掠龜走鼈,lia̍h-ku-tsáu-pih
唸,念,liām
連鞭,臨邊,liâm-mi
黏塗,粘土,liâm-thôo
黏塗,粘塗,liâm-thôo
拈田嬰,拈田𧉅,liam-tshân-enn/liam-tshân-inn
念咒,唸咒,liām-tsiù
念珠,唸珠,liām-tsu
輪仔,輾仔,lián-á
輪框,輾框,lián-khing
撚寶,捻寶,lián-pó
練痟話,練𤞚話,liān-siáu-uē
連紲,連續,liân-suà
輾轉,輪轉,liàn-tńg
撚鑽,捻鑽,lián-tsǹg
攝屎,懾屎,liap-sái
料想袂到,料想𣍐到,liāu-sióng-bē-kàu/liāu-sióng-buē-kàu
啉,飲,lim
啉茶,飲茶,lim tê
啉酒,飲酒,lim tsiú
啉水,飲水,lim tsuí
臨時臨曜,臨時臨要,lîm-sî-lîm-iāu
啉酒醉,飲酒醉,lim-tsiú-tsuì
奶母車,乳母車,ling-bú-tshia/ni-bú-tshia
奶母,乳母,ling-bú/ni-bú
奶癌,乳癌,ling-gâm/ni-gâm
奶帕仔,乳帕仔,ling-phè-á/ni-phè-á
奶頭,乳頭,ling-thâu/ni-thâu
靈厝,靈茨,lîng-tshù
奶喙仔,乳喙仔,ling-tshuì-á/ni-tshuì-á
奶喙仔,奶嘴仔,ling-tshuì-á/ni-tshuì-á
奶喙仔,乳嘴仔,ling-tshuì-á/ni-tshuì-á
鈕,紐,liú
鈕鈕仔,紐紐仔,liú liú-á
鈕鈕仔,紐鈕仔,liú liú-á
鈕鈕仔,鈕紐仔,liú liú-á
鈕仔,紐仔,liú-á
鈕仔空,紐仔空,liú-á-khang
鈕仔空,鈕仔孔,liú-á-khang
鈕仔空,紐仔孔,liú-á-khang
餾粿,餾餜,liū-kué/liū-ké
扭搦,扭搙,liú-la̍k
柳丁,柳橙,liú-ting
柳丁汁,柳橙汁,liú-ting-tsiap
躼,軂,lò
叨,嘮,lo
躼跤仔,躼骹仔,lò-kha-á
躼跤仔,躼腳仔,lò-kha-á
躼跤蠓,軂腳蚊,lò-kha-báng
落跤氣,落骹氣,lo̍h-kha-khì
落跤氣,落腳氣,lo̍h-kha-khì
落湳,落坔,lo̍h-làm
落塗,落土,lo̍h-thôo
落妝,落粧,lo̍h-tsng
橐仔,簏仔,lok-á
漉糊糜,路糊糜,lo̍k-kôo-muê/lo̍k-kôo-bê
漉喙,摝喙,lo̍k-tshuì
挵,撞,lòng
挵鼓,撞鼓,lòng kóo
挵門,撞門,lòng mn̂g
挵鐘,撞鐘,lòng tsing
挵破,撞破,lòng-phuà
𢲸,櫓,lōo
滷,魯,lóo
滷肉飯,魯肉飯,lóo-bah-pn̄g
蕗蕎,蕗藠,lōo-giō
硓𥑮石,咾咕石,lóo-kóo-tsio̍h
路邊擔仔,路邊担仔,lōo-pinn-tànn-á
路沖,路衝,lōo-tshiong
攄塗機,攄土機,lu-thôo-ki
亂操操,亂吵吵,luān-tshau-tshau
癗,瘤,luî
毋,不,m̄
毋,呣,m̄
毋,唔,m̄
毋捌,不捌,m̄ bat
毋好,不好,m̄ hó
毋好勢,不好勢,m̄ hó-sè
毋甘願,不甘願,m̄ kam-guān
毋敢,呣敢,m̄ kánn
毋敢,不敢,m̄ kánn
毋驚,不驚,m̄ kiann
毋知,不知,m̄ tsai
毋知影,不知影,m̄ tsai-iánn
毋免,不免,m̄-bián
毋願,不願,m̄-guān
毋甘嫌,不甘嫌,m̄-kam hiâm
毋過,毋閣,m̄-koh
毋過,不過,m̄-koh
毋但,不但,m̄-nā
毋但,不爾,m̄-nā
毋但,毋爾,m̄-nā
毋是款,不是款,m̄-sī-khuán
毋是款,呣是款,m̄-sī-khuán
毋是款,唔是款,m̄-sī-khuán
毋是勢,不是勢,m̄-sī-sè
毋挃,不挃,m̄-ti̍h
毋著,不著,m̄-tio̍h
毋知人,毋知儂,m̄-tsai-lâng
毋知人,不知人,m̄-tsai-lâng
毋知人,不知儂,m̄-tsai-lâng
毋知死,不知死,m̄-tsai-sí
毋成,不成,m̄-tsiânn
毋成囡仔,不成囡仔,m̄-tsiânn-gín-á
毋成樣,不成樣,m̄-tsiânn-iūnn
毋成猴,不成猴,m̄-tsiânn-kâu
毋成囝,不成囝,m̄-tsiânn-kiánn
毋成囝,毋成子,m̄-tsiânn-kiánn
毋成囝,不成子,m̄-tsiânn-kiánn
毋成人,毋成儂,m̄-tsiânn-lâng
毋成人,不成人,m̄-tsiânn-lâng
毋成人,不成儂,m̄-tsiânn-lâng
毋成物,不成物,m̄-tsiânn-mi̍h/m̄-tsiânn-mn̍gh
毋情願,不情願,m̄-tsîng-guān
毋拄好,不拄好,m̄-tú-hó
嘛欲,嘛要,mā beh/mā bueh
嘛嘛吼,嗎嗎哭,mà-mà-háu
媽祖,嬤祖,Má-tsóo
