hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
指揮法,tsí-hui-huat,16,chí-hui-hoat,tsi2hui1huat4,chi2hui1hoat4,tsihuihuat,chihuihoat,thh,chh
指數律,tsí-sòo-lu̍t,16,chí-sò͘-lu̍t,tsi2soo3lut8,chi2soo3lut8,tsisoolut,chisoolut,tsl,csl
指示劑,tsí-sī-tse,16,chí-sī-che,tsi2si7tse1,chi2si7che1,tsisitse,chisiche,tst,csc
指示藥,tsí-sī-io̍h,16,chí-sī-io̍h,tsi2si7ioh8,chi2si7ioh8,tsisiioh,chisiioh,tsi,csi
挺水性,thíng-tsuí-sìng,16,théng-chúi-sèng,thing2tsui2sing3,theng2chui2seng3,thingtsuising,thengchuiseng,tts,tcs
捋仔田,lua̍h-á-tshân,16,loa̍h-á-chhân,luah8a2tshan5,loah8a2chhan5,luahatshan,loahachhan,lat,lac
捙畚斗,tshia-pùn-táu,16,chhia-pùn-táu,tshia1pun3tau2,chhia1pun3tau2,tshiapuntau,chhiapuntau,tpt,cpt
排水溝,pâi-tsuí-kau,16,pâi-chúi-kau,pai5tsui2kau1,pai5chui2kau1,paitsuikau,paichuikau,ptk,pck
掖種祭,iā-tsíng-tsè,16,iā-chéng-chè,ia7tsing2tse3,ia7cheng2che3,iatsingtse,iachengche,itt,icc
掠篙泅,lia̍h-ko-siû,16,lia̍h-ko-siû,liah8ko1siu5,liah8ko1siu5,liahkosiu,liahkosiu,lks,lks
探墓厝,thàm-bōng-tshù,16,thàm-bōng-chhù,tham3bong7tshu3,tham3bong7chhu3,thambongtshu,thambongchhu,tbt,tbc
接力賽,tsiap-li̍k-sài,16,chiap-le̍k-sài,tsiap4lik8sai3,chiap4lek8sai3,tsiapliksai,chiapleksai,tls,cls
接物鏡,tsiap-bu̍t-kiànn,16,chiap-bu̍t-kiàⁿ,tsiap4but8kiann3,chiap4but8kiann3,tsiapbutkiann,chiapbutkiann,tbk,cbk
接目鏡,tsiap-bo̍k-kiànn,16,chiap-bo̍k-kiàⁿ,tsiap4bok8kiann3,chiap4bok8kiann3,tsiapbokkiann,chiapbokkiann,tbk,cbk
接觸力,tsiap-tshiok-li̍k,16,chiap-chhiok-le̍k,tsiap4tshiok4lik8,chiap4chhiok4lek8,tsiaptshioklik,chiapchhioklek,ttl,ccl
接觸面,tsiap-tshiok-bīn,16,chiap-chhiok-bīn,tsiap4tshiok4bin7,chiap4chhiok4bin7,tsiaptshiokbin,chiapchhiokbin,ttb,ccb
控制鈕,khòng-tsè-liú,16,khòng-chè-liú,khong3tse3liu2,khong3che3liu2,khongtseliu,khongcheliu,ktl,kcl
插敘法,tshah-sū-huat,16,chhah-sū-hoat,tshah4su7huat4,chhah4su7hoat4,tshahsuhuat,chhahsuhoat,tsh,csh
插畫家,tshah-uē-ka,16,chhah-ōe-ka,tshah4ue7ka1,chhah4oe7ka1,tshahueka,chhahoeka,tuk,cok
揣對象,tshuē-tuì-siōng,16,chhōe-tùi-siōng,tshue7tui3siong7,chhoe7tui3siong7,tshuetuisiong,chhoetuisiong,tts,cts
搖頭丸,iô-thâu-uân,16,iô-thâu-oân,io5thau5uan5,io5thau5oan5,iothauuan,iothauoan,itu,ito
摩擦力,môo-tshat-li̍k,16,mô͘-chhat-le̍k,moo5tshat4lik8,moo5chhat4lek8,mootshatlik,moochhatlek,mtl,mcl
撇頓點,phiat-tùn-tiám,16,phiat-tùn-tiám,phiat4tun3tiam2,phiat4tun3tiam2,phiattuntiam,phiattuntiam,ptt,ptt
擊樂器,kik-ga̍k-khì,16,kek-ga̍k-khì,kik4gak8khi3,kek4gak8khi3,kikgakkhi,kekgakkhi,kgk,kgk
擬人化,gí-jîn-huà,16,gí-jîn-hòa,gi2jin5hua3,gi2jin5hoa3,gijinhua,gijinhoa,gjh,gjh
擬人法,gí-jîn-huat,16,gí-jîn-hoat,gi2jin5huat4,gi2jin5hoat4,gijinhuat,gijinhoat,gjh,gjh
收納袋,siu-la̍p-tē,16,siu-la̍p-tē,siu1lap8te7,siu1lap8te7,siulapte,siulapte,slt,slt
放大圖,hòng-tuā-tôo,16,hòng-tōa-tô͘,hong3tua7too5,hong3toa7too5,hongtuatoo,hongtoatoo,htt,htt
放水燈,pàng-tsuí-ting,16,pàng-chúi-teng,pang3tsui2ting1,pang3chui2teng1,pangtsuiting,pangchuiteng,ptt,pct
敏捷度,bín-tsia̍t-tōo,16,bín-chia̍t-tō͘,bin2tsiat8too7,bin2chiat8too7,bintsiattoo,binchiattoo,btt,bct
敏捷性,bín-tsia̍t-sìng,16,bín-chia̍t-sèng,bin2tsiat8sing3,bin2chiat8seng3,bintsiatsing,binchiatseng,bts,bcs
敘述句,sū-su̍t-kù,16,sū-su̍t-kù,su7sut8ku3,su7sut8ku3,susutku,susutku,ssk,ssk
教師節,kàu-su-tseh,16,kàu-su-cheh,kau3su1tseh4,kau3su1cheh4,kausutseh,kausucheh,kst,ksc
散文集,suànn-bûn-tsi̍p,16,sòaⁿ-bûn-chi̍p,suann3bun5tsip8,soann3bun5chip8,suannbuntsip,soannbunchip,sbt,sbc
整十倍,tsíng-tsa̍p-puē,16,chéng-cha̍p-pōe,tsing2tsap8pue7,cheng2chap8poe7,tsingtsappue,chengchappoe,ttp,ccp
整數倍,tsíng-sòo-puē,16,chéng-sò͘-pōe,tsing2soo3pue7,cheng2soo3poe7,tsingsoopue,chengsoopoe,tsp,csp
整百倍,tsíng-pah-puē,16,chéng-pah-pōe,tsing2pah4pue7,cheng2pah4poe7,tsingpahpue,chengpahpoe,tpp,cpp
數字線,sòo-jī-suànn,16,sò͘-jī-sòaⁿ,soo3ji7suann3,soo3ji7soann3,soojisuann,soojisoann,sjs,sjs
文言文,bûn-giân-bûn,16,bûn-giân-bûn,bun5gian5bun5,bun5gian5bun5,bungianbun,bungianbun,bgb,bgb
斜對角,tshua̍h-tuì-kak,16,chhoa̍h-tùi-kak,tshuah8tui3kak4,chhoah8tui3kak4,tshuahtuikak,chhoahtuikak,ttk,ctk
斜糕形,tshiâ-ko-hîng,16,chhiâ-ko-hêng,tshia5ko1hing5,chhia5ko1heng5,tshiakohing,chhiakoheng,tkh,ckh
新住民,sin-tsū-bîn,16,sin-chū-bîn,sin1tsu7bin5,sin1chu7bin5,sintsubin,sinchubin,stb,scb
新朋友,sin-pîng-iú,16,sin-pêng-iú,sin1ping5iu2,sin1peng5iu2,sinpingiu,sinpengiu,spi,spi
新港文,sin-káng-bûn,16,sin-káng-bûn,sin1kang2bun5,sin1kang2bun5,sinkangbun,sinkangbun,skb,skb
新移民,sin-î-bîn,16,sin-î-bîn,sin1i5bin5,sin1i5bin5,sinibin,sinibin,sib,sib
新𥰔仔,sin-phín-á,16,sin-phín-á,sin1phin2a2,sin1phin2a2,sinphina,sinphina,spa,spa
方位盤,hong-uī-puânn,16,hong-ūi-pôaⁿ,hong1ui7puann5,hong1ui7poann5,honguipuann,honguipoann,hup,hup
方位角,hong-uī-kak,16,hong-ūi-kak,hong1ui7kak4,hong1ui7kak4,honguikak,honguikak,huk,huk
方向性,hong-hiòng-sìng,16,hong-hiòng-sèng,hong1hiong3sing3,hong1hiong3seng3,honghiongsing,honghiongseng,hhs,hhs
方向盤,hong-hiòng-puânn,16,hong-hiòng-pôaⁿ,hong1hiong3puann5,hong1hiong3poann5,honghiongpuann,honghiongpoann,hhp,hhp
方解石,hong-kái-tsio̍h,16,hong-kái-chio̍h,hong1kai2tsioh8,hong1kai2chioh8,hongkaitsioh,hongkaichioh,hkt,hkc
施力臂,si-li̍k-pì,16,si-le̍k-pì,si1lik8pi3,si1lek8pi3,silikpi,silekpi,slp,slp
施力點,si-li̍k-tiám,16,si-le̍k-tiám,si1lik8tiam2,si1lek8tiam2,siliktiam,silektiam,slt,slt
旋轉角,suân-tsuán-kak,16,soân-choán-kak,suan5tsuan2kak4,soan5choan2kak4,suantsuankak,soanchoankak,stk,sck
日本海,ji̍t-pún-hái,16,ji̍t-pún-hái,jit8pun2hai2,jit8pun2hai2,jitpunhai,jitpunhai,jph,jph
日頭光,ji̍t-thâu-kng,16,ji̍t-thâu-kng,jit8thau5kng1,jit8thau5kng1,jitthaukng,jitthaukng,jtk,jtk
星期制,sing-kî-tsè,16,seng-kî-chè,sing1ki5tse3,seng1ki5che3,singkitse,sengkiche,skt,skc
時計果,sî-kè-kó,16,sî-kè-kó,si5ke3ko2,si5ke3ko2,sikeko,sikeko,skk,skk
景氣䆀,kíng-khì-bái,16,kéng-khì-bái,king2khi3bai2,keng2khi3bai2,kingkhibai,kengkhibai,kkb,kkb
暈染法,ūn-jiám-huat,16,ūn-jiám-hoat,un7jiam2huat4,un7jiam2hoat4,unjiamhuat,unjiamhoat,ujh,ujh
暖氣團,luán-khì-thuân,16,loán-khì-thoân,luan2khi3thuan5,loan2khi3thoan5,luankhithuan,loankhithoan,lkt,lkt
暖空氣,luán-khong-khì,16,loán-khong-khì,luan2khong1khi3,loan2khong1khi3,luankhongkhi,loankhongkhi,lkk,lkk
暖色系,luán-sik-hē,16,loán-sek-hē,luan2sik4he7,loan2sek4he7,luansikhe,loansekhe,lsh,lsh
暖色調,luán-sik-tiāu,16,loán-sek-tiāu,luan2sik4tiau7,loan2sek4tiau7,luansiktiau,loansektiau,lst,lst
暗光鳥,àm-kong-tsiáu,16,àm-kong-chiáu,am3kong1tsiau2,am3kong1chiau2,amkongtsiau,amkongchiau,akt,akc
曲棍球,khiok-kùn-kiû,16,khiok-kùn-kiû,khiok4kun3kiu5,khiok4kun3kiu5,khiokkunkiu,khiokkunkiu,kkk,kkk
書名號,su-bîng-hō,16,su-bêng-hō,su1bing5ho7,su1beng5ho7,subingho,subengho,sbh,sbh
書面語,su-bīn-gí,16,su-bīn-gí,su1bin7gi2,su1bin7gi2,subingi,subingi,sbg,sbg
曹公圳,tsô-kong-tsùn,16,chô-kong-chùn,tso5kong1tsun3,cho5kong1chun3,tsokongtsun,chokongchun,tkt,ckc
曾文溪,tsan-bûn-khe,16,chan-bûn-khe,tsan1bun5khe1,chan1bun5khe1,tsanbunkhe,chanbunkhe,tbk,cbk
月偏蝕,gue̍h-phian-sit,16,goe̍h-phian-sit,gueh8phian1sit4,goeh8phian1sit4,guehphiansit,goehphiansit,gps,gps
月全蝕,gue̍h-tsuân-sit,16,goe̍h-choân-sit,gueh8tsuan5sit4,goeh8choan5sit4,guehtsuansit,goehchoansit,gts,gcs
有理化,iú-lí-huà,16,iú-lí-hòa,iu2li2hua3,iu2li2hoa3,iulihua,iulihoa,ilh,ilh
有雄卵,ū-hîng-nn̄g,16,ū-hêng-nn̄g,u7hing5nng7,u7heng5nng7,uhingnng,uhengnng,uhn,uhn
服務業,ho̍k-bū-gia̍p,16,ho̍k-bū-gia̍p,hok8bu7giap8,hok8bu7giap8,hokbugiap,hokbugiap,hbg,hbg
木刻版,bo̍k-khik-pán,16,bo̍k-khek-pán,bok8khik4pan2,bok8khek4pan2,bokkhikpan,bokkhekpan,bkp,bkp
木心枋,bo̍k-sim-pang,16,bo̍k-sim-pang,bok8sim1pang1,bok8sim1pang1,boksimpang,boksimpang,bsp,bsp
木本莖,bo̍k-pún-king,16,bo̍k-pún-keng,bok8pun2king1,bok8pun2keng1,bokpunking,bokpunkeng,bpk,bpk
未知數,bī-ti-sòo,16,bī-ti-sò͘,bi7ti1soo3,bi7ti1soo3,bitisoo,bitisoo,bts,bts
末啟詞,bua̍t-khé-sû,16,boa̍t-khé-sû,buat8khe2su5,boat8khe2su5,buatkhesu,boatkhesu,bks,bks
東半球,tang-puànn-kiû,16,tang-pòaⁿ-kiû,tang1puann3kiu5,tang1poann3kiu5,tangpuannkiu,tangpoannkiu,tpk,tpk
東南亞,tang-lâm-a,16,tang-lâm-a,tang1lam5a1,tang1lam5a1,tanglama,tanglama,tla,tla
枋仔畫,pang-á-uē,16,pang-á-ōe,pang1a2ue7,pang1a2oe7,pangaue,pangaoe,pau,pao
果子類,kué-tsí-luī,16,kóe-chí-lūi,kue2tsi2lui7,koe2chi2lui7,kuetsilui,koechilui,ktl,kcl
柑仔蜜,kam-á-bi̍t,16,kam-á-bi̍t,kam1a2bit8,kam1a2bit8,kamabit,kamabit,kab,kab
染印法,ní-ìn-huat,16,ní-ìn-hoat,ni2in3huat4,ni2in3hoat4,niinhuat,niinhoat,nih,nih
柔軟度,jiû-nńg-tōo,16,jiû-nńg-tō͘,jiu5nng2too7,jiu5nng2too7,jiunngtoo,jiunngtoo,jnt,jnt
柝仔板,kho̍k-á-pán,16,kho̍k-á-pán,khok8a2pan2,khok8a2pan2,khokapan,khokapan,kap,kap
查字典,tshâ-jī-tián,16,chhâ-jī-tián,tsha5ji7tian2,chha5ji7tian2,tshajitian,chhajitian,tjt,cjt
查音表,tshâ-im-pió,16,chhâ-im-pió,tsha5im1pio2,chha5im1pio2,tshaimpio,chhaimpio,tip,cip
柱仔形,thiāu-á-hîng,16,thiāu-á-hêng,thiau7a2hing5,thiau7a2heng5,thiauahing,thiauaheng,tah,tah
柱仔頭,thiāu-á-thâu,16,thiāu-á-thâu,thiau7a2thau5,thiau7a2thau5,thiauathau,thiauathau,tat,tat
根莖類,kin-king-luī,16,kin-keng-lūi,kin1king1lui7,kin1keng1lui7,kinkinglui,kinkenglui,kkl,kkl
格仔枋,keh-á-pang,16,keh-á-pang,keh4a2pang1,keh4a2pang1,kehapang,kehapang,kap,kap
條件句,tiâu-kiānn-kù,16,tiâu-kiāⁿ-kù,tiau5kiann7ku3,tiau5kiann7ku3,tiaukiannku,tiaukiannku,tkk,tkk
棲息地,tshe-sik-tē,16,chhe-sek-tē,tshe1sik4te7,chhe1sek4te7,tshesikte,chhesekte,tst,cst
植物欉,si̍t-bu̍t-tsâng,16,si̍t-bu̍t-châng,sit8but8tsang5,sit8but8chang5,sitbuttsang,sitbutchang,sbt,sbc
樂府詩,ga̍k-hú-si,16,ga̍k-hú-si,gak8hu2si1,gak8hu2si1,gakhusi,gakhusi,ghs,ghs
欣賞曲,him-sióng-khik,16,him-sióng-khek,him1siong2khik4,him1siong2khek4,himsiongkhik,himsiongkhek,hsk,hsk
欶水紙,suh-tsuí-tsuá,16,suh-chúi-chóa,suh4tsui2tsua2,suh4chui2choa2,suhtsuitsua,suhchuichoa,stt,scc
歌仔戲,kua-á-hì,16,koa-á-hì,kua1a2hi3,koa1a2hi3,kuaahi,koaahi,kah,kah
歕喙仔,pûn-tshuì-á,16,pûn-chhùi-á,pun5tshui3a2,pun5chhui3a2,puntshuia,punchhuia,pta,pca
歡送詞,huan-sàng-sû,16,hoan-sàng-sû,huan1sang3su5,hoan1sang3su5,huansangsu,hoansangsu,hss,hss
殖民地,si̍t-bîn-tē,16,si̍t-bîn-tē,sit8bin5te7,sit8bin5te7,sitbinte,sitbinte,sbt,sbt
殼仔絃,khak-á-hiân,16,khak-á-hiân,khak4a2hian5,khak4a2hian5,khakahian,khakahian,kah,kah
比例尺,pí-lē-tshioh,16,pí-lē-chhioh,pi2le7tshioh4,pi2le7chhioh4,piletshioh,pilechhioh,plt,plc
比率圖,pí-lu̍t-tôo,16,pí-lu̍t-tô͘,pi2lut8too5,pi2lut8too5,piluttoo,piluttoo,plt,plt
比較量,pí-kàu-liōng,16,pí-kàu-liōng,pi2kau3liong7,pi2kau3liong7,pikauliong,pikauliong,pkl,pkl
毫公升,hô-kong-tsin,16,hô-kong-chin,ho5kong1tsin1,ho5kong1chin1,hokongtsin,hokongchin,hkt,hkc
民族舞,bîn-tso̍k-bú,16,bîn-cho̍k-bú,bin5tsok8bu2,bin5chok8bu2,bintsokbu,binchokbu,btb,bcb
氟化物,hut-huà-bu̍t,16,hut-hòa-bu̍t,hut4hua3but8,hut4hoa3but8,huthuabut,huthoabut,hhb,hhb
氣溫計,khì-un-kè,16,khì-un-kè,khi3un1ke3,khi3un1ke3,khiunke,khiunke,kuk,kuk
氣生根,khì-sing-kin,16,khì-seng-kin,khi3sing1kin1,khi3seng1kin1,khisingkin,khisengkin,ksk,ksk
氣象局,khì-siōng-kio̍k,16,khì-siōng-kio̍k,khi3siong7kiok8,khi3siong7kiok8,khisiongkiok,khisiongkiok,ksk,ksk
水墨畫,tsuí-ba̍k-uē,16,chúi-ba̍k-ōe,tsui2bak8ue7,chui2bak8oe7,tsuibakue,chuibakoe,tbu,cbo
水墨紙,tsuí-ba̍k-tsuá,16,chúi-ba̍k-chóa,tsui2bak8tsua2,chui2bak8choa2,tsuibaktsua,chuibakchoa,tbt,cbc
水彩畫,tsuí-tshái-uē,16,chúi-chhái-ōe,tsui2tshai2ue7,chui2chhai2oe7,tsuitshaiue,chuichhaioe,ttu,cco
水彩筆,tsuí-tshái-pit,16,chúi-chhái-pit,tsui2tshai2pit4,chui2chhai2pit4,tsuitshaipit,chuichhaipit,ttp,ccp
水果類,tsuí-kó-luī,16,chúi-kó-lūi,tsui2ko2lui7,chui2ko2lui7,tsuikolui,chuikolui,tkl,ckl
水溶液,tsuí-iông-i̍k,16,chúi-iông-e̍k,tsui2iong5ik8,chui2iong5ek8,tsuiiongik,chuiiongek,tii,cie
水燈節,tsuí-ting-tseh,16,chúi-teng-cheh,tsui2ting1tseh4,chui2teng1cheh4,tsuitingtseh,chuitengcheh,ttt,ctc
水蜈蚣,tsuí-giâ-kang,16,chúi-giâ-kang,tsui2gia5kang1,chui2gia5kang1,tsuigiakang,chuigiakang,tgk,cgk
水資源,tsuí-tsu-guân,16,chúi-chu-goân,tsui2tsu1guan5,chui2chu1goan5,tsuitsuguan,chuichugoan,ttg,ccg
水道水,tsuí-tō-tsuí,16,chúi-tō-chúi,tsui2to7tsui2,chui2to7chui2,tsuitotsui,chuitochui,ttt,ctc
水雞泅,tsuí-ke-siû,16,chúi-ke-siû,tsui2ke1siu5,chui2ke1siu5,tsuikesiu,chuikesiu,tks,cks
沈葆楨,sím-pó-tsing,16,sím-pó-cheng,sim2po2tsing1,sim2po2cheng1,simpotsing,simpocheng,spt,spc
沉水性,tîm-tsuí-sìng,16,tîm-chúi-sèng,tim5tsui2sing3,tim5chui2seng3,timtsuising,timchuiseng,tts,tcs
沖沖滾,tshiâng-tshiâng-kún,16,chhiâng-chhiâng-kún,tshiang5tshiang5kun2,chhiang5chhiang5kun2,tshiangtshiangkun,chhiangchhiangkun,ttk,cck
油脂類,iû-tsi-luī,16,iû-chi-lūi,iu5tsi1lui7,iu5chi1lui7,iutsilui,iuchilui,itl,icl
法國號,huat-kok-hō,16,hoat-kok-hō,huat4kok4ho7,hoat4kok4ho7,huatkokho,hoatkokho,hkh,hkh
泡棉膠,phàu-mî-ka,16,phàu-mî-ka,phau3mi5ka1,phau3mi5ka1,phaumika,phaumika,pmk,pmk
注射筒,tsù-siā-tâng,16,chù-siā-tâng,tsu3sia7tang5,chu3sia7tang5,tsusiatang,chusiatang,tst,cst
注意力,tsù-ì-li̍k,16,chù-ì-le̍k,tsu3i3lik8,chu3i3lek8,tsuilik,chuilek,til,cil
洗衫粉,sé-sann-hún,16,sé-saⁿ-hún,se2sann1hun2,se2sann1hun2,sesannhun,sesannhun,ssh,ssh
流浪狗,liû-lōng-káu,16,liû-lōng-káu,liu5long7kau2,liu5long7kau2,liulongkau,liulongkau,llk,llk
流線型,liû-suànn-hîng,16,liû-sòaⁿ-hêng,liu5suann3hing5,liu5soann3heng5,liusuannhing,liusoannheng,lsh,lsh
浮葉性,phû-hio̍h-sìng,16,phû-hio̍h-sèng,phu5hioh8sing3,phu5hioh8seng3,phuhiohsing,phuhiohseng,phs,phs
海沙埔,hái-sua-poo,16,hái-soa-po͘,hai2sua1poo1,hai2soa1poo1,haisuapoo,haisoapoo,hsp,hsp
海蝕崁,hái-si̍t-khàm,16,hái-si̍t-khàm,hai2sit8kham3,hai2sit8kham3,haisitkham,haisitkham,hsk,hsk
海蝕洞,hái-si̍t-tōng,16,hái-si̍t-tōng,hai2sit8tong7,hai2sit8tong7,haisittong,haisittong,hst,hst
消水溝,siau-tsuí-kau,16,siau-chúi-kau,siau1tsui2kau1,siau1chui2kau1,siautsuikau,siauchuikau,stk,sck
消費者,siau-huì-tsiá,16,siau-hùi-chiá,siau1hui3tsia2,siau1hui3chia2,siauhuitsia,siauhuichia,sht,shc
消防局,siau-hông-kio̍k,16,siau-hông-kio̍k,siau1hong5kiok8,siau1hong5kiok8,siauhongkiok,siauhongkiok,shk,shk
消防栓,siau-hông-sng,16,siau-hông-sng,siau1hong5sng1,siau1hong5sng1,siauhongsng,siauhongsng,shs,shs
淡水河,tām-tsuí-hô,16,tām-chúi-hô,tam7tsui2ho5,tam7chui2ho5,tamtsuiho,tamchuiho,tth,tch
添加物,thiam-ka-bu̍t,16,thiam-ka-bu̍t,thiam1ka1but8,thiam1ka1but8,thiamkabut,thiamkabut,tkb,tkb
清真寺,tshing-tsin-sī,16,chheng-chin-sī,tshing1tsin1si7,chheng1chin1si7,tshingtsinsi,chhengchinsi,tts,ccs
渲染法,suàn-jiám-huat,16,soàn-jiám-hoat,suan3jiam2huat4,soan3jiam2hoat4,suanjiamhuat,soanjiamhoat,sjh,sjh
湳仔地,làm-á-tē,16,làm-á-tē,lam3a2te7,lam3a2te7,lamate,lamate,lat,lat
溶去,iûnn--khì,16,iûⁿ--khì,iunn5khi3,iunn5khi3,iunnkhi,iunnkhi,ik,ik
溶氧量,iûnn-ióng-liōng,16,iûⁿ-ióng-liōng,iunn5iong2liong7,iunn5iong2liong7,iunniongliong,iunniongliong,iil,iil
溶解量,iông-kái-liōng,16,iông-kái-liōng,iong5kai2liong7,iong5kai2liong7,iongkailiong,iongkailiong,ikl,ikl
滯留鋒,tī-liû-hong,16,tī-liû-hong,ti7liu5hong1,ti7liu5hong1,tiliuhong,tiliuhong,tlh,tlh
滾藥水,kún-io̍h-tsuí,16,kún-io̍h-chúi,kun2ioh8tsui2,kun2ioh8chui2,kuniohtsui,kuniohchui,kit,kic
演化論,ián-huà-lūn,16,ián-hòa-lūn,ian2hua3lun7,ian2hoa3lun7,ianhualun,ianhoalun,ihl,ihl
演奏曲,ián-tsàu-khik,16,ián-chàu-khek,ian2tsau3khik4,ian2chau3khek4,iantsaukhik,ianchaukhek,itk,ick
漚去,àu--khì,16,àu--khì,au3khi3,au3khi3,aukhi,aukhi,ak,ak
漢學仔,hàn-o̍h-á,16,hàn-o̍h-á,han3oh8a2,han3oh8a2,hanoha,hanoha,hoa,hoa
漢文化,hàn-bûn-huà,16,hàn-bûn-hòa,han3bun5hua3,han3bun5hoa3,hanbunhua,hanbunhoa,hbh,hbh
潑水節,phuah-tsuí-tseh,16,phoah-chúi-cheh,phuah4tsui2tseh4,phoah4chui2cheh4,phuahtsuitseh,phoahchuicheh,ptt,pcc
澹水地,tâm-tsuí-tē,16,tâm-chúi-tē,tam5tsui2te7,tam5chui2te7,tamtsuite,tamchuite,ttt,tct
激骨話,kik-kut-uē,16,kek-kut-ōe,kik4kut4ue7,kek4kut4oe7,kikkutue,kekkutoe,kku,kko
濁水溪,lô-tsuí-khe,16,lô-chúi-khe,lo5tsui2khe1,lo5chui2khe1,lotsuikhe,lochuikhe,ltk,lck
濟歲人,tsē-huè-lâng,16,chē-hòe-lâng,tse7hue3lang5,che7hoe3lang5,tsehuelang,chehoelang,thl,chl
濫色紙,lām-sik-tsuá,16,lām-sek-chóa,lam7sik4tsua2,lam7sek4choa2,lamsiktsua,lamsekchoa,lst,lsc
火山島,hué-suann-tó,16,hóe-soaⁿ-tó,hue2suann1to2,hoe2soann1to2,huesuannto,hoesoannto,hst,hst
火燒島,hué-sio-tó,16,hóe-sio-tó,hue2sio1to2,hoe2sio1to2,huesioto,hoesioto,hst,hst
火燒雲,hué-sio-hûn,16,hóe-sio-hûn,hue2sio1hun5,hoe2sio1hun5,huesiohun,hoesiohun,hsh,hsh
火車路,hué-tshia-lōo,16,hóe-chhia-lō͘,hue2tshia1loo7,hoe2chhia1loo7,huetshialoo,hoechhialoo,htl,hcl
烏焦蛇,oo-ta-tsuâ,16,o͘-ta-chôa,oo1ta1tsua5,oo1ta1choa5,ootatsua,ootachoa,ott,otc
烏笛仔,oo-ta̍t-á,16,o͘-ta̍t-á,oo1tat8a2,oo1tat8a2,ootata,ootata,ota,ota
烏跤病,oo-kha-pēnn,16,o͘-kha-pēⁿ,oo1kha1penn7,oo1kha1penn7,ookhapenn,ookhapenn,okp,okp
烏雉雞,oo-thī-ke,16,o͘-thī-ke,oo1thi7ke1,oo1thi7ke1,oothike,oothike,otk,otk
烏𪐞紅,oo-tòo-âng,16,o͘-tò͘-âng,oo1too3ang5,oo1too3ang5,ootooang,ootooang,ota,ota
無人島,bû-jîn-tó,16,bû-jîn-tó,bu5jin5to2,bu5jin5to2,bujinto,bujinto,bjt,bjt
無線電,bô-suànn-tiān,16,bô-sòaⁿ-tiān,bo5suann3tian7,bo5soann3tian7,bosuanntian,bosoanntian,bst,bst
無退位,bô-thè-uī,16,bô-thè-ūi,bo5the3ui7,bo5the3ui7,botheui,botheui,btu,btu
無進位,bô-tsìn-uī,16,bô-chìn-ūi,bo5tsin3ui7,bo5chin3ui7,botsinui,bochinui,btu,bcu
焦水期,ta-tsuí-kî,16,ta-chúi-kî,ta1tsui2ki5,ta1chui2ki5,tatsuiki,tachuiki,ttk,tck
焦涸涸,ta-khok-khok,16,ta-khok-khok,ta1khok4khok4,ta1khok4khok4,takhokkhok,takhokkhok,tkk,tkk
焦燥劑,ta-sò-tse,16,ta-sò-che,ta1so3tse1,ta1so3che1,tasotse,tasoche,tst,tsc
焦電池,ta-tiān-tî,16,ta-tiān-tî,ta1tian7ti5,ta1tian7ti5,tatianti,tatianti,ttt,ttt
熔去,iûnn--khì,16,iûⁿ--khì,iunn5khi3,iunn5khi3,iunnkhi,iunnkhi,ik,ik
熱人,jua̍h--lâng,16,joa̍h--lâng,juah8lang5,joah8lang5,juahlang,joahlang,jl,jl
熱傳導,jia̍t-thuân-tō,16,jia̍t-thoân-tō,jiat8thuan5to7,jiat8thoan5to7,jiatthuanto,jiatthoanto,jtt,jtt
熱對流,jia̍t-tuì-liû,16,jia̍t-tùi-liû,jiat8tui3liu5,jiat8tui3liu5,jiattuiliu,jiattuiliu,jtl,jtl
燃素說,jiân-sòo-suat,16,jiân-sò͘-soat,jian5soo3suat4,jian5soo3soat4,jiansoosuat,jiansoosoat,jss,jss
燈仔花,ting-á-hue,16,teng-á-hoe,ting1a2hue1,teng1a2hoe1,tingahue,tengahoe,tah,tah
燒空氣,sio-khong-khì,16,sio-khong-khì,sio1khong1khi3,sio1khong1khi3,siokhongkhi,siokhongkhi,skk,skk
營養份,îng-ióng-hūn,16,êng-ióng-hūn,ing5iong2hun7,eng5iong2hun7,ingionghun,engionghun,iih,eih
營養素,îng-ióng-sòo,16,êng-ióng-sò͘,ing5iong2soo3,eng5iong2soo3,ingiongsoo,engiongsoo,iis,eis
父親節,hū-tshin-tseh,16,hū-chhin-cheh,hu7tshin1tseh4,hu7chhin1cheh4,hutshintseh,huchhincheh,htt,hcc
牙周病,gê-tsiu-pēnn,16,gê-chiu-pēⁿ,ge5tsiu1penn7,ge5chiu1penn7,getsiupenn,gechiupenn,gtp,gcp
牙菌斑,gê-khún-pan,16,gê-khún-pan,ge5khun2pan1,ge5khun2pan1,gekhunpan,gekhunpan,gkp,gkp
牛郎星,gû-nn̂g-tshenn,16,gû-nn̂g-chheⁿ,gu5nng5tshenn1,gu5nng5chhenn1,gunngtshenn,gunngchhenn,gnt,gnc
牧夫座,bo̍k-hu-tsō,16,bo̍k-hu-chō,bok8hu1tso7,bok8hu1cho7,bokhutso,bokhucho,bht,bhc
狗齒仔,káu-khí-á,16,káu-khí-á,kau2khi2a2,kau2khi2a2,kaukhia,kaukhia,kka,kka
