hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
疏忽,soo-hut,25,so͘-hut,soo1hut4,soo1hut4,soohut,soohut,sh,sh
疏散,soo-sàn,25,so͘-sàn,soo1san3,soo1san3,soosan,soosan,ss,ss
疏開,soo-khai,25,so͘-khai,soo1khai1,soo1khai1,sookhai,sookhai,sk,sk
疑問,gî-būn,25,gî-būn,gi5bun7,gi5bun7,gibun,gibun,gb,gb
疑惑,gî-hi̍k,25,gî-he̍k,gi5hik8,gi5hek8,gihik,gihek,gh,gh
疫苗,i̍k-biâu,25,e̍k-biâu,ik8biau5,ek8biau5,ikbiau,ekbiau,ib,eb
病句,pēnn-kù,25,pēⁿ-kù,penn7ku3,penn7ku3,pennku,pennku,pk,pk
病囝,pēnn-kiánn,25,pēⁿ-kiáⁿ,penn7kiann2,penn7kiann2,pennkiann,pennkiann,pk,pk
病毒,pēnn-to̍k,25,pēⁿ-to̍k,penn7tok8,penn7tok8,penntok,penntok,pt,pt
病疼,pēnn-thiànn,25,pēⁿ-thiàⁿ,penn7thiann3,penn7thiann3,pennthiann,pennthiann,pt,pt
病菌,pēnn-khún,25,pēⁿ-khún,penn7khun2,penn7khun2,pennkhun,pennkhun,pk,pk
症頭,tsìng-thâu,25,chèng-thâu,tsing3thau5,cheng3thau5,tsingthau,chengthau,tt,ct
痕跡,hûn-jiah,25,hûn-jiah,hun5jiah4,hun5jiah4,hunjiah,hunjiah,hj,hj
癖性,phiah-sìng,25,phiah-sèng,phiah4sing3,phiah4seng3,phiahsing,phiahseng,ps,ps
登陸,ting-lio̍k,25,teng-lio̍k,ting1liok8,teng1liok8,tingliok,tengliok,tl,tl
發揮,huat-hui,25,hoat-hui,huat4hui1,hoat4hui1,huathui,hoathui,hh,hh
發炎,huat-iām,25,hoat-iām,huat4iam7,hoat4iam7,huatiam,hoatiam,hi,hi
發燒,huat-sio,25,hoat-sio,huat4sio1,hoat4sio1,huatsio,hoatsio,hs,hs
發癀,huat-hông,25,hoat-hông,huat4hong5,hoat4hong5,huathong,hoathong,hh,hh
發育,huat-io̍k,25,hoat-io̍k,huat4iok8,hoat4iok8,huatiok,hoatiok,hi,hi
發酵,huat-kànn,25,hoat-kàⁿ,huat4kann3,hoat4kann3,huatkann,hoatkann,hk,hk
發電,huat-tiān,25,hoat-tiān,huat4tian7,hoat4tian7,huattian,hoattian,ht,ht
發音,huat-im,25,hoat-im,huat4im1,hoat4im1,huatim,hoatim,hi,hi
白字,pe̍h-jī,25,pe̍h-jī,peh8ji7,peh8ji7,pehji,pehji,pj,pj
白火,pe̍h-hué,25,pe̍h-hóe,peh8hue2,peh8hoe2,pehhue,pehhoe,ph,ph
白蟻,pe̍h-hiā,25,pe̍h-hiā,peh8hia7,peh8hia7,pehhia,pehhia,ph,ph
白露,pe̍h-lōo,25,pe̍h-lō͘,peh8loo7,peh8loo7,pehloo,pehloo,pl,pl
百位,pah-uī,25,pah-ūi,pah4ui7,pah4ui7,pahui,pahui,pu,pu
皮戲,phuê-hì,25,phôe-hì,phue5hi3,phoe5hi3,phuehi,phoehi,ph,ph
皮膚,phuê-hu,25,phôe-hu,phue5hu1,phoe5hu1,phuehu,phoehu,ph,ph
盆地,phûn-tē,25,phûn-tē,phun5te7,phun5te7,phunte,phunte,pt,pt
盜壘,tō-luí,25,tō-lúi,to7lui2,to7lui2,tolui,tolui,tl,tl
盜版,tō-pán,25,tō-pán,to7pan2,to7pan2,topan,topan,tp,tp
監察,kàm-tshat,25,kàm-chhat,kam3tshat4,kam3chhat4,kamtshat,kamchhat,kt,kc
目版,ba̍k-pán,25,ba̍k-pán,bak8pan2,bak8pan2,bakpan,bakpan,bp,bp
直射,ti̍t-siā,25,ti̍t-siā,tit8sia7,tit8sia7,titsia,titsia,ts,ts
直式,ti̍t-sik,25,ti̍t-sek,tit8sik4,tit8sek4,titsik,titsek,ts,ts
直徑,ti̍t-kìng,25,ti̍t-kèng,tit8king3,tit8keng3,titking,titkeng,tk,tk
直拳,ti̍t-kûn,25,ti̍t-kûn,tit8kun5,tit8kun5,titkun,titkun,tk,tk
直照,ti̍t-tsiò,25,ti̍t-chiò,tit8tsio3,tit8chio3,tittsio,titchio,tt,tc
直線,ti̍t-suànn,25,ti̍t-sòaⁿ,tit8suann3,tit8soann3,titsuann,titsoann,ts,ts
直角,ti̍t-kak,25,ti̍t-kak,tit8kak4,tit8kak4,titkak,titkak,tk,tk
相乘,siong-sîng,25,siong-sêng,siong1sing5,siong1seng5,siongsing,siongseng,ss,ss
相交,siong-kau,25,siong-kau,siong1kau1,siong1kau1,siongkau,siongkau,sk,sk
相加,siong-ka,25,siong-ka,siong1ka1,siong1ka1,siongka,siongka,sk,sk
相反,siong-huán,25,siong-hoán,siong1huan2,siong1hoan2,sionghuan,sionghoan,sh,sh
相吸,sio-khip,25,sio-khip,sio1khip4,sio1khip4,siokhip,siokhip,sk,sk
相差,siong-tsha,25,siong-chha,siong1tsha1,siong1chha1,siongtsha,siongchha,st,sc
相斥,sio-thik,25,sio-thek,sio1thik4,sio1thek4,siothik,siothek,st,st
相片,siòng-phìnn,25,siòng-phìⁿ,siong3phinn3,siong3phinn3,siongphinn,siongphinn,sp,sp
相鄰,siong-lîn,25,siong-lîn,siong1lin5,siong1lin5,sionglin,sionglin,sl,sl
相除,siong-tî,25,siong-tî,siong1ti5,siong1ti5,siongti,siongti,st,st
省道,síng-tō,25,séng-tō,sing2to7,seng2to7,singto,sengto,st,st
