tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tshing-tû,清除,25,chheng-tû,tshingtu5,chhengtu5,tshingtu,chhengtu
tshing-pn̄g,清飯,25,chheng-pn̄g,tshingpng7,chhengpng7,tshingpng,chhengpng
tshing-tsai,清齋,25,chheng-chai,tshingtsai,chhengchai,tshingtsai,chhengchai
kiám-bián,減免,25,kiám-bián,kiam2bian2,kiam2bian2,kiambian,kiambian
kiám-tsió,減少,25,kiám-chió,kiam2tsio2,kiam2chio2,kiamtsio,kiamchio
kiám-jio̍k,減弱,25,kiám-jio̍k,kiam2jiok8,kiam2jiok8,kiamjiok,kiamjiok
kiám-lio̍k,減弱,25,kiám-lio̍k,kiam2liok8,kiam2liok8,kiamliok,kiamliok
kiám-huat,減法,25,kiám-hoat,kiam2huat,kiam2hoat,kiamhuat,kiamhoat
kiám-sán,減產,25,kiám-sán,kiam2san2,kiam2san2,kiamsan,kiamsan
kiám-síng,減省,25,kiám-séng,kiam2sing2,kiam2seng2,kiamsing,kiamseng
kiám-suè,減稅,25,kiám-sòe,kiam2sue3,kiam2soe3,kiamsue,kiamsoe
kiám-sè,減稅,25,kiám-sè,kiam2se3,kiam2se3,kiamse,kiamse
kiám-puî,減肥,25,kiám-pûi,kiam2pui5,kiam2pui5,kiampui,kiampui
kiám-khin,減輕,25,kiám-khin,kiam2khin,kiam2khin,kiamkhin,kiamkhin
tōo-ká,渡假,25,tō͘-ká,too7ka2,too7ka2,tooka,tooka
tōo-kháu,渡口,25,tō͘-kháu,too7khau2,too7khau2,tookhau,tookhau
tōo-hái,渡海,25,tō͘-hái,too7hai2,too7hai2,toohai,toohai
tōo-tsûn,渡船,25,tō͘-chûn,too7tsun5,too7chun5,tootsun,toochun
tōo-kuè,渡過,25,tō͘-kòe,too7kue3,too7koe3,tookue,tookoe
tōo-thâu,渡頭,25,tō͘-thâu,too7thau5,too7thau5,toothau,toothau
tōo-tsiáu,渡鳥,25,tō͘-chiáu,too7tsiau2,too7chiau2,tootsiau,toochiau
tshik-liông,測量,25,chhek-liông,tshikliong5,chhekliong5,tshikliong,chhekliong
tshik-liōng,測量,25,chhek-liōng,tshikliong7,chhekliong7,tshikliong,chhekliong
tshik-giām,測驗,25,chhek-giām,tshikgiam7,chhekgiam7,tshikgiam,chhekgiam
káng-khu,港區,25,káng-khu,kang2khu,kang2khu,kangkhu,kangkhu
káng-kháu,港口,25,káng-kháu,kang2khau2,kang2khau2,kangkhau,kangkhau
káng-kînn,港墘,25,káng-kîⁿ,kang2kinn5,kang2kinn5,kangkinn,kangkinn
káng-uan,港灣,25,káng-oan,kang2uan,kang2oan,kanguan,kangoan
káng-lōo,港路,25,káng-lō͘,kang2loo7,kang2loo7,kangloo,kangloo
káng-too,港都,25,káng-to͘,kang2too,kang2too,kangtoo,kangtoo
iû-íng,游泳,25,iû-éng,iu5ing2,iu5eng2,iuing,iueng
iû-bo̍k,游牧,25,iû-bo̍k,iu5bok8,iu5bok8,iubok,iubok
ôo-kháu,湖口,25,ô͘-kháu,oo5khau2,oo5khau2,ookhau,ookhau
ôo-bīn,湖面,25,ô͘-bīn,oo5bin7,oo5bin7,oobin,oobin
thuànn-kin,湠根,25,thòaⁿ-kin,thuann3kin,thoann3kin,thuannkin,thoannkin
thuànn-kun,湠根,25,thòaⁿ-kun,thuann3kun,thoann3kun,thuannkun,thoannkun
thuànn-tsíng,湠種,25,thòaⁿ-chéng,thuann3tsing2,thoann3cheng2,thuanntsing,thoanncheng
thuànn-khui,湠開,25,thòaⁿ-khui,thuann3khui,thoann3khui,thuannkhui,thoannkhui
thng-sî,湯匙,25,thng-sî,thngsi5,thngsi5,thngsi,thngsi
thng-thâu,湯頭,25,thng-thâu,thngthau5,thngthau5,thngthau,thngthau
làm-á,湳仔,25,làm-á,lam3a2,lam3a2,lama,lama
làm-thôo,湳塗,25,làm-thô͘,lam3thoo5,lam3thoo5,lamthoo,lamthoo
làm-tshân,湳田,25,làm-chhân,lam3tshan5,lam3chhan5,lamtshan,lamchhan
guân-tsuânn,源泉,25,goân-chôaⁿ,guan5tsuann5,goan5choann5,guantsuann,goanchoann
guân-tsū,源自,25,goân-chū,guan5tsu7,goan5chu7,guantsu,goanchu
guân-thâu,源頭,25,goân-thâu,guan5thau5,goan5thau5,guanthau,goanthau
tsún-tsuè,準做,25,chún-chòe,tsun2tsue3,chun2choe3,tsuntsue,chunchoe
tsún-tsò,準做,25,chún-chò,tsun2tso3,chun2cho3,tsuntso,chuncho
tsún-pī,準備,25,chún-pī,tsun2pi7,chun2pi7,tsunpi,chunpi
tsún-tsik,準則,25,chún-chek,tsun2tsik,chun2chek,tsuntsik,chunchek
tsún-sî,準時,25,chún-sî,tsun2si5,chun2si5,tsunsi,chunsi
tsún-suah,準煞,25,chún-soah,tsun2suah,chun2soah,tsunsuah,chunsoah
tsún-khak,準確,25,chún-khak,tsun2khak,chun2khak,tsunkhak,chunkhak
tsún-sǹg,準算,25,chún-sǹg,tsun2sng3,chun2sng3,tsunsng,chunsng
tsún-nā,準若,25,chún-nā,tsun2na7,chun2na7,tsunna,chunna
tsún-kóng,準講,25,chún-kóng,tsun2kong2,chun2kong2,tsunkong,chunkong
liu-suan,溜旋,25,liu-soan,liusuan,liusoan,liusuan,liusoan
kau-á,溝仔,25,kau-á,kaua2,kaua2,kaua,kaua
koo-thong,溝通,25,ko͘-thong,koothong,koothong,koothong,koothong
ik-lin,溢奶,25,ek-lin,iklin,eklin,iklin,eklin
ik-ling,溢奶,25,ek-leng,ikling,ekleng,ikling,ekleng
ik-ni,溢奶,25,ek-ni,ikni,ekni,ikni,ekni
khe-á,溪仔,25,khe-á,khea2,khea2,khea,khea
khue-á,溪仔,25,khoe-á,khuea2,khoea2,khuea,khoea
khe-poo,溪埔,25,khe-po͘,khepoo,khepoo,khepoo,khepoo
khue-poo,溪埔,25,khoe-po͘,khuepoo,khoepoo,khuepoo,khoepoo
khe-tsiu,溪州,25,khe-chiu,khetsiu,khechiu,khetsiu,khechiu
khe-tsuí,溪水,25,khe-chúi,khetsui2,khechui2,khetsui,khechui
khue-tsuí,溪水,25,khoe-chúi,khuetsui2,khoechui2,khuetsui,khoechui
khe-liû,溪流,25,khe-liû,kheliu5,kheliu5,kheliu,kheliu
khe-lâu,溪流,25,khe-lâu,khelau5,khelau5,khelau,khelau
khue-liû,溪流,25,khoe-liû,khueliu5,khoeliu5,khueliu,khoeliu
khue-lâu,溪流,25,khoe-lâu,khuelau5,khoelau5,khuelau,khoelau
khe-kau,溪溝,25,khe-kau,khekau,khekau,khekau,khekau
khue-kau,溪溝,25,khoe-kau,khuekau,khoekau,khuekau,khoekau
khe-thâu,溪頭,25,khe-thâu,khethau5,khethau5,khethau,khethau
khue-thâu,溪頭,25,khoe-thâu,khuethau5,khoethau5,khuethau,khoethau
un-hô,溫和,25,un-hô,unho5,unho5,unho,unho
un-tōo,溫度,25,un-tō͘,untoo7,untoo7,untoo,untoo
un-luán,溫暖,25,un-loán,unluan2,unloan2,unluan,unloan
un-jiû,溫柔,25,un-jiû,unjiu5,unjiu5,unjiu,unjiu
un-liû,溫柔,25,un-liû,unliu5,unliu5,unliu,unliu
un-tsuânn,溫泉,25,un-chôaⁿ,untsuann5,unchoann5,untsuann,unchoann
un-pân,溫瓶,25,un-pân,unpan5,unpan5,unpan,unpan
un-kuàn,溫罐,25,un-koàn,unkuan3,unkoan3,unkuan,unkoan
un-si̍p,溫習,25,un-si̍p,unsip8,unsip8,unsip,unsip
un-sûn,溫馴,25,un-sûn,unsun5,unsun5,unsun,unsun
sip-tuē,溼地,25,sip-tōe,siptue7,siptoe7,siptue,siptoe
sip-tē,溼地,25,sip-tē,sipte7,sipte7,sipte,sipte
sip-tōo,溼度,25,sip-tō͘,siptoo7,siptoo7,siptoo,siptoo
sip-sip,溼溼,25,sip-sip,sipsip,sipsip,sipsip,sipsip
