hanzi,tl,frequency,poj
畫金,uē-kim,25,ōe-kim
疊色,thia̍p-sik,25,thia̍p-sek
白膠,pe̍h-ka,25,pe̍h-ka
白身,pe̍h-sin,25,pe̍h-sin
皮仔,phuê-á,25,phôe-á
皮包,phuê-pau,25,phôe-pau
皮花,phuê-hue,25,phôe-hoe
皮鞋,phuê-ê,25,phôe-ê
直支,ti̍t-ki,25,ti̍t-ki
真珠,tsin-tsu,25,chin-chu
石榴,tsio̍h-liû,25,chio̍h-liû
石獅,tsio̍h-sai,25,chio̍h-sai
石錘,tsio̍h-thuî,25,chio̍h-thûi
石鎖,tsio̍h-só,25,chio̍h-só
石鼓,tsio̍h-kóo,25,chio̍h-kó͘
砂碖,sua-lún,25,soa-lún
砂紙,sua-tsuá,25,soa-chóa
硩ㄧ,teh-it,25,teh-it
硩三,teh-sann,25,teh-saⁿ
硩二,teh-jī,25,teh-jī
硬斜,ngē-tshiâ,25,ngē-chhiâ
磅仔,pōng-á,25,pōng-á
磅子,pōng-tsí,25,pōng-chí
磅戕,pōng-tshiâng,25,pōng-chhiâng
磨台,buâ-tâi,25,bôa-tâi
磨坩,buâ-khann,25,bôa-khaⁿ
神椅,sîn-í,25,sîn-í
秤仔,tshìn-á,25,chhìn-á
秤錘,tshìn-thuî,25,chhìn-thûi
穗花,sūi-hue,25,sūi-hoe
空透,khang-thàu,25,khang-thàu
窯釘,iô-ting,25,iô-teng
立板,li̍p-pán,25,li̍p-pán
立體,li̍p-thé,25,li̍p-thé
童子,tông-tsú,25,tông-chú
竹尺,tik-tshioh,25,tek-chhioh
竹扇,tik-sìnn,25,tek-sìⁿ
竹根,tik-kin,25,tek-kin
竹桮,tik-pue,25,tek-poe
竹梳,tik-se,25,tek-se
竹籠,tik-láng,25,tek-láng
竹編,tik-pinn,25,tek-piⁿ
竹胎,tik-thai,25,tek-thai
竹雕,tik-tiau,25,tek-tiau
笑鳳,tshiò-hōng,25,chhiò-hōng
筅仔,tshíng-á,25,chhéng-á
筆刀,pit-to,25,pit-to
筆插,pit-tshah,25,pit-chhah
筆架,pit-kè,25,pit-kè
筆桶,pit-tháng,25,pit-tháng
筆筒,pit-tâng,25,pit-tâng
算盤,sǹg-puânn,25,sǹg-pôaⁿ
管頭,kóng-thâu,25,kóng-thâu
箸籠,tī-lāng,25,tī-lāng
簽仔,tshiam-á,25,chhiam-á
籤筒,tshiam-tâng,25,chhiam-tâng
米紙,bí-tsuá,25,bí-chóa
米酒,bí-tsiú,25,bí-chiú
粉筒,hún-tâng,25,hún-tâng
粉面,hún-bīn,25,hún-bīn
粗剾,tshoo-khau,25,chho͘-khau
粗胚,tshoo-phue,25,chho͘-phoe
粗針,tshoo-tsiam,25,chho͘-chiam
粟耙,tshik-pê,25,chhek-pê
粿印,kué-ìn,25,kóe-ìn
糊仔,kôo-á,25,kô͘-á
紅花,âng-hue,25,âng-hoe
紙喙,tsuá-tshuì,25,chóa-chhùi
紙尺,tsuá-tshioh,25,chóa-chhioh
紙枋,tsuá-pang,25,chóa-pang
素坯,sòo-phue,25,sò͘-phoe
紩線,thīnn-suànn,25,thīⁿ-sòaⁿ
紩蒼,thīnn-tshong,25,thīⁿ-chhong
絞車,ká-tshia,25,ká-chhia
絳衣,kàng-i,25,kàng-i
線屎,suànn-sái,25,sòaⁿ-sái
線板,suànn-pán,25,sòaⁿ-pán
線眼,suànn-gán,25,sòaⁿ-gán
線車,suànn-tshia,25,sòaⁿ-chhia
線鋸,suànn-kù,25,sòaⁿ-kù
緞仔,tuān-á,25,toān-á
繡剪,siù-tsián,25,siù-chián
繡花,siù-hue,25,siù-hoe
繡規,siù-kui,25,siù-kui
羊皮,iûnn-phuê,25,iûⁿ-phôe
翡翠,huí-tshuì,25,húi-chhùi
翼股,si̍t-kóo,25,si̍t-kó͘
老生,lāu-sing,25,lāu-seng
耳鉤,hīnn-kau,25,hīⁿ-kau
肖楠,siau-lâm,25,siau-lâm
股線,kóo-suànn,25,kó͘-sòaⁿ
脫模,thuat-bôo,25,thoat-bô͘
腰帶,io-tuà,25,io-tòa
腰裒,io-pôo,25,io-pô͘
膨剾,phòng-khau,25,phòng-khau
色漆,sik-tshat,25,sek-chhat
色粉,sik-hún,25,sek-hún
花心,hue-sim,25,hoe-sim
花板,hue-pán,25,hoe-pán
花鳥,hue-tsiáu,25,hoe-chiáu
茄苳,ka-tang,25,ka-tang
草鞋,tsháu-ê,25,chháu-ê
荖安,láu-an,25,láu-an
菘藍,siông-nâ,25,siông-nâ
