hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge,is_variant
生皮,tshenn-phuê,25,chheⁿ-phôe,tshenn1phue5,chhenn1phoe5,tshennphue,chhennphoe,tp,cp,True,False
甲毛,kah-moo,25,kah-mo͘,kah4moo1,kah4moo1,kahmoo,kahmoo,km,km,True,False
畚箕,pùn-ki,25,pùn-ki,pun3ki1,pun3ki1,punki,punki,pk,pk,True,False
畫稿,uē-kó,25,ōe-kó,ue7ko2,oe7ko2,ueko,oeko,uk,ok,True,False
畫筆,uē-pit,25,ōe-pit,ue7pit4,oe7pit4,uepit,oepit,up,op,True,False
畫線,uē-suànn,25,ōe-sòaⁿ,ue7suann3,oe7soann3,uesuann,oesoann,us,os,True,False
畫金,uē-kim,25,ōe-kim,ue7kim1,oe7kim1,uekim,oekim,uk,ok,True,False
疊色,thia̍p-sik,25,thia̍p-sek,thiap8sik4,thiap8sek4,thiapsik,thiapsek,ts,ts,True,False
白膠,pe̍h-ka,25,pe̍h-ka,peh8ka1,peh8ka1,pehka,pehka,pk,pk,True,False
白身,pe̍h-sin,25,pe̍h-sin,peh8sin1,peh8sin1,pehsin,pehsin,ps,ps,True,False
皮仔,phuê-á,25,phôe-á,phue5a2,phoe5a2,phuea,phoea,pa,pa,True,False
皮包,phuê-pau,25,phôe-pau,phue5pau1,phoe5pau1,phuepau,phoepau,pp,pp,True,False
皮花,phuê-hue,25,phôe-hoe,phue5hue1,phoe5hoe1,phuehue,phoehoe,ph,ph,True,False
直支,ti̍t-ki,25,ti̍t-ki,tit8ki1,tit8ki1,titki,titki,tk,tk,True,False
石錘,tsio̍h-thuî,25,chio̍h-thûi,tsioh8thui5,chioh8thui5,tsiohthui,chiohthui,tt,ct,True,False
石鎖,tsio̍h-só,25,chio̍h-só,tsioh8so2,chioh8so2,tsiohso,chiohso,ts,cs,True,False
石鼓,tsio̍h-kóo,25,chio̍h-kó͘,tsioh8koo2,chioh8koo2,tsiohkoo,chiohkoo,tk,ck,True,False
砂碖,sua-lún,25,soa-lún,sua1lun2,soa1lun2,sualun,soalun,sl,sl,True,True
砂紙,sua-tsuá,25,soa-chóa,sua1tsua2,soa1choa2,suatsua,soachoa,st,sc,True,True
硩ㄧ,teh-it,25,teh-it,teh4it4,teh4it4,tehit,tehit,ti,ti,True,False
硩三,teh-sann,25,teh-saⁿ,teh4sann1,teh4sann1,tehsann,tehsann,ts,ts,True,False
硩二,teh-jī,25,teh-jī,teh4ji7,teh4ji7,tehji,tehji,tj,tj,True,False
硬斜,ngē-tshiâ,25,ngē-chhiâ,nge7tshia5,nge7chhia5,ngetshia,ngechhia,nt,nc,True,False
磅仔,pōng-á,25,pōng-á,pong7a2,pong7a2,ponga,ponga,pa,pa,True,False
磅戕,pōng-tshiâng,25,pōng-chhiâng,pong7tshiang5,pong7chhiang5,pongtshiang,pongchhiang,pt,pc,True,False
磨台,buâ-tâi,25,bôa-tâi,bua5tai5,boa5tai5,buatai,boatai,bt,bt,True,False
磨坩,buâ-khann,25,bôa-khaⁿ,bua5khann1,boa5khann1,buakhann,boakhann,bk,bk,True,False
神椅,sîn-í,25,sîn-í,sin5i2,sin5i2,sini,sini,si,si,True,False
穗花,sūi-hue,25,sūi-hoe,sui7hue1,sui7hoe1,suihue,suihoe,sh,sh,True,False
空透,khang-thàu,25,khang-thàu,khang1thau3,khang1thau3,khangthau,khangthau,kt,kt,True,False
窯釘,iô-ting,25,iô-teng,io5ting1,io5teng1,ioting,ioteng,it,it,True,False
立板,li̍p-pán,25,li̍p-pán,lip8pan2,lip8pan2,lippan,lippan,lp,lp,True,False
立體,li̍p-thé,25,li̍p-thé,lip8the2,lip8the2,lipthe,lipthe,lt,lt,True,False
童子,tông-tsú,25,tông-chú,tong5tsu2,tong5chu2,tongtsu,tongchu,tt,tc,True,False
竹尺,tik-tshioh,25,tek-chhioh,tik4tshioh4,tek4chhioh4,tiktshioh,tekchhioh,tt,tc,True,False
竹扇,tik-sìnn,25,tek-sìⁿ,tik4sinn3,tek4sinn3,tiksinn,teksinn,ts,ts,True,False
竹根,tik-kin,25,tek-kin,tik4kin1,tek4kin1,tikkin,tekkin,tk,tk,True,False
竹桮,tik-pue,25,tek-poe,tik4pue1,tek4poe1,tikpue,tekpoe,tp,tp,True,False
竹梳,tik-se,25,tek-se,tik4se1,tek4se1,tikse,tekse,ts,ts,True,False
竹籠,tik-láng,25,tek-láng,tik4lang2,tek4lang2,tiklang,teklang,tl,tl,True,False
竹編,tik-pinn,25,tek-piⁿ,tik4pinn1,tek4pinn1,tikpinn,tekpinn,tp,tp,True,False
竹胎,tik-thai,25,tek-thai,tik4thai1,tek4thai1,tikthai,tekthai,tt,tt,True,False
竹雕,tik-tiau,25,tek-tiau,tik4tiau1,tek4tiau1,tiktiau,tektiau,tt,tt,True,False
笑鳳,tshiò-hōng,25,chhiò-hōng,tshio3hong7,chhio3hong7,tshiohong,chhiohong,th,ch,True,False
筅仔,tshíng-á,25,chhéng-á,tshing2a2,chheng2a2,tshinga,chhenga,ta,ca,True,False
筆刀,pit-to,25,pit-to,pit4to1,pit4to1,pitto,pitto,pt,pt,True,False
筆插,pit-tshah,25,pit-chhah,pit4tshah4,pit4chhah4,pittshah,pitchhah,pt,pc,True,False
筆架,pit-kè,25,pit-kè,pit4ke3,pit4ke3,pitke,pitke,pk,pk,True,False
筆桶,pit-tháng,25,pit-tháng,pit4thang2,pit4thang2,pitthang,pitthang,pt,pt,True,False
筆筒,pit-tâng,25,pit-tâng,pit4tang5,pit4tang5,pittang,pittang,pt,pt,True,True
管頭,kóng-thâu,25,kóng-thâu,kong2thau5,kong2thau5,kongthau,kongthau,kt,kt,True,False
箸籠,tī-lāng,25,tī-lāng,ti7lang7,ti7lang7,tilang,tilang,tl,tl,True,False
簽仔,tshiam-á,25,chhiam-á,tshiam1a2,chhiam1a2,tshiama,chhiama,ta,ca,True,False
籤筒,tshiam-tâng,25,chhiam-tâng,tshiam1tang5,chhiam1tang5,tshiamtang,chhiamtang,tt,ct,True,True
米紙,bí-tsuá,25,bí-chóa,bi2tsua2,bi2choa2,bitsua,bichoa,bt,bc,True,False
粉筒,hún-tâng,25,hún-tâng,hun2tang5,hun2tang5,huntang,huntang,ht,ht,True,True
粉面,hún-bīn,25,hún-bīn,hun2bin7,hun2bin7,hunbin,hunbin,hb,hb,True,False
粗剾,tshoo-khau,25,chho͘-khau,tshoo1khau1,chhoo1khau1,tshookhau,chhookhau,tk,ck,True,False
粗胚,tshoo-phue,25,chho͘-phoe,tshoo1phue1,chhoo1phoe1,tshoophue,chhoophoe,tp,cp,True,True
粗針,tshoo-tsiam,25,chho͘-chiam,tshoo1tsiam1,chhoo1chiam1,tshootsiam,chhoochiam,tt,cc,True,False
粟耙,tshik-pê,25,chhek-pê,tshik4pe5,chhek4pe5,tshikpe,chhekpe,tp,cp,True,False
粿印,kué-ìn,25,kóe-ìn,kue2in3,koe2in3,kuein,koein,ki,ki,True,False
紅花,âng-hue,25,âng-hoe,ang5hue1,ang5hoe1,anghue,anghoe,ah,ah,True,False
紙喙,tsuá-tshuì,25,chóa-chhùi,tsua2tshui3,choa2chhui3,tsuatshui,choachhui,tt,cc,True,False
紙尺,tsuá-tshioh,25,chóa-chhioh,tsua2tshioh4,choa2chhioh4,tsuatshioh,choachhioh,tt,cc,True,False
紙枋,tsuá-pang,25,chóa-pang,tsua2pang1,choa2pang1,tsuapang,choapang,tp,cp,True,False
素坯,sòo-phue,25,sò͘-phoe,soo3phue1,soo3phoe1,soophue,soophoe,sp,sp,True,False
紩線,thīnn-suànn,25,thīⁿ-sòaⁿ,thinn7suann3,thinn7soann3,thinnsuann,thinnsoann,ts,ts,True,False
紩蒼,thīnn-tshong,25,thīⁿ-chhong,thinn7tshong1,thinn7chhong1,thinntshong,thinnchhong,tt,tc,True,False
絞車,ká-tshia,25,ká-chhia,ka2tshia1,ka2chhia1,katshia,kachhia,kt,kc,True,False
絳衣,kàng-i,25,kàng-i,kang3i1,kang3i1,kangi,kangi,ki,ki,True,False
線屎,suànn-sái,25,sòaⁿ-sái,suann3sai2,soann3sai2,suannsai,soannsai,ss,ss,True,False
線板,suànn-pán,25,sòaⁿ-pán,suann3pan2,soann3pan2,suannpan,soannpan,sp,sp,True,False
線眼,suànn-gán,25,sòaⁿ-gán,suann3gan2,soann3gan2,suanngan,soanngan,sg,sg,True,False
線車,suànn-tshia,25,sòaⁿ-chhia,suann3tshia1,soann3chhia1,suanntshia,soannchhia,st,sc,True,False
線鋸,suànn-kù,25,sòaⁿ-kù,suann3ku3,soann3ku3,suannku,soannku,sk,sk,True,False
緞仔,tuān-á,25,toān-á,tuan7a2,toan7a2,tuana,toana,ta,ta,True,False
繡剪,siù-tsián,25,siù-chián,siu3tsian2,siu3chian2,siutsian,siuchian,st,sc,True,False
繡花,siù-hue,25,siù-hoe,siu3hue1,siu3hoe1,siuhue,siuhoe,sh,sh,True,False
繡規,siù-kui,25,siù-kui,siu3kui1,siu3kui1,siukui,siukui,sk,sk,True,False
羊皮,iûnn-phuê,25,iûⁿ-phôe,iunn5phue5,iunn5phoe5,iunnphue,iunnphoe,ip,ip,True,False
翡翠,huí-tshuì,25,húi-chhùi,hui2tshui3,hui2chhui3,huitshui,huichhui,ht,hc,True,False
老生,lāu-sing,25,lāu-seng,lau7sing1,lau7seng1,lausing,lauseng,ls,ls,True,False
耳鉤,hīnn-kau,25,hīⁿ-kau,hinn7kau1,hinn7kau1,hinnkau,hinnkau,hk,hk,True,False
肖楠,siau-lâm,25,siau-lâm,siau1lam5,siau1lam5,siaulam,siaulam,sl,sl,True,False
股線,kóo-suànn,25,kó͘-sòaⁿ,koo2suann3,koo2soann3,koosuann,koosoann,ks,ks,True,False
脫模,thuat-bôo,25,thoat-bô͘,thuat4boo5,thoat4boo5,thuatboo,thoatboo,tb,tb,True,False
腰帶,io-tuà,25,io-tòa,io1tua3,io1toa3,iotua,iotoa,it,it,True,False
腰裒,io-pôo,25,io-pô͘,io1poo5,io1poo5,iopoo,iopoo,ip,ip,True,False
膨剾,phòng-khau,25,phòng-khau,phong3khau1,phong3khau1,phongkhau,phongkhau,pk,pk,True,False
色漆,sik-tshat,25,sek-chhat,sik4tshat4,sek4chhat4,siktshat,sekchhat,st,sc,True,False
色粉,sik-hún,25,sek-hún,sik4hun2,sek4hun2,sikhun,sekhun,sh,sh,True,False
花心,hue-sim,25,hoe-sim,hue1sim1,hoe1sim1,huesim,hoesim,hs,hs,True,False
花板,hue-pán,25,hoe-pán,hue1pan2,hoe1pan2,huepan,hoepan,hp,hp,True,False
花鳥,hue-tsiáu,25,hoe-chiáu,hue1tsiau2,hoe1chiau2,huetsiau,hoechiau,ht,hc,True,False
荖安,láu-an,25,láu-an,lau2an1,lau2an1,lauan,lauan,la,la,True,True
菘藍,siông-nâ,25,siông-nâ,siong5na5,siong5na5,siongna,siongna,sn,sn,True,False
菜砧,tshài-tiam,25,chhài-tiam,tshai3tiam1,chhai3tiam1,tshaitiam,chhaitiam,tt,ct,True,False
蒼布,tshong-pòo,25,chhong-pò͘,tshong1poo3,chhong1poo3,tshongpoo,chhongpoo,tp,cp,True,False
蓮葉,liân-hio̍h,25,liân-hio̍h,lian5hioh8,lian5hioh8,lianhioh,lianhioh,lh,lh,True,False
蓮蓬,liân-phōng,25,liân-phōng,lian5phong7,lian5phong7,lianphong,lianphong,lp,lp,True,False
蓼藍,liau-nâ,25,liau-nâ,liau1na5,liau1na5,liauna,liauna,ln,ln,True,False
蔥線,tshong-suànn,25,chhong-sòaⁿ,tshong1suann3,chhong1soann3,tshongsuann,chhongsoann,ts,cs,True,False
藥鉸,io̍h-ka,25,io̍h-ka,ioh8ka1,ioh8ka1,iohka,iohka,ik,ik,True,False
藩尺,huan-tshioh,25,hoan-chhioh,huan1tshioh4,hoan1chhioh4,huantshioh,hoanchhioh,ht,hc,True,False
蘇式,soo-sik,25,so͘-sek,soo1sik4,soo1sek4,soosik,soosek,ss,ss,True,False
蘇木,soo-bo̍k,25,so͘-bo̍k,soo1bok8,soo1bok8,soobok,soobok,sb,sb,True,False
虎杖,hóo-tiōng,25,hó͘-tiōng,hoo2tiong7,hoo2tiong7,hootiong,hootiong,ht,ht,True,False
虹仔,khîng-á,25,khêng-á,khing5a2,kheng5a2,khinga,khenga,ka,ka,True,False
衣脊,i-tsit,25,i-chit,i1tsit4,i1chit4,itsit,ichit,it,ic,True,False
裁紙,tshâi-tsuá,25,chhâi-chóa,tshai5tsua2,chhai5choa2,tshaitsua,chhaichoa,tt,cc,True,False
補刀,póo-to,25,pó͘-to,poo2to1,poo2to1,pooto,pooto,pt,pt,True,False
補塗,póo-thôo,25,pó͘-thô͘,poo2thoo5,poo2thoo5,poothoo,poothoo,pt,pt,True,False
裝飾,tsong-sik,25,chong-sek,tsong1sik4,chong1sek4,tsongsik,chongsek,ts,cs,True,False
角坩,kak-khann,25,kak-khaⁿ,kak4khann1,kak4khann1,kakkhann,kakkhann,kk,kk,True,False
角尺,kak-tshioh,25,kak-chhioh,kak4tshioh4,kak4chhioh4,kaktshioh,kakchhioh,kt,kc,True,False
角環,kak-khuân,25,kak-khoân,kak4khuan5,kak4khoan5,kakkhuan,kakkhoan,kk,kk,True,False
角甪,kah-lut,25,kah-lut,kah4lut4,kah4lut4,kahlut,kahlut,kl,kl,True,False
調脊,tiâu-tsit,25,tiâu-chit,tiau5tsit4,tiau5chit4,tiautsit,tiauchit,tt,tc,True,False
豆器,tāu-khì,25,tāu-khì,tau7khi3,tau7khi3,taukhi,taukhi,tk,tk,True,False
豬槽,ti-tsô,25,ti-chô,ti1tso5,ti1cho5,titso,ticho,tt,tc,True,False
豬皮,ti-phuê,25,ti-phôe,ti1phue5,ti1phoe5,tiphue,tiphoe,tp,tp,True,False
走獸,tsáu-siù,25,cháu-siù,tsau2siu3,chau2siu3,tsausiu,chausiu,ts,cs,True,False
起針,khí-tsiam,25,khí-chiam,khi2tsiam1,khi2chiam1,khitsiam,khichiam,kt,kc,True,False
跋桮,pua̍h-pue,25,poa̍h-poe,puah8pue1,poah8poe1,puahpue,poahpoe,pp,pp,True,False
跤徛,kha-khiā,25,kha-khiā,kha1khia7,kha1khia7,khakhia,khakhia,kk,kk,True,False
跤裒,kha-pôo,25,kha-pô͘,kha1poo5,kha1poo5,khapoo,khapoo,kp,kp,True,False
跨台,khuà-tâi,25,khòa-tâi,khua3tai5,khoa3tai5,khuatai,khoatai,kt,kt,True,False
跳刀,thiàu-to,25,thiàu-to,thiau3to1,thiau3to1,thiauto,thiauto,tt,tt,True,False
跳空,thiàu-khang,25,thiàu-khang,thiau3khang1,thiau3khang1,thiaukhang,thiaukhang,tk,tk,True,False
跳紗,thiàu-se,25,thiàu-se,thiau3se1,thiau3se1,thiause,thiause,ts,ts,True,False
踅檯,se̍h-tâi,25,se̍h-tâi,seh8tai5,seh8tai5,sehtai,sehtai,st,st,True,False
車台,tshia-tâi,25,chhia-tâi,tshia1tai5,chhia1tai5,tshiatai,chhiatai,tt,ct,True,False
軟斜,nńg-tshiâ,25,nńg-chhiâ,nng2tshia5,nng2chhia5,nngtshia,nngchhia,nt,nc,True,False
軟身,nńg-sin,25,nńg-sin,nng2sin1,nng2sin1,nngsin,nngsin,ns,ns,True,False
軟鉛,nńg-iân,25,nńg-iân,nng2ian5,nng2ian5,nngian,nngian,ni,ni,True,False
轆斗,lo̍k-táu,25,lo̍k-táu,lok8tau2,lok8tau2,loktau,loktau,lt,lt,True,True
轆空,lak-khang,25,lak-khang,lak4khang1,lak4khang1,lakkhang,lakkhang,lk,lk,True,False
轆管,lak-kóng,25,lak-kóng,lak4kong2,lak4kong2,lakkong,lakkong,lk,lk,True,False
轎堵,kiō-tóo,25,kiō-tó͘,kio7too2,kio7too2,kiotoo,kiotoo,kt,kt,True,False
轎底,kiō-té,25,kiō-té,kio7te2,kio7te2,kiote,kiote,kt,kt,True,False
透弄,thàu-lāng,25,thàu-lāng,thau3lang7,thau3lang7,thaulang,thaulang,tl,tl,True,False
逝板,tsuā-pán,25,chōa-pán,tsua7pan2,choa7pan2,tsuapan,choapan,tp,cp,True,False
過轎,kuè-kiō,25,kòe-kiō,kue3kio7,koe3kio7,kuekio,koekio,kk,kk,True,False
醃缸,am-kng,25,am-kng,am1kng1,am1kng1,amkng,amkng,ak,ak,True,False
野桐,iá-tông,25,iá-tông,ia2tong5,ia2tong5,iatong,iatong,it,it,True,False
量尺,niû-tshioh,25,niû-chhioh,niu5tshioh4,niu5chhioh4,niutshioh,niuchhioh,nt,nc,True,False
針空,tsiam-khang,25,chiam-khang,tsiam1khang1,chiam1khang1,tsiamkhang,chiamkhang,tk,ck,True,False
針跤,tsiam-kha,25,chiam-kha,tsiam1kha1,chiam1kha1,tsiamkha,chiamkha,tk,ck,True,False
鉛模,iân-bôo,25,iân-bô͘,ian5boo5,ian5boo5,ianboo,ianboo,ib,ib,True,False
鉛筆,iân-pit,25,iân-pit,ian5pit4,ian5pit4,ianpit,ianpit,ip,ip,True,False
鉸紙,ka-tsuá,25,ka-chóa,ka1tsua2,ka1choa2,katsua,kachoa,kt,kc,True,False
銅管,tâng-kóng,25,tâng-kóng,tang5kong2,tang5kong2,tangkong,tangkong,tk,tk,True,False
銅針,tâng-tsiam,25,tâng-chiam,tang5tsiam1,tang5chiam1,tangtsiam,tangchiam,tt,tc,True,False
鋪面,phoo-bīn,25,pho͘-bīn,phoo1bin7,phoo1bin7,phoobin,phoobin,pb,pb,True,False
鋸弓,kì-king,25,kì-keng,ki3king1,ki3keng1,kiking,kikeng,kk,kk,True,False
鋸片,kì-phìnn,25,kì-phìⁿ,ki3phinn3,ki3phinn3,kiphinn,kiphinn,kp,kp,True,False
鋼刀,kǹg-to,25,kǹg-to,kng3to1,kng3to1,kngto,kngto,kt,kt,True,False
鋼板,kǹg-pán,25,kǹg-pán,kng3pan2,kng3pan2,kngpan,kngpan,kp,kp,True,False
錢櫃,tsînn-kuī,25,chîⁿ-kūi,tsinn5kui7,chinn5kui7,tsinnkui,chinnkui,tk,ck,True,False
錦甲,gím-kah,25,gím-kah,gim2kah4,gim2kah4,gimkah,gimkah,gk,gk,True,False
錦花,gím-hue,25,gím-hoe,gim2hue1,gim2hoe1,gimhue,gimhoe,gh,gh,True,False
鎖頭,só-thâu,25,só-thâu,so2thau5,so2thau5,sothau,sothau,st,st,True,False
鎮針,tìn-tsiam,25,tìn-chiam,tin3tsiam1,tin3chiam1,tintsiam,tinchiam,tt,tc,True,False
鏡仔,kiànn-á,25,kiàⁿ-á,kiann3a2,kiann3a2,kianna,kianna,ka,ka,True,False
鏡套,kiànn-thò,25,kiàⁿ-thò,kiann3tho3,kiann3tho3,kianntho,kianntho,kt,kt,True,False
鏨仔,tsām-á,25,chām-á,tsam7a2,cham7a2,tsama,chama,ta,ca,True,False
鐵槽,thih-tsô,25,thih-chô,thih4tso5,thih4cho5,thihtso,thihcho,tt,tc,True,False
鐵砧,thih-tiam,25,thih-tiam,thih4tiam1,thih4tiam1,thihtiam,thihtiam,tt,tt,True,False
鐵筆,thih-pit,25,thih-pit,thih4pit4,thih4pit4,thihpit,thihpit,tp,tp,True,False
鑢仔,lē-á,25,lē-á,le7a2,le7a2,lea,lea,la,la,True,False
鑽仔,tsǹg-á,25,chǹg-á,tsng3a2,chng3a2,tsnga,chnga,ta,ca,True,False
鑽尾,tsńg-bué,25,chńg-bóe,tsng2bue2,chng2boe2,tsngbue,chngboe,tb,cb,True,False
鑿仔,tsha̍k-á,25,chha̍k-á,tshak8a2,chhak8a2,tshaka,chhaka,ta,ca,True,False
鑿空,tsha̍k-khang,25,chha̍k-khang,tshak8khang1,chhak8khang1,tshakkhang,chhakkhang,tk,ck,True,False
門眉,mn̂g-bâi,25,mn̂g-bâi,mng5bai5,mng5bai5,mngbai,mngbai,mb,mb,True,False
門簾,mn̂g-liâm,25,mn̂g-liâm,mng5liam5,mng5liam5,mngliam,mngliam,ml,ml,True,False
開板,khui-pán,25,khui-pán,khui1pan2,khui1pan2,khuipan,khuipan,kp,kp,True,False
開繩,khui-tsìn,25,khui-chìn,khui1tsin3,khui1chin3,khuitsin,khuichin,kt,kc,True,False
開面,khui-bīn,25,khui-bīn,khui1bin7,khui1bin7,khuibin,khuibin,kb,kb,True,False
隔金,keh-kim,25,keh-kim,keh4kim1,keh4kim1,kehkim,kehkim,kk,kk,True,False
隔間,keh-king,25,keh-keng,keh4king1,keh4keng1,kehking,kehkeng,kk,kk,True,False
雲彩,hûn-tshái,25,hûn-chhái,hun5tshai2,hun5chhai2,huntshai,hunchhai,ht,hc,True,False
雲染,hûn-ní,25,hûn-ní,hun5ni2,hun5ni2,hunni,hunni,hn,hn,True,False
電窯,tiān-iô,25,tiān-iô,tian7io5,tian7io5,tianio,tianio,ti,ti,True,False
電鑽,tiān-tsńg,25,tiān-chńg,tian7tsng2,tian7chng2,tiantsng,tianchng,tt,tc,True,False
電鑽,tiān-tsǹg,25,tiān-chǹg,tian7tsng3,tian7chng3,tiantsng,tianchng,tt,tc,True,False
面金,bīn-kim,25,bīn-kim,bin7kim1,bin7kim1,binkim,binkim,bk,bk,True,False
靴管,hia-kóng,25,hia-kóng,hia1kong2,hia1kong2,hiakong,hiakong,hk,hk,True,False
頭手,thâu-tshiú,25,thâu-chhiú,thau5tshiu2,thau5chhiu2,thautshiu,thauchhiu,tt,tc,True,False
風琴,hong-khîm,25,hong-khîm,hong1khim5,hong1khim5,hongkhim,hongkhim,hk,hk,True,False
風車,hong-tshia,25,hong-chhia,hong1tshia1,hong1chhia1,hongtshia,hongchhia,ht,hc,True,False
風鼓,hong-kóo,25,hong-kó͘,hong1koo2,hong1koo2,hongkoo,hongkoo,hk,hk,True,False
食漿,tsia̍h-tsiunn,25,chia̍h-chiuⁿ,tsiah8tsiunn1,chiah8chiunn1,tsiahtsiunn,chiahchiunn,tt,cc,True,False
食色,tsia̍h-sik,25,chia̍h-sek,tsiah8sik4,chiah8sek4,tsiahsik,chiahsek,ts,cs,True,False
飯坩,pn̄g-khann,25,pn̄g-khaⁿ,png7khann1,png7khann1,pngkhann,pngkhann,pk,pk,True,False
飯擔,pn̄g-tann,25,pn̄g-taⁿ,png7tann1,png7tann1,pngtann,pngtann,pt,pt,True,False
餅模,piánn-bôo,25,piáⁿ-bô͘,piann2boo5,piann2boo5,piannboo,piannboo,pb,pb,True,False
香爐,hiunn-lôo,25,hiuⁿ-lô͘,hiunn1loo5,hiunn1loo5,hiunnloo,hiunnloo,hl,hl,True,False
香筒,hiunn-tâng,25,hiuⁿ-tâng,hiunn1tang5,hiunn1tang5,hiunntang,hiunntang,ht,ht,True,True
馬椅,bé-í,25,bé-í,be2i2,be2i2,bei,bei,bi,bi,True,False
鬚仔,tshiu-á,25,chhiu-á,tshiu1a2,chhiu1a2,tshiua,chhiua,ta,ca,True,False
鳳眼,hōng-gán,25,hōng-gán,hong7gan2,hong7gan2,honggan,honggan,hg,hg,True,False
黜底,thuh-té,25,thuh-té,thuh4te2,thuh4te2,thuhte,thuhte,tt,tt,True,False
鼓椅,kóo-í,25,kó͘-í,koo2i2,koo2i2,kooi,kooi,ki,ki,True,False
鼓槌,kóo-thuî,25,kó͘-thûi,koo2thui5,koo2thui5,koothui,koothui,kt,kt,True,False
鼓燈,kóo-ting,25,kó͘-teng,koo2ting1,koo2teng1,kooting,kooteng,kt,kt,True,False
齒戳,khí-thok,25,khí-thok,khi2thok4,khi2thok4,khithok,khithok,kt,kt,True,False
龍旗,lîng-kî,25,lêng-kî,ling5ki5,leng5ki5,lingki,lengki,lk,lk,True,False
龍柱,lîng-thiāu,25,lêng-thiāu,ling5thiau7,leng5thiau7,lingthiau,lengthiau,lt,lt,True,False
龍珠,liông-tsu,25,liông-chu,liong5tsu1,liong5chu1,liongtsu,liongchu,lt,lc,True,False
龍罐,liông-kuàn,25,liông-koàn,liong5kuan3,liong5koan3,liongkuan,liongkoan,lk,lk,True,False
龍罐,lîng-kuàn,25,lêng-koàn,ling5kuan3,leng5koan3,lingkuan,lengkoan,lk,lk,True,False
龍袍,liông-phâu,25,liông-phâu,liong5phau5,liong5phau5,liongphau,liongphau,lp,lp,True,False
龍鱗,lîng-lân,25,lêng-lân,ling5lan5,leng5lan5,linglan,lenglan,ll,ll,True,False
龜骿,ku-phiann,25,ku-phiaⁿ,ku1phiann1,ku1phiann1,kuphiann,kuphiann,kp,kp,True,False
𣛮籃,siā-nâ,25,siā-nâ,sia7na5,sia7na5,siana,siana,sn,sn,True,False
𥰔仔,phín-á,25,phín-á,phin2a2,phin2a2,phina,phina,pa,pa,True,False
buân白胚,buân-pe̍h-phue,16,boân-pe̍h-phoe,buan5peh8phue1,boan5peh8phoe1,buanpehphue,boanpehphoe,bpp,bpp,True,False
gá-suh窯,gá-suh-iô,16,gá-suh-iô,ga2suh4io5,ga2suh4io5,gasuhio,gasuhio,gsi,gsi,True,False
hì-tah線,hì-tah-suànn,16,hì-tah-sòaⁿ,hi3tah4suann3,hi3tah4soann3,hitahsuann,hitahsoann,hts,hts,True,False
,mi-ni-khih,16,mi-ni-khih,mi1ni1khih4,mi1ni1khih4,minikhih,minikhih,mnk,mnk,True,False
,the̍h-hó-sì,16,the̍h-hó-sì,theh8ho2si3,theh8ho2si3,thehhosi,thehhosi,ths,ths,True,False
七里香,tshit-lí-hiong,16,chhit-lí-hiong,tshit4li2hiong1,chhit4li2hiong1,tshitlihiong,chhitlihiong,tlh,clh,True,False
三分目,sann-hun-ba̍k,16,saⁿ-hun-ba̍k,sann1hun1bak8,sann1hun1bak8,sannhunbak,sannhunbak,shb,shb,True,False
三分眼,sann-hun-gán,16,saⁿ-hun-gán,sann1hun1gan2,sann1hun1gan2,sannhungan,sannhungan,shg,shg,True,False
三角鱗,sann-kak-lân,16,saⁿ-kak-lân,sann1kak4lan5,sann1kak4lan5,sannkaklan,sannkaklan,skl,skl,True,False
三輪車,sann-lián-tshia,16,saⁿ-lián-chhia,sann1lian2tshia1,sann1lian2chhia1,sannliantshia,sannlianchhia,slt,slc,True,False
三轉型,sam-tsuān-hîng,16,sam-choān-hêng,sam1tsuan7hing5,sam1choan7heng5,samtsuanhing,samchoanheng,sth,sch,True,False
丹迪紙,tan-tik-tsuá,16,tan-tek-chóa,tan1tik4tsua2,tan1tek4choa2,tantiktsua,tantekchoa,ttt,ttc,True,False
九芎仔,kiú-kiong-á,16,kiú-kiong-á,kiu2kiong1a2,kiu2kiong1a2,kiukionga,kiukionga,kka,kka,True,False
乾漆粉,kan-tshat-hún,16,kan-chhat-hún,kan1tshat4hun2,kan1chhat4hun2,kantshathun,kanchhathun,kth,kch,True,True
二層座,jī-tsàn-tsō,16,jī-chàn-chō,ji7tsan3tso7,ji7chan3cho7,jitsantso,jichancho,jtt,jcc,True,False
二次胚,jī-tshù-phue,16,jī-chhù-phoe,ji7tshu3phue1,ji7chhu3phoe1,jitshuphue,jichhuphoe,jtp,jcp,True,True
五倍子,ngóo-puē-tsí,16,ngó͘-pōe-chí,ngoo2pue7tsi2,ngoo2poe7chi2,ngoopuetsi,ngoopoechi,npt,npc,True,False
五福花,ngóo-hok-hue,16,ngó͘-hok-hoe,ngoo2hok4hue1,ngoo2hok4hoe1,ngoohokhue,ngoohokhoe,nhh,nhh,True,False
交趾釉,kau-tsí-iu,16,kau-chí-iu,kau1tsi2iu1,kau1chi2iu1,kautsiiu,kauchiiu,kti,kci,True,True
亭仔景,tîng-á-kíng,16,têng-á-kéng,ting5a2king2,teng5a2keng2,tingaking,tengakeng,tak,tak,True,False
