hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kungge,is_variant
吟龍,gîm-lîng,25,gîm-lêng,gim5ling5,gim5leng5,gimling,gimleng,gl,gl,True,False
喙舌,tshuì-tsi̍h,25,chhùi-chi̍h,tshui3tsih8,chhui3chih8,tshuitsih,chhuichih,tt,cc,True,False
噴漆,phùn-tshat,25,phùn-chhat,phun3tshat4,phun3chhat4,phuntshat,phunchhat,pt,pc,True,False
噴膠,phùn-ka,25,phùn-ka,phun3ka1,phun3ka1,phunka,phunka,pk,pk,True,False
噴銃,phùn-tshìng,25,phùn-chhèng,phun3tshing3,phun3chheng3,phuntshing,phunchheng,pt,pc,True,False
圍巾,uî-kin,25,ûi-kin,ui5kin1,ui5kin1,uikin,uikin,uk,uk,True,False
圓桶,înn-táng,25,îⁿ-táng,inn5tang2,inn5tang2,inntang,inntang,it,it,True,False
圓目,înn-ba̍k,25,îⁿ-ba̍k,inn5bak8,inn5bak8,innbak,innbak,ib,ib,True,False
地磅,tē-pōng,25,tē-pōng,te7pong7,te7pong7,tepong,tepong,tp,tp,True,False
坐五,tsē-gōo,25,chē-gō͘,tse7goo7,che7goo7,tsegoo,chegoo,tg,cg,True,False
堆的,tui-ê,25,tui-ê,tui1e5,tui1e5,tuie,tuie,te,te,True,False
堵頭,tóo-thâu,25,tó͘-thâu,too2thau5,too2thau5,toothau,toothau,tt,tt,True,False
塔啾,tah-tshiu,25,tah-chhiu,tah4tshiu1,tah4chhiu1,tahtshiu,tahchhiu,tt,tc,True,False
塔梯,thah-thui,25,thah-thui,thah4thui1,thah4thui1,thahthui,thahthui,tt,tt,True,False
塔舌,thah-tsi̍h,25,thah-chi̍h,thah4tsih8,thah4chih8,thahtsih,thahchih,tt,tc,True,False
塗捀,thôo-phâng,25,thô͘-phâng,thoo5phang5,thoo5phang5,thoophang,thoophang,tp,tp,True,False
塗朱,thôo-tsu,25,thô͘-chu,thoo5tsu1,thoo5chu1,thootsu,thoochu,tt,tc,True,False
塗紙,thôo-tsuá,25,thô͘-chóa,thoo5tsua2,thoo5choa2,thootsua,thoochoa,tt,tc,True,False
塗胚,thôo-phue,25,thô͘-phoe,thoo5phue1,thoo5phoe1,thoophue,thoophoe,tp,tp,True,True
塭仔,un-á,25,un-á,un1a2,un1a2,una,una,ua,ua,True,False
墜仔,tuī-á,25,tūi-á,tui7a2,tui7a2,tuia,tuia,ta,ta,True,False
墨斗,ba̍k-táu,25,ba̍k-táu,bak8tau2,bak8tau2,baktau,baktau,bt,bt,True,False
壁堵,piah-tóo,25,piah-tó͘,piah4too2,piah4too2,piahtoo,piahtoo,pt,pt,True,False
壓扒,ah-pe,25,ah-pe,ah4pe1,ah4pe1,ahpe,ahpe,ap,ap,True,False
大破,tuā-phuà,25,tōa-phòa,tua7phua3,toa7phoa3,tuaphua,toaphoa,tp,tp,True,False
大菁,tuā-tshinn,25,tōa-chhiⁿ,tua7tshinn1,toa7chhinn1,tuatshinn,toachhinn,tt,tc,True,False
大鏨,tuā-tsām,25,tōa-chām,tua7tsam7,toa7cham7,tuatsam,toacham,tt,tc,True,False
夾仔,ngeh-á,25,ngeh-á,ngeh4a2,ngeh4a2,ngeha,ngeha,na,na,True,False
夾枋,kiap-pang,25,kiap-pang,kiap4pang1,kiap4pang1,kiappang,kiappang,kp,kp,True,False
如意,jû-ì,25,jû-ì,ju5i3,ju5i3,jui,jui,ji,ji,True,False
定kô,tīng-kô,25,tēng-kô,ting7ko5,teng7ko5,tingko,tengko,tk,tk,True,False
定闊,tīng-khuah,25,tēng-khoah,ting7khuah4,teng7khoah4,tingkhuah,tengkhoah,tk,tk,True,False
寄線,kià-suànn,25,kià-sòaⁿ,kia3suann3,kia3soann3,kiasuann,kiasoann,ks,ks,True,False
寶扇,pó-sìnn,25,pó-sìⁿ,po2sinn3,po2sinn3,posinn,posinn,ps,ps,True,False
封帽,hong-bō,25,hong-bō,hong1bo7,hong1bo7,hongbo,hongbo,hb,hb,True,False
對破,tuì-phuà,25,tùi-phòa,tui3phua3,tui3phoa3,tuiphua,tuiphoa,tp,tp,True,False
