hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taigitv,is_variant
中線,tiong-suànn,25,tiong-sòaⁿ,tiong1suann3,tiong1soann3,ㄉㄧㆲㄙㄨㆩ˪,,tiongsuann,tiongsoann,ㄉㄧㆲㄙㄨㆩ,,ts,ts,ㄉㄙ,,True,False
中鋒,tiong-hong,25,tiong-hong,tiong1hong1,tiong1hong1,ㄉㄧㆲㄏㆲ,,tionghong,tionghong,ㄉㄧㆲㄏㆲ,,th,th,ㄉㄏ,,True,False
主審,tsú-sím,25,chú-sím,tsu2sim2,chu2sim2,ㄗㄨˋㄒㄧㆬˋ,,tsusim,chusim,ㄗㄨㄒㄧㆬ,,ts,cs,ㄗㄒ,,True,False
乳液,jú-i̍k,25,jú-e̍k,ju2ik8,ju2ek8,ㆡㄨˋㄧㆻ̇,,juik,juek,ㆡㄨㄧㆻ,,ji,je,ㆡㄧ,,True,False
乳液,lú-i̍k,25,lú-e̍k,lu2ik8,lu2ek8,ㄌㄨˋㄧㆻ̇,,luik,luek,ㄌㄨㄧㆻ,,li,le,ㄌㄧ,,True,False
二軍,jī-kun,25,jī-kun,ji7kun1,ji7kun1,ㆢㄧ˫ㄍㄨㄣ,,jikun,jikun,ㆢㄧㄍㄨㄣ,,jk,jk,ㆢㄍ,,True,False
二軍,lī-kun,25,lī-kun,li7kun1,li7kun1,ㄌㄧ˫ㄍㄨㄣ,,likun,likun,ㄌㄧㄍㄨㄣ,,lk,lk,ㄌㄍ,,True,False
人熊,lâng-hîm,25,lâng-hîm,lang5him5,lang5him5,ㄌㄤˊㄏㄧㆬˊ,,langhim,langhim,ㄌㄤㄏㄧㆬ,,lh,lh,ㄌㄏ,,True,False
人陣,lâng-tīn,25,lâng-tīn,lang5tin7,lang5tin7,ㄌㄤˊㄉㄧㄣ˫,,langtin,langtin,ㄌㄤㄉㄧㄣ,,lt,lt,ㄌㄉ,,True,False
介面,kài-bīn,25,kài-bīn,kai3bin7,kai3bin7,ㄍㄞ˪ㆠㄧㄣ˫,,kaibin,kaibin,ㄍㄞㆠㄧㄣ,,kb,kb,ㄍㆠ,,True,False
仙楂,sian-tsa,25,sian-cha,sian1tsa1,sian1cha1,ㄒㄧㄢㄗㄚ,,siantsa,siancha,ㄒㄧㄢㄗㄚ,,st,sc,ㄒㄗ,,True,False
代打,tāi-tánn,25,tāi-táⁿ,tai7tann2,tai7tann2,ㄉㄞ˫ㄉㆩˋ,,taitann,taitann,ㄉㄞㄉㆩ,,tt,tt,ㄉㄉ,,True,False
代走,tāi-tsáu,25,tāi-cháu,tai7tsau2,tai7chau2,ㄉㄞ˫ㄗㄠˋ,,taitsau,taichau,ㄉㄞㄗㄠ,,tt,tc,ㄉㄗ,,True,False
低球,kē-kiû,25,kē-kiû,ke7kiu5,ke7kiu5,ㄍㆤ˫ㄍㄧㄨˊ,,kekiu,kekiu,ㄍㆤㄍㄧㄨ,,kk,kk,ㄍㄍ,,True,False
侵蝕,tshim-si̍t,25,chhim-si̍t,tshim1sit8,chhim1sit8,ㄑㄧㆬㄒㄧㆵ̇,,tshimsit,chhimsit,ㄑㄧㆬㄒㄧㆵ,,ts,cs,ㄑㄒ,,True,False
俗麭,sio̍k-pháng,25,sio̍k-pháng,siok8phang2,siok8phang2,ㄒㄧㆦㆻ̇ㄆㄤˋ,,siokphang,siokphang,ㄒㄧㆦㆻㄆㄤ,,sp,sp,ㄒㄆ,,True,False
保溼,pó-sip,25,pó-sip,po2sip4,po2sip4,ㄅㄛˋㄒㄧㆴ,,posip,posip,ㄅㄛㄒㄧㆴ,,ps,ps,ㄅㄒ,,True,False
保送,pó-sàng,25,pó-sàng,po2sang3,po2sang3,ㄅㄛˋㄙㄤ˪,,posang,posang,ㄅㄛㄙㄤ,,ps,ps,ㄅㄙ,,True,False
修容,siu-iông,25,siu-iông,siu1iong5,siu1iong5,ㄒㄧㄨㄧㆲˊ,,siuiong,siuiong,ㄒㄧㄨㄧㆲ,,si,si,ㄒㄧ,,True,False
倒子,tò-jí,25,tò-jí,to3ji2,to3ji2,ㄉㄛ˪ㆢㄧˋ,,toji,toji,ㄉㄛㆢㄧ,,tj,tj,ㄉㆢ,,True,False
倒子,tò-lí,25,tò-lí,to3li2,to3li2,ㄉㄛ˪ㄌㄧˋ,,toli,toli,ㄉㄛㄌㄧ,,tl,tl,ㄉㄌ,,True,False
倒投,tò-tâu,25,tò-tâu,to3tau5,to3tau5,ㄉㄛ˪ㄉㄠˊ,,totau,totau,ㄉㄛㄉㄠ,,tt,tt,ㄉㄉ,,True,False
倒拍,tò-phah,25,tò-phah,to3phah4,to3phah4,ㄉㄛ˪ㄆㄚㆷ,,tophah,tophah,ㄉㄛㄆㄚㆷ,,tp,tp,ㄉㄆ,,True,False
倒支,tò-ki,25,tò-ki,to3ki1,to3ki1,ㄉㄛ˪ㄍㄧ,,toki,toki,ㄉㄛㄍㄧ,,tk,tk,ㄉㄍ,,True,False
倫敦,lûn-tun,25,lûn-tun,lun5tun1,lun5tun1,ㄌㄨㄣˊㄉㄨㄣ,,luntun,luntun,ㄌㄨㄣㄉㄨㄣ,,lt,lt,ㄌㄉ,,True,False
健力,kiān-li̍k,25,kiān-le̍k,kian7lik8,kian7lek8,ㄍㄧㄢ˫ㄌㄧㆻ̇,,kianlik,kianlek,ㄍㄧㄢㄌㄧㆻ,,kl,kl,ㄍㄌ,,True,False
健美,kiān-bí,25,kiān-bí,kian7bi2,kian7bi2,ㄍㄧㄢ˫ㆠㄧˋ,,kianbi,kianbi,ㄍㄧㄢㆠㄧ,,kb,kb,ㄍㆠ,,True,False
側投,tshik-tâu,25,chhek-tâu,tshik4tau5,chhek4tau5,ㄑㄧㆻㄉㄠˊ,,tshiktau,chhektau,ㄑㄧㆻㄉㄠ,,tt,ct,ㄑㄉ,,True,False
偷壘,thau-luí,25,thau-lúi,thau1lui2,thau1lui2,ㄊㄠㄌㄨㄧˋ,,thaului,thaului,ㄊㄠㄌㄨㄧ,,tl,tl,ㄊㄌ,,True,False
備份,pī-hūn,25,pī-hūn,pi7hun7,pi7hun7,ㄅㄧ˫ㄏㄨㄣ˫,,pihun,pihun,ㄅㄧㄏㄨㄣ,,ph,ph,ㄅㄏ,,True,False
傭兵,iông-ping,25,iông-peng,iong5ping1,iong5peng1,ㄧㆲˊㄅㄧㄥ,,iongping,iongpeng,ㄧㆲㄅㄧㄥ,,ip,ip,ㄧㄅ,,True,False
傳球,thuân-kiû,25,thoân-kiû,thuan5kiu5,thoan5kiu5,ㄊㄨㄢˊㄍㄧㄨˊ,,thuankiu,thoankiu,ㄊㄨㄢㄍㄧㄨ,,tk,tk,ㄊㄍ,,True,False
優格,iu-keh,25,iu-keh,iu1keh4,iu1keh4,ㄧㄨㄍㆤㆷ,,iukeh,iukeh,ㄧㄨㄍㆤㆷ,,ik,ik,ㄧㄍ,,True,False
光面,kng-bīn,25,kng-bīn,kng1bin7,kng1bin7,ㄍㆭㆠㄧㄣ˫,,kngbin,kngbin,ㄍㆭㆠㄧㄣ,,kb,kb,ㄍㆠ,,True,False
入數,ji̍p-siàu,25,ji̍p-siàu,jip8siau3,jip8siau3,ㆢㄧㆴ̇ㄒㄧㄠ˪,,jipsiau,jipsiau,ㆢㄧㆴㄒㄧㄠ,,js,js,ㆢㄒ,,True,False
入數,li̍p-siàu,25,li̍p-siàu,lip8siau3,lip8siau3,ㄌㄧㆴ̇ㄒㄧㄠ˪,,lipsiau,lipsiau,ㄌㄧㆴㄒㄧㄠ,,ls,ls,ㄌㄒ,,True,False
內建,luē-kiàn,25,lōe-kiàn,lue7kian3,loe7kian3,ㄌㄨㆤ˫ㄍㄧㄢ˪,,luekian,loekian,ㄌㄨㆤㄍㄧㄢ,,lk,lk,ㄌㄍ,,True,False
內文,lāi-bûn,25,lāi-bûn,lai7bun5,lai7bun5,ㄌㄞ˫ㆠㄨㄣˊ,,laibun,laibun,ㄌㄞㆠㄨㄣ,,lb,lb,ㄌㆠ,,True,False
內野,lāi-iá,25,lāi-iá,lai7ia2,lai7ia2,ㄌㄞ˫ㄧㄚˋ,,laiia,laiia,ㄌㄞㄧㄚ,,li,li,ㄌㄧ,,True,False
全妝,tsuân-tsong,25,choân-chong,tsuan5tsong1,choan5chong1,ㄗㄨㄢˊㄗㆲ,,tsuantsong,choanchong,ㄗㄨㄢㄗㆲ,,tt,cc,ㄗㄗ,,True,False
全馬,tsuân-má,25,choân-má,tsuan5ma2,choan5ma2,ㄗㄨㄢˊㄇㄚˋ,,tsuanma,choanma,ㄗㄨㄢㄇㄚ,,tm,cm,ㄗㄇ,,True,False
全麥,tsuân-be̍h,25,choân-be̍h,tsuan5beh8,choan5beh8,ㄗㄨㄢˊㆠㆤㆷ̇,,tsuanbeh,choanbeh,ㄗㄨㄢㆠㆤㆷ,,tb,cb,ㄗㆠ,,True,False
兩塊,nn̄g-tè,25,nn̄g-tè,nng7te3,nng7te3,ㄋㆭ˫ㄉㆤ˪,,nngte,nngte,ㄋㆭㄉㆤ,,nt,nt,ㄋㄉ,,True,False
八角,peh-kak,25,peh-kak,peh4kak4,peh4kak4,ㄅㆤㆷㄍㄚㆻ,,pehkak,pehkak,ㄅㆤㆷㄍㄚㆻ,,pk,pk,ㄅㄍ,,True,False
八角,pueh-kak,25,poeh-kak,pueh4kak4,poeh4kak4,ㄅㄨㆤㆷㄍㄚㆻ,,puehkak,poehkak,ㄅㄨㆤㆷㄍㄚㆻ,,pk,pk,ㄅㄍ,,True,False
公論,kong-lūn,25,kong-lūn,kong1lun7,kong1lun7,ㄍㆲㄌㄨㄣ˫,,konglun,konglun,ㄍㆲㄌㄨㄣ,,kl,kl,ㄍㄌ,,True,False
冊迷,tsheh-bê,25,chheh-bê,tsheh4be5,chheh4be5,ㄘㆤㆷㆠㆤˊ,,tshehbe,chhehbe,ㄘㆤㆷㆠㆤ,,tb,cb,ㄘㆠ,,True,False
冰壺,ping-ôo,25,peng-ô͘,ping1oo5,peng1oo5,ㄅㄧㄥㆦˊ,,pingoo,pengoo,ㄅㄧㄥㆦ,,po,po,ㄅㆦ,,True,False
冰沙,ping-sua,25,peng-soa,ping1sua1,peng1soa1,ㄅㄧㄥㄙㄨㄚ,,pingsua,pengsoa,ㄅㄧㄥㄙㄨㄚ,,ps,ps,ㄅㄙ,,True,False
冰磚,ping-tsng,25,peng-chng,ping1tsng1,peng1chng1,ㄅㄧㄥㄗㆭ,,pingtsng,pengchng,ㄅㄧㄥㄗㆭ,,pt,pc,ㄅㄗ,,True,False
冷麵,líng-mī,25,léng-mī,ling2mi7,leng2mi7,ㄌㄧㄥˋㄇㄧ˫,,lingmi,lengmi,ㄌㄧㄥㄇㄧ,,lm,lm,ㄌㄇ,,True,False
凝霜,gîng-song,25,gêng-song,ging5song1,geng5song1,ㆣㄧㄥˊㄙㆲ,,gingsong,gengsong,ㆣㄧㄥㄙㆲ,,gs,gs,ㆣㄙ,,True,False
凝露,gîng-lōo,25,gêng-lō͘,ging5loo7,geng5loo7,ㆣㄧㄥˊㄌㆦ˫,,gingloo,gengloo,ㆣㄧㄥㄌㆦ,,gl,gl,ㆣㄌ,,True,False
刀術,to-su̍t,25,to-su̍t,to1sut8,to1sut8,ㄉㄛㄙㄨㆵ̇,,tosut,tosut,ㄉㄛㄙㄨㆵ,,ts,ts,ㄉㄙ,,True,False
分道,pun-tō,25,pun-tō,pun1to7,pun1to7,ㄅㄨㄣㄉㄛ˫,,punto,punto,ㄅㄨㄣㄉㄛ,,pt,pt,ㄅㄉ,,True,False
分頁,hun-ia̍h,25,hun-ia̍h,hun1iah8,hun1iah8,ㄏㄨㄣㄧㄚㆷ̇,,huniah,huniah,ㄏㄨㄣㄧㄚㆷ,,hi,hi,ㄏㄧ,,True,False
切球,tshiat-kiû,25,chhiat-kiû,tshiat4kiu5,chhiat4kiu5,ㄑㄧㄚㆵㄍㄧㄨˊ,,tshiatkiu,chhiatkiu,ㄑㄧㄚㆵㄍㄧㄨ,,tk,ck,ㄑㄍ,,True,False
刣掉,thâi-tiāu,25,thâi-tiāu,thai5tiau7,thai5tiau7,ㄊㄞˊㄉㄧㄠ˫,,thaitiau,thaitiau,ㄊㄞㄉㄧㄠ,,tt,tt,ㄊㄉ,,True,False
利劍,lāi-kiàm,25,lāi-kiàm,lai7kiam3,lai7kiam3,ㄌㄞ˫ㄍㄧㆰ˪,,laikiam,laikiam,ㄌㄞㄍㄧㆰ,,lk,lk,ㄌㄍ,,True,False
刪除,san-tî,25,san-tî,san1ti5,san1ti5,ㄙㄢㄉㄧˊ,,santi,santi,ㄙㄢㄉㄧ,,st,st,ㄙㄉ,,True,True
刪除,san-tû,25,san-tû,san1tu5,san1tu5,ㄙㄢㄉㄨˊ,,santu,santu,ㄙㄢㄉㄨ,,st,st,ㄙㄉ,,True,True
制衡,tsè-hîng,25,chè-hêng,tse3hing5,che3heng5,ㄗㆤ˪ㄏㄧㄥˊ,,tsehing,cheheng,ㄗㆤㄏㄧㄥ,,th,ch,ㄗㄏ,,True,False
刺殺,tshì-sat,25,chhì-sat,tshi3sat4,chhi3sat4,ㄑㄧ˪ㄙㄚㆵ,,tshisat,chhisat,ㄑㄧㄙㄚㆵ,,ts,cs,ㄑㄙ,,True,False
前跤,tsîng-kha,25,chêng-kha,tsing5kha1,cheng5kha1,ㄐㄧㄥˊㄎㄚ,,tsingkha,chengkha,ㄐㄧㄥㄎㄚ,,tk,ck,ㄐㄎ,,True,False
剪接,tsián-tsiap,25,chián-chiap,tsian2tsiap4,chian2chiap4,ㄐㄧㄢˋㄐㄧㄚㆴ,,tsiantsiap,chianchiap,ㄐㄧㄢㄐㄧㄚㆴ,,tt,cc,ㄐㄐ,,True,False
剪輯,tsián-tsi̍p,25,chián-chi̍p,tsian2tsip8,chian2chip8,ㄐㄧㄢˋㄐㄧㆴ̇,,tsiantsip,chianchip,ㄐㄧㄢㄐㄧㆴ,,tt,cc,ㄐㄐ,,True,False
劍術,kiàm-su̍t,25,kiàm-su̍t,kiam3sut8,kiam3sut8,ㄍㄧㆰ˪ㄙㄨㆵ̇,,kiamsut,kiamsut,ㄍㄧㆰㄙㄨㆵ,,ks,ks,ㄍㄙ,,True,False
加碼,ka-bé,25,ka-bé,ka1be2,ka1be2,ㄍㄚㆠㆤˋ,,kabe,kabe,ㄍㄚㆠㆤ,,kb,kb,ㄍㆠ,,True,True
助殺,tsōo-sat,25,chō͘-sat,tsoo7sat4,choo7sat4,ㄗㆦ˫ㄙㄚㆵ,,tsoosat,choosat,ㄗㆦㄙㄚㆵ,,ts,cs,ㄗㄙ,,True,False
勝投,sìng-tâu,25,sèng-tâu,sing3tau5,seng3tau5,ㄒㄧㄥ˪ㄉㄠˊ,,singtau,sengtau,ㄒㄧㄥㄉㄠ,,st,st,ㄒㄉ,,True,False
勼排,kiu-pâi,25,kiu-pâi,kiu1pai5,kiu1pai5,ㄍㄧㄨㄅㄞˊ,,kiupai,kiupai,ㄍㄧㄨㄅㄞ,,kp,kp,ㄍㄅ,,True,False
匿名,li̍k-miâ,25,le̍k-miâ,lik8mia5,lek8mia5,ㄌㄧㆻ̇ㄇㄧㄚˊ,,likmia,lekmia,ㄌㄧㆻㄇㄧㄚ,,lm,lm,ㄌㄇ,,True,False
半勝,puànn-sìng,25,pòaⁿ-sèng,puann3sing3,poann3seng3,ㄅㄨㆩ˪ㄒㄧㄥ˪,,puannsing,poannseng,ㄅㄨㆩㄒㄧㄥ,,ps,ps,ㄅㄒ,,True,False
半馬,puànn-má,25,pòaⁿ-má,puann3ma2,poann3ma2,ㄅㄨㆩ˪ㄇㄚˋ,,puannma,poannma,ㄅㄨㆩㄇㄚ,,pm,pm,ㄅㄇ,,True,False
協作,hia̍p-tsok,25,hia̍p-chok,hiap8tsok4,hiap8chok4,ㄏㄧㄚㆴ̇ㄗㆦㆻ,,hiaptsok,hiapchok,ㄏㄧㄚㆴㄗㆦㆻ,,ht,hc,ㄏㄗ,,True,False
南刀,lâm-to,25,lâm-to,lam5to1,lam5to1,ㄌㆰˊㄉㄛ,,lamto,lamto,ㄌㆰㄉㄛ,,lt,lt,ㄌㄉ,,True,False
南拳,lâm-kûn,25,lâm-kûn,lam5kun5,lam5kun5,ㄌㆰˊㄍㄨㄣˊ,,lamkun,lamkun,ㄌㆰㄍㄨㄣ,,lk,lk,ㄌㄍ,,True,False
南棍,lâm-kùn,25,lâm-kùn,lam5kun3,lam5kun3,ㄌㆰˊㄍㄨㄣ˪,,lamkun,lamkun,ㄌㆰㄍㄨㄣ,,lk,lk,ㄌㄍ,,True,False
卡粉,kha̍h-hún,25,kha̍h-hún,khah8hun2,khah8hun2,ㄎㄚㆷ̇ㄏㄨㄣˋ,,khahhun,khahhun,ㄎㄚㆷㄏㄨㄣ,,kh,kh,ㄎㄏ,,True,False
卵塔,nn̄g-thah,25,nn̄g-thah,nng7thah4,nng7thah4,ㄋㆭ˫ㄊㄚㆷ,,nngthah,nngthah,ㄋㆭㄊㄚㆷ,,nt,nt,ㄋㄊ,,True,False
卸妝,sià-tsong,25,sià-chong,sia3tsong1,sia3chong1,ㄒㄧㄚ˪ㄗㆲ,,siatsong,siachong,ㄒㄧㄚㄗㆲ,,st,sc,ㄒㄗ,,True,False
厚妝,kāu-tsong,25,kāu-chong,kau7tsong1,kau7chong1,ㄍㄠ˫ㄗㆲ,,kautsong,kauchong,ㄍㄠㄗㆲ,,kt,kc,ㄍㄗ,,True,False
厝貸,tshù-tāi,25,chhù-tāi,tshu3tai7,chhu3tai7,ㄘㄨ˪ㄉㄞ˫,,tshutai,chhutai,ㄘㄨㄉㄞ,,tt,ct,ㄘㄉ,,True,False
反向,huán-hiòng,25,hoán-hiòng,huan2hiong3,hoan2hiong3,ㄏㄨㄢˋㄏㄧㆲ˪,,huanhiong,hoanhiong,ㄏㄨㄢㄏㄧㆲ,,hh,hh,ㄏㄏ,,True,False
口碑,kháu-pi,25,kháu-pi,khau2pi1,khau2pi1,ㄎㄠˋㄅㄧ,,khaupi,khaupi,ㄎㄠㄅㄧ,,kp,kp,ㄎㄅ,,True,False
可送,khó-sòng,25,khó-sòng,kho2song3,kho2song3,ㄎㄛˋㄙㆲ˪,,khosong,khosong,ㄎㄛㄙㆲ,,ks,ks,ㄎㄙ,,True,False
司康,sir-kóng,25,sir-kóng,sir1kong2,sir1kong2,ㄙㆨㄍㆲˋ,,sirkong,sirkong,ㄙㆨㄍㆲ,,sk,sk,ㄙㄍ,,True,False
司康,su-kóng,25,su-kóng,su1kong2,su1kong2,ㄙㄨㄍㆲˋ,,sukong,sukong,ㄙㄨㄍㆲ,,sk,sk,ㄙㄍ,,True,False
合球,ha̍p-kiû,25,ha̍p-kiû,hap8kiu5,hap8kiu5,ㄏㄚㆴ̇ㄍㄧㄨˊ,,hapkiu,hapkiu,ㄏㄚㆴㄍㄧㄨ,,hk,hk,ㄏㄍ,,True,False
吊環,tiàu-khuân,25,tiàu-khoân,tiau3khuan5,tiau3khoan5,ㄉㄧㄠ˪ㄎㄨㄢˊ,,tiaukhuan,tiaukhoan,ㄉㄧㄠㄎㄨㄢ,,tk,tk,ㄉㄎ,,True,False
同步,tông-pōo,25,tông-pō͘,tong5poo7,tong5poo7,ㄉㆲˊㄅㆦ˫,,tongpoo,tongpoo,ㄉㆲㄅㆦ,,tp,tp,ㄉㄅ,,True,False
和絃,hô-hiân,25,hô-hiân,ho5hian5,ho5hian5,ㄏㄛˊㄏㄧㄢˊ,,hohian,hohian,ㄏㄛㄏㄧㄢ,,hh,hh,ㄏㄏ,,True,False
咖哩,ka-lí,25,ka-lí,ka1li2,ka1li2,ㄍㄚㄌㄧˋ,,kali,kali,ㄍㄚㄌㄧ,,kl,kl,ㄍㄌ,,True,False
品勢,phín-sè,25,phín-sè,phin2se3,phin2se3,ㄆㄧㄣˋㄙㆤ˪,,phinse,phinse,ㄆㄧㄣㄙㆤ,,ps,ps,ㄆㄙ,,True,False
啞鈴,à-lîng,25,à-lêng,a3ling5,a3leng5,ㄚ˪ㄌㄧㄥˊ,,aling,aleng,ㄚㄌㄧㄥ,,al,al,ㄚㄌ,,True,False
啟用,khé-iōng,25,khé-iōng,khe2iong7,khe2iong7,ㄎㆤˋㄧㆲ˫,,kheiong,kheiong,ㄎㆤㄧㆲ,,ki,ki,ㄎㄧ,,True,False
單巡,tuann-sûn,25,toaⁿ-sûn,tuann1sun5,toann1sun5,ㄉㄨㆩㄙㄨㄣˊ,,tuannsun,toannsun,ㄉㄨㆩㄙㄨㄣ,,ts,ts,ㄉㄙ,,True,False
單打,tan-tánn,25,tan-táⁿ,tan1tann2,tan1tann2,ㄉㄢㄉㆩˋ,,tantann,tantann,ㄉㄢㄉㆩ,,tt,tt,ㄉㄉ,,True,False
單槓,tan-kǹg,25,tan-kǹg,tan1kng3,tan1kng3,ㄉㄢㄍㆭ˪,,tankng,tankng,ㄉㄢㄍㆭ,,tk,tk,ㄉㄍ,,True,False
回合,huê-ha̍p,25,hôe-ha̍p,hue5hap8,hoe5hap8,ㄏㄨㆤˊㄏㄚㆴ̇,,huehap,hoehap,ㄏㄨㆤㄏㄚㆴ,,hh,hh,ㄏㄏ,,True,False
