hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taigitv,is_variant
一壘手,it-luí-tshiú,16,it-lúi-chhiú,it4lui2tshiu2,it4lui2chhiu2,ㄧㆵㄌㄨㄧˋㄑㄧㄨˋ,,itluitshiu,itluichhiu,ㄧㆵㄌㄨㄧㄑㄧㄨ,,ilt,ilc,ㄧㄌㄑ,,True,False
一夜干,it-iā-kuann,16,it-iā-koaⁿ,it4ia7kuann1,it4ia7koann1,ㄧㆵㄧㄚ˫ㄍㄨㆩ,,itiakuann,itiakoann,ㄧㆵㄧㄚㄍㄨㆩ,,iik,iik,ㄧㄧㄍ,,True,False
三不等,sam-put-tíng,16,sam-put-téng,sam1put4ting2,sam1put4teng2,ㄙㆰㄅㄨㆵㄉㄧㄥˋ,,samputting,samputteng,ㄙㆰㄅㄨㆵㄉㄧㄥ,,spt,spt,ㄙㄅㄉ,,True,False
三分球,sann-hun-kiû,16,saⁿ-hun-kiû,sann1hun1kiu5,sann1hun1kiu5,ㄙㆩㄏㄨㄣㄍㄧㄨˊ,,sannhunkiu,sannhunkiu,ㄙㆩㄏㄨㄣㄍㄧㄨ,,shk,shk,ㄙㄏㄍ,,True,False
三壘審,sann-luí-sím,16,saⁿ-lúi-sím,sann1lui2sim2,sann1lui2sim2,ㄙㆩㄌㄨㄧˋㄒㄧㆬˋ,,sannluisim,sannluisim,ㄙㆩㄌㄨㄧㄒㄧㆬ,,sls,sls,ㄙㄌㄒ,,True,False
三壘手,sann-luí-tshiú,16,saⁿ-lúi-chhiú,sann1lui2tshiu2,sann1lui2chhiu2,ㄙㆩㄌㄨㄧˋㄑㄧㄨˋ,,sannluitshiu,sannluichhiu,ㄙㆩㄌㄨㄧㄑㄧㄨ,,slt,slc,ㄙㄌㄑ,,True,False
三日賽,sann-ji̍t-sài,16,saⁿ-ji̍t-sài,sann1jit8sai3,sann1jit8sai3,ㄙㆩㆢㄧㆵ̇ㄙㄞ˪,,sannjitsai,sannjitsai,ㄙㆩㆢㄧㆵㄙㄞ,,sjs,sjs,ㄙㆢㄙ,,True,False
三日賽,sann-li̍t-sài,16,saⁿ-li̍t-sài,sann1lit8sai3,sann1lit8sai3,ㄙㆩㄌㄧㆵ̇ㄙㄞ˪,,sannlitsai,sannlitsai,ㄙㆩㄌㄧㆵㄙㄞ,,sls,sls,ㄙㄌㄙ,,True,False
三殺打,sam-sat-tánn,16,sam-sat-táⁿ,sam1sat4tann2,sam1sat4tann2,ㄙㆰㄙㄚㆵㄉㆩˋ,,samsattann,samsattann,ㄙㆰㄙㄚㆵㄉㆩ,,sst,sst,ㄙㄙㄉ,,True,False
三角錐,sann-kak-tsui,16,saⁿ-kak-chui,sann1kak4tsui1,sann1kak4chui1,ㄙㆩㄍㄚㆻㄗㄨㄧ,,sannkaktsui,sannkakchui,ㄙㆩㄍㄚㆻㄗㄨㄧ,,skt,skc,ㄙㄍㄗ,,True,False
三項賽,sann-hāng-sài,16,saⁿ-hāng-sài,sann1hang7sai3,sann1hang7sai3,ㄙㆩㄏㄤ˫ㄙㄞ˪,,sannhangsai,sannhangsai,ㄙㆩㄏㄤㄙㄞ,,shs,shs,ㄙㄏㄙ,,True,False
上壘率,tsiūnn-luí-lu̍t,16,chiūⁿ-lúi-lu̍t,tsiunn7lui2lut8,chiunn7lui2lut8,ㄐㄧㆫ˫ㄌㄨㄧˋㄌㄨㆵ̇,,tsiunnluilut,chiunnluilut,ㄐㄧㆫㄌㄨㄧㄌㄨㆵ,,tll,cll,ㄐㄌㄌ,,True,False
上細化,siōng-suè-huà,16,siōng-sòe-hòa,siong7sue3hua3,siong7soe3hoa3,ㄒㄧㆲ˫ㄙㄨㆤ˪ㄏㄨㄚ˪,,siongsuehua,siongsoehoa,ㄒㄧㆲㄙㄨㆤㄏㄨㄚ,,ssh,ssh,ㄒㄙㄏ,,True,False
上細化,siōng-sè-huà,16,siōng-sè-hòa,siong7se3hua3,siong7se3hoa3,ㄒㄧㆲ˫ㄙㆤ˪ㄏㄨㄚ˪,,siongsehua,siongsehoa,ㄒㄧㆲㄙㆤㄏㄨㄚ,,ssh,ssh,ㄒㄙㄏ,,True,False
下一步,ē-tsi̍t-pōo,16,ē-chi̍t-pō͘,e7tsit8poo7,e7chit8poo7,ㆤ˫ㄐㄧㆵ̇ㄅㆦ˫,,etsitpoo,echitpoo,ㆤㄐㄧㆵㄅㆦ,,etp,ecp,ㆤㄐㄅ,,True,False
下半場,ē-puànn-tiûnn,16,ē-pòaⁿ-tiûⁿ,e7puann3tiunn5,e7poann3tiunn5,ㆤ˫ㄅㄨㆩ˪ㄉㄧㆫˊ,,epuanntiunn,epoanntiunn,ㆤㄅㄨㆩㄉㄧㆫ,,ept,ept,ㆤㄅㄉ,,True,False
下目箍,ē-ba̍k-khoo,16,ē-ba̍k-kho͘,e7bak8khoo1,e7bak8khoo1,ㆤ˫ㆠㄚㆻ̇ㄎㆦ,,ebakkhoo,ebakkhoo,ㆤㆠㄚㆻㄎㆦ,,ebk,ebk,ㆤㆠㄎ,,True,False
下目蚶,ē-ba̍k-ham,16,ē-ba̍k-ham,e7bak8ham1,e7bak8ham1,ㆤ˫ㆠㄚㆻ̇ㄏㆰ,,ebakham,ebakham,ㆤㆠㄚㆻㄏㆰ,,ebh,ebh,ㆤㆠㄏ,,True,False
下頦線,ē-hâi-suànn,16,ē-hâi-sòaⁿ,e7hai5suann3,e7hai5soann3,ㆤ˫ㄏㄞˊㄙㄨㆩ˪,,ehaisuann,ehaisoann,ㆤㄏㄞㄙㄨㆩ,,ehs,ehs,ㆤㄏㄙ,,True,False
下頦角,ē-hâi-kak,16,ē-hâi-kak,e7hai5kak4,e7hai5kak4,ㆤ˫ㄏㄞˊㄍㄚㆻ,,ehaikak,ehaikak,ㆤㄏㄞㄍㄚㆻ,,ehk,ehk,ㆤㄏㄍ,,True,False
下頦觳,ē-hâi-khok,16,ē-hâi-khok,e7hai5khok4,e7hai5khok4,ㆤ˫ㄏㄞˊㄎㆦㆻ,,ehaikhok,ehaikhok,ㆤㄏㄞㄎㆦㆻ,,ehk,ehk,ㆤㄏㄎ,,True,False
不織布,put-tsit-pòo,16,put-chit-pò͘,put4tsit4poo3,put4chit4poo3,ㄅㄨㆵㄐㄧㆵㄅㆦ˪,,puttsitpoo,putchitpoo,ㄅㄨㆵㄐㄧㆵㄅㆦ,,ptp,pcp,ㄅㄐㄅ,,True,True
中長跑,tiong-tn̂g-pháu,16,tiong-tn̂g-pháu,tiong1tng5phau2,tiong1tng5phau2,ㄉㄧㆲㄉㆭˊㄆㄠˋ,,tiongtngphau,tiongtngphau,ㄉㄧㆲㄉㆭㄆㄠ,,ttp,ttp,ㄉㄉㄆ,,True,False
主動肌,tsú-tōng-ki,16,chú-tōng-ki,tsu2tong7ki1,chu2tong7ki1,ㄗㄨˋㄉㆲ˫ㄍㄧ,,tsutongki,chutongki,ㄗㄨㄉㆲㄍㄧ,,ttk,ctk,ㄗㄉㄍ,,True,False
主機枋,tsú-ki-pang,16,chú-ki-pang,tsu2ki1pang1,chu2ki1pang1,ㄗㄨˋㄍㄧㄅㄤ,,tsukipang,chukipang,ㄗㄨㄍㄧㄅㄤ,,tkp,ckp,ㄗㄍㄅ,,True,False
九層炊,káu-tsàn-tshe,16,káu-chàn-chhe,kau2tsan3tshe1,kau2chan3chhe1,ㄍㄠˋㄗㄢ˪ㄘㆤ,,kautsantshe,kauchanchhe,ㄍㄠㄗㄢㄘㆤ,,ktt,kcc,ㄍㄗㄘ,,True,False
九層炊,káu-tsàn-tshue,16,káu-chàn-chhoe,kau2tsan3tshue1,kau2chan3chhoe1,ㄍㄠˋㄗㄢ˪ㄘㄨㆤ,,kautsantshue,kauchanchhoe,ㄍㄠㄗㄢㄘㄨㆤ,,ktt,kcc,ㄍㄗㄘ,,True,False
九重粿,káu-tîng-kué,16,káu-têng-kóe,kau2ting5kue2,kau2teng5koe2,ㄍㄠˋㄉㄧㄥˊㄍㄨㆤˋ,,kautingkue,kautengkoe,ㄍㄠㄉㄧㄥㄍㄨㆤ,,ktk,ktk,ㄍㄉㄍ,,True,False
九重粿,káu-tîng-ké,16,káu-têng-ké,kau2ting5ke2,kau2teng5ke2,ㄍㄠˋㄉㄧㄥˊㄍㆤˋ,,kautingke,kautengke,ㄍㄠㄉㄧㄥㄍㆤ,,ktk,ktk,ㄍㄉㄍ,,True,False
二七仔,jī-tshit-á,16,jī-chhit-á,ji7tshit4a2,ji7chhit4a2,ㆢㄧ˫ㄑㄧㆵㄚˋ,,jitshita,jichhita,ㆢㄧㄑㄧㆵㄚ,,jta,jca,ㆢㄑㄚ,,True,True
二七仔,lī-tshit-á,16,lī-chhit-á,li7tshit4a2,li7chhit4a2,ㄌㄧ˫ㄑㄧㆵㄚˋ,,litshita,lichhita,ㄌㄧㄑㄧㆵㄚ,,lta,lca,ㄌㄑㄚ,,True,True
二刀流,jī-to-liû,16,jī-to-liû,ji7to1liu5,ji7to1liu5,ㆢㄧ˫ㄉㄛㄌㄧㄨˊ,,jitoliu,jitoliu,ㆢㄧㄉㄛㄌㄧㄨ,,jtl,jtl,ㆢㄉㄌ,,True,False
二壘審,jī-luí-sím,16,jī-lúi-sím,ji7lui2sim2,ji7lui2sim2,ㆢㄧ˫ㄌㄨㄧˋㄒㄧㆬˋ,,jiluisim,jiluisim,ㆢㄧㄌㄨㄧㄒㄧㆬ,,jls,jls,ㆢㄌㄒ,,True,False
二壘審,lī-luí-sím,16,lī-lúi-sím,li7lui2sim2,li7lui2sim2,ㄌㄧ˫ㄌㄨㄧˋㄒㄧㆬˋ,,liluisim,liluisim,ㄌㄧㄌㄨㄧㄒㄧㆬ,,lls,lls,ㄌㄌㄒ,,True,False
二壘手,jī-luí-tshiú,16,jī-lúi-chhiú,ji7lui2tshiu2,ji7lui2chhiu2,ㆢㄧ˫ㄌㄨㄧˋㄑㄧㄨˋ,,jiluitshiu,jiluichhiu,ㆢㄧㄌㄨㄧㄑㄧㄨ,,jlt,jlc,ㆢㄌㄑ,,True,False
二壘手,lī-luí-tshiú,16,lī-lúi-chhiú,li7lui2tshiu2,li7lui2chhiu2,ㄌㄧ˫ㄌㄨㄧˋㄑㄧㄨˋ,,liluitshiu,liluichhiu,ㄌㄧㄌㄨㄧㄑㄧㄨ,,llt,llc,ㄌㄌㄑ,,True,False
二進位,jī-tsìn-uī,16,jī-chìn-ūi,ji7tsin3ui7,ji7chin3ui7,ㆢㄧ˫ㄐㄧㄣ˪ㄨㄧ˫,,jitsinui,jichinui,ㆢㄧㄐㄧㄣㄨㄧ,,jtu,jcu,ㆢㄐㄨ,,True,False
二頭肌,jī-thâu-ki,16,jī-thâu-ki,ji7thau5ki1,ji7thau5ki1,ㆢㄧ˫ㄊㄠˊㄍㄧ,,jithauki,jithauki,ㆢㄧㄊㄠㄍㄧ,,jtk,jtk,ㆢㄊㄍ,,True,False
二頭肌,lī-thâu-ki,16,lī-thâu-ki,li7thau5ki1,li7thau5ki1,ㄌㄧ˫ㄊㄠˊㄍㄧ,,lithauki,lithauki,ㄌㄧㄊㄠㄍㄧ,,ltk,ltk,ㄌㄊㄍ,,True,False
仙人掌,sian-jîn-tsióng,16,sian-jîn-chióng,sian1jin5tsiong2,sian1jin5chiong2,ㄒㄧㄢㆢㄧㄣˊㄐㄧㆲˋ,,sianjintsiong,sianjinchiong,ㄒㄧㄢㆢㄧㄣㄐㄧㆲ,,sjt,sjc,ㄒㆢㄐ,,True,False
仙人掌,sian-lîn-tsióng,16,sian-lîn-chióng,sian1lin5tsiong2,sian1lin5chiong2,ㄒㄧㄢㄌㄧㄣˊㄐㄧㆲˋ,,sianlintsiong,sianlinchiong,ㄒㄧㄢㄌㄧㄣㄐㄧㆲ,,slt,slc,ㄒㄌㄐ,,True,False
伊斯蘭,i-su-lân,16,i-su-lân,i1su1lan5,i1su1lan5,ㄧㄙㄨㄌㄢˊ,,isulan,isulan,ㄧㄙㄨㄌㄢ,,isl,isl,ㄧㄙㄌ,,True,False
伺服器,sù-ho̍k-khì,16,sù-ho̍k-khì,su3hok8khi3,su3hok8khi3,ㄙㄨ˪ㄏㆦㆻ̇ㄎㄧ˪,,suhokkhi,suhokkhi,ㄙㄨㄏㆦㆻㄎㄧ,,shk,shk,ㄙㄏㄎ,,True,False
住宅區,tsū-the̍h-khu,16,chū-the̍h-khu,tsu7theh8khu1,chu7theh8khu1,ㄗㄨ˫ㄊㆤㆷ̇ㄎㄨ,,tsuthehkhu,chuthehkhu,ㄗㄨㄊㆤㆷㄎㄨ,,ttk,ctk,ㄗㄊㄎ,,True,False
佛卡夏,hoo-khá-tshiah,16,ho͘-khá-chhiah,hoo1kha2tshiah4,hoo1kha2chhiah4,ㄏㆦㄎㄚˋㄑㄧㄚㆷ,,hookhatshiah,hookhachhiah,ㄏㆦㄎㄚㄑㄧㄚㆷ,,hkt,hkc,ㄏㄎㄑ,,True,False
便利貼,piān-lī-tah,16,piān-lī-tah,pian7li7tah4,pian7li7tah4,ㄅㄧㄢ˫ㄌㄧ˫ㄉㄚㆷ,,pianlitah,pianlitah,ㄅㄧㄢㄌㄧㄉㄚㆷ,,plt,plt,ㄅㄌㄉ,,True,False
俗麭𩛩,sio̍k-pháng-kauh,16,sio̍k-pháng-kauh,siok8phang2kauh4,siok8phang2kauh4,ㄒㄧㆦㆻ̇ㄆㄤˋㄍㄠㆷ,,siokphangkauh,siokphangkauh,ㄒㄧㆦㆻㄆㄤㄍㄠㆷ,,spk,spk,ㄒㄆㄍ,,True,False
保庇跳,pó-pì-thiàu,16,pó-pì-thiàu,po2pi3thiau3,po2pi3thiau3,ㄅㄛˋㄅㄧ˪ㄊㄧㄠ˪,,popithiau,popithiau,ㄅㄛㄅㄧㄊㄧㄠ,,ppt,ppt,ㄅㄅㄊ,,True,False
保送率,pó-sàng-lu̍t,16,pó-sàng-lu̍t,po2sang3lut8,po2sang3lut8,ㄅㄛˋㄙㄤ˪ㄌㄨㆵ̇,,posanglut,posanglut,ㄅㄛㄙㄤㄌㄨㆵ,,psl,psl,ㄅㄙㄌ,,True,False
保養品,pó-ióng-phín,16,pó-ióng-phín,po2iong2phin2,po2iong2phin2,ㄅㄛˋㄧㆲˋㄆㄧㄣˋ,,poiongphin,poiongphin,ㄅㄛㄧㆲㄆㄧㄣ,,pip,pip,ㄅㄧㄆ,,True,False
保鮮膜,pó-sian-mo̍oh,16,pó-sian-mo̍͘h,po2sian1mooh8,po2sian1mooh8,ㄅㄛˋㄒㄧㄢㄇㆦㆷ̇,,posianmooh,posianmooh,ㄅㄛㄒㄧㄢㄇㆦㆷ,,psm,psm,ㄅㄒㄇ,,True,False
保齡球,pó-lîng-kiû,16,pó-lêng-kiû,po2ling5kiu5,po2leng5kiu5,ㄅㄛˋㄌㄧㄥˊㄍㄧㄨˊ,,polingkiu,polengkiu,ㄅㄛㄌㄧㄥㄍㄧㄨ,,plk,plk,ㄅㄌㄍ,,True,False
修容條,siu-iông-tiâu,16,siu-iông-tiâu,siu1iong5tiau5,siu1iong5tiau5,ㄒㄧㄨㄧㆲˊㄉㄧㄠˊ,,siuiongtiau,siuiongtiau,ㄒㄧㄨㄧㆲㄉㄧㄠ,,sit,sit,ㄒㄧㄉ,,True,False
修容霜,siu-iông-song,16,siu-iông-song,siu1iong5song1,siu1iong5song1,ㄒㄧㄨㄧㆲˊㄙㆲ,,siuiongsong,siuiongsong,ㄒㄧㄨㄧㆲㄙㆲ,,sis,sis,ㄒㄧㄙ,,True,False
修眉刀,siu-bâi-to,16,siu-bâi-to,siu1bai5to1,siu1bai5to1,ㄒㄧㄨㆠㄞˊㄉㄛ,,siubaito,siubaito,ㄒㄧㄨㆠㄞㄉㄛ,,sbt,sbt,ㄒㆠㄉ,,True,False
個人賽,kò-jîn-sài,16,kò-jîn-sài,ko3jin5sai3,ko3jin5sai3,ㄍㄛ˪ㆢㄧㄣˊㄙㄞ˪,,kojinsai,kojinsai,ㄍㄛㆢㄧㄣㄙㄞ,,kjs,kjs,ㄍㆢㄙ,,True,False
個人賽,kò-lîn-sài,16,kò-lîn-sài,ko3lin5sai3,ko3lin5sai3,ㄍㄛ˪ㄌㄧㄣˊㄙㄞ˪,,kolinsai,kolinsai,ㄍㄛㄌㄧㄣㄙㄞ,,kls,kls,ㄍㄌㄙ,,True,False
倒徛騰,tò-khiā-thîng,16,tò-khiā-thêng,to3khia7thing5,to3khia7theng5,ㄉㄛ˪ㄎㄧㄚ˫ㄊㄧㄥˊ,,tokhiathing,tokhiatheng,ㄉㄛㄎㄧㄚㄊㄧㄥ,,tkt,tkt,ㄉㄎㄊ,,True,False
倒線審,tò-suànn-sím,16,tò-sòaⁿ-sím,to3suann3sim2,to3soann3sim2,ㄉㄛ˪ㄙㄨㆩ˪ㄒㄧㆬˋ,,tosuannsim,tosoannsim,ㄉㄛㄙㄨㆩㄒㄧㆬ,,tss,tss,ㄉㄙㄒ,,True,False
倖存者,hīng-tsûn-tsiá,16,hēng-chûn-chiá,hing7tsun5tsia2,heng7chun5chia2,ㄏㄧㄥ˫ㄗㄨㄣˊㄐㄧㄚˋ,,hingtsuntsia,hengchunchia,ㄏㄧㄥㄗㄨㄣㄐㄧㄚ,,htt,hcc,ㄏㄗㄐ,,True,False
倚身球,uá-sin-kiû,16,óa-sin-kiû,ua2sin1kiu5,oa2sin1kiu5,ㄨㄚˋㄒㄧㄣㄍㄧㄨˊ,,uasinkiu,oasinkiu,ㄨㄚㄒㄧㄣㄍㄧㄨ,,usk,osk,ㄨㄒㄍ,,True,False
假動作,ké tōng-tsok,16,ké tōng-chok,ke2tong7tsok4,ke2tong7chok4,ㄍㆤˋㄉㆲ˫ㄗㆦㆻ,,ketongtsok,ketongchok,ㄍㆤㄉㆲㄗㆦㆻ,,ktt,ktc,ㄍㄉㄗ,,True,False
做散工,tsuè suánn-kang,16,chòe sóaⁿ-kang,tsue3suann2kang1,choe3soann2kang1,ㄗㄨㆤ˪ㄙㄨㆩˋㄍㄤ,,tsuesuannkang,choesoannkang,ㄗㄨㆤㄙㄨㆩㄍㄤ,,tsk,csk,ㄗㄙㄍ,,True,False
做散工,tsò suánn-kang,16,chò sóaⁿ-kang,tso3suann2kang1,cho3soann2kang1,ㄗㄛ˪ㄙㄨㆩˋㄍㄤ,,tsosuannkang,chosoannkang,ㄗㄛㄙㄨㆩㄍㄤ,,tsk,csk,ㄗㄙㄍ,,True,False
健身房,kiān-sin pâng,16,kiān-sin pâng,kian7sin1pang5,kian7sin1pang5,ㄍㄧㄢ˫ㄒㄧㄣㄅㄤˊ,,kiansinpang,kiansinpang,ㄍㄧㄢㄒㄧㄣㄅㄤ,,ksp,ksp,ㄍㄒㄅ,,True,False
側平夯,tshik-pênn-giâ,16,chhek-pêⁿ-giâ,tshik4penn5gia5,chhek4penn5gia5,ㄑㄧㆻㄅㆥˊㆣㄧㄚˊ,,tshikpenngia,chhekpenngia,ㄑㄧㆻㄅㆥㆣㄧㄚ,,tpg,cpg,ㄑㄅㆣ,,True,False
側平夯,tshik-pînn-giâ,16,chhek-pîⁿ-giâ,tshik4pinn5gia5,chhek4pinn5gia5,ㄑㄧㆻㄅㆪˊㆣㄧㄚˊ,,tshikpinngia,chhekpinngia,ㄑㄧㆻㄅㆪㆣㄧㄚ,,tpg,cpg,ㄑㄅㆣ,,True,False
側旋踢,tshik-suân-that,16,chhek-soân-that,tshik4suan5that4,chhek4soan5that4,ㄑㄧㆻㄙㄨㄢˊㄊㄚㆵ,,tshiksuanthat,chheksoanthat,ㄑㄧㆻㄙㄨㄢㄊㄚㆵ,,tst,cst,ㄑㄙㄊ,,True,False
偷本壘,thau-pún-luí,16,thau-pún-lúi,thau1pun2lui2,thau1pun2lui2,ㄊㄠㄅㄨㄣˋㄌㄨㄧˋ,,thaupunlui,thaupunlui,ㄊㄠㄅㄨㄣㄌㄨㄧ,,tpl,tpl,ㄊㄅㄌ,,True,False
傳播鍊,thuân-pò-liān,16,thoân-pò-liān,thuan5po3lian7,thoan5po3lian7,ㄊㄨㄢˊㄅㄛ˪ㄌㄧㄢ˫,,thuanpolian,thoanpolian,ㄊㄨㄢㄅㄛㄌㄧㄢ,,tpl,tpl,ㄊㄅㄌ,,True,False
僻智識,phiah-tì-sik,16,phiah-tì-sek,phiah4ti3sik4,phiah4ti3sek4,ㄆㄧㄚㆷㄉㄧ˪ㄒㄧㆻ,,phiahtisik,phiahtisek,ㄆㄧㄚㆷㄉㄧㄒㄧㆻ,,pts,pts,ㄆㄉㄒ,,True,False
儀表板,gî-pió-pán,16,gî-pió-pán,gi5pio2pan2,gi5pio2pan2,ㆣㄧˊㄅㄧㄛˋㄅㄢˋ,,gipiopan,gipiopan,ㆣㄧㄅㄧㄛㄅㄢ,,gpp,gpp,ㆣㄅㄅ,,True,False
優格奶,iu-keh-ling,16,iu-keh-leng,iu1keh4ling1,iu1keh4leng1,ㄧㄨㄍㆤㆷㄌㄧㄥ,,iukehling,iukehleng,ㄧㄨㄍㆤㆷㄌㄧㄥ,,ikl,ikl,ㄧㄍㄌ,,True,False
充電柱,tshiong-tiān thiāu,16,chhiong-tiān thiāu,tshiong1tian7thiau7,chhiong1tian7thiau7,ㄑㄧㆲㄉㄧㄢ˫ㄊㄧㄠ˫,,tshiongtianthiau,chhiongtianthiau,ㄑㄧㆲㄉㄧㄢㄊㄧㄠ,,ttt,ctt,ㄑㄉㄊ,,True,False
克流感,khik-liû-kám,16,khek-liû-kám,khik4liu5kam2,khek4liu5kam2,ㄎㄧㆻㄌㄧㄨˊㄍㆰˋ,,khikliukam,khekliukam,ㄎㄧㆻㄌㄧㄨㄍㆰ,,klk,klk,ㄎㄌㄍ,,True,False
內角球,lāi-kak-kiû,16,lāi-kak-kiû,lai7kak4kiu5,lai7kak4kiu5,ㄌㄞ˫ㄍㄚㆻㄍㄧㄨˊ,,laikakkiu,laikakkiu,ㄌㄞㄍㄚㆻㄍㄧㄨ,,lkk,lkk,ㄌㄍㄍ,,True,False
內輪差,lāi-lián-tsha,16,lāi-lián-chha,lai7lian2tsha1,lai7lian2chha1,ㄌㄞ˫ㄌㄧㄢˋㄘㄚ,,lailiantsha,lailianchha,ㄌㄞㄌㄧㄢㄘㄚ,,llt,llc,ㄌㄌㄘ,,True,False
內重巡,lāi-tîng-sûn,16,lāi-têng-sûn,lai7ting5sun5,lai7teng5sun5,ㄌㄞ˫ㄉㄧㄥˊㄙㄨㄣˊ,,laitingsun,laitengsun,ㄌㄞㄉㄧㄥㄙㄨㄣ,,lts,lts,ㄌㄉㄙ,,True,False
內野手,lāi-iá-tshiú,16,lāi-iá-chhiú,lai7ia2tshiu2,lai7ia2chhiu2,ㄌㄞ˫ㄧㄚˋㄑㄧㄨˋ,,laiiatshiu,laiiachhiu,ㄌㄞㄧㄚㄑㄧㄨ,,lit,lic,ㄌㄧㄑ,,True,False
全壘打,tsuân-luí-tánn,16,choân-lúi-táⁿ,tsuan5lui2tann2,choan5lui2tann2,ㄗㄨㄢˊㄌㄨㄧˋㄉㆩˋ,,tsuanluitann,choanluitann,ㄗㄨㄢㄌㄨㄧㄉㆩ,,tlt,clt,ㄗㄌㄉ,,True,False
冰風暴,ping-hong-pō,16,peng-hong-pō,ping1hong1po7,peng1hong1po7,ㄅㄧㄥㄏㆲㄅㄛ˫,,pinghongpo,penghongpo,ㄅㄧㄥㄏㆲㄅㄛ,,php,php,ㄅㄏㄅ,,True,False
冷智識,líng-tì-sik,16,léng-tì-sek,ling2ti3sik4,leng2ti3sek4,ㄌㄧㄥˋㄉㄧ˪ㄒㄧㆻ,,lingtisik,lengtisek,ㄌㄧㄥㄉㄧㄒㄧㆻ,,lts,lts,ㄌㄉㄒ,,True,False
出場數,tshut-tiûnn-sòo,16,chhut-tiûⁿ-sò͘,tshut4tiunn5soo3,chhut4tiunn5soo3,ㄘㄨㆵㄉㄧㆫˊㄙㆦ˪,,tshuttiunnsoo,chhuttiunnsoo,ㄘㄨㆵㄉㄧㆫㄙㆦ,,tts,cts,ㄘㄉㄙ,,True,False
出手點,tshut-tshiú-tiám,16,chhut-chhiú-tiám,tshut4tshiu2tiam2,chhut4chhiu2tiam2,ㄘㄨㆵㄑㄧㄨˋㄉㄧㆰˋ,,tshuttshiutiam,chhutchhiutiam,ㄘㄨㆵㄑㄧㄨㄉㄧㆰ,,ttt,cct,ㄘㄑㄉ,,True,False
出賽數,tshut-sài-sòo,16,chhut-sài-sò͘,tshut4sai3soo3,chhut4sai3soo3,ㄘㄨㆵㄙㄞ˪ㄙㆦ˪,,tshutsaisoo,chhutsaisoo,ㄘㄨㆵㄙㄞㄙㆦ,,tss,css,ㄘㄙㄙ,,True,False
分析師,hun-sik-su,16,hun-sek-su,hun1sik4su1,hun1sek4su1,ㄏㄨㄣㄒㄧㆻㄙㄨ,,hunsiksu,hunseksu,ㄏㄨㄣㄒㄧㆻㄙㄨ,,hss,hss,ㄏㄒㄙ,,True,False
分道喙,pun-tō-tshuì,16,pun-tō-chhùi,pun1to7tshui3,pun1to7chhui3,ㄅㄨㄣㄉㄛ˫ㄘㄨㄧ˪,,puntotshui,puntochhui,ㄅㄨㄣㄉㄛㄘㄨㄧ,,ptt,ptc,ㄅㄉㄘ,,True,False
切入,tshiat--ji̍p,16,chhiat--ji̍p,tshiat4jip8,chhiat4jip8,ㄑㄧㄚㆵㆢㄧㆴ̇,,tshiatjip,chhiatjip,ㄑㄧㄚㆵㆢㄧㆴ,,tj,cj,ㄑㆢ,,True,False
切入,tshiat--li̍p,16,chhiat--li̍p,tshiat4lip8,chhiat4lip8,ㄑㄧㄚㆵㄌㄧㆴ̇,,tshiatlip,chhiatlip,ㄑㄧㄚㆵㄌㄧㆴ,,tl,cl,ㄑㄌ,,True,False
刪除線,san-tî-suànn,16,san-tî-sòaⁿ,san1ti5suann3,san1ti5soann3,ㄙㄢㄉㄧˊㄙㄨㆩ˪,,santisuann,santisoann,ㄙㄢㄉㄧㄙㄨㆩ,,sts,sts,ㄙㄉㄙ,,True,True
刪除線,san-tû-suànn,16,san-tû-sòaⁿ,san1tu5suann3,san1tu5soann3,ㄙㄢㄉㄨˊㄙㄨㆩ˪,,santusuann,santusoann,ㄙㄢㄉㄨㄙㄨㆩ,,sts,sts,ㄙㄉㄙ,,True,True
刺目眉,tshiah ba̍k-bâi,16,chhiah ba̍k-bâi,tshiah4bak8bai5,chhiah4bak8bai5,ㄑㄧㄚㆷㆠㄚㆻ̇ㆠㄞˊ,,tshiahbakbai,chhiahbakbai,ㄑㄧㄚㆷㆠㄚㆻㆠㄞ,,tbb,cbb,ㄑㆠㆠ,,True,False
剪貼簿,tsián-tah-phōo,16,chián-tah-phō͘,tsian2tah4phoo7,chian2tah4phoo7,ㄐㄧㄢˋㄉㄚㆷㄆㆦ˫,,tsiantahphoo,chiantahphoo,ㄐㄧㄢㄉㄚㆷㄆㆦ,,ttp,ctp,ㄐㄉㄆ,,True,False
副領隊,hù-niá-tuī,16,hù-niá-tūi,hu3nia2tui7,hu3nia2tui7,ㄏㄨ˪ㄋㄧㄚˋㄉㄨㄧ˫,,huniatui,huniatui,ㄏㄨㄋㄧㄚㄉㄨㄧ,,hnt,hnt,ㄏㄋㄉ,,True,False
副食品,hù-si̍t-phín,16,hù-si̍t-phín,hu3sit8phin2,hu3sit8phin2,ㄏㄨ˪ㄒㄧㆵ̇ㄆㄧㄣˋ,,husitphin,husitphin,ㄏㄨㄒㄧㆵㄆㄧㄣ,,hsp,hsp,ㄏㄒㄆ,,True,False
