tl,hanzi,drop_reason
ah-pńg,押榜,duplicate
ah-sī,,duplicate
ah-sī,,duplicate
ah-sī,,duplicate
ah-siúnn,鴨賞,duplicate
ai,哀,duplicate
ai,哀,duplicate
ài,愛,duplicate
ài,愛,duplicate
ài,愛,duplicate
ài,愛,duplicate
ài,愛,duplicate
ài,愛,duplicate
ài-beh,愛欲,duplicate
ài-beh,愛欲,duplicate
ài-tshap-sū,愛插事,duplicate
ài-tshiò,愛笑,duplicate
ài-hông,愛紅,duplicate
ài-jîn,愛人,duplicate
ài-jîn,愛人,duplicate
ài-jîn,愛人,duplicate
ài-jîn,愛人,duplicate
ài-jîn-á,愛人仔,duplicate
ài-khàu,愛哭,duplicate
ài-khàu-bīn,愛哭面,duplicate
ài-khùn,愛睏,duplicate
ài-khùn-ba̍k,愛睏目,duplicate
ài-khùn-sîn,愛睏神,duplicate
ài-kiau,愛嬌,duplicate
ài-māi,曖昧,duplicate
ài-sńg,愛耍,duplicate
a-î,阿姨,duplicate
a-î,阿姨,duplicate
a-iân,亞鉛,duplicate
a-iân,亞鉛,duplicate
a-iân,亞鉛,duplicate
a-iân-pán,亞鉛板,duplicate
a-iân-pán,亞鉛板,duplicate
a-iân-phiánn,亞鉛鉼,duplicate
a-iân-thih,亞鉛鐵,duplicate
ai-iah,唉呀,duplicate
āinn,,duplicate
ai-uàn,哀怨,duplicate
ai-sû,哀詞,duplicate
ak,沃,duplicate
ak,沃,duplicate
ak,沃,duplicate
a̍k-á,,duplicate
a-káu-khì,阿狗氣,duplicate
ak-tsak,偓促,duplicate
ak-tsak,偓促,duplicate
ak-tsak,偓促,duplicate
ak-tsak,偓促,duplicate
ak-tsak,偓促,duplicate
ak-tsak,偓促,duplicate
ak-tsak,偓促,duplicate
ak-tsa̍k,齷齪,duplicate
ak-tsak-hué,偓促火,duplicate
ak-tsak-jua̍h,偓促熱,duplicate
ak-tsak-jua̍h,偓促熱,duplicate
a-kīm,阿妗,duplicate
a-kīm,阿妗,duplicate
a-kong,阿公,duplicate
a-kong,阿公,duplicate
a-koo,阿姑,duplicate
a-koo,阿姑,duplicate
a-koo,阿姑,duplicate
ak-tâm,,duplicate
a-kū,阿舅,duplicate
a-kū,阿舅,duplicate
am,掩,duplicate
am,闇,duplicate
ám,,duplicate
a-ḿ,阿姆,duplicate
a-ḿ,阿姆,duplicate
