tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tiām-tīnn,恬淀,25,tiām-tīⁿ,tiam7tinn7,tiam7tinn7,tiamtinn,tiamtinn,tt,tt
tiām-tio̍k,恬著,25,tiām-tio̍k,tiam7tiok8,tiam7tiok8,tiamtiok,tiamtiok,tt,tt
tiām-tsīng,恬靜,25,tiām-chēng,tiam7tsing7,tiam7cheng7,tiamtsing,tiamcheng,tt,tc
tiām-hong,恬風,25,tiām-hong,tiam7hong,tiam7hong,tiamhong,tiamhong,th,th
tiām-iâm,恬鹽,25,tiām-iâm,tiam7iam5,tiam7iam5,tiamiam,tiamiam,ti,ti
kiong-jîn,恭人,25,kiong-jîn,kiongjin5,kiongjin5,kiongjin,kiongjin,kj,kj
kiong-khiām,恭儉,25,kiong-khiām,kiongkhiam7,kiongkhiam7,kiongkhiam,kiongkhiam,kk,kk
kiong-hí,恭喜,25,kiong-hí,kionghi2,kionghi2,kionghi,kionghi,kh,kh
kiong-kìng,恭敬,25,kiong-kèng,kiongking3,kiongkeng3,kiongking,kiongkeng,kk,kk
kiong-hō,恭賀,25,kiong-hō,kiongho7,kiongho7,kiongho,kiongho,kh,kh
kiong-bán,恭輓,25,kiong-bán,kiongban2,kiongban2,kiongban,kiongban,kb,kb
kiong-gîng,恭迎,25,kiong-gêng,kiongging5,kionggeng5,kiongging,kionggeng,kg,kg
kiong-sūn,恭順,25,kiong-sūn,kiongsun7,kiongsun7,kiongsun,kiongsun,ks,ks
suah-hua̍h,息hua̍h,25,soah-hoa̍h,suahhuah8,soahhoah8,suahhuah,soahhoah,sh,sh
suah-liáu,息了,25,soah-liáu,suahliau2,soahliau2,suahliau,soahliau,sl,sl
sik-hu,息夫,25,sek-hu,sikhu,sekhu,sikhu,sekhu,sh,sh
suah-bé,息尾,25,soah-bé,suahbe2,soahbe2,suahbe,soahbe,sb,sb
