hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,stti,is_variant
旋律,suân-lu̍t,25,soân-lu̍t,suan5lut8,soan5lut8,ㄙㄨㄢˊㄌㄨㆵ̇,suanlut,soanlut,ㄙㄨㄢㄌㄨㆵ,sl,sl,ㄙㄌ,True,False
旋藤,suan-tîn,25,soan-tîn,suan1tin5,soan1tin5,ㄙㄨㄢㄉㄧㄣˊ,suantin,soantin,ㄙㄨㄢㄉㄧㄣ,st,st,ㄙㄉ,True,False
族譜,tso̍k-phóo,25,cho̍k-phó͘,tsok8phoo2,chok8phoo2,ㄗㆦㆻ̇ㄆㆦˋ,tsokphoo,chokphoo,ㄗㆦㆻㄆㆦ,tp,cp,ㄗㄆ,True,False
日晷,ji̍t-kuí,25,ji̍t-kúi,jit8kui2,jit8kui2,ㆢㄧㆵ̇ㄍㄨㄧˋ,jitkui,jitkui,ㆢㄧㆵㄍㄨㄧ,jk,jk,ㆢㄍ,True,False
日記,ji̍t-kì,25,ji̍t-kì,jit8ki3,jit8ki3,ㆢㄧㆵ̇ㄍㄧ˪,jitki,jitki,ㆢㄧㆵㄍㄧ,jk,jk,ㆢㄍ,True,False
日誌,ji̍t-tsì,25,ji̍t-chì,jit8tsi3,jit8chi3,ㆢㄧㆵ̇ㄐㄧ˪,jittsi,jitchi,ㆢㄧㆵㄐㄧ,jt,jc,ㆢㄐ,True,False
日鬚,ji̍t-tshiu,25,ji̍t-chhiu,jit8tshiu1,jit8chhiu1,ㆢㄧㆵ̇ㄑㄧㄨ,jittshiu,jitchhiu,ㆢㄧㆵㄑㄧㄨ,jt,jc,ㆢㄑ,True,False
昆蟲,khun-thiông,25,khun-thiông,khun1thiong5,khun1thiong5,ㄎㄨㄣㄊㄧㆲˊ,khunthiong,khunthiong,ㄎㄨㄣㄊㄧㆲ,kt,kt,ㄎㄊ,True,False
明喻,bîng-jū,25,bêng-jū,bing5ju7,beng5ju7,ㆠㄧㄥˊㆡㄨ˫,bingju,bengju,ㆠㄧㄥㆡㄨ,bj,bj,ㆠㆡ,True,False
明礬,bîng-huân,25,bêng-hoân,bing5huan5,beng5hoan5,ㆠㄧㄥˊㄏㄨㄢˊ,binghuan,benghoan,ㆠㄧㄥㄏㄨㄢ,bh,bh,ㆠㄏ,True,False
星光,tshenn-kng,25,chheⁿ-kng,tshenn1kng1,chhenn1kng1,ㄘㆥㄍㆭ,tshennkng,chhennkng,ㄘㆥㄍㆭ,tk,ck,ㄘㄍ,True,False
星圖,sing-tôo,25,seng-tô͘,sing1too5,seng1too5,ㄒㄧㄥㄉㆦˊ,singtoo,sengtoo,ㄒㄧㄥㄉㆦ,st,st,ㄒㄉ,True,False
星圖,tshenn-tôo,25,chheⁿ-tô͘,tshenn1too5,chhenn1too5,ㄘㆥㄉㆦˊ,tshenntoo,chhenntoo,ㄘㆥㄉㆦ,tt,ct,ㄘㄉ,True,False
星宿,sing-siù,25,seng-siù,sing1siu3,seng1siu3,ㄒㄧㄥㄒㄧㄨ˪,singsiu,sengsiu,ㄒㄧㄥㄒㄧㄨ,ss,ss,ㄒㄒ,True,False
星座,tshenn-tsō,25,chheⁿ-chō,tshenn1tso7,chhenn1cho7,ㄘㆥㄗㄛ˫,tshenntso,chhenncho,ㄘㆥㄗㄛ,tt,cc,ㄘㄗ,True,False
星球,sing-kiû,25,seng-kiû,sing1kiu5,seng1kiu5,ㄒㄧㄥㄍㄧㄨˊ,singkiu,sengkiu,ㄒㄧㄥㄍㄧㄨ,sk,sk,ㄒㄍ,True,False
星球,tshenn-kiû,25,chheⁿ-kiû,tshenn1kiu5,chhenn1kiu5,ㄘㆥㄍㄧㄨˊ,tshennkiu,chhennkiu,ㄘㆥㄍㄧㄨ,tk,ck,ㄘㄍ,True,False
星空,sing-khong,25,seng-khong,sing1khong1,seng1khong1,ㄒㄧㄥㄎㆲ,singkhong,sengkhong,ㄒㄧㄥㄎㆲ,sk,sk,ㄒㄎ,True,False
星等,tshenn-tíng,25,chheⁿ-téng,tshenn1ting2,chhenn1teng2,ㄘㆥㄉㄧㄥˋ,tshennting,chhennteng,ㄘㆥㄉㄧㄥ,tt,ct,ㄘㄉ,True,False
星象,sing-siōng,25,seng-siōng,sing1siong7,seng1siong7,ㄒㄧㄥㄒㄧㆲ˫,singsiong,sengsiong,ㄒㄧㄥㄒㄧㆲ,ss,ss,ㄒㄒ,True,False
星象,tshenn-siōng,25,chheⁿ-siōng,tshenn1siong7,chhenn1siong7,ㄘㆥㄒㄧㆲ˫,tshennsiong,chhennsiong,ㄘㆥㄒㄧㆲ,ts,cs,ㄘㄒ,True,False
星雲,sing-hûn,25,seng-hûn,sing1hun5,seng1hun5,ㄒㄧㄥㄏㄨㄣˊ,singhun,senghun,ㄒㄧㄥㄏㄨㄣ,sh,sh,ㄒㄏ,True,False
星雲,tshenn-hûn,25,chheⁿ-hûn,tshenn1hun5,chhenn1hun5,ㄘㆥㄏㄨㄣˊ,tshennhun,chhennhun,ㄘㆥㄏㄨㄣ,th,ch,ㄘㄏ,True,False
星體,sing-thé,25,seng-thé,sing1the2,seng1the2,ㄒㄧㄥㄊㆤˋ,singthe,sengthe,ㄒㄧㄥㄊㆤ,st,st,ㄒㄊ,True,False
星體,tshenn-thé,25,chheⁿ-thé,tshenn1the2,chhenn1the2,ㄘㆥㄊㆤˋ,tshennthe,chhennthe,ㄘㆥㄊㆤ,tt,ct,ㄘㄊ,True,False
