hanzi,tl
儩,sìr
儩,sù
使,sír
使,sìr
史,sír
駛,sír
鉂,sír
鉂,sú
侍,sīr
似,sǐr
似,sīr
佀,sǐr
佀,sīr
泤,sǐr
泤,sīr
泤,sū
姒,sǐr
姒,sīr
耜,sǐr
耜,sīr
耜,sū
䎣,sǐr
䎣,sīr
䎣,sū
鈻,sǐr
鈻,sīr
鈻,sū
釲,sǐr
釲,sīr
釲,sū
巳,sǐr
巳,sīr
汜,sǐr
汜,sīr
戺,sǐr
戺,sīr
祀,sǐr
祀,sīr
禩,sǐr
禩,sīr
禩,sū
思,sir
思,sìr
鍶,sir
鍶,su
媤,sir
媤,su
楒,sir
偲,sir
禗,sir
禗,su
緦,sir
罳,sir
愢,sir
愢,su
愢,sai
颸,sir
颸,tshir
颸,tshu
騦,sir
騦,su
恖,sir
恖,su
恖,sìr
恖,sù
私,sir
俬,sir
俬,su
厶,sir
鈶,sǐr
鈶,sīr
辝,sîr
辝,sû
辞,sîr
辞,sû
辤,sîr
辤,sû
辭,sîr
叓,sīr
叓,sū
亖,sìr
亖,sù
柶,sìr
柶,sù
泗,sìr
駟,sìr
牭,sìr
牭,sù
㹑,sìr
㹑,sù
肆,sìr
蕼,sìr
蕼,sù
貄,sǐr
貄,sīr
貄,sū
肂,sìr
庶,sìr
鏣,sìr
鏣,sù
謶,sìr
謶,sù
杫,sìr
杫,sù
蜤,sir
蜤,su
僿,sìr
僿,sù
絮,sìr
恕,sìr
洍,sǐr
洍,sīr
洍,sū
食,sīr
食,sū
藇,sǐr
藇,sīr
鱮,sǐr
鱮,sīr
鵨,sir
鵨,su
舒,sir
序,sǐr
序,sīr
序,sǐ
垿,sǐr
垿,sīr
垿,sū
紓,sir
抒,sir
抒,su
汿,sǐr
汿,sīr
汿,sū
沀,sǐr
沀,sīr
沀,sū
芧,sǐr
芧,sīr
芧,tǐr
芧,tīr
芧,tū
貯,thír
貯,teré
詝,thír
苧,tǐr
苧,tīr
苧,tū
苧,tuě
苧,terě
紵,tǐr
紵,tīr
紵,tū
坾,tǐr
坾,tīr
坾,tū
眝,tǐr
眝,tīr
眝,tū
泞,tǐr
泞,tīr
泞,tū
羜,tǐr
羜,tīr
羜,tū
宁,tǐr
宁,tīr
宁,tū
竚,tǐr
竚,tīr
竚,tū
佇,tír
佇,tú
伫,tǐr
伫,tīr
伫,tū
涂,tîr
涂,tû
滁,tîr
篨,tîr
蒢,tîr
著,tìr
躇,tîr
櫡,tīr
瀦,tir
瀦,tu
櫫,tir
櫫,tu
藸,tir
藸,tu
鉏,tîr
鉏,tû
莇,tīr
莇,tū
耡,tîr
耡,tû
耡,thîr
耡,thî
底,tǐr
底,tīr
底,tǐ
杼,tǐr
杼,tīr
杼,tū
杼,thír
杵,thír
杵,tshír
鋤,thîr
攄,thir
樗,thir
摴,thir
摢,thir
摢,thu
楮,thír
楮,thú
褚,thír
儲,thír
儲,thú
慈,tshîr
慈,tsîr
處,tshír
覷,tshìr
差,tshir
差,tshu
縒,tshir
縒,tshu
嵯,tshir
嵳,tshir
齹,tshir
齹,tshu
蠀,tshir
蠀,tshu
佽,tshìr
栨,tshìr
絘,tshìr
絘,tshù
趦,tshir
趦,tshu
趑,tshir
趑,tshu
赼,tshir
赼,tshu
趀,tshir
趀,tshu
此,tshír
跐,tshír
𧿿,tshír
𧿿,tshú
雌,tshir
玼,tshír
玼,tshú
玼,tshir
玼,tshu
皉,tshír
皉,tshú
疵,tshir
疵,tshu
䳄,tshir
䳄,tshu
䳄,tsir
䳄,tsu
訾,tshír
訾,tsír
訾,tsú
訾,tsir
訾,tsu
訿,tshír
訿,tsír
訿,tsú
泚,tshír
泚,tsír
泚,tsú
眦,tshîr
眦,tsīr
眦,tsū
眥,tshîr
眥,tsīr
眥,tsū
鈭,tshir
鈭,tshu
鈭,tsir
鈭,tsu
佌,tshír
偨,tshir
偨,tshu
癙,tshír
徐,tshîr
徐,tshû
竌,tshìr
竌,tshù
且,tshir
且,tshu
疽,tshir
疽,tshu
疽,tsir
