tl,hanzi,frequency,poj
ting-tông,橙桐,25,teng-tông
ting-lân,橙欄,25,teng-lân
tuânn-hiunn,檀香,25,tôaⁿ-hiuⁿ
tâi-á,檯仔,25,tâi-á
luân-tshiū,欒樹,25,loân-chhiū
lám-jîn,欖仁,25,lám-jîn
tsí-kiong,止宮,25,chí-kiong
tsiànn-tshîng,正榕,25,chiàⁿ-chhêng
khak-tshài,殼菜,25,khak-chhài
mô-khī,毛柿,25,mô-khī
kiû-lân,毬蘭,25,kiû-lân
tsuí-kam,水柑,25,chúi-kam
tsuí-liú,水柳,25,chúi-liú
tsuí-tsik,水燭,25,chúi-chek
tsuí-tîn,水籐,25,chúi-tîn
tsuí-ōo,水芋,25,chúi-ō͘
tsuí-kiô,水茄,25,chúi-kiô
tsuí-tsháu,水草,25,chúi-chháu
iû-bo̍k,油木,25,iû-bo̍k
iû-sam,油杉,25,iû-sam
iû-tshîng,油杉,25,iû-chhêng
iû-kam,油柑,25,iû-kam
iû-tê,油茶,25,iû-tê
iû-muâ,油麻,25,iû-môa
hái-tông,海棠,25,hái-tông
lîm-lî,淋漓,25,lîm-lî
tām-tik,淡竹,25,tām-tek
siap-lâi,澁梨,25,siap-lâi
siap-hio̍h,澁葉,25,siap-hio̍h
ti̍k-lân,澤蘭,25,te̍k-lân
oo-sam,烏杉,25,o͘-sam
oo-tshîng,烏榕,25,o͘-chhêng
oo-tāu,烏豆,25,o͘-tāu
oo-muâ,烏麻,25,o͘-môa
hun-tsháu,煙草,25,hun-chháu
nuā-sim,爛心,25,nōa-sim
gû-tsiunn,牛樟,25,gû-chiuⁿ
giû-tshik,牛膝,25,giû-chhek
káu-tsit,狗脊,25,káu-chit
bíng-tshiū,猛樹,25,béng-chhiū
to̍k-hua̍t,獨活,25,to̍k-hoa̍t
giô-tsí,玉枳,25,giô-chí
tinn-kiat,甜橘,25,tiⁿ-kiat
tinn-tshài,甜菜,25,tiⁿ-chhài
tinn-be̍h,甜麥,25,tiⁿ-be̍h
tshinn-kiunn,生姜,25,chhiⁿ-kiuⁿ
tshân-tshinn,田菁,25,chhân-chhiⁿ
tshân-tsû,田薯,25,chhân-chû
pe̍h-á,白仔,25,pe̍h-á
pe̍h-mn̂g,白們,25,pe̍h-mn̂g
pe̍h-pû,白匏,25,pe̍h-pû
pe̍h-khing,白柏,25,pe̍h-kheng
pe̍h-tông,白桐,25,pe̍h-tông
pe̍h-muî,白梅,25,pe̍h-mûi
pe̍h-tshîng,白榕,25,pe̍h-chhêng
pe̍h-tshiū,白樹,25,pe̍h-chhiū
pe̍h-tāu,白豆,25,pe̍h-tāu
pe̍h-gûn,白銀,25,pe̍h-gûn
pe̍h-lîn,白隣,25,pe̍h-lîn
pe̍h-muâ,白麻,25,pe̍h-môa
tsinn-tik,矢竹,25,chiⁿ-tek
tsio̍h-kiàm,石劍,25,chio̍h-kiàm
tsio̍h-phok,石博,25,chio̍h-phok
tsio̍h-ge̍h,石月,25,chio̍h-ge̍h
