tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
siunn-sè,傷細,25,siuⁿ-sè,siunnse3,siunnse3,siunnse,siunnse
siunn-pa̍k,傷縛,25,siuⁿ-pa̍k,siunnpak8,siunnpak8,siunnpak,siunnpak
siong-tsiá,傷者,25,siong-chiá,siongtsia2,siongchia2,siongtsia,siongchia
siong-tōo,傷肚,25,siong-tō͘,siongtoo7,siongtoo7,siongtoo,siongtoo
siunn-puî,傷肥,25,siuⁿ-pûi,siunnpui5,siunnpui5,siunnpui,siunnpui
siong-uī,傷胃,25,siong-ūi,siongui7,siongui7,siongui,siongui
siong-pî,傷脾,25,siong-pî,siongpi5,siongpi5,siongpi,siongpi
siong-hûn,傷跡,25,siong-hûn,sionghun5,sionghun5,sionghun,sionghun
siong-jiah,傷跡,25,siong-jiah,siongjiah,siongjiah,siongjiah,siongjiah
siong-liah,傷跡,25,siong-liah,siongliah,siongliah,siongliah,siongliah
siunn-kè,傷路,25,siuⁿ-kè,siunnke3,siunnke3,siunnke,siunnke
siunn-kuè,傷過,25,siuⁿ-kòe,siunnkue3,siunnkoe3,siunnkue,siunnkoe
siong-tsiú,傷酒,25,siong-chiú,siongtsiu2,siongchiu2,siongtsiu,siongchiu
siong-tiōng,傷重,25,siong-tiōng,siongtiong7,siongtiong7,siongtiong,siongtiong
siong-hong,傷風,25,siong-hong,sionghong,sionghong,sionghong,sionghong
siong-si̍t,傷食,25,siong-si̍t,siongsit8,siongsit8,siongsit,siongsit
khing-tó,傾倒,25,kheng-tó,khingto2,khengto2,khingto,khengto
khing-thòo,傾吐,25,kheng-thò͘,khingthoo3,khengthoo3,khingthoo,khengthoo
khing-hiòng,傾向,25,kheng-hiòng,khinghiong3,khenghiong3,khinghiong,khenghiong
khing-sim,傾心,25,kheng-sim,khingsim,khengsim,khingsim,khengsim
khing-khang,傾空,25,kheng-khang,khingkhang,khengkhang,khingkhang,khengkhang
khing-khong,傾空,25,kheng-khong,khingkhong,khengkhong,khingkhong,khengkhong
khing-thing,傾聽,25,kheng-theng,khingthing,khengtheng,khingthing,khengtheng
khing-siau,傾銷,25,kheng-siau,khingsiau,khengsiau,khingsiau,khengsiau
kín-iú,僅有,25,kín-iú,kin2iu2,kin2iu2,kiniu,kiniu
