tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian
kún,袞,50,kún,kun2,kun2,kun,kun,,,True
phuàn,袢,50,phoàn,phuan3,phoan3,phuan,phoan,,,True
bōo,袤,50,bō͘,boo7,boo7,boo,boo,,,True
thok,袥,50,thok,thok,thok,thok,thok,,,True
hiân,袨,50,hiân,hian5,hian5,hian,hian,,,True
hiān,袨,50,hiān,hian7,hian7,hian,hian,,,True
khu,袪,50,khu,khu,khu,khu,khu,,,True
phēr,被,50,phēr,pher7,pher7,pher,pher,,,True
khuà,袴,50,khòa,khua3,khoa3,khua,khoa,,,True
khòo,袴,50,khò͘,khoo3,khoo3,khoo,khoo,,,True
jím,袵,50,jím,jim2,jim2,jim,jim,,,True
khap,袷,50,khap,khap,khap,khap,khap,,,True
kiap,袷,50,kiap,kiap,kiap,kiap,kiap,,,True
khiat,袺,50,khiat,khiat,khiat,khiat,khiat,,,True
kiat,袺,50,kiat,kiat,kiat,kiat,kiat,,,True
jî,袻,50,jî,ji5,ji5,ji,ji,,,True
kok,袼,50,kok,kok,kok,kok,kok,,,True
jû,袽,50,jû,ju5,ju5,ju,ju,,,True
tsu,袾,50,chu,tsu,chu,tsu,chu,,,True
in,裀,50,in,in,in,in,in,,,True
liah,裂,50,liah,liah,liah,liah,liah,,,True
lia̍t,裂,50,lia̍t,liat8,liat8,liat,liat,,,True
khùn,裉,50,khùn,khun3,khun3,khun,khun,,,True
niáu,裊,50,niáu,niau2,niau2,niau,niau,,,True
sū,裋,50,sū,su7,su7,su,su,,,True
tuán,裋,50,toán,tuan2,toan2,tuan,toan,,,True
kiap,裌,50,kiap,kiap,kiap,kiap,kiap,,,True
khún,裍,50,khún,khun2,khun2,khun,khun,,,True
thíng,裎,50,théng,thing2,theng2,thing,theng,,,True
thîng,裎,50,thêng,thing5,theng5,thing,theng,,,True
tîng,裎,50,têng,ting5,teng5,ting,teng,,,True
lí,裏,50,lí,li2,li2,li,li,,,True
piô,裒,50,piô,pio5,pio5,pio,pio,,,True
è,裔,50,è,e3,e3,e,e,,,True
ì,裔,50,ì,i3,i3,i,i,,,True
jī,裕,50,jī,ji7,ji7,ji,ji,,,True
jū,裕,50,jū,ju7,ju7,ju,ju,,,True
lū,裕,50,lū,lu7,lu7,lu,lu,,,True
kiû,裘,50,kiû,kiu5,kiu5,kiu,kiu,,,True
ip,裛,50,ip,ip,ip,ip,ip,,,True
sa,裟,50,sa,sa,sa,sa,sa,,,True
se,裟,50,se,se,se,se,se,,,True
thám,裧,50,thám,tham2,tham2,tham,tham,,,True
tshiam,裧,50,chhiam,tshiam,chhiam,tshiam,chhiam,,,True
pi,裨,50,pi,pi,pi,pi,pi,,,True
pî,裨,50,pî,pi5,pi5,pi,pi,,,True
lîng,裬,50,lêng,ling5,leng5,ling,leng,,,True
tshiong,裮,50,chhiong,tshiong,chhiong,tshiong,chhiong,,,True
tiû,裯,50,tiû,tiu5,tiu5,tiu,tiu,,,True
to,裯,50,to,to,to,to,to,,,True
tû,裯,50,tû,tu5,tu5,tu,tu,,,True
tuat,裰,50,toat,tuat,toat,tuat,toat,,,True
piáu,裱,50,piáu,piau2,piau2,piau,piau,,,True
siông,裳,50,siông,siong5,siong5,siong,siong,,,True
puê,裴,50,pôe,pue5,poe5,pue,poe,,,True
pâi,裴,50,pâi,pai5,pai5,pai,pai,,,True
puê,裵,50,pôe,pue5,poe5,pue,poe,,,True
hui,裶,50,hui,hui,hui,hui,hui,,,True
lōo,裸,50,lō͘,loo7,loo7,loo,loo,,,True
kó,裹,50,kó,ko2,ko2,ko,ko,,,True
kóo,裹,50,kó͘,koo2,koo2,koo,koo,,,True
iám,裺,50,iám,iam2,iam2,iam,iam,,,True
tok,裻,50,tok,tok,tok,tok,tok,,,True
theh,裼,50,theh,theh,theh,theh,theh,,,True
thik,裼,50,thek,thik,thek,thik,thek,,,True
tsì,製,50,chì,tsi3,chi3,tsi,chi,,,True
kuà,褂,50,kòa,kua3,koa3,kua,koa,,,True
thè,褅,50,thè,the3,the3,the,the,,,True
tè,褅,50,tè,te3,te3,te,te,,,True
sī,褆,50,sī,si7,si7,si,si,,,True
hok,複,50,hok,hok,hok,hok,hok,,,True
hē,褉,50,hē,he7,he7,he,he,,,True
pián,褊,50,pián,pian2,pian2,pian,pian,,,True
khun,褌,50,khun,khun,khun,khun,khun,,,True
kun,褌,50,kun,kun,kun,kun,kun,,,True
hat,褐,50,hat,hat,hat,hat,hat,,,True
uān,褑,50,oān,uan7,oan7,uan,oan,,,True
poo,褒,50,po͘,poo,poo,poo,poo,,,True
por,褒,50,por,por,por,por,por,,,True
pó,褓,50,pó,po2,po2,po,po,,,True
jû,褕,50,jû,ju5,ju5,ju,ju,,,True
thuàn,褖,50,thoàn,thuan3,thoan3,thuan,thoan,,,True
ián,褗,50,ián,ian2,ian2,ian,ian,,,True
uî,褘,50,ûi,ui5,ui5,ui,ui,,,True
puè,褙,50,pòe,pue3,poe3,pue,poe,,,True
pè,褙,50,pè,pe3,pe3,pe,pe,,,True
thí,褚,50,thí,thi2,thi2,thi,thi,,,True
thú,褚,50,thú,thu2,thu2,thu,thu,,,True
tsú,褚,50,chú,tsu2,chu2,tsu,chu,,,True
tap,褟,50,tap,tap,tap,tap,tap,,,True
koo,褠,50,ko͘,koo,koo,koo,koo,,,True
tap,褡,50,tap,tap,tap,tap,tap,,,True
huâi,褢,50,hoâi,huai5,hoai5,huai,hoai,,,True
gio̍k,褥,50,gio̍k,giok8,giok8,giok,giok,,,True
jio̍k,褥,50,jio̍k,jiok8,jiok8,jiok,jiok,,,True
lio̍k,褥,50,lio̍k,liok8,liok8,liok,liok,,,True
nāi,褦,50,nāi,nai7,nai7,nai,nai,,,True
kíng,褧,50,kéng,king2,keng2,king,keng,,,True
thuìnn,褪,50,thùiⁿ,thuinn3,thuinn3,thuinn,thuinn,,,True
thùn,褪,50,thùn,thun3,thun3,thun,thun,,,True
niáu,褭,50,niáu,niau2,niau2,niau,niau,,,True
tsià,褯,50,chià,tsia3,chia3,tsia,chia,,,True
khian,褰,50,khian,khian,khian,khian,khian,,,True
kián,褰,50,kián,kian2,kian2,kian,kian,,,True
huâi,褱,50,hoâi,huai5,hoai5,huai,hoai,,,True
liân,褳,50,liân,lian5,lian5,lian,lian,,,True
lî,褵,50,lî,li5,li5,li,li,,,True
si̍p,褶,50,si̍p,sip8,sip8,sip,sip,,,True
lú,褸,50,lú,lu2,lu2,lu,lu,,,True
gē,褹,50,gē,ge7,ge7,ge,ge,,,True
siat,褻,50,siat,siat,siat,siat,siat,,,True
tshian,褼,50,chhian,tshian,chhian,tshian,chhian,,,True
kióng,襁,50,kióng,kiong2,kiong2,kiong,kiong,,,True
iū,襃,50,iū,iu7,iu7,iu,iu,,,True
siang,襄,50,siang,siang,siang,siang,siang,,,True
siong,襄,50,siong,siong,siong,siong,siong,,,True
pok,襆,50,pok,pok,pok,pok,pok,,,True
tshuat,襊,50,chhoat,tshuat,chhoat,tshuat,chhoat,,,True
kik,襋,50,kek,kik,kek,kik,kek,,,True
puat,襏,50,poat,puat,poat,puat,poat,,,True
jiâu,襓,50,jiâu,jiau5,jiau5,jiau,jiau,,,True
to̍k,襗,50,to̍k,tok8,tok8,tok,tok,,,True
huē,襘,50,hōe,hue7,hoe7,hue,hoe,,,True
kuè,襘,50,kòe,kue3,koe3,kue,koe,,,True
tsing,襘,50,cheng,tsing,cheng,tsing,cheng,,,True
suī,襚,50,sūi,sui7,sui7,sui,sui,,,True
lông,襛,50,lông,long5,long5,long,long,,,True
liâm,襜,50,liâm,liam5,liam5,liam,liam,,,True
tshiam,襜,50,chhiam,tshiam,chhiam,tshiam,chhiam,,,True
liâm,襝,50,liâm,liam5,liam5,liam,liam,,,True
tshiam,襝,50,chhiam,tshiam,chhiam,tshiam,chhiam,,,True
phik,襞,50,phek,phik,phek,phik,phek,,,True
tong,襠,50,tong,tong,tong,tong,tong,,,True
sio̍k,襡,50,sio̍k,siok8,siok8,siok,siok,,,True
siān,襢,50,siān,sian7,sian7,sian,sian,,,True
thán,襢,50,thán,than2,than2,than,than,,,True
pī,襣,50,pī,pi7,pi7,pi,pi,,,True
lâm,襤,50,lâm,lam5,lam5,lam,lam,,,True
jû,襦,50,jû,ju5,ju5,ju,ju,,,True
sio̍k,襩,50,sio̍k,siok8,siok8,siok,siok,,,True
to̍k,襩,50,to̍k,tok8,tok8,tok,tok,,,True
be̍h,襪,50,be̍h,beh8,beh8,beh,beh,,,True
be̍rh,襪,50,be̍rh,berh8,berh8,berh,berh,,,True
bua̍t,襪,50,boa̍t,buat8,boat8,buat,boat,,,True
sik,襫,50,sek,sik,sek,sik,sek,,,True
khiat,襭,50,khiat,khiat,khiat,khiat,khiat,,,True
phok,襮,50,phok,phok,phok,phok,phok,,,True
tshàn,襯,50,chhàn,tshan3,chhan3,tshan,chhan,,,True
tshìn,襯,50,chhìn,tshin3,chhin3,tshin,chhin,,,True
liông,襱,50,liông,liong5,liong5,liong,liong,,,True
lông,襱,50,lông,long5,long5,long,long,,,True
si̍t,襲,50,si̍t,sit8,sit8,sit,sit,,,True
siam,襳,50,siam,siam,siam,siam,siam,,,True
tshiam,襳,50,chhiam,tshiam,chhiam,tshiam,chhiam,,,True
lân,襴,50,lân,lan5,lan5,lan,lan,,,True
liap,襵,50,liap,liap,liap,liap,liap,,,True
tsiap,襵,50,chiap,tsiap,chiap,tsiap,chiap,,,True
tài,襶,50,tài,tai3,tai3,tai,tai,,,True
kián,襺,50,kián,kian2,kian2,kian,kian,,,True
phàn,襻,50,phàn,phan3,phan3,phan,phan,,,True
hà,襾,50,hà,ha3,ha3,ha,ha,,,True
huān,覂,50,hoān,huan7,hoan7,huan,hoan,,,True
hōng,覂,50,hōng,hong7,hong7,hong,hong,,,True
sím,覃,50,sím,sim2,sim2,sim,sim,,,True
sîm,覃,50,sîm,sim5,sim5,sim,sim,,,True
thâm,覃,50,thâm,tham5,tham5,tham,tham,,,True
tsîm,覃,50,chîm,tsim5,chim5,tsim,chim,,,True
pà,覇,50,pà,pa3,pa3,pa,pa,,,True
hi̍k,覈,50,he̍k,hik8,hek8,hik,hek,,,True
hu̍t,覈,50,hu̍t,hut8,hut8,hut,hut,,,True
ki,覊,50,ki,ki,ki,ki,ki,,,True
khiàn,見,50,khiàn,khian3,khian3,khian,khian,,,True
kuan,覌,50,koan,kuan,koan,kuan,koan,,,True
kuàn,覌,50,koàn,kuan3,koan3,kuan,koan,,,True
kak,覐,50,kak,kak,kak,kak,kak,,,True
bi̍k,覓,50,be̍k,bik8,bek8,bik,bek,,,True
buâ,覓,50,bôa,bua5,boa5,bua,boa,,,True
bā,覓,50,bā,ba7,ba7,ba,ba,,,True
bǎ,覓,50,bǎ,ba6,ba6,ba,ba,,,True
bi̍k,覔,50,be̍k,bik8,bek8,bik,bek,,,True
bia̍t,覕,50,bia̍t,biat8,biat8,biat,biat,,,True
su,覗,50,su,su,su,su,su,,,True
tiam,覘,50,tiam,tiam,tiam,tiam,tiam,,,True
bi̍k,覛,50,be̍k,bik8,bek8,bik,bek,,,True
thiàu,覜,50,thiàu,thiau3,thiau3,thiau,thiau,,,True
tsì,覟,50,chì,tsi3,chi3,tsi,chi,,,True
hi̍k,覡,50,he̍k,hik8,hek8,hik,hek,,,True
jû,覦,50,jû,ju5,ju5,ju,ju,,,True
lám,覧,50,lám,lam2,lam2,lam,lam,,,True
tóo,覩,50,tó͘,too2,too2,too,too,,,True
khái,覬,50,khái,khai2,khai2,khai,khai,,,True
kì,覬,50,kì,ki3,ki3,ki,ki,,,True
bîng,覭,50,bêng,bing5,beng5,bing,beng,,,True
kòo,覯,50,kò͘,koo3,koo3,koo,koo,,,True
kīn,覲,50,kīn,kin7,kin7,kin,kin,,,True
lô,覶,50,lô,lo5,lo5,lo,lo,,,True
tshù,覷,50,chhù,tshu3,chhu3,tshu,chhu,,,True
hán,覸,50,hán,han2,han2,han,han,,,True
kàn,覸,50,kàn,kan3,kan3,kan,kan,,,True
lô,覼,50,lô,lo5,lo5,lo,lo,,,True
to̍k,覿,50,to̍k,tok8,tok8,tok,tok,,,True
kuàn,觀,50,koàn,kuan3,koan3,kuan,koan,,,True
kun,觔,50,kun,kun,kun,kun,kun,,,True
tshiok,觕,50,chhiok,tshiok,chhiok,tshiok,chhiok,,,True
tshoo,觕,50,chho͘,tshoo,chhoo,tshoo,chhoo,,,True
khuat,觖,50,khoat,khuat,khoat,khuat,khoat,,,True
kuat,觖,50,koat,kuat,koat,kuat,koat,,,True
koo,觚,50,ko͘,koo,koo,koo,koo,,,True
tsui,觜,50,chui,tsui,chui,tsui,chui,,,True
tí,觝,50,tí,ti2,ti2,ti,ti,,,True
huá,觟,50,hóa,hua2,hoa2,hua,hoa,,,True
hāi,觟,50,hāi,hai7,hai7,hai,hai,,,True
kik,觡,50,kek,kik,kek,kik,kek,,,True
kuè,解,50,kòe,kue3,koe3,kue,koe,,,True
kué,解,50,kóe,kue2,koe2,kue,koe,,,True
kè,解,50,kè,ke3,ke3,ke,ke,,,True
ké,解,50,ké,ke2,ke2,ke,ke,,,True
king,觥,50,keng,king,keng,king,keng,,,True
kong,觥,50,kong,kong,kong,kong,kong,,,True
kái,觧,50,kái,kai2,kai2,kai,kai,,,True
kiû,觩,50,kiû,kiu5,kiu5,kiu,kiu,,,True
sok,觫,50,sok,sok,sok,sok,sok,,,True
khi,觭,50,khi,khi,khi,khi,khi,,,True
kî,觭,50,kî,ki5,ki5,ki,ki,,,True
tánn,觰,50,táⁿ,tann2,tann2,tann,tann,,,True
pit,觱,50,pit,pit,pit,pit,pit,,,True
sin,觲,50,sin,sin,sin,sin,sin,,,True
kho̍k,觳,50,kho̍k,khok8,khok8,khok,khok,,,True
siong,觴,50,siong,siong,siong,siong,siong,,,True
king,觵,50,keng,king,keng,king,keng,,,True
kong,觵,50,kong,kong,kong,kong,kong,,,True
tì,觶,50,tì,ti3,ti3,ti,ti,,,True
tshik,觸,50,chhek,tshik,chhek,tshik,chhek,,,True
kuat,觼,50,koat,kuat,koat,kuat,koat,,,True
hê,觿,50,hê,he5,he5,he,he,,,True
gân,言,50,gân,gan5,gan5,gan,gan,,,True
tìng,訂,50,tèng,ting3,teng3,ting,teng,,,True
hù,訃,50,hù,hu3,hu3,hu,hu,,,True
kiû,訄,50,kiû,kiu5,kiu5,kiu,kiu,,,True
kiû,訅,50,kiû,kiu5,kiu5,kiu,kiu,,,True
kiàu,訆,50,kiàu,kiau3,kiau3,kiau,kiau,,,True
hông,訇,50,hông,hong5,hong5,hong,hong,,,True
ing,訇,50,eng,ing,eng,ing,eng,,,True
hông,訌,50,hông,hong5,hong5,hong,hong,,,True
kong,訌,50,kong,kong,kong,kong,kong,,,True
thóo,討,50,thó͘,thoo2,thoo2,thoo,thoo,,,True
thór,討,50,thór,thor2,thor2,thor,thor,,,True
hú,訏,50,hú,hu2,hu2,hu,hu,,,True
khiat,訐,50,khiat,khiat,khiat,khiat,khiat,,,True
si,訑,50,si,si,si,si,si,,,True
jīm,訒,50,jīm,jim7,jim7,jim,jim,,,True
san,訕,50,san,san,san,san,san,,,True
siàn,訕,50,siàn,sian3,sian3,sian,sian,,,True
sàn,訕,50,sàn,san3,san3,san,san,,,True
gut,訖,50,gut,gut,gut,gut,gut,,,True
gô,訛,50,gô,go5,go5,go,go,,,True
ngôo,訛,50,ngô͘,ngoo5,ngoo5,ngoo,ngoo,,,True
gā,訝,50,gā,ga7,ga7,ga,ga,,,True
siōng,訟,50,siōng,siong7,siong7,siong,siong,,,True
sín,訠,50,sín,sin2,sin2,sin,sin,,,True
hi,訢,50,hi,hi,hi,hi,hi,,,True
him,訢,50,him,him,him,him,him,,,True
lu̍t,訥,50,lu̍t,lut8,lut8,lut,lut,,,True
iû,訧,50,iû,iu5,iu5,iu,iu,,,True
tsí,訨,50,chí,tsi2,chi2,tsi,chi,,,True
hiong,訩,50,hiong,hiong,hiong,hiong,hiong,,,True
tshau,訬,50,chhau,tshau,chhau,tshau,chhau,,,True
hí,許,50,hí,hi2,hi2,hi,hi,,,True
hír,許,50,hír,hir2,hir2,hir,hir,,,True
hú,許,50,hú,hu2,hu2,hu,hu,,,True
khóo,許,50,khó͘,khoo2,khoo2,khoo,khoo,,,True
honn,訶,50,hoⁿ,honn,honn,honn,honn,,,True
sut,訹,50,sut,sut,sut,sut,sut,,,True
tsìng,証,50,chèng,tsing3,cheng3,tsing,cheng,,,True
tshú,訾,50,chhú,tshu2,chhu2,tshu,chhu,,,True
tshû,訾,50,chhû,tshu5,chhu5,tshu,chhu,,,True
tshú,訿,50,chhú,tshu2,chhu2,tshu,chhu,,,True
tshû,訿,50,chhû,tshu5,chhu5,tshu,chhu,,,True
tiam,詀,50,tiam,tiam,tiam,tiam,tiam,,,True
tshiam,詀,50,chhiam,tshiam,chhiam,tshiam,chhiam,,,True
tsām,詀,50,chām,tsam7,cham7,tsam,cham,,,True
kóo,詁,50,kó͘,koo2,koo2,koo,koo,,,True
tia̍t,詄,50,tia̍t,tiat8,tiat8,tiat,tiat,,,True
lîng,詅,50,lêng,ling5,leng5,ling,leng,,,True
tí,詆,50,tí,ti2,ti2,ti,ti,,,True
leré,詈,50,lére,lere2,lere2,lere,lere,,,True
lué,詈,50,lóe,lue2,loe2,lue,loe,,,True
lé,詈,50,lé,le2,le2,le,le,,,True
lī,詈,50,lī,li7,li7,li,li,,,True
lâu,詉,50,lâu,lau5,lau5,lau,lau,,,True
lōo,詉,50,lō͘,loo7,loo7,loo,loo,,,True
tsiù,詋,50,chiù,tsiu3,chiu3,tsiu,chiu,,,True
khàm,詌,50,khàm,kham3,kham3,kham,kham,,,True
kū,詎,50,kū,ku7,ku7,ku,ku,,,True
iàu,詏,50,iàu,iau3,iau3,iau,iau,,,True
áu,詏,50,áu,au2,au2,au,au,,,True
thô,詑,50,thô,tho5,tho5,tho,tho,,,True
tô,詑,50,tô,to5,to5,to,to,,,True
thài,詒,50,thài,thai3,thai3,thai,thai,,,True
tâi,詒,50,tâi,tai5,tai5,tai,tai,,,True
î,詒,50,î,i5,i5,i,i,,,True
tsiàu,詔,50,chiàu,tsiau3,chiau3,tsiau,chiau,,,True
phî,詖,50,phî,phi5,phi5,phi,phi,,,True
pì,詖,50,pì,pi3,pi3,pi,pi,,,True
híng,詗,50,héng,hing2,heng2,hing,heng,,,True
khut,詘,50,khut,khut,khut,khut,khut,,,True
thut,詘,50,thut,thut,thut,thut,thut,,,True
tsóo,詛,50,chó͘,tsoo2,choo2,tsoo,choo,,,True
thú,詝,50,thú,thu2,thu2,thu,thu,,,True
īng,詠,50,ēng,ing7,eng7,ing,eng,,,True
hú,詡,50,hú,hu2,hu2,hu,hu,,,True
gē,詣,50,gē,ge7,ge7,ge,ge,,,True
hóng,詤,50,hóng,hong2,hong2,hong,hong,,,True
sì,試,50,sì,si3,si3,si,si,,,True
hau,詨,50,hau,hau,hau,hau,hau,,,True
kau,詨,50,kau,kau,kau,kau,kau,,,True
hún,詪,50,hún,hun2,hun2,hun,hun,,,True
khún,詪,50,khún,khun2,khun2,khun,khun,,,True
kún,詪,50,kún,kun2,kun2,kun,kun,,,True
thà,詫,50,thà,tha3,tha3,tha,tha,,,True
tshà,詫,50,chhà,tsha3,chha3,tsha,chha,,,True
hōo,詬,50,hō͘,hoo7,hoo7,hoo,hoo,,,True
kòo,詬,50,kò͘,koo3,koo3,koo,koo,,,True
khuí,詭,50,khúi,khui2,khui2,khui,khui,,,True
tshuan,詮,50,chhoan,tshuan,chhoan,tshuan,chhoan,,,True
khiat,詰,50,khiat,khiat,khiat,khiat,khiat,,,True
huā,話,50,hōa,hua7,hoa7,hua,hoa,,,True
uā,話,50,ōa,ua7,oa7,ua,oa,,,True
siâng,詳,50,siâng,siang5,siang5,siang,siang,,,True
sin,詵,50,sin,sin,sin,sin,sin,,,True
siû,詶,50,siû,siu5,siu5,siu,siu,,,True
tshiû,詶,50,chhiû,tshiu5,chhiu5,tshiu,chhiu,,,True
tsiù,詶,50,chiù,tsiu3,chiu3,tsiu,chiu,,,True
tông,詷,50,tông,tong5,tong5,tong,tong,,,True
tsiam,詹,50,chiam,tsiam,chiam,tsiam,chiam,,,True
bi,詺,50,bi,bi,bi,bi,bi,,,True
gi̍k,詻,50,ge̍k,gik8,gek8,gik,gek,,,True
go̍k,詻,50,go̍k,gok8,gok8,gok,gok,,,True
gan,詽,50,gan,gan,gan,gan,gan,,,True
hian,詽,50,hian,hian,hian,hian,hian,,,True
kuà,詿,50,kòa,kua3,koa3,kua,koa,,,True
thiáu,誂,50,thiáu,thiau2,thiau2,thiau,thiau,,,True
tshí,誃,50,chhí,tshi2,chhi2,tshi,chhi,,,True
luí,誄,50,lúi,lui2,lui2,lui,lui,,,True
tu,誅,50,tu,tu,tu,tu,tu,,,True
khong,誆,50,khong,khong,khong,khong,khong,,,True
khòng,誆,50,khòng,khong3,khong3,khong,khong,,,True
kòng,誆,50,kòng,kong3,kong3,kong,kong,,,True
khua,誇,50,khoa,khua,khoa,khua,khoa,,,True
gīn,認,50,gīn,gin7,gin7,gin,gin,,,True
tshì,誎,50,chhì,tshi3,chhi3,tshi,chhi,,,True
lóng,誏,50,lóng,long2,long2,long,long,,,True
lōng,誏,50,lōng,long7,long7,long,long,,,True
ngôo,誐,50,ngô͘,ngoo5,ngoo5,ngoo,ngoo,,,True
kòng,誑,50,kòng,kong3,kong3,kong,kong,,,True
hi,誒,50,hi,hi,hi,hi,hi,,,True
sē,誓,50,sē,se7,se7,se,se,,,True
tān,誕,50,tān,tan7,tan7,tan,tan,,,True
puē,誖,50,pōe,pue7,poe7,pue,poe,,,True
pu̍t,誖,50,pu̍t,put8,put8,put,put,,,True
siàu,誚,50,siàu,siau3,siau3,siau,siau,,,True
gír,語,50,gír,gir2,gir2,gir,gir,,,True
kài,誡,50,kài,kai3,kai3,kai,kai,,,True
bû,誣,50,bû,bu5,bu5,bu,bu,,,True
khò,誥,50,khò,kho3,kho3,kho,kho,,,True
siōng,誦,50,siōng,siong7,siong7,siong,siong,,,True
phoo,誧,50,pho͘,phoo,phoo,phoo,phoo,,,True
huè,誨,50,hòe,hue3,hoe3,hue,hoe,,,True
kīng,誩,50,kēng,king7,keng7,king,keng,,,True
serh,說,50,serh,serh,serh,serh,serh,,,True
siâng,誰,50,siâng,siang5,siang5,siang,siang,,,True
suî,誰,50,sûi,sui5,sui5,sui,sui,,,True
tiâng,誰,50,tiâng,tiang5,tiang5,tiang,tiang,,,True
tsiâ,誰,50,chiâ,tsia5,chia5,tsia,chia,,,True
tsuî,誰,50,chûi,tsui5,chui5,tsui,chui,,,True
tsuī,誰,50,chūi,tsui7,chui7,tsui,chui,,,True
tsia̍t,誱,50,chia̍t,tsiat8,chiat8,tsiat,chiat,,,True
khè,課,50,khè,khe3,khe3,khe,khe,,,True
khèr,課,50,khèr,kher3,kher3,kher,kher,,,True
khì,課,50,khì,khi3,khi3,khi,khi,,,True
khìr,課,50,khìr,khir3,khir3,khir,khir,,,True
khòo,課,50,khò͘,khoo3,khoo3,khoo,khoo,,,True
tsông,誴,50,chông,tsong5,chong5,tsong,chong,,,True
suì,誶,50,sùi,sui3,sui3,sui,sui,,,True
tsuī,誶,50,chūi,tsui7,chui7,tsui,chui,,,True
tsu̍t,誶,50,chu̍t,tsut8,chut8,tsut,chut,,,True
bóng,誷,50,bóng,bong2,bong2,bong,bong,,,True
huí,誹,50,húi,hui2,hui2,hui,hui,,,True
gī,誼,50,gī,gi7,gi7,gi,gi,,,True
gûn,誾,50,gûn,gun5,gun5,gun,gun,,,True
tsùn,諄,50,chùn,tsun3,chun3,tsun,chun,,,True
tun,諄,50,tun,tun,tun,tun,tun,,,True
uí,諉,50,úi,ui2,ui2,ui,ui,,,True
tsìng,諍,50,chèng,tsing3,cheng3,tsing,cheng,,,True
tshòo,諎,50,chhò͘,tshoo3,chhoo3,tshoo,chhoo,,,True
tsik,諎,50,chek,tsik,chek,tsik,chek,,,True
tsoo,諏,50,cho͘,tsoo,choo,tsoo,choo,,,True
khian,諐,50,khian,khian,khian,khian,khian,,,True
tok,諑,50,tok,tok,tok,tok,tok,,,True
liāng,諒,50,liāng,liang7,liang7,liang,liang,,,True
tshián,諓,50,chhián,tshian2,chhian2,tshian,chhian,,,True
tsian,諓,50,chian,tsian,chian,tsian,chian,,,True
tsián,諓,50,chián,tsian2,chian2,tsian,chian,,,True
hô,諕,50,hô,ho5,ho5,ho,ho,,,True
sím,諗,50,sím,sim2,sim2,sim,sim,,,True
piān,諚,50,piān,pian7,pian7,pian,pian,,,True
jû,諛,50,jû,ju5,ju5,ju,ju,,,True
jū,諛,50,jū,ju7,ju7,ju,ju,,,True
tia̍p,諜,50,tia̍p,tiap8,tiap8,tiap,tiap,,,True
su,諝,50,su,su,su,su,su,,,True
sú,諝,50,sú,su2,su2,su,su,,,True
phian,諞,50,phian,phian,phian,phian,phian,,,True
sī,諟,50,sī,si7,si7,si,si,,,True
suan,諠,50,soan,suan,soan,suan,soan,,,True
gùn,諢,50,gùn,gun3,gun3,gun,gun,,,True
hūn,諢,50,hūn,hun7,hun7,hun,hun,,,True
go̍k,諤,50,go̍k,gok8,gok8,gok,gok,,,True
tsiòng,諥,50,chiòng,tsiong3,chiong3,tsiong,chiong,,,True
tè,諦,50,tè,te3,te3,te,te,,,True
hâi,諧,50,hâi,hai5,hai5,hai,hai,,,True
kàn,諫,50,kàn,kan3,kan3,kan,kan,,,True
khé,諬,50,khé,khe2,khe2,khe,khe,,,True
jī,諭,50,jī,ji7,ji7,ji,ji,,,True
jū,諭,50,jū,ju7,ju7,ju,ju,,,True
lū,諭,50,lū,lu7,lu7,lu,lu,,,True
tsuan,諯,50,choan,tsuan,choan,tsuan,choan,,,True
huì,諱,50,hùi,hui3,hui3,hui,hui,,,True
in,諲,50,in,in,in,in,in,,,True
am,諳,50,am,am,am,am,am,,,True
hâm,諴,50,hâm,ham5,ham5,ham,ham,,,True
lâm,諵,50,lâm,lam5,lam5,lam,lam,,,True
sîm,諶,50,sîm,sim5,sim5,sim,sim,,,True
hóng,諷,50,hóng,hong2,hong2,hong,hong,,,True
tsi,諸,50,chi,tsi,chi,tsi,chi,,,True
iâng,諹,50,iâng,iang5,iang5,iang,iang,,,True
iông,諹,50,iông,iong5,iong5,iong,iong,,,True
gān,諺,50,gān,gan7,gan7,gan,gan,,,True
suan,諼,50,soan,suan,soan,suan,soan,,,True
hioh,諾,50,hioh,hioh,hioh,hioh,hioh,,,True
hànn,諾,50,hàⁿ,hann3,hann3,hann,hann,,,True
lo̍k,諾,50,lo̍k,lok8,lok8,lok,lok,,,True
tship,諿,50,chhip,tship,chhip,tship,chhip,,,True
biô,謀,50,biô,bio5,bio5,bio,bio,,,True
biôr,謀,50,biôr,bior5,bior5,bior,bior,,,True
môo,謀,50,mô͘,moo5,moo5,moo,moo,,,True
iat,謁,50,iat,iat,iat,iat,iat,,,True
thîng,謄,50,thêng,thing5,theng5,thing,theng,,,True
tshau,謅,50,chhau,tshau,chhau,tshau,chhau,,,True
tsháu,謅,50,chháu,tshau2,chhau2,tshau,chhau,,,True
tsoo,謅,50,cho͘,tsoo,choo,tsoo,choo,,,True
siàn,謆,50,siàn,sian3,sian3,sian,sian,,,True
kián,謇,50,kián,kian2,kian2,kian,kian,,,True
phok,謈,50,phok,phok,phok,phok,phok,,,True
pâu,謈,50,pâu,pau5,pau5,pau,pau,,,True
hong,謊,50,hong,hong,hong,hong,hong,,,True
hóng,謊,50,hóng,hong2,hong2,hong,hong,,,True
ko,謌,50,ko,ko,ko,ko,ko,,,True
bē,謎,50,bē,be7,be7,be,be,,,True
