tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,kautian
tshn̂g-kun,床巾,25,chhn̂g-kun,tshng5kun,chhng5kun,tshngkun,chhngkun,tk,ck,True
tshn̂g-tiùnn,床帳,25,chhn̂g-tiùⁿ,tshng5tiunn3,chhng5tiunn3,tshngtiunn,chhngtiunn,tt,ct,True
tshn̂g-bó,床母,25,chhn̂g-bó,tshng5bo2,chhng5bo2,tshngbo,chhngbo,tb,cb,True
tshn̂g-bór,床母,25,chhn̂g-bór,tshng5bor2,chhng5bor2,tshngbor,chhngbor,tb,cb,True
tshn̂g-bú,床母,25,chhn̂g-bú,tshng5bu2,chhng5bu2,tshngbu,chhngbu,tb,cb,True
tshn̂g-phoo,床鋪,25,chhn̂g-pho͘,tshng5phoo,chhng5phoo,tshngphoo,chhngphoo,tp,cp,True
tshn̂g-thâu,床頭,25,chhn̂g-thâu,tshng5thau5,chhng5thau5,tshngthau,chhngthau,tt,ct,True
sī-tuā,序大,25,sī-tōa,si7tua7,si7toa7,situa,sitoa,st,st,True
sū-bōo,序幕,25,sū-bō͘,su7boo7,su7boo7,suboo,suboo,sb,sb,True
sī-suè,序細,25,sī-sòe,si7sue3,si7soe3,sisue,sisoe,ss,ss,True
sī-sè,序細,25,sī-sè,si7se3,si7se3,sise,sise,ss,ss,True
tī-tāi,底代,25,tī-tāi,ti7tai7,ti7tai7,titai,titai,tt,tt,True
tué-kè,底價,25,tóe-kè,tue2ke3,toe2ke3,tueke,toeke,tk,tk,True
té-kè,底價,25,té-kè,te2ke3,te2ke3,teke,teke,tk,tk,True
tī-sî,底時,25,tī-sî,ti7si5,ti7si5,tisi,tisi,ts,ts,True
tué-phìnn,底片,25,tóe-phìⁿ,tue2phinn3,toe2phinn3,tuephinn,toephinn,tp,tp,True
té-phìnn,底片,25,té-phìⁿ,te2phinn3,te2phinn3,tephinn,tephinn,tp,tp,True
tué-puânn,底盤,25,tóe-pôaⁿ,tue2puann5,toe2poann5,tuepuann,toepoann,tp,tp,True
té-puânn,底盤,25,té-pôaⁿ,te2puann5,te2poann5,tepuann,tepoann,tp,tp,True
