tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,itaigi,is_variant
khuân,權,3973,khoân,khuan5,khoan5,ㄎㄨㄢˊ,khuan,khoan,ㄎㄨㄢ,,,,True,False
hūn,份,3815,hūn,hun7,hun7,ㄏㄨㄣ˫,hun,hun,ㄏㄨㄣ,,,,True,False
pn̄g,飯,3685,pn̄g,png7,png7,ㄅㆭ˫,png,png,ㄅㆭ,,,,True,False
kut,骨,3660,kut,kut4,kut4,ㄍㄨㆵ,kut,kut,ㄍㄨㆵ,,,,True,False
kak,角,3575,kak,kak4,kak4,ㄍㄚㆻ,kak,kak,ㄍㄚㆻ,,,,True,False
sai,師,3410,sai,sai1,sai1,ㄙㄞ,sai,sai,ㄙㄞ,,,,True,True
ti̍k,特,3397,te̍k,tik8,tek8,ㄉㄧㆻ̇,tik,tek,ㄉㄧㆻ,,,,True,False
thôo,塗,3339,thô͘,thoo5,thoo5,ㄊㆦˊ,thoo,thoo,ㄊㆦ,,,,True,False
tìn,鎮,2950,tìn,tin3,tin3,ㄉㄧㄣ˪,tin,tin,ㄉㄧㄣ,,,,True,False
làu,落,2916,làu,lau3,lau3,ㄌㄠ˪,lau,lau,ㄌㄠ,,,,True,False
sû,詞,2871,sû,su5,su5,ㄙㄨˊ,su,su,ㄙㄨ,,,,True,False
tó,倒,2836,tó,to2,to2,ㄉㄛˋ,to,to,ㄉㄛ,,,,True,False
uá,倚,2834,óa,ua2,oa2,ㄨㄚˋ,ua,oa,ㄨㄚ,,,,True,False
pîng,爿,2834,pêng,ping5,peng5,ㄅㄧㄥˊ,ping,peng,ㄅㄧㄥ,,,,True,False
tshuā,𤆬,2833,chhōa,tshua7,chhoa7,ㄘㄨㄚ˫,tshua,chhoa,ㄘㄨㄚ,,,,True,False
suí,媠,2774,súi,sui2,sui2,ㄙㄨㄧˋ,sui,sui,ㄙㄨㄧ,,,,True,False
kíng,景,2750,kéng,king2,keng2,ㄍㄧㄥˋ,king,keng,ㄍㄧㄥ,,,,True,False
tâu,投,2494,tâu,tau5,tau5,ㄉㄠˊ,tau,tau,ㄉㄠ,,,,True,False
gâu,𠢕,2377,gâu,gau5,gau5,ㆣㄠˊ,gau,gau,ㆣㄠ,,,,True,False
piah,壁,2374,piah,piah4,piah4,ㄅㄧㄚㆷ,piah,piah,ㄅㄧㄚㆷ,,,,True,False
tsiáu,鳥,2362,chiáu,tsiau2,chiau2,ㄐㄧㄠˋ,tsiau,chiau,ㄐㄧㄠ,,,,True,False
kenn,經,2304,keⁿ,kenn1,kenn1,ㄍㆥ,kenn,kenn,ㄍㆥ,,,,True,False
tān,但,2284,tān,tan7,tan7,ㄉㄢ˫,tan,tan,ㄉㄢ,,,,True,False
kóo,鼓,2258,kó͘,koo2,koo2,ㄍㆦˋ,koo,koo,ㄍㆦ,,,,True,False
ìn,印,2149,ìn,in3,in3,ㄧㄣ˪,in,in,ㄧㄣ,,,,True,False
tsu,珠,2117,chu,tsu1,chu1,ㄗㄨ,tsu,chu,ㄗㄨ,,,,True,False
a,亞,2083,a,a1,a1,ㄚ,a,a,ㄚ,,,,True,False
