tl,hanzi
sóng,爽
sńg,爽
bíng,猛
mé,猛
soo,疏
sòo,疏
se,疏
sue,疏
a̍p,盒
a̍h,盒
gán,眼
gíng,眼
tsiong,章
tsiang,章
tsiunn,章
tsionn,章
tsat,紮
tsah,紮
thuat,脫
thuah,脫
pī,被
phuē,被
phē,被
huàn,販
phuànn,販
thong,通
thang,通
liân,連
nî,連
im,陰
iam,陰
suat,雪
seh,雪
hôo,壺
ôo,壺
lóo,惱
ló,惱
náu,惱
tsióng,掌
tsiáng,掌
tsiúnn,掌
tsiónn,掌
tshap,插
tshah,插
kám,敢
kánn,敢
sán,散
sàn,散
suánn,散
suànn,散
tòng,棟
tàng,棟
khuán,款
khuánn,款
huat,發
puh,發
tshong,窗
thang,窗
tông,童
tâng,童
tíng,等
tán,等
kiat,結
kat,結
tsua̍t,絕
tse̍h,絕
tiòng,脹
tiàng,脹
tiùnn,脹
tiònn,脹
sīn,腎
siān,腎
kiok,菊
kak,菊
mái,買
bé,買
bué,買
thiap,貼
tah,貼
liông,量
liōng,量
liâng,量
liāng,量
niû,量
niôo,量
niū,量
niōo,量
khai,開
khui,開
kan,間
king,間
kainn,間
kàn,間
iông,陽
iâng,陽
iûnn,陽
iônn,陽
hiông,雄
hîng,雄
luān,亂
lān,亂
thuân,傳
tuān,傳
thn̂g,傳
thuînn,傳
siong,傷
siang,傷
siunn,傷
sionn,傷
sè,勢
sì,勢
sióng,想
siáng,想
siūnn,想
siōnn,想
sún,損
sńg,損
suínn,損
suè,歲
huè,歲
hè,歲
tsian,煎
tsuann,煎
tsiàu,照
tsiò,照
tsiat,節
tsat,節
tseh,節
tsueh,節
king,經
kenn,經
kinn,經
tàu,罩
tà,罩
tsuē,罪
tsē,罪
lo̍k,落
lo̍h,落
tsong,裝
tsng,裝
kái,解
ké,解
kué,解
ūn,運
piàn,遍
phiàn,遍
kò,過
kòo,過
kuè,過
kè,過
siōng,像
tshiāng,像
tshiūnn,像
tshiōnn,像
bōng,夢
bāng,夢
si̍t,實
tsa̍t,實
ko,歌
koo,歌
kua,歌
buán,滿
muá,滿
tiòng,漲
tiàng,漲
tiùnn,漲
tiònn,漲
hō,禍
hōo,禍
ē,禍
tsióng,種
tsiòng,種
tsíng,種
tsìng,種
suàn,算
sǹg,算
suìnn,算
kuán,管
kńg,管
kuínn,管
tsing,精
tsiann,精
tsinn,精
bóng,網
bāng,網
kài,蓋
kuà,蓋
gú,語
gí,語
suat,說
suè,說
sueh,說
seh,說
uán,遠
hn̄g,遠
huīnn,遠
líng,領
niá,領
kóng,廣
kńg,廣
kuínn,廣
sòo,數
siàu,數
piau,標
phiau,標
pio,標
jia̍t,熱
lia̍t,熱
gia̍t,熱
jua̍h,熱
lua̍h,熱
kiông,窮
kîng,窮
khîng,窮
pian,編
pinn,編
mā,罵
mē,罵
khò,課
khòo,課
khuè,課
khè,課
khì,課
tshíng,請
tshiánn,請
sióng,賞
siáng,賞
siúnn,賞
siónn,賞
māi,賣
bē,賣
buē,賣
ióng,養
iáng,養
iúnn,養
iónn,養
hu,麩
phoo,麩
ha̍k,學
o̍h,學
tsho,操
tshò,操
tshoo,操
tshòo,操
tshau,操
tam,擔
tann,擔
tànn,擔
môo,磨
buâ,磨
bō,磨
tshin,親
tshenn,親
tshinn,親
tsīng,靜
tsēnn,靜
tsīnn,靜
liông,龍
lîng,龍
îng,營
iânn,營
tsiok,燭
tsik,燭
tsóng,總
tsáng,總
sing,聲
siann,聲
tám,膽
tánn,膽
káng,講
kóng,講
siā,謝
tsiā,謝
huân,還
hîng,還
hâinn,還
song,霜
sng,霜
thut,黜
thuh,黜
tsai,齋
tse,齋
tuàn,斷
tuān,斷
tn̄g,斷
tuīnn,斷
thiông,蟲
thâng,蟲
tsuán,轉
tńg,轉
tuínn,轉
pian,鞭
pinn,鞭
song,鬆
sang,鬆
lán,懶
nuā,懶
liâm,簾
lî,簾
nî,簾
kián,繭
kíng,繭
sû,辭
sî,辭
pian,邊
pinn,邊
kuan,關
kuainn,關
kuinn,關
khǹg,勸
khuìnn,勸
khuàn,勸
thia̍p,疊
tha̍h,疊
lông,籠
lóng,籠
lâng,籠
láng,籠
thing,聽
thiann,聽
thìng,聽
tho̍k,讀
tha̍k,讀
piàn,變
pìnn,變
hián,顯
hiánn,顯
thé,體
thué,體
tiōng,丈
tiāng,丈
tn̄g,丈
tiūnn,丈
tiōnn,丈
kiú,久
kú,久
khió,口
khóo,口
kháu,口
si̍k,夕
sia̍h,夕
sū,巳
tsī,巳
kiong,弓
king,弓
tsíng,井
tsénn,井
tsínn,井
kim,今
kin,今
khóng,孔
kháng,孔
siàu,少
siáu,少
tsió,少
tshik,尺
tshioh,尺
siú,手
tshiú,手
tsi,支
ki,支
tóo,斗
tió,斗
táu,斗
hué,火
hé,火
hónn,火
phiàn,片
phìnn,片
giû,牛
gû,牛
khiu,丘
khu,丘
piánn,丙
píng,丙
hua̍t,乏
ha̍t,乏
hing,兄
hiann,兄
tong,冬
tang,冬
pak,北
pok,北
khiò,叩
khòo,叩
khàu,叩
sú,史
sái,史
su,司
sai,司
si,司
guā,外
guē,外
khá,巧
khiáu,巧
kháu,巧
tàn,旦
tuànn,旦
bua̍t,末
bua̍h,末
kua,瓜
kue,瓜
uá,瓦
hiā,瓦
huā,瓦
kah,甲
kap,甲
hua̍t,伐
hua̍h,伐
kok,各
koh,各
hiō,后
hōo,后
āu,后
thi̍k,宅
the̍h,宅
sik,式
sit,式
bông,忙
bâng,忙
kong,扛
kng,扛
khiok,曲
khik,曲
hān,汗
kuānn,汗
pik,百
pah,百
peh,百
tik,竹
tiok,竹
iông,羊
iâng,羊
iûnn,羊
iônn,羊
sia̍t,舌
tsi̍h,舌
hîng,行
hâng,行
hīng,行
kiânn,行
pik,伯
phik,伯
peh,伯
phuān,伴
phuānn,伴
luán,卵
nn̄g,卵
nuī,卵
huī,吠
puī,吠
hun,吩
huan,吩
hâm,含
kâm,含
tsháu,吵
tshá,吵
tshui,吹
tshue,吹
tshe,吹
lū,呂
lī,呂
hong,坊
hng,坊
tsō,坐
tsōo,坐
tsē,坐
khing,坑
khenn,坑
khinn,坑
tshông,床
tshn̂g,床
lōng,弄
lāng,弄
i̍k,役
ia̍h,役
phi,批
phue,批
phe,批
pá,把
pé,把
king,更
kenn,更
kinn,更
kìng,更
kan,杆
kuainn,杆
kuann,杆
kuinn,杆
tiōng,杖
tiāng,杖
thn̄g,杖
sa,沙
se,沙
sua,沙
tsò,灶
tsòo,灶
tsàu,灶
lô,牢
lôo,牢
tiâu,牢
thut,禿
thuh,禿
ū,芋
ōo,芋
bông,芒
bâng,芒
tshik,赤
tshiah,赤
tsóo,走
tsió,走
tsáu,走
ki,車
ku,車
tshia,車
king,京
kiann,京
sū,侍
sī,侍
sāi,侍
kiong,供
kiòng,供
king,供
kìng,供
kū,具
khū,具
tò,到
tòo,到
tàu,到
tok,卓
toh,卓
siok,叔
tsik,叔
sin,呻
tshan,呻
thán,坦
thánn,坦
pîng,坪
phîng,坪
pênn,坪
pînn,坪
phiânn,坪
nāi,奈
tā,奈
siōng,尚
siāng,尚
siūnn,尚
siōnn,尚
ku,居
ki,居
giâm,岩
gâm,岩
huānn,岸
gān,岸
pi̍k,帛
pe̍h,帛
phāu,抱
phō,抱
tí,抵
té,抵
ap,押
ah,押
kū,拒
kī,拒
pua̍t,拔
pua̍h,拔
pue̍h,拔
pui̍h,拔
hú,斧
póo,斧
bîng,明
miâ,明
hun,昏
hng,昏
huinn,昏
ī,易
īnn,易
i̍k,易
ia̍h,易
siông,松
tshîng,松
tsîng,松
ki,枝
tsi,枝
tsing,爭
tsenn,爭
tsinn,爭
tsōng,狀
tsn̄g,狀
kóo,狗
kió,狗
káu,狗
guán,玩
uán,玩
sū,祀
tshāi,祀
sāi,祀
khong,空
khòng,空
khang,空
khàng,空
huî,肥
puî,肥
kian,肩
king,肩
hû,芙
phû,芙
san,芟
sing,芟
kài,芥
kè,芥
kuà,芥
hong,芳
phang,芳
gâ,芽
gê,芽
gîng,迎
ngiâ,迎
giâ,迎
a,阿
o,阿
oo,阿
hôo,侯
hiô,侯
hâu,侯
tshiok,促
tshik,促
ngôo,俄
gô,俄
siat,削
siah,削
hōo,厚
hiō,厚
kāu,厚
ngáu,咬
kā,咬
iâu,姚
iô,姚
kiong,姜
khiong,姜
kiang,姜
khiang,姜
khiunn,姜
kiunn,姜
khionn,姜
kionn,姜
ti̍t,姪
khik,客
kheh,客
sú,屎
sí,屎
sái,屎
pîn,屏
pîng,屏
hiō,後
hōo,後
āu,後
hāu,後
hóng,恍
huánn,恍
pínn,扁
pián,扁
tshî,持
tî,持
thiau,挑
thiáu,挑
thio,挑
iòng,映
iàng,映
ìng,映
kà,架
kè,架
ka,枷
kê,枷
pìng,柄
pènn,柄
pìnn,柄
pik,柏
peh,柏
thiāu,柱
tsū,柱
tuān,段
tuānn,段
iûnn,洋
iônn,洋
iông,洋
iâng,洋
tin,津
tsin,津
hông,洪
âng,洪
hua̍t,活
ua̍h,活
sing,牲
senn,牲
sinn,牲
tin,珍
tsin,珍
kài,界
kè,界
kuè,界
i̍k,疫
ia̍h,疫
khim,矜
king,矜
sa,砂
se,砂
sua,砂
gián,研
gíng,研
ngái,研
nguí,研
biáu,秒
bió,秒
tshuan,穿
tshng,穿
tshuinn,穿
kong,缸
kng,缸
hôo,胡
ôo,胡
thai,苔
thî,苔
tî,苔
jio̍k,若
lio̍k,若
gio̍k,若
thú,苧
thí,苧
tē,苧
