hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
僭,tshiàm,chhiàm,0,False,True,False,False,False,False,True,False,False,False
僻,phik,phek,0,False,True,False,False,False,False,False,False,False,False
儌,hiau,hiau,0,False,True,False,False,False,False,False,False,False,False
償,sióng,sióng,0,False,True,False,False,False,False,False,False,False,False
儡,ló̤,ló̤,0,False,False,False,False,False,False,False,False,False,False
儳,tshâm,chhâm,0,False,True,False,False,False,False,False,False,False,False
兀,gut,gut,0,False,True,False,False,False,False,False,False,False,False
兀,gu̍t,gu̍t,0,False,True,False,False,False,False,True,False,False,False
先,sainn,saiⁿ,0,False,False,False,False,False,False,False,False,False,True
先,sṳiⁿ,sṳiⁿ,0,False,False,False,False,False,False,False,False,False,False
兌,tuê,tôe,0,False,False,False,False,False,False,True,False,False,False
全,tsuînn,chûiⁿ,0,False,True,False,False,False,False,False,False,False,False
兩,liáng,liáng,0,False,True,False,False,False,False,False,False,False,False
兵,phiann,phiaⁿ,0,False,False,False,False,False,False,False,False,False,False
兵,piann,piaⁿ,0,False,False,False,False,False,False,True,False,False,False
具,kī,kī,0,False,False,False,False,False,False,False,False,False,False
再,tsái,chái,0,False,False,False,False,False,False,False,False,False,False
冑,tiū,tiū,0,False,True,False,False,False,False,False,False,False,False
冥,meh,meh,0,False,False,False,False,False,False,False,False,False,False
冬,tong,tong,0,False,True,False,False,False,False,True,False,False,False
况,hòng,hòng,0,False,True,False,False,False,False,False,False,False,False
冽,lia̍t,lia̍t,0,False,True,False,False,False,False,False,False,False,False
凄,tshi,chhi,0,False,False,False,False,False,False,False,False,False,False
凋,tiau,tiau,0,False,True,False,False,False,False,False,False,False,False
処,tshí,chhí,0,False,False,False,False,False,False,False,False,False,False
処,tò̤,tò̤,0,False,False,False,False,False,False,False,False,False,False
凭,pîn,pîn,0,False,False,False,False,False,False,False,False,False,False
凸,tu̍t,tu̍t,0,False,True,False,False,False,False,False,False,False,False
刃,jīm,jīm,0,False,True,False,False,False,False,False,False,False,False
刎,bún,bún,0,False,True,False,False,False,False,False,False,False,False
判,phuàn,phoàn,0,False,True,False,False,False,False,False,False,False,False
別,piat,piat,0,False,True,False,False,False,False,True,False,False,False
刦,kiap,kiap,0,False,True,False,False,False,False,False,False,False,False
别,piat,piat,0,False,True,False,False,False,False,False,False,False,False
别,pia̍t,pia̍t,0,False,False,False,False,False,False,False,False,False,False
制,tsì,chì,0,False,True,False,False,False,False,False,False,False,False
券,khuàn,khoàn,0,False,False,False,False,False,False,False,False,False,False
刼,kiap,kiap,0,False,False,False,False,False,False,False,False,False,False
削,siat,siat,0,False,True,False,False,False,False,True,False,False,False
前,tsuînn,chûiⁿ,0,False,False,False,False,False,False,False,False,False,True
前,tsâinn,châiⁿ,0,False,True,False,False,False,False,False,False,False,False
剽,phiáu,phiáu,0,False,True,False,False,False,False,False,False,False,False
劇,kia̍k,kia̍k,0,False,True,False,False,False,True,False,False,False,False
劝,khuàn,khoàn,0,False,True,False,False,False,False,False,False,False,False
