hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
担,tànn,tàⁿ,909,True,True,False,False,False,False,False,False,False,False
卻,khioh,khioh,900,True,True,False,False,False,False,True,False,False,False
拾,khioh,khioh,900,True,True,False,False,False,True,True,False,False,False
摭,khioh,khioh,900,True,True,False,False,False,False,False,False,False,False
今旦日,kin-á-ji̍t,kin-á-ji̍t,888,True,True,False,False,False,False,False,False,False,False
胖,phòng,phòng,850,True,True,False,False,False,True,False,False,False,False
𤞚,siáu,siáu,850,True,True,False,False,False,False,False,False,False,False
叼,tó,tó,834,True,True,False,False,False,False,False,False,False,False
搭,tó,tó,834,True,True,False,False,False,False,False,False,False,False
虫,thâng,thâng,800,True,True,False,False,False,True,False,False,False,False
搭,toh,toh,790,True,True,False,False,False,False,False,False,False,False
叼,toh,toh,790,True,True,False,False,False,True,False,False,False,False
矴,tīng,tēng,777,True,True,False,False,False,False,False,False,False,False
𫝞,bū,bū,750,True,True,False,False,False,False,False,False,False,True
干乾,kan-ta,kan-ta,730,True,False,False,False,False,False,True,False,False,False
干礁,kan-ta,kan-ta,730,True,False,False,False,False,True,False,False,False,False
鐤,tiánn,tiáⁿ,700,True,True,False,False,False,False,False,False,False,False
勿,mài,mài,688,True,True,False,False,False,False,True,False,False,False
不是,m̄-sī,m̄-sī,687,True,False,False,False,False,False,True,False,False,False
不識,m̄-bat,m̄-bat,667,True,False,False,False,False,False,True,False,False,False
涎,nuā,nōa,650,True,True,False,True,False,False,True,False,False,False
叨位,tó-uī,tó-ūi,641,True,True,False,False,False,True,False,False,False,False
續,suà,sòa,614,True,True,False,False,False,True,True,False,False,False
膦,lān,lān,600,True,True,False,False,False,False,False,False,False,False
徼,kiáu,kiáu,550,True,True,False,False,False,False,False,False,False,False
飢,iau,iau,550,True,True,False,False,False,False,True,False,False,False
餓,iau,iau,550,True,True,False,False,False,False,False,False,False,False
𤿎,pit,pit,550,True,True,False,False,False,False,False,False,False,False
校,kah,kah,539,True,True,False,False,False,False,False,False,False,False
企,neh,neh,503,True,True,False,False,False,False,False,False,False,False
企,nih,nih,503,True,True,False,False,False,False,False,False,False,False
會凍,ē-tàng,ē-tàng,501,True,True,False,False,False,True,False,False,False,False
𤖯,pue,poe,500,True,True,False,False,False,False,False,False,False,False
𣍐使,bē-sái,bē-sái,500,True,True,False,False,False,False,False,False,False,False
粙,tiū,tiū,500,True,True,False,False,False,False,False,False,False,True
精,siâu,siâu,500,True,True,False,False,False,False,False,False,False,False
㾪,sán,sán,500,True,True,False,False,False,False,False,False,False,False
湊陣,tàu-tīn,tàu-tīn,500,True,True,False,False,False,False,False,False,False,False
不即,m̄-tsiah,m̄-chiah,500,True,False,False,False,False,False,True,False,False,False
昨方,tsa-hng,cha-hng,500,True,True,False,False,False,False,False,False,False,False
不知,m̄-tsai,m̄-chai,457,True,False,False,False,False,False,True,False,False,False
截,tsa̍h,cha̍h,450,True,True,False,False,False,False,True,False,False,False
竈,tsàu,chàu,450,True,True,False,False,False,False,False,False,False,False
蕃,han,han,435,True,True,False,False,False,False,False,False,False,False
別儂,pa̍t-lâng,pa̍t-lâng,422,True,True,False,False,False,False,False,False,False,False
蚊,báng,báng,400,True,True,False,False,False,True,True,False,False,False
䫲,hàm,hàm,400,True,True,False,False,False,False,False,False,False,False
幻,hàm,hàm,400,True,True,False,False,False,False,False,False,False,False
仟,tshing,chheng,390,True,True,False,False,False,True,False,False,False,False
煴,ún,ún,350,True,True,False,False,False,False,False,False,False,False
醭,phú,phú,350,True,True,False,False,False,False,False,False,False,False
輾,lián,lián,350,True,True,False,False,False,False,False,False,False,False
訬,tshá,chhá,350,True,True,False,False,False,False,False,False,False,False
矺,teh,teh,350,True,True,False,False,False,False,False,False,False,False
陂,pi,pi,350,True,True,False,False,False,True,True,False,False,False
撞,lòng,lòng,350,True,True,False,False,False,False,True,False,False,False
捍,huānn,hōaⁿ,350,True,True,False,False,False,False,False,False,False,False
按,huānn,hōaⁿ,350,True,True,False,False,False,False,True,False,False,False
噴,pûn,pûn,350,True,True,False,False,False,False,False,False,False,False
䀟,phú,phú,350,True,True,False,False,False,False,False,False,False,False
老父,lāu-pē,lāu-pē,335,True,True,False,False,False,True,True,False,False,False
不免,m̄-bián,m̄-bián,332,True,True,False,False,False,False,True,False,False,False
蔘,som,som,331,True,True,False,False,False,False,True,False,False,False
蠔,ô,ô,300,True,True,False,False,False,False,False,False,False,False
𥱊,tshio̍h,chhio̍h,300,True,True,False,False,False,False,False,False,False,False
馦,hiam,hiam,300,True,True,False,False,False,False,False,False,False,False
椽,iân,iân,300,True,True,False,False,False,False,True,False,False,False
翅,si̍t,si̍t,300,True,True,False,False,False,False,False,False,False,False
獃,tai,tai,300,True,True,False,False,False,True,False,False,False,False
俺媽,a-má,a-má,286,True,True,False,False,False,False,False,False,False,False
阿嬤,a-má,a-má,286,True,True,False,False,False,False,False,False,False,False
俺嬤,a-má,a-má,286,True,True,False,False,False,False,False,False,False,False
扑算,phah-sǹg,phah-sǹg,266,True,True,False,False,False,False,False,False,False,False
打算,phah-sǹg,phah-sǹg,266,True,True,False,False,False,False,True,False,False,False
父母,pē-bó,pē-bó,266,True,False,False,False,False,True,False,False,False,False
父母,pē-bú,pē-bú,266,True,True,False,False,False,False,True,False,False,False
鑽,nǹg,nǹg,250,True,True,False,False,False,False,False,False,False,False
磁,huî,hûi,250,True,True,False,False,False,False,True,False,False,False
窰,iô,iô,250,True,True,False,False,False,False,False,False,False,False
笚,ha̍h,ha̍h,250,True,True,False,False,False,False,False,False,False,False
緩,khuann,khoaⁿ,250,True,True,False,False,False,False,False,False,False,False
𠲿,suh,suh,250,True,True,False,False,False,False,False,False,False,False
霑,tâm,tâm,250,True,True,False,False,False,False,False,False,False,False
鮭,kuê,kôe,250,True,True,False,False,False,True,True,False,False,False
鮭,kê,kê,250,True,True,False,False,False,False,True,False,False,False
瓠,hia,hia,250,True,True,False,False,False,False,True,False,False,False
𩟗,tsiánn,chiáⁿ,250,True,True,False,False,False,False,False,False,False,False
𧺤,khiû,khiû,250,True,True,False,False,False,False,False,False,False,False
灰,hu,hu,250,True,True,False,False,False,False,True,False,False,False
焢,khòng,khòng,250,True,True,False,False,False,False,False,False,False,False
拓,thuh,thuh,250,True,True,False,False,False,False,False,False,False,False
儂客,lâng-kheh,lâng-kheh,250,True,True,False,False,False,False,False,False,False,False
勼,kiù,kiù,250,True,True,False,False,False,False,False,False,False,False
楬,khi̍t,khi̍t,250,True,True,False,False,False,False,False,False,False,False
塞,seh,seh,250,True,True,False,False,False,False,False,False,False,False
嗍,suh,suh,250,True,True,False,False,False,True,False,False,False,False
揳,seh,seh,250,True,True,False,False,False,False,False,False,False,False
搓,so,so,250,True,True,False,False,False,False,False,False,False,False
摔,sut,sut,250,True,True,False,False,False,True,True,False,False,False
杓,hia,hia,250,True,True,False,False,False,True,False,False,False,False
桸,sia̍h,sia̍h,250,True,True,False,False,False,False,False,False,False,False
映望,ǹg-bāng,ǹg-bāng,247,True,True,False,False,False,True,False,False,False,False
菢,pū,pū,200,True,True,False,False,False,False,False,False,False,False
沓,tha̍h,tha̍h,200,True,True,False,False,False,False,False,False,False,False
湳,lâm,lâm,200,True,True,False,False,False,False,False,False,False,False
焿,kenn,keⁿ,200,True,True,False,False,False,False,False,False,False,False
焿,kinn,kiⁿ,200,True,True,False,False,False,False,True,False,False,False
簏,lok,lok,200,True,True,False,False,False,False,False,False,False,False
曠,làng,làng,200,True,True,False,False,False,False,True,False,False,False
襉,kíng,kíng,200,True,True,False,False,False,False,False,False,False,False
襒,pih,pih,200,True,True,False,False,False,False,False,False,False,False
覻,tshuh,chhuh,200,True,True,False,False,False,False,False,False,False,False
鼈,pih,pih,200,True,True,False,False,False,False,False,False,False,True
𫟊,sio̍h,sio̍h,200,True,True,False,False,False,False,False,False,False,True
椵,kê,kê,200,True,True,False,False,False,False,False,False,False,False
暈,hūn,hūn,200,True,True,False,False,False,True,True,False,False,False
斬,tsām,chām,200,True,True,False,False,False,False,False,False,False,False
攃,tshuah,chhoah,200,True,True,False,False,False,False,False,False,False,False
撐,thènn,thèⁿ,200,True,True,False,False,False,True,False,False,False,False
抰,ng,ng,200,True,True,False,False,False,False,False,False,False,False
扭,khiú,khiú,200,True,True,False,False,False,False,True,False,False,False
彆,pih,pih,200,True,True,False,False,False,False,False,False,False,False
宓,bih,bih,200,True,True,False,False,False,False,False,False,False,False
囤,tūn,tūn,200,True,True,False,False,False,False,False,False,False,False
匿,bih,bih,200,True,True,False,False,False,False,True,False,False,False
伏,pū,pū,200,True,True,False,False,False,False,False,False,False,False
䉔,tshuann,chhoaⁿ,200,True,True,False,False,False,False,False,False,False,False
㪗,tháu,tháu,200,True,True,False,False,False,False,False,False,False,False
𣍐記得,bē-kì-tit,bē-kì-tit,186,True,True,False,False,False,False,False,False,False,False
茨內,tshù-lāi,chhù-lāi,186,True,True,False,False,False,False,False,False,False,False
突,thu̍t,thu̍t,179,True,True,False,False,False,False,False,False,False,False
茨邊,tshù-pinn,chhù-piⁿ,178,True,True,False,False,False,False,False,False,False,False
哮,háu,háu,165,True,True,False,False,False,True,True,False,False,False
姐,tsé,ché,159,True,True,False,False,False,True,False,False,False,False
淀,tīnn,tīⁿ,150,True,True,False,False,False,False,True,False,False,False
漛,thîn,thîn,150,True,True,False,False,False,False,False,False,False,False
烆,hiânn,hiâⁿ,150,True,True,False,False,False,False,False,False,False,False
焮,khiàn,khiàn,150,True,True,False,False,False,False,False,False,False,False
箄,pín,pín,150,True,True,False,False,False,False,False,False,False,False
給,kāng,kāng,150,True,True,False,False,False,False,False,False,False,False
紨,pôo,pô͘,150,True,True,False,False,False,True,False,False,False,False
蹌,tsông,chông,150,True,True,False,False,False,False,False,False,False,False
鏥,sian,sian,150,True,True,False,False,False,False,False,False,False,False
饜,ià,ià,150,True,True,False,False,False,True,False,False,False,False
麯,khak,khak,150,True,True,False,False,False,False,False,False,False,False
𥽕,tshuè,chhòe,150,True,True,False,False,False,False,False,False,False,False
𥽕,tshè,chhè,150,True,True,False,False,False,False,False,False,False,False
𧜞,mua,moa,150,True,True,False,False,False,False,False,False,False,False
查某儂,tsa-bóo-lâng,cha-bó͘-lâng,150,True,True,False,False,False,False,False,False,False,False
汏,thuā,thōa,150,True,True,False,False,False,True,True,False,False,False
岒,gîm,gîm,150,True,True,False,False,False,False,False,False,False,False
擠,khueh,khoeh,150,True,True,False,False,False,False,False,False,False,False
塞,siap,siap,150,True,True,False,False,False,False,True,False,False,False
㧳,pué,póe,150,True,True,False,False,False,False,False,False,False,False
剒,tshò,chhò,150,True,True,False,False,False,False,False,False,False,False
吃力,tsia̍h-la̍t,chia̍h-la̍t,150,True,True,False,False,False,False,False,False,False,False
噍力,tsia̍h-la̍t,chia̍h-la̍t,150,True,True,False,False,False,False,False,False,False,False
噎,eh,eh,150,True,True,False,False,False,True,True,False,False,False
擠,kheh,kheh,150,True,True,False,False,False,False,False,False,False,False
坳,nah,nah,150,True,True,False,False,False,False,False,False,False,False
嫺,kán,kán,150,True,True,False,False,False,False,False,False,False,False
嫻,kán,kán,150,True,True,False,False,False,False,False,False,False,False
戛,khat,khat,150,True,True,False,False,False,False,True,False,False,False
折,at,at,150,True,True,False,False,False,False,True,False,False,False
捏,tshi̍h,chhi̍h,150,True,True,False,False,False,False,False,False,False,False
捦,khînn,khîⁿ,150,True,True,False,False,False,False,False,False,False,False
掙,tsinn,chiⁿ,150,True,True,False,False,False,True,True,False,False,False
蓮,nî,nî,139,True,True,False,False,False,False,False,False,False,False
大儂,tuā-lâng,tōa-lâng,135,True,True,False,False,False,False,False,False,False,False
事先,tāi-sing,tāi-seng,134,True,True,False,False,False,False,False,False,False,False
投路,thâu-lōo,thâu-lō͘,125,True,True,False,False,False,False,False,False,False,False
迄時,hit-sî,hit-sî,124,True,True,False,False,False,False,False,False,False,False
一世儂,tsi̍t-sì-lâng,chi̍t-sì-lâng,110,True,True,False,False,False,False,False,False,False,False
抵好,tú-hó,tú-hó,110,True,True,False,False,False,True,False,False,False,False
嬤祖,má-tsóo,má-chó͘,101,True,True,False,False,False,False,False,False,False,False
𣍐用得,buē-īng-tit,bōe-ēng-tit,101,True,True,False,False,False,False,False,False,False,False
𣍐用得,bē-īng-tit,bē-ēng-tit,101,True,True,False,False,False,False,False,False,False,False
疶,tshuā,chhōa,100,True,True,False,False,False,False,False,False,False,False
芓,tsínn,tsínn,100,True,True,False,False,False,False,False,False,False,False
翕像,hip-siòng,hip-siòng,100,True,True,False,False,False,False,False,False,False,False
罣,kuì,kùi,100,True,True,False,False,False,False,False,False,False,False
稅茨,suè-tshù,sòe-chhù,100,True,True,False,False,False,False,False,False,False,False
科,khô,khô,100,True,True,False,False,False,True,False,False,False,False
相打,sio-phah,sio-phah,100,True,True,False,False,False,False,False,False,False,False
相扑,sio-phah,sio-phah,100,True,True,False,False,False,False,False,False,False,False
相共,sio-kāng,sio-kāng,100,True,True,False,False,False,True,False,False,False,False
瘟,tse,che,100,True,True,False,False,False,False,False,False,False,False
痛惜,thiànn-sioh,thiàⁿ-sioh,100,True,True,False,False,False,True,False,False,False,False
爪,liàu,liàu,100,True,True,False,False,False,False,False,False,False,False
甲意,kah-ì,kah-ì,100,True,False,False,False,False,True,False,False,False,False
牛乳,gû-ling,gû-leng,100,True,True,False,False,False,False,True,False,False,False
爪,jiàu,jiàu,100,True,True,False,False,False,False,False,False,False,False
茨稅,tshù-suè,chhù-sòe,100,True,True,False,False,False,False,False,False,False,False
