tl,hanzi,frequency,poj
tâi-gú,台語,197,tâi-gú
lé-pài,禮拜,193,lé-pài
thâu-tsîng,頭前,186,thâu-chêng
ge̍h-niû,月娘,185,ge̍h-niû
gue̍h-niû,月娘,185,goe̍h-niû
siū-khì,受氣,174,siū-khì
tshut-guā,出外,172,chhut-gōa
tâi-uân-lâng,台灣人,169,tâi-oân-lâng
pak-tóo,腹肚,164,pak-tó͘
peh,百,162,peh
tiong-kok,中國,152,tiong-kok
hiong,兇,150,hiong
ki,吱,150,ki
khòng,壙,150,khòng
tshe,妻,150,chhe
hàinn,幌,150,hàiⁿ
phôo,扶,150,phô͘
am,掩,150,am
tshiám,攕,150,chhiám
thuann,攤,150,thoaⁿ
thuā,汰,150,thōa
iû,游,150,iû
lông,濃,150,lông
tsuànn,炸,150,chòaⁿ
siāu,紹,150,siāu
hak,蓄,150,hak
sian,鉎,150,sian
tân,霆,150,tân
jī,餌,150,jī
kán,𡢃,150,kán
tòo,𪐞,150,tò͘
tsia̍h-pn̄g,食飯,144,chia̍h-pn̄g
bô-huat-tōo,無法度,143,bô-hoat-tō͘
tsóng-sī,總是,140,chóng-sī
tāi-sing,代先,134,tāi-seng
tshing-khì,清氣,130,chheng-khì
tâi-bûn,台文,128,tâi-bûn
thàu-tsá,透早,128,thàu-chá
tsìn-tsîng,進前,123,chìn-chêng
tshiū-nâ-á,樹林仔,110,chhiū-nâ-á
lâm,嵐,101,lâm
khan-tshiú,牽手,101,khan-chhiú
bē-īng-tit,袂用得,101,bē-ēng-tit
gê,㤉,100,gê
tsi̍t-ê,一个,100,chi̍t-ê
tsi̍t-pah,一百,100,chi̍t-pah
tshit-tiám,七點,100,chhit-tiám
sam-put-gōo-sî,三不五時,100,sam-put-gō͘-sî
e-tsái-á,下早仔,100,e-chái-á
jī-tsa̍p,二十,100,jī-cha̍p
tsoh-sit,作穡,100,choh-sit
piān-sóo,便所,100,piān-só͘
piān-tong,便當,100,piān-tong
tò-tshiú,倒手,100,tò-chhiú
uá-tàu,倚晝,100,óa-tàu
thîng-tshia-tiûnn,停車場,100,thêng-chhia-tiûⁿ
khing,傾,100,kheng
bián-kheh-khì,免客氣,100,bián-kheh-khì
la̍k-tiám,六點,100,la̍k-tiám
kā-guá,共我,100,kā-góa
kàu-tann,到今,100,kàu-taⁿ
khiàng,勥,100,khiàng
tsa̍p-peh,十八,100,cha̍p-peh
kóo-tsui,古錐,100,kó͘-chui
tâi-uân-uē,台灣話,100,tâi-oân-ōe
tâi-phiò,台票,100,tâi-phiò
ànn,向,100,àⁿ
tiat,哲,100,tiat
siânn,唌,100,siâⁿ
pho̍k,噗,100,pho̍k
kok-bîn-tóng,國民黨,100,kok-bîn-tóng
tsāi-tē,在地,100,chāi-tē
huāi,壞,100,hoāi
guā-síng-lâng,外省人,100,gōa-séng-lâng
hó-sè,好勢,100,hó-sè
hiâu,嬈,100,hiâu
kheh-gí,客語,100,kheh-gí
kià-hù,寄付,100,kià-hù
siâm,尋,100,siâm
tuì-bīn,對面,100,tùi-bīn
khiáu,巧,100,khiáu
kuí-hō,幾號,100,kúi-hō
kuí-tiám,幾點,100,kúi-tiám
sìng-tē,性地,100,sèng-tē
siūnn-khuànn-māi,想看覓,100,siūⁿ-khòaⁿ-māi
siūnn-bē-kàu,想袂到,100,siūⁿ-bē-kàu
kám-un,感恩,100,kám-un
kng,扛,100,kng
pài-sann,拜三,100,pài-saⁿ
pài-jī,拜二,100,pài-jī
pài-gōo,拜五,100,pài-gō͘
pài-la̍k,拜六,100,pài-la̍k
tsíng-thâu-á,指頭仔,100,chéng-thâu-á
tsiap-siū,接受,100,chiap-siū
tshiau,搜,100,chhiau
tiah,摘,100,tiah
tsik,擠,100,chek
tioh,擢,100,tioh
pàng-jiō,放尿,100,pàng-jiō
pàng-sái,放屎,100,pàng-sái
hòng-sàng,放送,100,hòng-sàng
sàn-tshiah,散赤,100,sàn-chhiah
phóo-thong,普通,100,phó͘-thong
huē-sit-lé,會失禮,100,hōe-sit-lé
sim,森,100,sim
tsìng-siông,正常,100,chèng-siông
tsiànn-káng,正港,100,chiàⁿ-káng
khuì-la̍t,氣力,100,khùi-la̍t
thài,汰,100,thài
tsù-bûn,注文,100,chù-bûn
tsuānn,濺,100,chōaⁿ
oo-pe̍h-kóng,烏白講,100,o͘-pe̍h-kóng
bô-būn-tê,無問題,100,bô-būn-tê
bô-tik-khak,無的確,100,bô-tek-khak
sio-kāng,相仝,100,sio-kāng
khuànn-ū,看有,100,khòaⁿ-ū
khuànn-māi,看覓,100,khòaⁿ-māi
bîn-bāng,眠夢,100,bîn-bāng
kuáinn,稈,100,koáiⁿ
tshīng-sann,穿衫,100,chhēng-saⁿ
bí-kok,米國,100,bí-kok
muâi,糜,100,moâi
bāng-lōo,網路,100,bāng-lō͘
iân-tâu,緣投,100,iân-tâu
tsîn,繩,100,chîn
kiān,胘,100,kiān
tsínn,茈,100,chíⁿ
tshài-póo,菜脯,100,chhài-pó͘
tshài-thâu,菜頭,100,chhài-thâu
bē-sóng,袂爽,100,bē-sóng
bē-su,袂輸,100,bē-su
kok,谷,100,kok
lōo-bué,路尾,100,lō͘-bóe
ta̍k-kang,逐工,100,ta̍k-kang
kueh,郭,100,koeh
khok,酷,100,khok
giap,鋏,100,giap
koh-tsài,閣再,100,koh-chài
guán-tau,阮兜,100,goán-tau
tiān-thui,電梯,100,tiān-thui
ê-á,鞋仔,100,ê-á
hâi,頦,100,hâi
thâu-mn̂g,頭毛,100,thâu-mn̂g
tsiáu-á,鳥仔,100,chiáu-á
siān,𤺪,100,siān
tshit-thô,𨑨迌,100,chhit-thô
khiū,𩚨,100,khiū
kuinn,光,55,kuiⁿ
tsang,㨑,50,chang
thenn,䖙,50,theⁿ
thīn,伨,50,thīn
tshng,伸,50,chhng
jû,儒,50,jû
tāu,兜,50,tāu
jiám,冉,50,jiám
phut,刜,50,phut
ge,刮,50,ge
khe,刮,50,khe
tsa̍p-pueh,十八,50,cha̍p-poeh
sa̍p,卅,50,sa̍p
hùi,卉,50,hùi
húi,卉,50,húi
hūi,卉,50,hūi
tsňg,吮,50,chňg
bài,唄,50,bài
hannh,唅,50,haⁿh
sánn,啥,50,sáⁿ
hiàm,喊,50,hiàm
hiau,囂,50,hiau
tún,囤,50,tún
tsāi-tuē,在地,50,chāi-tōe
tâi,埋,50,tâi
tīnn,填,50,tīⁿ
hông,夆,50,hông
phānn,奅,50,phāⁿ
ne,奶,50,ne
gián,妍,50,gián
ua,娃,50,oa
tîng,婷,50,têng
hông,宏,50,hông
uan,宛,50,oan
uàn,宛,50,oàn
uán,宛,50,oán
uân,宛,50,oân
sîn,宸,50,sîn
tó,嶋,50,tó
tshî,徐,50,chhî
kōo,怙,50,kō͘
siōnn,想,50,siōⁿ
khái,愷,50,khái
tse̍re,截,50,che̍re
tsha̋i,才,50,chhăi
