tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tsuá-lok,紙橐,25,chóa-lok,tsua2lok,choa2lok,tsualok,choalok
tsuá-mn̂g,紙毛,25,chóa-mn̂g,tsua2mng5,choa2mng5,tsuamng,choamng
tsuá-kiû,紙毬,25,chóa-kiû,tsua2kiu5,choa2kiu5,tsuakiu,choakiu
tsuá-he,紙灰,25,chóa-he,tsua2he,choa2he,tsuahe,choahe
tsuá-hu,紙灰,25,chóa-hu,tsua2hu,choa2hu,tsuahu,choahu
tsuá-hun,紙煙,25,chóa-hun,tsua2hun,choa2hun,tsuahun,choahun
tsuá-ting,紙燈,25,chóa-teng,tsua2ting,choa2teng,tsuating,choateng
tsuá-pâi,紙牌,25,chóa-pâi,tsua2pai5,choa2pai5,tsuapai,choapai
tsuá-phê,紙皮,25,chóa-phê,tsua2phe5,choa2phe5,tsuaphe,choaphe
tsuá-tiam,紙砧,25,chóa-tiam,tsua2tiam,choa2tiam,tsuatiam,choatiam
tsuá-tshuì,紙碎,25,chóa-chhùi,tsua2tshui3,choa2chhui3,tsuatshui,choachhui
tsuá-phiò,紙票,25,chóa-phiò,tsua2phio3,choa2phio3,tsuaphio,choaphio
tsuá-thang,紙窗,25,chóa-thang,tsua2thang,choa2thang,tsuathang,choathang
tsuá-pit,紙筆,25,chóa-pit,tsua2pit,choa2pit,tsuapit,choapit
tsuá-kun,紙筋,25,chóa-kun,tsua2kun,choa2kun,tsuakun,choakun
tsuá-kóng,紙管,25,chóa-kóng,tsua2kong2,choa2kong2,tsuakong,choakong
tsuá-láng,紙籠,25,chóa-láng,tsua2lang2,choa2lang2,tsualang,choalang
tsuá-puē,紙背,25,chóa-pōe,tsua2pue7,choa2poe7,tsuapue,choapoe
tsuá-phe,紙胚,25,chóa-phe,tsua2phe,choa2phe,tsuaphe,choaphe
tsuá-phòo,紙舖,25,chóa-phò͘,tsua2phoo3,choa2phoo3,tsuaphoo,choaphoo
tsuá-tsûn,紙船,25,chóa-chûn,tsua2tsun5,choa2chun5,tsuatsun,choachun
tsuá-hue,紙花,25,chóa-hoe,tsua2hue,choa2hoe,tsuahue,choahoe
