hanzi,tl,frequency,poj,tl_num,poj_num
寄線,kià-suànn,25,kià-sòaⁿ,kia3suann3,kia3soann3
寶扇,pó-sìnn,25,pó-sìⁿ,po2sinn3,po2sinn3
封帽,hong-bō,25,hong-bō,hong1bo7,hong1bo7
對破,tuì-phuà,25,tùi-phòa,tui3phua3,tui3phoa3
小旦,sió-tuànn,25,sió-tòaⁿ,sio2tuann3,sio2toann3
小生,sió-sing,25,sió-seng,sio2sing1,sio2seng1
小菁,sió-tshinn,25,sió-chhiⁿ,sio2tshinn1,sio2chhinn1
尺鎚,tshioh-thuî,25,chhioh-thûi,tshioh4thui5,chhioh4thui5
屏風,pîn-hong,25,pîn-hong,pin5hong1,pin5hong1
巧雕,khá-tiau,25,khá-tiau,kha2tiau1,kha2tiau1
布枋,pòo-pang,25,pò͘-pang,poo3pang1,poo3pang1
布碖,pòo-lún,25,pò͘-lún,poo3lun2,poo3lun2
帶鋸,tuà-kù,25,tòa-kù,tua3ku3,toa3ku3
帶騎,tài-khiâ,25,tài-khiâ,tai3khia5,tai3khia5
平尺,phînn-tshioh,25,phîⁿ-chhioh,phinn5tshioh4,phinn5chhioh4
平枋,pênn-pang,25,pêⁿ-pang,penn5pang1,penn5pang1
幼破,iù-phuà,25,iù-phòa,iu3phua3,iu3phoa3
幼胚,iù-phue,25,iù-phoe,iu3phue1,iu3phoe1
幼蔥,iù-tshong,25,iù-chhong,iu3tshong1,iu3chhong1
幼針,iù-tsiam,25,iù-chiam,iu3tsiam1,iu3chiam1
度針,tōo-tsiam,25,tō͘-chiam,too7tsiam1,too7chiam1
弓仔,king-á,25,keng-á,king1a2,keng1a2
弓枋,king-pang,25,keng-pang,king1pang1,keng1pang1
彎剾,uân-khau,25,oân-khau,uan5khau1,oan5khau1
彩繪,tshái-uē,25,chhái-ōe,tshai2ue7,chhai2oe7
徛七,khiā-tshit,25,khiā-chhit,khia7tshit4,khia7chhit4
徛心,khiā-sim,25,khiā-sim,khia7sim1,khia7sim1
徛柱,khiā-thiāu,25,khiā-thiāu,khia7thiau7,khia7thiau7
徛鏡,khiā-kiànn,25,khiā-kiàⁿ,khia7kiann3,khia7kiann3
戕仔,tshiâng-á,25,chhiâng-á,tshiang5a2,chhiang5a2
