tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tuā-phiô,大萍,25,tōa-phiô,tua7phio5,toa7phio5,tuaphio,toaphio
tuā-be̍h,大麥,25,tōa-be̍h,tua7beh8,toa7beh8,tuabeh,toabeh
thian-tsháu,天草,25,thian-chháu,thiantshau2,thianchhau2,thiantshau,thianchhau
siā-kan,射干,25,siā-kan,sia7kan,sia7kan,siakan,siakan
sió-tshinn,小菁,25,sió-chhiⁿ,sio2tshinn,sio2chhinn,siotshinn,siochhinn
sió-be̍h,小麥,25,sió-be̍h,sio2beh8,sio2beh8,siobeh,siobeh
suann-nai,山奈,25,soaⁿ-nai,suannnai,soannnai,suannnai,soannnai
suann-sam,山杉,25,soaⁿ-sam,suannsam,soannsam,suannsam,soannsam
suann-khīng,山柏,25,soaⁿ-khēng,suannkhing7,soannkheng7,suannkhing,soannkheng
suann-khī,山柿,25,soaⁿ-khī,suannkhi7,soannkhi7,suannkhi,soannkhi
suann-lâi,山梨,25,soaⁿ-lâi,suannlai5,soannlai5,suannlai,soannlai
suann-tsang,山棕,25,soaⁿ-chang,suanntsang,soannchang,suanntsang,soannchang
suann-tshîng,山榕,25,soaⁿ-chhêng,suanntshing5,soannchheng5,suanntshing,soannchheng
suann-tshat,山漆,25,soaⁿ-chhat,suanntshat,soannchhat,suanntshat,soannchhat
suann-tê,山茶,25,soaⁿ-tê,suannte5,soannte5,suannte,soannte
suann-tshinn,山菁,25,soaⁿ-chhiⁿ,suanntshinn,soannchhinn,suanntshinn,soannchhinn
suann-kiok,山菊,25,soaⁿ-kiok,suannkiok,soannkiok,suannkiok,soannkiok
suann-muâ,山麻,25,soaⁿ-môa,suannmua5,soannmoa5,suannmua,soannmoa
tshuan-tshit,川七,25,chhoan-chhit,tshuantshit,chhoanchhit,tshuantshit,chhoanchhit
pa-tau,巴豆,25,pa-tau,patau,patau,patau,patau
pa-tāu,巴豆,25,pa-tāu,patau7,patau7,patau,patau
tshī-tshang,市葱,25,chhī-chhang,tshi7tshang,chhi7chhang,tshitshang,chhichhang
pòo-kiunn,布姜,25,pò͘-kiuⁿ,poo3kiunn,poo3kiunn,pookiunn,pookiunn
siông-san,常山,25,siông-san,siong5san,siong5san,siongsan,siongsan
nî-kam,年柑,25,nî-kam,ni5kam,ni5kam,nikam,nikam
kóng-á,廣仔,25,kóng-á,kong2a2,kong2a2,konga,konga
gōng-tshiū,戇樹,25,gōng-chhiū,gong7tshiu7,gong7chhiu7,gongtshiu,gongchhiu
tshiú-io̍h,手藥,25,chhiú-io̍h,tshiu2ioh8,chhiu2ioh8,tshiuioh,chhiuioh
pat-á,扒仔,25,pat-á,pata2,pata2,pata,pata
tánn-tsio,打招,25,táⁿ-chio,tann2tsio,tann2chio,tanntsio,tannchio
buah-tsháu,抹草,25,boah-chháu,buahtshau2,boahchhau2,buahtshau,boahchhau
pua̍t-á,拔仔,25,poa̍t-á,puat8a2,poat8a2,puata,poata
iông-phoo,揚波,25,iông-pho͘,iong5phoo,iong5phoo,iongphoo,iongphoo
phang-kuì,攀桂,25,phang-kùi,phangkui3,phangkui3,phangkui,phangkui
bûn-tàn,文旦,25,bûn-tàn,bun5tan3,bun5tan3,buntan,buntan
táu-iū,斗柚,25,táu-iū,tau2iu7,tau2iu7,tauiu,tauiu
táu-lo̍k,斗鹿,25,táu-lo̍k,tau2lok8,tau2lok8,taulok,taulok
tsá-iū,早柚,25,chá-iū,tsa2iu7,cha2iu7,tsaiu,chaiu
bān-iū,晚柚,25,bān-iū,ban7iu7,ban7iu7,baniu,baniu
ge̍h-thô,月桃,25,ge̍h-thô,geh8tho5,geh8tho5,gehtho,gehtho
bo̍k-ha̍k,木斛,25,bo̍k-ha̍k,bok8hak8,bok8hak8,bokhak,bokhak
bo̍k-kua,木瓜,25,bo̍k-koa,bok8kua,bok8koa,bokkua,bokkoa
ba̍k-lô,木羅,25,ba̍k-lô,bak8lo5,bak8lo5,baklo,baklo
ba̍k-hiunn,木香,25,ba̍k-hiuⁿ,bak8hiunn,bak8hiunn,bakhiunn,bakhiunn
pún-tsiunn,本樟,25,pún-chiuⁿ,pun2tsiunn,pun2chiunn,puntsiunn,punchiunn
pún-tshinn,本菁,25,pún-chhiⁿ,pun2tshinn,pun2chhinn,puntshinn,punchhinn
phoh-á,朴仔,25,phoh-á,phoha2,phoha2,phoha,phoha
kuann-á,杆仔,25,koaⁿ-á,kuanna2,koanna2,kuanna,koanna
sam-á,杉仔,25,sam-á,sama2,sama2,sama,sama
lí-á,李仔,25,lí-á,li2a2,li2a2,lia,lia
tōo-á,杜仔,25,tō͘-á,too7a2,too7a2,tooa,tooa
tshîng-peh,松柏,25,chhêng-peh,tshing5peh,chheng5peh,tshingpeh,chhengpeh
