hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
竚,tǐr,50,tǐr,tir6,tir6,tir,tir
竫,tsǐng,50,chěng,tsing6,cheng6,tsing,cheng
笥,sìr,50,sìr,sir3,sir3,sir,sir
笨,pǔn,50,pǔn,pun6,pun6,pun,pun
第,terē,50,tēre,tere7,tere7,tere,tere
笵,huān,50,hoān,huan7,hoan7,huan,hoan
笵,huǎn,50,hoǎn,huan6,hoan6,huan,hoan
筅,tshirínn,50,chhíriⁿ,tshirinn2,chhirinn2,tshirinn,chhirinn
筅,tshuínn,50,chhúiⁿ,tshuinn2,chhuinn2,tshuinn,chhuinn
筎,jîr,50,jîr,jir5,jir5,jir,jir
筎,lîr,50,lîr,lir5,lir5,lir,lir
筎,lû,50,lû,lu5,lu5,lu,lu
筥,kír,50,kír,kir2,kir2,kir,kir
箊,ir,50,ir,ir1,ir1,ir,ir
箊,u,50,u,u1,u1,u,u
箴,tserm,50,cherm,tserm1,cherm1,tserm,cherm
篆,tsuān,50,choān,tsuan7,choan7,tsuan,choan
篆,tsuǎn,50,choǎn,tsuan6,choan6,tsuan,choan
篋,khereh,50,khereh,khereh4,khereh4,khereh,khereh
篨,tîr,50,tîr,tir5,tir5,tir,tir
篰,phōo,50,phō͘,phoo7,phoo7,phoo,phoo
篰,phǒo,50,phǒ͘,phoo6,phoo6,phoo,phoo
篱,lerē,50,lēre,lere7,lere7,lere,lere
篱,lerě,50,lěre,lere6,lere6,lere,lere
篸,tserm,50,cherm,tserm1,cherm1,tserm,cherm
篸,tsherm,50,chherm,tsherm1,chherm1,tsherm,chherm
篸,tshim,50,chhim,tshim1,chhim1,tshim,chhim
篸,tsim,50,chim,tsim1,chim1,tsim,chim
篹,tsuǎn,50,choǎn,tsuan6,choan6,tsuan,choan
篽,gír,50,gír,gir2,gir2,gir,gir
篽,gú,50,gú,gu2,gu2,gu,gu
簄,hōo,50,hō͘,hoo7,hoo7,hoo,hoo
簄,hǒo,50,hǒ͘,hoo6,hoo6,hoo,hoo
簛,sir,50,sir,sir1,sir1,sir,sir
簛,su,50,su,su1,su1,su,su
簜,tǒng,50,tǒng,tong6,tong6,tong,tong
簟,tiǎm,50,tiǎm,tiam6,tiam6,tiam,tiam
簪,tserm,50,cherm,tserm1,cherm1,tserm,cherm
簴,kīr,50,kīr,kir7,kir7,kir,kir
簴,kǐr,50,kǐr,kir6,kir6,kir,kir
籀,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu
籅,îr,50,îr,ir5,ir5,ir,ir
籍,tsi̍p,50,chi̍p,tsip8,chip8,tsip,chip
籍,tsìr,50,chìr,tsir3,chir3,tsir,chir
籍,tsù,50,chù,tsu3,chu3,tsu,chu
籑,tsuān,50,choān,tsuan7,choan7,tsuan,choan
籑,tsuǎn,50,choǎn,tsuan6,choan6,tsuan,choan
籒,tiū,50,tiū,tiu7,tiu7,tiu,tiu
籒,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu
籞,gír,50,gír,gir2,gir2,gir,gir
籞,gú,50,gú,gu2,gu2,gu,gu
籠,lǎng,50,lǎng,lang6,lang6,lang,lang
籧,kîr,50,kîr,kir5,kir5,kir,kir
籪,tuǎn,50,toǎn,tuan6,toan6,tuan,toan
籹,jír,50,jír,jir2,jir2,jir,jir
籹,lír,50,lír,lir2,lir2,lir,lir
籽,tsír,50,chír,tsir2,chir2,tsir,chir
粔,kīr,50,kīr,kir7,kir7,kir,kir
粔,kǐr,50,kǐr,kir6,kir6,kir,kir
粙,tiū,50,tiū,tiu7,tiu7,tiu,tiu
粙,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu
粞,tsherè,50,chhère,tshere3,chhere3,tshere,chhere
粢,tsir,50,chir,tsir1,chir1,tsir,chir
糈,sír,50,sír,sir2,sir2,sir,sir
糈,sú,50,sú,su2,su2,su,su
糍,tsîr,50,chîr,tsir5,chir5,tsir,chir
糹,bi̍k,50,be̍k,bik8,bek8,bik,bek
紂,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu
紎,tsir,50,chir,tsir1,chir1,tsir,chir
紎,tsu,50,chu,tsu1,chu1,tsu,chu
紓,sir,50,sir,sir1,sir1,sir,sir
紖,tīn,50,tīn,tin7,tin7,tin,tin
紖,tǐn,50,tǐn,tin6,tin6,tin,tin
紗,see,50,see,see1,see1,see,see
紪,tshér,50,chhér,tsher2,chher2,tsher,chher
紫,tsír,50,chír,tsir2,chir2,tsir,chir
細,sèr,50,sèr,ser3,ser3,ser,ser
紵,tīr,50,tīr,tir7,tir7,tir,tir
紵,tū,50,tū,tu7,tu7,tu,tu
紵,tǐr,50,tǐr,tir6,tir6,tir,tir
紿,tǎi,50,tǎi,tai6,tai6,tai,tai
絆,puān,50,poān,puan7,poan7,puan,poan
絆,puānn,50,pōaⁿ,puann7,poann7,puann,poann
絆,puǎnn,50,pǒaⁿ,puann6,poann6,puann,poann
絘,tshìr,50,chhìr,tshir3,chhir3,tshir,chhir
絘,tshù,50,chhù,tshu3,chhu3,tshu,chhu
絩,tiāu,50,tiāu,tiau7,tiau7,tiau,tiau
絩,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau
絮,sìr,50,sìr,sir3,sir3,sir,sir
絯,hāi,50,hāi,hai7,hai7,hai,hai
絯,hǎi,50,hǎi,hai6,hai6,hai,hai
