tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taihoa
guán,阮,11550,goán,guan2,goan2,guan,goan,,,True
mā,嘛,11524,mā,ma7,ma7,ma,ma,,,True
ka,家,11523,ka,ka1,ka1,ka,ka,,,True
bîn,民,11383,bîn,bin5,bin5,bin,bin,,,True
khuán,款,11269,khoán,khuan2,khoan2,khuan,khoan,,,True
sí,死,11257,sí,si2,si2,si,si,,,True
sin,身,10865,sin,sin1,sin1,sin,sin,,,True
suann,山,10820,soaⁿ,suann1,soann1,suann,soann,,,True
tshia,車,10763,chhia,tshia1,chhia1,tshia,chhia,,,True
thiann,聽,10741,thiaⁿ,thiann1,thiann1,thiann,thiann,,,True
án,俺,10635,án,an2,an2,an,an,,,True
hiong,鄉,10443,hiong,hiong1,hiong1,hiong,hiong,,,True
kuè,過,10205,kòe,kue3,koe3,kue,koe,,,True
siann,聲,10175,siaⁿ,siann1,siann1,siann,siann,,,True
sin,新,10069,sin,sin1,sin1,sin,sin,,,True
uan,灣,9981,oan,uan1,oan1,uan,oan,,,True
ba̍k,目,9818,ba̍k,bak8,bak8,bak,bak,,,True
khui,開,9713,khui,khui1,khui1,khui,khui,,,True
sing,生,9626,seng,sing1,seng1,sing,seng,,,True
tsit,這,9622,chit,tsit1,chit1,tsit,chit,,,True
si̍t,實,9621,si̍t,sit8,sit8,sit,sit,,,True
hong,風,9297,hong,hong1,hong1,hong,hong,,,True
kám,感,9228,kám,kam2,kam2,kam,kam,,,True
pe̍h,白,9226,pe̍h,peh8,peh8,peh,peh,,,True
king,經,9218,keng,king1,keng1,king,keng,,,True
jī,字,9159,jī,ji7,ji7,ji,ji,,,True
lī,字,9159,lī,li7,li7,li,li,,,True
huat,發,9126,hoat,huat1,hoat1,huat,hoat,,,True
kim,金,9080,kim,kim1,kim1,kim,kim,,,True
iánn,影,9036,iáⁿ,iann2,iann2,iann,iann,,,True
bóo,某,9022,bó͘,boo2,boo2,boo,boo,,,True
tshù,厝,8959,chhù,tshu3,chhu3,tshu,chhu,,,True
iáu,猶,8915,iáu,iau2,iau2,iau,iau,,,True
tsóng,總,8896,chóng,tsong2,chong2,tsong,chong,,,True
tsai,知,8879,chai,tsai1,chai1,tsai,chai,,,True
tíng,頂,8873,téng,ting2,teng2,ting,teng,,,True
oo,烏,8830,o͘,oo1,oo1,oo,oo,,,True
khì,氣,8829,khì,khi3,khi3,khi,khi,,,True
tē,地,8822,tē,te7,te7,te,te,,,True
tōng,動,8786,tōng,tong7,tong7,tong,tong,,,True
sîn,神,8753,sîn,sin5,sin5,sin,sin,,,True
lo̍h,落,8749,lo̍h,loh8,loh8,loh,loh,,,True
nih,呢,8729,nih,nih1,nih1,nih,nih,,,True
sió,小,8653,sió,sio2,sio2,sio,sio,,,True
huà,化,8649,hòa,hua3,hoa3,hua,hoa,,,True
hun,分,8581,hun,hun1,hun1,hun,hun,,,True
tsū,自,8553,chū,tsu7,chu7,tsu,chu,,,True
im,音,8544,im,im1,im1,im,im,,,True
kah,甲,8530,kah,kah1,kah1,kah,kah,,,True
senn,生,8389,seⁿ,senn1,senn1,senn,senn,,,True
tsînn,錢,8339,chîⁿ,tsinn5,chinn5,tsinn,chinn,,,True
hái,海,8273,hái,hai2,hai2,hai,hai,,,True
ē,會,8235,ē,e7,e7,e,e,,,True
tng,當,8208,tng,tng1,tng1,tng,tng,,,True
bîng,明,8206,bêng,bing5,beng5,bing,beng,,,True
siánn,啥,8104,siáⁿ,siann2,siann2,siann,siann,,,True
siá,寫,7896,siá,sia2,sia2,sia,sia,,,True
hàn,漢,7881,hàn,han3,han3,han,han,,,True
