hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,khpoo,is_variant
着,tio̍h,8871,tio̍h,tioh8,tioh8,ㄉㄧㄛㆷ̇,,tioh,tioh,ㄉㄧㄛㆷ,,,,,,True,False
蔘,sim,1279,sim,sim1,sim1,ㄒㄧㆬ,,sim,sim,ㄒㄧㆬ,,,,,,True,True
爲,uī,1138,ūi,ui7,ui7,ㄨㄧ˫,,ui,ui,ㄨㄧ,,,,,,True,False
着,to̍h,1132,to̍h,toh8,toh8,ㄉㄛㆷ̇,,toh,toh,ㄉㄛㆷ,,,,,,True,False
壙,khǹg,963,khǹg,khng3,khng3,ㄎㆭ˪,,khng,khng,ㄎㆭ,,,,,,True,False
正實,tsiann-si̍t,500,chiaⁿ-si̍t,tsiann1sit8,chiann1sit8,ㄐㄧㆩㄒㄧㆵ̇,,tsiannsit,chiannsit,ㄐㄧㆩㄒㄧㆵ,,ts,cs,ㄐㄒ,,True,False
侢,tsāi,350,chāi,tsai7,chai7,ㄗㄞ˫,,tsai,chai,ㄗㄞ,,,,,,True,False
卍,bān,293,bān,ban7,ban7,ㆠㄢ˫,,ban,ban,ㆠㄢ,,,,,,True,False
歳,suè,260,sòe,sue3,soe3,ㄙㄨㆤ˪,,sue,soe,ㄙㄨㆤ,,,,,,True,False
菓,ké,176,ké,ke2,ke2,ㄍㆤˋ,,ke,ke,ㄍㆤ,,,,,,True,False
罣,kuà,169,kòa,kua3,koa3,ㄍㄨㄚ˪,,kua,koa,ㄍㄨㄚ,,,,,,True,False
歳,hè,157,hè,he3,he3,ㄏㆤ˪,,he,he,ㄏㆤ,,,,,,True,False
鈎,kau,150,kau,kau1,kau1,ㄍㄠ,,kau,kau,ㄍㄠ,,,,,,True,False
叙,sū,102,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
食,sū,102,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
葵,khe,101,khe,khe1,khe1,ㄎㆤ,,khe,khe,ㄎㆤ,,,,,,True,False
艸,tsháu,100,chháu,tshau2,chhau2,ㄘㄠˋ,,tshau,chhau,ㄘㄠ,,,,,,True,False
閑,ân,100,ân,an5,an5,ㄢˊ,,an,an,ㄢ,,,,,,True,False
閒,ân,100,ân,an5,an5,ㄢˊ,,an,an,ㄢ,,,,,,True,False
肩,kuinn,55,kuiⁿ,kuinn1,kuinn1,ㄍㄨㆪ,,kuinn,kuinn,ㄍㄨㆪ,,,,,,True,False
間,kuinn,55,kuiⁿ,kuinn1,kuinn1,ㄍㄨㆪ,,kuinn,kuinn,ㄍㄨㆪ,,,,,,True,False
⺗,sim,50,sim,sim1,sim1,ㄒㄧㆬ,,sim,sim,ㄒㄧㆬ,,,,,,True,False
⺮,tik,50,tek,tik4,tek4,ㄉㄧㆻ,,tik,tek,ㄉㄧㆻ,,,,,,True,False
⺼,hi̍k,50,he̍k,hik8,hek8,ㄏㄧㆻ̇,,hik,hek,ㄏㄧㆻ,,,,,,True,False
⺼,jio̍k,50,jio̍k,jiok8,jiok8,ㆢㄧㆦㆻ̇,,jiok,jiok,ㆢㄧㆦㆻ,,,,,,True,False
⺼,lio̍k,50,lio̍k,liok8,liok8,ㄌㄧㆦㆻ̇,,liok,liok,ㄌㄧㆦㆻ,,,,,,True,False
⻍,thiok,50,thiok,thiok4,thiok4,ㄊㄧㆦㆻ,,thiok,thiok,ㄊㄧㆦㆻ,,,,,,True,False
⻍,tshiok,50,chhiok,tshiok4,chhiok4,ㄑㄧㆦㆻ,,tshiok,chhiok,ㄑㄧㆦㆻ,,,,,,True,False
⻏,ip,50,ip,ip4,ip4,ㄧㆴ,,ip,ip,ㄧㆴ,,,,,,True,False
じゃんけん,giāng,50,giāng,giang7,giang7,ㆣㄧㄤ˫,,giang,giang,ㆣㄧㄤ,,,,,,True,False
じゃん拳,giāng,50,giāng,giang7,giang7,ㆣㄧㄤ˫,,giang,giang,ㆣㄧㄤ,,,,,,True,False
パン,pháng,50,pháng,phang2,phang2,ㄆㄤˋ,,phang,phang,ㄆㄤ,,,,,,True,False
㖢,tsîr,50,chîr,tsir5,chir5,ㄗㆨˊ,,tsir,chir,ㄗㆨ,,,,,,True,False
㖢,tsû,50,chû,tsu5,chu5,ㄗㄨˊ,,tsu,chu,ㄗㄨ,,,,,,True,False
㝹,liô,50,liô,lio5,lio5,ㄌㄧㄛˊ,,lio,lio,ㄌㄧㄛ,,,,,,True,False
㞐,kir,50,kir,kir1,kir1,ㄍㆨ,,kir,kir,ㄍㆨ,,,,,,True,False
㠁,tsherm,50,chherm,tsherm1,chherm1,ㄘㄜㆬ,ㄘㄛㆬ,tsherm,chherm,ㄘㄜㆬ,ㄘㄛㆬ,,,,,True,False
㠁,tshim,50,chhim,tshim1,chhim1,ㄑㄧㆬ,,tshim,chhim,ㄑㄧㆬ,,,,,,True,False
㣺,sim,50,sim,sim1,sim1,ㄒㄧㆬ,,sim,sim,ㄒㄧㆬ,,,,,,True,False
㤉,gêr,50,gêr,ger5,ger5,ㆣㄜˊ,ㆣㄛˊ,ger,ger,ㆣㄜ,ㆣㄛ,,,,,True,False
㧎,khêe,50,khêe,khee5,khee5,ㄎㄝˊ,,khee,khee,ㄎㄝ,,,,,,True,False
㹑,sìr,50,sìr,sir3,sir3,ㄙㆨ˪,,sir,sir,ㄙㆨ,,,,,,True,False
㹑,sù,50,sù,su3,su3,ㄙㄨ˪,,su,su,ㄙㄨ,,,,,,True,False
䂜,pāng,50,pāng,pang7,pang7,ㄅㄤ˫,,pang,pang,ㄅㄤ,,,,,,True,False
䂜,pǎng,50,pǎng,pang6,pang6,ㄅㄤˇ,,pang,pang,ㄅㄤ,,,,,,True,False
䎣,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
䎣,sū,50,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
䎣,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
䖳,thēe,50,thēe,thee7,thee7,ㄊㄝ˫,,thee,thee,ㄊㄝ,,,,,,True,False
䥑,be̍eh,50,be̍eh,beeh8,beeh8,ㆠㄝㆷ̇,,beeh,beeh,ㆠㄝㆷ,,,,,,True,False
䥑,be̍h,50,be̍h,beh8,beh8,ㆠㆤㆷ̇,,beh,beh,ㆠㆤㆷ,,,,,,True,False
䳄,tshir,50,chhir,tshir1,chhir1,ㄘㆨ,,tshir,chhir,ㄘㆨ,,,,,,True,False
䳄,tshu,50,chhu,tshu1,chhu1,ㄘㄨ,,tshu,chhu,ㄘㄨ,,,,,,True,False
䳄,tsir,50,chir,tsir1,chir1,ㄗㆨ,,tsir,chir,ㄗㆨ,,,,,,True,False
䳄,tsu,50,chu,tsu1,chu1,ㄗㄨ,,tsu,chu,ㄗㄨ,,,,,,True,False
一,tsi̍k,50,che̍k,tsik8,chek8,ㄐㄧㆻ̇,,tsik,chek,ㄐㄧㆻ,,,,,,True,False
七,tshik,50,chhek,tshik4,chhek4,ㄑㄧㆻ,,tshik,chhek,ㄑㄧㆻ,,,,,,True,False
丄,sióng,50,sióng,siong2,siong2,ㄒㄧㆲˋ,,siong,siong,ㄒㄧㆲ,,,,,,True,False
丄,siāng,50,siāng,siang7,siang7,ㄒㄧㄤ˫,,siang,siang,ㄒㄧㄤ,,,,,,True,False
丄,siōng,50,siōng,siong7,siong7,ㄒㄧㆲ˫,,siong,siong,ㄒㄧㆲ,,,,,,True,False
丄,siǒng,50,siǒng,siong6,siong6,ㄒㄧㆲˇ,,siong,siong,ㄒㄧㆲ,,,,,,True,False
丄,tshiōnn,50,chhiōⁿ,tshionn7,chhionn7,ㄑㄧㆧ˫,,tshionn,chhionn,ㄑㄧㆧ,,,,,,True,False
丄,tshiūnn,50,chhiūⁿ,tshiunn7,chhiunn7,ㄑㄧㆫ˫,,tshiunn,chhiunn,ㄑㄧㆫ,,,,,,True,False
丄,tshiǔnn,50,chhiǔⁿ,tshiunn6,chhiunn6,ㄑㄧㆫˇ,,tshiunn,chhiunn,ㄑㄧㆫ,,,,,,True,False
丄,tsiōnn,50,chiōⁿ,tsionn7,chionn7,ㄐㄧㆧ˫,,tsionn,chionn,ㄐㄧㆧ,,,,,,True,False
丄,tsiūnn,50,chiūⁿ,tsiunn7,chiunn7,ㄐㄧㆫ˫,,tsiunn,chiunn,ㄐㄧㆫ,,,,,,True,False
丄,tsiǔnn,50,chiǔⁿ,tsiunn6,chiunn6,ㄐㄧㆫˇ,,tsiunn,chiunn,ㄐㄧㆫ,,,,,,True,False
丅,hā,50,hā,ha7,ha7,ㄏㄚ˫,,ha,ha,ㄏㄚ,,,,,,True,False
丅,hē,50,hē,he7,he7,ㄏㆤ˫,,he,he,ㄏㆤ,,,,,,True,False
丅,hēe,50,hēe,hee7,hee7,ㄏㄝ˫,,hee,hee,ㄏㄝ,,,,,,True,False
丅,hě,50,hě,he6,he6,ㄏㆤˇ,,he,he,ㄏㆤ,,,,,,True,False
丅,hǎ,50,hǎ,ha6,ha6,ㄏㄚˇ,,ha,ha,ㄏㄚ,,,,,,True,False
丅,khē,50,khē,khe7,khe7,ㄎㆤ˫,,khe,khe,ㄎㆤ,,,,,,True,False
丅,khě,50,khě,khe6,khe6,ㄎㆤˇ,,khe,khe,ㄎㆤ,,,,,,True,False
丅,ē,50,ē,e7,e7,ㆤ˫,,e,e,ㆤ,,,,,,True,False
丅,ēe,50,ēe,ee7,ee7,ㄝ˫,,ee,ee,ㄝ,,,,,,True,False
丅,ě,50,ě,e6,e6,ㆤˇ,,e,e,ㆤ,,,,,,True,False
丈,tiǒng,50,tiǒng,tiong6,tiong6,ㄉㄧㆲˇ,,tiong,tiong,ㄉㄧㆲ,,,,,,True,False
丈,tňg,50,tňg,tng6,tng6,ㄉㆭˇ,,tng,tng,ㄉㆭ,,,,,,True,False
上,siǒng,50,siǒng,siong6,siong6,ㄒㄧㆲˇ,,siong,siong,ㄒㄧㆲ,,,,,,True,False
下,hēe,50,hēe,hee7,hee7,ㄏㄝ˫,,hee,hee,ㄏㄝ,,,,,,True,False
下,hě,50,hě,he6,he6,ㄏㆤˇ,,he,he,ㄏㆤ,,,,,,True,False
下,hǎ,50,hǎ,ha6,ha6,ㄏㄚˇ,,ha,ha,ㄏㄚ,,,,,,True,False
下,khě,50,khě,khe6,khe6,ㄎㆤˇ,,khe,khe,ㄎㆤ,,,,,,True,False
下,ēe,50,ēe,ee7,ee7,ㄝ˫,,ee,ee,ㄝ,,,,,,True,False
且,tshir,50,chhir,tshir1,chhir1,ㄘㆨ,,tshir,chhir,ㄘㆨ,,,,,,True,False
且,tshu,50,chhu,tshu1,chhu1,ㄘㄨ,,tshu,chhu,ㄘㄨ,,,,,,True,False
並,pǐng,50,pěng,ping6,peng6,ㄅㄧㄥˇ,,ping,peng,ㄅㄧㄥ,,,,,,True,False
丨,kún,50,kún,kun2,kun2,ㄍㄨㄣˋ,,kun,kun,ㄍㄨㄣ,,,,,,True,False
丶,tsú,50,chú,tsu2,chu2,ㄗㄨˋ,,tsu,chu,ㄗㄨ,,,,,,True,False
丷,pat,50,pat,pat4,pat4,ㄅㄚㆵ,,pat,pat,ㄅㄚㆵ,,,,,,True,False
丼,tsénn,50,chéⁿ,tsenn2,chenn2,ㄗㆥˋ,,tsenn,chenn,ㄗㆥ,,,,,,True,False
丼,tsínn,50,chíⁿ,tsinn2,chinn2,ㄐㆪˋ,,tsinn,chinn,ㄐㆪ,,,,,,True,False
丼,tám,50,tám,tam2,tam2,ㄉㆰˋ,,tam,tam,ㄉㆰ,,,,,,True,False
乁,î,50,î,i5,i5,ㄧˊ,,i,i,ㄧ,,,,,,True,False
乚,írn,50,írn,irn2,irn2,ㆨㄣˋ,,irn,irn,ㆨㄣ,,,,,,True,False
乚,ún,50,ún,un2,un2,ㄨㄣˋ,,un,un,ㄨㄣ,,,,,,True,False
也,iǎ,50,iǎ,ia6,ia6,ㄧㄚˇ,,ia,ia,ㄧㄚ,,,,,,True,False
也,ǎ,50,ǎ,a6,a6,ㄚˇ,,a,a,ㄚ,,,,,,True,False
乿,tǐ,50,tǐ,ti6,ti6,ㄉㄧˇ,,ti,ti,ㄉㄧ,,,,,,True,False
予,ír,50,ír,ir2,ir2,ㆨˋ,,ir,ir,ㆨ,,,,,,True,False
予,îr,50,îr,ir5,ir5,ㆨˊ,,ir,ir,ㆨ,,,,,,True,False
事,tsìr,50,chìr,tsir3,chir3,ㄗㆨ˪,,tsir,chir,ㄗㆨ,,,,,,True,False
事,tsù,50,chù,tsu3,chu3,ㄗㄨ˪,,tsu,chu,ㄗㄨ,,,,,,True,False
于,îr,50,îr,ir5,ir5,ㆨˊ,,ir,ir,ㆨ,,,,,,True,False
五,góo,50,gó͘,goo2,goo2,ㆣㆦˋ,,goo,goo,ㆣㆦ,,,,,,True,False
五,ngōo,50,ngō͘,ngoo7,ngoo7,ㄫㆦ˫,,ngoo,ngoo,ㄫㆦ,,,,,,True,False
亖,sìr,50,sìr,sir3,sir3,ㄙㆨ˪,,sir,sir,ㄙㆨ,,,,,,True,False
亖,sù,50,sù,su3,su3,ㄙㄨ˪,,su,su,ㄙㄨ,,,,,,True,False
亗,hè,50,hè,he3,he3,ㄏㆤ˪,,he,he,ㄏㆤ,,,,,,True,False
亗,hèr,50,hèr,her3,her3,ㄏㄜ˪,ㄏㄛ˪,her,her,ㄏㄜ,ㄏㄛ,,,,,True,False
亗,suè,50,sòe,sue3,soe3,ㄙㄨㆤ˪,,sue,soe,ㄙㄨㆤ,,,,,,True,False
亝,tsai,50,chai,tsai1,chai1,ㄗㄞ,,tsai,chai,ㄗㄞ,,,,,,True,False
亝,tserê,50,cherê,tsere5,chere5,ㄗㄜㆤˊ,ㄗㄛㆤˊ,tsere,chere,ㄗㄜㆤ,ㄗㄛㆤ,,,,,True,False
亝,tsir,50,chir,tsir1,chir1,ㄗㆨ,,tsir,chir,ㄗㆨ,,,,,,True,False
亝,tsu,50,chu,tsu1,chu1,ㄗㄨ,,tsu,chu,ㄗㄨ,,,,,,True,False
亝,tsuê,50,chôe,tsue5,choe5,ㄗㄨㆤˊ,,tsue,choe,ㄗㄨㆤ,,,,,,True,False
亝,tsê,50,chê,tse5,che5,ㄗㆤˊ,,tse,che,ㄗㆤ,,,,,,True,False
亠,thiô,50,thiô,thio5,thio5,ㄊㄧㄛˊ,,thio,thio,ㄊㄧㄛ,,,,,,True,False
亥,hǎi,50,hǎi,hai6,hai6,ㄏㄞˇ,,hai,hai,ㄏㄞ,,,,,,True,False
亻,jîn,50,jîn,jin5,jin5,ㆢㄧㄣˊ,,jin,jin,ㆢㄧㄣ,,,,,,True,False
亻,lîn,50,lîn,lin5,lin5,ㄌㄧㄣˊ,,lin,lin,ㄌㄧㄣ,,,,,,True,False
仄,tseeh,50,cheeh,tseeh4,cheeh4,ㄗㄝㆷ,,tseeh,cheeh,ㄗㄝㆷ,,,,,,True,False
仔,tsir,50,chir,tsir1,chir1,ㄗㆨ,,tsir,chir,ㄗㆨ,,,,,,True,False
仔,tsu,50,chu,tsu1,chu1,ㄗㄨ,,tsu,chu,ㄗㄨ,,,,,,True,False
仔,tsír,50,chír,tsir2,chir2,ㄗㆨˋ,,tsir,chir,ㄗㆨ,,,,,,True,False
仕,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
仕,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
仗,thiōng,50,thiōng,thiong7,thiong7,ㄊㄧㆲ˫,,thiong,thiong,ㄊㄧㆲ,,,,,,True,False
仗,thiǒng,50,thiǒng,thiong6,thiong6,ㄊㄧㆲˇ,,thiong,thiong,ㄊㄧㆲ,,,,,,True,False
仗,tiǒng,50,tiǒng,tiong6,tiong6,ㄉㄧㆲˇ,,tiong,tiong,ㄉㄧㆲ,,,,,,True,False
仟,tshainn,50,chhaiⁿ,tshainn1,chhainn1,ㄘㆮ,,tshainn,chhainn,ㄘㆮ,,,,,,True,True
仟,tshan,50,chhan,tshan1,chhan1,ㄘㄢ,,tshan,chhan,ㄘㄢ,,,,,,True,False
仟,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,ㄘㆨㆪ,,tshirinn,chhirinn,ㄘㆨㆪ,,,,,,True,True
仟,tshuinn,50,chhuiⁿ,tshuinn1,chhuinn1,ㄘㄨㆪ,,tshuinn,chhuinn,ㄘㄨㆪ,,,,,,True,True
件,kiǎnn,50,kiǎⁿ,kiann6,kiann6,ㄍㄧㆩˇ,,kiann,kiann,ㄍㄧㆩ,,,,,,True,False
伃,îr,50,îr,ir5,ir5,ㆨˊ,,ir,ir,ㆨ,,,,,,True,False
伅,tūn,50,tūn,tun7,tun7,ㄉㄨㄣ˫,,tun,tun,ㄉㄨㄣ,,,,,,True,False
伅,tǔn,50,tǔn,tun6,tun6,ㄉㄨㄣˇ,,tun,tun,ㄉㄨㄣ,,,,,,True,False
伍,gōo,50,gō͘,goo7,goo7,ㆣㆦ˫,,goo,goo,ㆣㆦ,,,,,,True,False
伍,gǒo,50,gǒ͘,goo6,goo6,ㆣㆦˇ,,goo,goo,ㆣㆦ,,,,,,True,False
伎,kǐ,50,kǐ,ki6,ki6,ㄍㄧˇ,,ki,ki,ㄍㄧ,,,,,,True,False
伙,hér,50,hér,her2,her2,ㄏㄜˋ,ㄏㄛˋ,her,her,ㄏㄜ,ㄏㄛ,,,,,True,False
伢,gâ,50,gâ,ga5,ga5,ㆣㄚˊ,,ga,ga,ㆣㄚ,,,,,,True,False
伢,gê,50,gê,ge5,ge5,ㆣㆤˊ,,ge,ge,ㆣㆤ,,,,,,True,False
伫,tīr,50,tīr,tir7,tir7,ㄉㆨ˫,,tir,tir,ㄉㆨ,,,,,,True,False
伫,tū,50,tū,tu7,tu7,ㄉㄨ˫,,tu,tu,ㄉㄨ,,,,,,True,False
伫,tǐr,50,tǐr,tir6,tir6,ㄉㆨˇ,,tir,tir,ㄉㆨ,,,,,,True,False
伬,tshē,50,chhē,tshe7,chhe7,ㄘㆤ˫,,tshe,chhe,ㄘㆤ,,,,,,True,False
伬,tshě,50,chhě,tshe6,chhe6,ㄘㆤˇ,,tshe,chhe,ㄘㆤ,,,,,,True,False
伯,peeh,50,peeh,peeh4,peeh4,ㄅㄝㆷ,,peeh,peeh,ㄅㄝㆷ,,,,,,True,False
伴,phuǎn,50,phoǎn,phuan6,phoan6,ㄆㄨㄢˇ,,phuan,phoan,ㄆㄨㄢ,,,,,,True,False
伷,tiū,50,tiū,tiu7,tiu7,ㄉㄧㄨ˫,,tiu,tiu,ㄉㄧㄨ,,,,,,True,False
伷,tiǔ,50,tiǔ,tiu6,tiu6,ㄉㄧㄨˇ,,tiu,tiu,ㄉㄧㄨ,,,,,,True,False
伹,tshir,50,chhir,tshir1,chhir1,ㄘㆨ,,tshir,chhir,ㄘㆨ,,,,,,True,False
伹,tshu,50,chhu,tshu1,chhu1,ㄘㄨ,,tshu,chhu,ㄘㄨ,,,,,,True,False
伺,sìr,50,sìr,sir3,sir3,ㄙㆨ˪,,sir,sir,ㄙㆨ,,,,,,True,False
伺,sù,50,sù,su3,su3,ㄙㄨ˪,,su,su,ㄙㄨ,,,,,,True,False
伺,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
伻,phinn,50,phiⁿ,phinn1,phinn1,ㄆㆪ,,phinn,phinn,ㄆㆪ,,,,,,True,False
似,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
似,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
佀,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
佀,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
佃,tirīnn,50,tirīⁿ,tirinn7,tirinn7,ㄉㆨㆪ˫,,tirinn,tirinn,ㄉㆨㆪ,,,,,,True,False
佃,tuīnn,50,tūiⁿ,tuinn7,tuinn7,ㄉㄨㆪ˫,,tuinn,tuinn,ㄉㄨㆪ,,,,,,True,False
但,tǎn,50,tǎn,tan6,tan6,ㄉㄢˇ,,tan,tan,ㄉㄢ,,,,,,True,False
佇,tír,50,tír,tir2,tir2,ㄉㆨˋ,,tir,tir,ㄉㆨ,,,,,,True,False
佇,tú,50,tú,tu2,tu2,ㄉㄨˋ,,tu,tu,ㄉㄨ,,,,,,True,False
佉,khir,50,khir,khir1,khir1,ㄎㆨ,,khir,khir,ㄎㆨ,,,,,,True,False
佌,tshír,50,chhír,tshir2,chhir2,ㄘㆨˋ,,tshir,chhir,ㄘㆨ,,,,,,True,False
低,kēe,50,kēe,kee7,kee7,ㄍㄝ˫,,kee,kee,ㄍㄝ,,,,,,True,False
低,kě,50,kě,ke6,ke6,ㄍㆤˇ,,ke,ke,ㄍㆤ,,,,,,True,False
余,îr,50,îr,ir5,ir5,ㆨˊ,,ir,ir,ㆨ,,,,,,True,False
佢,kīr,50,kīr,kir7,kir7,ㄍㆨ˫,,kir,kir,ㄍㆨ,,,,,,True,False
佢,kǐr,50,kǐr,kir6,kir6,ㄍㆨˇ,,kir,kir,ㄍㆨ,,,,,,True,False
佩,pē,50,pē,pe7,pe7,ㄅㆤ˫,,pe,pe,ㄅㆤ,,,,,,True,False
佩,pēr,50,pēr,per7,per7,ㄅㄜ˫,ㄅㄛ˫,per,per,ㄅㄜ,ㄅㄛ,,,,,True,False
佳,kee,50,kee,kee1,kee1,ㄍㄝ,,kee,kee,ㄍㄝ,,,,,,True,False
佽,tshìr,50,chhìr,tshir3,chhir3,ㄘㆨ˪,,tshir,chhir,ㄘㆨ,,,,,,True,False
使,sìr,50,sìr,sir3,sir3,ㄙㆨ˪,,sir,sir,ㄙㆨ,,,,,,True,False
使,sír,50,sír,sir2,sir2,ㄙㆨˋ,,sir,sir,ㄙㆨ,,,,,,True,False
侍,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
供,kirínn,50,kiríⁿ,kirinn2,kirinn2,ㄍㆨㆪˋ,,kirinn,kirinn,ㄍㆨㆪ,,,,,,True,False
供,kuínn,50,kúiⁿ,kuinn2,kuinn2,ㄍㄨㆪˋ,,kuinn,kuinn,ㄍㄨㆪ,,,,,,True,False
供,káinn,50,káiⁿ,kainn2,kainn2,ㄍㆮˋ,,kainn,kainn,ㄍㆮ,,,,,,True,False
侞,jîr,50,jîr,jir5,jir5,ㆡㆨˊ,,jir,jir,ㆡㆨ,,,,,,True,False
侞,lîr,50,lîr,lir5,lir5,ㄌㆨˊ,,lir,lir,ㄌㆨ,,,,,,True,False
侞,lû,50,lû,lu5,lu5,ㄌㄨˊ,,lu,lu,ㄌㄨ,,,,,,True,False
侢,tsǎi,50,chǎi,tsai6,chai6,ㄗㄞˇ,,tsai,chai,ㄗㄞ,,,,,,True,False
侶,līr,50,līr,lir7,lir7,ㄌㆨ˫,,lir,lir,ㄌㆨ,,,,,,True,False
侶,lǐr,50,lǐr,lir6,lir6,ㄌㆨˇ,,lir,lir,ㄌㆨ,,,,,,True,False
俆,sir,50,sir,sir1,sir1,ㄙㆨ,,sir,sir,ㄙㆨ,,,,,,True,False
俆,su,50,su,su1,su1,ㄙㄨ,,su,su,ㄙㄨ,,,,,,True,False
俆,sîr,50,sîr,sir5,sir5,ㄙㆨˊ,,sir,sir,ㄙㆨ,,,,,,True,False
俔,hiān,50,hiān,hian7,hian7,ㄏㄧㄢ˫,,hian,hian,ㄏㄧㄢ,,,,,,True,False
俔,hiǎn,50,hiǎn,hian6,hian6,ㄏㄧㄢˇ,,hian,hian,ㄏㄧㄢ,,,,,,True,False
俔,kiàn,50,kiàn,kian3,kian3,ㄍㄧㄢ˪,,kian,kian,ㄍㄧㄢ,,,,,,True,False
俟,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
俟,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
俥,kir,50,kir,kir1,kir1,ㄍㆨ,,kir,kir,ㄍㆨ,,,,,,True,False
俬,sir,50,sir,sir1,sir1,ㄙㆨ,,sir,sir,ㄙㆨ,,,,,,True,False
俬,su,50,su,su1,su1,ㄙㄨ,,su,su,ㄙㄨ,,,,,,True,False
俴,tsiān,50,chiān,tsian7,chian7,ㄐㄧㄢ˫,,tsian,chian,ㄐㄧㄢ,,,,,,True,False
俴,tsiǎn,50,chiǎn,tsian6,chian6,ㄐㄧㄢˇ,,tsian,chian,ㄐㄧㄢ,,,,,,True,False
俽,herm,50,herm,herm1,herm1,ㄏㄜㆬ,ㄏㄛㆬ,herm,herm,ㄏㄜㆬ,ㄏㄛㆬ,,,,,True,False
倃,kiǔ,50,kiǔ,kiu6,kiu6,ㄍㄧㄨˇ,,kiu,kiu,ㄍㄧㄨ,,,,,,True,False
倍,puě,50,pǒe,pue6,poe6,ㄅㄨㆤˇ,,pue,poe,ㄅㄨㆤ,,,,,,True,False
倖,hǐng,50,hěng,hing6,heng6,ㄏㄧㄥˇ,,hing,heng,ㄏㄧㄥ,,,,,,True,False
倖,sǐng,50,sěng,sing6,seng6,ㄒㄧㄥˇ,,sing,seng,ㄒㄧㄥ,,,,,,True,False
倨,kìr,50,kìr,kir3,kir3,ㄍㆨ˪,,kir,kir,ㄍㆨ,,,,,,True,False
倭,er,50,er,er1,er1,ㄜ,ㄛ,er,er,ㄜ,ㄛ,,,,,True,False
倱,hǔn,50,hǔn,hun6,hun6,ㄏㄨㄣˇ,,hun,hun,ㄏㄨㄣ,,,,,,True,False
倳,tsìr,50,chìr,tsir3,chir3,ㄗㆨ˪,,tsir,chir,ㄗㆨ,,,,,,True,False
倽,siáng,50,siáng,siang2,siang2,ㄒㄧㄤˋ,,siang,siang,ㄒㄧㄤ,,,,,,True,False
倽,siâng,50,siâng,siang5,siang5,ㄒㄧㄤˊ,,siang,siang,ㄒㄧㄤ,,,,,,True,False
假,kèe,50,kèe,kee3,kee3,ㄍㄝ˪,,kee,kee,ㄍㄝ,,,,,,True,False
假,kée,50,kée,kee2,kee2,ㄍㄝˋ,,kee,kee,ㄍㄝ,,,,,,True,False
偈,kì,50,kì,ki3,ki3,ㄍㄧ˪,,ki,ki,ㄍㄧ,,,,,,True,False
偈,kē,50,kē,ke7,ke7,ㄍㆤ˫,,ke,ke,ㄍㆤ,,,,,,True,False
偈,kī,50,kī,ki7,ki7,ㄍㄧ˫,,ki,ki,ㄍㄧ,,,,,,True,False
偌,luǎ,50,lǒa,lua6,loa6,ㄌㄨㄚˇ,,lua,loa,ㄌㄨㄚ,,,,,,True,False
偒,tōng,50,tōng,tong7,tong7,ㄉㆲ˫,,tong,tong,ㄉㆲ,,,,,,True,False
偒,tǒng,50,tǒng,tong6,tong6,ㄉㆲˇ,,tong,tong,ㄉㆲ,,,,,,True,False
偡,tām,50,tām,tam7,tam7,ㄉㆰ˫,,tam,tam,ㄉㆰ,,,,,,True,False
偡,tǎm,50,tǎm,tam6,tam6,ㄉㆰˇ,,tam,tam,ㄉㆰ,,,,,,True,False
偦,sir,50,sir,sir1,sir1,ㄙㆨ,,sir,sir,ㄙㆨ,,,,,,True,False
偦,su,50,su,su1,su1,ㄙㄨ,,su,su,ㄙㄨ,,,,,,True,False
