hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,khpoo,is_variant
死,sír,50,sír,sir2,sir2,ㄙㆨˋ,,sir,sir,ㄙㆨ,,,,,,True,False
殄,tiān,50,tiān,tian7,tian7,ㄉㄧㄢ˫,,tian,tian,ㄉㄧㄢ,,,,,,True,False
殄,tiǎn,50,tiǎn,tian6,tian6,ㄉㄧㄢˇ,,tian,tian,ㄉㄧㄢ,,,,,,True,False
殆,tǎi,50,tǎi,tai6,tai6,ㄉㄞˇ,,tai,tai,ㄉㄞ,,,,,,True,False
殍,piān,50,piān,pian7,pian7,ㄅㄧㄢ˫,,pian,pian,ㄅㄧㄢ,,,,,,True,False
殍,piǎn,50,piǎn,pian6,pian6,ㄅㄧㄢˇ,,pian,pian,ㄅㄧㄢ,,,,,,True,False
殿,tirīnn,50,tirīⁿ,tirinn7,tirinn7,ㄉㆨㆪ˫,,tirinn,tirinn,ㄉㆨㆪ,,,,,,True,False
殿,tuīnn,50,tūiⁿ,tuinn7,tuinn7,ㄉㄨㆪ˫,,tuinn,tuinn,ㄉㄨㆪ,,,,,,True,False
氂,môo,50,mô͘,moo5,moo5,ㄇㆦˊ,,moo,moo,ㄇㆦ,,,,,,True,False
氏,sǐ,50,sǐ,si6,si6,ㄒㄧˇ,,si,si,ㄒㄧ,,,,,,True,False
氕,phiat,50,phiat,phiat4,phiat4,ㄆㄧㄚㆵ,,phiat,phiat,ㄆㄧㄚㆵ,,,,,,True,False
氖,nái,50,nái,nai2,nai2,ㄋㄞˋ,,nai,nai,ㄋㄞ,,,,,,True,False
氘,to,50,to,to1,to1,ㄉㄛ,,to,to,ㄉㄛ,,,,,,True,False
氙,sian,50,sian,sian1,sian1,ㄒㄧㄢ,,sian,sian,ㄒㄧㄢ,,,,,,True,False
氚,tshuan,50,chhoan,tshuan1,chhoan1,ㄘㄨㄢ,,tshuan,chhoan,ㄘㄨㄢ,,,,,,True,False
氟,hut,50,hut,hut4,hut4,ㄏㄨㆵ,,hut,hut,ㄏㄨㆵ,,,,,,True,False
氡,tong,50,tong,tong1,tong1,ㄉㆲ,,tong,tong,ㄉㆲ,,,,,,True,False
氦,hāi,50,hāi,hai7,hai7,ㄏㄞ˫,,hai,hai,ㄏㄞ,,,,,,True,False
氦,hǎi,50,hǎi,hai6,hai6,ㄏㄞˇ,,hai,hai,ㄏㄞ,,,,,,True,False
氨,an,50,an,an1,an1,ㄢ,,an,an,ㄢ,,,,,,True,False
氪,khik,50,khek,khik4,khek4,ㄎㄧㆻ,,khik,khek,ㄎㄧㆻ,,,,,,True,False
氫,khin,50,khin,khin1,khin1,ㄎㄧㄣ,,khin,khin,ㄎㄧㄣ,,,,,,True,False
氫,khing,50,kheng,khing1,kheng1,ㄎㄧㄥ,,khing,kheng,ㄎㄧㄥ,,,,,,True,False
氬,à,50,à,a3,a3,ㄚ˪,,a,a,ㄚ,,,,,,True,False
氮,tǎm,50,tǎm,tam6,tam6,ㄉㆰˇ,,tam,tam,ㄉㆰ,,,,,,True,False
氯,lio̍k,50,lio̍k,liok8,liok8,ㄌㄧㆦㆻ̇,,liok,liok,ㄌㄧㆦㆻ,,,,,,True,False
氰,tshing,50,chheng,tshing1,chheng1,ㄑㄧㄥ,,tshing,chheng,ㄑㄧㄥ,,,,,,True,False
氵,suí,50,súi,sui2,sui2,ㄙㄨㄧˋ,,sui,sui,ㄙㄨㄧ,,,,,,True,False
氵,tsuí,50,chúi,tsui2,chui2,ㄗㄨㄧˋ,,tsui,chui,ㄗㄨㄧ,,,,,,True,False
汜,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
汜,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
汝,lír,50,lír,lir2,lir2,ㄌㆨˋ,,lir,lir,ㄌㆨ,,,,,,True,False
汞,hǒng,50,hǒng,hong6,hong6,ㄏㆲˇ,,hong,hong,ㄏㆲ,,,,,,True,False
汿,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
汿,sū,50,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
汿,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
沀,sīr,50,sīr,sir7,sir7,ㄙㆨ˫,,sir,sir,ㄙㆨ,,,,,,True,False
沀,sū,50,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
沀,sǐr,50,sǐr,sir6,sir6,ㄙㆨˇ,,sir,sir,ㄙㆨ,,,,,,True,False
沆,hōng,50,hōng,hong7,hong7,ㄏㆲ˫,,hong,hong,ㄏㆲ,,,,,,True,False
沆,hǒng,50,hǒng,hong6,hong6,ㄏㆲˇ,,hong,hong,ㄏㆲ,,,,,,True,False
沌,tǔn,50,tǔn,tun6,tun6,ㄉㄨㄣˇ,,tun,tun,ㄉㄨㄣ,,,,,,True,False
