tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
poo-iâm,埔鹽,25,po͘-iâm,pooiam5,pooiam5,pooiam,pooiam,pi,pi
hē-bê,夏粥,25,hē-bê,he7be5,he7be5,hebe,hebe,hb,hb
iā-ha̍p,夜合,25,iā-ha̍p,ia7hap8,ia7hap8,iahap,iahap,ih,ih
tuā-phànn,大冇,25,tōa-phàⁿ,tua7phann3,toa7phann3,tuaphann,toaphann,tp,tp
tuā-tsó,大棗,25,tōa-chó,tua7tso2,toa7cho2,tuatso,toacho,tt,tc
tuā-tshinn,大菁,25,tōa-chhiⁿ,tua7tshinn,toa7chhinn,tuatshinn,toachhinn,tt,tc
tuā-tshài,大菜,25,tōa-chhài,tua7tshai3,toa7chhai3,tuatshai,toachhai,tt,tc
tuā-phiô,大萍,25,tōa-phiô,tua7phio5,toa7phio5,tuaphio,toaphio,tp,tp
tuā-be̍h,大麥,25,tōa-be̍h,tua7beh8,toa7beh8,tuabeh,toabeh,tb,tb
thian-tsháu,天草,25,thian-chháu,thiantshau2,thianchhau2,thiantshau,thianchhau,tt,tc
siā-kan,射干,25,siā-kan,sia7kan,sia7kan,siakan,siakan,sk,sk
sió-tshinn,小菁,25,sió-chhiⁿ,sio2tshinn,sio2chhinn,siotshinn,siochhinn,st,sc
sió-be̍h,小麥,25,sió-be̍h,sio2beh8,sio2beh8,siobeh,siobeh,sb,sb
suann-nai,山奈,25,soaⁿ-nai,suannnai,soannnai,suannnai,soannnai,sn,sn
suann-sam,山杉,25,soaⁿ-sam,suannsam,soannsam,suannsam,soannsam,ss,ss
suann-khīng,山柏,25,soaⁿ-khēng,suannkhing7,soannkheng7,suannkhing,soannkheng,sk,sk
suann-khī,山柿,25,soaⁿ-khī,suannkhi7,soannkhi7,suannkhi,soannkhi,sk,sk
suann-lâi,山梨,25,soaⁿ-lâi,suannlai5,soannlai5,suannlai,soannlai,sl,sl
suann-tsang,山棕,25,soaⁿ-chang,suanntsang,soannchang,suanntsang,soannchang,st,sc
suann-tshîng,山榕,25,soaⁿ-chhêng,suanntshing5,soannchheng5,suanntshing,soannchheng,st,sc
suann-tshat,山漆,25,soaⁿ-chhat,suanntshat,soannchhat,suanntshat,soannchhat,st,sc
suann-tê,山茶,25,soaⁿ-tê,suannte5,soannte5,suannte,soannte,st,st
suann-tshinn,山菁,25,soaⁿ-chhiⁿ,suanntshinn,soannchhinn,suanntshinn,soannchhinn,st,sc
suann-kiok,山菊,25,soaⁿ-kiok,suannkiok,soannkiok,suannkiok,soannkiok,sk,sk
suann-muâ,山麻,25,soaⁿ-môa,suannmua5,soannmoa5,suannmua,soannmoa,sm,sm
tshuan-tshit,川七,25,chhoan-chhit,tshuantshit,chhoanchhit,tshuantshit,chhoanchhit,tt,cc
pa-tau,巴豆,25,pa-tau,patau,patau,patau,patau,pt,pt
pa-tāu,巴豆,25,pa-tāu,patau7,patau7,patau,patau,pt,pt
tshī-tshang,市葱,25,chhī-chhang,tshi7tshang,chhi7chhang,tshitshang,chhichhang,tt,cc
pòo-kiunn,布姜,25,pò͘-kiuⁿ,poo3kiunn,poo3kiunn,pookiunn,pookiunn,pk,pk
siông-san,常山,25,siông-san,siong5san,siong5san,siongsan,siongsan,ss,ss
nî-kam,年柑,25,nî-kam,ni5kam,ni5kam,nikam,nikam,nk,nk
kóng-á,廣仔,25,kóng-á,kong2a2,kong2a2,konga,konga,ka,ka
gōng-tshiū,戇樹,25,gōng-chhiū,gong7tshiu7,gong7chhiu7,gongtshiu,gongchhiu,gt,gc
tshiú-io̍h,手藥,25,chhiú-io̍h,tshiu2ioh8,chhiu2ioh8,tshiuioh,chhiuioh,ti,ci
pat-á,扒仔,25,pat-á,pata2,pata2,pata,pata,pa,pa
tánn-tsio,打招,25,táⁿ-chio,tann2tsio,tann2chio,tanntsio,tannchio,tt,tc
buah-tsháu,抹草,25,boah-chháu,buahtshau2,boahchhau2,buahtshau,boahchhau,bt,bc
pua̍t-á,拔仔,25,poa̍t-á,puat8a2,poat8a2,puata,poata,pa,pa
iông-phoo,揚波,25,iông-pho͘,iong5phoo,iong5phoo,iongphoo,iongphoo,ip,ip
phang-kuì,攀桂,25,phang-kùi,phangkui3,phangkui3,phangkui,phangkui,pk,pk
bûn-tàn,文旦,25,bûn-tàn,bun5tan3,bun5tan3,buntan,buntan,bt,bt
táu-iū,斗柚,25,táu-iū,tau2iu7,tau2iu7,tauiu,tauiu,ti,ti
táu-lo̍k,斗鹿,25,táu-lo̍k,tau2lok8,tau2lok8,taulok,taulok,tl,tl
tsá-iū,早柚,25,chá-iū,tsa2iu7,cha2iu7,tsaiu,chaiu,ti,ci
bān-iū,晚柚,25,bān-iū,ban7iu7,ban7iu7,baniu,baniu,bi,bi
ge̍h-thô,月桃,25,ge̍h-thô,geh8tho5,geh8tho5,gehtho,gehtho,gt,gt
bo̍k-ha̍k,木斛,25,bo̍k-ha̍k,bok8hak8,bok8hak8,bokhak,bokhak,bh,bh
bo̍k-kua,木瓜,25,bo̍k-koa,bok8kua,bok8koa,bokkua,bokkoa,bk,bk
ba̍k-lô,木羅,25,ba̍k-lô,bak8lo5,bak8lo5,baklo,baklo,bl,bl
ba̍k-hiunn,木香,25,ba̍k-hiuⁿ,bak8hiunn,bak8hiunn,bakhiunn,bakhiunn,bh,bh
pún-tsiunn,本樟,25,pún-chiuⁿ,pun2tsiunn,pun2chiunn,puntsiunn,punchiunn,pt,pc
pún-tshinn,本菁,25,pún-chhiⁿ,pun2tshinn,pun2chhinn,puntshinn,punchhinn,pt,pc
phoh-á,朴仔,25,phoh-á,phoha2,phoha2,phoha,phoha,pa,pa
kuann-á,杆仔,25,koaⁿ-á,kuanna2,koanna2,kuanna,koanna,ka,ka
sam-á,杉仔,25,sam-á,sama2,sama2,sama,sama,sa,sa
lí-á,李仔,25,lí-á,li2a2,li2a2,lia,lia,la,la
tōo-á,杜仔,25,tō͘-á,too7a2,too7a2,tooa,tooa,ta,ta
tshîng-peh,松柏,25,chhêng-peh,tshing5peh,chheng5peh,tshingpeh,chhengpeh,tp,cp
siông-ngôo,松梧,25,siông-ngô͘,siong5ngoo5,siong5ngoo5,siongngoo,siongngoo,sn,sn
siông-lô,松蘿,25,siông-lô,siong5lo5,siong5lo5,sionglo,sionglo,sl,sl
gî-pê,枇杷,25,gî-pê,gi5pe5,gi5pe5,gipe,gipe,gp,gp
nâ-tâu,林投,25,nâ-tâu,na5tau5,na5tau5,natau,natau,nt,nt
tsí-á,枳仔,25,chí-á,tsi2a2,chi2a2,tsia,chia,ta,ca
tsí-poo,枳枯,25,chí-po͘,tsi2poo,chi2poo,tsipoo,chipoo,tp,cp
kóo-kí,枸杞,25,kó͘-kí,koo2ki2,koo2ki2,kooki,kooki,kk,kk
khīng-á,柏仔,25,khēng-á,khing7a2,kheng7a2,khinga,khenga,ka,ka
iū-á,柚仔,25,iū-á,iu7a2,iu7a2,iua,iua,ia,ia
kho-á,柯仔,25,kho-á,khoa2,khoa2,khoa,khoa,ka,ka
