tl,hanzi,frequency
khang,空,5567
tsîng,前,5527
sit,失,5517
âng,紅,5474
kiânn,行,5462
ha̍p,合,5457
tsa,查,5445
tńg,轉,5374
tshī,市,5352
pinn,邊,5350
thuân,傳,5340
bān,萬,5320
tsìn,進,5302
tsiàu,照,5261
hî,魚,5259
hû,魚,5259
thué,體,5258
thé,體,5258
khó,可,5215
li̍p,立,5214
ông,王,5200
kau,交,5192
tsuán,轉,5189
lô,羅,5188
pōo,部,5174
tông,同,5164
hū,父,5148
hō,號,5140
puànn,半,5103
tsiân,前,5066
kiat,結,5066
sann,三,5056
pó,保,5027
gī,義,5025
tsâi,才,5020
ke,雞,5020
kue,雞,5020
tsheh,冊,5017
hong,方,5014
tiûnn,場,5008
jia,遮,5007
lia,遮,5007
hok,福,5005
siu,收,5000
gû,牛,5000
tiúnn,長,4989
iâ,耶,4930
kap,甲,4927
kap,鴿,4927
kui,規,4915
mn̄g,問,4872
bián,免,4861
sǹg,算,4853
ko,高,4846
suah,煞,4845
jī,二,4841
lī,二,4841
ta̍k,逐,4796
thóo,土,4794
suán,選,4775
hā,下,4750
ē,下,4750
san,山,4739
iû,油,4709
pōo,步,4691
kī,己,4680
piáu,表,4675
tsháu,草,4667
sì,四,4665
tsí,子,4660
iú,友,4656
thiànn,疼,4635
sam,三,4626
pîng,平,4615
bah,肉,4608
tsio̍h,石,4571
tàng,當,4562
suè,細,4559
sè,細,4559
kak,覺,4559
kāng,仝,4552
ah,矣,4548
gia̍p,業,4524
pàng,放,4507
pau,包,4485
tsiú,酒,4471
sio̍k,續,4468
kuí,幾,4460
bí,米,4425
tn̂g,長,4422
má,媽,4398
būn,問,4385
tik,竹,4383
tshiūnn,像,4377
pah,百,4376
iūnn,樣,4375
tsìng,正,4364
ná,哪,4354
tsiap,接,4351
sái,屎,4331
io̍h,藥,4327
lia̍h,掠,4324
tué,底,4318
té,底,4318
liân,連,4313
tsa̍p,十,4304
hāng,項,4298
kim,今,4280
hiòng,向,4258
kiù,救,4257
kám,敢,4239
īng,用,4235
soo,穌,4221
káng,港,4182
hiann,兄,4171
to,多,4166
suànn,線,4156
ka,交,4153
lîng,能,4149
ki,基,4131
sīm,甚,4128
tshân,田,4120
mah,嘛,4115
tshiū,樹,4070
sè,勢,4059
o̍h,學,4044
kuán,館,4027
hiah,遐,4016
tsiàn,戰,4010
siat,設,4002
tshiò,笑,3995
tsē,坐,3988
kheh,客,3978
liām,念,3977
khuân,權,3973
sì,世,3962
tī,治,3960
sui,雖,3954
má,馬,3953
siong,傷,3924
kan,矸,3922
kiû,求,3908
kóo,古,3902
tso̍k,族,3899
kî,期,3897
hô,和,3885
kái,改,3877
hâng,行,3876
thóng,統,3866
ia̍h,抑,3856
liû,流,3829
káu,狗,3818
uī,為,3816
hūn,份,3815
se,西,3804
kài,界,3799
i̍k,亦,3792
tang,東,3791
tsin,嗔,3788
tsin,津,3788
tsin,眞,3788
tsin,臻,3788
tsin,蒸,3788
mā,嗎,3769
mā,駡,3769
iok,約,3742
tsíng,種,3740
tò,倒,3732
lī,離,3699
kuan,觀,3698
pn̄g,飯,3685
hāi,害,3678
tiàm,店,3670
sik,式,3669
si,詩,3665
poo,埔,3662
kut,骨,3660
tsí,止,3659
tsiok,足,3647
kî,其,3645
tho̍k,讀,3626
e,挨,3611
hāu,校,3610
lí,里,3604
i,醫,3593
uân,員,3580
kak,角,3575
kà,教,3568
liân,年,3567
kòo,顧,3561
sī,示,3535
kua,歌,3521
sán,產,3513
pia̍t,別,3511
sū,士,3492
tsiànn,正,3491
tit,得,3486
khùn,睏,3486
tang,冬,3477
pān,辦,3468
kuann,官,3458
lóng,籠,3457
lóng,隴,3457
thài,太,3450
tsiòng,將,3441
tshim,深,3438
tsiah,才,3434
tê,茶,3426
tann,今,3424
hîng,形,3419
àn,按,3419
sai,師,3410
hn̂g,園,3408
bo̍k,牧,3402
tsō,造,3400
huán,反,3397
ti̍k,特,3397
pēnn,病,3392
pīnn,病,3392
su,輸,3390
kong,光,3388
kù,句,3378
sann,衫,3376
tuann,單,3371
sio,燒,3369
pē,爸,3368
niû,娘,3365
kòo,故,3365
tsuē,罪,3360
thôo,塗,3339
khak,確,3339
sîng,誠,3330
tok,督,3324
kè,價,3323
kiānn,件,3307
too,都,3302
tò,到,3301
tsún,準,3291
tiâu,條,3286
phuà,破,3280
tsûn,船,3270
tshiánn,請,3261
sìng,聖,3249
ti̍k,的,3240
tāng,重,3234
huâ,華,3233
sàng,送,3230
tiunn,張,3222
guán,翫,3220
bōng,望,3218
khan,牽,3217
bī,味,3212
ing,英,3210
tíng,等,3203
kiàn,建,3201
kánn,敢,3179
tshenn,生,3163
tshinn,生,3163
siàu,數,3156
khuì,氣,3144
tsuá,紙,3134
tsuan,專,3129
ti,豬,3126
tu,豬,3126
kuá,寡,3125
su,思,3123
bē,謎,3122
uán,遠,3116
tiōng,重,3114
tshàu,臭,3108
tsing,精,3107
nih,𥍉,3101
