hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,kungge,is_variant
拆線,thiah-suànn,25,thiah-sòaⁿ,thiah4suann3,thiah4soann3,ㄊㄧㄚㆷㄙㄨㆩ˪,thiahsuann,thiahsoann,ㄊㄧㄚㆷㄙㄨㆩ,ts,ts,ㄊㄙ,True,False
拍漿,phah-tsiunn,25,phah-chiuⁿ,phah4tsiunn1,phah4chiunn1,ㄆㄚㆷㄐㄧㆫ,phahtsiunn,phahchiunn,ㄆㄚㆷㄐㄧㆫ,pt,pc,ㄆㄐ,True,False
拍空,phah-khang,25,phah-khang,phah4khang1,phah4khang1,ㄆㄚㆷㄎㄤ,phahkhang,phahkhang,ㄆㄚㆷㄎㄤ,pk,pk,ㄆㄎ,True,False
拍箍,phah-khoo,25,phah-kho͘,phah4khoo1,phah4khoo1,ㄆㄚㆷㄎㆦ,phahkhoo,phahkhoo,ㄆㄚㆷㄎㆦ,pk,pk,ㄆㄎ,True,False
拍胚,phah-phue,25,phah-phoe,phah4phue1,phah4phoe1,ㄆㄚㆷㄆㄨㆤ,phahphue,phahphoe,ㄆㄚㆷㄆㄨㆤ,pp,pp,ㄆㄆ,True,True
拔花,puēh-hue,25,poēh-hoe,pueh7hue1,poeh7hoe1,,puehhue,poehhoe,,ph,ph,,True,False
拗彎,áu-uan,25,áu-oan,au2uan1,au2oan1,ㄠˋㄨㄢ,auuan,auoan,ㄠㄨㄢ,au,ao,ㄠㄨ,True,False
挖空,ué-khang,25,óe-khang,ue2khang1,oe2khang1,ㄨㆤˋㄎㄤ,uekhang,oekhang,ㄨㆤㄎㄤ,uk,ok,ㄨㄎ,True,False
挲線,so-suànn,25,so-sòaⁿ,so1suann3,so1soann3,ㄙㄛㄙㄨㆩ˪,sosuann,sosoann,ㄙㄛㄙㄨㆩ,ss,ss,ㄙㄙ,True,False
捀盤,phâng-puânn,25,phâng-pôaⁿ,phang5puann5,phang5poann5,ㄆㄤˊㄅㄨㆩˊ,phangpuann,phangpoann,ㄆㄤㄅㄨㆩ,pp,pp,ㄆㄅ,True,False
捆絃,khún-hiân,25,khún-hiân,khun2hian5,khun2hian5,ㄎㄨㄣˋㄏㄧㄢˊ,khunhian,khunhian,ㄎㄨㄣㄏㄧㄢ,kh,kh,ㄎㄏ,True,False
捏頭,lia̍p-thâu,25,lia̍p-thâu,liap8thau5,liap8thau5,ㄌㄧㄚㆴ̇ㄊㄠˊ,liapthau,liapthau,ㄌㄧㄚㆴㄊㄠ,lt,lt,ㄌㄊ,True,False
捲枋,kńg-pang,25,kńg-pang,kng2pang1,kng2pang1,ㄍㆭˋㄅㄤ,kngpang,kngpang,ㄍㆭㄅㄤ,kp,kp,ㄍㄅ,True,False
掃枋,sàu-pang,25,sàu-pang,sau3pang1,sau3pang1,ㄙㄠ˪ㄅㄤ,saupang,saupang,ㄙㄠㄅㄤ,sp,sp,ㄙㄅ,True,False
掠花,lia̍h-hue,25,lia̍h-hoe,liah8hue1,liah8hoe1,ㄌㄧㄚㆷ̇ㄏㄨㆤ,liahhue,liahhoe,ㄌㄧㄚㆷㄏㄨㆤ,lh,lh,ㄌㄏ,True,False
接剾,tsiap-khau,25,chiap-khau,tsiap4khau1,chiap4khau1,ㄐㄧㄚㆴㄎㄠ,tsiapkhau,chiapkhau,ㄐㄧㄚㆴㄎㄠ,tk,ck,ㄐㄎ,True,False
接線,tsiap-suànn,25,chiap-sòaⁿ,tsiap4suann3,chiap4soann3,ㄐㄧㄚㆴㄙㄨㆩ˪,tsiapsuann,chiapsoann,ㄐㄧㄚㆴㄙㄨㆩ,ts,cs,ㄐㄙ,True,False
摃空,kòng-khang,25,kòng-khang,kong3khang1,kong3khang1,ㄍㆲ˪ㄎㄤ,kongkhang,kongkhang,ㄍㆲㄎㄤ,kk,kk,ㄍㄎ,True,False
撋塗,nuá-thôo,25,nóa-thô͘,nua2thoo5,noa2thoo5,ㄋㄨㄚˋㄊㆦˊ,nuathoo,noathoo,ㄋㄨㄚㄊㆦ,nt,nt,ㄋㄊ,True,False
擠金,tsik-kim,25,chek-kim,tsik4kim1,chek4kim1,ㄐㄧㆻㄍㄧㆬ,tsikkim,chekkim,ㄐㄧㆻㄍㄧㆬ,tk,ck,ㄐㄍ,True,False
攕草,tshiám-tshó,25,chhiám-chhó,tshiam2tsho2,chhiam2chho2,ㄑㄧㆰˋㄘㄛˋ,tshiamtsho,chhiamchho,ㄑㄧㆰㄘㄛ,tt,cc,ㄑㄘ,True,False
放枋,pàng-pang,25,pàng-pang,pang3pang1,pang3pang1,ㄅㄤ˪ㄅㄤ,pangpang,pangpang,ㄅㄤㄅㄤ,pp,pp,ㄅㄅ,True,False
敲仔,khà-á,25,khà-á,kha3a2,kha3a2,ㄎㄚ˪ㄚˋ,khaa,khaa,ㄎㄚㄚ,ka,ka,ㄎㄚ,True,False
敲槌,khà-thuî,25,khà-thûi,kha3thui5,kha3thui5,ㄎㄚ˪ㄊㄨㄧˊ,khathui,khathui,ㄎㄚㄊㄨㄧ,kt,kt,ㄎㄊ,True,False
文目,bûn-ba̍k,25,bûn-ba̍k,bun5bak8,bun5bak8,ㆠㄨㄣˊㆠㄚㆻ̇,bunbak,bunbak,ㆠㄨㄣㆠㄚㆻ,bb,bb,ㆠㆠ,True,False
文肚,bûn-tōo,25,bûn-tō͘,bun5too7,bun5too7,ㆠㄨㄣˊㄉㆦ˫,buntoo,buntoo,ㆠㄨㄣㄉㆦ,bt,bt,ㆠㄉ,True,False
文袍,bûn-phâu,25,bûn-phâu,bun5phau5,bun5phau5,ㆠㄨㄣˊㄆㄠˊ,bunphau,bunphau,ㆠㄨㄣㄆㄠ,bp,bp,ㆠㄆ,True,False
文轎,bûn-kiō,25,bûn-kiō,bun5kio7,bun5kio7,ㆠㄨㄣˊㄍㄧㄛ˫,bunkio,bunkio,ㆠㄨㄣㄍㄧㄛ,bk,bk,ㆠㄍ,True,False
旗頭,kî-thâu,25,kî-thâu,ki5thau5,ki5thau5,ㄍㄧˊㄊㄠˊ,kithau,kithau,ㄍㄧㄊㄠ,kt,kt,ㄍㄊ,True,False
晟手,tshiânn-tshiú,25,chhiâⁿ-chhiú,tshiann5tshiu2,chhiann5chhiu2,ㄑㄧㆩˊㄑㄧㄨˋ,tshianntshiu,chhiannchhiu,ㄑㄧㆩㄑㄧㄨ,tt,cc,ㄑㄑ,True,False
月桃,ge̍h-thô,25,ge̍h-thô,geh8tho5,geh8tho5,ㆣㆤㆷ̇ㄊㄛˊ,gehtho,gehtho,ㆣㆤㆷㄊㄛ,gt,gt,ㆣㄊ,True,False
朝天,tiâu-thian,25,tiâu-thian,tiau5thian1,tiau5thian1,ㄉㄧㄠˊㄊㄧㄢ,tiauthian,tiauthian,ㄉㄧㄠㄊㄧㄢ,tt,tt,ㄉㄊ,True,False
木尺,bo̍k-tshioh,25,bo̍k-chhioh,bok8tshioh4,bok8chhioh4,ㆠㆦㆻ̇ㄑㄧㄛㆷ,boktshioh,bokchhioh,ㆠㆦㆻㄑㄧㄛㆷ,bt,bc,ㆠㄑ,True,False
本尊,pún-tsun,25,pún-chun,pun2tsun1,pun2chun1,ㄅㄨㄣˋㄗㄨㄣ,puntsun,punchun,ㄅㄨㄣㄗㄨㄣ,pt,pc,ㄅㄗ,True,False
杜英,tōo-ing,25,tō͘-eng,too7ing1,too7eng1,ㄉㆦ˫ㄧㄥ,tooing,tooeng,ㄉㆦㄧㄥ,ti,te,ㄉㄧ,True,False
束冠,sok-kuan,25,sok-koan,sok4kuan1,sok4koan1,ㄙㆦㆻㄍㄨㄢ,sokkuan,sokkoan,ㄙㆦㆻㄍㄨㄢ,sk,sk,ㄙㄍ,True,False
松膠,siông-ka,25,siông-ka,siong5ka1,siong5ka1,ㄒㄧㆲˊㄍㄚ,siongka,siongka,ㄒㄧㆲㄍㄚ,sk,sk,ㄒㄍ,True,False
染料,ní-liāu,25,ní-liāu,ni2liau7,ni2liau7,ㄋㄧˋㄌㄧㄠ˫,niliau,niliau,ㄋㄧㄌㄧㄠ,nl,nl,ㄋㄌ,True,False
染桶,ní-tháng,25,ní-tháng,ni2thang2,ni2thang2,ㄋㄧˋㄊㄤˋ,nithang,nithang,ㄋㄧㄊㄤ,nt,nt,ㄋㄊ,True,False
染色,ní-tsik,25,ní-chek,ni2tsik4,ni2chek4,ㄋㄧˋㄐㄧㆻ,nitsik,nichek,ㄋㄧㄐㄧㆻ,nt,nc,ㄋㄐ,True,False
柱珠,thiāu-tsu,25,thiāu-chu,thiau7tsu1,thiau7chu1,ㄊㄧㄠ˫ㄗㄨ,thiautsu,thiauchu,ㄊㄧㄠㄗㄨ,tt,tc,ㄊㄗ,True,False
柴砧,tshâ-tiam,25,chhâ-tiam,tsha5tiam1,chha5tiam1,ㄘㄚˊㄉㄧㆰ,tshatiam,chhatiam,ㄘㄚㄉㄧㆰ,tt,ct,ㄘㄉ,True,False
柴窯,tshâ-iô,25,chhâ-iô,tsha5io5,chha5io5,ㄘㄚˊㄧㄛˊ,tshaio,chhaio,ㄘㄚㄧㄛ,ti,ci,ㄘㄧ,True,False
柴胎,tshâ-thai,25,chhâ-thai,tsha5thai1,chha5thai1,ㄘㄚˊㄊㄞ,tshathai,chhathai,ㄘㄚㄊㄞ,tt,ct,ㄘㄊ,True,False
桌崁,toh-khàm,25,toh-khàm,toh4kham3,toh4kham3,ㄉㄛㆷㄎㆰ˪,tohkham,tohkham,ㄉㄛㆷㄎㆰ,tk,tk,ㄉㄎ,True,False
桌裙,toh-kûn,25,toh-kûn,toh4kun5,toh4kun5,ㄉㄛㆷㄍㄨㄣˊ,tohkun,tohkun,ㄉㄛㆷㄍㄨㄣ,tk,tk,ㄉㄍ,True,False
桶梯,tháng-thui,25,tháng-thui,thang2thui1,thang2thui1,ㄊㄤˋㄊㄨㄧ,thangthui,thangthui,ㄊㄤㄊㄨㄧ,tt,tt,ㄊㄊ,True,False
梅花,muî-hue,25,mûi-hoe,mui5hue1,mui5hoe1,ㄇㄨㄧˊㄏㄨㆤ,muihue,muihoe,ㄇㄨㄧㄏㄨㆤ,mh,mh,ㄇㄏ,True,False
梳仔,se-á,25,se-á,se1a2,se1a2,ㄙㆤㄚˋ,sea,sea,ㄙㆤㄚ,sa,sa,ㄙㄚ,True,False
棉布,mî-pòo,25,mî-pò͘,mi5poo3,mi5poo3,ㄇㄧˊㄅㆦ˪,mipoo,mipoo,ㄇㄧㄅㆦ,mp,mp,ㄇㄅ,True,True
棉線,mî-suànn,25,mî-sòaⁿ,mi5suann3,mi5soann3,ㄇㄧˊㄙㄨㆩ˪,misuann,misoann,ㄇㄧㄙㄨㆩ,ms,ms,ㄇㄙ,True,False
棕蓑,tsang-sui,25,chang-sui,tsang1sui1,chang1sui1,ㄗㄤㄙㄨㄧ,tsangsui,changsui,ㄗㄤㄙㄨㄧ,ts,cs,ㄗㄙ,True,False
植眉,ti̍t-bâi,25,ti̍t-bâi,tit8bai5,tit8bai5,ㄉㄧㆵ̇ㆠㄞˊ,titbai,titbai,ㄉㄧㆵㆠㄞ,tb,tb,ㄉㆠ,True,False
槐花,huâi-hue,25,hoâi-hoe,huai5hue1,hoai5hoe1,ㄏㄨㄞˊㄏㄨㆤ,huaihue,hoaihoe,ㄏㄨㄞㄏㄨㆤ,hh,hh,ㄏㄏ,True,False
樹木,tshiū-bo̍k,25,chhiū-bo̍k,tshiu7bok8,chhiu7bok8,ㄑㄧㄨ˫ㆠㆦㆻ̇,tshiubok,chhiubok,ㄑㄧㄨㆠㆦㆻ,tb,cb,ㄑㆠ,True,False
橫頭,huâinn-thâu,25,hoâiⁿ-thâu,huainn5thau5,hoainn5thau5,ㄏㄨㆮˊㄊㄠˊ,huainnthau,hoainnthau,ㄏㄨㆮㄊㄠ,ht,ht,ㄏㄊ,True,False
武將,bú-tsiòng,25,bú-chiòng,bu2tsiong3,bu2chiong3,ㆠㄨˋㄐㄧㆲ˪,butsiong,buchiong,ㆠㄨㄐㄧㆲ,bt,bc,ㆠㄐ,True,False
武胸,bú-hing,25,bú-heng,bu2hing1,bu2heng1,ㆠㄨˋㄏㄧㄥ,buhing,buheng,ㆠㄨㄏㄧㄥ,bh,bh,ㆠㄏ,True,False
武轎,bú-kiō,25,bú-kiō,bu2kio7,bu2kio7,ㆠㄨˋㄍㄧㄛ˫,bukio,bukio,ㆠㄨㄍㄧㄛ,bk,bk,ㆠㄍ,True,False
比仔,pí-á,25,pí-á,pi2a2,pi2a2,ㄅㄧˋㄚˋ,pia,pia,ㄅㄧㄚ,pa,pa,ㄅㄚ,True,False
毡仔,tsám-á,25,chám-á,tsam2a2,cham2a2,ㄗㆰˋㄚˋ,tsama,chama,ㄗㆰㄚ,ta,ca,ㄗㄚ,True,False
水油,tsuí-iû,25,chúi-iû,tsui2iu5,chui2iu5,ㄗㄨㄧˋㄧㄨˊ,tsuiiu,chuiiu,ㄗㄨㄧㄧㄨ,ti,ci,ㄗㄧ,True,False
水波,tsuí-pho,25,chúi-pho,tsui2pho1,chui2pho1,ㄗㄨㄧˋㄆㄛ,tsuipho,chuipho,ㄗㄨㄧㄆㄛ,tp,cp,ㄗㄆ,True,False
水秤,tsuí-tshìn,25,chúi-chhìn,tsui2tshin3,chui2chhin3,ㄗㄨㄧˋㄑㄧㄣ˪,tsuitshin,chuichhin,ㄗㄨㄧㄑㄧㄣ,tt,cc,ㄗㄑ,True,False
水管,tsuí-kóng,25,chúi-kóng,tsui2kong2,chui2kong2,ㄗㄨㄧˋㄍㆲˋ,tsuikong,chuikong,ㄗㄨㄧㄍㆲ,tk,ck,ㄗㄍ,True,False
水膠,tsuí-ka,25,chúi-ka,tsui2ka1,chui2ka1,ㄗㄨㄧˋㄍㄚ,tsuika,chuika,ㄗㄨㄧㄍㄚ,tk,ck,ㄗㄍ,True,False
沖仔,tshong-á,25,chhong-á,tshong1a2,chhong1a2,ㄘㆲㄚˋ,tshonga,chhonga,ㄘㆲㄚ,ta,ca,ㄘㄚ,True,False
油桶,iû-tháng,25,iû-tháng,iu5thang2,iu5thang2,ㄧㄨˊㄊㄤˋ,iuthang,iuthang,ㄧㄨㄊㄤ,it,it,ㄧㄊ,True,False
油燈,iû-ting,25,iû-teng,iu5ting1,iu5teng1,ㄧㄨˊㄉㄧㄥ,iuting,iuteng,ㄧㄨㄉㄧㄥ,it,it,ㄧㄉ,True,False
洋漆,iûnn-tshat,25,iûⁿ-chhat,iunn5tshat4,iunn5chhat4,ㄧㆫˊㄘㄚㆵ,iunntshat,iunnchhat,ㄧㆫㄘㄚㆵ,it,ic,ㄧㄘ,True,False
浮花,phû-hue,25,phû-hoe,phu5hue1,phu5hoe1,ㄆㄨˊㄏㄨㆤ,phuhue,phuhoe,ㄆㄨㄏㄨㆤ,ph,ph,ㄆㄏ,True,False
涼傘,niû-suànn,25,niû-sòaⁿ,niu5suann3,niu5soann3,ㄋㄧㄨˊㄙㄨㆩ˪,niusuann,niusoann,ㄋㄧㄨㄙㄨㆩ,ns,ns,ㄋㄙ,True,False
淋搪,lâm-thn̄g,25,lâm-thn̄g,lam5thng7,lam5thng7,ㄌㆰˊㄊㆭ˫,lamthng,lamthng,ㄌㆰㄊㆭ,lt,lt,ㄌㄊ,True,False
深刻,tshim-khik,25,chhim-khek,tshim1khik4,chhim1khek4,ㄑㄧㆬㄎㄧㆻ,tshimkhik,chhimkhek,ㄑㄧㆬㄎㄧㆻ,tk,ck,ㄑㄎ,True,False
滾桶,kún-tháng,25,kún-tháng,kun2thang2,kun2thang2,ㄍㄨㄣˋㄊㄤˋ,kunthang,kunthang,ㄍㄨㄣㄊㄤ,kt,kt,ㄍㄊ,True,False
滾花,kún-hue,25,kún-hoe,kun2hue1,kun2hoe1,ㄍㄨㄣˋㄏㄨㆤ,kunhue,kunhoe,ㄍㄨㄣㄏㄨㆤ,kh,kh,ㄍㄏ,True,False
滾邊,kún-pinn,25,kún-piⁿ,kun2pinn1,kun2pinn1,ㄍㄨㄣˋㄅㆪ,kunpinn,kunpinn,ㄍㄨㄣㄅㆪ,kp,kp,ㄍㄅ,True,False
漆畫,tshat-uē,25,chhat-ōe,tshat4ue7,chhat4oe7,ㄘㄚㆵㄨㆤ˫,tshatue,chhatoe,ㄘㄚㆵㄨㆤ,tu,co,ㄘㄨ,True,False
漆盤,tshat-puânn,25,chhat-pôaⁿ,tshat4puann5,chhat4poann5,ㄘㄚㆵㄅㄨㆩˊ,tshatpuann,chhatpoann,ㄘㄚㆵㄅㄨㆩ,tp,cp,ㄘㄅ,True,False
漆碗,tshat-uánn,25,chhat-óaⁿ,tshat4uann2,chhat4oann2,ㄘㄚㆵㄨㆩˋ,tshatuann,chhatoann,ㄘㄚㆵㄨㆩ,tu,co,ㄘㄨ,True,False
漆筅,tshat-tshíng,25,chhat-chhéng,tshat4tshing2,chhat4chheng2,ㄘㄚㆵㄑㄧㄥˋ,tshattshing,chhatchheng,ㄘㄚㆵㄑㄧㄥ,tt,cc,ㄘㄑ,True,False
灌漿,kuàn-tsiunn,25,koàn-chiuⁿ,kuan3tsiunn1,koan3chiunn1,ㄍㄨㄢ˪ㄐㄧㆫ,kuantsiunn,koanchiunn,ㄍㄨㄢㄐㄧㆫ,kt,kc,ㄍㄐ,True,False
火喙,hué-tshuì,25,hóe-chhùi,hue2tshui3,hoe2chhui3,ㄏㄨㆤˋㄘㄨㄧ˪,huetshui,hoechhui,ㄏㄨㆤㄘㄨㄧ,ht,hc,ㄏㄘ,True,False
火焰,hué-iām,25,hóe-iām,hue2iam7,hoe2iam7,ㄏㄨㆤˋㄧㆰ˫,hueiam,hoeiam,ㄏㄨㆤㄧㆰ,hi,hi,ㄏㄧ,True,False
火爐,hué-lôo,25,hóe-lô͘,hue2loo5,hoe2loo5,ㄏㄨㆤˋㄌㆦˊ,hueloo,hoeloo,ㄏㄨㆤㄌㆦ,hl,hl,ㄏㄌ,True,False
火籠,hué-lang,25,hóe-lang,hue2lang1,hoe2lang1,ㄏㄨㆤˋㄌㄤ,huelang,hoelang,ㄏㄨㆤㄌㄤ,hl,hl,ㄏㄌ,True,False
火銃,hué-tshìng,25,hóe-chhèng,hue2tshing3,hoe2chheng3,ㄏㄨㆤˋㄑㄧㄥ˪,huetshing,hoechheng,ㄏㄨㆤㄑㄧㄥ,ht,hc,ㄏㄑ,True,False
炊仔,tshue-á,25,chhoe-á,tshue1a2,chhoe1a2,ㄘㄨㆤㄚˋ,tshuea,chhoea,ㄘㄨㆤㄚ,ta,ca,ㄘㄚ,True,False
炭枋,thuànn-pang,25,thòaⁿ-pang,thuann3pang1,thoann3pang1,ㄊㄨㆩ˪ㄅㄤ,thuannpang,thoannpang,ㄊㄨㆩㄅㄤ,tp,tp,ㄊㄅ,True,False
烏漆,oo-tshat,25,o͘-chhat,oo1tshat4,oo1chhat4,ㆦㄘㄚㆵ,ootshat,oochhat,ㆦㄘㄚㆵ,ot,oc,ㆦㄘ,True,False
煎匙,tsian-sî,25,chian-sî,tsian1si5,chian1si5,ㄐㄧㄢㄒㄧˊ,tsiansi,chiansi,ㄐㄧㄢㄒㄧ,ts,cs,ㄐㄒ,True,False
煏蔥,piak-tshong,25,piak-chhong,piak4tshong1,piak4chhong1,ㄅㄧㄚㆻㄘㆲ,piaktshong,piakchhong,ㄅㄧㄚㆻㄘㆲ,pt,pc,ㄅㄘ,True,False
熟皮,si̍k-phuê,25,se̍k-phôe,sik8phue5,sek8phoe5,ㄒㄧㆻ̇ㄆㄨㆤˊ,sikphue,sekphoe,ㄒㄧㆻㄆㄨㆤ,sp,sp,ㄒㄆ,True,False
燭台,tsik-tâi,25,chek-tâi,tsik4tai5,chek4tai5,ㄐㄧㆻㄉㄞˊ,tsiktai,chektai,ㄐㄧㆻㄉㄞ,tt,ct,ㄐㄉ,True,False
牛樟,gû-tsiunn,25,gû-chiuⁿ,gu5tsiunn1,gu5chiunn1,ㆣㄨˊㄐㄧㆫ,gutsiunn,guchiunn,ㆣㄨㄐㄧㆫ,gt,gc,ㆣㄐ,True,False
牛角,gû-kak,25,gû-kak,gu5kak4,gu5kak4,ㆣㄨˊㄍㄚㆻ,gukak,gukak,ㆣㄨㄍㄚㆻ,gk,gk,ㆣㄍ,True,False
獅頭,sai-thâu,25,sai-thâu,sai1thau5,sai1thau5,ㄙㄞㄊㄠˊ,saithau,saithau,ㄙㄞㄊㄠ,st,st,ㄙㄊ,True,False
琥珀,hóo-phik,25,hó͘-phek,hoo2phik4,hoo2phek4,ㄏㆦˋㄆㄧㆻ,hoophik,hoophek,ㄏㆦㄆㄧㆻ,hp,hp,ㄏㄆ,True,False
瑪瑙,bé-ló,25,bé-ló,be2lo2,be2lo2,ㆠㆤˋㄌㄛˋ,belo,belo,ㆠㆤㄌㄛ,bl,bl,ㆠㄌ,True,False
璇石,suān-tsio̍h,25,soān-chio̍h,suan7tsioh8,soan7chioh8,ㄙㄨㄢ˫ㄐㄧㄛㆷ̇,suantsioh,soanchioh,ㄙㄨㄢㄐㄧㄛㆷ,st,sc,ㄙㄐ,True,False
璇筆,suān-pit,25,soān-pit,suan7pit4,soan7pit4,ㄙㄨㄢ˫ㄅㄧㆵ,suanpit,soanpit,ㄙㄨㄢㄅㄧㆵ,sp,sp,ㄙㄅ,True,False
璇針,suān-tsiam,25,soān-chiam,suan7tsiam1,soan7chiam1,ㄙㄨㄢ˫ㄐㄧㆰ,suantsiam,soanchiam,ㄙㄨㄢㄐㄧㆰ,st,sc,ㄙㄐ,True,False
生坯,tshenn-phue,25,chheⁿ-phoe,tshenn1phue1,chhenn1phoe1,ㄘㆥㄆㄨㆤ,tshennphue,chhennphoe,ㄘㆥㄆㄨㆤ,tp,cp,ㄘㄆ,True,False
生漆,tshenn-tshat,25,chheⁿ-chhat,tshenn1tshat4,chhenn1chhat4,ㄘㆥㄘㄚㆵ,tshenntshat,chhennchhat,ㄘㆥㄘㄚㆵ,tt,cc,ㄘㄘ,True,False
生皮,tshenn-phuê,25,chheⁿ-phôe,tshenn1phue5,chhenn1phoe5,ㄘㆥㄆㄨㆤˊ,tshennphue,chhennphoe,ㄘㆥㄆㄨㆤ,tp,cp,ㄘㄆ,True,False
甲毛,kah-moo,25,kah-mo͘,kah4moo1,kah4moo1,ㄍㄚㆷㄇㆦ,kahmoo,kahmoo,ㄍㄚㆷㄇㆦ,km,km,ㄍㄇ,True,True
畚箕,pùn-ki,25,pùn-ki,pun3ki1,pun3ki1,ㄅㄨㄣ˪ㄍㄧ,punki,punki,ㄅㄨㄣㄍㄧ,pk,pk,ㄅㄍ,True,False
畫稿,uē-kó,25,ōe-kó,ue7ko2,oe7ko2,ㄨㆤ˫ㄍㄛˋ,ueko,oeko,ㄨㆤㄍㄛ,uk,ok,ㄨㄍ,True,False
畫筆,uē-pit,25,ōe-pit,ue7pit4,oe7pit4,ㄨㆤ˫ㄅㄧㆵ,uepit,oepit,ㄨㆤㄅㄧㆵ,up,op,ㄨㄅ,True,False
畫線,uē-suànn,25,ōe-sòaⁿ,ue7suann3,oe7soann3,ㄨㆤ˫ㄙㄨㆩ˪,uesuann,oesoann,ㄨㆤㄙㄨㆩ,us,os,ㄨㄙ,True,False
畫金,uē-kim,25,ōe-kim,ue7kim1,oe7kim1,ㄨㆤ˫ㄍㄧㆬ,uekim,oekim,ㄨㆤㄍㄧㆬ,uk,ok,ㄨㄍ,True,False
疊色,thia̍p-sik,25,thia̍p-sek,thiap8sik4,thiap8sek4,ㄊㄧㄚㆴ̇ㄒㄧㆻ,thiapsik,thiapsek,ㄊㄧㄚㆴㄒㄧㆻ,ts,ts,ㄊㄒ,True,False
白膠,pe̍h-ka,25,pe̍h-ka,peh8ka1,peh8ka1,ㄅㆤㆷ̇ㄍㄚ,pehka,pehka,ㄅㆤㆷㄍㄚ,pk,pk,ㄅㄍ,True,False
白身,pe̍h-sin,25,pe̍h-sin,peh8sin1,peh8sin1,ㄅㆤㆷ̇ㄒㄧㄣ,pehsin,pehsin,ㄅㆤㆷㄒㄧㄣ,ps,ps,ㄅㄒ,True,False
皮仔,phuê-á,25,phôe-á,phue5a2,phoe5a2,ㄆㄨㆤˊㄚˋ,phuea,phoea,ㄆㄨㆤㄚ,pa,pa,ㄆㄚ,True,False
皮包,phuê-pau,25,phôe-pau,phue5pau1,phoe5pau1,ㄆㄨㆤˊㄅㄠ,phuepau,phoepau,ㄆㄨㆤㄅㄠ,pp,pp,ㄆㄅ,True,False
皮花,phuê-hue,25,phôe-hoe,phue5hue1,phoe5hoe1,ㄆㄨㆤˊㄏㄨㆤ,phuehue,phoehoe,ㄆㄨㆤㄏㄨㆤ,ph,ph,ㄆㄏ,True,False
直支,ti̍t-ki,25,ti̍t-ki,tit8ki1,tit8ki1,ㄉㄧㆵ̇ㄍㄧ,titki,titki,ㄉㄧㆵㄍㄧ,tk,tk,ㄉㄍ,True,False
石錘,tsio̍h-thuî,25,chio̍h-thûi,tsioh8thui5,chioh8thui5,ㄐㄧㄛㆷ̇ㄊㄨㄧˊ,tsiohthui,chiohthui,ㄐㄧㄛㆷㄊㄨㄧ,tt,ct,ㄐㄊ,True,False
石鎖,tsio̍h-só,25,chio̍h-só,tsioh8so2,chioh8so2,ㄐㄧㄛㆷ̇ㄙㄛˋ,tsiohso,chiohso,ㄐㄧㄛㆷㄙㄛ,ts,cs,ㄐㄙ,True,False
石鼓,tsio̍h-kóo,25,chio̍h-kó͘,tsioh8koo2,chioh8koo2,ㄐㄧㄛㆷ̇ㄍㆦˋ,tsiohkoo,chiohkoo,ㄐㄧㄛㆷㄍㆦ,tk,ck,ㄐㄍ,True,False
砂碖,sua-lún,25,soa-lún,sua1lun2,soa1lun2,ㄙㄨㄚㄌㄨㄣˋ,sualun,soalun,ㄙㄨㄚㄌㄨㄣ,sl,sl,ㄙㄌ,True,True
砂紙,sua-tsuá,25,soa-chóa,sua1tsua2,soa1choa2,ㄙㄨㄚㄗㄨㄚˋ,suatsua,soachoa,ㄙㄨㄚㄗㄨㄚ,st,sc,ㄙㄗ,True,True
硩ㄧ,teh-it,25,teh-it,teh4it4,teh4it4,ㄉㆤㆷㄧㆵ,tehit,tehit,ㄉㆤㆷㄧㆵ,ti,ti,ㄉㄧ,True,False
硩三,teh-sann,25,teh-saⁿ,teh4sann1,teh4sann1,ㄉㆤㆷㄙㆩ,tehsann,tehsann,ㄉㆤㆷㄙㆩ,ts,ts,ㄉㄙ,True,False
硩二,teh-jī,25,teh-jī,teh4ji7,teh4ji7,ㄉㆤㆷㆢㄧ˫,tehji,tehji,ㄉㆤㆷㆢㄧ,tj,tj,ㄉㆢ,True,False
硬斜,ngē-tshiâ,25,ngē-chhiâ,nge7tshia5,nge7chhia5,ㄫㆤ˫ㄑㄧㄚˊ,ngetshia,ngechhia,ㄫㆤㄑㄧㄚ,nt,nc,ㄫㄑ,True,False
磅仔,pōng-á,25,pōng-á,pong7a2,pong7a2,ㄅㆲ˫ㄚˋ,ponga,ponga,ㄅㆲㄚ,pa,pa,ㄅㄚ,True,False
磅戕,pōng-tshiâng,25,pōng-chhiâng,pong7tshiang5,pong7chhiang5,ㄅㆲ˫ㄑㄧㄤˊ,pongtshiang,pongchhiang,ㄅㆲㄑㄧㄤ,pt,pc,ㄅㄑ,True,False
磨台,buâ-tâi,25,bôa-tâi,bua5tai5,boa5tai5,ㆠㄨㄚˊㄉㄞˊ,buatai,boatai,ㆠㄨㄚㄉㄞ,bt,bt,ㆠㄉ,True,False
磨坩,buâ-khann,25,bôa-khaⁿ,bua5khann1,boa5khann1,ㆠㄨㄚˊㄎㆩ,buakhann,boakhann,ㆠㄨㄚㄎㆩ,bk,bk,ㆠㄎ,True,False
