tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source
tuā-thôo-phang,tōa-thô͘-phang,大塗蜂,tua-thoo-phang,toa-tho͘-phang,3,itaigi
thôo-phang-á,thô͘-phang-á,塗蜂仔,thoo-phang-a,tho͘-phang-a,3,itaigi
tē-lîng-phang,tē-lêng-phang,地龍蜂,te-ling-phang,te-leng-phang,3,itaigi
ke-lang-phang,ke-lang-phang,雞籠蜂,ke-lang-phang,ke-lang-phang,3,itaigi
kue-lang-phang,koe-lang-phang,雞籠蜂,kue-lang-phang,koe-lang-phang,3,itaigi
kere-lang-phang,ko̤e-lang-phang,雞籠蜂,kere-lang-phang,koe-lang-phang,3,itaigi
oo-bué-á,o͘-bóe-á,烏尾仔,oo-bue-a,o͘-boe-a,3,itaigi
oo-bé-á,o͘-bé-á,烏尾仔,oo-be-a,o͘-be-a,3,itaigi
oo-bér-á,o͘-bó̤-á,烏尾仔,oo-ber-a,o͘-bo-a,3,itaigi
oo-phang,o͘-phang,烏蜂,oo-phang,o͘-phang,2,itaigi
tik-phang,tek-phang,竹蜂,tik-phang,tek-phang,2,itaigi
tīnn-iōng-sik,tīⁿ-iōng-sek,鄭用錫,tinn-iong-sik,tiⁿ-iong-sek,3,itaigi
ke-sái-phang,ke-sái-phang,雞屎蜂,ke-sai-phang,ke-sai-phang,3,itaigi
kue-sái-phang,koe-sái-phang,雞屎蜂,kue-sai-phang,koe-sai-phang,3,itaigi
kere-sái-phang,ko̤e-sái-phang,雞屎蜂,kere-sai-phang,koe-sai-phang,3,itaigi
kak-phang,kak-phang,角蜂,kak-phang,kak-phang,2,itaigi
thôo-phang,thô͘-phang,塗蜂,thoo-phang,tho͘-phang,2,itaigi
hui-puânn,hui-pôaⁿ,飛盤,hui-puann,hui-poaⁿ,2,itaigi
sian-sinn-niû,sian-siⁿ-niû,先生娘,sian-sinn-niu,sian-siⁿ-niu,3,itaigi
ang-á-hì,ang-á-hì,尪仔戲,ang-a-hi,ang-a-hi,3,itaigi
lông-jîn,lông-jîn,狼人,long-jin,long-jin,2,itaigi
liâu-khang,liâu-khang,皺空,liau-khang,liau-khang,2,itaigi
tâi-kûn-tō,tâi-kûn-tō,跆拳道,tai-kun-to,tai-kun-to,3,itaigi
giâ-tāng,giâ-tāng,夯重,gia-tang,gia-tang,2,itaigi
tsiáng-tsì,chiáng-chì,長志,tsiang-tsi,chiang-chi,2,itaigi
ngiáu-kau-á,ngiáu-kau-á,撓鉤仔,ngiau-kau-a,ngiau-kau-a,3,itaigi
phah-tshe-á,phah-chhe-á,拍叉仔,phah-tshe-a,phah-chhe-a,3,itaigi
thàng-kng,thàng-kng,迵光,thang-kng,thang-kng,2,itaigi
tshun-kiu-tuà,chhun-kiu-tòa,伸勼帶,tshun-kiu-tua,chhun-kiu-toa,3,itaigi
it-tó,it-tó,一度,it-to,it-to,2,itaigi
pó-hiám-thiāu,pó-hiám-thiāu,保險柱,po-hiam-thiau,po-hiam-thiau,3,itaigi
khah-iânn-bīn,khah-iâⁿ-bīn,較贏面,khah-iann-bin,khah-iaⁿ-bin,3,itaigi
ài-jîn-á,ài-jîn-á,愛人仔,ai-jin-a,ai-jin-a,3,itaigi
oo-pe̍h-bak,o͘-pe̍h-bak,烏白沐,oo-peh-bak,o͘-peh-bak,3,itaigi
it-pí-tiòng,it-pí-tiòng,一匕中,it-pi-tiong,it-pi-tiong,3,itaigi
khan-tsáu,khan-cháu,牽走,khan-tsau,khan-chau,2,itaigi
uan-óng-kiû,oan-óng-kiû,冤枉球,uan-ong-kiu,oan-ong-kiu,3,itaigi
pìnn-kuí,pìⁿ-kúi,變鬼,pinn-kui,piⁿ-kui,2,itaigi
thia̍p-á-ông,thia̍p-á-ông,疊仔王,thiap-a-ong,thiap-a-ong,3,itaigi
kín-liâm-sua,kín-liâm-soa,緊黏沙,kin-liam-sua,kin-liam-soa,3,itaigi
tōng-liâm-sua,tōng-liâm-soa,動黏沙,tong-liam-sua,tong-liam-soa,3,itaigi
pòo-ang-á,pò͘-ang-á,布尪仔,poo-ang-a,po͘-ang-a,3,itaigi
khe-tsi-páng,khe-chi-páng,khe-tsi-páng,khe-tsi-pang,khe-chi-pang,3,itaigi
sok-pi-a,sok-pi-a,朔啡亞,sok-pi-a,sok-pi-a,3,itaigi
