tl,poj,hanzi,tl_no_tone,poj_no_tone,syllable_count,source,is_variant
erē-tsòr-lit,ēre-chòr-lit,會做得,ere-tsor-lit,ere-chor-lit,3,kautian,False
erē-tsò-lit,ēre-chò-lit,會做得,ere-tso-lit,ere-cho-lit,3,kautian,False
uē-tsuè-eh,ōe-chòe-eh,會做得,ue-tsue-eh,oe-choe-eh,3,kautian,False
uē-tserè-eh,ōe-chère-eh,會做得,ue-tsere-eh,oe-chere-eh,3,kautian,False
uē-tsòr-eh,ōe-chòr-eh,會做得,ue-tsor-eh,oe-chor-eh,3,kautian,False
uē-tsò-eh,ōe-chò-eh,會做得,ue-tso-eh,oe-cho-eh,3,kautian,False
ē-tserè-eh,ē-chère-eh,會做得,e-tsere-eh,e-chere-eh,3,kautian,False
ē-tsòr-eh,ē-chòr-eh,會做得,e-tsor-eh,e-chor-eh,3,kautian,False
erē-tsuè-eh,ēre-chòe-eh,會做得,ere-tsue-eh,ere-choe-eh,3,kautian,False
erē-tserè-eh,ēre-chère-eh,會做得,ere-tsere-eh,ere-chere-eh,3,kautian,False
erē-tsòr-eh,ēre-chòr-eh,會做得,ere-tsor-eh,ere-chor-eh,3,kautian,False
erē-tsò-eh,ēre-chò-eh,會做得,ere-tso-eh,ere-cho-eh,3,kautian,False
uē-kham-tsit,ōe-kham-chit,會堪得,ue-kham-tsit,oe-kham-chit,3,kautian,False
erē-kham-tsit,ēre-kham-chit,會堪得,ere-kham-tsit,ere-kham-chit,3,kautian,False
uē-kham-lit,ōe-kham-lit,會堪得,ue-kham-lit,oe-kham-lit,3,kautian,False
erē-kham-lit,ēre-kham-lit,會堪得,ere-kham-lit,ere-kham-lit,3,kautian,False
uē-kham-eh,ōe-kham-eh,會堪得,ue-kham-eh,oe-kham-eh,3,kautian,False
erē-kham-eh,ēre-kham-eh,會堪得,ere-kham-eh,ere-kham-eh,3,kautian,False
lōo-bér-tshiú,lō͘-bér-chhiú,落尾手,loo-ber-tshiu,lo͘-ber-chhiu,3,kautian,False
bak-tǒo-bé,bak-tǒ͘-bé,腹肚尾,bak-too-be,bak-to͘-be,3,kautian,False
bak-tǒo-bué,bak-tǒ͘-bóe,腹肚尾,bak-too-bue,bak-to͘-boe,3,kautian,False
bak-tǒo-bér,bak-tǒ͘-bér,腹肚尾,bak-too-ber,bak-to͘-ber,3,kautian,False
bak-tōo-bé,bak-tō͘-bé,腹肚尾,bak-too-be,bak-to͘-be,3,kautian,False
bak-tōo-bué,bak-tō͘-bóe,腹肚尾,bak-too-bue,bak-to͘-boe,3,kautian,False
bak-tōo-bér,bak-tō͘-bér,腹肚尾,bak-too-ber,bak-to͘-ber,3,kautian,False
bak-tǒo-iau,bak-tǒ͘-iau,腹肚枵,bak-too-iau,bak-to͘-iau,3,kautian,False
bak-tōo-iau,bak-tō͘-iau,腹肚枵,bak-too-iau,bak-to͘-iau,3,kautian,False
kha-thiô-hu,kha-thiô-hu,跤頭趺,kha-thio-hu,kha-thio-hu,3,kautian,False
kha-thiôr-hu,kha-thiôr-hu,跤頭趺,kha-thior-hu,kha-thior-hu,3,kautian,False
kha-thôo-hu,kha-thô͘-hu,跤頭趺,kha-thoo-hu,kha-tho͘-hu,3,kautian,False
suinn-lam-tinn,suiⁿ-lam-tiⁿ,酸甘甜,suinn-lam-tinn,suiⁿ-lam-tiⁿ,3,kautian,False
uī-senn-tsuá,ūi-seⁿ-chóa,衛生紙,ui-senn-tsua,ui-seⁿ-choa,3,kautian,False
uī-sinn-tsuá,ūi-siⁿ-chóa,衛生紙,ui-sinn-tsua,ui-siⁿ-choa,3,kautian,False
tiak-suìnn-puânn,tiak-sùiⁿ-pôaⁿ,擉算盤,tiak-suinn-puann,tiak-suiⁿ-poaⁿ,3,kautian,False
thuìnn-tsiah-kha,thùiⁿ-chiah-kha,褪赤跤,thuinn-tsiah-kha,thuiⁿ-chiah-kha,3,kautian,False
thuìnn-bak-theh,thùiⁿ-bak-theh,褪腹裼,thuinn-bak-theh,thuiⁿ-bak-theh,3,kautian,False
khóo-á-ter,khó͘-á-ter,觳仔炱,khoo-a-ter,kho͘-a-ter,3,kautian,False
tshíng-kha-kere,chhéng-kha-kere,蹌跤雞,tshing-kha-kere,chheng-kha-kere,3,kautian,False
thit-thôr-lâng,thit-thôr-lâng,𨑨迌人,thit-thor-lang,thit-thor-lang,3,kautian,False
thit-thôr-mi̍h,thit-thôr-mi̍h,𨑨迌物,thit-thor-mih,thit-thor-mih,3,kautian,False
thit-thôr-mn̍gh,thit-thôr-mn̍gh,𨑨迌物,thit-thor-mngh,thit-thor-mngh,3,kautian,False
ka-kir-tîn,ka-kir-tîn,枷車藤,ka-kir-tin,ka-kir-tin,3,kautian,False
ka-ki-tîn,ka-ki-tîn,枷車藤,ka-ki-tin,ka-ki-tin,3,kautian,False
ka-ku-tîn,ka-ku-tîn,枷車藤,ka-ku-tin,ka-ku-tin,3,kautian,False
kóo-guā-ge̍rh,kó͘-gōa-ge̍rh,個外月,koo-gua-gerh,ko͘-goa-gerh,3,kautian,False
e-tàu-tuìnn,e-tàu-tùiⁿ,下晝頓,e-tau-tuinn,e-tau-tuiⁿ,3,kautian,False
hór-bī-sī,hór-bī-sī,好唯是,hor-bi-si,hor-bi-si,3,kautian,False
tsē-m̄-to̍rh,chē-m̄-to̍rh,坐毋著,tse-m-torh,che-m-torh,3,kautian,False
tsē-m̄-to̍h,chē-m̄-to̍h,坐毋著,tse-m-toh,che-m-toh,3,kautian,False
hionn-iân-kue,hioⁿ-iân-koe,香櫞瓜,hionn-ian-kue,hioⁿ-ian-koe,3,kautian,False
ba̍uh-huè-tué,bau̍h-hòe-tóe,貿貨底,bauh-hue-tue,bauh-hoe-toe,3,kautian,False
ba̍uh-huè-teré,bau̍h-hòe-tére,貿貨底,bauh-hue-tere,bauh-hoe-tere,3,kautian,False
ba̍uh-hèr-tué,bau̍h-hèr-tóe,貿貨底,bauh-her-tue,bauh-her-toe,3,kautian,False
ba̍uh-hèr-té,bau̍h-hèr-té,貿貨底,bauh-her-te,bauh-her-te,3,kautian,False
ba̍uh-hèr-teré,bau̍h-hèr-tére,貿貨底,bauh-her-tere,bauh-her-tere,3,kautian,False
ba̍uh-hè-té,bau̍h-hè-té,貿貨底,bauh-he-te,bauh-he-te,3,kautian,False
ba̍uh-hè-teré,bau̍h-hè-tére,貿貨底,bauh-he-tere,bauh-he-tere,3,kautian,False
heh-khùn-li̍t,heh-khùn-li̍t,歇睏日,heh-khun-lit,heh-khun-lit,3,kautian,False
heh-khùn-gi̍t,heh-khùn-gi̍t,歇睏日,heh-khun-git,heh-khun-git,3,kautian,False
