hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taigitv
乳液,jú-i̍k,25,jú-e̍k,ju2ik8,ju2ek8,juik,juek,ji,je,True
乳液,lú-i̍k,25,lú-e̍k,lu2ik8,lu2ek8,luik,luek,li,le,True
人熊,lâng-hîm,25,lâng-hîm,lang5him5,lang5him5,langhim,langhim,lh,lh,True
人陣,lâng-tīn,25,lâng-tīn,lang5tin7,lang5tin7,langtin,langtin,lt,lt,True
介面,kài-bīn,25,kài-bīn,kai3bin7,kai3bin7,kaibin,kaibin,kb,kb,True
仙楂,sian-tsa,25,sian-cha,siantsa,siancha,siantsa,siancha,st,sc,True
侵蝕,tshim-si̍t,25,chhim-si̍t,tshimsit8,chhimsit8,tshimsit,chhimsit,ts,cs,True
俗麭,sio̍k-pháng,25,sio̍k-pháng,siok8phang2,siok8phang2,siokphang,siokphang,sp,sp,True
保溼,pó-sip,25,pó-sip,po2sip,po2sip,posip,posip,ps,ps,True
保送,pó-sàng,25,pó-sàng,po2sang3,po2sang3,posang,posang,ps,ps,True
修容,siu-iông,25,siu-iông,siuiong5,siuiong5,siuiong,siuiong,si,si,True
倒子,tò-jí,25,tò-jí,to3ji2,to3ji2,toji,toji,tj,tj,True
倒子,tò-lí,25,tò-lí,to3li2,to3li2,toli,toli,tl,tl,True
倫敦,lûn-tun,25,lûn-tun,lun5tun,lun5tun,luntun,luntun,lt,lt,True
健力,kiān-li̍k,25,kiān-le̍k,kian7lik8,kian7lek8,kianlik,kianlek,kl,kl,True
健美,kiān-bí,25,kiān-bí,kian7bi2,kian7bi2,kianbi,kianbi,kb,kb,True
偶像,ngóo-siōng,25,ngó͘-siōng,ngoo2siong7,ngoo2siong7,ngoosiong,ngoosiong,ns,ns,True
備份,pī-hūn,25,pī-hūn,pi7hun7,pi7hun7,pihun,pihun,ph,ph,True
傭兵,iông-ping,25,iông-peng,iong5ping,iong5peng,iongping,iongpeng,ip,ip,True
優格,iu-keh,25,iu-keh,iukeh,iukeh,iukeh,iukeh,ik,ik,True
光面,kng-bīn,25,kng-bīn,kngbin7,kngbin7,kngbin,kngbin,kb,kb,True
入數,ji̍p-siàu,25,ji̍p-siàu,jip8siau3,jip8siau3,jipsiau,jipsiau,js,js,True
入數,li̍p-siàu,25,li̍p-siàu,lip8siau3,lip8siau3,lipsiau,lipsiau,ls,ls,True
內建,luē-kiàn,25,lōe-kiàn,lue7kian3,loe7kian3,luekian,loekian,lk,lk,True
內文,lāi-bûn,25,lāi-bûn,lai7bun5,lai7bun5,laibun,laibun,lb,lb,True
內野,lāi-iá,25,lāi-iá,lai7ia2,lai7ia2,laiia,laiia,li,li,True
全妝,tsuân-tsong,25,choân-chong,tsuan5tsong,choan5chong,tsuantsong,choanchong,tt,cc,True
全馬,tsuân-má,25,choân-má,tsuan5ma2,choan5ma2,tsuanma,choanma,tm,cm,True
全麥,tsuân-be̍h,25,choân-be̍h,tsuan5beh8,choan5beh8,tsuanbeh,choanbeh,tb,cb,True
八角,peh-kak,25,peh-kak,pehkak,pehkak,pehkak,pehkak,pk,pk,True
八角,pueh-kak,25,poeh-kak,puehkak,poehkak,puehkak,poehkak,pk,pk,True
公論,kong-lūn,25,kong-lūn,konglun7,konglun7,konglun,konglun,kl,kl,True
冊迷,tsheh-bê,25,chheh-bê,tshehbe5,chhehbe5,tshehbe,chhehbe,tb,cb,True
冰壺,ping-ôo,25,peng-ô͘,pingoo5,pengoo5,pingoo,pengoo,po,po,True
冰沙,ping-sua,25,peng-soa,pingsua,pengsoa,pingsua,pengsoa,ps,ps,True
冰磚,ping-tsng,25,peng-chng,pingtsng,pengchng,pingtsng,pengchng,pt,pc,True
冰糖,ping-thn̂g,25,peng-thn̂g,pingthng5,pengthng5,pingthng,pengthng,pt,pt,True
冷麵,líng-mī,25,léng-mī,ling2mi7,leng2mi7,lingmi,lengmi,lm,lm,True
凝霜,gîng-song,25,gêng-song,ging5song,geng5song,gingsong,gengsong,gs,gs,True
凝露,gîng-lōo,25,gêng-lō͘,ging5loo7,geng5loo7,gingloo,gengloo,gl,gl,True
刀術,to-su̍t,25,to-su̍t,tosut8,tosut8,tosut,tosut,ts,ts,True
分道,pun-tō,25,pun-tō,punto7,punto7,punto,punto,pt,pt,True
分頁,hun-ia̍h,25,hun-ia̍h,huniah8,huniah8,huniah,huniah,hi,hi,True
划船,kò-tsûn,25,kò-chûn,ko3tsun5,ko3chun5,kotsun,kochun,kt,kc,True
刣掉,thâi-tiāu,25,thâi-tiāu,thai5tiau7,thai5tiau7,thaitiau,thaitiau,tt,tt,True
利劍,lāi-kiàm,25,lāi-kiàm,lai7kiam3,lai7kiam3,laikiam,laikiam,lk,lk,True
刪除,san-tî,25,san-tî,santi5,santi5,santi,santi,st,st,True
刪除,san-tû,25,san-tû,santu5,santu5,santu,santu,st,st,True
制衡,tsè-hîng,25,chè-hêng,tse3hing5,che3heng5,tsehing,cheheng,th,ch,True
剪接,tsián-tsiap,25,chián-chiap,tsian2tsiap,chian2chiap,tsiantsiap,chianchiap,tt,cc,True
剪輯,tsián-tsi̍p,25,chián-chi̍p,tsian2tsip8,chian2chip8,tsiantsip,chianchip,tt,cc,True
劍術,kiàm-su̍t,25,kiàm-su̍t,kiam3sut8,kiam3sut8,kiamsut,kiamsut,ks,ks,True
加碼,ka-bé,25,ka-bé,kabe2,kabe2,kabe,kabe,kb,kb,True
勼排,kiu-pâi,25,kiu-pâi,kiupai5,kiupai5,kiupai,kiupai,kp,kp,True
