tl,hanzi,drop_reason
Tuā-hō-suh-huih-á-tsháu,大號嗽血仔草,too_long(>4)
Khiā-á-suh-huih-á,竪仔嗽血仔,too_long(>4)
Înn-hio̍h-suh-huih-tsháu,圓葉嗽血草,too_long(>4)
Suà-hō-suh-huih--á-tsháu,小號嗽血仔草,too_long(>4)
Suè-hio̍h-kî-puânn-kha-tshiū,細葉碁盤脚樹,too_long(>4)
Tuā-hio̍h-kim-sia̍h-liû,大葉金石榴,too_long(>4)
Tuā-pún-suann-khûn-tshài,大本山芹菜,too_long(>4)
Âng-kut-ham-khak-tsháu,紅骨含殼草,too_long(>4)
Suè-pún-suann-khûn-tshài,細本山芹菜,too_long(>4)
Ué-kha-niû-suànn-tshiū,矮腳凉傘樹,too_long(>4)
Âng-bīn-mn̂g-tsiong-kun,紅面毛將軍,too_long(>4)
Pe̍h-hue-khóo-nâ-puânn,白花苦藍盤,too_long(>4)
La̍k-kak-tīng-king-tsháu,六角定經草,too_long(>4)
Kim-si-góo-jiáu-lîng,金絲五爪龍,too_long(>4)
Suè-pún-tshân-inn-pn̄g,細本蜻蜓飯,too_long(>4)
Sang-ha̍p-kiàm-hio̍h-tsháu,雙合劍葉草,too_long(>4)
Suè-hō-liam-la̍t-á,細號拈力仔,too_long(>4)
Suè-pún-ting-khiā-u,細本登竪杇,too_long(>4)
Tuā-pún-pe̍h-hue-á-tsháu,大本白花仔草,too_long(>4)
N̂g-hue-tshân-lōo-tsháu,黃花田路草,too_long(>4)
hōng-bé-tsháu,鳳尾草,duplicate
bé-bé-si,馬尾絲,duplicate
hōng-bé-tsháu,鳳尾草,duplicate
hōng-bé-tsháu,鳳尾草,duplicate
lîng-lân-tsháu,龍麟草,duplicate
kńg-peh,卷柏,duplicate
pah-jit-tshinn,百日青,duplicate
pe̍h-tshîng-peh,白松柏,duplicate
tshîng-peh,松柏,duplicate
tshîng-peh,松柏,duplicate
siông-lô,松蘿,duplicate
tshîng-peh,松柏,duplicate
tshîng-peh,松柏,duplicate
sam,杉,duplicate
siông-lô,松蘿,duplicate
siông-lô,松蘿,duplicate
siông-lô,松蘿,duplicate
siông-ngôo,松梧,duplicate
kuan-im-tik,觀音竹,duplicate
sué-á,黍仔,duplicate
sué-á,黍仔,duplicate
suan-á,萱仔,duplicate
sué-á,黍仔,duplicate
gû-tùn-tsháu,牛頓草,duplicate
kuan-im-tik,觀音竹,duplicate
tsuí-piàn-tē-gím,水遍地錦,duplicate
tik-á-tshài,竹仔菜,duplicate
suàn-á,蒜仔,duplicate
kuan-im-tik,觀音竹,duplicate
suann-suàn-thâu,山蒜頭,duplicate
tshân-tsû,田薯,duplicate
tshinn-kiunn,生姜,duplicate
liân-tsiau-hue,蓮蕉花,duplicate
bo̍k-ha̍k,木斛,duplicate
tsiap-kut-tsháu,接骨草,duplicate
láu-tîn,荖藤,duplicate
tshiah-káu,赤校,duplicate
káu-la̍t,校栗,duplicate
tuā-hio̍h-káu-la̍t,大葉校栗,duplicate
tōo-á,杜仔,duplicate
kho-á,柯仔,duplicate
âng-bah-tōo,紅肉杜,duplicate
káu-tsan,校櫕,duplicate
âng-káu-tsan,紅校櫕,duplicate
káu-la̍t,校栗,duplicate
hong-put-tōng,風不動,duplicate
ti-bú-lin,猪母乳,duplicate
ò-giô-tsí,愛玉子,duplicate
hong-put-tōng,風不動,duplicate
pe̍h-bah-tshîng,白肉榕,duplicate
tāi-ting-hông,大丁黃,duplicate
tsio̍h-tsu-á,石珠仔,duplicate
suann-tsuí-liú,山水柳,duplicate
tshinn-ba̍k-hiunn,青木香,duplicate
tshuan-tshit,川七,duplicate
tshuan-tshit,川七,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
giû-tshik,牛膝,duplicate
kue-kè-hue,鷄冠花,duplicate
tsuí-tang-kue,水冬瓜,duplicate
ti-bú-lin,猪母乳,duplicate
ui-lîng-sian,威靈仙,duplicate
tshinn-ba̍k-hiunn,青木香,duplicate
pueh-kak,八角,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
n̂g-bah-tshiū,黃肉樹,duplicate
suann-tsiáu-tsiunn,山鳥樟,duplicate
hiunn-kuì,香桂,duplicate
n̂g-bah-tshiū,黃肉樹,duplicate
tshàu-tsiunn,臭樟,duplicate
tshàu-sái-lâm,臭屎楠,duplicate
suè-hio̍h-lâm,細葉楠,duplicate
lâm-á,楠仔,duplicate
lâm-á,楠仔,duplicate
hiunn-kuì,香桂,duplicate
suann-kam-á,山柑仔,duplicate
suann-kam-á,山柑仔,duplicate
siông-san,常山,duplicate
siông-san,常山,duplicate
suann-kuà-tshài,山芥菜,duplicate
hóo-m̂-tshì,虎梅刺,duplicate
hóo-m̂-tshì,虎梅刺,duplicate
sat-pìn-tsháu,虱篦草,duplicate
tah-bah-tshì,搭肉刺,duplicate
sîn-si̍t-tsháu,蠅翼草,duplicate
tshinn-á,菁仔,duplicate
hôo-sîn-si̍t,蝴蠅翼,duplicate
suann-thôo-tāu,山土豆,duplicate
hôo-sîn-si̍t,蝴蠅翼,duplicate
huih-tîn,血藤,duplicate
huan-á-uan,蕃仔灣,duplicate
káu-tîng-tshe,九重吹,duplicate
tshân-tshinn,田菁,duplicate
bí-tāu,米豆,duplicate
tshài-tāu,菜豆,duplicate
hôo-sîn-si̍t,蝴蠅翼,duplicate
suann-kam-á,山柑仔,duplicate
siông-san,常山,duplicate
pe̍h-bé-sái,白馬屎,duplicate
sann-kha-pih,三脚鼈,duplicate
pe̍h-bé-sái,白馬屎,duplicate
n̂g-kun,黃根,duplicate
kim-kam,金柑,duplicate
tah-bah-tshì,搭肉刺,duplicate
tshit-tshùn-kim,七寸金,duplicate
kim-sia̍h-liû,金石榴,duplicate
iû-tông,油桐,duplicate
koo-lí-tin,枯里珍,duplicate
kim-sia̍h-liû,金石榴,duplicate
lin-á-tsháu,乳仔草,duplicate
bīn-thâu-ké,面頭菓,duplicate
tsuí-liú-á,水柳仔,duplicate
tuā-phànn-tshiū,大冇樹,duplicate
bīn-thâu-ké,面頭菓,duplicate
pe̍h-tshiū-á,白樹仔,duplicate
tsu-á-tsháu,珠仔草,duplicate
hio̍h-ē-tsu,葉下珠,duplicate
oo-kam-á,烏柑仔,duplicate
khīng-á,柏仔,duplicate
tshì-tshang,刺葱,duplicate
tsio̍h-liú,石柳,duplicate
suann-tshat,山漆,duplicate
oo-kue-kut,烏鷄骨,duplicate
kôo-thu,糊樗,duplicate
âng-kut-tsuâ,紅骨蛇,duplicate
sann-kha-pih,三角鼈,duplicate
bīn-thâu-ké,面頭菓,duplicate
tsuí-tang-kue,水冬瓜,duplicate
gû-sái-tê,牛屎茶,duplicate
iû-tê,油茶,duplicate
âng-tshâ,紅柴,duplicate
thih-tiò-kuann,鐵釣竿,duplicate
ìng-tshài-hông,甕菜黃,duplicate
khī-kôo,柿糊,duplicate
tsńg-kah-hue,指甲花,duplicate
kim-sia̍h-liû,金石榴,duplicate
kim-siā-liû,金榭榴,duplicate
tsuí-ting-hiunn,水丁香,duplicate
tshì-tshang,刺葱,duplicate
muá-suann-âng,滿山紅,duplicate
tshit-lí-hiong,七里香,duplicate
hio̍h-ē-pe̍h,葉下白,duplicate
tshiah-huih-á,赤血仔,duplicate
hio̍h-ē-pe̍h,葉下白,duplicate
thih-tshiū,鐵樹,duplicate
pe̍h-kue-iû,白鷄油,duplicate
pe̍h-kue-iû,白鷄油,duplicate
suann-kuì-hue,山桂花,duplicate
pe̍h-poo-kiunn,白埔姜,duplicate
suann-suāinn-á,山檨仔,duplicate
kâu-huann-hí,猴歡喜,duplicate
suann-ho-tsio,山胡椒,duplicate
hong-put-tōng,風不動,duplicate
bô-kun-tsháu,無根草,duplicate
bé-tê-kim,馬蹄金,duplicate
han-tsû,蕃薯,duplicate
huan-á-tîn,蕃仔藤,duplicate
uánn-kong-hue,碗公花,duplicate
káu-bé-tsháu,狗尾草,duplicate
tāi-ting-hông,大丁黃,duplicate
hāu-khak-tshì,鱟壳刺,duplicate
gû-kut-á,牛骨仔,duplicate
thih-tiò-kuann,鐵釣竿,duplicate
pe̍h-poo-kiunn,白埔姜,duplicate
pe̍h-hue-á-tsháu,白花仔草,duplicate
tê-sî-hông,茶匙黃,duplicate
kim-tsînn-po̍h-ho,金錢薄荷,duplicate
it-ki-hiunn,一枝香,duplicate
n̂g-tsuí-kiô,黃水茄,duplicate
liú-á-kiô,鈕仔茄,duplicate
bān-thô-hue,萬桃花,duplicate
kim-só-sî,金鎖匙,duplicate
tīng-king-tsháu,定經草,duplicate
ngôo-tông,梧桐,duplicate
ngôo-tông,梧桐,duplicate
gōng-tshiū,戇樹,duplicate
suann-kuah-tshài,山葛菜,duplicate
suann-khóo-līng,山苦楝,duplicate
khóo-līng-kū,苦楝舅,duplicate
kim-só-sî,金鎖匙,duplicate
tê-sî-hông,茶匙黃,duplicate
ti̍k-lân,澤蘭,duplicate
suann-tshinn,山菁,duplicate
tuā-tshinn,大菁,duplicate
khóo-nâ-puânn,苦藍盤,duplicate
tê-sî-hông,茶匙黃,duplicate
tsuí-tang-kue,水冬瓜,duplicate
lâi-á,梨仔,duplicate
lîng-thòo-tsu,龍吐珠,duplicate
tsu-á-tsháu,珠仔草,duplicate
tīng-king-tsháu,定經草,duplicate
kau-tîn,鈎藤,duplicate
pe̍h-kue-sái-tîn,白鷄屎藤,duplicate
kim-kiàm-tsháu,金劍草,duplicate
tshit-hio̍h-liân,七葉蓮,duplicate
sù-sî-tshun,四時春,duplicate
tshuan-san-liông,穿山龍,duplicate
kim-kue,金瓜,duplicate
káu-sái-kue,狗屎瓜,duplicate
tsuí-tsháu,水草,duplicate
it-ki-hiunn,一枝香,duplicate
liú-á-hông,柳仔黃,duplicate
tinn-tshài,甜菜,duplicate
thih-tiò-kuann,鐵釣竿,duplicate
suann-khóo-līng,山苦楝,duplicate
tāi-ting-hông,大丁黃,duplicate
sinn-mn̂g-tsiong-kun,生毛將軍,duplicate
mn̂g-tsiong-kun,毛將軍,duplicate
tsu-á-tsháu,珠仔草,duplicate
ia̍h-á-tsháu,蝶仔草,duplicate
suann-kuà-tshài,山芥菜,duplicate
phû-iông,芙蓉,duplicate
tshân-oo-tsháu,田烏草,duplicate
hâm-hong-tsháu,咸豐草,duplicate
hiunn-tsháu,香草,duplicate
phang-tsháu,香草,duplicate
pe̍h-hue-á-tsháu,白花仔草,duplicate
tsiam-bé-hong,尖尾風,duplicate
ti̍k-lân,澤蘭,duplicate
sió-kim-ing,小金英,duplicate
giâ-á-tsháu,鵞仔草,duplicate
pôo-kong-ing,蒲公英,duplicate
muá-thian-sing,滿天星,duplicate
ing-á-tsháu,英仔草,duplicate
bé-bé-si,馬尾絲,duplicate
suann-kuà-tshài,山芥菜,duplicate
la̍k-kak-tsháu,六角草,duplicate
tsit-á-tánn,鯽仔膽,duplicate
it-ki-hiunn,一枝香,duplicate
tshân-oo-tsháu,田烏草,duplicate
sat-bú-tsí,虱母子,duplicate
