母仔囝,母仔子
奶母,乳母
奶母車,乳母車
本份,本分
幼囝,幼子
母囝椅,母子椅
奶帕仔,乳帕仔
尻脊,加脊
打馬膠路,點仔膠路
奶喙仔,乳喙仔
奶喙仔,奶嘴仔
奶喙仔,乳嘴仔
扒飯,𢻷飯
失電,熄電
布機,布規
奶頭,乳頭
奶癌,乳癌
幼麵麵,幼咪咪
生,青
田,塍
田,堘
甲,𢓜
甲,徦
甲,到
犯人,犯儂
生仔,鍟仔
生份,生分
生份,青份
生份,青分
生份人,生份儂
生份人,生分人
生囝,生子
生冷,青冷
白汫無味,白𩟗無味
生狂,青狂
石枋,石板
目空,目孔
瓦厝,瓦茨
生疏,青疏
生理人,生理儂
生番,生蕃
生菇,生菰
目睭,目珠
目睭仁,目珠仁
目睭皮,目珠皮
白跤蹄,白骹蹄
白跤蹄,白腳蹄
生鉎,生銹
生鉎,生鏥
石榴,榭榴
瓦窯,瓦窰
甲箬笠,甲笚笠
甲箬笠,甲籜笠
白頭鵠仔,白頭殼仔
生鍋,鍟鍋
生鐵,鍟鐵
生驚,青驚
白鑠鑠,白晰晰
交,加
份,分
伨,媵
先生媽,先生嬤
兇狂,凶狂
交懍恂,加懍恂
交懍恂,交懍損
交懍恂,加懍損
份額,分額
共,給
囝,子
各人,各儂
在人,在儂
吐大氣,吐大喟
囡仔,囝仔
囡仔人,囡仔儂
囡仔款,囝仔款
在地人,在地儂
吐肉箭,吐肉搢
囝兒,子兒
囝孫,子孫
吐氣,吐喟
向望,映望
合喙,合嘴
囝婿,子婿
吐腸頭,凸腸頭
各馝,各鱉
回覆,回復
庄,莊
字爿,字旁
安份,安分
好囝,好子
好好人,好好儂
好佳哉,好嘉哉
好佳哉,好佳在
好空,好孔
好喙,好嘴
好喙斗,好嘴斗
尖喙夾仔,尖嘴夾仔
尖喙掘仔,尖嘴掘仔
奸詭,奸鬼
庄跤,庄骹
庄跤,庄腳
尖跤幼手,尖骹幼手
尖跤幼手,尖腳幼手
好額人,好額儂
扞,按
扞,捍
扦,䉔
成人,成儂
死人面,死儂面
死人款,死儂款
有人緣,有儂緣
死囡仔䖙,死囡仔撐
有耳無喙,有耳無嘴
死坐活食,死坐活噍
死坐活食,死坐活吃
有空無榫,有孔無榫
扞家,按家
扞家,捍家
收喙,收嘴
有閒,有閑
曲跤,蹺骹
曲跤,蹺腳
收跤洗手,收骹洗手
收跤洗手,收腳洗手
扞鼎灶,捍鼎灶
扞鼎灶,按鼎灶
扞數,捍數
扞數,扞賬
扞數,捍賬
收數,收賬
扞盤,按盤
扞盤,捍盤
收擔,收担
死賴人,死賴儂
有錢人,有錢儂
扞頭,按頭
扞頭,捍頭
收瀾,收涎
竹䈄,竹筨
老人,老儂
老人目,老儂目
老人斑,老儂斑
老大人,老大儂
米奶,米乳
百百空,百百孔
竹披仔,竹批仔
老板,老闆
老爸,老父
耳空,耳孔
耳空重,耳孔重
耳空鬼仔,耳孔鬼仔
耳空輕,耳孔輕
米芳,米香
肉乾,肉干
竹棑,竹筏
行棋,行碁
羊犅,羊牨
老番顛,老番癲
老硞硞,老痀痀
肉圓,肉丸
老歲仔,老伙仔
竹跤,竹骹
竹跤,竹腳
肉跤仔,肉骹仔
肉跤仔,肉腳仔
竹蓆,竹𥱊
米潘,米䊩
灰窯,灰窰
竹箬,竹籜
竹箬,竹笚
米蟲,米虫
肉羹,肉焿
米攕,米扦
米粩,米荖
米粩,米佬
西爿,西旁
西洋人,西洋儂
佈,布
佗,叼
佗,搭
