hanzi,tl
爽,sóng
爽,sńg
猛,bíng
猛,mé
疏,soo
疏,sòo
疏,se
疏,sue
盒,a̍p
盒,a̍h
眼,gán
眼,gíng
章,tsiong
章,tsiang
章,tsiunn
章,tsionn
紮,tsat
紮,tsah
脫,thuat
脫,thuah
被,pī
被,phuē
被,phē
販,huàn
販,phuànn
通,thong
通,thang
連,liân
連,nî
陰,im
陰,iam
雪,suat
雪,seh
壺,hôo
壺,ôo
惱,lóo
惱,ló
惱,náu
掌,tsióng
掌,tsiáng
掌,tsiúnn
掌,tsiónn
插,tshap
插,tshah
敢,kám
敢,kánn
散,sán
散,sàn
散,suánn
散,suànn
棟,tòng
棟,tàng
款,khuán
款,khuánn
發,huat
發,puh
窗,tshong
窗,thang
童,tông
童,tâng
等,tíng
等,tán
結,kiat
結,kat
絕,tsua̍t
絕,tse̍h
脹,tiòng
脹,tiàng
脹,tiùnn
脹,tiònn
腎,sīn
腎,siān
菊,kiok
菊,kak
買,mái
買,bé
買,bué
貼,thiap
貼,tah
量,liông
量,liōng
量,liâng
量,liāng
量,niû
量,niôo
量,niū
量,niōo
開,khai
開,khui
間,kan
間,king
間,kainn
間,kàn
陽,iông
陽,iâng
陽,iûnn
陽,iônn
雄,hiông
雄,hîng
亂,luān
亂,lān
傳,thuân
傳,tuān
傳,thn̂g
傳,thuînn
傷,siong
傷,siang
傷,siunn
傷,sionn
勢,sè
勢,sì
想,sióng
想,siáng
想,siūnn
想,siōnn
損,sún
損,sńg
損,suínn
歲,suè
歲,huè
歲,hè
煎,tsian
煎,tsuann
照,tsiàu
照,tsiò
節,tsiat
節,tsat
節,tseh
節,tsueh
經,king
經,kenn
經,kinn
罩,tàu
罩,tà
罪,tsuē
罪,tsē
落,lo̍k
落,lo̍h
裝,tsong
裝,tsng
解,kái
解,ké
解,kué
運,ūn
遍,piàn
遍,phiàn
過,kò
過,kòo
過,kuè
過,kè
像,siōng
像,tshiāng
像,tshiūnn
像,tshiōnn
夢,bōng
夢,bāng
實,si̍t
實,tsa̍t
歌,ko
歌,koo
歌,kua
滿,buán
滿,muá
漲,tiòng
漲,tiàng
漲,tiùnn
漲,tiònn
禍,hō
禍,hōo
禍,ē
種,tsióng
種,tsiòng
種,tsíng
種,tsìng
算,suàn
算,sǹg
算,suìnn
管,kuán
管,kńg
管,kuínn
精,tsing
精,tsiann
精,tsinn
網,bóng
網,bāng
蓋,kài
蓋,kuà
語,gú
語,gí
說,suat
說,suè
說,sueh
說,seh
遠,uán
遠,hn̄g
遠,huīnn
領,líng
領,niá
廣,kóng
廣,kńg
廣,kuínn
數,sòo
數,siàu
標,piau
標,phiau
標,pio
熱,jia̍t
熱,lia̍t
熱,gia̍t
熱,jua̍h
熱,lua̍h
窮,kiông
窮,kîng
窮,khîng
編,pian
編,pinn
罵,mā
罵,mē
課,khò
課,khòo
課,khuè
課,khè
課,khì
請,tshíng
請,tshiánn
賞,sióng
賞,siáng
賞,siúnn
賞,siónn
賣,māi
賣,bē
賣,buē
養,ióng
養,iáng
養,iúnn
養,iónn
麩,hu
麩,phoo
學,ha̍k
學,o̍h
操,tsho
操,tshò
操,tshoo
操,tshòo
操,tshau
擔,tam
擔,tann
擔,tànn
磨,môo
磨,buâ
磨,bō
親,tshin
親,tshenn
親,tshinn
靜,tsīng
靜,tsēnn
靜,tsīnn
龍,liông
龍,lîng
營,îng
營,iânn
燭,tsiok
燭,tsik
總,tsóng
總,tsáng
聲,sing
聲,siann
膽,tám
膽,tánn
講,káng
講,kóng
謝,siā
謝,tsiā
還,huân
還,hîng
還,hâinn
霜,song
霜,sng
黜,thut
黜,thuh
齋,tsai
齋,tse
斷,tuàn
斷,tuān
斷,tn̄g
斷,tuīnn
蟲,thiông
蟲,thâng
轉,tsuán
轉,tńg
轉,tuínn
鞭,pian
鞭,pinn
鬆,song
鬆,sang
懶,lán
懶,nuā
簾,liâm
簾,lî
簾,nî
繭,kián
繭,kíng
辭,sû
辭,sî
邊,pian
邊,pinn
關,kuan
關,kuainn
關,kuinn
勸,khǹg
勸,khuìnn
勸,khuàn
疊,thia̍p
疊,tha̍h
籠,lông
籠,lóng
籠,lâng
籠,láng
聽,thing
聽,thiann
聽,thìng
讀,tho̍k
讀,tha̍k
變,piàn
變,pìnn
顯,hián
顯,hiánn
體,thé
體,thué
丈,tiōng
丈,tiāng
丈,tn̄g
丈,tiūnn
丈,tiōnn
久,kiú
久,kú
口,khió
口,khóo
口,kháu
夕,si̍k
夕,sia̍h
巳,sū
巳,tsī
弓,kiong
弓,king
井,tsíng
井,tsénn
井,tsínn
今,kim
今,kin
孔,khóng
孔,kháng
少,siàu
少,siáu
少,tsió
尺,tshik
尺,tshioh
手,siú
手,tshiú
支,tsi
支,ki
斗,tóo
斗,tió
斗,táu
火,hué
火,hé
火,hónn
片,phiàn
片,phìnn
牛,giû
牛,gû
丘,khiu
丘,khu
丙,piánn
丙,píng
乏,hua̍t
乏,ha̍t
兄,hing
兄,hiann
冬,tong
冬,tang
北,pak
北,pok
叩,khiò
叩,khòo
叩,khàu
史,sú
史,sái
司,su
司,sai
司,si
外,guā
外,guē
巧,khá
巧,khiáu
巧,kháu
旦,tàn
旦,tuànn
末,bua̍t
末,bua̍h
瓜,kua
瓜,kue
瓦,uá
瓦,hiā
瓦,huā
甲,kah
甲,kap
伐,hua̍t
伐,hua̍h
各,kok
各,koh
后,hiō
后,hōo
后,āu
宅,thi̍k
宅,the̍h
式,sik
式,sit
忙,bông
忙,bâng
扛,kong
扛,kng
曲,khiok
曲,khik
汗,hān
汗,kuānn
百,pik
百,pah
百,peh
竹,tik
竹,tiok
羊,iông
羊,iâng
羊,iûnn
羊,iônn
舌,sia̍t
舌,tsi̍h
行,hîng
行,hâng
行,hīng
行,kiânn
伯,pik
伯,phik
伯,peh
伴,phuān
伴,phuānn
卵,luán
卵,nn̄g
卵,nuī
吠,huī
吠,puī
吩,hun
吩,huan
含,hâm
含,kâm
吵,tsháu
吵,tshá
吹,tshui
吹,tshue
吹,tshe
呂,lū
呂,lī
坊,hong
坊,hng
坐,tsō
坐,tsōo
坐,tsē
坑,khing
坑,khenn
坑,khinn
床,tshông
床,tshn̂g
弄,lōng
弄,lāng
役,i̍k
役,ia̍h
批,phi
批,phue
批,phe
把,pá
把,pé
更,king
更,kenn
更,kinn
更,kìng
杆,kan
杆,kuainn
杆,kuann
杆,kuinn
杖,tiōng
杖,tiāng
杖,thn̄g
沙,sa
沙,se
沙,sua
灶,tsò
灶,tsòo
灶,tsàu
牢,lô
牢,lôo
牢,tiâu
禿,thut
禿,thuh
芋,ū
芋,ōo
芒,bông
芒,bâng
赤,tshik
赤,tshiah
走,tsóo
走,tsió
走,tsáu
車,ki
車,ku
車,tshia
京,king
京,kiann
侍,sū
侍,sī
侍,sāi
供,kiong
供,kiòng
供,king
供,kìng
具,kū
具,khū
到,tò
到,tòo
到,tàu
卓,tok
卓,toh
叔,siok
叔,tsik
呻,sin
呻,tshan
坦,thán
坦,thánn
坪,pîng
坪,phîng
坪,pênn
坪,pînn
坪,phiânn
奈,nāi
奈,tā
尚,siōng
尚,siāng
尚,siūnn
尚,siōnn
居,ku
居,ki
岩,giâm
岩,gâm
岸,huānn
岸,gān
帛,pi̍k
帛,pe̍h
抱,phāu
抱,phō
抵,tí
抵,té
押,ap
押,ah
拒,kū
拒,kī
拔,pua̍t
拔,pua̍h
拔,pue̍h
拔,pui̍h
斧,hú
斧,póo
明,bîng
明,miâ
昏,hun
昏,hng
昏,huinn
易,ī
易,īnn
易,i̍k
易,ia̍h
松,siông
松,tshîng
松,tsîng
枝,ki
枝,tsi
爭,tsing
爭,tsenn
爭,tsinn
狀,tsōng
狀,tsn̄g
狗,kóo
狗,kió
狗,káu
玩,guán
玩,uán
祀,sū
祀,tshāi
祀,sāi
空,khong
空,khòng
空,khang
空,khàng
肥,huî
肥,puî
肩,kian
肩,king
芙,hû
芙,phû
芟,san
芟,sing
芥,kài
芥,kè
芥,kuà
芳,hong
芳,phang
芽,gâ
芽,gê
迎,gîng
迎,ngiâ
迎,giâ
阿,a
阿,o
阿,oo
侯,hôo
侯,hiô
侯,hâu
促,tshiok
促,tshik
俄,ngôo
俄,gô
削,siat
削,siah
厚,hōo
厚,hiō
厚,kāu
咬,ngáu
咬,kā
姚,iâu
姚,iô
姜,kiong
姜,khiong
姜,kiang
姜,khiang
姜,khiunn
姜,kiunn
姜,khionn
姜,kionn
姪,ti̍t
客,khik
客,kheh
屎,sú
屎,sí
屎,sái
屏,pîn
屏,pîng
後,hiō
後,hōo
後,āu
後,hāu
恍,hóng
恍,huánn
扁,pínn
扁,pián
持,tshî
持,tî
挑,thiau
挑,thiáu
挑,thio
映,iòng
映,iàng
映,ìng
架,kà
架,kè
枷,ka
枷,kê
柄,pìng
柄,pènn
柄,pìnn
柏,pik
柏,peh
柱,thiāu
柱,tsū
段,tuān
段,tuānn
洋,iûnn
洋,iônn
洋,iông
洋,iâng
津,tin
津,tsin
洪,hông
洪,âng
活,hua̍t
活,ua̍h
牲,sing
牲,senn
牲,sinn
珍,tin
珍,tsin
界,kài
界,kè
界,kuè
疫,i̍k
疫,ia̍h
矜,khim
矜,king
砂,sa
砂,se
砂,sua
研,gián
研,gíng
研,ngái
研,nguí
秒,biáu
秒,bió
穿,tshuan
穿,tshng
穿,tshuinn
缸,kong
缸,kng
胡,hôo
胡,ôo
苔,thai
苔,thî
苔,tî
若,jio̍k
若,lio̍k
若,gio̍k
苧,thú
