tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taijit,is_variant
ìn-eh,應噎,25,ìn-eh,in3eh4,in3eh4,ㄧㄣ˪ㆤㆷ,,ineh,ineh,ㄧㄣㆤㆷ,,ie,ie,ㄧㆤ,,True,True
ìn-hó,應好,25,ìn-hó,in3ho2,in3ho2,ㄧㄣ˪ㄏㄛˋ,,inho,inho,ㄧㄣㄏㄛ,,ih,ih,ㄧㄏ,,True,False
ìng-tit,應得,25,èng-tit,ing3tit4,eng3tit4,ㄧㄥ˪ㄉㄧㆵ,,ingtit,engtit,ㄧㄥㄉㄧㆵ,,it,et,ㄧㄉ,,True,False
ìn-ìn,應應,25,ìn-ìn,in3in3,in3in3,ㄧㄣ˪ㄧㄣ˪,,inin,inin,ㄧㄣㄧㄣ,,ii,ii,ㄧㄧ,,True,False
ìng-sîng,應承,25,èng-sêng,ing3sing5,eng3seng5,ㄧㄥ˪ㄒㄧㄥˊ,,ingsing,engseng,ㄧㄥㄒㄧㄥ,,is,es,ㄧㄒ,,True,False
ìng-tsiap,應接,25,èng-chiap,ing3tsiap4,eng3chiap4,ㄧㄥ˪ㄐㄧㄚㆴ,,ingtsiap,engchiap,ㄧㄥㄐㄧㄚㆴ,,it,ec,ㄧㄐ,,True,False
ìng-uān,應援,25,èng-oān,ing3uan7,eng3oan7,ㄧㄥ˪ㄨㄢ˫,,inguan,engoan,ㄧㄥㄨㄢ,,iu,eo,ㄧㄨ,,True,False
ìng-hāu,應效,25,èng-hāu,ing3hau7,eng3hau7,ㄧㄥ˪ㄏㄠ˫,,inghau,enghau,ㄧㄥㄏㄠ,,ih,eh,ㄧㄏ,,True,False
ìng-sî,應時,25,èng-sî,ing3si5,eng3si5,ㄧㄥ˪ㄒㄧˊ,,ingsi,engsi,ㄧㄥㄒㄧ,,is,es,ㄧㄒ,,True,False
ìn-thuî,應槌,25,ìn-thûi,in3thui5,in3thui5,ㄧㄣ˪ㄊㄨㄧˊ,,inthui,inthui,ㄧㄣㄊㄨㄧ,,it,it,ㄧㄊ,,True,False
ìn-tap,應答,25,ìn-tap,in3tap4,in3tap4,ㄧㄣ˪ㄉㄚㆴ,,intap,intap,ㄧㄣㄉㄚㆴ,,it,it,ㄧㄉ,,True,False
ìng-tap,應答,25,èng-tap,ing3tap4,eng3tap4,ㄧㄥ˪ㄉㄚㆴ,,ingtap,engtap,ㄧㄥㄉㄚㆴ,,it,et,ㄧㄉ,,True,False
ìn-bí,應米,25,ìn-bí,in3bi2,in3bi2,ㄧㄣ˪ㆠㄧˋ,,inbi,inbi,ㄧㄣㆠㄧ,,ib,ib,ㄧㆠ,,True,False
ìng-la̍p,應納,25,èng-la̍p,ing3lap8,eng3lap8,ㄧㄥ˪ㄌㄚㆴ̇,,inglap,englap,ㄧㄥㄌㄚㆴ,,il,el,ㄧㄌ,,True,False
ìn-siann,應聲,25,ìn-siaⁿ,in3siann1,in3siann1,ㄧㄣ˪ㄒㄧㆩ,,insiann,insiann,ㄧㄣㄒㄧㆩ,,is,is,ㄧㄒ,,True,False
ìng-hîng,應行,25,èng-hêng,ing3hing5,eng3heng5,ㄧㄥ˪ㄏㄧㄥˊ,,inghing,engheng,ㄧㄥㄏㄧㄥ,,ih,eh,ㄧㄏ,,True,False
ìng-sìn,應訊,25,èng-sìn,ing3sin3,eng3sin3,ㄧㄥ˪ㄒㄧㄣ˪,,ingsin,engsin,ㄧㄥㄒㄧㄣ,,is,es,ㄧㄒ,,True,False
ìng-hú,應許,25,èng-hú,ing3hu2,eng3hu2,ㄧㄥ˪ㄏㄨˋ,,inghu,enghu,ㄧㄥㄏㄨ,,ih,eh,ㄧㄏ,,True,False
ìn-uē,應話,25,ìn-ōe,in3ue7,in3oe7,ㄧㄣ˪ㄨㆤ˫,,inue,inoe,ㄧㄣㄨㆤ,,iu,io,ㄧㄨ,,True,False
ìng-piàn,應變,25,èng-piàn,ing3pian3,eng3pian3,ㄧㄥ˪ㄅㄧㄢ˪,,ingpian,engpian,ㄧㄥㄅㄧㄢ,,ip,ep,ㄧㄅ,,True,False
ìn-kim,應金,25,ìn-kim,in3kim1,in3kim1,ㄧㄣ˪ㄍㄧㆬ,,inkim,inkim,ㄧㄣㄍㄧㆬ,,ik,ik,ㄧㄍ,,True,False
ìng-giām,應驗,25,èng-giām,ing3giam7,eng3giam7,ㄧㄥ˪ㆣㄧㆰ˫,,inggiam,enggiam,ㄧㄥㆣㄧㆰ,,ig,eg,ㄧㆣ,,True,False
áu-ná,懊惱,25,áu-ná,au2na2,au2na2,ㄠˋㄋㄚˋ,,auna,auna,ㄠㄋㄚ,,an,an,ㄠㄋ,,True,False
àu-e̍h,懊鬱,25,àu-e̍h,au3eh8,au3eh8,ㄠ˪ㆤㆷ̇,,aueh,aueh,ㄠㆤㆷ,,ae,ae,ㄠㆤ,,True,False
àu-ut,懊鬱,25,àu-ut,au3ut4,au3ut4,ㄠ˪ㄨㆵ,,auut,auut,ㄠㄨㆵ,,au,au,ㄠㄨ,,True,False
tai-tsú,懛子,25,tai-chú,tai1tsu2,tai1chu2,ㄉㄞㄗㄨˋ,,taitsu,taichu,ㄉㄞㄗㄨ,,tt,tc,ㄉㄗ,,True,False
tai-tai,懛懛,25,tai-tai,tai1tai1,tai1tai1,ㄉㄞㄉㄞ,,taitai,taitai,ㄉㄞㄉㄞ,,tt,tt,ㄉㄉ,,True,False
tai-gōng,懛戇,25,tai-gōng,tai1gong7,tai1gong7,ㄉㄞㆣㆲ˫,,taigong,taigong,ㄉㄞㆣㆲ,,tg,tg,ㄉㆣ,,True,False
tai-kâu,懛猴,25,tai-kâu,tai1kau5,tai1kau5,ㄉㄞㄍㄠˊ,,taikau,taikau,ㄉㄞㄍㄠ,,tk,tk,ㄉㄍ,,True,False
tai-sîn,懛神,25,tai-sîn,tai1sin5,tai1sin5,ㄉㄞㄒㄧㄣˊ,,taisin,taisin,ㄉㄞㄒㄧㄣ,,ts,ts,ㄉㄒ,,True,False
nōo-jio̍k,懦弱,25,nō͘-jio̍k,noo7jiok8,noo7jiok8,ㄋㆦ˫ㆢㄧㆦㆻ̇,,noojiok,noojiok,ㄋㆦㆢㄧㆦㆻ,,nj,nj,ㄋㆢ,,True,False
nōo-sìng,懦性,25,nō͘-sèng,noo7sing3,noo7seng3,ㄋㆦ˫ㄒㄧㄥ˪,,noosing,nooseng,ㄋㆦㄒㄧㄥ,,ns,ns,ㄋㄒ,,True,False
nōo-nōo,懦懦,25,nō͘-nō͘,noo7noo7,noo7noo7,ㄋㆦ˫ㄋㆦ˫,,noonoo,noonoo,ㄋㆦㄋㆦ,,nn,nn,ㄋㄋ,,True,False
tîng-i̍k,懲役,25,têng-e̍k,ting5ik8,teng5ek8,ㄉㄧㄥˊㄧㆻ̇,,tingik,tengek,ㄉㄧㄥㄧㆻ,,ti,te,ㄉㄧ,,True,False
tîng-ok,懲惡,25,têng-ok,ting5ok4,teng5ok4,ㄉㄧㄥˊㆦㆻ,,tingok,tengok,ㄉㄧㄥㆦㆻ,,to,to,ㄉㆦ,,True,False
tîng-hua̍t,懲罰,25,têng-hoa̍t,ting5huat8,teng5hoat8,ㄉㄧㄥˊㄏㄨㄚㆵ̇,,tinghuat,tenghoat,ㄉㄧㄥㄏㄨㄚㆵ,,th,th,ㄉㄏ,,True,False
lán-thán,懶坦,25,lán-thán,lan2than2,lan2than2,ㄌㄢˋㄊㄢˋ,,lanthan,lanthan,ㄌㄢㄊㄢ,,lt,lt,ㄌㄊ,,True,False
nuā-sìng,懶性,25,nōa-sèng,nua7sing3,noa7seng3,ㄋㄨㄚ˫ㄒㄧㄥ˪,,nuasing,noaseng,ㄋㄨㄚㄒㄧㄥ,,ns,ns,ㄋㄒ,,True,False
lán-tuānn,懶惰,25,lán-tōaⁿ,lan2tuann7,lan2toann7,ㄌㄢˋㄉㄨㆩ˫,,lantuann,lantoann,ㄌㄢㄉㄨㆩ,,lt,lt,ㄌㄉ,,True,False
nuā-nuā,懶懶,25,nōa-nōa,nua7nua7,noa7noa7,ㄋㄨㄚ˫ㄋㄨㄚ˫,,nuanua,noanoa,ㄋㄨㄚㄋㄨㄚ,,nn,nn,ㄋㄋ,,True,False
nuā-tsuānn,懶賤,25,nōa-chōaⁿ,nua7tsuann7,noa7choann7,ㄋㄨㄚ˫ㄗㄨㆩ˫,,nuatsuann,noachoann,ㄋㄨㄚㄗㄨㆩ,,nt,nc,ㄋㄗ,,True,False
huâi-kóo,懷古,25,hoâi-kó͘,huai5koo2,hoai5koo2,ㄏㄨㄞˊㄍㆦˋ,,huaikoo,hoaikoo,ㄏㄨㄞㄍㆦ,,hk,hk,ㄏㄍ,,True,False
huâi-hūn,懷恨,25,hoâi-hūn,huai5hun7,hoai5hun7,ㄏㄨㄞˊㄏㄨㄣ˫,,huaihun,hoaihun,ㄏㄨㄞㄏㄨㄣ,,hh,hh,ㄏㄏ,,True,False
kuî-kuî,懷懷,25,kûi-kûi,kui5kui5,kui5kui5,ㄍㄨㄧˊㄍㄨㄧˊ,,kuikui,kuikui,ㄍㄨㄧㄍㄨㄧ,,kk,kk,ㄍㄍ,,True,False
huâi-phāu,懷抱,25,hoâi-phāu,huai5phau7,hoai5phau7,ㄏㄨㄞˊㄆㄠ˫,,huaiphau,hoaiphau,ㄏㄨㄞㄆㄠ,,hp,hp,ㄏㄆ,,True,False
kuî-tsuí,懷水,25,kûi-chúi,kui5tsui2,kui5chui2,ㄍㄨㄧˊㄗㄨㄧˋ,,kuitsui,kuichui,ㄍㄨㄧㄗㄨㄧ,,kt,kc,ㄍㄗ,,True,False
huâi-thai,懷胎,25,hoâi-thai,huai5thai1,hoai5thai1,ㄏㄨㄞˊㄊㄞ,,huaithai,hoaithai,ㄏㄨㄞㄊㄞ,,ht,ht,ㄏㄊ,,True,False
huâi-kiū,懷舊,25,hoâi-kiū,huai5kiu7,hoai5kiu7,ㄏㄨㄞˊㄍㄧㄨ˫,,huaikiu,hoaikiu,ㄏㄨㄞㄍㄧㄨ,,hk,hk,ㄏㄍ,,True,False
hânn-suann,懸山,25,hâⁿ-soaⁿ,hann5suann1,hann5soann1,ㄏㆩˊㄙㄨㆩ,,hannsuann,hannsoann,ㄏㆩㄙㄨㆩ,,hs,hs,ㄏㄙ,,True,False
hânn-teh,懸得,25,hâⁿ-teh,hann5teh4,hann5teh4,ㄏㆩˊㄉㆤㆷ,,hannteh,hannteh,ㄏㆩㄉㆤㆷ,,ht,ht,ㄏㄉ,,True,False
hiân-hiân,懸懸,25,hiân-hiân,hian5hian5,hian5hian5,ㄏㄧㄢˊㄏㄧㄢˊ,,hianhian,hianhian,ㄏㄧㄢㄏㄧㄢ,,hh,hh,ㄏㄏ,,True,False
hânn-hânn,懸懸,25,hâⁿ-hâⁿ,hann5hann5,hann5hann5,ㄏㆩˊㄏㆩˊ,,hannhann,hannhann,ㄏㆩㄏㆩ,,hh,hh,ㄏㄏ,,True,False
hiân-liông,懸梁,25,hiân-liông,hian5liong5,hian5liong5,ㄏㄧㄢˊㄌㄧㆲˊ,,hianliong,hianliong,ㄏㄧㄢㄌㄧㆲ,,hl,hl,ㄏㄌ,,True,False
hânn-oo,懸烏,25,hâⁿ-o͘,hann5oo1,hann5oo1,ㄏㆩˊㆦ,,hannoo,hannoo,ㄏㆩㆦ,,ho,ho,ㄏㆦ,,True,False
hiân-sióng,懸賞,25,hiân-sióng,hian5siong2,hian5siong2,ㄏㄧㄢˊㄒㄧㆲˋ,,hiansiong,hiansiong,ㄏㄧㄢㄒㄧㆲ,,hs,hs,ㄏㄒ,,True,False
hânn-hûn,懸雲,25,hâⁿ-hûn,hann5hun5,hann5hun5,ㄏㆩˊㄏㄨㄣˊ,,hannhun,hannhun,ㄏㆩㄏㄨㄣ,,hh,hh,ㄏㄏ,,True,False
tshàm-hué,懺悔,25,chhàm-hóe,tsham3hue2,chham3hoe2,ㄘㆰ˪ㄏㄨㆤˋ,,tshamhue,chhamhoe,ㄘㆰㄏㄨㆤ,,th,ch,ㄘㄏ,,True,False
khū-luē,懼內,25,khū-lōe,khu7lue7,khu7loe7,ㄎㄨ˫ㄌㄨㆤ˫,,khulue,khuloe,ㄎㄨㄌㄨㆤ,,kl,kl,ㄎㄌ,,True,False
khu-phànn,懼怕,25,khu-phàⁿ,khu1phann3,khu1phann3,ㄎㄨㄆㆩ˪,,khuphann,khuphann,ㄎㄨㄆㆩ,,kp,kp,ㄎㄆ,,True,False
khū-tsuē,懼罪,25,khū-chōe,khu7tsue7,khu7choe7,ㄎㄨ˫ㄗㄨㆤ˫,,khutsue,khuchoe,ㄎㄨㄗㄨㆤ,,kt,kc,ㄎㄗ,,True,False
ì-tso̍k,懿族,25,ì-cho̍k,i3tsok8,i3chok8,ㄧ˪ㄗㆦㆻ̇,,itsok,ichok,ㄧㄗㆦㆻ,,it,ic,ㄧㄗ,,True,False
gōng-lâng,戇人,25,gōng-lâng,gong7lang5,gong7lang5,ㆣㆲ˫ㄌㄤˊ,,gonglang,gonglang,ㆣㆲㄌㄤ,,gl,gl,ㆣㄌ,,True,False
gōng-sòng,戇倯,25,gōng-sòng,gong7song3,gong7song3,ㆣㆲ˫ㄙㆲ˪,,gongsong,gongsong,ㆣㆲㄙㆲ,,gs,gs,ㆣㄙ,,True,False
gōng-siūnn,戇想,25,gōng-siūⁿ,gong7siunn7,gong7siunn7,ㆣㆲ˫ㄒㄧㆫ˫,,gongsiunn,gongsiunn,ㆣㆲㄒㄧㆫ,,gs,gs,ㆣㄒ,,True,False
gōng-gû,戇愚,25,gōng-gû,gong7gu5,gong7gu5,ㆣㆲ˫ㆣㄨˊ,,gonggu,gonggu,ㆣㆲㆣㄨ,,gg,gg,ㆣㆣ,,True,False
gōng-thu̍h,戇愚,25,gōng-thu̍h,gong7thuh8,gong7thuh8,ㆣㆲ˫ㄊㄨㆷ̇,,gongthuh,gongthuh,ㆣㆲㄊㄨㆷ,,gt,gt,ㆣㄊ,,True,False
gāng-gāng,戇戇,25,gāng-gāng,gang7gang7,gang7gang7,ㆣㄤ˫ㆣㄤ˫,,ganggang,ganggang,ㆣㄤㆣㄤ,,gg,gg,ㆣㆣ,,True,False
gōng-gōng,戇戇,25,gōng-gōng,gong7gong7,gong7gong7,ㆣㆲ˫ㆣㆲ˫,,gonggong,gonggong,ㆣㆲㆣㆲ,,gg,gg,ㆣㆣ,,True,False
gōng-tshiū,戇樹,25,gōng-chhiū,gong7tshiu7,gong7chhiu7,ㆣㆲ˫ㄑㄧㄨ˫,,gongtshiu,gongchhiu,ㆣㆲㄑㄧㄨ,,gt,gc,ㆣㄑ,,True,False
gōng-kâu,戇猴,25,gōng-kâu,gong7kau5,gong7kau5,ㆣㆲ˫ㄍㄠˊ,,gongkau,gongkau,ㆣㆲㄍㄠ,,gk,gk,ㆣㄍ,,True,False
gōng-tai,戇獃,25,gōng-tai,gong7tai1,gong7tai1,ㆣㆲ˫ㄉㄞ,,gongtai,gongtai,ㆣㆲㄉㄞ,,gt,gt,ㆣㄉ,,True,True
gōng-ba̍k,戇目,25,gōng-ba̍k,gong7bak8,gong7bak8,ㆣㆲ˫ㆠㄚㆻ̇,,gongbak,gongbak,ㆣㆲㆠㄚㆻ,,gb,gb,ㆣㆠ,,True,False
gōng-ti̍t,戇直,25,gōng-ti̍t,gong7tit8,gong7tit8,ㆣㆲ˫ㄉㄧㆵ̇,,gongtit,gongtit,ㆣㆲㄉㄧㆵ,,gt,gt,ㆣㄉ,,True,False
gōng-sîn,戇神,25,gōng-sîn,gong7sin5,gong7sin5,ㆣㆲ˫ㄒㄧㄣˊ,,gongsin,gongsin,ㆣㆲㄒㄧㄣ,,gs,gs,ㆣㄒ,,True,False
gōng-hok,戇福,25,gōng-hok,gong7hok4,gong7hok4,ㆣㆲ˫ㄏㆦㆻ,,gonghok,gonghok,ㆣㆲㄏㆦㆻ,,gh,gh,ㆣㄏ,,True,False
gōng-bah,戇肉,25,gōng-bah,gong7bah4,gong7bah4,ㆣㆲ˫ㆠㄚㆷ,,gongbah,gongbah,ㆣㆲㆠㄚㆷ,,gb,gb,ㆣㆠ,,True,False
gōng-tánn,戇膽,25,gōng-táⁿ,gong7tann2,gong7tann2,ㆣㆲ˫ㄉㆩˋ,,gongtann,gongtann,ㆣㆲㄉㆩ,,gt,gt,ㆣㄉ,,True,False
gōng-hóo,戇虎,25,gōng-hó͘,gong7hoo2,gong7hoo2,ㆣㆲ˫ㄏㆦˋ,,gonghoo,gonghoo,ㆣㆲㄏㆦ,,gh,gh,ㆣㄏ,,True,True
gōng-uē,戇話,25,gōng-ōe,gong7ue7,gong7oe7,ㆣㆲ˫ㄨㆤ˫,,gongue,gongoe,ㆣㆲㄨㆤ,,gu,go,ㆣㄨ,,True,False
gōng-tu,戇豬,25,gōng-tu,gong7tu1,gong7tu1,ㆣㆲ˫ㄉㄨ,,gongtu,gongtu,ㆣㆲㄉㄨ,,gt,gt,ㆣㄉ,,True,False
gōng-kiáu,戇賭,25,gōng-kiáu,gong7kiau2,gong7kiau2,ㆣㆲ˫ㄍㄧㄠˋ,,gongkiau,gongkiau,ㆣㆲㄍㄧㄠ,,gk,gk,ㆣㄍ,,True,False
gōng-tsînn,戇錢,25,gōng-chîⁿ,gong7tsinn5,gong7chinn5,ㆣㆲ˫ㄐㆪˊ,,gongtsinn,gongchinn,ㆣㆲㄐㆪ,,gt,gc,ㆣㄐ,,True,False
gōng-bīn,戇面,25,gōng-bīn,gong7bin7,gong7bin7,ㆣㆲ˫ㆠㄧㄣ˫,,gongbin,gongbin,ㆣㆲㆠㄧㄣ,,gb,gb,ㆣㆠ,,True,False
gōng-tian,戇顛,25,gōng-tian,gong7tian1,gong7tian1,ㆣㆲ˫ㄉㄧㄢ,,gongtian,gongtian,ㆣㆲㄉㄧㄢ,,gt,gt,ㆣㄉ,,True,False
bōo-gōo,戊午,25,bō͘-gō͘,boo7goo7,boo7goo7,ㆠㆦ˫ㆣㆦ˫,,boogoo,boogoo,ㆠㆦㆣㆦ,,bg,bg,ㆠㆣ,,True,False
bōo-tsí,戊子,25,bō͘-chí,boo7tsi2,boo7chi2,ㆠㆦ˫ㄐㄧˋ,,bootsi,boochi,ㆠㆦㄐㄧ,,bt,bc,ㆠㄐ,,True,False
bōo-în,戊寅,25,bō͘-în,boo7in5,boo7in5,ㆠㆦ˫ㄧㄣˊ,,booin,booin,ㆠㆦㄧㄣ,,bi,bi,ㆠㄧ,,True,False
bōo-sut,戊戌,25,bō͘-sut,boo7sut4,boo7sut4,ㆠㆦ˫ㄙㄨㆵ,,boosut,boosut,ㆠㆦㄙㄨㆵ,,bs,bs,ㆠㄙ,,True,False
bōo-sin,戊申,25,bō͘-sin,boo7sin1,boo7sin1,ㆠㆦ˫ㄒㄧㄣ,,boosin,boosin,ㆠㆦㄒㄧㄣ,,bs,bs,ㆠㄒ,,True,False
bōo-sîn,戊辰,25,bō͘-sîn,boo7sin5,boo7sin5,ㆠㆦ˫ㄒㄧㄣˊ,,boosin,boosin,ㆠㆦㄒㄧㄣ,,bs,bs,ㆠㄒ,,True,False
sut-sî,戌時,25,sut-sî,sut4si5,sut4si5,ㄙㄨㆵㄒㄧˊ,,sutsi,sutsi,ㄙㄨㆵㄒㄧ,,ss,ss,ㄙㄒ,,True,False
sut-ge̍h,戌月,25,sut-ge̍h,sut4geh8,sut4geh8,ㄙㄨㆵㆣㆤㆷ̇,,sutgeh,sutgeh,ㄙㄨㆵㆣㆤㆷ,,sg,sg,ㄙㆣ,,True,False
sîng-ting,成丁,25,sêng-teng,sing5ting1,seng5teng1,ㄒㄧㄥˊㄉㄧㄥ,,singting,sengteng,ㄒㄧㄥㄉㄧㄥ,,st,st,ㄒㄉ,,True,False
sîng-sū,成事,25,sêng-sū,sing5su7,seng5su7,ㄒㄧㄥˊㄙㄨ˫,,singsu,sengsu,ㄒㄧㄥㄙㄨ,,ss,ss,ㄒㄙ,,True,False
sîng-jîn,成人,25,sêng-jîn,sing5jin5,seng5jin5,ㄒㄧㄥˊㆢㄧㄣˊ,,singjin,sengjin,ㄒㄧㄥㆢㄧㄣ,,sj,sj,ㄒㆢ,,True,False
tsiânn-lâng,成人,25,chiâⁿ-lâng,tsiann5lang5,chiann5lang5,ㄐㄧㆩˊㄌㄤˊ,,tsiannlang,chiannlang,ㄐㄧㆩㄌㄤ,,tl,cl,ㄐㄌ,,True,False
sîng-sian,成仙,25,sêng-sian,sing5sian1,seng5sian1,ㄒㄧㄥˊㄒㄧㄢ,,singsian,sengsian,ㄒㄧㄥㄒㄧㄢ,,ss,ss,ㄒㄒ,,True,False
sîng-hu̍t,成佛,25,sêng-hu̍t,sing5hut8,seng5hut8,ㄒㄧㄥˊㄏㄨㆵ̇,,singhut,senghut,ㄒㄧㄥㄏㄨㆵ,,sh,sh,ㄒㄏ,,True,False
tsiânn-la̍t,成力,25,chiâⁿ-la̍t,tsiann5lat8,chiann5lat8,ㄐㄧㆩˊㄌㄚㆵ̇,,tsiannlat,chiannlat,ㄐㄧㆩㄌㄚㆵ,,tl,cl,ㄐㄌ,,True,False
sîng-kù,成句,25,sêng-kù,sing5ku3,seng5ku3,ㄒㄧㄥˊㄍㄨ˪,,singku,sengku,ㄒㄧㄥㄍㄨ,,sk,sk,ㄒㄍ,,True,False
sîng-bîng,成名,25,sêng-bêng,sing5bing5,seng5beng5,ㄒㄧㄥˊㆠㄧㄥˊ,,singbing,sengbeng,ㄒㄧㄥㆠㄧㄥ,,sb,sb,ㄒㆠ,,True,False
tsiânn-miā,成命,25,chiâⁿ-miā,tsiann5mia7,chiann5mia7,ㄐㄧㆩˊㄇㄧㄚ˫,,tsiannmia,chiannmia,ㄐㄧㆩㄇㄧㄚ,,tm,cm,ㄐㄇ,,True,False
sîng-khì,成器,25,sêng-khì,sing5khi3,seng5khi3,ㄒㄧㄥˊㄎㄧ˪,,singkhi,sengkhi,ㄒㄧㄥㄎㄧ,,sk,sk,ㄒㄎ,,True,False
tsiânn-thinn,成天,25,chiâⁿ-thiⁿ,tsiann5thinn1,chiann5thinn1,ㄐㄧㆩˊㄊㆪ,,tsiannthinn,chiannthinn,ㄐㄧㆩㄊㆪ,,tt,ct,ㄐㄊ,,True,False
tsiânn-hó,成好,25,chiâⁿ-hó,tsiann5ho2,chiann5ho2,ㄐㄧㆩˊㄏㄛˋ,,tsiannho,chiannho,ㄐㄧㆩㄏㄛ,,th,ch,ㄐㄏ,,True,False
sîng-hun,成婚,25,sêng-hun,sing5hun1,seng5hun1,ㄒㄧㄥˊㄏㄨㄣ,,singhun,senghun,ㄒㄧㄥㄏㄨㄣ,,sh,sh,ㄒㄏ,,True,False
tsiânn-kiánn,成子,25,chiâⁿ-kiáⁿ,tsiann5kiann2,chiann5kiann2,ㄐㄧㆩˊㄍㄧㆩˋ,,tsiannkiann,chiannkiann,ㄐㄧㆩㄍㄧㆩ,,tk,ck,ㄐㄍ,,True,True
tsiânn-khang,成孔,25,chiâⁿ-khang,tsiann5khang1,chiann5khang1,ㄐㄧㆩˊㄎㄤ,,tsiannkhang,chiannkhang,ㄐㄧㆩㄎㄤ,,tk,ck,ㄐㄎ,,True,True
sîng-ka,成家,25,sêng-ka,sing5ka1,seng5ka1,ㄒㄧㄥˊㄍㄚ,,singka,sengka,ㄒㄧㄥㄍㄚ,,sk,sk,ㄒㄍ,,True,False
