"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"17732","hāi-kâu","","hai7-kau5","","害猴","pháiⁿ-ê器具等，無好ê物件。","專賣 ∼∼ ê ke-si。","hāi-kâu","","hai7-kau5","","害猴","pháinn-ê器具等，無好ê物件。","專賣 ∼∼ ê ke-si。","B0516",""
"17733","hāi--khì","","hai7--khi3","","害去","(1)變pháiⁿ去，毀壞。
(2)死去。","(1)tāi-chì ∼∼；phah ∼∼。
(2)某人 ∼∼。","hāi--khì","","hai7--khi3","","害去","(1)變pháinn去，毀壞。
(2)死去。","(1)tāi-tsì ∼∼；phah ∼∼。
(2)某人 ∼∼。","B0517",""
"17734","hāi-lah","","hai7-lah","","害喇","慘lah。","∼∼， 船沈落去。","hāi-lah","","hai7-lah","","害喇","慘lah。","∼∼， 船沈落去。","B0520",""
"17735","hāi--lâng","","hai7--lang5","","害人","(1)慘害人。
(2)造成人ê損害。","(1)∼∼ 不淺。
(2)∼∼ 了錢；你 ∼∼ 倒案；∼∼ 拆散。","hāi--lâng","","hai7--lang5","","害人","(1)慘害人。
(2)造成人ê損害。","(1)∼∼ 不淺。
(2)∼∼ 了錢；你 ∼∼ 倒案；∼∼ 拆散。","B0520",""
"17736","hāi--loh","","hai7--loh","","害嘮","(1)慘loh。
(2)死去。","(1)∼∼， sòa破去。
(2)某人to ∼∼。","hāi--loh","","hai7--loh","","害嘮","(1)慘loh。
(2)死去。","(1)∼∼， suà破去。
(2)某人to ∼∼。","B0520",""
"17737","hāi-mi̍h","","hai7-mih8","","害物","廢物。","∼∼ khah濟貨底。","hāi-mi̍h","","hai7-mih8","","害物","廢物。","∼∼ khah濟貨底。","B0520",""
"17738","hāi-oân","","hai7-oan5","","蟹丸","蟹肉ê丸仔。","","hāi-uân","","hai7-uan5","","蟹丸","蟹肉ê丸仔。","","B0516",""
"17739","hāi-oân-hî-chhì","","hai7-oan5-hi5-chhi3","","蟹丸魚翅","[蟹丸]切片摻豬肉、魚翅等落去牽粉ê料理。","","hāi-uân-hî-tshì","","hai7-uan5-hi5-tshi3","","蟹丸魚翅","[蟹丸]切片摻豬肉、魚翅等落去牽粉ê料理。","","B0516",""
"17740","hāi-oân-hî-tûn","","hai7-oan5-hi5-tun5","","蟹丸魚脣","[蟹丸]切片摻豬肉、魚、筍等落去煮ê料理。","","hāi-uân-hî-tûn","","hai7-uan5-hi5-tun5","","蟹丸魚脣","[蟹丸]切片摻豬肉、魚、筍等落去煮ê料理。","","B0516",""
"17741","hāi-oân-pe̍h-chhài","","hai7-oan5-peh8-chhai3","","蟹丸白菜","[蟹丸]切片摻豬肉、白菜、香菇等落去煮ê料理。","","hāi-uân-pe̍h-tshài","","hai7-uan5-peh8-tshai3","","蟹丸白菜","[蟹丸]切片摻豬肉、白菜、香菇等落去煮ê料理。","","B0516",""
"17742","hāi-ok","","hai7-ok","","害惡","(日)危害，毒害。","","hāi-ok","","hai7-ok","","害惡","(日)危害，毒害。","","B0516",""
"17743","siau-lâng-ê-chúi-tiùⁿ","","siau-lang5-e5-chui2-tiunn3","","害--死","(1)殺害，毒殺。
(2)破壞人生活上ê利益或前途等。","(1)∼∼ [害=死 →害死]生靈＝殺生。
(2)hō͘伊 ∼∼ chiah bōe出身。","siau-lâng-ê-tsuí-tiùnn","","siau-lang5-e5-tsui2-tiunn3","","害--死","(1)殺害，毒殺。
(2)破壞人生活上ê利益或前途等。","(1)∼∼ [害=死 →害死]生靈＝殺生。
(2)hōo伊 ∼∼ chiah buē出身。","B0517",""
"17744","hāi-sí-lâng","","hai7-si2-lang5","","害死人","＝[害死]。","","hāi-sí-lâng","","hai7-si2-lang5","","害死人","＝[害死]。","","B0517",""
"17745","hāi-sî","","hai7-si5","","亥時","亥ê時刻。","","hāi-sî","","hai7-si5","","亥時","亥ê時刻。","","B0517",""
"17746","hāi-tháng-tháng","","hai7-thang2-thang2","","害桶桶","變kah真bái。","tāi-chì ∼∼∼。","hāi-tháng-tháng","","hai7-thang2-thang2","","害桶桶","變kah真bái。","tāi-tsì ∼∼∼。","B0518",""
