"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"1","a","","a","","鴉","烏鴉。「鴉」有「反哺之義」。","","a","","a","","鴉","烏鴉。「鴉」有「反哺之義」。","","A0001",""
"2","a","","a","","啊","(tio̍h驚等等ê驚歎詞)。","∼ ！ 真不可思議！","a","","a","","啊","(tio̍h驚等等ê驚歎詞)。","∼ ！ 真不可思議！","A0001",""
"3","a","","a","","阿","(親密或尊敬之意ê詞頭)。","∼ 兄、∼ 公、∼ 母、∼ 姊。","a","","a","","阿","(親密或尊敬之意ê詞頭)。","∼ 兄、∼ 公、∼ 母、∼ 姊。","A0001",""
"4","á","","a2","","仔","詞尾。
(1)細ê意思。
(2)輕視ê意思。
(3)調整語調ê詞。
(4)親蜜或尊敬之意。
(5)簡單、sió-khóa。
(6)明確指訂所在á是數目ê時陣。","(1)狗∼、鳥∼、豆∼。
(2)番∼、警察∼。
(3)柱(thiāu) ∼、樹∼、牆∼。
(4)江海∼ ＝江海先生；日春∼ ＝日春先生。
(5)作彩∼ ＝sió-khóa充喜(改運)；看māi ∼ ；chám然∼ ＝相當青青∼ ＝sió-khóa青青。
(6)chit塊 ∼、兩個∼ ＝只有兩個。","á","","a2","","仔","詞尾。
(1)細ê意思。
(2)輕視ê意思。
(3)調整語調ê詞。
(4)親蜜或尊敬之意。
(5)簡單、sió-khuá。
(6)明確指訂所在á是數目ê時陣。","(1)狗∼、鳥∼、豆∼。
(2)番∼、警察∼。
(3)柱(thiāu) ∼、樹∼、牆∼。
(4)江海∼ ＝江海先生；日春∼ ＝日春先生。
(5)作彩∼ ＝sió-khuá充喜(改運)；看māi ∼ ；tsám然∼ ＝相當青青∼ ＝sió-khuá青青。
(6)chit塊 ∼、兩個∼ ＝只有兩個。","A0001",""
"5","á","","a2","","尚","(1)猶。
(2)相當。","(1)∼ 有＝猶有；∼ 你neh？ ∼ koh一pái； ∼ 無＝已經無。
(2)∼ 美(súi)＝相當美；∼ 勇＝相當勇。","á","","a2","","尚","(1)猶。
(2)相當。","(1)∼ 有＝猶有；∼ 你neh？ ∼ koh一pái； ∼ 無＝已經無。
(2)∼ 美(suí)＝相當美；∼ 勇＝相當勇。","A0001",""
"6","á","","a2","","也","或者。","有á無；是∼ m̄是。","á","","a2","","也","或者。","有á無；是∼ m̄是。","A0001",""
"7","á","","a2","","阿","(泉)(親密或尊敬之意ê詞頭)。","∼ 爹、∼ 伯、∼ 娘＝Á母。","á","","a2","","阿","(泉)(親密或尊敬之意ê詞頭)。","∼ 爹、∼ 伯、∼ 娘＝Á母。","A0001",""
"8","à-à","","a3-a3","","à-à","","味∼∼＝變味。","à-à","","a3-a3","","à-à","","味∼∼＝變味。","A0002",""
"9","à-à","","a3-a3","","啞啞","","∼∼ 叫＝烏鴉等等ê鳥á á á háu。","à-à","","a3-a3","","啞啞","","∼∼ 叫＝烏鴉等等ê鳥á á á háu。","A0002",""
"10","á-bē","","a2-be7","","猶未","＝[尚(iá)未]。","","á-bē","","a2-be7","","猶未","＝[尚(iá)未]。","","A0008",""
"11","á-bōe","","a2-boe7","","尚未","＝[尚未(bē)]。","","á-buē","","a2-bue7","","尚未","＝[尚未(bē)]。","","A0008",""
"12","á-chhiâu","","a2-chhiau5","","阿誚","(戲)憨呆，糊塗亂來。","","á-tshiâu","","a2-tshiau5","","阿誚","(戲)憨呆，糊塗亂來。","","A0004",""
"13","á-î","","a2-i5","","á-î","蟬ê一種＝庵(am)埔(po͘)蟬。","","á-î","","a2-i5","","á-î","蟬ê一種＝庵(am)埔(poo)蟬。","","A0002",""
"14","á-kiáⁿ","","a2-kiann2","","阿囝","(泉)稱呼家己ê kiáⁿ。","","á-kiánn","","a2-kiann2","","阿囝","(泉)稱呼家己ê kiánn。","","A0003",""
"15","á-pá","","a2-pa2","","á-pá","(1)gín-á sai-nai討物件ê聲。
(2)吞占，併吞。","(2)家伙hō͘伊 ∼∼ 了了＝財產lóng hō͘伊吞占去。","á-pá","","a2-pa2","","á-pá","(1)gín-á sai-nai討物件ê聲。
(2)吞占，併吞。","(2)家伙hōo伊 ∼∼ 了了＝財產lóng hōo伊吞占去。","A0005",""
"16","á-sī","","a2-si7","","抑是","或是、或者、乃至。","是chit-ê ∼∼ hit個。","á-sī","","a2-si7","","抑是","或是、或者、乃至。","是chit-ê ∼∼ hit個。","A0004",""
"17","à","","a3","","啞","(文)啞口，臭耳人。","聾啞。","à","","a3","","啞","(文)啞口，臭耳人。","聾啞。","A0001",""
"18","à","","a3","","亞","第二。","∼ 軍＝第二名；∼ 聖＝第二聖人。","à","","a3","","亞","第二。","∼ 軍＝第二名；∼ 聖＝第二聖人。","A0001",""
"19","à","","a3","","à","食物等臭去ê味。","味真∼。","à","","a3","","à","食物等臭去ê味。","味真∼。","A0001",""
"20","à","","a3","","呵","(忽然想起tāi-chì， á是驚tio̍h ê時ê驚歎詞)。","∼ 我beh來去；∼ soah bē記得。","à","","a3","","呵","(忽然想起tāi-tsì， á是驚tio̍h ê時ê驚歎詞)。","∼ 我beh來去；∼ soah bē記得。","A0001",""
"21","à-goân","","a3-goan5","","亞元","(文)得tio̍h進士考試第二名。","","à-guân","","a3-guan5","","亞元","(文)得tio̍h進士考試第二名。","","A0003",""
"22","à-khoe","","a3-khoe","","亞魁","得tio̍h舉人考試第二名。","","à-khue","","a3-khue","","亞魁","得tio̍h舉人考試第二名。","","A0003",""
"23","à-khó͘","","a3-khoo2","","啞口","恬恬無話。","啞口無言＝話lóng講bē出。","à-khóo","","a3-khoo2","","啞口","恬恬無話。","啞口無言＝話lóng講bē出。","A0003",""
"24","à-lêng","","a3-leng5","","啞鈴","運動器具ê一種。","∼∼ 體操。","à-lîng","","a3-ling5","","啞鈴","運動器具ê一種。","∼∼ 體操。","A0008",""
"25","à-pà","","a3-pa3","","拗霸","gín-á剛強ê個性。","gín-á真à-pà=gín-á個性橫pà-pà。","à-pà","","a3-pa3","","拗霸","gín-á剛強ê個性。","gín-á真à-pà=gín-á個性橫pà-pà。","A0006",""
"26","à-sèng","","a3-seng3","","亞聖","＝孟子。","","à-sìng","","a3-sing3","","亞聖","＝孟子。","","A0004",""
"27","â","","a5","","呵","( 驚tio̍h ê時ê驚歎詞)。","∼ 天窗漏--lah。","â","","a5","","呵","( 驚tio̍h ê時ê驚歎詞)。","∼ 天窗漏--lah。","A0001",""
"28","ā","","a7","","亦/也","＝亦、也。","","ā","","a7","","亦/也","＝亦、也。","","A0001",""
"29","ā","","a7","","呵","( 怨嘆ê時ê驚歎詞)。","∼ 你心肝chiah硬。","ā","","a7","","呵","( 怨嘆ê時ê驚歎詞)。","∼ 你心肝chiah硬。","A0001",""
"30","ā-chê","","a7-che5","","亦一個","＝[亦有一個]。","","ā-tsê","","a7-tse5","","亦一個","＝[亦有一個]。","","A0004",""
"31","ā-chi̍t-ê","","a7-chit8-e5","","亦一個","＝[亦有一個]。","","ā-tsi̍t-ê","","a7-tsit8-e5","","亦一個","＝[亦有一個]。","","A0005",""
"32","ā-ná","","a7-na2","","亦ná","XX ê款式。~~ beh ~~ m̄。＝[也ná]。","","ā-ná","","a7-na2","","亦ná","XX ê款式。~~ beh ~~ m̄。＝[也ná]。","","A0005",""
"33","ā-sái","","a7-sai2","","亦使","那tio̍h，m̄免特別專工去做。","∼∼ thiâu-tî去，寄phoe去就好。","ā-sái","","a7-sai2","","亦使","那tio̍h，m̄免特別專工去做。","∼∼ thiâu-tî去，寄phoe去就好。","A0003",""
"34","ā-sī","","a7-si7","","亦是","(1)Mā是。
(2)kám án-ni？kám有影？","(1)伊 ∼∼ 好人。我講 ∼∼ 無chhái工。","ā-sī","","a7-si7","","亦是","(1)Mā是。
(2)kám án-ni？kám有影？","(1)伊 ∼∼ 好人。我講 ∼∼ 無tshái工。","A0004",""
"35","ā-sī","","a7-si7","","也是","Kap[抑是]仝但意思khah輕。","","ā-sī","","a7-si7","","也是","Kap[抑是]仝但意思khah輕。","","A0004",""
"36","ā-ū","","a7-u7","","亦有","(反語)。","∼∼有hit款tāi-chì？＝甘有hit種tāi-chì？","ā-ū","","a7-u7","","亦有","(反語)。","∼∼有hit款tāi-tsì？＝甘有hit種tāi-tsì？","A0002",""
"37","ā-ū chi̍t-ê","","a7-u7 chit8-e5","","亦有一個","(反語)。","伊∼∼∼∼ m̄ khì？＝伊甘m̄去？∼∼∼∼ 無？＝甘無？","ā-ū tsi̍t-ê","","a7-u7 tsit8-e5","","亦有一個","(反語)。","伊∼∼∼∼ m̄ khì？＝伊甘m̄去？∼∼∼∼ 無？＝甘無？","A0002",""
"38","a-A","","a-A","","呵呵","","∼∼ 叫＝嬰á a-a講話。","a-A","","a-A","","呵呵","","∼∼ 叫＝嬰á a-a講話。","A0002",""
"39","a-a cha-cha","","a-a cha-cha","","a-acha-cha","無清氣，là-sap 。","","a-a tsa-tsa","","a-a tsa-tsa","","a-acha-cha","無清氣，là-sap 。","","A0002",""
"40","a-a cham-cham","","a-a cham-cham","","a-acham-cham","","無清氣。là-sap 。","a-a tsam-tsam","","a-a tsam-tsam","","a-acham-cham","","無清氣。là-sap 。","A0002",""
"41","A-bí-lī-ka","","A-bi2-li7-ka","","亞米利加","＝America。","","A-bí-lī-ka","","A-bi2-li7-ka","","亞米利加","＝America。","","A0006",""
"42","a-bú","á-bú(泉)/án-bú(泉)","a-bu2","a2-bu2(泉)/an2-bu2(泉)","阿母","對老母ê稱呼。","","a-bú","á-bú(泉)/án-bú(泉)","a-bu2","a2-bu2(泉)/an2-bu2(泉)","阿母","對老母ê稱呼。","","A0007/A0007/A0022",""
"43","a-but-á","","a-but-a2","","阿but仔","無路用。","∼∼∼ 腳siàu=無啥路用ê人。","a-but-á","","a-but-a2","","阿but仔","無路用。","∼∼∼ 腳siàu=無啥路用ê人。","A0007",""
"44","a-cha","","a-cha","","a-cha","(1)垃圾，污穢。
(2)風評bái，無正當。","(2)做∼∼ --ê tāi-chì＝做無正當ê事。趁 ∼∼ 錢＝趁無正當ê錢。","a-tsa","","a-tsa","","a-cha","(1)垃圾，污穢。
(2)風評bái，無正當。","(2)做∼∼ --ê tāi-tsì＝做無正當ê事。趁 ∼∼ 錢＝趁無正當ê錢。","A0003",""
"45","a-cham","am-cham(泉)","a-cham","am-cham(泉)","a-cham","無清氣；là-sap 。","","a-tsam","am-tsam(泉)","a-tsam","am-tsam(泉)","a-cham","無清氣；là-sap 。","","A0004/A0025",""
"46","a-chek","á-chek(泉)/án-chek(泉)","a-chek","a2-chek(泉)/an2-chek(泉)","阿叔","稱呼老父ê小弟。","","a-tsik","á-tsik(泉)/án-tsik(泉)","a-tsik","a2-tsik(泉)/an2-tsik(泉)","阿叔","稱呼老父ê小弟。","","A0004/A0004/A0020",""
"47","a-ché","a-chí/á-ché(泉)/á-chí(泉)/án-ché(泉)","a-che2","a-chi2/a2-che2(泉)/a2-chi2(泉)/an2-che2(泉)","阿姊","","","a-tsé","a-tsí/á-tsé(泉)/á-tsí(泉)/án-tsé(泉)","a-tse2","a-tsi2/a2-tse2(泉)/a2-tsi2(泉)/an2-tse2(泉)","阿姊","","","A0004/A0004/A0004/A0004/A0020",""
"48","a-chiá","","a-chia2","","阿姐","(1)稱呼老母。
(2)稱呼小姐。","","a-tsiá","","a-tsia2","","阿姐","(1)稱呼老母。
(2)稱呼小姐。","","A0004",""
"49","a-chím","á-chím(泉)/án-chím(泉)","a-chim2","a2-chim2(泉)/an2-chim2(泉)","阿嬸","(1)稱呼老父ê兄弟ê bó͘。
(2)稱呼繼母。","","a-tsím","á-tsím(泉)/án-tsím(泉)","a-tsim2","a2-tsim2(泉)/an2-tsim2(泉)","阿嬸","(1)稱呼老父ê兄弟ê bóo。
(2)稱呼繼母。","","A0005/A0005/A0020",""
"50","a-chiu","","a-chiu","","亞洲","","","a-tsiu","","a-tsiu","","亞洲","","","A0004",""
"51","a-chó͘","","a-choo2","","阿祖","(1)稱呼阿公ê老父。
(2)稱呼阿公ê老母。","","a-tsóo","","a-tsoo2","","阿祖","(1)稱呼阿公ê老父。
(2)稱呼阿公ê老母。","","A0004",""
"52","a-gū","","a-gu7","","阿語","(1)(動)類似蟬ê蟲名。
(2)對細漢gín-á講話ê時，安慰ê語氣。","","a-gū","","a-gu7","","阿語","(1)(動)類似蟬ê蟲名。
(2)對細漢gín-á講話ê時，安慰ê語氣。","","A0003",""
"53","a-gūi","","a-gui7","","阿魏","(植)做漢藥。","","a-guī","","a-gui7","","阿魏","(植)做漢藥。","","A0003",""
"54","ah","","ah","","鴨","(動)家畜。","∼ teh tho(lo)＝鴨用嘴chhōe食物。","ah","","ah","","鴨","(動)家畜。","∼ teh tho(lo)＝鴨用嘴tshuē食物。","A0001",""
"55","ah","","ah","","百","(1)(姓)。
(2)＝百。","(2)二 ∼ 五＝二百五十；三 ∼ 張＝三百張。","ah","","ah","","百","(1)(姓)。
(2)＝百。","(2)二 ∼ 五＝二百五十；三 ∼ 張＝三百張。","A0001",""
"56","ah","","ah","","押","(1)強迫。
(2)押韻。
(3)~ 送、~ 陣、~ siāⁿ＝護送結婚禮物。
(4)記錄。~ 日子、~ 號。","(1)∼ 伊做＝強迫伊做；∼ hō͘伊落性＝強迫改變伊ê個性。","ah","","ah","","押","(1)強迫。
(2)押韻。
(3)~ 送、~ 陣、~ siānn＝護送結婚禮物。
(4)記錄。~ 日子、~ 號。","(1)∼ 伊做＝強迫伊做；∼ hōo伊落性＝強迫改變伊ê個性。","A0001",""
"57","ah","","ah","","呵","( 驚歎詞)。","∼ taⁿ慘--lah；∼ taⁿ來去。","ah","","ah","","呵","( 驚歎詞)。","∼ tann慘--lah；∼ tann來去。","A0001",""
"58","ah","","ah","","啊","(調整命令、指定、疑問或語調ê助詞)。","去-- ∼； súi(美)-- ∼；tī時--∼ ＝tang時； 所以∼。","ah","","ah","","啊","(調整命令、指定、疑問或語調ê助詞)。","去-- ∼； suí(美)-- ∼；tī時--∼ ＝tang時； 所以∼。","A0001",""
"59","a̍h","","ah8","","盒","貯物件ê小箱。","∼ á=細箱á；薰 ∼。","a̍h","","ah8","","盒","貯物件ê小箱。","∼ á=細箱á；薰 ∼。","A0001",""
"60","a̍h","","ah8","","押","(1)teh。
(2)托tiâu物件來押。","(1)∼ teh。用押尺 ∼ 看。
(2)∼ hit勢、giâ竹篙來 ∼ 鴨陣。","a̍h","","ah8","","押","(1)teh。
(2)托tiâu物件來押。","(1)∼ teh。用押尺 ∼ 看。
(2)∼ hit勢、giâ竹篙來 ∼ 鴨陣。","A0001",""
"61","a̍h","","ah8","","亦","","","a̍h","","ah8","","亦","","","A0001",""
"62","a̍h","","ah8","","呵","","","a̍h","","ah8","","呵","","","A0001",""
"63","a̍h-á","","ah8-a2","","盒仔","小箱á。","","a̍h-á","","ah8-a2","","盒仔","小箱á。","","A0002",""
"64","a̍h-gî","","ah8-gi5","","盒儀","","送禮ê糖á餅類。","a̍h-gî","","ah8-gi5","","盒儀","","送禮ê糖á餅類。","A0003",""
"65","a̍h-sī","","ah8-si7","","亦是","","","a̍h-sī","","ah8-si7","","亦是","","","A0004",""
"66","ah-á","","ah-a2","","鴨仔","鴨kiáⁿ、鴨á。","∼∼ 聽雷＝講siáⁿ lóng聽bô。","ah-á","","ah-a2","","鴨仔","鴨kiánn、鴨á。","∼∼ 聽雷＝講siánn lóng聽bô。","A0002",""
"67","ah-á bé","","ah-a2 be2","","鴨á尾","發育不良ê細隻鴨。","","ah-á bé","","ah-a2 be2","","鴨á尾","發育不良ê細隻鴨。","","A0002",""
"68","ah-á-tan","","ah-a2-tan","","鴨仔tan","(1)發育不全ê鴨á。
(2)無志氣＝[鴨痀 á]。","","ah-á-tan","","ah-a2-tan","","鴨仔tan","(1)發育不全ê鴨á。
(2)無志氣＝[鴨痀 á]。","","A0002",""
"69","ah-á-thng","","ah-a2-thng","","鴨á湯","鴨湯ê料理。","","ah-á-thng","","ah-a2-thng","","鴨á湯","鴨湯ê料理。","","A0002",""
"70","ah-āu","","ah-au7","","押後","Tī後壁護送；殿後。","","ah-āu","","ah-au7","","押後","Tī後壁護送；殿後。","","A0002",""
"71","ah-bah","","ah-bah","","鴨肉","鴨ê肉。","","ah-bah","","ah-bah","","鴨肉","鴨ê肉。","","A0005",""
"72","ah-bé","ah-bóe(漳)/ah-bó̤(泉)","ah-be2","ah-boe2(漳)/ah-bor2(泉)","押尾","到尾，最後。","∼∼ 講＝後尾才講。寫∼∼ ＝最後才寫。*＝[押(àu)尾]。+E655","ah-bé","ah-bué(漳)/ah-bér(泉)","ah-be2","ah-bue2(漳)/ah-ber2(泉)","押尾","到尾，最後。","∼∼ 講＝後尾才講。寫∼∼ ＝最後才寫。*＝[押(àu)尾]。+E655","A0007/A0008/A0008",""
"73","ah-bé-chhiú","","ah-be2-chhiu2","","押尾手","到尾，最後。＝[押尾]。","","ah-bé-tshiú","","ah-be2-tshiu2","","押尾手","到尾，最後。＝[押尾]。","","A0007",""
"74","ah-bé-chiúⁿ","","ah-be2-chiunn2","","押尾槳","操作正pêng ê船舵。","","ah-bé-tsiúnn","","ah-be2-tsiunn2","","押尾槳","操作正pîng ê船舵。","","A0007",""
"75","ah-bé-chui","","ah-be2-chui","","鴨尾椎","鴨尾ê所在有肥肉。","","ah-bé-tsui","","ah-be2-tsui","","鴨尾椎","鴨尾ê所在有肥肉。","","A0007",""
"76","ah-bî","","ah-bi5","","鴨bî","叫鴨á ê聲。","","ah-bî","","ah-bi5","","鴨bî","叫鴨á ê聲。","","A0006",""
"77","ah-bī","","ah-bi7","","押味","為tio̍h消除食物ê味，加添酒iah是生薑來加味。","","ah-bī","","ah-bi7","","押味","為tio̍h消除食物ê味，加添酒iah是生薑來加味。","","A0006",""
"78","ah-bú","","ah-bu2","","鴨母","雌性ê鴨。","∼∼ 食水hāu=鴨母吞食田龜(意思：進退兩難)。∼∼ 裝金iā是扁嘴＝鴨母毛súi，嘴猶koh是扁--ê。∼∼ 食tō͘-kún(蚯蚓)＝橫霸吞食弱者，一屑á費氣tō無。∼∼ 食家己ê粟(chhek)，生卵別人ê=生cha-bó͘ kiáⁿ，嫁去別人ê。∼∼ 嘴bóng lū=不管有無，總是ài試看māi。∼∼ m̄管beh管鵝＝家己ê tāi-chì m̄管，beh管別人。∼∼ 討食別人坵，生卵家己ê=Pháiⁿ品行ê cha-bó͘ kiáⁿ，tī家己ê厝內生私生兒。","ah-bú","","ah-bu2","","鴨母","雌性ê鴨。","∼∼ 食水hāu=鴨母吞食田龜(意思：進退兩難)。∼∼ 裝金iā是扁嘴＝鴨母毛suí，嘴猶koh是扁--ê。∼∼ 食tōo-kún(蚯蚓)＝橫霸吞食弱者，一屑á費氣tō無。∼∼ 食家己ê粟(chhek)，生卵別人ê=生cha-bóo kiánn，嫁去別人ê。∼∼ 嘴bóng lū=不管有無，總是ài試看māi。∼∼ m̄管beh管鵝＝家己ê tāi-tsì m̄管，beh管別人。∼∼ 討食別人坵，生卵家己ê=Pháinn品行ê cha-bóo kiánn，tī家己ê厝內生私生兒。","A0007",""
"79","ah-bú-chháu","ek-bú-chháu","ah-bu2-chhau2","ek-bu2-chhau2","益母草","(植) 藥草一種(煎服枝、葉，是感冒解熱劑，尤其是月經不順ê特效藥)。","","ah-bú-tsháu","ik-bú-tsháu","ah-bu2-tshau2","ik-bu2-tshau2","益母草","(植) 藥草一種(煎服枝、葉，是感冒解熱劑，尤其是月經不順ê特效藥)。","","A0007/A0070",""
"80","ah-bú-chhiū","","ah-bu2-chhiu7","","鴨母樹","(植)材質輕軟白色ê樹，做各種ê器具。","","ah-bú-tshiū","","ah-bu2-tshiu7","","鴨母樹","(植)材質輕軟白色ê樹，做各種ê器具。","","A0007",""
"81","ah-bú-chhùi","","ah-bu2-chhui3","","鴨母嘴","(1)母ê鴨ê嘴。
(2)Sêng鴨母嘴形ê物件。","(1)變 ∼∼ 嘴＝嘴合起來無出聲。","ah-bú-tshuì","","ah-bu2-tshui3","","鴨母嘴","(1)母ê鴨ê嘴。
(2)Sîng鴨母嘴形ê物件。","(1)變 ∼∼ 嘴＝嘴合起來無出聲。","A0007",""
"82","ah-bú-chu","","ah-bu2-chu","","鴨母珠","(1)鴨ê上額內底有一粒像粟粒ê物件。
(2)(植) (果子是健胃kap利尿劑或是腳氣等ê治劑；根做通經劑ê路用)。","","ah-bú-tsu","","ah-bu2-tsu","","鴨母珠","(1)鴨ê上額內底有一粒像粟粒ê物件。
(2)(植) (果子是健胃kap利尿劑或是腳氣等ê治劑；根做通經劑ê路用)。","","A0007",""
"83","ah-bú-it","","ah-bu2-it","","鴨母乙","乙ê字。","","ah-bú-it","","ah-bu2-it","","鴨母乙","乙ê字。","","A0007",""
"84","ah-bú-tê","","ah-bu2-te5","","鴨母蹄","(1)母ê鴨ê蹄。
(2)無腳心ê腳。
(3)尻川像鴨ê款式搖動行路。","","ah-bú-tê","","ah-bu2-te5","","鴨母蹄","(1)母ê鴨ê蹄。
(2)無腳心ê腳。
(3)尻川像鴨ê款式搖動行路。","","A0007",""
"85","ah-bú-thâu","","ah-bu2-thau5","","鴨母頭","燒烙鐵一種。","","ah-bú-thâu","","ah-bu2-thau5","","鴨母頭","燒烙鐵一種。","","A0007",""
"86","ah-bú-tiâu","","ah-bu2-tiau5","","鴨母潮","一種粘性真強ê淬(chut)米[糯米]，但是現今栽培ê品種中，無koh有看tio̍h。","","ah-bú-tiâu","","ah-bu2-tiau5","","鴨母潮","一種粘性真強ê淬(chut)米[糯米]，但是現今栽培ê品種中，無koh有看tio̍h。","","A0007",""
"87","ah-chāi","","ah-chai7","","押儎","護送船貨，坐tī船貨頂面ê人。","","ah-tsāi","","ah-tsai7","","押儎","護送船貨，坐tī船貨頂面ê人。","","A0004",""
"88","ah-chàn","","ah-chan3","","押讚","祭典ê時，引chhōa主祭者ê工作人員。","","ah-tsàn","","ah-tsan3","","押讚","祭典ê時，引tshuā主祭者ê工作人員。","","A0004",""
"89","ah-chhì","","ah-chhi3","","押壓","＝押捏(ji̍h)。","","ah-tshì","","ah-tshi3","","押壓","＝押捏(ji̍h)。","","A0004",""
"90","ah-chhioh","","ah-chhioh","","押尺","用尺來量。","","ah-tshioh","","ah-tshioh","","押尺","用尺來量。","","A0005",""
"91","ah-chhùi-hông","","ah-chhui3-hong5","","鴨嘴黃","","＝[鴨舌黃](2) 。","ah-tshuì-hông","","ah-tshui3-hong5","","鴨嘴黃","","＝[鴨舌黃](2) 。","A0005",""
"92","ah-chhùi-phoe","","ah-chhui3-phoe","","鴨嘴箆","(1)鴨ê嘴。
(2)鴨嘴形ê裝飾品 (時鐘等)。","","ah-tshuì-phue","","ah-tshui3-phue","","鴨嘴箆","(1)鴨ê嘴。
(2)鴨嘴形ê裝飾品 (時鐘等)。","","A0005",""
"93","ah-chhùi-phoe-hông","","ah-chhui3-phoe-hong5","","鴨嘴箆黃","＝[鴨舌黃]2 。","","ah-tshuì-phue-hông","","ah-tshui3-phue-hong5","","鴨嘴箆黃","＝[鴨舌黃]2 。","","A0005",""
"94","ah-chi̍h-chháu","","ah-chih8-chhau2","","鴨舌草","(植)Kui叢草Kap飯同齊煮來食。","","ah-tsi̍h-tsháu","","ah-tsih8-tshau2","","鴨舌草","(植)Kui叢草Kap飯同齊煮來食。","","A0004",""
"95","ah-chi̍h-hông","","ah-chih8-hong5","","鴨舌黃","(植)(1)藥草一種(枝葉kap鴨卵同齊煮，當做通經劑來食)。
(2)藥草一種(枝葉用來治療月經不順kap淋病)。
(3)藥草一種(枝葉煎來做解熱劑)。","","ah-tsi̍h-hông","","ah-tsih8-hong5","","鴨舌黃","(植)(1)藥草一種(枝葉kap鴨卵同齊煮，當做通經劑來食)。
(2)藥草一種(枝葉用來治療月經不順kap淋病)。
(3)藥草一種(枝葉煎來做解熱劑)。","","A0004",""
"96","ah-chioh","","ah-chioh","","押借","擔保借錢。","","ah-tsioh","","ah-tsioh","","押借","擔保借錢。","","A0005",""
"97","ah-chióng-kut-chhé","","ah-chiong2-kut-chhe2","","鴨掌骨髓","鴨掌加豬肉、蔥á、松茸煮成ê料理。","","ah-tsióng-kut-tshé","","ah-tsiong2-kut-tshe2","","鴨掌骨髓","鴨掌加豬肉、蔥á、松茸煮成ê料理。","","A0005",""
"98","ah-chiúⁿ","","ah-chiunn2","","押槳","划(hôa)槳。","","ah-tsiúnn","","ah-tsiunn2","","押槳","划(huâ)槳。","","A0004",""
"99","ah-chiúⁿ","ah-chióng","ah-chiunn2","ah-chiong2","鴨掌","鴨ê掌。","","ah-tsiúnn","ah-tsióng","ah-tsiunn2","ah-tsiong2","鴨掌","鴨ê掌。","","A0004/A0005",""
"100","ah-chûn","","ah-chun5","","押船","護送船貨。","","ah-tsûn","","ah-tsun5","","押船","護送船貨。","","A0005",""
"101","ah-e̍k","","ah-ek8","","鴨液","鴨ê肉汁。","~~ 真好食。","ah-i̍k","","ah-ik8","","鴨液","鴨ê肉汁。","~~ 真好食。","A0002",""
"102","ah-hè","","ah-he3","","押貨","護送貨物。","","ah-hè","","ah-he3","","押貨","護送貨物。","","A0007",""
"103","ah-hè-kheh","","ah-he3-kheh","","押貨客","為tio̍h押貨來坐船ê人客。","","ah-hè-kheh","","ah-he3-kheh","","押貨客","為tio̍h押貨來坐船ê人客。","","A0007",""
"104","ah-he̍k","","ah-hek8","","鴨肉","","","ah-hi̍k","","ah-hik8","","鴨肉","","","A0006",""
"105","ah-hiàn","","ah-hian3","","鴨hiàn","(1)鴨尻川兩粒像豆á ê圓丸。
(2)鴨尻川ê軟毛。","","ah-hiàn","","ah-hian3","","鴨hiàn","(1)鴨尻川兩粒像豆á ê圓丸。
(2)鴨尻川ê軟毛。","","A0006",""
"106","ah-hiòng","","ah-hiong3","","押餉","護送官廳ê錢。","","ah-hiòng","","ah-hiong3","","押餉","護送官廳ê錢。","","A0006",""
"107","ah-hêng","","ah-heng5","","鴨雄","公ê鴨á。公ê[田鴨]。","","ah-hîng","","ah-hing5","","鴨雄","公ê鴨á。公ê[田鴨]。","","A0006",""
"108","ah-hêng-á-siaⁿ","","ah-heng5-a2-siann","","鴨雄仔聲","(1)鴨公ê聲。
(2)gín-á轉大人變聲時ê聲。","","ah-hîng-á-siann","","ah-hing5-a2-siann","","鴨雄仔聲","(1)鴨公ê聲。
(2)gín-á轉大人變聲時ê聲。","","A0006",""
"109","ah-hêng-siaⁿ","","ah-heng5-siann","","鴨雄聲","＝[鴨雄仔聲]。","","ah-hîng-siann","","ah-hing5-siann","","鴨雄聲","＝[鴨雄仔聲]。","","A0006",""
"110","ah-hō","","ah-ho7","","押號","做記號，做書面判決。","","ah-hō","","ah-ho7","","押號","做記號，做書面判決。","","A0008",""
"111","ah-hoàn","","ah-hoan3","","鴨販","(1)賣鴨ê人。
(2)鴨ê買賣seng-lí人。","","ah-huàn","","ah-huan3","","鴨販","(1)賣鴨ê人。
(2)鴨ê買賣seng-lí人。","","A0008",""
"112","ah-hoān","","ah-hoan7","","押犯","護送犯人。","","ah-huān","","ah-huan7","","押犯","護送犯人。","","A0008",""
"113","ah-hu","","ah-hu","","押夫","轎夫等ê監督。","","ah-hu","","ah-hu","","押夫","轎夫等ê監督。","","A0007",""
