tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
au,凹,11,au,au1,au1,au,au,,
kuat,刮,11,koat,kuat4,koat4,kuat,koat,,
kat,割,11,kat,kat4,kat4,kat,kat,,
khàm,勘,11,khàm,kham3,kham3,kham,kham,,
pak-tâu,北投,11,pak-tâu,pak4tau5,pak4tau5,paktau,paktau,pt,pt
hia̍p-gī,協議,11,hia̍p-gī,hiap8gi7,hiap8gi7,hiapgi,hiapgi,hg,hg
guân-tsū-bîn,原住民,11,goân-chū-bîn,guan5tsu7bin5,goan5chu7bin5,guantsubin,goanchubin,gtb,gcb
khó-liân-tāi,可憐代,11,khó-liân-tāi,kho2lian5tai7,kho2lian5tai7,kholiantai,kholiantai,klt,klt
ún,吮,11,ún,un2,un2,un,un,,
bī-sòo,味素,11,bī-sò͘,bi7soo3,bi7soo3,bisoo,bisoo,bs,bs
lán-lâng,咱人,11,lán-lâng,lan2lang5,lan2lang5,lanlang,lanlang,ll,ll
î,唯,11,î,i5,i5,i,i,,
tsún,噂,11,chún,tsun2,chun2,tsun,chun,,
sù-sîn-thng,四神湯,11,sù-sîn-thng,su3sin5thng1,su3sin5thng1,susinthng,susinthng,sst,sst
kán,囝,11,kán,kan2,kan2,kan,kan,,
kí,圮,11,kí,ki2,ki2,ki,ki,,
tē-tāng,地動,11,tē-tāng,te7tang7,te7tang7,tetang,tetang,tt,tt
tsē-uī,坐位,11,chē-ūi,tse7ui7,che7ui7,tseui,cheui,tu,cu
khó,坷,11,khó,kho2,kho2,kho,kho,,
póo,堡,11,pó͘,poo2,poo2,poo,poo,,
pòo,報,11,pò͘,poo3,poo3,poo,poo,,
sik,塞,11,sek,sik4,sek4,sik,sek,,
tāi-lí,大里,11,tāi-lí,tai7li2,tai7li2,taili,taili,tl,tl
î,夷,11,î,i5,i5,i,i,,
ngueh,夾,11,ngoeh,ngueh4,ngoeh4,ngueh,ngoeh,,
liâm,奩,11,liâm,liam5,liam5,liam,liam,,
hó-thinn,好天,11,hó-thiⁿ,ho2thinn1,ho2thinn1,hothinn,hothinn,ht,ht
tshiong,娼,11,chhiong,tshiong1,chhiong1,tshiong,chhiong,,
sik,媳,11,sek,sik4,sek4,sik,sek,,
enn-á,嬰仔,11,eⁿ-á,enn1a2,enn1a2,enna,enna,ea,ea
póo,宝,11,pó͘,poo2,poo2,poo,poo,,
ke-si,家私,11,ke-si,ke1si1,ke1si1,kesi,kesi,ks,ks
liâu,寥,11,liâu,liau5,liau5,liau,liau,,
póo,寶,11,pó͘,poo2,poo2,poo,poo,,
