hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo
莧,huīnn,50,hūiⁿ,huinn7,huinn7,huinn,huinn,,,True
莩,piān,50,piān,pian7,pian7,pian,pian,,,True
莩,piǎn,50,piǎn,pian6,pian6,pian,pian,,,True
菃,kîr,50,kîr,kir5,kir5,kir,kir,,,True
菃,kû,50,kû,ku5,ku5,ku,ku,,,True
菑,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
菓,ké,50,ké,ke2,ke2,ke,ke,,,True
菓,kér,50,kér,ker2,ker2,ker,ker,,,True
菡,hām,50,hām,ham7,ham7,ham,ham,,,True
菡,hǎm,50,hǎm,ham6,ham6,ham,ham,,,True
菸,ian,50,ian,ian1,ian1,ian,ian,,,True
菹,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
萏,tām,50,tām,tam7,tam7,tam,tam,,,True
萏,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True
萯,hū,50,hū,hu7,hu7,hu,hu,,,True
萯,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True
萵,er,50,er,er1,er1,er,er,,,True
葉,siap,50,siap,siap4,siap4,siap,siap,,,True
葉,sia̍p,50,sia̍p,siap8,siap8,siap,siap,,,True
著,tìr,50,tìr,tir3,tir3,tir,tir,,,True
葘,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
葘,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
葚,sīm,50,sīm,sim7,sim7,sim,sim,,,True
葚,sǐm,50,sǐm,sim6,sim6,sim,sim,,,True
葤,tiū,50,tiū,tiu7,tiu7,tiu,tiu,,,True
葤,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu,,,True
葴,tserm,50,cherm,tserm1,cherm1,tserm,cherm,,,True
葴,tsim,50,chim,tsim1,chim1,tsim,chim,,,True
葵,khe,50,khe,khe1,khe1,khe,khe,,,True
葵,kher,50,kher,kher1,kher1,kher,kher,,,True
葵,khê,50,khê,khe5,khe5,khe,khe,,,True
葵,khêr,50,khêr,kher5,kher5,kher,kher,,,True
蒑,irn,50,irn,irn1,irn1,irn,irn,,,True
蒑,un,50,un,un1,un1,un,un,,,True
蒒,sir,50,sir,sir1,sir1,sir,sir,,,True
蒒,su,50,su,su1,su1,su,su,,,True
蒘,lîr,50,lîr,lir5,lir5,lir,lir,,,True
蒘,lû,50,lû,lu5,lu5,lu,lu,,,True
蒢,tîr,50,tîr,tir5,tir5,tir,tir,,,True
蒣,sîr,50,sîr,sir5,sir5,sir,sir,,,True
蒣,sû,50,sû,su5,su5,su,su,,,True
蒽,irn,50,irn,irn1,irn1,irn,irn,,,True
蒽,un,50,un,un1,un1,un,un,,,True
蓓,puě,50,pǒe,pue6,poe6,pue,poe,,,True
蓮,nuî,50,nûi,nui5,nui5,nui,nui,,,True
蔀,piō,50,piō,pio7,pio7,pio,pio,,,True
蔀,piǒ,50,piǒ,pio6,pio6,pio,pio,,,True
蔃,kiōng,50,kiōng,kiong7,kiong7,kiong,kiong,,,True
蔃,kiǒng,50,kiǒng,kiong6,kiong6,kiong,kiong,,,True
蔘,serm,50,serm,serm1,serm1,serm,serm,,,True
蔘,sim,50,sim,sim1,sim1,sim,sim,,,True
蔪,tsiām,50,chiām,tsiam7,chiam7,tsiam,chiam,,,True
蔪,tsiǎm,50,chiǎm,tsiam6,chiam6,tsiam,chiam,,,True
蔬,sere,50,sere,sere1,sere1,sere,sere,,,True
蔰,hōo,50,hō͘,hoo7,hoo7,hoo,hoo,,,True
蔰,hǒo,50,hǒ͘,hoo6,hoo6,hoo,hoo,,,True
蕈,sīm,50,sīm,sim7,sim7,sim,sim,,,True
蕈,sǐm,50,sǐm,sim6,sim6,sim,sim,,,True
蕖,kîr,50,kîr,kir5,kir5,kir,kir,,,True
蕠,jîr,50,jîr,jir5,jir5,jir,jir,,,True
蕠,jû,50,jû,ju5,ju5,ju,ju,,,True
蕠,lîr,50,lîr,lir5,lir5,lir,lir,,,True
蕠,lû,50,lû,lu5,lu5,lu,lu,,,True
蕨,keh,50,keh,keh4,keh4,keh,keh,,,True
蕨,kerh,50,kerh,kerh4,kerh4,kerh,kerh,,,True
蕨,kè,50,kè,ke3,ke3,ke,ke,,,True
蕨,kèr,50,kèr,ker3,ker3,ker,ker,,,True
蕩,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True
蕷,īr,50,īr,ir7,ir7,ir,ir,,,True
蕼,sìr,50,sìr,sir3,sir3,sir,sir,,,True
蕼,sù,50,sù,su3,su3,su,su,,,True
薃,hō,50,hō,ho7,ho7,ho,ho,,,True
薃,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True
薈,hēr,50,hēr,her7,her7,her,her,,,True
薋,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
薋,tsû,50,chû,tsu5,chu5,tsu,chu,,,True
薖,khe,50,khe,khe1,khe1,khe,khe,,,True
薖,kher,50,kher,kher1,kher1,kher,kher,,,True
薺,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
薺,tsû,50,chû,tsu5,chu5,tsu,chu,,,True
藇,sīr,50,sīr,sir7,sir7,sir,sir,,,True
藇,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
藎,tsǐn,50,chǐn,tsin6,chin6,tsin,chin,,,True
藘,lîr,50,lîr,lir5,lir5,lir,lir,,,True
藝,gerē,50,gēre,gere7,gere7,gere,gere,,,True
藠,giō,50,giō,gio7,gio7,gio,gio,,,True
藠,giǒ,50,giǒ,gio6,gio6,gio,gio,,,True
藧,uān,50,oān,uan7,oan7,uan,oan,,,True
藧,uǎn,50,oǎn,uan6,oan6,uan,oan,,,True
藷,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
藷,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
藷,tsû,50,chû,tsu5,chu5,tsu,chu,,,True
藸,tir,50,tir,tir1,tir1,tir,tir,,,True
藸,tu,50,tu,tu1,tu1,tu,tu,,,True
藿,heh,50,heh,heh4,heh4,heh,heh,,,True
藿,herh,50,herh,herh4,herh4,herh,herh,,,True
蘌,gír,50,gír,gir2,gir2,gir,gir,,,True
蘌,gú,50,gú,gu2,gu2,gu,gu,,,True
蘧,kîr,50,kîr,kir5,kir5,kir,kir,,,True
虎,hió,50,hió,hio2,hio2,hio,hio,,,True
虒,sir,50,sir,sir1,sir1,sir,sir,,,True
虒,su,50,su,su1,su1,su,su,,,True
處,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True
虗,hir,50,hir,hir1,hir1,hir,hir,,,True
虗,hu,50,hu,hu1,hu1,hu,hu,,,True
虛,hir,50,hir,hir1,hir1,hir,hir,,,True
虡,kīr,50,kīr,kir7,kir7,kir,kir,,,True
虡,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True
虸,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
虸,tsú,50,chú,tsu2,chu2,tsu,chu,,,True
蚌,pǎng,50,pǎng,pang6,pang6,pang,pang,,,True
蚥,hú,50,hú,hu2,hu2,hu,hu,,,True
蚥,hū,50,hū,hu7,hu7,hu,hu,,,True
蚥,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True
蚵,iô,50,iô,io5,io5,io,io,,,True
蚷,kīr,50,kīr,kir7,kir7,kir,kir,,,True
蚷,kū,50,kū,ku7,ku7,ku,ku,,,True
蚷,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True
蛗,hū,50,hū,hu7,hu7,hu,hu,,,True
蛗,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True
蜀,tsi̍k,50,che̍k,tsik8,chek8,tsik,chek,,,True
蜀,tsi̍t,50,chi̍t,tsit8,chit8,tsit,chit,,,True
蜃,sǐn,50,sǐn,sin6,sin6,sin,sin,,,True
蜄,sīn,50,sīn,sin7,sin7,sin,sin,,,True
蜄,sǐn,50,sǐn,sin6,sin6,sin,sin,,,True
蜌,pě,50,pě,pe6,pe6,pe,pe,,,True
蜍,sîr,50,sîr,sir5,sir5,sir,sir,,,True
蜍,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
蜑,tǎn,50,tǎn,tan6,tan6,tan,tan,,,True
蜛,kir,50,kir,kir1,kir1,kir,kir,,,True
蜛,ku,50,ku,ku1,ku1,ku,ku,,,True
蜠,kūn,50,kūn,kun7,kun7,kun,kun,,,True
蜠,kǔn,50,kǔn,kun6,kun6,kun,kun,,,True
蜤,sir,50,sir,sir1,sir1,sir,sir,,,True
蜤,su,50,su,su1,su1,su,su,,,True
蜭,hām,50,hām,ham7,ham7,ham,ham,,,True
蜭,hǎm,50,hǎm,ham6,ham6,ham,ham,,,True
蜯,pāng,50,pāng,pang7,pang7,pang,pang,,,True
蜯,pǎng,50,pǎng,pang6,pang6,pang,pang,,,True
蝌,khe,50,khe,khe1,khe1,khe,khe,,,True
蝌,kher,50,kher,kher1,kher1,kher,kher,,,True
蝑,sir,50,sir,sir1,sir1,sir,sir,,,True
蝑,su,50,su,su1,su1,su,su,,,True
蝜,hū,50,hū,hu7,hu7,hu,hu,,,True
蝜,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True
蝫,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
螄,sir,50,sir,sir1,sir1,sir,sir,,,True
螔,sir,50,sir,sir1,sir1,sir,sir,,,True
螔,su,50,su,su1,su1,su,su,,,True
螔,î,50,î,i5,i5,i,i,,,True
螶,kîr,50,kîr,kir5,kir5,kir,kir,,,True
螶,kû,50,kû,ku5,ku5,ku,ku,,,True
螹,tsiām,50,chiām,tsiam7,chiam7,tsiam,chiam,,,True
螹,tsiǎm,50,chiǎm,tsiam6,chiam6,tsiam,chiam,,,True
蟎,buán,50,boán,buan2,boan2,buan,boan,,,True
蟎,muâ,50,môa,mua5,moa5,mua,moa,,,True
蟓,siōng,50,siōng,siong7,siong7,siong,siong,,,True
蟓,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
蟖,sir,50,sir,sir1,sir1,sir,sir,,,True
蟖,su,50,su,su1,su1,su,su,,,True
蟝,kîr,50,kîr,kir5,kir5,kir,kir,,,True
蟝,kû,50,kû,ku5,ku5,ku,ku,,,True
蟴,sir,50,sir,sir1,sir1,sir,sir,,,True
蟴,su,50,su,su1,su1,su,su,,,True
蟹,herē,50,hēre,here7,here7,here,here,,,True
蟹,herě,50,hěre,here6,here6,here,here,,,True
蟹,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True
蟺,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True
蠀,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
蠀,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
蠐,tshê,50,chhê,tshe5,chhe5,tshe,chhe,,,True
蠐,tshêr,50,chhêr,tsher5,chher5,tsher,chher,,,True
蠩,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
蠩,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
蠶,tshirînn,50,chhîriⁿ,tshirinn5,chhirinn5,tshirinn,chhirinn,,,True
蠶,tshuînn,50,chhûiⁿ,tshuinn5,chhuinn5,tshuinn,chhuinn,,,True
蠶,tshâinn,50,chhâiⁿ,tshainn5,chhainn5,tshainn,chhainn,,,True
蠶,tshîng,50,chhêng,tshing5,chheng5,tshing,chheng,,,True
衟,tō,50,tō,to7,to7,to,to,,,True
衟,tōo,50,tō͘,too7,too7,too,too,,,True
衟,tǒ,50,tǒ,to6,to6,to,to,,,True
衟,tǒo,50,tǒ͘,too6,too6,too,too,,,True
衤,i,50,i,i1,i1,i,i,,,True
衶,tiōng,50,tiōng,tiong7,tiong7,tiong,tiong,,,True
衶,tiǒng,50,tiǒng,tiong6,tiong6,tiong,tiong,,,True
袌,phō,50,phō,pho7,pho7,pho,pho,,,True
袌,phǒ,50,phǒ,pho6,pho6,pho,pho,,,True
袒,tān,50,tān,tan7,tan7,tan,tan,,,True
袒,tǎn,50,tǎn,tan6,tan6,tan,tan,,,True
袓,tsīr,50,chīr,tsir7,chir7,tsir,chir,,,True
袓,tsǐr,50,chǐr,tsir6,chir6,tsir,chir,,,True
袪,khir,50,khir,khir1,khir1,khir,khir,,,True
被,phěr,50,phěr,pher6,pher6,pher,pher,,,True
被,phī,50,phī,phi7,phi7,phi,phi,,,True
被,phǐ,50,phǐ,phi6,phi6,phi,phi,,,True
