hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,khpoo
⺗,sim,50,sim,sim1,sim1,sim,sim,,,True
⺮,tik,50,tek,tik4,tek4,tik,tek,,,True
⺼,hi̍k,50,he̍k,hik8,hek8,hik,hek,,,True
⺼,jio̍k,50,jio̍k,jiok8,jiok8,jiok,jiok,,,True
⺼,lio̍k,50,lio̍k,liok8,liok8,liok,liok,,,True
⻍,thiok,50,thiok,thiok4,thiok4,thiok,thiok,,,True
⻍,tshiok,50,chhiok,tshiok4,chhiok4,tshiok,chhiok,,,True
⻏,ip,50,ip,ip4,ip4,ip,ip,,,True
㖢,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
㖢,tsû,50,chû,tsu5,chu5,tsu,chu,,,True
㝹,liô,50,liô,lio5,lio5,lio,lio,,,True
㞐,kir,50,kir,kir1,kir1,kir,kir,,,True
㠁,tsherm,50,chherm,tsherm1,chherm1,tsherm,chherm,,,True
㠁,tshim,50,chhim,tshim1,chhim1,tshim,chhim,,,True
㣺,sim,50,sim,sim1,sim1,sim,sim,,,True
㤉,gêr,50,gêr,ger5,ger5,ger,ger,,,True
㹑,sìr,50,sìr,sir3,sir3,sir,sir,,,True
㹑,sù,50,sù,su3,su3,su,su,,,True
䂜,pāng,50,pāng,pang7,pang7,pang,pang,,,True
䂜,pǎng,50,pǎng,pang6,pang6,pang,pang,,,True
䎣,sīr,50,sīr,sir7,sir7,sir,sir,,,True
䎣,sū,50,sū,su7,su7,su,su,,,True
䎣,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
䥑,be̍h,50,be̍h,beh8,beh8,beh,beh,,,True
䳄,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
䳄,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
䳄,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
䳄,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
一,tsi̍k,50,che̍k,tsik8,chek8,tsik,chek,,,True
七,tshik,50,chhek,tshik4,chhek4,tshik,chhek,,,True
丄,sióng,50,sióng,siong2,siong2,siong,siong,,,True
丄,siāng,50,siāng,siang7,siang7,siang,siang,,,True
丄,siōng,50,siōng,siong7,siong7,siong,siong,,,True
丄,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
丄,tshiōnn,50,chhiōⁿ,tshionn7,chhionn7,tshionn,chhionn,,,True
丄,tshiūnn,50,chhiūⁿ,tshiunn7,chhiunn7,tshiunn,chhiunn,,,True
丄,tshiǔnn,50,chhiǔⁿ,tshiunn6,chhiunn6,tshiunn,chhiunn,,,True
丄,tsiōnn,50,chiōⁿ,tsionn7,chionn7,tsionn,chionn,,,True
丄,tsiūnn,50,chiūⁿ,tsiunn7,chiunn7,tsiunn,chiunn,,,True
丄,tsiǔnn,50,chiǔⁿ,tsiunn6,chiunn6,tsiunn,chiunn,,,True
丅,hā,50,hā,ha7,ha7,ha,ha,,,True
丅,hē,50,hē,he7,he7,he,he,,,True
丅,hě,50,hě,he6,he6,he,he,,,True
丅,hǎ,50,hǎ,ha6,ha6,ha,ha,,,True
丅,khē,50,khē,khe7,khe7,khe,khe,,,True
丅,khě,50,khě,khe6,khe6,khe,khe,,,True
丅,ē,50,ē,e7,e7,e,e,,,True
丅,ě,50,ě,e6,e6,e,e,,,True
丈,tiǒng,50,tiǒng,tiong6,tiong6,tiong,tiong,,,True
丈,tňg,50,tňg,tng6,tng6,tng,tng,,,True
上,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
下,hě,50,hě,he6,he6,he,he,,,True
下,hǎ,50,hǎ,ha6,ha6,ha,ha,,,True
下,khē,50,khē,khe7,khe7,khe,khe,,,True
下,khě,50,khě,khe6,khe6,khe,khe,,,True
且,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
且,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
並,pǐng,50,pěng,ping6,peng6,ping,peng,,,True
丨,kún,50,kún,kun2,kun2,kun,kun,,,True
个,gê,50,gê,ge5,ge5,ge,ge,,,True
丶,tsú,50,chú,tsu2,chu2,tsu,chu,,,True
丷,pat,50,pat,pat4,pat4,pat,pat,,,True
丼,tsénn,50,chéⁿ,tsenn2,chenn2,tsenn,chenn,,,True
丼,tsínn,50,chíⁿ,tsinn2,chinn2,tsinn,chinn,,,True
丼,tám,50,tám,tam2,tam2,tam,tam,,,True
丿,phiat,50,phiat,phiat4,phiat4,phiat,phiat,,,True
乁,î,50,î,i5,i5,i,i,,,True
乚,írn,50,írn,irn2,irn2,irn,irn,,,True
乚,ún,50,ún,un2,un2,un,un,,,True
也,iǎ,50,iǎ,ia6,ia6,ia,ia,,,True
也,ǎ,50,ǎ,a6,a6,a,a,,,True
乿,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True
予,ír,50,ír,ir2,ir2,ir,ir,,,True
予,îr,50,îr,ir5,ir5,ir,ir,,,True
事,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True
事,tsù,50,chù,tsu3,chu3,tsu,chu,,,True
于,ir,50,ir,ir1,ir1,ir,ir,,,True
于,îr,50,îr,ir5,ir5,ir,ir,,,True
五,góo,50,gó͘,goo2,goo2,goo,goo,,,True
五,ngōo,50,ngō͘,ngoo7,ngoo7,ngoo,ngoo,,,True
亖,sìr,50,sìr,sir3,sir3,sir,sir,,,True
亖,sù,50,sù,su3,su3,su,su,,,True
亗,hè,50,hè,he3,he3,he,he,,,True
亗,hèr,50,hèr,her3,her3,her,her,,,True
亗,suè,50,sòe,sue3,soe3,sue,soe,,,True
亝,tsai,50,chai,tsai1,chai1,tsai,chai,,,True
亝,tserê,50,chêre,tsere5,chere5,tsere,chere,,,True
亝,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
亝,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
亝,tsuê,50,chôe,tsue5,choe5,tsue,choe,,,True
亝,tsê,50,chê,tse5,che5,tse,che,,,True
亠,thiô,50,thiô,thio5,thio5,thio,thio,,,True
亥,hǎi,50,hǎi,hai6,hai6,hai,hai,,,True
亻,jîn,50,jîn,jin5,jin5,jin,jin,,,True
亻,lîn,50,lîn,lin5,lin5,lin,lin,,,True
从,tsiông,50,chiông,tsiong5,chiong5,tsiong,chiong,,,True
仔,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
仔,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
仔,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
仕,sīr,50,sīr,sir7,sir7,sir,sir,,,True
仕,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
仗,thiōng,50,thiōng,thiong7,thiong7,thiong,thiong,,,True
仗,thiǒng,50,thiǒng,thiong6,thiong6,thiong,thiong,,,True
仗,tiǒng,50,tiǒng,tiong6,tiong6,tiong,tiong,,,True
仟,tshainn,50,chhaiⁿ,tshainn1,chhainn1,tshainn,chhainn,,,True
仟,tshan,50,chhan,tshan1,chhan1,tshan,chhan,,,True
仟,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,tshirinn,chhirinn,,,True
仟,tshuinn,50,chhuiⁿ,tshuinn1,chhuinn1,tshuinn,chhuinn,,,True
代,tēr,50,tēr,ter7,ter7,ter,ter,,,True
件,kiān,50,kiān,kian7,kian7,kian,kian,,,True
件,kiǎnn,50,kiǎⁿ,kiann6,kiann6,kiann,kiann,,,True
伃,îr,50,îr,ir5,ir5,ir,ir,,,True
伅,tūn,50,tūn,tun7,tun7,tun,tun,,,True
伅,tǔn,50,tǔn,tun6,tun6,tun,tun,,,True
伍,gōo,50,gō͘,goo7,goo7,goo,goo,,,True
伍,gǒo,50,gǒ͘,goo6,goo6,goo,goo,,,True
伎,kǐ,50,kǐ,ki6,ki6,ki,ki,,,True
伙,hér,50,hér,her2,her2,her,her,,,True
伢,gâ,50,gâ,ga5,ga5,ga,ga,,,True
伢,gê,50,gê,ge5,ge5,ge,ge,,,True
伫,tīr,50,tīr,tir7,tir7,tir,tir,,,True
伫,tū,50,tū,tu7,tu7,tu,tu,,,True
伫,tǐr,50,tǐr,tir6,tir6,tir,tir,,,True
伬,tshē,50,chhē,tshe7,chhe7,tshe,chhe,,,True
伬,tshě,50,chhě,tshe6,chhe6,tshe,chhe,,,True
伴,phuǎn,50,phoǎn,phuan6,phoan6,phuan,phoan,,,True
伷,tiū,50,tiū,tiu7,tiu7,tiu,tiu,,,True
伷,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu,,,True
伹,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
伹,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
伺,sìr,50,sìr,sir3,sir3,sir,sir,,,True
伺,sù,50,sù,su3,su3,su,su,,,True
伺,sīr,50,sīr,sir7,sir7,sir,sir,,,True
伻,phinn,50,phiⁿ,phinn1,phinn1,phinn,phinn,,,True
似,sīr,50,sīr,sir7,sir7,sir,sir,,,True
似,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
佀,sīr,50,sīr,sir7,sir7,sir,sir,,,True
佀,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
佃,tirīnn,50,tīriⁿ,tirinn7,tirinn7,tirinn,tirinn,,,True
佃,tuīnn,50,tūiⁿ,tuinn7,tuinn7,tuinn,tuinn,,,True
佃,tāinn,50,tāiⁿ,tainn7,tainn7,tainn,tainn,,,True
但,tǎn,50,tǎn,tan6,tan6,tan,tan,,,True
佇,tír,50,tír,tir2,tir2,tir,tir,,,True
佇,tú,50,tú,tu2,tu2,tu,tu,,,True
佉,khir,50,khir,khir1,khir1,khir,khir,,,True
佌,tshír,50,chhír,tshir2,chhir2,tshir,chhir,,,True
低,kě,50,kě,ke6,ke6,ke,ke,,,True
余,îr,50,îr,ir5,ir5,ir,ir,,,True
佢,kīr,50,kīr,kir7,kir7,kir,kir,,,True
佢,kǐr,50,kǐr,kir6,kir6,kir,kir,,,True
佩,pē,50,pē,pe7,pe7,pe,pe,,,True
佩,pēr,50,pēr,per7,per7,per,per,,,True
佽,tshìr,50,chhìr,tshir3,chhir3,tshir,chhir,,,True
使,sìr,50,sìr,sir3,sir3,sir,sir,,,True
使,sír,50,sír,sir2,sir2,sir,sir,,,True
侍,sīr,50,sīr,sir7,sir7,sir,sir,,,True
供,kirínn,50,kíriⁿ,kirinn2,kirinn2,kirinn,kirinn,,,True
供,kuínn,50,kúiⁿ,kuinn2,kuinn2,kuinn,kuinn,,,True
供,káinn,50,káiⁿ,kainn2,kainn2,kainn,kainn,,,True
侞,jîr,50,jîr,jir5,jir5,jir,jir,,,True
侞,lîr,50,lîr,lir5,lir5,lir,lir,,,True
侞,lû,50,lû,lu5,lu5,lu,lu,,,True
侢,tsāi,50,chāi,tsai7,chai7,tsai,chai,,,True
侢,tsǎi,50,chǎi,tsai6,chai6,tsai,chai,,,True
侶,līr,50,līr,lir7,lir7,lir,lir,,,True
侶,lǐr,50,lǐr,lir6,lir6,lir,lir,,,True
俆,sir,50,sir,sir1,sir1,sir,sir,,,True
俆,su,50,su,su1,su1,su,su,,,True
俆,sîr,50,sîr,sir5,sir5,sir,sir,,,True
俔,hiān,50,hiān,hian7,hian7,hian,hian,,,True
俔,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True
俔,kiàn,50,kiàn,kian3,kian3,kian,kian,,,True
俟,sīr,50,sīr,sir7,sir7,sir,sir,,,True
俟,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
俥,kir,50,kir,kir1,kir1,kir,kir,,,True
俬,sir,50,sir,sir1,sir1,sir,sir,,,True
俬,su,50,su,su1,su1,su,su,,,True
俴,tsiān,50,chiān,tsian7,chian7,tsian,chian,,,True
俴,tsiǎn,50,chiǎn,tsian6,chian6,tsian,chian,,,True
俽,herm,50,herm,herm1,herm1,herm,herm,,,True
倃,kiǔ,50,kiǔ,kiu6,kiu6,kiu,kiu,,,True
倍,puě,50,pǒe,pue6,poe6,pue,poe,,,True
倖,hǐng,50,hěng,hing6,heng6,hing,heng,,,True
倖,sǐng,50,sěng,sing6,seng6,sing,seng,,,True
倨,kìr,50,kìr,kir3,kir3,kir,kir,,,True
倪,gerê,50,gêre,gere5,gere5,gere,gere,,,True
倭,er,50,er,er1,er1,er,er,,,True
倱,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True
倳,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True
倽,siáng,50,siáng,siang2,siang2,siang,siang,,,True
倽,siâng,50,siâng,siang5,siang5,siang,siang,,,True
偈,kì,50,kì,ki3,ki3,ki,ki,,,True
偈,kē,50,kē,ke7,ke7,ke,ke,,,True
偈,kī,50,kī,ki7,ki7,ki,ki,,,True
偌,luǎ,50,lǒa,lua6,loa6,lua,loa,,,True
偒,tōng,50,tōng,tong7,tong7,tong,tong,,,True
偒,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True
偡,tām,50,tām,tam7,tam7,tam,tam,,,True
偡,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True
偦,sir,50,sir,sir1,sir1,sir,sir,,,True
偦,su,50,su,su1,su1,su,su,,,True
偦,sír,50,sír,sir2,sir2,sir,sir,,,True
偦,sú,50,sú,su2,su2,su,su,,,True
偨,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
偨,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
偩,hǔ,50,hǔ,hu6,hu6,hu,hu,,,True
偫,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True
偲,sir,50,sir,sir1,sir1,sir,sir,,,True
傂,tī,50,tī,ti7,ti7,ti,ti,,,True
傂,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True
傐,hō,50,hō,ho7,ho7,ho,ho,,,True
傐,hǒ,50,hǒ,ho6,ho6,ho,ho,,,True
債,tseh,50,cheh,tseh4,cheh4,tseh,cheh,,,True
債,tserh,50,cherh,tserh4,cherh4,tserh,cherh,,,True
債,tsèr,50,chèr,tser3,cher3,tser,cher,,,True
僎,tsuǎn,50,choǎn,tsuan6,choan6,tsuan,choan,,,True
像,siǒng,50,siǒng,siong6,siong6,siong,siong,,,True
像,tshiǔnn,50,chhiǔⁿ,tshiunn6,chhiunn6,tshiunn,chhiunn,,,True
僐,siān,50,siān,sian7,sian7,sian,sian,,,True
僐,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True
僩,hān,50,hān,han7,han7,han,han,,,True
僩,hǎn,50,hǎn,han6,han6,han,han,,,True
僿,sìr,50,sìr,sir3,sir3,sir,sir,,,True
僿,sù,50,sù,su3,su3,su,su,,,True
儂,lâng,50,lâng,lang5,lang5,lang,lang,,,True
儘,tsǐn,50,chǐn,tsin6,chin6,tsin,chin,,,True
儡,lér,50,lér,ler2,ler2,ler,ler,,,True
儢,līr,50,līr,lir7,lir7,lir,lir,,,True
儢,lǐr,50,lǐr,lir6,lir6,lir,lir,,,True
儩,sìr,50,sìr,sir3,sir3,sir,sir,,,True
儩,sù,50,sù,su3,su3,su,su,,,True
儲,thír,50,thír,thir2,thir2,thir,thir,,,True
儲,thîr,50,thîr,thir5,thir5,thir,thir,,,True
儲,thú,50,thú,thu2,thu2,thu,thu,,,True
儿,lîn,50,lîn,lin5,lin5,lin,lin,,,True
允,írn,50,írn,irn2,irn2,irn,irn,,,True
兆,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau,,,True
兆,tiǒ,50,tiǒ,tio6,tio6,tio,tio,,,True
先,sainn,50,saiⁿ,sainn1,sainn1,sainn,sainn,,,True
先,sirinn,50,siriⁿ,sirinn1,sirinn1,sirinn,sirinn,,,True
先,suinn,50,suiⁿ,suinn1,suinn1,suinn,suinn,,,True
兕,sīr,50,sīr,sir7,sir7,sir,sir,,,True
兕,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
典,tirínn,50,tíriⁿ,tirinn2,tirinn2,tirinn,tirinn,,,True
典,tuínn,50,túiⁿ,tuinn2,tuinn2,tuinn,tuinn,,,True
冑,tiǔ,50,tiǔ,tiu6,tiu6,tiu,tiu,,,True
凥,kir,50,kir,kir1,kir1,kir,kir,,,True
刂,to,50,to,to1,to1,to,to,,,True
切,tshereh,50,chhereh,tshereh4,chhereh4,tshereh,chhereh,,,True
切,tshueh,50,chhoeh,tshueh4,chhoeh4,tshueh,chhoeh,,,True
刞,tshìr,50,chhìr,tshir3,chhir3,tshir,chhir,,,True
刞,tshù,50,chhù,tshu3,chhu3,tshu,chhu,,,True
刷,seh,50,seh,seh4,seh4,seh,seh,,,True
刷,serh,50,serh,serh4,serh4,serh,serh,,,True
前,tsirînn,50,chîriⁿ,tsirinn5,chirinn5,tsirinn,chirinn,,,True
前,tsuînn,50,chûiⁿ,tsuinn5,chuinn5,tsuinn,chuinn,,,True
剚,tsìr,50,chìr,tsir3,chir3,tsir,chir,,,True
剾,there,50,there,there1,there1,there,there,,,True
劃,ere̍h,50,e̍reh,ereh8,ereh8,ereh,ereh,,,True
劤,kìrn,50,kìrn,kirn3,kirn3,kirn,kirn,,,True
劤,kùn,50,kùn,kun3,kun3,kun,kun,,,True
努,lōo,50,lō͘,loo7,loo7,loo,loo,,,True
努,lǒo,50,lǒ͘,loo6,loo6,loo,loo,,,True
劯,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
劯,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
勏,piō,50,piō,pio7,pio7,pio,pio,,,True
勏,piǒ,50,piǒ,pio6,pio6,pio,pio,,,True
動,tǎng,50,tǎng,tang6,tang6,tang,tang,,,True
勥,kiōng,50,kiōng,kiong7,kiong7,kiong,kiong,,,True
勥,kiǒng,50,kiǒng,kiong6,kiong6,kiong,kiong,,,True
勭,tông,50,tông,tong5,tong5,tong,tong,,,True
勭,tōng,50,tōng,tong7,tong7,tong,tong,,,True
勭,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True
勮,kīr,50,kīr,kir7,kir7,kir,kir,,,True
勮,kū,50,kū,ku7,ku7,ku,ku,,,True
勴,līr,50,līr,lir7,lir7,lir,lir,,,True
匷,kîr,50,kîr,kir5,kir5,kir,kir,,,True
匷,kû,50,kû,ku5,ku5,ku,ku,,,True
匸,hē,50,hē,he7,he7,he,he,,,True
匸,hě,50,hě,he6,he6,he,he,,,True
千,tshainn,50,chhaiⁿ,tshainn1,chhainn1,tshainn,chhainn,,,True
千,tshan,50,chhan,tshan1,chhan1,tshan,chhan,,,True
千,tshirinn,50,chhiriⁿ,tshirinn1,chhirinn1,tshirinn,chhirinn,,,True
千,tshuinn,50,chhuiⁿ,tshuinn1,chhuinn1,tshuinn,chhuinn,,,True
午,ngió,50,ngió,ngio2,ngio2,ngio,ngio,,,True
卍,bān,50,bān,ban7,ban7,ban,ban,,,True
即,tsit,50,chit,tsit4,chit4,tsit,chit,,,True
厚,hiǒ,50,hiǒ,hio6,hio6,hio,hio,,,True
厵,guân,50,goân,guan5,goan5,guan,goan,,,True
厶,sir,50,sir,sir1,sir1,sir,sir,,,True
厺,khìr,50,khìr,khir3,khir3,khir,khir,,,True
反,pirínn,50,píriⁿ,pirinn2,pirinn2,pirinn,pirinn,,,True
叒,lio̍k,50,lio̍k,liok8,liok8,liok,liok,,,True
叓,sīr,50,sīr,sir7,sir7,sir,sir,,,True
叓,sū,50,sū,su7,su7,su,su,,,True
受,siǔ,50,siǔ,siu6,siu6,siu,siu,,,True
叙,sīr,50,sīr,sir7,sir7,sir,sir,,,True
叙,sū,50,sū,su7,su7,su,su,,,True
叙,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
古,kió,50,kió,kio2,kio2,kio,kio,,,True
史,sír,50,sír,sir2,sir2,sir,sir,,,True
司,sir,50,sir,sir1,sir1,sir,sir,,,True
吇,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
吇,tsú,50,chú,tsu2,chu2,tsu,chu,,,True
后,hiǒ,50,hiǒ,hio6,hio6,hio,hio,,,True
否,hió,50,hió,hio2,hio2,hio,hio,,,True
吪,êr,50,êr,er5,er5,er,er,,,True
听,gírn,50,gírn,girn2,girn2,girn,girn,,,True
听,gún,50,gún,gun2,gun2,gun,gun,,,True
吮,sūn,50,sūn,sun7,sun7,sun,sun,,,True
吮,sǔn,50,sǔn,sun6,sun6,sun,sun,,,True
呂,līr,50,līr,lir7,lir7,lir,lir,,,True
呂,lǐr,50,lǐr,lir6,lir6,lir,lir,,,True
呃,erh,50,erh,erh4,erh4,erh,erh,,,True
呃,e̍rh,50,e̍rh,erh8,erh8,erh,erh,,,True
呃,irh,50,irh,irh4,irh4,irh,irh,,,True
呃,èr,50,èr,er3,er3,er,er,,,True
呰,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
呲,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
呲,tsû,50,chû,tsu5,chu5,tsu,chu,,,True
呼,kher,50,kher,kher1,kher1,kher,kher,,,True
呿,khir,50,khir,khir1,khir1,khir,khir,,,True
咀,tsīr,50,chīr,tsir7,chir7,tsir,chir,,,True
咀,tsū,50,chū,tsu7,chu7,tsu,chu,,,True
咀,tsǐr,50,chǐr,tsir6,chir6,tsir,chir,,,True
咊,hê,50,hê,he5,he5,he,he,,,True
咊,hêr,50,hêr,her5,her5,her,her,,,True
咊,hôo,50,hô͘,hoo5,hoo5,hoo,hoo,,,True
咊,hōo,50,hō͘,hoo7,hoo7,hoo,hoo,,,True
和,hêr,50,hêr,her5,her5,her,her,,,True
咎,kiǔ,50,kiǔ,kiu6,kiu6,kiu,kiu,,,True
咧,eh,50,eh,eh4,eh4,eh,eh,,,True
咧,lerh,50,lerh,lerh4,lerh4,lerh,lerh,,,True
咧,lirh,50,lirh,lirh4,lirh4,lirh,lirh,,,True
咧,terh,50,terh,terh4,terh4,terh,terh,,,True
咨,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
哯,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True
哽,ke̍h,50,ke̍h,keh8,keh8,keh,keh,,,True
唄,pāi,50,pāi,pai7,pai7,pai,pai,,,True
唪,hōng,50,hōng,hong7,hong7,hong,hong,,,True
唪,hǒng,50,hǒng,hong6,hong6,hong,hong,,,True
唫,kīm,50,kīm,kim7,kim7,kim,kim,,,True
唫,kǐm,50,kǐm,kim6,kim6,kim,kim,,,True
唵,ám,50,ám,am2,am2,am,am,,,True
唹,ir,50,ir,ir1,ir1,ir,ir,,,True
唹,u,50,u,u1,u1,u,u,,,True
唼,sap,50,sap,sap4,sap4,sap,sap,,,True
啊,iah,50,iah,iah4,iah4,iah,iah,,,True
啖,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True
啗,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True
啙,tsír,50,chír,tsir2,chir2,tsir,chir,,,True
啙,tsú,50,chú,tsu2,chu2,tsu,chu,,,True
啜,tsheh,50,chheh,tsheh4,chheh4,tsheh,chheh,,,True
啜,tshereh,50,chhereh,tshereh4,chhereh4,tshereh,chhereh,,,True
啜,tsherh,50,chherh,tsherh4,chherh4,tsherh,chherh,,,True
啜,tshn̍gh,50,chhn̍gh,tshngh8,chhngh8,tshngh,chhngh,,,True
啜,tshueh,50,chhoeh,tshueh4,chhoeh4,tshueh,chhoeh,,,True
啿,tām,50,tām,tam7,tam7,tam,tam,,,True
啿,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True
善,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True
喏,hiā,50,hiā,hia7,hia7,hia,hia,,,True
喏,hiǎ,50,hiǎ,hia6,hia6,hia,hia,,,True
喏,liá,50,liá,lia2,lia2,lia,lia,,,True
單,siǎn,50,siǎn,sian6,sian6,sian,sian,,,True
嗔,tshin,50,chhin,tshin1,chhin1,tshin,chhin,,,True
嗞,tsir,50,chir,tsir1,chir1,tsir,chir,,,True
嗞,tsu,50,chu,tsu1,chu1,tsu,chu,,,True
嗣,sīr,50,sīr,sir7,sir7,sir,sir,,,True
嗲,terh,50,terh,terh4,terh4,terh,terh,,,True
嗲,te̍rh,50,te̍rh,terh8,terh8,terh,terh,,,True
嘙,pô,50,pô,po5,po5,po,po,,,True
嘛,mǎ,50,mǎ,ma6,ma6,ma,ma,,,True
嘟,tu̍h,50,tu̍h,tuh8,tuh8,tuh,tuh,,,True
嘾,tām,50,tām,tam7,tam7,tam,tam,,,True
嘾,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True
噉,tām,50,tām,tam7,tam7,tam,tam,,,True
噉,tǎm,50,tǎm,tam6,tam6,tam,tam,,,True
噓,hir,50,hir,hir1,hir1,hir,hir,,,True
噓,sir,50,sir,sir1,sir1,sir,sir,,,True
噓,sīr,50,sīr,sir7,sir7,sir,sir,,,True
嚩,po̍k,50,po̍k,pok8,pok8,pok,pok,,,True
嚽,tsheh,50,chheh,tsheh4,chheh4,tsheh,chheh,,,True
嚽,tshereh,50,chhereh,tshereh4,chhereh4,tshereh,chhereh,,,True
嚽,tsherh,50,chherh,tsherh4,chherh4,tsherh,chherh,,,True
嚽,tshueh,50,chhoeh,tshueh4,chhoeh4,tshueh,chhoeh,,,True
囮,bêr,50,bêr,ber5,ber5,ber,ber,,,True
圁,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True
圁,gûn,50,gûn,gun5,gun5,gun,gun,,,True
圄,gír,50,gír,gir2,gir2,gir,gir,,,True
圉,gír,50,gír,gir2,gir2,gir,gir,,,True
圉,gīr,50,gīr,gir7,gir7,gir,gir,,,True
圉,gū,50,gū,gu7,gu7,gu,gu,,,True
土,thió,50,thió,thio2,thio2,thio,thio,,,True
圩,hir,50,hir,hir1,hir1,hir,hir,,,True
圩,hu,50,hu,hu1,hu1,hu,hu,,,True
圩,îr,50,îr,ir5,ir5,ir,ir,,,True
圩,û,50,û,u5,u5,u,u,,,True
圵,tōng,50,tōng,tong7,tong7,tong,tong,,,True
圵,tǒng,50,tǒng,tong6,tong6,tong,tong,,,True
圻,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True
圻,gûn,50,gûn,gun5,gun5,gun,gun,,,True
坋,hūn,50,hūn,hun7,hun7,hun,hun,,,True
坋,hǔn,50,hǔn,hun6,hun6,hun,hun,,,True
坐,tsǒo,50,chǒ͘,tsoo6,choo6,tsoo,choo,,,True
坥,tshir,50,chhir,tshir1,chhir1,tshir,chhir,,,True
坥,tshu,50,chhu,tshu1,chhu1,tshu,chhu,,,True
坯,pher,50,pher,pher1,pher1,pher,pher,,,True
坾,tīr,50,tīr,tir7,tir7,tir,tir,,,True
坾,tū,50,tū,tu7,tu7,tu,tu,,,True
坾,tǐr,50,tǐr,tir6,tir6,tir,tir,,,True
垁,tī,50,tī,ti7,ti7,ti,ti,,,True
垁,tǐ,50,tǐ,ti6,ti6,ti,ti,,,True
垂,sêr,50,sêr,ser5,ser5,ser,ser,,,True
垎,keh,50,keh,keh4,keh4,keh,keh,,,True
垐,tsîr,50,chîr,tsir5,chir5,tsir,chir,,,True
垐,tsû,50,chû,tsu5,chu5,tsu,chu,,,True
垕,hiō,50,hiō,hio7,hio7,hio,hio,,,True
垕,hiǒ,50,hiǒ,hio6,hio6,hio,hio,,,True
垗,tiǎu,50,tiǎu,tiau6,tiau6,tiau,tiau,,,True
垠,gîrn,50,gîrn,girn5,girn5,girn,girn,,,True
垷,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True
垻,pè,50,pè,pe3,pe3,pe,pe,,,True
垻,pèr,50,pèr,per3,per3,per,per,,,True
垿,sīr,50,sīr,sir7,sir7,sir,sir,,,True
垿,sū,50,sū,su7,su7,su,su,,,True
垿,sǐr,50,sǐr,sir6,sir6,sir,sir,,,True
埍,hiān,50,hiān,hian7,hian7,hian,hian,,,True
埍,hiǎn,50,hiǎn,hian6,hian6,hian,hian,,,True
