tl,hanzi
a-iân-phiánn,亞鉛片
a-iân-phōo,
a-iân-suànn,亞鉛線
a-iân-tháng,亞鉛桶
a-iân-thih,亞鉛鐵
a-iân-thò,亞鉛套
ai-bîng,哀鳴
ai-bī,餲味
ai-tsai,哀哉
ai-tsa̍p,哀囃
ai-tshám,哀慘
ai-tshíng,哀請
ai-e̍h,哀鬱
ai-iâ,唉啊
ai-kám-siā,哀感謝
ai-khàu,哀哭
ai-khóo,哀苦
ai-ki̍p-kok,埃及國
ai-kiû,哀求
ai-kiû-su,哀求書
ai-lo̍k,哀樂
a-inn,阿嬰
a̍ih,噯
āinn,背
āinn-kin,背巾
ainn-ainn,唉唉
ai-uàn,哀怨
ai-pia̍t-lî-khóo,哀別離苦
ai-siann,哀聲
ai-siong,哀傷
ai-sòo,哀訴
ai-thòng,哀痛
ai-tinn,餲甜
ai-tō,哀悼
ai-to-hong-sán,埃多方散
ai-tōng,哀慟
ak,沃
a-ka,阿膠
ak-á-tshài,沃仔菜
a-kâu,阿猴
ak-âu,沃喉
ak-tsak,偓促
ak-tshiú,握手
ak-tsuí,沃水
ak-hue,沃花
ak-hōo,沃雨
a-kiánn,阿囝
a-kīm,阿妗
a-ko,阿哥
a-kuann,阿官
a-kong,阿公
a-kong-tāu,阿公豆
a-ko-sià,阿哥舍
a-koo,阿姑
ak-puî,沃肥
ak-sit,沃熄
ak-tâm,沃澹
a-kū,阿舅
a-lí-put-tat,阿理不達
a-lí-sim,阿里蔘
a-lí-suann,阿里山
a-lôo,阿孥
am,庵
am,掩
am,諳
ám,湆
ám,揞
a-ḿ,阿姆
ám-ám,湆湆
ám-bok-bok,
ám-bôo-ké,湆模粿
ám-tsham-ōo,湆參芋
ám-ioh-ioh,
ám-jio̍k,闇弱
ám-kih-kih,湆咯咯
ám-kuann,黯官
ám-lū,湆濾
ám-bê,湆糜
ám-muī,闇昧
ám-phe̍h,湆沫
ám-phí,湆庀
ám-pho,湆波
ám-phuè,湆紕
ám-pínn,
ám-pínn-khang,
ám-pínn-ko,
ám-pínn-tinn,
ám-puī,
ám-sia̍h,湆杓
ám-sng,湆酸
ám-tàng,湆凍
ám-tè,湆榨
ám-thng,湆湯
ám-thong-thong,湆湯湯
àm,暗
àm-àm,暗暗
àm-àm-tsiùnn-tsiùnn,暗暗醬醬
àm-âng,暗紅
àm-ba̍k-ba̍k,暗墨墨
àm-bé,暗碼
àm-bi̍k,暗默
àm-bin-bong,
àm-bong-bong,暗摸摸
àm-bôo,暗謀
àm-tsa,暗查
àm-tsa-tuā-ló,暗查大老
àm-tsàu,暗奏
àm-tsàu,暗灶
àm-tsīnn,暗靜
àm-tshau,暗抄
ām-tshi,頷腮
àm-tshì,暗刺
àm-tshia,暗車
àm-tshián,暗淺
àm-tshǹg,暗串
àm-tsí,暗指
àm-tsìnn,暗箭
àm-tsînn,暗錢
àm-tsiùnn,暗醬
àm-tsò-tsīng,暗做靜
àm-tsông,暗藏
àm-tsōo,暗助
àm-tsut-tsut,暗卒卒
àm-ge̍h,暗月
àm-gí,暗擬
àm-gī,暗議
àm-gú,暗語
àm-hāi,暗害
àm-o̍h-kuán,暗學館
àm-ha̍p,暗合
àm-hé,暗火
àm-hē,暗下
àm-hīng,暗行
àm-hô,暗和
àm-hō,暗號
àm-hóng,暗訪
àm-hông,暗防
àm-hōo,暗雨
àm-hun,暗婚
àm-hun,暗分
àm-hun,暗昏
àm-hûn,暗雲
àm-hūn,暗恨
àm-ì,暗意
àm-iā,暗夜
àm-iánn,暗影
àm-iok,暗約
àm-iû,暗酋
àm-iûnn,暗洋
àm-kau,暗溝
àm-kè,暗計
àm-kè,暗價
àm-keh,暗隔
àm-king,暗間
àm-king,暗弓
àm-khàm,暗蓋
àm-khì,暗器
àm--khì,暗--去
àm-khùn,暗睏
àm-ki,暗機
àm-kì,暗痣
àm-kì,暗記
àm-kì-hō,暗記號
àm-kò,暗告
àm-kuat,暗訣
àm-kong-tsiáu,暗光鳥
àm-kóo,暗股
àm-kuí,暗鬼
àm-kuì,暗貴
àm-li̍k,暗綠
àm-liām,暗念
àm-lâu,暗流
àm-lōo,暗路
àm-mê,暗暝
àm-miâ,暗名
àm-lâm,暗藍
àm-niau-niau,暗貓貓
àm-uànn,暗晏
àm-uànn-tsiáu,暗晏鳥
àm-o̍h,暗學
àm-oo,暗烏
àm-pán,暗板
àm-phue,暗批
àm-pín,暗稟
àm-pn̄g,暗飯
àm-pōo,暗步
àm-put-tsīnn,暗不靜
àm-sàm,
àm-sat,暗殺
àm-sai,暗西
àm-sik,暗室
àm-sik,暗色
àm-sî,暗時
àm-sī,暗示
àm-siā,暗麝
àm-sîn,暗神
àm-siōng,暗誦
àm-siong-huē,暗相會
àm-sit,暗穡
àm-siūnn,暗想
àm-sng,暗拴
àm-sǹg,暗算
àm-só,暗鎖
àm-sū,暗事
àm-sún,暗榫
àm-su̍t,暗術
àm-ta,暗礁
àm-tām,暗淡
àm-tê-sik,暗茶色
àm-tē,暗袋
àm-thâi,
àm-thâu,暗頭
àm-thiap,暗貼
àm-thuah,暗屜
àm-tiàu,暗吊
àm-tiâu,暗潮
àm-tīnn,暗淀
àm-tiong-ūn-tōng,暗中運動
àm-tǹg,暗頓
àm-to̍k,暗毒
àm-tōng,暗洞
âm,涵
âm,食
âm-kau,涵溝
âm-khang,涵孔
âm-khang-kau,涵孔溝
âm-khang-ku,涵孔龜
ām,頷
ām,茂
ām-á-kún,頷仔頸
ām-á-niá,頷仔領
ām-ām,茂茂
ām-buê,蝦蟆
ām-buê-kuai,
ām-tsu,頷珠
ām-ē,頷下
ām-ing,頷癰
ām-khuà-khuà,茂掛掛
ām-khoo,頷箍
ām-kńg,頷管
ām-kuānn,
ām-kui,
ām-kún,頷頸
ām-kún-āu,頷頸後
ām-kún-tshi,頷頸腮
ām-kún-tsu,頷頸珠
ām-kún-kê,頷頸枷
ām-kún-khū,頷頸臼
ām-kún-kui,
ām-kún-kun,頷頸筋
ām-kún-kut,頷頸骨
ām-kún-mua,頷頸幔
ām-kún-niá,頷頸領
ām-kún-suann,頷頸山
ām-la̍t,頷癘
ām-liû,頷瘤
ām-niá,頷領
ām-phà-phà,
ām-sê,頷垂
ām-sê-tāu,頷垂豆
ām-suànn,頷線
ām-tuà,頷帶
ām-tú,頷抵
a-má,阿媽
am-ânn,掩攔
am-biō,庵廟
am-tsú,庵主
am-gōng,掩戇
a-mî-á,阿眉仔
am-ìm,掩蔭
am-īnn,庵院
am-khám,掩憨
am-khám-gōng,掩憨戇
am-khàm,掩蓋
am-kng,掩缸
am-kue,醃瓜
am-kue-tsí,醃瓜籽
am-kue-kuann,醃瓜干
am-kue-póo,醃瓜脯
am-kue-thâng,醃瓜蟲
am-lâi-tshé-khì,掩來扯去
am-lâi-kah-khì,掩來合去
am-ôo,掩壺
am-ôo,掩湖
am-pôo-tsê,庵埔蟬
am-sí-lí-hî,掩死鯉魚
am-suí-gû,掩水魚
am-tham,掩貪
am-tn̂g,庵堂
an,安
ann,遮
ánn,攬
ánn-ánn,攬攬
án-bóo,
án-tshuì,攬嘴
án-gū,阿語
ánn-ná,
án-ni,如此
án-ni-sinn,如此生
án-ni-sinn-á,如此生仔
án-sè,阿細
àn,案
àn,按
ànn,向
ànn-ànn,向向
àn-bāi,
àn-tsáinn-iūnn,按怎樣
àn-tsîng,案情
àn-tsîng,案前
àn-tshài,按菜
àn-tshat,按察
àn-tshat-hâm,按察銜
àn-tshat-si,按察司
àn-tshiú,按手
àn-tshiú-lé,按手禮
àn-tsia,按此
àn-tsînn,按錢
àn-gia̍h,按額
àn-hā,按下
àn-he,按彼
àn-hia,
ànn-hīnn,向耳
àn-huat,按法
ànn-io,向腰
àn-iû,案由
àn-jiân,晏然
àn-ji̍t,按日
àn-kà,晏駕
àn-kè,按價
àn-khang,按孔
àn-khuànn,按看
àn-kiàm,按劍
àn-kiânn,案件
àn-kun,按軍
ànn-lo̍h,向落
àn-lōo,按路
àn-lu̍t,按律
àn-me̍h,按脈
àn-môo,按摩
àn-nāi-tsn̄g,案內狀
àn-ping-put-tōng,按兵不動
àn-puânn,按盤
àn-si,按司
àn-sî,按時
àn-sî-àn-hāu,按時按候
àn-sî-àn-ji̍t,按時按日
àn-sî-àn-khik,按時按刻
àng-siânn,
ang-siânn-tē,
ànn-sin,向身
àn-sǹg,按算
àn-tué,案底
àn-tīng,按定
ànn-thâu,向頭
àn-thâu-ting,案頭燈
àn-tiānn,按定
àn-toh,案桌
àn-to̍k,案牘
ân,緊
ânn,攔
ânn,呵
ânn-ánn-ânn-ánn,哎呀哎呀
ân-ân,緊緊
ânn-ânn,攔攔
ânn-ânn-tsa̍h-tsa̍h,
ânn-bué,攔買
ânn-buē,攔賣
ânn-tsa̍h,攔閘
ânn-tshin,攔親
ânn-tsia̍h,攔食
ân-tsoo,緊租
ân-khang,緊孔
ân-khì,緊氣
ân-kóo-kóo,緊股股
ân-kuí-kuí,緊鬼鬼
ânn-nâ,
ân-siap,緊澀
ân-sò,緊燥
ân-tan,緊單
ân-táu,緊倒
ân-tauh-tauh,緊篤篤
ân-tiuh-tiuh,緊抽抽
ân-tòng-tòng,緊當當
ân-tuh-tuh,緊抵抵
ān,限
ānn,茂
ānn,餡
ānn-ānn,
ān-tsè,限債
ān-tsînn,限錢
ān-ji̍t,限日
ān-liōng,限量
ān-muá,限滿
ānn-piánn,餡餅
ān-sî,限時
ān-sî-ān-khik,限時限刻
ān-siàu,按賬
a-nái,阿奶
ann-ann,遮遮
ann-ann,哎哎
an-an-hân-hân,安安閑閑
an-an-jiân-jiân,安安然然
an-an-lo̍k-lo̍k,安安樂樂
an-bîn,安民
an-bîn,安眠
an-bú,安撫
an-tsàu,安灶
àn-tse,按這
an-tsē,安寨
an-tsīng,安靜
an-tshah,安插
an-tshiám,安塹
an-tshn̂g,安床
