tl,hanzi,frequency,poj
kái,解,6019,kái
ji̍p,入,5922,ji̍p
li̍p,入,5922,li̍p
kì,記,5887,kì
kan,間,5883,kan
king,間,5883,keng
tsuân,全,5864,choân
kuan,關,5852,koan
í,已,5841,í
hué,火,5835,hóe
hé,火,5835,hé
khóo,苦,5829,khó͘
sè,世,5826,sè
lé,禮,5818,lé
bat,捌,5800,bat
thê,提,5795,thê
bû,無,5793,bû
ūn,運,5740,ūn
pí,比,5713,pí
hí,喜,5697,hí
khai,開,5693,khai
ge̍h,月,5651,ge̍h
gue̍h,月,5651,goe̍h
tsuánn,怎,5628,chóaⁿ
lī,利,5627,lī
khe,溪,5577,khe
khue,溪,5577,khoe
jiân,然,5569,jiân
liân,然,5569,liân
khang,空,5567,khang
tsîng,前,5527,chêng
sit,失,5517,sit
âng,紅,5474,âng
kiânn,行,5462,kiâⁿ
ha̍p,合,5457,ha̍p
tsa,查,5445,cha
tńg,轉,5374,tńg
tshī,市,5352,chhī
pinn,邊,5350,piⁿ
thuân,傳,5340,thoân
bān,萬,5320,bān
tsìn,進,5302,chìn
tsiàu,照,5261,chiàu
hî,魚,5259,hî
hû,魚,5259,hû
thué,體,5258,thóe
thé,體,5258,thé
khó,可,5215,khó
li̍p,立,5214,li̍p
ông,王,5200,ông
kau,交,5192,kau
tsuán,轉,5189,choán
lô,羅,5188,lô
pōo,部,5174,pō͘
tông,同,5164,tông
hū,父,5148,hū
hō,號,5140,hō
puànn,半,5103,pòaⁿ
tsiân,前,5066,chiân
kiat,結,5066,kiat
sann,三,5056,saⁿ
pó,保,5027,pó
gī,義,5025,gī
tsâi,才,5020,châi
ke,雞,5020,ke
kue,雞,5020,koe
tsheh,冊,5017,chheh
hong,方,5014,hong
tiûnn,場,5008,tiûⁿ
jia,遮,5007,jia
lia,遮,5007,lia
hok,福,5005,hok
siu,收,5000,siu
gû,牛,5000,gû
tiúnn,長,4989,tiúⁿ
iâ,耶,4930,iâ
kui,規,4915,kui
mn̄g,問,4872,mn̄g
bián,免,4861,bián
sǹg,算,4853,sǹg
ko,高,4846,ko
