tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit
tsiūnn-jī,上字,25,chiūⁿ-jī,tsiunn7ji7,chiunn7ji7,tsiunnji,chiunnji,tj,cj,True
tsiūnn-o̍h,上學,25,chiūⁿ-o̍h,tsiunn7oh8,chiunn7oh8,tsiunnoh,chiunnoh,to,co,True
siōng-kuan,上官,25,siōng-koan,siong7kuan1,siong7koan1,siongkuan,siongkoan,sk,sk,True
siōng-kuann,上官,25,siōng-koaⁿ,siong7kuann1,siong7koann1,siongkuann,siongkoann,sk,sk,True
tsiūnn-kuann,上官,25,chiūⁿ-koaⁿ,tsiunn7kuann1,chiunn7koann1,tsiunnkuann,chiunnkoann,tk,ck,True
siōng-kheh,上客,25,siōng-kheh,siong7kheh4,siong7kheh4,siongkheh,siongkheh,sk,sk,True
tsiūnn-suann,上山,25,chiūⁿ-soaⁿ,tsiunn7suann1,chiunn7soann1,tsiunnsuann,chiunnsoann,ts,cs,True
tsiūnn-huānn,上岸,25,chiūⁿ-hōaⁿ,tsiunn7huann7,chiunn7hoann7,tsiunnhuann,chiunnhoann,th,ch,True
tsiūnn-khàm,上崁,25,chiūⁿ-khàm,tsiunn7kham3,chiunn7kham3,tsiunnkham,chiunnkham,tk,ck,True
tsiūnn-kiā,上崎,25,chiūⁿ-kiā,tsiunn7kia7,chiunn7kia7,tsiunnkia,chiunnkia,tk,ck,True
tsiūnn-kang,上工,25,chiūⁿ-kang,tsiunn7kang1,chiunn7kang1,tsiunnkang,chiunnkang,tk,ck,True
siōng-sū,上巳,25,siōng-sū,siong7su7,siong7su7,siongsu,siongsu,ss,ss,True
tsiūnn-tshī,上市,25,chiūⁿ-chhī,tsiunn7tshi7,chiunn7chhi7,tsiunntshi,chiunnchhi,tt,cc,True
tsiūnn-si̍k,上席,25,chiūⁿ-se̍k,tsiunn7sik8,chiunn7sek8,tsiunnsik,chiunnsek,ts,cs,True
siōng-piânn,上平,25,siōng-piâⁿ,siong7piann5,siong7piann5,siongpiann,siongpiann,sp,sp,True
tsiūnn-piânn,上平,25,chiūⁿ-piâⁿ,tsiunn7piann5,chiunn7piann5,tsiunnpiann,chiunnpiann,tp,cp,True
tsiūnn-nî,上年,25,chiūⁿ-nî,tsiunn7ni5,chiunn7ni5,tsiunnni,chiunnni,tn,cn,True
tsiūnn-tshn̂g,上床,25,chiūⁿ-chhn̂g,tsiunn7tshng5,chiunn7chhng5,tsiunntshng,chiunnchhng,tt,cc,True
tsiūnn-hú,上府,25,chiūⁿ-hú,tsiunn7hu2,chiunn7hu2,tsiunnhu,chiunnhu,th,ch,True
tsiūnn-tsō,上座,25,chiūⁿ-chō,tsiunn7tso7,chiunn7cho7,tsiunntso,chiunncho,tt,cc,True
tsiūnn-tshè,上廁,25,chiūⁿ-chhè,tsiunn7tshe3,chiunn7chhe3,tsiunntshe,chiunnchhe,tt,cc,True
tsiūnn-thiann,上廳,25,chiūⁿ-thiaⁿ,tsiunn7thiann1,chiunn7thiann1,tsiunnthiann,chiunnthiann,tt,ct,True
tsiūnn-ín,上引,25,chiūⁿ-ín,tsiunn7in2,chiunn7in2,tsiunnin,chiunnin,ti,ci,True
siōng-hiân,上弦,25,siōng-hiân,siong7hian5,siong7hian5,sionghian,sionghian,sh,sh,True
siōng-āu,上後,25,siōng-āu,siong7au7,siong7au7,siongau,siongau,sa,sa,True
tsiūnn-āu,上後,25,chiūⁿ-āu,tsiunn7au7,chiunn7au7,tsiunnau,chiunnau,ta,ca,True
siōng-tsîng,上情,25,siōng-chêng,siong7tsing5,siong7cheng5,siongtsing,siongcheng,st,sc,True
siōng-ì,上意,25,siōng-ì,siong7i3,siong7i3,siongi,siongi,si,si,True
tsiūnn-tshiú,上手,25,chiūⁿ-chhiú,tsiunn7tshiu2,chiunn7chhiu2,tsiunntshiu,chiunnchhiu,tt,cc,True
siōng-khòng,上控,25,siōng-khòng,siong7khong3,siong7khong3,siongkhong,siongkhong,sk,sk,True
tsiūnn-kà,上教,25,chiūⁿ-kà,tsiunn7ka3,chiunn7ka3,tsiunnka,chiunnka,tk,ck,True
tshiūnn-pan,上斑,25,chhiūⁿ-pan,tshiunn7pan1,chhiunn7pan1,tshiunnpan,chhiunnpan,tp,cp,True
tsiūnn-kun,上斤,25,chiūⁿ-kun,tsiunn7kun1,chiunn7kun1,tsiunnkun,chiunnkun,tk,ck,True
siōng-sûn,上旬,25,siōng-sûn,siong7sun5,siong7sun5,siongsun,siongsun,ss,ss,True
tsiūnn-tshun,上春,25,chiūⁿ-chhun,tsiunn7tshun1,chiunn7chhun1,tsiunntshun,chiunnchhun,tt,cc,True
siōng-tì,上智,25,siōng-tì,siong7ti3,siong7ti3,siongti,siongti,st,st,True
siōng-su,上書,25,siōng-su,siong7su1,siong7su1,siongsu,siongsu,ss,ss,True
tsiūnn-tsu,上書,25,chiūⁿ-chu,tsiunn7tsu1,chiunn7chu1,tsiunntsu,chiunnchu,tt,cc,True
tsiūnn-tiâu,上朝,25,chiūⁿ-tiâu,tsiunn7tiau5,chiunn7tiau5,tsiunntiau,chiunntiau,tt,ct,True
tsiūnn-pún,上本,25,chiūⁿ-pún,tsiunn7pun2,chiunn7pun2,tsiunnpun,chiunnpun,tp,cp,True
siōng-kuì,上桂,25,siōng-kùi,siong7kui3,siong7kui3,siongkui,siongkui,sk,sk,True
tsiūnn-toh,上桌,25,chiūⁿ-toh,tsiunn7toh4,chiunn7toh4,tsiunntoh,chiunntoh,tt,ct,True
tsiūnn-khàu,上梏,25,chiūⁿ-khàu,tsiunn7khau3,chiunn7khau3,tsiunnkhau,chiunnkhau,tk,ck,True
tsiūnn-pînn,上棚,25,chiūⁿ-pîⁿ,tsiunn7pinn5,chiunn7pinn5,tsiunnpinn,chiunnpinn,tp,cp,True
tsiūnn-tsô,上槽,25,chiūⁿ-chô,tsiunn7tso5,chiunn7cho5,tsiunntso,chiunncho,tt,cc,True
tsiūnn-niû,上樑,25,chiūⁿ-niû,tsiunn7niu5,chiunn7niu5,tsiunnniu,chiunnniu,tn,cn,True
tsiūnn-lâu,上樓,25,chiūⁿ-lâu,tsiunn7lau5,chiunn7lau5,tsiunnlau,chiunnlau,tl,cl,True
tsiūnn-iūnn,上樣,25,chiūⁿ-iūⁿ,tsiunn7iunn7,chiunn7iunn7,tsiunniunn,chiunniunn,ti,ci,True
tsiūnn-tshiū,上樹,25,chiūⁿ-chhiū,tsiunn7tshiu7,chiunn7chhiu7,tsiunntshiu,chiunnchhiu,tt,cc,True
siōng-tuânn,上檀,25,siōng-tôaⁿ,siong7tuann5,siong7toann5,siongtuann,siongtoann,st,st,True
tsiūnn-tsiànn,上正,25,chiūⁿ-chiàⁿ,tsiunn7tsiann3,chiunn7chiann3,tsiunntsiann,chiunnchiann,tt,cc,True
tsiūnn-tiān,上殿,25,chiūⁿ-tiān,tsiunn7tian7,chiunn7tian7,tsiunntian,chiunntian,tt,ct,True
tsiūnn-tsuí,上水,25,chiūⁿ-chúi,tsiunn7tsui2,chiunn7chui2,tsiunntsui,chiunnchui,tt,cc,True
tsiūnn-sa,上沙,25,chiūⁿ-sa,tsiunn7sa1,chiunn7sa1,tsiunnsa,chiunnsa,ts,cs,True
tshiūnn-tshî,上洳,25,chhiūⁿ-chhî,tshiunn7tshi5,chhiunn7chhi5,tshiunntshi,chhiunnchhi,tt,cc,True
siōng-uán,上浣,25,siōng-oán,siong7uan2,siong7oan2,sionguan,siongoan,su,so,True
tsiūnn-tshián,上淺,25,chiūⁿ-chhián,tsiunn7tshian2,chiunn7chhian2,tsiunntshian,chiunnchhian,tt,cc,True
tshiūnn-lùn,上潤,25,chhiūⁿ-lùn,tshiunn7lun3,chhiunn7lun3,tshiunnlun,chhiunnlun,tl,cl,True
tshiūnn-sip,上濕,25,chhiūⁿ-sip,tshiunn7sip4,chhiunn7sip4,tshiunnsip,chhiunnsip,ts,cs,True
tshiūnn-bông,上濛,25,chhiūⁿ-bông,tshiunn7bong5,chhiunn7bong5,tshiunnbong,chhiunnbong,tb,cb,True
tshiūnn-bā,上濛,25,chhiūⁿ-bā,tshiunn7ba7,chhiunn7ba7,tshiunnba,chhiunnba,tb,cb,True
tsiūnn-luà,上瀨,25,chiūⁿ-lòa,tsiunn7lua3,chiunn7loa3,tsiunnlua,chiunnloa,tl,cl,True
tsiūnn-hé,上火,25,chiūⁿ-hé,tsiunn7he2,chiunn7he2,tsiunnhe,chiunnhe,th,ch,True
tsiūnn-jia̍t,上熱,25,chiūⁿ-jia̍t,tsiunn7jiat8,chiunn7jiat8,tsiunnjiat,chiunnjiat,tj,cj,True
tsiūnn-pan,上班,25,chiūⁿ-pan,tsiunn7pan1,chiunn7pan1,tsiunnpan,chiunnpan,tp,cp,True
siōng-tshân,上田,25,siōng-chhân,siong7tshan5,siong7chhan5,siongtshan,siongchhan,st,sc,True
siōng-sin,上申,25,siōng-sin,siong7sin1,siong7sin1,siongsin,siongsin,ss,ss,True
siōng-hông,上皇,25,siōng-hông,siong7hong5,siong7hong5,sionghong,sionghong,sh,sh,True
tsiūnn-ba̍k,上目,25,chiūⁿ-ba̍k,tsiunn7bak8,chiunn7bak8,tsiunnbak,chiunnbak,tb,cb,True
tshiūnn-è,上瞖,25,chhiūⁿ-è,tshiunn7e3,chhiunn7e3,tshiunne,chhiunne,te,ce,True
tshiūnn-hông,上磺,25,chhiūⁿ-hông,tshiunn7hong5,chhiunn7hong5,tshiunnhong,chhiunnhong,th,ch,True
tsiūnn-ha̍k,上礐,25,chiūⁿ-ha̍k,tsiunn7hak8,chiunn7hak8,tsiunnhak,chiunnhak,th,ch,True
tsiūnn-tâng,上童,25,chiūⁿ-tâng,tsiunn7tang5,chiunn7tang5,tsiunntang,chiunntang,tt,ct,True
siōng-tíng,上等,25,siōng-téng,siong7ting2,siong7teng2,siongting,siongteng,st,st,True
tsiūnn-sǹg,上算,25,chiūⁿ-sǹg,tsiunn7sng3,chiunn7sng3,tsiunnsng,chiunnsng,ts,cs,True
tsiūnn-phōo,上簿,25,chiūⁿ-phō͘,tsiunn7phoo7,chiunn7phoo7,tsiunnphoo,chiunnphoo,tp,cp,True
tshiūnn-hún,上粉,25,chhiūⁿ-hún,tshiunn7hun2,chhiunn7hun2,tshiunnhun,chhiunnhun,th,ch,True
tshiūnn-tshik,上粟,25,chhiūⁿ-chhek,tshiunn7tshik4,chhiunn7chhek4,tshiunntshik,chhiunnchhek,tt,cc,True
tshiūnn-thn̂g,上糖,25,chhiūⁿ-thn̂g,tshiunn7thng5,chhiunn7thng5,tshiunnthng,chhiunnthng,tt,ct,True
tsiūnn-tia̍h,上糴,25,chiūⁿ-tia̍h,tsiunn7tiah8,chiunn7tiah8,tsiunntiah,chiunntiah,tt,ct,True
tsiūnn-tsuá,上紙,25,chiūⁿ-chóa,tsiunn7tsua2,chiunn7choa2,tsiunntsua,chiunnchoa,tt,cc,True
siōng-kip,上級,25,siōng-kip,siong7kip4,siong7kip4,siongkip,siongkip,sk,sk,True
siōng-kián,上繭,25,siōng-kián,siong7kian2,siong7kian2,siongkian,siongkian,sk,sk,True
siōng-bûn,上聞,25,siōng-bûn,siong7bun5,siong7bun5,siongbun,siongbun,sb,sb,True
sióng-siann,上聲,25,sióng-siaⁿ,siong2siann1,siong2siann1,siongsiann,siongsiann,ss,ss,True
tsiūnn-siann,上聲,25,chiūⁿ-siaⁿ,tsiunn7siann1,chiunn7siann1,tsiunnsiann,chiunnsiann,ts,cs,True
siōng-thìng,上聽,25,siōng-thèng,siong7thing3,siong7theng3,siongthing,siongtheng,st,st,True
tsiūnn-bah,上肉,25,chiūⁿ-bah,tsiunn7bah4,chiunn7bah4,tsiunnbah,chiunnbah,tb,cb,True
tsiūnn-kiunn,上腔,25,chiūⁿ-kiuⁿ,tsiunn7kiunn1,chiunn7kiunn1,tsiunnkiunn,chiunnkiunn,tk,ck,True
tsiūnn-tsûn,上船,25,chiūⁿ-chûn,tsiunn7tsun5,chiunn7chun5,tsiunntsun,chiunnchun,tt,cc,True
tsiūnn-lo̍h,上落,25,chiūⁿ-lo̍h,tsiunn7loh8,chiunn7loh8,tsiunnloh,chiunnloh,tl,cl,True
tsiūnn-tsuā,上行,25,chiūⁿ-chōa,tsiunn7tsua7,chiunn7choa7,tsiunntsua,chiunnchoa,tt,cc,True
tsiūnn-kue,上街,25,chiūⁿ-koe,tsiunn7kue1,chiunn7koe1,tsiunnkue,chiunnkoe,tk,ck,True
tsiūnn-gê,上衙,25,chiūⁿ-gê,tsiunn7ge5,chiunn7ge5,tsiunnge,chiunnge,tg,cg,True
tsiūnn-khò,上課,25,chiūⁿ-khò,tsiunn7kho3,chiunn7kho3,tsiunnkho,chiunnkho,tk,ck,True
siōng-jū,上諭,25,siōng-jū,siong7ju7,siong7ju7,siongju,siongju,sj,sj,True
tsiūnn-siàu,上賬,25,chiūⁿ-siàu,tsiunn7siau3,chiunn7siau3,tsiunnsiau,chiunnsiau,ts,cs,True
tsiūnn-tsng,上贓,25,chiūⁿ-chng,tsiunn7tsng1,chiunn7chng1,tsiunntsng,chiunnchng,tt,cc,True
tsiūnn-lōo,上路,25,chiūⁿ-lō͘,tsiunn7loo7,chiunn7loo7,tsiunnloo,chiunnloo,tl,cl,True
tsiūnn-sin,上身,25,chiūⁿ-sin,tsiunn7sin1,chiunn7sin1,tsiunnsin,chiunnsin,ts,cs,True
tsiūnn-kiō,上轎,25,chiūⁿ-kiō,tsiunn7kio7,chiunn7kio7,tsiunnkio,chiunnkio,tk,ck,True
siōng-pān,上辦,25,siōng-pān,siong7pan7,siong7pan7,siongpan,siongpan,sp,sp,True
tsiūnn-pān,上辦,25,chiūⁿ-pān,tsiunn7pan7,chiunn7pan7,tsiunnpan,chiunnpan,tp,cp,True
siōng-tsìn,上進,25,siōng-chìn,siong7tsin3,siong7chin3,siongtsin,siongchin,st,sc,True
tsiūnn-ūn,上運,25,chiūⁿ-ūn,tsiunn7un7,chiunn7un7,tsiunnun,chiunnun,tu,cu,True
siōng-ta̍t,上達,25,siōng-ta̍t,siong7tat8,siong7tat8,siongtat,siongtat,st,st,True
siōng-gûn,上銀,25,siōng-gûn,siong7gun5,siong7gun5,sionggun,sionggun,sg,sg,True
tsiūnn-gûn,上銀,25,chiūⁿ-gûn,tsiunn7gun5,chiunn7gun5,tsiunngun,chiunngun,tg,cg,True
tshiūnn-sian,上銑,25,chhiūⁿ-sian,tshiunn7sian1,chhiunn7sian1,tshiunnsian,chhiunnsian,ts,cs,True
tsiūnn-sian,上銑,25,chiūⁿ-sian,tsiunn7sian1,chiunn7sian1,tsiunnsian,chiunnsian,ts,cs,True
tsiūnn-mî,上鋩,25,chiūⁿ-mî,tsiunn7mi5,chiunn7mi5,tsiunnmi,chiunnmi,tm,cm,True
tsiūnn-tsînn,上錢,25,chiūⁿ-chîⁿ,tsiunn7tsinn5,chiunn7chinn5,tsiunntsinn,chiunnchinn,tt,cc,True
tshiūnn-mn̂g,上門,25,chhiūⁿ-mn̂g,tshiunn7mng5,chhiunn7mng5,tshiunnmng,chhiunnmng,tm,cm,True
siōng-lio̍k,上陸,25,siōng-lio̍k,siong7liok8,siong7liok8,siongliok,siongliok,sl,sl,True
tsiūnn-lio̍k,上陸,25,chiūⁿ-lio̍k,tsiunn7liok8,chiunn7liok8,tsiunnliok,chiunnliok,tl,cl,True
tsiūnn-hûn,上雲,25,chiūⁿ-hûn,tsiunn7hun5,chiunn7hun5,tsiunnhun,chiunnhun,th,ch,True
tsiūnn-bū,上霧,25,chiūⁿ-bū,tsiunn7bu7,chiunn7bu7,tsiunnbu,chiunnbu,tb,cb,True
tsiūnn-bīn,上面,25,chiūⁿ-bīn,tsiunn7bin7,chiunn7bin7,tsiunnbin,chiunnbin,tb,cb,True
tsiūnn-uê,上鞋,25,chiūⁿ-ôe,tsiunn7ue5,chiunn7oe5,tsiunnue,chiunnoe,tu,co,True
tshiūnn-thâu,上頭,25,chhiūⁿ-thâu,tshiunn7thau5,chhiunn7thau5,tshiunnthau,chhiunnthau,tt,ct,True
tsiūnn-bé,上馬,25,chiūⁿ-bé,tsiunn7be2,chiunn7be2,tsiunnbe,chiunnbe,tb,cb,True
tsiūnn-kuâinn,上高,25,chiūⁿ-koâiⁿ,tsiunn7kuainn5,chiunn7koainn5,tsiunnkuainn,chiunnkoainn,tk,ck,True
tshiūnn-phú,上黴,25,chhiūⁿ-phú,tshiunn7phu2,chhiunn7phu2,tshiunnphu,chhiunnphu,tp,cp,True
huê-huê,下下,25,hôe-hôe,hue5hue5,hoe5hoe5,huehue,hoehoe,hh,hh,True
hê-hê,下下,25,hê-hê,he5he5,he5he5,hehe,hehe,hh,hh,True
hā-hā,下下,25,hā-hā,ha7ha7,ha7ha7,haha,haha,hh,hh,True
hē-hē,下下,25,hē-hē,he7he7,he7he7,hehe,hehe,hh,hh,True
hā-uī,下位,25,hā-ūi,ha7ui7,ha7ui7,haui,haui,hu,hu,True
ē-uī,下位,25,ē-ūi,e7ui7,e7ui7,eui,eui,eu,eu,True
hē-pu̍t,下佛,25,hē-pu̍t,he7put8,he7put8,heput,heput,hp,hp,True
hā-tsoh,下作,25,hā-choh,ha7tsoh4,ha7choh4,hatsoh,hachoh,ht,hc,True
hā-po̍k,下僕,25,hā-po̍k,ha7pok8,ha7pok8,hapok,hapok,hp,hp,True
hā-liâu,下僚,25,hā-liâu,ha7liau5,ha7liau5,haliau,haliau,hl,hl,True
hê-kè,下價,25,hê-kè,he5ke3,he5ke3,heke,heke,hk,hk,True
hā-ji̍p,下入,25,hā-ji̍p,ha7jip8,ha7jip8,hajip,hajip,hj,hj,True
ē-ji̍p,下入,25,ē-ji̍p,e7jip8,e7jip8,ejip,ejip,ej,ej,True
ē-tang,下冬,25,ē-tang,e7tang1,e7tang1,etang,etang,et,et,True
hē-la̍t,下力,25,hē-la̍t,he7lat8,he7lat8,helat,helat,hl,hl,True
ē-sì,下勢,25,ē-sì,e7si3,e7si3,esi,esi,es,es,True
ē-ûn,下勻,25,ē-ûn,e7un5,e7un5,eun,eun,eu,eu,True
hā-ngóo,下午,25,hā-ngó͘,ha7ngoo2,ha7ngoo2,hangoo,hangoo,hn,hn,True
hā-khì,下去,25,hā-khì,ha7khi3,ha7khi3,hakhi,hakhi,hk,hk,True
ē-khì,下去,25,ē-khì,e7khi3,e7khi3,ekhi,ekhi,ek,ek,True
hē-miā,下命,25,hē-miā,he7mia7,he7mia7,hemia,hemia,hm,hm,True
hā-phín,下品,25,hā-phín,ha7phin2,ha7phin2,haphin,haphin,hp,hp,True
ē-tûn,下唇,25,ē-tûn,e7tun5,e7tun5,etun,etun,et,et,True
hā-būn,下問,25,hā-būn,ha7bun7,ha7bun7,habun,habun,hb,hb,True
ē-huê,下回,25,ē-hôe,e7hue5,e7hoe5,ehue,ehoe,eh,eh,True
hā-hn̂g,下園,25,hā-hn̂g,ha7hng5,ha7hng5,hahng,hahng,hh,hh,True
ē-khám,下坎,25,ē-khám,e7kham2,e7kham2,ekham,ekham,ek,ek,True
hā-sū,下士,25,hā-sū,ha7su7,ha7su7,hasu,hasu,hs,hs,True
hā-siū,下壽,25,hā-siū,ha7siu7,ha7siu7,hasiu,hasiu,hs,hs,True
hā-lú,下女,25,hā-lú,ha7lu2,ha7lu2,halu,halu,hl,hl,True
hā-pi,下婢,25,hā-pi,ha7pi1,ha7pi1,hapi,hapi,hp,hp,True
hā-kà,下嫁,25,hā-kà,ha7ka3,ha7ka3,haka,haka,hk,hk,True
hā-kuann,下官,25,hā-koaⁿ,ha7kuann1,ha7koann1,hakuann,hakoann,hk,hk,True
hā-siok,下宿,25,hā-siok,ha7siok4,ha7siok4,hasiok,hasiok,hs,hs,True
ē-tsàn,下層,25,ē-chàn,e7tsan3,e7chan3,etsan,echan,et,ec,True
hā-sio̍k,下屬,25,hā-sio̍k,ha7siok8,ha7siok8,hasiok,hasiok,hs,hs,True
ē-khàm,下崁,25,ē-khàm,e7kham3,e7kham3,ekham,ekham,ek,ek,True
ē-pang,下幫,25,ē-pang,e7pang1,e7pang1,epang,epang,ep,ep,True
hā-piânn,下平,25,hā-piâⁿ,ha7piann5,ha7piann5,hapiann,hapiann,hp,hp,True
ē-piânn,下平,25,ē-piâⁿ,e7piann5,e7piann5,epiann,epiann,ep,ep,True
ē-nî,下年,25,ē-nî,e7ni5,e7ni5,eni,eni,en,en,True
hā-tsîng,下情,25,hā-chêng,ha7tsing5,ha7cheng5,hatsing,hacheng,ht,hc,True
hā-gû,下愚,25,hā-gû,ha7gu5,ha7gu5,hagu,hagu,hg,hg,True
hē-tshiú,下手,25,hē-chhiú,he7tshiu2,he7chhiu2,hetshiu,hechhiu,ht,hc,True
ē-tshiú,下手,25,ē-chhiú,e7tshiu2,e7chhiu2,etshiu,echhiu,et,ec,True
hē-sueh,下搾,25,hē-soeh,he7sueh4,he7soeh4,hesueh,hesoeh,hs,hs,True
ē-táu,下斗,25,ē-táu,e7tau2,e7tau2,etau,etau,et,et,True
hā-hong,下方,25,hā-hong,ha7hong1,ha7hong1,hahong,hahong,hh,hh,True
ē-pîng,下旁,25,ē-pêng,e7ping5,e7peng5,eping,epeng,ep,ep,True
ē-ji̍t,下日,25,ē-ji̍t,e7jit8,e7jit8,ejit,ejit,ej,ej,True
hā-sûn,下旬,25,hā-sûn,ha7sun5,ha7sun5,hasun,hasun,hs,hs,True
ē-àm,下暗,25,ē-àm,e7am3,e7am3,eam,eam,ea,ea,True
ē-ge̍h,下月,25,ē-ge̍h,e7geh8,e7geh8,egeh,egeh,eg,eg,True
hē-pún,下本,25,hē-pún,he7pun2,he7pun2,hepun,hepun,hp,hp,True
ē-pún,下本,25,ē-pún,e7pun2,e7pun2,epun,epun,ep,ep,True
ē-ki,下枝,25,ē-ki,e7ki1,e7ki1,eki,eki,ek,ek,True
ē-keh,下格,25,ē-keh,e7keh4,e7keh4,ekeh,ekeh,ek,ek,True
ē-toh,下桌,25,ē-toh,e7toh4,e7toh4,etoh,etoh,et,et,True
ē-tòng,下棟,25,ē-tòng,e7tong3,e7tong3,etong,etong,et,et,True
hē-kuan,下棺,25,hē-koan,he7kuan1,he7koan1,hekuan,hekoan,hk,hk,True
hē-giô,下橈,25,hē-giô,he7gio5,he7gio5,hegio,hegio,hg,hg,True
ē-pái,下次,25,ē-pái,e7pai2,e7pai2,epai,epai,ep,ep,True
ē-tshù,下次,25,ē-chhù,e7tshu3,e7chhu3,etshu,echhu,et,ec,True
hā-siong,下殤,25,hā-siong,ha7siong1,ha7siong1,hasiong,hasiong,hs,hs,True
hā-to̍k,下毒,25,hā-to̍k,ha7tok8,ha7tok8,hatok,hatok,ht,ht,True
hē-to̍k,下毒,25,hē-to̍k,he7tok8,he7tok8,hetok,hetok,ht,ht,True
hā-bîn,下民,25,hā-bîn,ha7bin5,ha7bin5,habin,habin,hb,hb,True
hā-iān,下浣,25,hā-iān,ha7ian7,ha7ian7,haian,haian,hi,hi,True
hā-han,下瀚,25,hā-han,ha7han1,ha7han1,hahan,hahan,hh,hh,True
ē-tsiò,下照,25,ē-chiò,e7tsio3,e7chio3,etsio,echio,et,ec,True
ē-pan,下班,25,ē-pan,e7pan1,e7pan1,epan,epan,ep,ep,True
hā-tshân,下田,25,hā-chhân,ha7tshan5,ha7chhan5,hatshan,hachhan,ht,hc,True
hā-kài,下界,25,hā-kài,ha7kai3,ha7kai3,hakai,hakai,hk,hk,True
hā-kam,下疳,25,hā-kam,ha7kam1,ha7kam1,hakam,hakam,hk,hk,True
hā-siau,下痟,25,hā-siau,ha7siau1,ha7siau1,hasiau,hasiau,hs,hs,True
hā-lī,下痢,25,hā-lī,ha7li7,ha7li7,hali,hali,hl,hl,True
ē-puânn,下盤,25,ē-pôaⁿ,e7puann5,e7poann5,epuann,epoann,ep,ep,True
hē-tiànn,下碇,25,hē-tiàⁿ,he7tiann3,he7tiann3,hetiann,hetiann,ht,ht,True
ē-phîng,下秤,25,ē-phêng,e7phing5,e7pheng5,ephing,epheng,ep,ep,True
hē-tsíng,下種,25,hē-chéng,he7tsing2,he7cheng2,hetsing,hecheng,ht,hc,True
hē-hû,下符,25,hē-hû,he7hu5,he7hu5,hehu,hehu,hh,hh,True
hā-pit,下筆,25,hā-pit,ha7pit4,ha7pit4,hapit,hapit,hp,hp,True
hē-pit,下筆,25,hē-pit,he7pit4,he7pit4,hepit,hepit,hp,hp,True
hā-tíng,下等,25,hā-téng,ha7ting2,ha7teng2,hating,hateng,ht,ht,True
ē-kue̍h,下節,25,ē-koe̍h,e7kueh8,e7koeh8,ekueh,ekoeh,ek,ek,True
ē-tsat,下節,25,ē-chat,e7tsat4,e7chat4,etsat,echat,et,ec,True
hē-tsuá,下紙,25,hē-chóa,he7tsua2,he7choa2,hetsua,hechoa,ht,hc,True
hā-kip,下級,25,hā-kip,ha7kip4,ha7kip4,hakip,hakip,hk,hk,True
hā-hiân,下絃,25,hā-hiân,ha7hian5,ha7hian5,hahian,hahian,hh,hh,True
hē-bāng,下網,25,hē-bāng,he7bang7,he7bang7,hebang,hebang,hb,hb,True
ē-tàu,下罩,25,ē-tàu,e7tau3,e7tau3,etau,etau,et,et,True
hē-puî,下肥,25,hē-pûi,he7pui5,he7pui5,hepui,hepui,hp,hp,True
ē-ham,下腭,25,ē-ham,e7ham1,e7ham1,eham,eham,eh,eh,True
ē-io,下腰,25,ē-io,e7io1,e7io1,eio,eio,ei,ei,True
ē-kha,下腳,25,ē-kha,e7kha1,e7kha1,ekha,ekha,ek,ek,True
ē-pak,下腹,25,ē-pak,e7pak4,e7pak4,epak,epak,ep,ep,True
ē-thuí,下腿,25,ē-thúi,e7thui2,e7thui2,ethui,ethui,et,et,True
hā-tâi,下臺,25,hā-tâi,ha7tai5,ha7tai5,hatai,hatai,ht,ht,True
hā-hue,下花,25,hā-hoe,ha7hue1,ha7hoe1,hahue,hahoe,hh,hh,True
ē-lo̍h,下落,25,ē-lo̍h,e7loh8,e7loh8,eloh,eloh,el,el,True
ē-hio̍h,下葉,25,ē-hio̍h,e7hioh8,e7hioh8,ehioh,ehioh,eh,eh,True
ē-hō,下號,25,ē-hō,e7ho7,e7ho7,eho,eho,eh,eh,True
hā-hiat,下血,25,hā-hiat,ha7hiat4,ha7hiat4,hahiat,hahiat,hh,hh,True
hē-hè,下貨,25,hē-hè,he7he3,he7he3,hehe,hehe,hh,hh,True
hē-lōo,下賂,25,hē-lō͘,he7loo7,he7loo7,heloo,heloo,hl,hl,True
ē-siàu,下賬,25,ē-siàu,e7siau3,e7siau3,esiau,esiau,es,es,True
ē-sin,下身,25,ē-sin,e7sin1,e7sin1,esin,esin,es,es,True
hē-tshia,下車,25,hē-chhia,he7tshia1,he7chhia1,hetshia,hechhia,ht,hc,True
hē-tsāi,下載,25,hē-chāi,he7tsai7,he7chai7,hetsai,hechai,ht,hc,True
hā-puè,下輩,25,hā-pòe,ha7pue3,ha7poe3,hapue,hapoe,hp,hp,True
ē-puè,下輩,25,ē-pòe,e7pue3,e7poe3,epue,epoe,ep,ep,True
hā-lak,下轆,25,hā-lak,ha7lak4,ha7lak4,halak,halak,hl,hl,True
hā-pān,下辨,25,hā-pān,ha7pan7,ha7pan7,hapan,hapan,hp,hp,True
ē-kau,下郊,25,ē-kau,e7kau1,e7kau1,ekau,ekau,ek,ek,True
ē-kim,下金,25,ē-kim,e7kim1,e7kim1,ekim,ekim,ek,ek,True
hā-gûn,下銀,25,hā-gûn,ha7gun5,ha7gun5,hagun,hagun,hg,hg,True
ē-tshuànn,下閂,25,ē-chhòaⁿ,e7tshuann3,e7chhoann3,etshuann,echhoann,et,ec,True
ē-káinn,下間,25,ē-káiⁿ,e7kainn2,e7kainn2,ekainn,ekainn,ek,ek,True
