tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taijit
sîn-hù-sin,神附身,16,sîn-hù-sin,sin5hu3sin1,sin5hu3sin1,sinhusin,sinhusin,shs,shs,True
sîn-thâu-á,神頭仔,16,sîn-thâu-á,sin5thau5a2,sin5thau5a2,sinthaua,sinthaua,sta,sta,True
sîn-bé-tsuá,神馬紙,16,sîn-bé-chóa,sin5be2tsua2,sin5be2choa2,sinbetsua,sinbechoa,sbt,sbc,True
thiāu-á-lāi,祧仔內,16,thiāu-á-lāi,thiau7a2lai7,thiau7a2lai7,thiaualai,thiaualai,tal,tal,True
tsè-sū-gia̍p,祭祀業,16,chè-sū-gia̍p,tse3su7giap8,che3su7giap8,tsesugiap,chesugiap,tsg,csg,True
kìm-kháu-lī,禁口痢,16,kìm-kháu-lī,kim3khau2li7,kim3khau2li7,kimkhauli,kimkhauli,kkl,kkl,True
kìm-kháu-hun,禁口薰,16,kìm-kháu-hun,kim3khau2hun1,kim3khau2hun1,kimkhauhun,kimkhauhun,kkh,kkh,True
kìm-kháu-tsiam,禁口針,16,kìm-kháu-chiam,kim3khau2tsiam1,kim3khau2chiam1,kimkhautsiam,kimkhauchiam,kkt,kkc,True
kìm-tsí-pâi,禁止牌,16,kìm-chí-pâi,kim3tsi2pai5,kim3chi2pai5,kimtsipai,kimchipai,ktp,kcp,True
kìm-tshinn-ba̍k,禁生目,16,kìm-chhiⁿ-ba̍k,kim3tshinn1bak8,kim3chhinn1bak8,kimtshinnbak,kimchhinnbak,ktb,kcb,True
kìm-uē-kun,禁衛軍,16,kìm-ōe-kun,kim3ue7kun1,kim3oe7kun1,kimuekun,kimoekun,kuk,kok,True
kìm-tsuán-tsài,禁轉載,16,kìm-choán-chài,kim3tsuan2tsai3,kim3choan2chai3,kimtsuantsai,kimchoanchai,ktt,kcc,True
kìm-kóo-ga̍k,禁鼓樂,16,kìm-kó͘-ga̍k,kim3koo2gak8,kim3koo2gak8,kimkoogak,kimkoogak,kkg,kkg,True
hô-ló-lâng,福佬人,16,hô-ló-lâng,ho5lo2lang5,ho5lo2lang5,hololang,hololang,hll,hll,True
hok-uân-khak,福員殼,16,hok-oân-khak,hok4uan5khak4,hok4oan5khak4,hokuankhak,hokoankhak,huk,hok,True
hok-uân-bê,福員糜,16,hok-oân-bê,hok4uan5be5,hok4oan5be5,hokuanbe,hokoanbe,hub,hob,True
hok-uân-bah,福員肉,16,hok-oân-bah,hok4uan5bah4,hok4oan5bah4,hokuanbah,hokoanbah,hub,hob,True
hok-tsiu-siânn,福州城,16,hok-chiu-siâⁿ,hok4tsiu1siann5,hok4chiu1siann5,hoktsiusiann,hokchiusiann,hts,hcs,True
hok-tsiu-hú,福州府,16,hok-chiu-hú,hok4tsiu1hu2,hok4chiu1hu2,hoktsiuhu,hokchiuhu,hth,hch,True
hok-tsiu-sam,福州杉,16,hok-chiu-sam,hok4tsiu1sam1,hok4chiu1sam1,hoktsiusam,hokchiusam,hts,hcs,True
hok-tsiu-kiat,福州橘,16,hok-chiu-kiat,hok4tsiu1kiat4,hok4chiu1kiat4,hoktsiukiat,hokchiukiat,htk,hck,True
hok-tsiu-tsuá,福州紙,16,hok-chiu-chóa,hok4tsiu1tsua2,hok4chiu1choa2,hoktsiutsua,hokchiuchoa,htt,hcc,True
hok-ín-kuàn,福引券,16,hok-ín-koàn,hok4in2kuan3,hok4in2koan3,hokinkuan,hokinkoan,hik,hik,True
hok-tik-iâ,福德爺,16,hok-tek-iâ,hok4tik4ia5,hok4tek4ia5,hoktikia,hoktekia,hti,hti,True
hok-tik-sîn,福德神,16,hok-tek-sîn,hok4tik4sin5,hok4tek4sin5,hoktiksin,hokteksin,hts,hts,True
hok-tik-siú,福德首,16,hok-tek-siú,hok4tik4siu2,hok4tek4siu2,hoktiksiu,hokteksiu,hts,hts,True
hok-sîn-tshài,福神菜,16,hok-sîn-chhài,hok4sin5tshai3,hok4sin5chhai3,hoksintshai,hoksinchhai,hst,hsc,True
hok-lo̍k-siū,福祿壽,16,hok-lo̍k-siū,hok4lok8siu7,hok4lok8siu7,hokloksiu,hokloksiu,hls,hls,True
hok-lo̍k-tsiú,福祿酒,16,hok-lo̍k-chiú,hok4lok8tsiu2,hok4lok8chiu2,hokloktsiu,hoklokchiu,hlt,hlc,True
hok-im-tuān,福音傳,16,hok-im-toān,hok4im1tuan7,hok4im1toan7,hokimtuan,hokimtoan,hit,hit,True
hok-im-tn̂g,福音堂,16,hok-im-tn̂g,hok4im1tng5,hok4im1tng5,hokimtng,hokimtng,hit,hit,True
lé-pài-tn̂g,禮拜堂,16,lé-pài-tn̂g,le2pai3tng5,le2pai3tng5,lepaitng,lepaitng,lpt,lpt,True
lé-pài-ji̍t,禮拜日,16,lé-pài-ji̍t,le2pai3jit8,le2pai3jit8,lepaijit,lepaijit,lpj,lpj,True
ú-û-thian,禹餘天,16,ú-û-thian,u2u5thian1,u2u5thian1,uuthian,uuthian,uut,uut,True
ú-û-liông,禹餘糧,16,ú-û-liông,u2u5liong5,u2u5liong5,uuliong,uuliong,uul,uul,True
hô-jī-pîng,禾字旁,16,hô-jī-pêng,ho5ji7ping5,ho5ji7peng5,hojiping,hojipeng,hjp,hjp,True
thu̍t-bé-pit,禿尾筆,16,thu̍t-bé-pit,thut8be2pit4,thut8be2pit4,thutbepit,thutbepit,tbp,tbp,True
siù-tsâi-lio̍k,秀才錄,16,siù-châi-lio̍k,siu3tsai5liok8,siu3chai5liok8,siutsailiok,siuchailiok,stl,scl,True
siù-sue-á,秀梳仔,16,siù-soe-á,siu3sue1a2,siu3soe1a2,siusuea,siusoea,ssa,ssa,True
siù-sue-giám,秀梳朵,16,siù-soe-giám,siu3sue1giam2,siu3soe1giam2,siusuegiam,siusoegiam,ssg,ssg,True
siù-ing-hue,秀英花,16,siù-eng-hoe,siu3ing1hue1,siu3eng1hoe1,siuinghue,siuenghoe,sih,seh,True
su-khia-ìn,私奇印,16,su-khia-ìn,su1khia1in3,su1khia1in3,sukhiain,sukhiain,ski,ski,True
su-khia-uē,私奇話,16,su-khia-ōe,su1khia1ue7,su1khia1oe7,sukhiaue,sukhiaoe,sku,sko,True
su-khia-gûn,私奇銀,16,su-khia-gûn,su1khia1gun5,su1khia1gun5,sukhiagun,sukhiagun,skg,skg,True
su-khia-tsînn,私奇錢,16,su-khia-chîⁿ,su1khia1tsinn5,su1khia1chinn5,sukhiatsinn,sukhiachinn,skt,skc,True
su-sing-tsú,私生子,16,su-seng-chú,su1sing1tsu2,su1seng1chu2,susingtsu,susengchu,sst,ssc,True
tshiu-āu-sua̍h,秋後熱,16,chhiu-āu-soa̍h,tshiu1au7suah8,chhiu1au7soah8,tshiuausuah,chhiuausoah,tas,cas,True
tshiu-hái-tông,秋海棠,16,chhiu-hái-tông,tshiu1hai2tong5,chhiu1hai2tong5,tshiuhaitong,chhiuhaitong,tht,cht,True
tshiu-si̍k-tan,秋石丹,16,chhiu-se̍k-tan,tshiu1sik8tan1,chhiu1sek8tan1,tshiusiktan,chhiusektan,tst,cst,True
kho-liāu-kim,科料金,16,kho-liāu-kim,kho1liau7kim1,kho1liau7kim1,kholiaukim,kholiaukim,klk,klk,True
khe-kah-tiûnn,科甲場,16,khe-kah-tiûⁿ,khe1kah4tiunn5,khe1kah4tiunn5,khekahtiunn,khekahtiunn,kkt,kkt,True
kho-kah-tiûnn,科甲場,16,kho-kah-tiûⁿ,kho1kah4tiunn5,kho1kah4tiunn5,khokahtiunn,khokahtiunn,kkt,kkt,True
pì-ba̍t-ba̍t,秘密密,16,pì-ba̍t-ba̍t,pi3bat8bat8,pi3bat8bat8,pibatbat,pibatbat,pbb,pbb,True
pì-su-kuann,秘書官,16,pì-su-koaⁿ,pi3su1kuann1,pi3su1koann1,pisukuann,pisukoann,psk,psk,True
pì-kuat-hng,秘訣方,16,pì-koat-hng,pi3kuat4hng1,pi3koat4hng1,pikuathng,pikoathng,pkh,pkh,True
pì-lōo-kok,秘露國,16,pì-lō͘-kok,pi3loo7kok4,pi3loo7kok4,pilookok,pilookok,plk,plk,True
tsoo--lâng,租--人,16,cho͘--lâng,tsoo1lang5,choo1lang5,tsoolang,choolang,tl,cl,True
tsoo-kài-tē,租界地,16,cho͘-kài-tē,tsoo1kai3te7,choo1kai3te7,tsookaite,chookaite,tkt,ckt,True
tsîn-kóng-ông,秦廣王,16,chîn-kóng-ông,tsin5kong2ong5,chin5kong2ong5,tsinkongong,chinkongong,tko,cko,True
ng-á-hn̂g,秧仔園,16,ng-á-hn̂g,ng1a2hng5,ng1a2hng5,ngahng,ngahng,nah,nah,True
ng-á-tshân,秧仔田,16,ng-á-chhân,ng1a2tshan5,ng1a2chhan5,ngatshan,ngachhan,nat,nac,True
tsut-bí-thiām,秫米沉,16,chut-bí-thiām,tsut4bi2thiam7,chut4bi2thiam7,tsutbithiam,chutbithiam,tbt,cbt,True
tsut-bí-tsú,秫米煮,16,chut-bí-chú,tsut4bi2tsu2,chut4bi2chu2,tsutbitsu,chutbichu,tbt,cbc,True
tsut-bí-sio,秫米燒,16,chut-bí-sio,tsut4bi2sio1,chut4bi2sio1,tsutbisio,chutbisio,tbs,cbs,True
tsut-bí-tsu,秫米珠,16,chut-bí-chu,tsut4bi2tsu1,chut4bi2chu1,tsutbitsu,chutbichu,tbt,cbc,True
tsut-bí-kôo,秫米糊,16,chut-bí-kô͘,tsut4bi2koo5,chut4bi2koo5,tsutbikoo,chutbikoo,tbk,cbk,True
tsut-bí-ko,秫米糕,16,chut-bí-ko,tsut4bi2ko1,chut4bi2ko1,tsutbiko,chutbiko,tbk,cbk,True
